territoire;spécialité;total;genre_femme;genre_homme;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Région flamande;Oto-rhino-laryngologie;445;216;229;2;39;38;30;25;22;27;13;20;0;7;15;14;25;19;19;31;99
Région flamande;Stomatologie;247;66;181;0;12;12;13;3;14;2;3;7;0;22;21;20;21;13;17;28;39
Région flamande;Dermato-vénéréologie;513;385;128;0;48;43;40;59;54;42;28;71;0;1;12;6;7;14;16;11;61
Région flamande;Pédiatrie;1046;736;310;0;108;113;86;101;100;92;40;96;0;12;21;16;22;30;21;36;152
Région flamande;Médecine physique et réadaptation;403;183;220;0;24;25;17;29;28;18;21;21;0;28;18;13;18;14;23;18;88
Région flamande;Biologie clinique;396;187;209;0;17;15;22;25;27;18;18;45;1;9;9;11;12;10;31;24;102
Région flamande;Radiodiagnostic;1140;321;819;0;35;57;34;44;47;42;28;34;3;78;79;55;70;59;107;123;245
Région flamande;Radiothérapie-oncologie;167;94;73;0;8;13;17;19;13;14;7;3;0;5;9;11;9;7;2;15;15
Région flamande;Médecine nucléaire;172;64;108;0;7;8;10;9;9;9;8;4;0;4;10;6;4;12;13;13;46
Région flamande;Anatomie pathologique;276;144;132;1;15;17;18;23;23;17;12;18;0;12;5;13;16;13;10;10;53
Région flamande;Oncologie médicale;182;112;70;0;16;28;19;15;14;10;7;3;0;9;10;4;5;14;12;7;9
Région flamande;Génétique clinique;48;29;19;0;0;1;6;4;6;5;3;4;0;0;0;5;0;4;5;3;2
Région flamande;Médecine du travail;786;415;371;1;6;15;35;75;78;74;64;67;0;2;6;6;38;20;34;71;194
Région flamande;Médecine d'assurance et expertise médicale;343;106;237;0;2;0;3;3;26;23;23;26;0;1;2;0;4;12;19;53;146
Région wallonne;Toutes les spécialités;10077;4436;5641;10;448;615;534;611;559;455;402;802;8;313;388;358;454;531;622;685;2282
Région wallonne;Gériatrie;128;96;32;0;11;22;18;13;12;12;4;4;0;2;2;6;2;4;1;6;9
Région wallonne;Médecine d'urgence;153;65;88;0;20;23;14;2;6;0;0;0;0;21;22;14;9;14;4;2;2
Région wallonne;Médecine légale;6;2;4;0;0;0;0;2;0;0;0;0;0;0;0;1;2;0;0;0;1
Région wallonne;Gestion des données de santé;19;6;13;0;0;0;0;0;1;0;4;1;0;0;0;0;0;2;2;6;3
Région wallonne;Anesthésie-réanimation;956;369;587;1;35;59;48;55;49;30;20;72;0;59;65;51;68;71;67;66;140
Région wallonne;Chirurgie;591;131;460;0;16;24;16;13;18;19;10;15;0;12;21;31;36;43;46;58;213
Région wallonne;Neurochirurgie;79;14;65;0;1;6;1;1;2;1;2;0;0;6;10;3;9;7;8;4;18
Région wallonne;Chirurgie plastique, reconstructive et esthétique;88;26;62;0;2;4;4;5;1;4;4;2;0;5;6;13;6;5;7;10;10
Région wallonne;Urologie;162;31;131;0;8;3;4;7;0;5;3;1;0;5;16;10;12;17;12;10;49
Région wallonne;Orthopédie;423;48;375;0;8;5;9;9;5;3;2;7;0;20;36;34;31;36;43;46;129
Région wallonne;Neurologie;224;110;114;0;11;18;13;17;20;11;11;9;0;6;11;6;14;8;23;17;29
Région wallonne;Psychiatrie;410;181;229;0;1;4;6;21;31;32;31;55;0;0;3;2;13;20;26;29;136
Région wallonne;Neuropsychiatrie;47;6;41;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;2;39
Région wallonne;Psychiatrie, particulièrement en psychiatrie infanto-juvénile;84;60;24;0;6;15;14;7;11;1;0;6;0;3;3;1;5;3;3;2;4
Région wallonne;Psychiatrie, particulièrement en psychiatrie adulte;171;106;65;0;11;23;25;24;17;1;2;3;0;9;8;12;13;10;7;1;5
Région wallonne;Pneumologie;251;102;149;0;10;16;18;18;13;7;5;15;0;12;10;6;14;17;18;20;52
Région wallonne;Gastro-entérologie;278;101;177;0;8;22;20;11;10;8;10;12;0;5;9;6;18;19;26;29;65
Région wallonne;Cardiologie;467;133;334;0;15;22;20;19;17;15;14;11;0;18;24;21;29;37;40;40;125
Région wallonne;Médecine interne;709;293;416;0;36;50;42;51;42;28;9;35;0;27;13;25;36;38;58;52;167
Région wallonne;Rhumatologie;108;54;54;0;7;3;8;7;6;9;2;12;0;3;4;2;1;3;3;11;27
Région wallonne;Médecine aiguë;135;60;75;0;2;0;3;12;23;7;5;8;0;2;2;1;7;18;16;13;16
Région wallonne;Gynécologie-obstétrique;643;376;267;0;60;56;40;48;47;40;31;54;0;4;11;12;17;24;30;28;141
Région wallonne;Ophtalmologie;395;227;168;7;18;25;25;30;18;21;17;66;7;16;15;10;12;15;19;15;59
Région wallonne;Oto-rhino-laryngologie;275;132;143;0;17;15;16;16;18;21;12;17;0;7;7;8;9;8;16;20;68
Région wallonne;Stomatologie;101;25;76;0;0;4;3;5;4;1;3;5;1;6;6;3;2;9;9;4;36
Région wallonne;Dermato-vénéréologie;269;191;78;0;23;17;23;19;24;26;17;42;0;4;6;1;6;3;7;12;39
Région wallonne;Pédiatrie;734;507;227;1;65;84;63;78;50;37;39;90;0;6;18;17;10;16;22;17;121
Région wallonne;Médecine physique et réadaptation;205;108;97;0;8;17;11;14;14;10;12;22;0;5;3;12;9;3;12;10;43
Région wallonne;Biologie clinique;239;124;115;0;5;7;6;9;8;10;16;63;0;5;6;3;4;1;4;13;79
Région wallonne;Radiodiagnostic;667;218;449;0;17;31;25;31;19;32;31;32;0;30;29;30;26;42;41;72;179
Région wallonne;Radiothérapie-oncologie;75;43;32;0;2;6;8;3;3;1;8;12;0;3;2;4;7;6;2;4;4
Région wallonne;Médecine nucléaire;141;55;86;1;3;3;5;6;4;10;11;12;0;5;4;2;5;3;8;8;51
Région wallonne;Anatomie pathologique;119;72;47;0;9;11;3;6;14;6;7;16;0;3;6;5;3;2;4;7;17
Région wallonne;Oncologie médicale;119;65;54;0;11;13;8;5;11;6;3;8;0;4;7;2;4;4;13;4;16
Région wallonne;Génétique clinique;19;12;7;0;0;3;2;2;3;1;0;1;0;0;0;2;1;2;1;1;0
Région wallonne;Médecine du travail;348;212;136;0;2;4;13;40;33;28;36;56;0;0;3;2;11;14;11;15;80
Région wallonne;Médecine d'assurance et expertise médicale;239;75;164;0;0;0;0;5;5;12;20;33;0;0;0;0;3;7;13;31;110
Région de Bruxelles Capitale;Toutes les spécialités;4030;2021;2009;4;284;289;222;231;204;182;176;429;5;223;177;131;154;150;154;213;802
Région de Bruxelles Capitale;Gériatrie;42;29;13;0;6;6;6;4;4;1;1;1;0;1;1;2;1;0;1;2;5
Région de Bruxelles Capitale;Médecine d'urgence;55;31;24;0;6;11;6;4;1;1;2;0;0;4;8;4;4;1;2;0;1
Région de Bruxelles Capitale;Médecine légale;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Région de Bruxelles Capitale;Gestion des données de santé;13;7;6;0;0;0;0;0;1;4;1;1;0;0;0;1;0;0;2;1;2
Région de Bruxelles Capitale;Anesthésie-réanimation;309;150;159;0;24;26;16;8;19;12;5;40;0;39;19;16;13;18;14;13;27
Région de Bruxelles Capitale;Chirurgie;210;59;151;0;6;13;9;8;3;4;3;13;0;15;20;7;11;15;10;10;63
Région de Bruxelles Capitale;Neurochirurgie;19;4;15;0;0;2;0;0;1;1;0;0;0;0;0;1;2;2;0;4;6
Région de Bruxelles Capitale;Chirurgie plastique, reconstructive et esthétique;38;9;29;0;3;0;1;2;0;0;1;2;0;4;3;3;3;4;1;3;8
Région de Bruxelles Capitale;Urologie;52;6;46;0;1;1;2;2;0;0;0;0;0;4;5;2;4;3;2;6;20
Région de Bruxelles Capitale;Orthopédie;114;19;95;0;4;1;1;1;4;2;2;4;0;12;7;6;7;8;6;13;36
Région de Bruxelles Capitale;Neurologie;99;59;40;0;15;7;7;7;5;8;4;6;0;5;6;5;7;2;5;5;5
Région de Bruxelles Capitale;Psychiatrie;245;107;138;0;0;1;2;6;18;23;23;34;0;0;0;0;5;7;14;22;90
Région de Bruxelles Capitale;Neuropsychiatrie;24;8;16;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;16
Région de Bruxelles Capitale;Psychiatrie, particulièrement en psychiatrie infanto-juvénile;64;47;17;0;8;12;12;7;3;3;0;2;0;5;4;4;1;0;0;2;1
Région de Bruxelles Capitale;Psychiatrie, particulièrement en psychiatrie adulte;125;73;52;0;12;19;7;13;9;4;4;5;0;11;8;8;13;5;1;2;4
Région de Bruxelles Capitale;Pneumologie;78;36;42;0;6;4;10;5;5;1;1;4;0;7;1;1;5;2;3;6;17
Région de Bruxelles Capitale;Gastro-entérologie;115;44;71;0;7;7;4;8;5;3;2;8;0;10;7;4;6;5;7;6;26
Région de Bruxelles Capitale;Cardiologie;212;83;129;0;11;13;17;9;3;7;9;14;0;14;13;8;14;10;10;16;44
Région de Bruxelles Capitale;Médecine interne;361;156;205;0;22;33;19;29;14;9;9;21;0;27;15;19;15;16;16;16;81
Région de Bruxelles Capitale;Rhumatologie;39;18;21;0;2;1;1;2;3;3;3;3;0;0;1;0;0;3;2;2;13
Région de Bruxelles Capitale;Médecine aiguë;27;14;13;0;0;2;2;2;5;0;2;1;0;1;0;0;1;2;2;4;3
Région de Bruxelles Capitale;Gynécologie-obstétrique;295;187;108;0;35;32;19;19;13;14;20;35;0;5;7;4;11;5;8;12;56
Région de Bruxelles Capitale;Ophtalmologie;174;110;64;3;17;14;11;13;5;6;10;31;4;7;6;4;6;7;5;5;20
Région de Bruxelles Capitale;Oto-rhino-laryngologie;87;39;48;0;5;3;1;8;7;4;2;9;0;4;2;3;1;3;7;6;22
Région de Bruxelles Capitale;Stomatologie;59;18;41;0;3;0;2;1;2;2;2;6;0;7;6;2;2;2;1;3;18
Région de Bruxelles Capitale;Dermato-vénéréologie;138;100;38;0;12;11;6;9;11;10;12;29;1;2;2;2;2;1;4;6;18
Région de Bruxelles Capitale;Pédiatrie;361;254;107;0;40;33;32;32;22;21;22;52;0;13;10;6;5;10;5;6;52
Région de Bruxelles Capitale;Médecine physique et réadaptation;49;29;20;0;6;4;1;5;2;4;4;3;0;3;2;0;0;1;0;3;11
Région de Bruxelles Capitale;Biologie clinique;100;54;46;0;0;4;3;1;6;6;8;26;0;4;1;1;1;1;4;5;29
Région de Bruxelles Capitale;Radiodiagnostic;226;103;123;1;19;15;11;8;9;14;4;22;0;13;16;10;5;8;13;15;43
Région de Bruxelles Capitale;Radiothérapie-oncologie;21;17;4;0;1;2;1;1;3;2;2;5;0;0;1;1;0;0;0;1;1
Région de Bruxelles Capitale;Médecine nucléaire;47;18;29;0;3;1;4;2;1;0;4;3;0;1;4;2;3;4;1;1;13
Région de Bruxelles Capitale;Anatomie pathologique;46;31;15;0;3;5;2;4;2;2;3;10;0;1;0;0;0;2;1;4;7
Région de Bruxelles Capitale;Oncologie médicale;59;31;28;0;6;5;7;4;3;2;1;3;0;4;2;4;3;2;3;2;8
Région de Bruxelles Capitale;Génétique clinique;10;8;2;0;0;1;0;2;2;1;0;2;0;0;0;0;1;0;0;0;1
Région de Bruxelles Capitale;Médecine du travail;77;45;32;0;1;0;0;5;10;6;9;14;0;0;0;0;0;1;1;5;25
Région de Bruxelles Capitale;Médecine d'assurance et expertise médicale;39;18;21;0;0;0;0;0;3;2;1;12;0;0;0;0;2;0;3;6;10
Brabant flamand;Toutes les spécialités;4649;2215;2434;4;237;358;298;352;307;216;168;275;4;175;211;174;235;231;261;331;812
Brabant flamand;Gériatrie;57;40;17;0;3;7;7;6;9;2;2;4;0;2;1;1;2;1;2;1;7
Brabant flamand;Médecine d'urgence;52;23;29;0;4;7;5;3;2;2;0;0;0;10;10;2;3;2;0;2;0
Brabant flamand;Médecine légale;3;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Brabant flamand;Gestion des données de santé;11;6;5;0;0;0;0;0;0;1;3;2;0;0;0;0;0;0;0;1;4
Brabant flamand;Anesthésie-réanimation;392;169;223;0;18;28;23;24;25;14;10;27;0;31;24;21;29;19;26;36;37
Brabant flamand;Chirurgie;304;80;224;0;9;22;10;19;12;3;1;4;0;13;23;22;23;21;22;18;82
Brabant flamand;Neurochirurgie;36;6;30;0;3;0;1;0;1;1;0;0;0;1;5;6;2;6;4;2;4
Brabant flamand;Chirurgie plastique, reconstructive et esthétique;40;15;25;0;1;4;3;2;4;1;0;0;0;2;1;2;0;4;6;4;6
Brabant flamand;Urologie;66;12;54;0;1;2;3;1;3;1;1;0;0;2;9;4;6;6;4;10;13
Brabant flamand;Orthopédie;181;27;154;0;4;7;4;2;3;3;1;3;0;7;21;14;25;14;16;22;35
Brabant flamand;Neurologie;98;55;43;1;11;10;6;5;10;4;3;5;0;1;3;3;7;7;2;5;15
Brabant flamand;Psychiatrie;73;41;32;0;0;0;1;1;13;13;9;4;0;0;0;0;3;3;10;6;10
Brabant flamand;Neuropsychiatrie;32;7;25;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;1;24
Brabant flamand;Psychiatrie, particulièrement en psychiatrie infanto-juvénile;83;72;11;0;9;9;11;20;10;1;4;8;0;1;0;0;2;1;0;4;3
Brabant flamand;Psychiatrie, particulièrement en psychiatrie adulte;167;80;87;0;8;11;16;25;5;0;7;8;0;6;7;8;9;4;1;7;45
Brabant flamand;Pneumologie;106;55;51;0;5;13;12;11;6;3;3;2;0;7;5;1;6;4;4;11;13
Brabant flamand;Gastro-entérologie;117;46;71;0;7;7;10;6;9;3;3;1;0;6;7;7;6;5;10;11;19
Brabant flamand;Cardiologie;205;44;161;0;3;11;7;8;6;5;2;2;0;9;20;16;19;13;23;20;41
Brabant flamand;Médecine interne;313;140;173;0;21;28;19;27;16;7;12;10;0;16;8;14;13;23;18;19;62
Brabant flamand;Rhumatologie;34;16;18;0;1;3;2;4;3;2;0;1;0;0;2;0;2;5;1;1;7
Brabant flamand;Médecine aiguë;55;26;29;0;3;8;3;4;5;2;0;1;0;1;3;2;3;11;6;2;1
Brabant flamand;Gynécologie-obstétrique;274;169;105;0;25;32;28;23;22;14;11;14;0;3;2;6;10;9;9;19;47
Brabant flamand;Ophtalmologie;229;151;78;3;17;19;15;17;15;18;9;38;4;6;7;6;3;9;7;12;24
Brabant flamand;Oto-rhino-laryngologie;109;59;50;0;8;16;7;7;5;7;3;6;0;2;3;5;6;1;3;8;22
Brabant flamand;Stomatologie;60;21;39;0;3;4;4;1;3;1;0;5;0;10;5;3;5;0;3;4;9
Brabant flamand;Dermato-vénéréologie;142;115;27;0;18;11;12;25;13;9;5;22;0;0;2;0;0;9;6;2;8
Brabant flamand;Pédiatrie;317;229;88;0;21;36;36;35;31;30;10;30;0;3;7;6;6;9;8;15;34
Brabant flamand;Médecine physique et réadaptation;96;48;48;0;8;8;5;8;5;1;6;7;0;6;3;2;2;3;3;2;27
Brabant flamand;Biologie clinique;124;53;71;0;5;2;4;8;8;2;8;16;0;3;2;2;3;3;9;8;41
Brabant flamand;Radiodiagnostic;311;107;204;0;9;19;12;12;19;15;8;13;0;18;21;13;21;16;30;28;57
Brabant flamand;Radiothérapie-oncologie;45;29;16;0;3;5;3;3;5;5;5;0;0;2;2;2;2;1;1;3;3
Brabant flamand;Médecine nucléaire;47;25;22;0;3;4;5;2;2;5;2;2;0;1;1;1;1;3;4;4;7
Brabant flamand;Anatomie pathologique;74;43;31;0;2;7;6;9;4;4;4;7;0;4;1;4;4;1;2;2;13
Brabant flamand;Oncologie médicale;58;34;24;0;3;10;4;7;2;3;3;2;0;2;3;0;2;7;4;2;4
Brabant flamand;Génétique clinique;23;14;9;0;0;1;3;3;2;3;2;0;0;0;0;1;0;1;3;3;1
Brabant flamand;Médecine du travail;217;118;99;0;1;5;10;22;22;21;19;18;0;0;2;0;9;6;9;19;54
Brabant flamand;Médecine d'assurance et expertise médicale;98;38;60;0;0;0;1;2;7;10;11;7;0;0;1;0;1;4;5;17;32
Flandre occidentale;Toutes les spécialités;2775;1039;1736;0;162;165;131;126;140;118;61;136;1;101;114;118;140;143;166;208;745
Flandre occidentale;Gériatrie;54;34;20;0;11;7;3;4;3;3;1;2;0;0;1;2;1;1;1;4;10
Flandre occidentale;Médecine d'urgence;26;14;12;0;6;5;3;0;0;0;0;0;0;7;3;1;1;0;0;0;0
Flandre occidentale;Gestion des données de santé;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Flandre occidentale;Anesthésie-réanimation;314;121;193;0;19;17;13;16;18;14;9;15;0;13;17;14;27;22;22;19;59
Flandre occidentale;Chirurgie;150;28;122;0;4;9;2;7;2;0;1;3;0;4;7;8;8;10;10;15;60
Flandre occidentale;Neurochirurgie;27;2;25;0;0;1;0;0;1;0;0;0;0;3;4;2;5;2;0;2;7
Flandre occidentale;Chirurgie plastique, reconstructive et esthétique;27;7;20;0;2;3;0;0;0;1;0;1;0;1;0;4;2;2;2;3;6
Flandre occidentale;Urologie;65;7;58;0;0;5;0;0;2;0;0;0;0;2;7;4;6;9;6;4;20
Flandre occidentale;Orthopédie;160;13;147;0;4;2;2;0;2;2;1;0;0;15;12;11;12;12;18;23;44
Flandre occidentale;Neurologie;63;24;39;0;3;4;8;2;2;5;0;0;0;5;1;1;5;4;2;10;11
Flandre occidentale;Psychiatrie;32;11;21;0;0;0;1;0;2;7;0;1;0;0;0;0;0;6;8;4;3
Flandre occidentale;Neuropsychiatrie;17;3;14;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;14
Flandre occidentale;Psychiatrie, particulièrement en psychiatrie infanto-juvénile;29;25;4;0;3;6;2;4;3;0;1;6;0;0;0;0;1;0;0;0;3
Flandre occidentale;Psychiatrie, particulièrement en psychiatrie adulte;93;39;54;0;5;9;10;5;0;0;1;9;0;4;4;4;4;1;2;4;31
Flandre occidentale;Pneumologie;59;25;34;0;3;4;7;5;3;1;2;0;0;2;1;2;3;0;5;5;16
Flandre occidentale;Gastro-entérologie;80;25;55;0;6;8;3;3;2;2;1;0;0;2;6;4;8;5;4;9;17
Flandre occidentale;Cardiologie;104;13;91;0;1;2;5;1;1;2;0;1;0;4;10;8;9;11;10;4;35
Flandre occidentale;Médecine interne;127;38;89;0;4;6;10;8;5;2;2;1;0;6;3;3;4;9;7;5;52
Flandre occidentale;Rhumatologie;21;10;11;0;2;2;0;0;1;3;0;2;0;0;2;1;2;0;0;1;5
Flandre occidentale;Médecine aiguë;21;9;12;0;1;0;3;0;3;2;0;0;0;0;0;3;3;1;2;2;1
Flandre occidentale;Gynécologie-obstétrique;141;67;74;0;18;11;8;8;10;8;4;0;0;2;2;5;1;4;8;9;43
Flandre occidentale;Ophtalmologie;139;90;49;0;7;10;6;7;15;9;10;26;1;1;2;4;1;3;6;4;27
Flandre occidentale;Oto-rhino-laryngologie;82;28;54;0;9;6;1;0;3;8;1;0;0;3;2;4;4;8;3;6;24
Flandre occidentale;Stomatologie;37;6;31;0;1;1;1;0;2;0;0;1;0;0;3;4;3;4;6;6;5
Flandre occidentale;Dermato-vénéréologie;82;53;29;0;7;8;2;6;11;4;1;14;0;0;2;2;2;0;4;2;17
Flandre occidentale;Pédiatrie;166;110;56;0;15;17;13;13;11;15;2;24;0;1;4;3;1;4;3;5;35
Flandre occidentale;Médecine physique et réadaptation;74;30;44;0;5;4;4;5;5;4;2;1;0;3;5;3;1;3;3;3;23
Flandre occidentale;Biologie clinique;59;23;36;0;4;2;2;4;2;2;1;6;0;2;1;3;3;2;2;5;18
Flandre occidentale;Radiodiagnostic;221;42;179;0;9;7;4;6;7;3;3;3;0;19;11;11;11;10;24;26;67
Flandre occidentale;Radiothérapie-oncologie;31;19;12;0;2;1;2;7;2;3;1;1;0;1;0;2;4;1;0;1;3
Flandre occidentale;Médecine nucléaire;29;9;20;0;1;0;2;2;3;0;1;0;0;0;3;0;1;0;1;2;13
Flandre occidentale;Anatomie pathologique;41;16;25;0;4;1;4;2;2;1;0;2;0;1;0;2;4;4;1;1;12
Flandre occidentale;Oncologie médicale;34;25;9;0;4;5;6;1;4;3;1;1;0;0;0;1;0;3;2;1;2
