territoire;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Flandre occidentale;Pharmaciens hospitaliers;103;90;13;0;20;15;21;9;11;7;6;0;1;0;1;5;1;0;2;0;2;2;0
Flandre orientale;Pharmaciens hospitaliers;184;168;16;0;22;52;30;26;16;12;8;2;0;0;3;1;5;3;3;0;0;1;0
Anvers;Pharmaciens hospitaliers;172;154;18;0;20;40;23;21;14;11;18;5;2;0;1;3;3;2;2;0;6;1;0
Limbourg;Pharmaciens hospitaliers;56;51;5;0;7;11;10;3;5;8;5;1;1;0;2;0;1;0;2;0;0;0;0
Brabant Wallon;Pharmaciens hospitaliers;55;50;5;0;3;8;14;7;8;4;4;2;0;0;0;3;1;0;0;0;0;1;0
Hainaut;Pharmaciens hospitaliers;97;84;13;0;13;14;16;12;9;5;11;4;0;0;2;5;0;1;1;1;2;1;0
Liège;Pharmaciens hospitaliers;106;82;24;0;10;20;14;7;12;12;4;2;1;0;3;8;6;0;2;3;2;0;0
Namur;Pharmaciens hospitaliers;63;58;5;0;9;16;12;6;3;6;4;2;0;0;0;1;1;0;1;1;0;1;0
Luxembourg;Pharmaciens hospitaliers;19;15;4;0;4;6;0;3;0;2;0;0;0;0;0;1;1;0;0;1;1;0;0
Région de Bruxelles Capitale;Pharmaciens hospitaliers;77;58;19;0;12;11;14;7;7;5;2;0;0;0;1;5;3;5;1;0;3;1;0
