gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
Vlaams Gewest;Voorschrift geneesmiddelen;662;658;4;130;211;94;86;57;29;18;25;8;0;0;2;1;0;0;1;0;0;0;0
Waals Gewest;Voorschrift geneesmiddelen;485;481;4;90;204;68;32;23;22;20;16;5;1;0;1;1;0;0;0;0;0;2;0
Brussels Hoofdstedelijk Gewest;Voorschrift geneesmiddelen;211;211;0;23;94;46;16;15;9;1;3;3;1;0;0;0;0;0;0;0;0;0;0
Vlaams Brabant;Voorschrift geneesmiddelen;166;166;0;21;45;29;24;20;9;5;10;3;0;0;0;0;0;0;0;0;0;0;0
West-Vlaanderen;Voorschrift geneesmiddelen;110;109;1;27;39;12;12;10;3;2;2;2;0;0;1;0;0;0;0;0;0;0;0
Oost-Vlaanderen;Voorschrift geneesmiddelen;162;162;0;38;52;19;19;12;8;6;6;2;0;0;0;0;0;0;0;0;0;0;0
Antwerpen;Voorschrift geneesmiddelen;142;139;3;26;43;23;21;10;7;3;5;1;0;0;1;1;0;0;1;0;0;0;0
Limburg;Voorschrift geneesmiddelen;82;82;0;18;32;11;10;5;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0
Waals Brabant;Voorschrift geneesmiddelen;71;71;0;11;30;12;4;3;6;3;1;1;0;0;0;0;0;0;0;0;0;0;0
Henegouwen;Voorschrift geneesmiddelen;172;169;3;34;59;29;14;6;9;9;8;1;0;0;1;0;0;0;0;0;0;2;0
Luik;Voorschrift geneesmiddelen;93;92;1;20;41;6;6;5;6;3;3;1;1;0;0;1;0;0;0;0;0;0;0
Namen;Voorschrift geneesmiddelen;94;94;0;18;45;13;7;6;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0
Luxemburg;Voorschrift geneesmiddelen;55;55;0;7;29;8;1;3;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Voorschrift geneesmiddelen;211;211;0;23;94;46;16;15;9;1;3;3;1;0;0;0;0;0;0;0;0;0;0
