territoire;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Région flamande;Biologie clinique;42;18;24;2;8;5;1;2;0;0;0;0;3;17;3;1;0;0;0;0;0;0
Région flamande;Radiodiagnostic;149;37;112;4;23;6;1;2;1;0;0;0;13;79;12;4;4;0;0;0;0;0
Région flamande;Radiothérapie-oncologie;34;13;21;2;7;4;0;0;0;0;0;0;3;13;4;1;0;0;0;0;0;0
Région flamande;Médecine nucléaire;18;7;11;1;6;0;0;0;0;0;0;0;3;5;3;0;0;0;0;0;0;0
Région flamande;Anatomie pathologique;42;29;13;1;19;6;1;2;0;0;0;0;0;9;3;1;0;0;0;0;0;0
Région flamande;Oncologie médicale;23;17;6;0;12;4;1;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0
Région flamande;Génétique clinique;25;17;8;1;7;7;1;0;1;0;0;0;0;4;2;2;0;0;0;0;0;0
Région flamande;Médecine du travail;55;33;22;0;5;13;5;0;4;4;2;0;0;6;5;2;2;2;4;1;0;0
Région flamande;Médecine d'assurance et expertise médicale;2;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Région wallonne;Toutes les spécialités;1759;1056;703;106;705;212;21;4;5;2;0;1;47;473;159;16;3;3;0;0;1;1
Région wallonne;Gériatrie;50;34;16;3;20;11;0;0;0;0;0;0;1;10;5;0;0;0;0;0;0;0
Région wallonne;Médecine d'urgence;199;113;86;7;73;29;1;0;2;1;0;0;2;44;33;4;0;2;0;0;1;0
Région wallonne;Médecine légale;3;1;2;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Région wallonne;Gestion des données de santé;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Région wallonne;Anesthésie-réanimation;177;83;94;5;57;19;2;0;0;0;0;0;3;72;16;3;0;0;0;0;0;0
Région wallonne;Chirurgie;120;64;56;9;38;17;0;0;0;0;0;0;7;33;16;0;0;0;0;0;0;0
Région wallonne;Neurochirurgie;14;7;7;0;5;2;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0
Région wallonne;Chirurgie plastique, reconstructive et esthétique;15;11;4;1;7;3;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0
Région wallonne;Urologie;26;10;16;0;4;5;1;0;0;0;0;0;1;10;5;0;0;0;0;0;0;0
Région wallonne;Orthopédie;85;29;56;3;18;8;0;0;0;0;0;0;2;31;21;2;0;0;0;0;0;0
Région wallonne;Neurologie;40;22;18;2;17;3;0;0;0;0;0;0;2;12;4;0;0;0;0;0;0;0
Région wallonne;Psychiatrie, particulièrement en psychiatrie infanto-juvénile;39;35;4;0;28;5;1;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0
Région wallonne;Psychiatrie, particulièrement en psychiatrie adulte;54;40;14;3;31;5;1;0;0;0;0;0;1;10;3;0;0;0;0;0;0;0
Région wallonne;Pneumologie;36;24;12;1;11;12;0;0;0;0;0;0;1;8;3;0;0;0;0;0;0;0
Région wallonne;Gastro-entérologie;43;25;18;1;14;10;0;0;0;0;0;0;2;11;5;0;0;0;0;0;0;0
Région wallonne;Cardiologie;49;16;33;3;8;5;0;0;0;0;0;0;1;25;7;0;0;0;0;0;0;0
Région wallonne;Médecine interne;207;114;93;15;90;9;0;0;0;0;0;0;12;73;8;0;0;0;0;0;0;0
Région wallonne;Rhumatologie;12;9;3;0;7;2;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
Région wallonne;Gynécologie-obstétrique;96;86;10;10;64;10;2;0;0;0;0;0;1;8;0;1;0;0;0;0;0;0
Région wallonne;Ophtalmologie;30;19;11;6;12;0;1;0;0;0;0;0;1;9;1;0;0;0;0;0;0;0
Région wallonne;Oto-rhino-laryngologie;25;13;12;1;10;1;1;0;0;0;0;0;0;10;2;0;0;0;0;0;0;0
Région wallonne;Stomatologie;13;7;6;2;3;2;0;0;0;0;0;0;1;4;0;1;0;0;0;0;0;0
Région wallonne;Dermato-vénéréologie;26;23;3;3;16;3;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
Région wallonne;Pédiatrie;162;137;25;19;98;19;1;0;0;0;0;0;0;18;6;1;0;0;0;0;0;0
Région wallonne;Médecine physique et réadaptation;35;15;20;1;11;3;0;0;0;0;0;0;1;16;3;0;0;0;0;0;0;0
Région wallonne;Biologie clinique;13;4;9;1;3;0;0;0;0;0;0;0;0;7;1;0;0;1;0;0;0;0
Région wallonne;Radiodiagnostic;66;32;34;7;20;5;0;0;0;0;0;0;3;28;3;0;0;0;0;0;0;0
Région wallonne;Radiothérapie-oncologie;16;12;4;1;8;3;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0
Région wallonne;Médecine nucléaire;8;4;4;0;4;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0
Région wallonne;Anatomie pathologique;18;11;7;0;7;4;0;0;0;0;0;0;1;5;1;0;0;0;0;0;0;0
Région wallonne;Oncologie médicale;22;13;9;2;9;2;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0
Région wallonne;Génétique clinique;5;5;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Région wallonne;Médecine du travail;50;35;15;0;7;13;9;2;2;1;0;1;0;4;5;3;3;0;0;0;0;0
Région wallonne;Médecine d'assurance et expertise médicale;4;2;2;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
Région de Bruxelles Capitale;Toutes les spécialités;1455;818;637;41;533;215;17;6;4;1;1;0;27;375;198;24;6;4;1;1;1;0
Région de Bruxelles Capitale;Gériatrie;34;29;5;0;14;13;1;1;0;0;0;0;0;1;3;1;0;0;0;0;0;0
Région de Bruxelles Capitale;Médecine d'urgence;130;80;50;1;45;26;6;2;0;0;0;0;1;22;20;5;0;2;0;0;0;0
Région de Bruxelles Capitale;Médecine légale;2;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Anesthésie-réanimation;117;41;76;0;27;14;0;0;0;0;0;0;6;48;21;1;0;0;0;0;0;0
Région de Bruxelles Capitale;Chirurgie;80;42;38;3;28;11;0;0;0;0;0;0;1;24;12;1;0;0;0;0;0;0
Région de Bruxelles Capitale;Neurochirurgie;14;5;9;0;3;2;0;0;0;0;0;0;0;3;5;1;0;0;0;0;0;0
Région de Bruxelles Capitale;Chirurgie plastique, reconstructive et esthétique;13;5;8;0;3;2;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Urologie;34;17;17;1;12;4;0;0;0;0;0;0;0;10;7;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Orthopédie;63;15;48;1;5;8;1;0;0;0;0;0;1;30;15;2;0;0;0;0;0;0
Région de Bruxelles Capitale;Neurologie;54;37;17;2;29;6;0;0;0;0;0;0;0;13;4;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Psychiatrie, particulièrement en psychiatrie infanto-juvénile;30;26;4;2;16;7;1;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Psychiatrie, particulièrement en psychiatrie adulte;85;44;41;0;33;11;0;0;0;0;0;0;1;27;11;1;1;0;0;0;0;0
Région de Bruxelles Capitale;Pneumologie;19;11;8;0;7;4;0;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Gastro-entérologie;28;17;11;0;6;10;1;0;0;0;0;0;0;5;6;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Cardiologie;48;24;24;0;7;17;0;0;0;0;0;0;0;12;11;1;0;0;0;0;0;0
Région de Bruxelles Capitale;Médecine interne;178;95;83;15;71;9;0;0;0;0;0;0;9;56;16;2;0;0;0;0;0;0
Région de Bruxelles Capitale;Rhumatologie;12;9;3;0;0;9;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Médecine aiguë;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Gynécologie-obstétrique;75;64;11;5;45;13;1;0;0;0;0;0;0;5;6;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Ophtalmologie;41;12;29;1;9;2;0;0;0;0;0;0;3;19;6;1;0;0;0;0;0;0
Région de Bruxelles Capitale;Oto-rhino-laryngologie;31;16;15;0;14;2;0;0;0;0;0;0;2;11;2;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Stomatologie;15;5;10;1;2;2;0;0;0;0;0;0;0;7;3;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Dermato-vénéréologie;36;29;7;2;23;4;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Pédiatrie;105;89;16;7;65;16;1;0;0;0;0;0;1;13;2;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Médecine physique et réadaptation;21;10;11;0;8;2;0;0;0;0;0;0;0;7;4;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Biologie clinique;17;8;9;0;7;1;0;0;0;0;0;0;0;5;3;1;0;0;0;0;0;0
Région de Bruxelles Capitale;Radiodiagnostic;81;39;42;0;33;4;2;0;0;0;0;0;2;23;15;2;0;0;0;0;0;0
Région de Bruxelles Capitale;Radiothérapie-oncologie;10;5;5;0;4;1;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Médecine nucléaire;16;5;11;0;4;0;1;0;0;0;0;0;0;6;5;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Anatomie pathologique;12;9;3;0;6;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Oncologie médicale;16;9;7;0;3;6;0;0;0;0;0;0;0;2;5;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Génétique clinique;7;5;2;0;2;2;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Région de Bruxelles Capitale;Médecine du travail;26;13;13;0;1;3;1;2;4;1;1;0;0;2;0;3;4;2;1;0;1;0
Région de Bruxelles Capitale;Médecine d'assurance et expertise médicale;4;1;3;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0
Brabant flamand;Toutes les spécialités;1000;586;414;38;405;117;10;9;6;0;1;0;21;266;111;9;3;0;4;0;0;0
Brabant flamand;Gériatrie;22;13;9;0;7;6;0;0;0;0;0;0;0;6;2;1;0;0;0;0;0;0
Brabant flamand;Médecine d'urgence;65;39;26;2;23;13;1;0;0;0;0;0;1;15;7;1;1;0;1;0;0;0
Brabant flamand;Médecine légale;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brabant flamand;Anesthésie-réanimation;98;41;57;1;28;9;2;1;0;0;0;0;1;38;18;0;0;0;0;0;0;0
Brabant flamand;Chirurgie;42;21;21;1;10;9;0;1;0;0;0;0;0;15;6;0;0;0;0;0;0;0
Brabant flamand;Neurochirurgie;11;3;8;0;2;1;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0
Brabant flamand;Chirurgie plastique, reconstructive et esthétique;11;6;5;0;5;1;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0
Brabant flamand;Urologie;20;11;9;1;7;3;0;0;0;0;0;0;0;5;3;1;0;0;0;0;0;0
Brabant flamand;Orthopédie;39;11;28;1;8;2;0;0;0;0;0;0;2;16;9;1;0;0;0;0;0;0
Brabant flamand;Neurologie;29;17;12;2;9;6;0;0;0;0;0;0;2;9;1;0;0;0;0;0;0;0
Brabant flamand;Psychiatrie, particulièrement en psychiatrie infanto-juvénile;30;23;7;0;15;7;0;1;0;0;0;0;1;5;1;0;0;0;0;0;0;0
Brabant flamand;Psychiatrie, particulièrement en psychiatrie adulte;61;35;26;2;25;4;2;2;0;0;0;0;1;16;8;0;1;0;0;0;0;0
Brabant flamand;Pneumologie;16;9;7;0;6;3;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0
Brabant flamand;Gastro-entérologie;21;13;8;0;7;5;0;0;1;0;0;0;0;3;5;0;0;0;0;0;0;0
Brabant flamand;Cardiologie;25;12;13;0;7;5;0;0;0;0;0;0;0;5;7;1;0;0;0;0;0;0
Brabant flamand;Médecine interne;129;80;49;10;65;5;0;0;0;0;0;0;4;37;8;0;0;0;0;0;0;0
Brabant flamand;Rhumatologie;7;3;4;0;1;2;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0
Brabant flamand;Gynécologie-obstétrique;51;43;8;4;29;8;1;1;0;0;0;0;0;3;4;0;1;0;0;0;0;0
Brabant flamand;Ophtalmologie;27;16;11;1;15;0;0;0;0;0;0;0;1;9;1;0;0;0;0;0;0;0
Brabant flamand;Oto-rhino-laryngologie;26;19;7;3;16;0;0;0;0;0;0;0;1;4;1;1;0;0;0;0;0;0
Brabant flamand;Stomatologie;17;10;7;0;8;2;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0
Brabant flamand;Dermato-vénéréologie;28;24;4;0;23;1;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0
Brabant flamand;Pédiatrie;78;67;11;7;46;13;1;0;0;0;0;0;0;9;2;0;0;0;0;0;0;0
Brabant flamand;Médecine physique et réadaptation;22;13;9;1;11;1;0;0;0;0;0;0;1;5;3;0;0;0;0;0;0;0
Brabant flamand;Biologie clinique;14;3;11;0;1;1;0;1;0;0;0;0;2;7;2;0;0;0;0;0;0;0
Brabant flamand;Radiodiagnostic;44;12;32;0;7;3;0;1;1;0;0;0;2;22;7;1;0;0;0;0;0;0
Brabant flamand;Radiothérapie-oncologie;13;4;9;1;2;1;0;0;0;0;0;0;1;5;2;1;0;0;0;0;0;0
Brabant flamand;Médecine nucléaire;3;2;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Brabant flamand;Anatomie pathologique;18;12;6;0;11;0;0;1;0;0;0;0;0;5;1;0;0;0;0;0;0;0
Brabant flamand;Oncologie médicale;11;9;2;0;6;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Brabant flamand;Génétique clinique;8;5;3;0;1;3;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0
Brabant flamand;Médecine du travail;12;8;4;0;2;0;2;0;3;0;1;0;0;1;0;0;0;0;3;0;0;0
Brabant flamand;Médecine d'assurance et expertise médicale;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Flandre occidentale;Toutes les spécialités;416;221;195;39;152;25;4;0;0;1;0;0;28;139;23;1;2;1;1;0;0;0
Flandre occidentale;Gériatrie;3;2;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Flandre occidentale;Médecine d'urgence;28;19;9;5;11;3;0;0;0;0;0;0;0;7;1;0;1;0;0;0;0;0
Flandre occidentale;Anesthésie-réanimation;33;11;22;1;8;2;0;0;0;0;0;0;5;16;1;0;0;0;0;0;0;0
Flandre occidentale;Chirurgie;23;7;16;0;6;1;0;0;0;0;0;0;2;10;4;0;0;0;0;0;0;0
Flandre occidentale;Neurochirurgie;4;3;1;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Flandre occidentale;Chirurgie plastique, reconstructive et esthétique;7;2;5;0;2;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0;0;0
Flandre occidentale;Urologie;15;7;8;1;6;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0
Flandre occidentale;Orthopédie;27;9;18;0;6;3;0;0;0;0;0;0;2;10;6;0;0;0;0;0;0;0
Flandre occidentale;Neurologie;12;8;4;1;6;0;1;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0
Flandre occidentale;Psychiatrie, particulièrement en psychiatrie infanto-juvénile;8;7;1;1;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Flandre occidentale;Psychiatrie, particulièrement en psychiatrie adulte;29;14;15;2;11;0;1;0;0;0;0;0;1;12;2;0;0;0;0;0;0;0
Flandre occidentale;Pneumologie;5;4;1;0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Flandre occidentale;Gastro-entérologie;10;8;2;0;5;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Flandre occidentale;Cardiologie;6;1;5;0;1;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0
Flandre occidentale;Médecine interne;68;36;32;8;25;3;0;0;0;0;0;0;8;22;2;0;0;0;0;0;0;0
Flandre occidentale;Rhumatologie;3;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Flandre occidentale;Gynécologie-obstétrique;12;10;2;1;7;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Flandre occidentale;Ophtalmologie;14;8;6;3;5;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0
Flandre occidentale;Oto-rhino-laryngologie;15;9;6;2;7;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0
Flandre occidentale;Stomatologie;4;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
Flandre occidentale;Dermato-vénéréologie;9;9;0;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Flandre occidentale;Pédiatrie;22;21;1;5;16;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Flandre occidentale;Médecine physique et réadaptation;13;6;7;1;5;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0
Flandre occidentale;Biologie clinique;6;3;3;0;1;1;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
Flandre occidentale;Radiodiagnostic;20;3;17;2;1;0;0;0;0;0;0;0;2;14;0;0;1;0;0;0;0;0
Flandre occidentale;Radiothérapie-oncologie;2;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Flandre occidentale;Médecine nucléaire;5;3;2;1;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
Flandre occidentale;Anatomie pathologique;3;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Flandre occidentale;Génétique clinique;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Flandre occidentale;Médecine du travail;9;4;5;0;0;2;1;0;0;1;0;0;0;1;1;1;0;1;1;0;0;0
Flandre orientale;Toutes les spécialités;929;544;385;50;390;90;9;5;0;0;0;0;33;264;73;8;5;0;0;2;0;0
Flandre orientale;Gériatrie;12;10;2;0;8;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Flandre orientale;Médecine d'urgence;67;41;26;4;27;9;0;1;0;0;0;0;2;14;9;1;0;0;0;0;0;0
Flandre orientale;Médecine légale;2;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Flandre orientale;Anesthésie-réanimation;84;40;44;3;30;6;1;0;0;0;0;0;3;31;7;1;2;0;0;0;0;0
Flandre orientale;Chirurgie;47;28;19;3;20;4;0;1;0;0;0;0;0;16;3;0;0;0;0;0;0;0
Flandre orientale;Neurochirurgie;13;3;10;1;1;1;0;0;0;0;0;0;0;7;3;0;0;0;0;0;0;0
Flandre orientale;Chirurgie plastique, reconstructive et esthétique;14;8;6;2;3;3;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0
Flandre orientale;Urologie;32;17;15;0;11;6;0;0;0;0;0;0;0;10;5;0;0;0;0;0;0;0
Flandre orientale;Orthopédie;40;6;34;0;5;0;1;0;0;0;0;0;3;28;3;0;0;0;0;0;0;0
Flandre orientale;Neurologie;35;24;11;2;19;1;2;0;0;0;0;0;0;10;1;0;0;0;0;0;0;0
