Territoire-Spécialité;Unnamed: 1;Total;Genre;Unnamed: 4;Femme;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Homme;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22
;Neuropsychiatrie;176.0;38;138;0;0;0;0;0;0;0;5;33;0;0;0;0;0;0;0;6;132
;"Psychiatrie, particulièrement en
psychiatrie infanto-juvénile";437.0;348;89;0;39;76;67;71;43;11;12;29;0;11;10;14;13;7;5;9;20
;"Psychiatrie, particulièrement en
psychiatrie adulte";944.0;480;464;0;64;94;95;97;43;9;19;59;0;49;37;43;70;29;11;37;188
;Pneumologie;712.0;315;397;0;35;59;66;56;43;16;15;25;0;34;29;22;39;33;45;62;133
;Gastro-entérologie;871.0;324;547;0;49;74;52;45;38;21;19;26;0;41;45;35;59;53;66;77;171
;Cardiologie;1414.0;367;1047;0;40;69;63;54;42;39;28;32;0;73;101;89;120;104;124;113;323
;Médecine interne;2073.0;881;1192;0;119;165;134;152;112;70;44;85;0;93;61;74;91;109;131;126;507
;Rhumatologie;303.0;150;153;0;19;21;15;17;22;23;10;23;0;4;12;6;8;12;11;20;80
;Médecine aiguë;302.0;135;167;0;8;11;13;28;39;13;10;13;0;5;7;10;21;45;29;25;25
;Gynécologie-obstétrique;1888.0;1118;770;0;205;194;137;140;134;105;84;119;0;21;29;37;53;58;82;95;395
;Ophtalmologie;1400.0;869;531;22;96;106;89;95;89;80;75;217;21;44;39;33;32;46;56;54;206
;Oto-rhino-laryngologie;807.0;387;420;2;61;56;47;49;47;52;27;46;0;18;24;25;35;30;42;57;189
;Stomatologie;407.0;109;298;0;15;16;18;9;20;5;8;18;1;35;33;25;25;24;27;35;93
;Dermato-vénéréologie;920.0;676;244;0;83;71;69;87;89;78;57;142;1;7;20;9;15;18;27;29;118
;Pédiatrie;2141.0;1497;644;1;213;230;181;211;172;150;101;238;0;31;49;39;37;56;48;59;325
;Médecine physique et réadaptation;657.0;320;337;0;38;46;29;48;44;32;37;46;0;36;23;25;27;18;35;31;142
;Biologie clinique;735.0;365;370;0;22;26;31;35;41;34;42;134;1;18;16;15;17;12;39;42;210
;Radiodiagnostic;2033.0;642;1391;1;71;103;70;83;75;88;63;88;3;121;124;95;101;109;161;210;467
;Radiothérapie-oncologie;263.0;154;109;0;11;21;26;23;19;17;17;20;0;8;12;16;16;13;4;20;20
;Médecine nucléaire;360.0;137;223;1;13;12;19;17;14;19;23;19;0;10;18;10;12;19;22;22;110
;Anatomie pathologique;441.0;247;194;1;27;33;23;33;39;25;22;44;0;16;11;18;19;17;15;21;77
;Oncologie médicale;360.0;208;152;0;33;46;34;24;28;18;11;14;0;17;19;10;12;20;28;13;33
;Génétique clinique;77.0;49;28;0;0;5;8;8;11;7;3;7;0;0;0;7;2;6;6;4;3
;Médecine du travail;1211.0;672;539;1;9;19;48;120;121;108;109;137;0;2;9;8;49;35;46;91;299
;"Médecine d'assurance et expertise
médicale";621.0;199;422;0;2;0;3;8;34;37;44;71;0;1;2;0;9;19;35;90;266
Région flamande;Toutes les spécialités;17309.0;7628;9681;19;999;1250;1014;1065;1061;793;546;881;14;697;807;696;923;910;1006;1217;3411
;Gériatrie;262.0;162;100;0;31;33;20;23;25;11;8;11;0;10;6;7;6;9;7;12;43
;Médecine d'urgence;213.0;114;99;0;42;41;18;5;4;4;0;0;0;40;32;12;8;5;0;2;0
;Médecine légale;7.0;3;4;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2
;Gestion des données de santé;25.0;9;16;0;0;0;0;1;0;3;3;2;0;0;0;0;1;2;3;4;6
;Anesthésie-réanimation;1698.0;718;980;2;85;133;88;97;103;77;44;89;0;121;109;85;112;118;107;109;219
;Chirurgie;1040.0;246;794;0;33;58;38;40;35;9;11;22;0;36;70;67;80;82;85;93;281
;Neurochirurgie;167.0;19;148;0;3;5;1;2;4;4;0;0;0;10;21;19;21;20;11;12;34
;"Chirurgie plastique, reconstructive et
esthétique";187.0;54;133;0;10;12;7;3;6;4;4;8;0;8;12;12;10;18;19;18;36
;Urologie;336.0;61;275;0;13;17;13;6;7;2;2;1;0;21;37;20;30;33;23;32;79
;Orthopédie;814.0;101;713;0;22;21;20;5;16;7;5;5;0;53;78;60;90;65;76;101;190
;Neurologie;412.0;213;199;1;41;43;43;26;18;21;6;14;0;19;15;19;27;22;16;27;54
;Psychiatrie;266.0;139;127;0;0;0;2;2;46;58;23;8;0;0;0;0;5;38;44;23;17
;Neuropsychiatrie;105.0;24;81;0;0;0;0;0;0;0;4;20;0;0;0;0;0;0;0;4;77
;"Psychiatrie, particulièrement en
psychiatrie infanto-juvénile";289.0;241;48;0;25;49;41;57;29;7;12;21;0;3;3;9;7;4;2;5;15
;"Psychiatrie, particulièrement en
psychiatrie adulte";648.0;301;347;0;41;52;63;60;17;4;13;51;0;29;21;23;44;14;3;34;179
;Pneumologie;383.0;177;206;0;19;39;38;33;25;8;9;6;0;15;18;15;20;14;24;36;64
;Gastro-entérologie;478.0;179;299;0;34;45;28;26;23;10;7;6;0;26;29;25;35;29;33;42;80
;Cardiologie;735.0;151;584;0;14;34;26;26;22;17;5;7;0;41;64;60;77;57;74;57;154
;Médecine interne;1003.0;432;571;0;61;82;73;72;56;33;26;29;0;39;33;30;40;55;57;58;259
;Rhumatologie;156.0;78;78;0;10;17;6;8;13;11;5;8;0;1;7;4;7;6;6;7;40
;Médecine aiguë;140.0;61;79;0;6;9;8;14;11;6;3;4;0;2;5;9;13;25;11;8;6
;Gynécologie-obstétrique;950.0;555;395;0;110;106;78;73;74;51;33;30;0;12;11;21;25;29;44;55;198
;Ophtalmologie;831.0;532;299;12;61;67;53;52;66;53;48;120;10;21;18;19;14;24;32;34;127
;Oto-rhino-laryngologie;445.0;216;229;2;39;38;30;25;22;27;13;20;0;7;15;14;25;19;19;31;99
;Stomatologie;247.0;66;181;0;12;12;13;3;14;2;3;7;0;22;21;20;21;13;17;28;39
;Dermato-vénéréologie;513.0;385;128;0;48;43;40;59;54;42;28;71;0;1;12;6;7;14;16;11;61
;Pédiatrie;1046.0;736;310;0;108;113;86;101;100;92;40;96;0;12;21;16;22;30;21;36;152
;Médecine physique et réadaptation;403.0;183;220;0;24;25;17;29;28;18;21;21;0;28;18;13;18;14;23;18;88
;Biologie clinique;396.0;187;209;0;17;15;22;25;27;18;18;45;1;9;9;11;12;10;31;24;102
;Radiodiagnostic;1140.0;321;819;0;35;57;34;44;47;42;28;34;3;78;79;55;70;59;107;123;245
;Radiothérapie-oncologie;167.0;94;73;0;8;13;17;19;13;14;7;3;0;5;9;11;9;7;2;15;15
;Médecine nucléaire;172.0;64;108;0;7;8;10;9;9;9;8;4;0;4;10;6;4;12;13;13;46
;Anatomie pathologique;276.0;144;132;1;15;17;18;23;23;17;12;18;0;12;5;13;16;13;10;10;53
;Oncologie médicale;182.0;112;70;0;16;28;19;15;14;10;7;3;0;9;10;4;5;14;12;7;9
;Génétique clinique;48.0;29;19;0;0;1;6;4;6;5;3;4;0;0;0;5;0;4;5;3;2
;Médecine du travail;786.0;415;371;1;6;15;35;75;78;74;64;67;0;2;6;6;38;20;34;71;194
;"Médecine d'assurance et expertise
médicale";343.0;106;237;0;2;0;3;3;26;23;23;26;0;1;2;0;4;12;19;53;146
Région wallonne;Toutes les spécialités;10077.0;4436;5641;10;448;615;534;611;559;455;402;802;8;313;388;358;454;531;622;685;2282
;Gériatrie;128.0;96;32;0;11;22;18;13;12;12;4;4;0;2;2;6;2;4;1;6;9
;Médecine d'urgence;153.0;65;88;0;20;23;14;2;6;0;0;0;0;21;22;14;9;14;4;2;2
;Médecine légale;6.0;2;4;0;0;0;0;2;0;0;0;0;0;0;0;1;2;0;0;0;1
;Gestion des données de santé;19.0;6;13;0;0;0;0;0;1;0;4;1;0;0;0;0;0;2;2;6;3
;Anesthésie-réanimation;956.0;369;587;1;35;59;48;55;49;30;20;72;0;59;65;51;68;71;67;66;140
;Chirurgie;591.0;131;460;0;16;24;16;13;18;19;10;15;0;12;21;31;36;43;46;58;213
;Neurochirurgie;79.0;14;65;0;1;6;1;1;2;1;2;0;0;6;10;3;9;7;8;4;18
;"Chirurgie plastique, reconstructive et
esthétique";88.0;26;62;0;2;4;4;5;1;4;4;2;0;5;6;13;6;5;7;10;10
;Urologie;162.0;31;131;0;8;3;4;7;0;5;3;1;0;5;16;10;12;17;12;10;49
;Orthopédie;423.0;48;375;0;8;5;9;9;5;3;2;7;0;20;36;34;31;36;43;46;129
;Neurologie;224.0;110;114;0;11;18;13;17;20;11;11;9;0;6;11;6;14;8;23;17;29
;Psychiatrie;410.0;181;229;0;1;4;6;21;31;32;31;55;0;0;3;2;13;20;26;29;136
;Neuropsychiatrie;47.0;6;41;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;2;39
;"Psychiatrie, particulièrement en
psychiatrie infanto-juvénile";84.0;60;24;0;6;15;14;7;11;1;0;6;0;3;3;1;5;3;3;2;4
;"Psychiatrie, particulièrement en
psychiatrie adulte";171.0;106;65;0;11;23;25;24;17;1;2;3;0;9;8;12;13;10;7;1;5
;Pneumologie;251.0;102;149;0;10;16;18;18;13;7;5;15;0;12;10;6;14;17;18;20;52
;Gastro-entérologie;278.0;101;177;0;8;22;20;11;10;8;10;12;0;5;9;6;18;19;26;29;65
;Cardiologie;467.0;133;334;0;15;22;20;19;17;15;14;11;0;18;24;21;29;37;40;40;125
;Médecine interne;709.0;293;416;0;36;50;42;51;42;28;9;35;0;27;13;25;36;38;58;52;167
;Rhumatologie;108.0;54;54;0;7;3;8;7;6;9;2;12;0;3;4;2;1;3;3;11;27
;Médecine aiguë;135.0;60;75;0;2;0;3;12;23;7;5;8;0;2;2;1;7;18;16;13;16
;Gynécologie-obstétrique;643.0;376;267;0;60;56;40;48;47;40;31;54;0;4;11;12;17;24;30;28;141
;Ophtalmologie;395.0;227;168;7;18;25;25;30;18;21;17;66;7;16;15;10;12;15;19;15;59
;Oto-rhino-laryngologie;275.0;132;143;0;17;15;16;16;18;21;12;17;0;7;7;8;9;8;16;20;68
;Stomatologie;101.0;25;76;0;0;4;3;5;4;1;3;5;1;6;6;3;2;9;9;4;36
;Dermato-vénéréologie;269.0;191;78;0;23;17;23;19;24;26;17;42;0;4;6;1;6;3;7;12;39
;Pédiatrie;734.0;507;227;1;65;84;63;78;50;37;39;90;0;6;18;17;10;16;22;17;121
;Médecine physique et réadaptation;205.0;108;97;0;8;17;11;14;14;10;12;22;0;5;3;12;9;3;12;10;43
;Biologie clinique;239.0;124;115;0;5;7;6;9;8;10;16;63;0;5;6;3;4;1;4;13;79
;Radiodiagnostic;667.0;218;449;0;17;31;25;31;19;32;31;32;0;30;29;30;26;42;41;72;179
;Radiothérapie-oncologie;75.0;43;32;0;2;6;8;3;3;1;8;12;0;3;2;4;7;6;2;4;4
;Médecine nucléaire;141.0;55;86;1;3;3;5;6;4;10;11;12;0;5;4;2;5;3;8;8;51
;Anatomie pathologique;119.0;72;47;0;9;11;3;6;14;6;7;16;0;3;6;5;3;2;4;7;17
;Oncologie médicale;119.0;65;54;0;11;13;8;5;11;6;3;8;0;4;7;2;4;4;13;4;16
;Génétique clinique;19.0;12;7;0;0;3;2;2;3;1;0;1;0;0;0;2;1;2;1;1;0
;Médecine du travail;348.0;212;136;0;2;4;13;40;33;28;36;56;0;0;3;2;11;14;11;15;80
;"Médecine d'assurance et expertise
médicale";239.0;75;164;0;0;0;0;5;5;12;20;33;0;0;0;0;3;7;13;31;110
"Région de
Bruxelles Capitale";Toutes les spécialités;4030.0;2021;2009;4;284;289;222;231;204;182;176;429;5;223;177;131;154;150;154;213;802
;Gériatrie;42.0;29;13;0;6;6;6;4;4;1;1;1;0;1;1;2;1;0;1;2;5
;Médecine d'urgence;55.0;31;24;0;6;11;6;4;1;1;2;0;0;4;8;4;4;1;2;0;1
;Médecine légale;1.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;Gestion des données de santé;13.0;7;6;0;0;0;0;0;1;4;1;1;0;0;0;1;0;0;2;1;2
;Anesthésie-réanimation;309.0;150;159;0;24;26;16;8;19;12;5;40;0;39;19;16;13;18;14;13;27
;Chirurgie;210.0;59;151;0;6;13;9;8;3;4;3;13;0;15;20;7;11;15;10;10;63
;Neurochirurgie;19.0;4;15;0;0;2;0;0;1;1;0;0;0;0;0;1;2;2;0;4;6
;"Chirurgie plastique, reconstructive et
esthétique";38.0;9;29;0;3;0;1;2;0;0;1;2;0;4;3;3;3;4;1;3;8
;Urologie;52.0;6;46;0;1;1;2;2;0;0;0;0;0;4;5;2;4;3;2;6;20
;Orthopédie;114.0;19;95;0;4;1;1;1;4;2;2;4;0;12;7;6;7;8;6;13;36
;Neurologie;99.0;59;40;0;15;7;7;7;5;8;4;6;0;5;6;5;7;2;5;5;5
;Psychiatrie;245.0;107;138;0;0;1;2;6;18;23;23;34;0;0;0;0;5;7;14;22;90
;Neuropsychiatrie;24.0;8;16;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;16
;"Psychiatrie, particulièrement en
psychiatrie infanto-juvénile";64.0;47;17;0;8;12;12;7;3;3;0;2;0;5;4;4;1;0;0;2;1
;"Psychiatrie, particulièrement en
psychiatrie adulte";125.0;73;52;0;12;19;7;13;9;4;4;5;0;11;8;8;13;5;1;2;4
;Pneumologie;78.0;36;42;0;6;4;10;5;5;1;1;4;0;7;1;1;5;2;3;6;17
;Gastro-entérologie;115.0;44;71;0;7;7;4;8;5;3;2;8;0;10;7;4;6;5;7;6;26
;Cardiologie;212.0;83;129;0;11;13;17;9;3;7;9;14;0;14;13;8;14;10;10;16;44
;Médecine interne;361.0;156;205;0;22;33;19;29;14;9;9;21;0;27;15;19;15;16;16;16;81
;Rhumatologie;39.0;18;21;0;2;1;1;2;3;3;3;3;0;0;1;0;0;3;2;2;13
;Médecine aiguë;27.0;14;13;0;0;2;2;2;5;0;2;1;0;1;0;0;1;2;2;4;3
;Gynécologie-obstétrique;295.0;187;108;0;35;32;19;19;13;14;20;35;0;5;7;4;11;5;8;12;56
;Ophtalmologie;174.0;110;64;3;17;14;11;13;5;6;10;31;4;7;6;4;6;7;5;5;20
;Oto-rhino-laryngologie;87.0;39;48;0;5;3;1;8;7;4;2;9;0;4;2;3;1;3;7;6;22
;Stomatologie;59.0;18;41;0;3;0;2;1;2;2;2;6;0;7;6;2;2;2;1;3;18
;Dermato-vénéréologie;138.0;100;38;0;12;11;6;9;11;10;12;29;1;2;2;2;2;1;4;6;18
;Pédiatrie;361.0;254;107;0;40;33;32;32;22;21;22;52;0;13;10;6;5;10;5;6;52
;Médecine physique et réadaptation;49.0;29;20;0;6;4;1;5;2;4;4;3;0;3;2;0;0;1;0;3;11
;Biologie clinique;100.0;54;46;0;0;4;3;1;6;6;8;26;0;4;1;1;1;1;4;5;29
;Radiodiagnostic;226.0;103;123;1;19;15;11;8;9;14;4;22;0;13;16;10;5;8;13;15;43
;Radiothérapie-oncologie;21.0;17;4;0;1;2;1;1;3;2;2;5;0;0;1;1;0;0;0;1;1
;Médecine nucléaire;47.0;18;29;0;3;1;4;2;1;0;4;3;0;1;4;2;3;4;1;1;13
;Anatomie pathologique;46.0;31;15;0;3;5;2;4;2;2;3;10;0;1;0;0;0;2;1;4;7
;Oncologie médicale;59.0;31;28;0;6;5;7;4;3;2;1;3;0;4;2;4;3;2;3;2;8
;Génétique clinique;10.0;8;2;0;0;1;0;2;2;1;0;2;0;0;0;0;1;0;0;0;1
;Médecine du travail;77.0;45;32;0;1;0;0;5;10;6;9;14;0;0;0;0;0;1;1;5;25
;"Médecine d'assurance et expertise
médicale";39.0;18;21;0;0;0;0;0;3;2;1;12;0;0;0;0;2;0;3;6;10
Brabant flamand;Toutes les spécialités;4649.0;2215;2434;4;237;358;298;352;307;216;168;275;4;175;211;174;235;231;261;331;812
;Gériatrie;57.0;40;17;0;3;7;7;6;9;2;2;4;0;2;1;1;2;1;2;1;7
;Médecine d'urgence;52.0;23;29;0;4;7;5;3;2;2;0;0;0;10;10;2;3;2;0;2;0
;Médecine légale;3.0;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;Gestion des données de santé;11.0;6;5;0;0;0;0;0;0;1;3;2;0;0;0;0;0;0;0;1;4
;Anesthésie-réanimation;392.0;169;223;0;18;28;23;24;25;14;10;27;0;31;24;21;29;19;26;36;37
;Chirurgie;304.0;80;224;0;9;22;10;19;12;3;1;4;0;13;23;22;23;21;22;18;82
;Neurochirurgie;36.0;6;30;0;3;0;1;0;1;1;0;0;0;1;5;6;2;6;4;2;4
;"Chirurgie plastique, reconstructive et
esthétique";40.0;15;25;0;1;4;3;2;4;1;0;0;0;2;1;2;0;4;6;4;6
;Urologie;66.0;12;54;0;1;2;3;1;3;1;1;0;0;2;9;4;6;6;4;10;13
;Orthopédie;181.0;27;154;0;4;7;4;2;3;3;1;3;0;7;21;14;25;14;16;22;35
;Neurologie;98.0;55;43;1;11;10;6;5;10;4;3;5;0;1;3;3;7;7;2;5;15
;Psychiatrie;73.0;41;32;0;0;0;1;1;13;13;9;4;0;0;0;0;3;3;10;6;10
;Neuropsychiatrie;32.0;7;25;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;1;24
;"Psychiatrie, particulièrement en
psychiatrie infanto-juvénile";83.0;72;11;0;9;9;11;20;10;1;4;8;0;1;0;0;2;1;0;4;3
;"Psychiatrie, particulièrement en
psychiatrie adulte";167.0;80;87;0;8;11;16;25;5;0;7;8;0;6;7;8;9;4;1;7;45
;Pneumologie;106.0;55;51;0;5;13;12;11;6;3;3;2;0;7;5;1;6;4;4;11;13
;Gastro-entérologie;117.0;46;71;0;7;7;10;6;9;3;3;1;0;6;7;7;6;5;10;11;19
;Cardiologie;205.0;44;161;0;3;11;7;8;6;5;2;2;0;9;20;16;19;13;23;20;41
;Médecine interne;313.0;140;173;0;21;28;19;27;16;7;12;10;0;16;8;14;13;23;18;19;62
;Rhumatologie;34.0;16;18;0;1;3;2;4;3;2;0;1;0;0;2;0;2;5;1;1;7
;Médecine aiguë;55.0;26;29;0;3;8;3;4;5;2;0;1;0;1;3;2;3;11;6;2;1
;Gynécologie-obstétrique;274.0;169;105;0;25;32;28;23;22;14;11;14;0;3;2;6;10;9;9;19;47
;Ophtalmologie;229.0;151;78;3;17;19;15;17;15;18;9;38;4;6;7;6;3;9;7;12;24
;Oto-rhino-laryngologie;109.0;59;50;0;8;16;7;7;5;7;3;6;0;2;3;5;6;1;3;8;22
;Stomatologie;60.0;21;39;0;3;4;4;1;3;1;0;5;0;10;5;3;5;0;3;4;9
;Dermato-vénéréologie;142.0;115;27;0;18;11;12;25;13;9;5;22;0;0;2;0;0;9;6;2;8
;Pédiatrie;317.0;229;88;0;21;36;36;35;31;30;10;30;0;3;7;6;6;9;8;15;34
;Médecine physique et réadaptation;96.0;48;48;0;8;8;5;8;5;1;6;7;0;6;3;2;2;3;3;2;27
;Biologie clinique;124.0;53;71;0;5;2;4;8;8;2;8;16;0;3;2;2;3;3;9;8;41
;Radiodiagnostic;311.0;107;204;0;9;19;12;12;19;15;8;13;0;18;21;13;21;16;30;28;57
;Radiothérapie-oncologie;45.0;29;16;0;3;5;3;3;5;5;5;0;0;2;2;2;2;1;1;3;3
;Médecine nucléaire;47.0;25;22;0;3;4;5;2;2;5;2;2;0;1;1;1;1;3;4;4;7
;Anatomie pathologique;74.0;43;31;0;2;7;6;9;4;4;4;7;0;4;1;4;4;1;2;2;13
;Oncologie médicale;58.0;34;24;0;3;10;4;7;2;3;3;2;0;2;3;0;2;7;4;2;4
;Génétique clinique;23.0;14;9;0;0;1;3;3;2;3;2;0;0;0;0;1;0;1;3;3;1
;Médecine du travail;217.0;118;99;0;1;5;10;22;22;21;19;18;0;0;2;0;9;6;9;19;54
;"Médecine d'assurance et expertise
médicale";98.0;38;60;0;0;0;1;2;7;10;11;7;0;0;1;0;1;4;5;17;32
Flandre occidentale;Toutes les spécialités;2775.0;1039;1736;0;162;165;131;126;140;118;61;136;1;101;114;118;140;143;166;208;745
;Gériatrie;54.0;34;20;0;11;7;3;4;3;3;1;2;0;0;1;2;1;1;1;4;10
;Médecine d'urgence;26.0;14;12;0;6;5;3;0;0;0;0;0;0;7;3;1;1;0;0;0;0
;Gestion des données de santé;2.0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
;Anesthésie-réanimation;314.0;121;193;0;19;17;13;16;18;14;9;15;0;13;17;14;27;22;22;19;59
;Chirurgie;150.0;28;122;0;4;9;2;7;2;0;1;3;0;4;7;8;8;10;10;15;60
;Neurochirurgie;27.0;2;25;0;0;1;0;0;1;0;0;0;0;3;4;2;5;2;0;2;7
;"Chirurgie plastique, reconstructive et
esthétique";27.0;7;20;0;2;3;0;0;0;1;0;1;0;1;0;4;2;2;2;3;6
;Urologie;65.0;7;58;0;0;5;0;0;2;0;0;0;0;2;7;4;6;9;6;4;20
;Orthopédie;160.0;13;147;0;4;2;2;0;2;2;1;0;0;15;12;11;12;12;18;23;44
;Neurologie;63.0;24;39;0;3;4;8;2;2;5;0;0;0;5;1;1;5;4;2;10;11
;Psychiatrie;32.0;11;21;0;0;0;1;0;2;7;0;1;0;0;0;0;0;6;8;4;3
;Neuropsychiatrie;17.0;3;14;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;14
;"Psychiatrie, particulièrement en
psychiatrie infanto-juvénile";29.0;25;4;0;3;6;2;4;3;0;1;6;0;0;0;0;1;0;0;0;3
;"Psychiatrie, particulièrement en
psychiatrie adulte";93.0;39;54;0;5;9;10;5;0;0;1;9;0;4;4;4;4;1;2;4;31
;Pneumologie;59.0;25;34;0;3;4;7;5;3;1;2;0;0;2;1;2;3;0;5;5;16
;Gastro-entérologie;80.0;25;55;0;6;8;3;3;2;2;1;0;0;2;6;4;8;5;4;9;17
;Cardiologie;104.0;13;91;0;1;2;5;1;1;2;0;1;0;4;10;8;9;11;10;4;35
;Médecine interne;127.0;38;89;0;4;6;10;8;5;2;2;1;0;6;3;3;4;9;7;5;52
;Rhumatologie;21.0;10;11;0;2;2;0;0;1;3;0;2;0;0;2;1;2;0;0;1;5
;Médecine aiguë;21.0;9;12;0;1;0;3;0;3;2;0;0;0;0;0;3;3;1;2;2;1
;Gynécologie-obstétrique;141.0;67;74;0;18;11;8;8;10;8;4;0;0;2;2;5;1;4;8;9;43
;Ophtalmologie;139.0;90;49;0;7;10;6;7;15;9;10;26;1;1;2;4;1;3;6;4;27
;Oto-rhino-laryngologie;82.0;28;54;0;9;6;1;0;3;8;1;0;0;3;2;4;4;8;3;6;24
;Stomatologie;37.0;6;31;0;1;1;1;0;2;0;0;1;0;0;3;4;3;4;6;6;5
;Dermato-vénéréologie;82.0;53;29;0;7;8;2;6;11;4;1;14;0;0;2;2;2;0;4;2;17
;Pédiatrie;166.0;110;56;0;15;17;13;13;11;15;2;24;0;1;4;3;1;4;3;5;35
;Médecine physique et réadaptation;74.0;30;44;0;5;4;4;5;5;4;2;1;0;3;5;3;1;3;3;3;23
;Biologie clinique;59.0;23;36;0;4;2;2;4;2;2;1;6;0;2;1;3;3;2;2;5;18
;Radiodiagnostic;221.0;42;179;0;9;7;4;6;7;3;3;3;0;19;11;11;11;10;24;26;67
;Radiothérapie-oncologie;31.0;19;12;0;2;1;2;7;2;3;1;1;0;1;0;2;4;1;0;1;3
;Médecine nucléaire;29.0;9;20;0;1;0;2;2;3;0;1;0;0;0;3;0;1;0;1;2;13
;Anatomie pathologique;41.0;16;25;0;4;1;4;2;2;1;0;2;0;1;0;2;4;4;1;1;12
;Oncologie médicale;34.0;25;9;0;4;5;6;1;4;3;1;1;0;0;0;1;0;3;2;1;2
;Génétique clinique;1.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;Médecine du travail;117.0;63;54;0;2;2;4;10;9;12;13;11;0;0;1;1;3;1;4;10;34
;"Médecine d'assurance et expertise
médicale";50.0;10;40;0;0;0;0;0;4;2;2;2;0;0;0;0;0;1;0;12;27
Flandre orientale;Toutes les spécialités;3769.0;1702;2067;5;235;279;257;215;225;177;129;180;4;179;182;148;199;197;220;237;701
;Gériatrie;54.0;32;22;0;5;5;6;4;5;2;2;3;0;4;1;1;1;3;0;3;9
;Médecine d'urgence;54.0;31;23;0;17;9;3;1;0;1;0;0;0;9;6;6;2;0;0;0;0
;Médecine légale;2.0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
;Gestion des données de santé;4.0;2;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0
;Anesthésie-réanimation;377.0;145;232;0;14;28;23;17;18;21;9;15;0;36;32;20;21;31;22;20;50
;Chirurgie;207.0;51;156;0;7;9;11;6;8;3;2;5;0;4;14;12;18;15;22;19;52
;Neurochirurgie;32.0;4;28;0;0;2;0;0;1;1;0;0;0;1;5;4;5;2;2;2;7
;"Chirurgie plastique, reconstructive et
esthétique";51.0;11;40;0;2;1;2;0;2;2;1;1;0;2;4;5;4;5;7;3;10
;Urologie;87.0;21;66;0;4;5;7;2;1;1;0;1;0;10;10;3;8;5;3;8;19
;Orthopédie;177.0;19;158;0;4;4;4;1;4;1;1;0;0;14;22;9;20;13;16;26;38
;Neurologie;88.0;51;37;0;13;7;13;5;3;6;1;3;0;4;4;5;6;3;4;3;8
;Psychiatrie;50.0;26;24;0;0;0;0;0;7;14;2;3;0;0;0;0;1;10;8;3;2
;Neuropsychiatrie;17.0;4;13;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;13
