Territoire-Spécialité;Unnamed: 1;Total;Genre;Unnamed: 4;Femme;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Homme;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24
Hainaut;Toutes les spécialités;751.0;363;388;2;30;33;36;26;34;39;27;64;72;3;19;24;21;21;14;21;38;67;160
;Dentisterie générale;719.0;342;377;2;28;32;36;23;30;35;26;61;69;3;18;23;21;21;14;21;36;63;157
;Parodontologie;4.0;3;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;Orthodontie;28.0;18;10;0;2;0;0;3;3;3;1;3;3;0;1;1;0;0;0;0;1;4;3
Liège;Toutes les spécialités;1116.0;537;579;0;85;60;58;37;50;31;45;77;94;4;29;56;23;31;23;26;47;135;205
;Dentisterie générale;1029.0;481;548;0;81;54;50;27;46;27;39;73;84;4;27;50;20;27;21;24;44;131;200
;Parodontologie;22.0;11;11;0;1;0;3;4;1;1;1;0;0;0;1;3;2;2;1;1;1;0;0
;Orthodontie;65.0;45;20;0;3;6;5;6;3;3;5;4;10;0;1;3;1;2;1;1;2;4;5
Namur;Toutes les spécialités;370.0;196;174;0;22;22;18;4;15;19;24;21;51;1;10;9;2;8;8;12;21;31;72
;Dentisterie générale;351.0;181;170;0;21;20;17;3;14;15;21;20;50;1;9;9;2;8;7;12;19;31;72
;Parodontologie;7.0;5;2;0;1;2;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0
;Orthodontie;12.0;10;2;0;0;0;1;1;0;4;2;1;1;0;1;0;0;0;0;0;1;0;0
Luxembourg;Toutes les spécialités;189.0;94;95;0;15;15;3;3;8;6;8;13;23;0;3;4;3;3;6;7;9;26;34
;Dentisterie générale;178.0;87;91;0;15;14;3;2;8;6;7;11;21;0;3;4;2;3;5;7;8;25;34
;Orthodontie;11.0;7;4;0;0;1;0;1;0;0;1;2;2;0;0;0;1;0;1;0;1;1;0
Région de Bruxelles Capitale;Toutes les spécialités;1347.0;667;680;3;90;135;59;39;49;42;72;54;124;2;54;118;73;44;36;44;62;86;161
;Dentisterie générale;1263.0;626;637;3;88;121;58;38;44;38;62;52;122;2;53;107;65;39;27;44;59;84;157
;Parodontologie;18.0;8;10;0;1;3;1;1;1;0;1;0;0;0;0;1;1;1;3;0;2;1;1
;Orthodontie;66.0;33;33;0;1;11;0;0;4;4;9;2;2;0;1;10;7;4;6;0;1;1;3
