territoire;agrément;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Belgique;QPP;Gériatrie;3347;3050;297;1;40;163;347;433;450;508;605;374;129;0;4;30;36;56;43;45;43;31;9
Belgique;QPP;Santé mentale et psychiatrie;2025;1622;403;0;12;120;172;197;200;270;301;263;87;0;3;25;38;42;69;49;84;59;34
Belgique;QPP;Diabétologie;975;880;95;2;56;82;86;128;124;144;143;85;30;1;5;12;8;18;12;10;16;12;1
Belgique;QPP;Soins palliatifs;985;890;95;2;28;59;77;99;115;129;196;143;42;0;1;11;11;15;15;12;17;10;3
Belgique;TPP;Gériatrie;2258;1861;397;7;100;159;208;290;267;304;274;189;63;0;9;19;33;55;62;71;76;54;18
Belgique;TPP;Oncologie;3147;2809;338;53;304;326;322;439;360;386;306;245;68;2;23;21;40;45;62;28;55;41;21
Belgique;TPP;Soins intensifs et d'urgence;12332;8645;3687;311;1415;1399;1156;1242;1026;856;602;436;202;79;495;520;462;531;408;396;361;301;134
Belgique;TPP;Pédiatrie et néonatologie;4928;4774;154;136;787;775;648;663;534;474;407;270;80;2;17;27;25;23;10;16;26;7;1
Belgique;TPP;Santé mentale et psychiatrie;2702;1842;860;21;92;181;217;283;340;256;220;183;49;3;28;65;70;125;144;125;116;148;36
Belgique;TPP;Soins péri-opératoires, anesthésie, assistance opératoire et instrumentation;2133;1734;399;14;141;216;240;315;242;246;210;98;12;1;17;52;51;75;49;49;64;38;3
Région flamande;QPP;Gériatrie;2448;2259;189;0;20;90;224;306;320;381;500;311;107;0;2;9;23;29;28;30;37;24;7
Région flamande;QPP;Santé mentale et psychiatrie;1290;1021;269;0;4;83;113;115;112;165;185;180;64;0;2;15;20;24;33;33;61;51;30
Région flamande;QPP;Diabétologie;590;527;63;2;42;52;53;71;70;86;91;50;10;1;4;4;7;8;7;9;13;10;0
Région flamande;QPP;Soins palliatifs;495;442;53;1;7;21;30;46;55;67;104;89;22;0;1;2;6;10;8;7;9;7;3
Région flamande;TPP;Gériatrie;1668;1350;318;2;50;96;143;204;202;236;228;141;48;0;8;15;21;34;50;59;65;50;16
Région flamande;TPP;Oncologie;2066;1836;230;28;168;191;202;290;244;286;223;153;51;2;12;11;22;34;37;18;45;32;17
Région flamande;TPP;Soins intensifs et d'urgence;7333;5036;2297;180;804;795;681;730;597;506;326;285;132;51;271;269;275;312;232;274;275;220;118
Région flamande;TPP;Pédiatrie et néonatologie;2731;2647;84;76;399;386;303;349;323;313;268;176;54;1;7;18;8;9;2;11;20;7;1
Région flamande;TPP;Santé mentale et psychiatrie;1700;1130;570;5;32;98;136;150;224;178;150;121;36;1;10;30;34;72;92;87;90;122;32
Région flamande;TPP;Soins péri-opératoires, anesthésie, assistance opératoire et instrumentation;1280;1021;259;2;38;102;146;200;151;162;148;65;7;1;2;25;25;40;34;39;57;34;2
Région wallonne;QPP;Gériatrie;761;672;89;1;16;65;104;111;110;107;87;52;19;0;1;18;9;23;12;13;4;7;2
Région wallonne;QPP;Santé mentale et psychiatrie;683;556;127;0;4;36;56;76;84;97;108;75;20;0;1;9;16;18;36;15;21;7;4
Région wallonne;QPP;Diabétologie;335;309;26;0;13;27;30;45;48;51;46;31;18;0;1;6;1;8;5;0;2;2;1
Région wallonne;QPP;Soins palliatifs;442;409;33;1;20;36;44;48;58;53;84;46;19;0;0;6;4;5;5;3;7;3;0
Région wallonne;TPP;Gériatrie;493;433;60;5;42;55;54;72;59;54;41;39;12;0;1;3;11;16;11;8;8;2;0
Région wallonne;TPP;Oncologie;888;799;89;23;112;105;98;127;101;80;70;69;14;0;9;9;12;8;23;9;8;8;3
Région wallonne;TPP;Soins intensifs et d'urgence;4451;3237;1214;108;505;533;429;481;399;325;257;139;61;24;179;202;163;201;166;113;78;74;14
Région wallonne;TPP;Pédiatrie et néonatologie;1821;1767;54;50;292;326;303;273;177;143;110;71;22;1;5;6;15;11;6;5;5;0;0
Région wallonne;TPP;Santé mentale et psychiatrie;850;599;251;13;42;68;65;119;107;66;56;53;10;1;14;28;32;45;45;34;23;25;4
Région wallonne;TPP;Soins péri-opératoires, anesthésie, assistance opératoire et instrumentation;721;615;106;11;94;96;84;103;77;74;49;24;3;0;12;22;15;27;14;7;6;2;1
Région de Bruxelles Capitale;QPP;Gériatrie;138;119;19;0;4;8;19;16;20;20;18;11;3;0;1;3;4;4;3;2;2;0;0
Région de Bruxelles Capitale;QPP;Santé mentale et psychiatrie;52;45;7;0;4;1;3;6;4;8;8;8;3;0;0;1;2;0;0;1;2;1;0
Région de Bruxelles Capitale;QPP;Diabétologie;50;44;6;0;1;3;3;12;6;7;6;4;2;0;0;2;0;2;0;1;1;0;0
Région de Bruxelles Capitale;QPP;Soins palliatifs;48;39;9;0;1;2;3;5;2;9;8;8;1;0;0;3;1;0;2;2;1;0;0
Région de Bruxelles Capitale;TPP;Gériatrie;97;78;19;0;8;8;11;14;6;14;5;9;3;0;0;1;1;5;1;4;3;2;2
Région de Bruxelles Capitale;TPP;Oncologie;193;174;19;2;24;30;22;22;15;20;13;23;3;0;2;1;6;3;2;1;2;1;1
Région de Bruxelles Capitale;TPP;Soins intensifs et d'urgence;548;372;176;23;106;71;46;31;30;25;19;12;9;4;45;49;24;18;10;9;8;7;2
Région de Bruxelles Capitale;TPP;Pédiatrie et néonatologie;376;360;16;10;96;63;42;41;34;18;29;23;4;0;5;3;2;3;2;0;1;0;0
Région de Bruxelles Capitale;TPP;Santé mentale et psychiatrie;152;113;39;3;18;15;16;14;9;12;14;9;3;1;4;7;4;8;7;4;3;1;0
Région de Bruxelles Capitale;TPP;Soins péri-opératoires, anesthésie, assistance opératoire et instrumentation;132;98;34;1;9;18;10;12;14;10;13;9;2;0;3;5;11;8;1;3;1;2;0
Brabant flamand;QPP;Gériatrie;257;231;26;0;2;8;11;33;33;49;51;32;12;0;0;1;0;6;4;6;4;4;1
Brabant flamand;QPP;Santé mentale et psychiatrie;130;95;35;0;1;8;5;4;11;13;26;19;8;0;1;1;3;0;2;3;10;10;5
Brabant flamand;QPP;Diabétologie;116;103;13;1;10;9;10;13;18;15;11;14;2;0;1;1;2;1;1;0;5;2;0
Brabant flamand;QPP;Soins palliatifs;63;55;8;0;0;1;3;2;8;9;16;13;3;0;0;0;0;3;0;1;2;2;0
Brabant flamand;TPP;Gériatrie;286;234;52;0;10;18;15;35;35;33;48;34;6;0;2;0;3;2;12;4;15;11;3
Brabant flamand;TPP;Oncologie;396;354;42;3;45;30;34;50;54;48;46;33;11;0;2;0;2;6;6;2;13;9;2
Brabant flamand;TPP;Soins intensifs et d'urgence;1376;937;439;29;126;138;124;115;102;106;83;80;34;7;45;38;50;54;41;45;64;68;27
Brabant flamand;TPP;Pédiatrie et néonatologie;603;581;22;14;97;78;62;76;54;61;67;58;14;0;1;4;1;0;1;3;6;6;0
Brabant flamand;TPP;Santé mentale et psychiatrie;290;192;98;0;6;14;17;27;33;23;28;33;11;1;3;2;5;7;14;15;17;25;9
Brabant flamand;TPP;Soins péri-opératoires, anesthésie, assistance opératoire et instrumentation;231;194;37;1;8;22;29;34;38;25;25;11;1;0;0;8;6;3;2;6;7;5;0
Flandre occidentale;QPP;Gériatrie;802;740;62;0;8;25;70;107;114;117;174;93;32;0;1;3;6;9;12;14;11;4;2
Flandre occidentale;QPP;Santé mentale et psychiatrie;532;449;83;0;2;31;54;63;44;62;74;87;32;0;0;5;8;10;14;13;19;9;5
Flandre occidentale;QPP;Diabétologie;137;119;18;0;10;17;14;12;19;11;25;11;0;1;0;2;3;3;1;1;5;2;0
Flandre occidentale;QPP;Soins palliatifs;88;81;7;1;1;3;4;12;8;9;14;23;6;0;0;0;0;1;1;2;0;2;1
Flandre occidentale;TPP;Gériatrie;348;276;72;0;8;20;34;54;39;47;33;30;11;0;2;4;4;7;10;15;15;12;3
Flandre occidentale;TPP;Oncologie;406;361;45;7;28;38;34;61;52;64;45;23;9;1;3;4;3;13;7;2;7;3;2
Flandre occidentale;TPP;Soins intensifs et d'urgence;1474;997;477;43;138;153;137;161;119;101;57;52;36;16;48;62;55;66;38;47;60;49;36
Flandre occidentale;TPP;Pédiatrie et néonatologie;534;519;15;15;75;85;66;46;60;63;65;35;9;1;1;3;1;1;1;2;5;0;0
Flandre occidentale;TPP;Santé mentale et psychiatrie;398;251;147;1;4;25;35;32;40;52;32;26;4;0;1;7;6;19;23;26;17;38;10
Flandre occidentale;TPP;Soins péri-opératoires, anesthésie, assistance opératoire et instrumentation;254;184;70;1;9;12;33;47;17;30;26;9;0;0;1;6;9;13;13;6;12;9;1
Flandre orientale;QPP;Gériatrie;661;616;45;0;0;29;74;80;87;107;146;72;21;0;1;3;8;7;4;6;9;6;1
Flandre orientale;QPP;Santé mentale et psychiatrie;250;178;72;0;0;11;26;16;21;38;36;22;8;0;0;4;4;2;9;7;20;18;8
Flandre orientale;QPP;Diabétologie;135;123;12;1;10;13;14;19;12;21;19;9;5;0;0;0;1;2;2;4;2;1;0
Flandre orientale;QPP;Soins palliatifs;128;115;13;0;1;5;8;15;10;22;23;22;9;0;1;1;1;1;4;1;4;0;0
Flandre orientale;TPP;Gériatrie;437;354;83;1;10;21;35;59;57;63;68;31;9;0;2;0;5;16;12;20;12;12;4
Flandre orientale;TPP;Oncologie;552;499;53;6;40;53;59;93;61;78;55;43;11;1;3;3;6;7;11;3;6;6;7
Flandre orientale;TPP;Soins intensifs et d'urgence;1725;1200;525;53;205;173;139;166;162;120;73;66;43;16;66;65;71;66;49;66;54;46;26
Flandre orientale;TPP;Pédiatrie et néonatologie;641;623;18;25;97;68;79;86;81;82;54;31;20;0;4;4;0;3;0;2;4;0;1
Flandre orientale;TPP;Santé mentale et psychiatrie;420;278;142;2;8;23;44;40;64;39;26;25;7;0;4;6;13;25;27;18;23;23;3
Flandre orientale;TPP;Soins péri-opératoires, anesthésie, assistance opératoire et instrumentation;342;274;68;0;9;20;34;53;46;56;34;20;2;0;1;3;6;12;13;13;12;7;1
Anvers;QPP;Gériatrie;460;428;32;0;4;15;34;38;53;75;91;89;29;0;0;0;1;2;7;2;8;9;3
Anvers;QPP;Santé mentale et psychiatrie;190;158;32;0;0;15;10;13;18;36;29;25;12;0;1;4;0;4;5;4;7;6;1
Anvers;QPP;Diabétologie;138;121;17;0;10;6;10;16;16;25;24;12;2;0;2;1;1;2;3;2;1;5;0
Anvers;QPP;Soins palliatifs;162;141;21;0;4;9;12;10;19;22;39;24;2;0;0;1;3;3;3;3;3;3;2
Anvers;TPP;Gériatrie;436;351;85;1;15;30;33;33;51;70;61;37;20;0;1;8;7;7;11;16;19;12;4
Anvers;TPP;Oncologie;493;432;61;9;42;41;44;54;53;68;63;46;12;0;3;3;7;6;10;4;13;11;4
Anvers;TPP;Soins intensifs et d'urgence;1799;1228;571;38;219;201;186;179;133;112;83;62;15;7;71;61;70;87;69;74;63;48;21
Anvers;TPP;Pédiatrie et néonatologie;690;666;24;16;100;106;64;101;96;72;59;41;11;0;1;5;5;4;0;3;5;1;0
Anvers;TPP;Santé mentale et psychiatrie;378;273;105;1;12;18;29;36;49;45;43;30;10;0;1;8;7;11;16;13;18;23;8
Anvers;TPP;Soins péri-opératoires, anesthésie, assistance opératoire et instrumentation;320;262;58;0;10;33;37;44;35;37;44;19;3;1;0;5;3;7;2;8;21;11;0
Limbourg;QPP;Gériatrie;268;244;24;0;6;13;35;48;33;33;38;25;13;0;0;2;8;5;1;2;5;1;0
Limbourg;QPP;Santé mentale et psychiatrie;188;141;47;0;1;18;18;19;18;16;20;27;4;0;0;1;5;8;3;6;5;8;11
Limbourg;QPP;Diabétologie;64;61;3;0;2;7;5;11;5;14;12;4;1;0;1;0;0;0;0;2;0;0;0
Limbourg;QPP;Soins palliatifs;54;50;4;0;1;3;3;7;10;5;12;7;2;0;0;0;2;2;0;0;0;0;0
Limbourg;TPP;Gériatrie;161;135;26;0;7;7;26;23;20;23;18;9;2;0;1;3;2;2;5;4;4;3;2
Limbourg;TPP;Oncologie;219;190;29;3;13;29;31;32;24;28;14;8;8;0;1;1;4;2;3;7;6;3;2
Limbourg;TPP;Soins intensifs et d'urgence;959;674;285;17;116;130;95;109;81;67;30;25;4;5;41;43;29;39;35;42;34;9;8
Limbourg;TPP;Pédiatrie et néonatologie;263;258;5;6;30;49;32;40;32;35;23;11;0;0;0;2;1;1;0;1;0;0;0
Limbourg;TPP;Santé mentale et psychiatrie;214;136;78;1;2;18;11;15;38;19;21;7;4;0;1;7;3;10;12;15;15;13;2
Limbourg;TPP;Soins péri-opératoires, anesthésie, assistance opératoire et instrumentation;133;107;26;0;2;15;13;22;15;14;19;6;1;0;0;3;1;5;4;6;5;2;0
Brabant Wallon;QPP;Gériatrie;53;48;5;0;0;1;6;9;5;11;7;8;1;0;0;1;0;1;1;1;1;0;0
Brabant Wallon;QPP;Santé mentale et psychiatrie;28;26;2;0;0;0;2;0;5;8;8;2;1;0;0;1;0;0;0;0;0;1;0
Brabant Wallon;QPP;Diabétologie;33;32;1;0;1;2;3;2;8;4;7;2;3;0;0;1;0;0;0;0;0;0;0
Brabant Wallon;QPP;Soins palliatifs;40;37;3;0;1;3;1;2;2;2;11;10;5;0;0;1;0;0;0;0;2;0;0
Brabant Wallon;TPP;Gériatrie;48;46;2;0;2;11;3;3;8;3;7;8;1;0;0;0;0;1;1;0;0;0;0
Brabant Wallon;TPP;Oncologie;123;118;5;4;13;17;12;18;14;11;15;10;4;0;1;0;0;2;0;0;0;2;0
Brabant Wallon;TPP;Soins intensifs et d'urgence;552;418;134;13;64;79;55;61;51;34;28;21;12;2;17;24;22;24;16;15;7;5;2
Brabant Wallon;TPP;Pédiatrie et néonatologie;274;269;5;4;33;41;53;40;32;26;25;14;1;0;1;0;1;1;1;1;0;0;0
Brabant Wallon;TPP;Santé mentale et psychiatrie;97;80;17;3;7;9;2;21;11;7;7;11;2;0;2;2;4;2;1;4;1;0;1
Brabant Wallon;TPP;Soins péri-opératoires, anesthésie, assistance opératoire et instrumentation;95;84;11;0;8;5;5;22;15;10;12;6;1;0;0;1;3;2;2;2;1;0;0
Hainaut;QPP;Gériatrie;202;182;20;0;5;17;28;22;36;30;30;12;2;0;0;4;1;4;4;5;0;2;0
Hainaut;QPP;Santé mentale et psychiatrie;260;216;44;0;3;13;15;33;30;42;45;30;5;0;1;2;4;6;14;6;8;0;3
Hainaut;QPP;Diabétologie;122;114;8;0;5;10;5;20;18;11;24;16;5;0;1;1;0;4;1;0;0;1;0
Hainaut;QPP;Soins palliatifs;118;110;8;0;5;5;16;18;20;14;20;9;3;0;0;2;1;1;0;0;3;1;0
Hainaut;TPP;Gériatrie;135;115;20;1;11;11;13;22;17;19;12;8;1;0;1;2;3;5;4;3;2;0;0
Hainaut;TPP;Oncologie;239;208;31;7;27;20;31;36;26;21;18;19;3;0;4;4;2;3;9;2;3;3;1
Hainaut;TPP;Soins intensifs et d'urgence;1439;1030;409;28;131;191;123;137;131;130;92;49;18;8;59;62;59;71;41;39;34;35;1
Hainaut;TPP;Pédiatrie et néonatologie;578;563;15;21;83;124;83;90;59;48;30;17;8;0;2;2;5;2;0;1;3;0;0
Hainaut;TPP;Santé mentale et psychiatrie;332;226;106;5;14;27;28;43;44;27;21;15;2;1;5;14;13;17;21;10;12;13;0
Hainaut;TPP;Soins péri-opératoires, anesthésie, assistance opératoire et instrumentation;136;106;30;2;11;18;17;19;15;12;10;2;0;0;1;3;3;10;5;3;4;1;0
Liège;QPP;Gériatrie;385;335;50;1;10;35;56;61;57;43;39;28;5;0;1;11;6;12;7;6;2;3;2
Liège;QPP;Santé mentale et psychiatrie;219;172;47;0;0;17;24;25;28;22;34;16;6;0;0;5;6;11;10;6;7;1;1
Liège;QPP;Diabétologie;101;89;12;0;3;10;17;10;13;17;8;6;5;0;0;3;0;3;3;0;1;1;1
Liège;QPP;Soins palliatifs;174;159;15;0;10;21;19;16;22;24;25;15;7;0;0;1;2;4;4;2;1;1;0
Liège;TPP;Gériatrie;210;186;24;1;15;22;28;35;24;22;19;16;4;0;0;1;3;6;3;5;5;1;0
Liège;TPP;Oncologie;357;325;32;11;52;56;39;55;38;26;18;25;5;0;2;1;8;3;9;4;4;1;0
Liège;TPP;Soins intensifs et d'urgence;1349;987;362;37;177;137;147;155;131;76;80;35;12;5;57;52;44;62;67;35;14;23;3
Liège;TPP;Pédiatrie et néonatologie;617;590;27;12;115;105;103;91;59;41;32;25;7;1;2;3;7;6;4;2;2;0;0
Liège;TPP;Santé mentale et psychiatrie;276;189;87;3;11;27;22;31;30;22;20;18;5;0;5;9;9;22;13;13;6;10;0
Liège;TPP;Soins péri-opératoires, anesthésie, assistance opératoire et instrumentation;286;248;38;5;52;40;44;27;28;30;16;5;1;0;6;12;5;10;3;1;0;0;1
Namur;QPP;Gériatrie;94;81;13;0;1;8;10;15;11;18;9;3;6;0;0;2;2;6;0;1;0;2;0
Namur;QPP;Santé mentale et psychiatrie;142;113;29;0;0;4;11;15;18;20;17;22;6;0;0;1;4;1;11;3;5;4;0
Namur;QPP;Diabétologie;53;49;4;0;3;5;4;9;5;10;5;4;4;0;0;0;1;1;1;0;1;0;0
Namur;QPP;Soins palliatifs;56;52;4;0;1;3;4;6;7;6;17;7;1;0;0;1;0;0;0;1;1;1;0
Namur;TPP;Gériatrie;70;59;11;1;9;6;6;12;6;9;2;5;3;0;0;0;3;4;2;0;1;1;0
Namur;TPP;Oncologie;134;117;17;1;14;10;13;14;21;17;17;10;0;0;1;2;2;0;5;3;1;1;2
Namur;TPP;Soins intensifs et d'urgence;752;544;208;17;93;83;70;96;53;59;35;24;14;7;33;40;25;31;29;18;14;7;4
Namur;TPP;Pédiatrie et néonatologie;272;267;5;10;44;45;47;43;23;25;18;7;5;0;0;1;1;1;1;1;0;0;0
Namur;TPP;Santé mentale et psychiatrie;112;76;36;0;8;3;8;16;18;9;7;6;1;0;2;3;6;3;8;6;3;2;3
Namur;TPP;Soins péri-opératoires, anesthésie, assistance opératoire et instrumentation;142;126;16;3;17;19;11;27;14;16;9;9;1;0;4;3;2;2;2;1;1;1;0
Luxembourg;QPP;Gériatrie;27;26;1;0;0;4;4;4;1;5;2;1;5;0;0;0;0;0;0;0;1;0;0
Luxembourg;QPP;Santé mentale et psychiatrie;34;29;5;0;1;2;4;3;3;5;4;5;2;0;0;0;2;0;1;0;1;1;0
Luxembourg;QPP;Diabétologie;26;25;1;0;1;0;1;4;4;9;2;3;1;0;0;1;0;0;0;0;0;0;0
Luxembourg;QPP;Soins palliatifs;54;51;3;1;3;4;4;6;7;7;11;5;3;0;0;1;1;0;1;0;0;0;0
Luxembourg;TPP;Gériatrie;30;27;3;2;5;5;4;0;4;1;1;2;3;0;0;0;2;0;1;0;0;0;0
Luxembourg;TPP;Oncologie;35;31;4;0;6;2;3;4;2;5;2;5;2;0;1;2;0;0;0;0;0;1;0
Luxembourg;TPP;Soins intensifs et d'urgence;359;258;101;13;40;43;34;32;33;26;22;10;5;2;13;24;13;13;13;6;9;4;4
Luxembourg;TPP;Pédiatrie et néonatologie;80;78;2;3;17;11;17;9;4;3;5;8;1;0;0;0;1;1;0;0;0;0;0
Luxembourg;TPP;Santé mentale et psychiatrie;33;28;5;2;2;2;5;8;4;1;1;3;0;0;0;0;0;1;2;1;1;0;0
Luxembourg;TPP;Soins péri-opératoires, anesthésie, assistance opératoire et instrumentation;62;51;11;1;6;14;7;8;5;6;2;2;0;0;1;3;2;3;2;0;0;0;0
Région de Bruxelles Capitale;QPP;Gériatrie;138;119;19;0;4;8;19;16;20;20;18;11;3;0;1;3;4;4;3;2;2;0;0
Région de Bruxelles Capitale;QPP;Santé mentale et psychiatrie;52;45;7;0;4;1;3;6;4;8;8;8;3;0;0;1;2;0;0;1;2;1;0
Région de Bruxelles Capitale;QPP;Diabétologie;50;44;6;0;1;3;3;12;6;7;6;4;2;0;0;2;0;2;0;1;1;0;0
Région de Bruxelles Capitale;QPP;Soins palliatifs;48;39;9;0;1;2;3;5;2;9;8;8;1;0;0;3;1;0;2;2;1;0;0
Région de Bruxelles Capitale;TPP;Gériatrie;97;78;19;0;8;8;11;14;6;14;5;9;3;0;0;1;1;5;1;4;3;2;2
Région de Bruxelles Capitale;TPP;Oncologie;193;174;19;2;24;30;22;22;15;20;13;23;3;0;2;1;6;3;2;1;2;1;1
Région de Bruxelles Capitale;TPP;Soins intensifs et d'urgence;548;372;176;23;106;71;46;31;30;25;19;12;9;4;45;49;24;18;10;9;8;7;2
Région de Bruxelles Capitale;TPP;Pédiatrie et néonatologie;376;360;16;10;96;63;42;41;34;18;29;23;4;0;5;3;2;3;2;0;1;0;0
Région de Bruxelles Capitale;TPP;Santé mentale et psychiatrie;152;113;39;3;18;15;16;14;9;12;14;9;3;1;4;7;4;8;7;4;3;1;0
Région de Bruxelles Capitale;TPP;Soins péri-opératoires, anesthésie, assistance opératoire et instrumentation;132;98;34;1;9;18;10;12;14;10;13;9;2;0;3;5;11;8;1;3;1;2;0
