Territoire-Spécialité;Unnamed: 1;Total;Genre;Unnamed: 4;Femme;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Homme;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18
Flandre occidentale;Toutes les spécialités;29.0;22;7;16;6;0;0;0;0;2;2;3;0;0;0;0;0
;Dentisterie générale;22.0;15;7;14;1;0;0;0;0;2;2;3;0;0;0;0;0
;Parodontologie;3.0;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0
;Orthodontie;4.0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
Flandre orientale;Toutes les spécialités;40.0;26;14;15;10;1;0;0;0;3;7;3;0;1;0;0;0
;Dentisterie générale;26.0;16;10;11;5;0;0;0;0;2;5;2;0;1;0;0;0
;Parodontologie;5.0;2;3;2;0;0;0;0;0;1;1;1;0;0;0;0;0
;Orthodontie;9.0;8;1;2;5;1;0;0;0;0;1;0;0;0;0;0;0
Anvers;Toutes les spécialités;42.0;28;14;20;8;0;0;0;0;2;5;6;1;0;0;0;0
;Dentisterie générale;37.0;24;13;18;6;0;0;0;0;1;5;6;1;0;0;0;0
;Orthodontie;5.0;4;1;2;2;0;0;0;0;1;0;0;0;0;0;0;0
Limbourg;Toutes les spécialités;14.0;10;4;5;4;0;1;0;0;0;4;0;0;0;0;0;0
;Dentisterie générale;12.0;8;4;4;3;0;1;0;0;0;4;0;0;0;0;0;0
;Orthodontie;2.0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Brabant Wallon;Toutes les spécialités;11.0;10;1;5;4;1;0;0;0;1;0;0;0;0;0;0;0
;Dentisterie générale;10.0;9;1;4;4;1;0;0;0;1;0;0;0;0;0;0;0
;Parodontologie;1.0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Hainaut;Toutes les spécialités;18.0;11;7;5;5;1;0;0;0;3;4;0;0;0;0;0;0
;Dentisterie générale;14.0;7;7;5;1;1;0;0;0;3;4;0;0;0;0;0;0
;Parodontologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;Orthodontie;3.0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
Liège;Toutes les spécialités;51.0;37;14;16;21;0;0;0;0;3;10;1;0;0;0;0;0
;Dentisterie générale;41.0;32;9;14;18;0;0;0;0;1;8;0;0;0;0;0;0
;Parodontologie;3.0;1;2;0;1;0;0;0;0;1;1;0;0;0;0;0;0
;Orthodontie;7.0;4;3;2;2;0;0;0;0;1;1;1;0;0;0;0;0
Namur;Toutes les spécialités;8.0;7;1;4;3;0;0;0;0;0;0;1;0;0;0;0;0
;Dentisterie générale;5.0;4;1;3;1;0;0;0;0;0;0;1;0;0;0;0;0
;Parodontologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;Orthodontie;2.0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Luxembourg;Toutes les spécialités;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;Dentisterie générale;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Toutes les spécialités;97.0;57;40;8;39;7;1;1;1;4;25;5;2;0;0;3;1
;Dentisterie générale;83.0;48;35;7;32;6;1;1;1;4;21;4;2;0;0;3;1
;Parodontologie;2.0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;Orthodontie;12.0;7;5;0;6;1;0;0;0;0;4;1;0;0;0;0;0
