Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Man;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20
;Nucleaire in vitro geneeskunde;8.0;3;5;0;0;0;0;1;2;0;0;0;0;0;0;1;0;1;3
;"Functionele en professionele revalidatie van
gehandicapten";56.0;15;41;0;1;3;4;4;0;1;2;1;3;3;6;1;4;3;20
;Geriatrie;5.0;1;4;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;2
;Mond-, kaak- en aangezichtschirurgie;21.0;2;19;0;0;2;0;0;0;0;0;2;2;3;4;2;2;2;2
;Intensieve zorgen;89.0;38;51;9;8;2;8;6;4;1;0;5;7;10;4;5;6;7;7
;Pediatrische neurologie;6.0;6;0;1;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0
;Nefrologie;16.0;3;13;0;1;0;0;2;0;0;0;0;3;2;1;0;4;2;1
;Urgentiegeneeskunde;35.0;11;24;0;2;0;5;1;3;0;0;1;2;1;6;3;3;2;6
;Endocrino-diabetologie;18.0;8;10;1;1;2;0;2;1;1;0;1;0;2;1;1;0;0;5
;Neonatologie;2.0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
;Oncologie;28.0;12;16;2;5;1;2;0;0;2;0;0;1;1;5;3;2;4;0
;Pediatrische hematologie en oncologie;1.0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;Klinische hematologie;8.0;6;2;0;1;2;1;0;2;0;0;0;0;0;1;0;1;0;0
;Beheer van gezondheidsgegevens;6.0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;3
;Forensische psychiatrie;5.0;2;3;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;2
Waals Brabant;Alle specialiteiten;294.0;103;191;3;10;12;13;16;12;17;20;5;9;8;16;19;24;29;81
;Nucleaire in vitro geneeskunde;19.0;10;9;0;0;0;0;0;4;3;3;0;0;0;0;0;0;0;9
;"Functionele en professionele revalidatie van
gehandicapten";70.0;22;48;0;0;1;3;4;0;4;10;0;0;0;3;3;3;5;34
;Geriatrie;9.0;4;5;0;0;0;1;2;0;1;0;0;0;0;0;1;1;0;3
;Mond-, kaak- en aangezichtschirurgie;9.0;2;7;0;1;0;1;0;0;0;0;1;0;1;1;2;0;1;1
;Intensieve zorgen;58.0;13;45;0;5;1;2;1;1;2;1;1;6;4;4;4;10;9;7
;Pediatrische neurologie;8.0;8;0;1;1;2;0;1;0;1;2;0;0;0;0;0;0;0;0
;Nefrologie;36.0;15;21;1;2;1;2;3;3;1;2;2;2;1;0;3;2;2;9
;Urgentiegeneeskunde;27.0;6;21;0;0;1;0;2;2;1;0;0;0;0;4;3;2;4;8
;Endocrino-diabetologie;21.0;6;15;0;0;0;3;1;1;1;0;0;0;0;3;1;2;3;6
;Neonatologie;9.0;7;2;0;0;3;1;1;0;2;0;0;1;0;0;0;0;1;0
;Oncologie;11.0;2;9;0;1;1;0;0;0;0;0;0;0;2;0;2;1;4;0
;Klinische hematologie;10.0;5;5;1;0;2;0;1;1;0;0;1;0;0;1;0;2;0;1
;Beheer van gezondheidsgegevens;6.0;3;3;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;2
;Forensische psychiatrie;1.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Henegouwen;Alle specialiteiten;324.0;106;218;7;11;18;26;10;4;10;20;4;7;6;16;18;41;41;85
;Nucleaire in vitro geneeskunde;18.0;3;15;0;0;0;0;0;1;2;0;0;0;0;0;0;2;4;9
;"Functionele en professionele revalidatie van
gehandicapten";53.0;16;37;0;0;1;5;0;1;2;7;0;0;1;1;4;4;5;22
;Geriatrie;13.0;4;9;0;0;0;1;0;1;1;1;0;0;0;0;1;0;1;7
;Mond-, kaak- en aangezichtschirurgie;10.0;5;5;1;0;2;2;0;0;0;0;0;0;0;0;1;2;1;1
;Intensieve zorgen;58.0;11;47;0;2;2;3;1;1;1;1;1;1;1;4;6;13;10;11
;Pediatrische neurologie;6.0;5;1;0;1;1;1;0;0;0;2;0;0;0;0;0;0;0;1
;Nefrologie;26.0;7;19;1;2;2;1;1;0;0;0;2;2;0;0;0;4;2;9
;Urgentiegeneeskunde;39.0;7;32;0;0;1;2;1;0;0;3;0;1;0;3;2;11;4;11
;Endocrino-diabetologie;35.0;21;14;3;3;5;3;4;0;2;1;1;1;1;2;1;1;2;5
;Neonatologie;12.0;11;1;1;1;1;3;3;0;0;2;0;1;0;0;0;0;0;0
;Oncologie;26.0;6;20;0;1;1;2;0;0;1;1;0;0;1;6;2;2;5;4
;Klinische hematologie;12.0;7;5;1;1;2;2;0;0;1;0;0;1;1;0;0;2;0;1
;Beheer van gezondheidsgegevens;14.0;3;11;0;0;0;1;0;0;0;2;0;0;0;0;1;0;6;4
;Forensische psychiatrie;2.0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Luik;Alle specialiteiten;479.0;200;279;19;26;27;31;29;18;12;38;8;12;18;38;25;36;40;102
;Nucleaire in vitro geneeskunde;19.0;11;8;0;0;0;0;3;2;1;5;0;1;0;0;0;3;1;3
;"Functionele en professionele revalidatie van
gehandicapten";110.0;45;65;0;1;1;5;8;6;3;21;0;1;4;4;1;5;9;41
;Geriatrie;9.0;4;5;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;5
;Mond-, kaak- en aangezichtschirurgie;5.0;2;3;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1
;Intensieve zorgen;86.0;22;64;1;9;3;5;1;2;0;1;4;8;4;11;8;7;7;15
;Pediatrische neurologie;12.0;7;5;0;1;3;3;0;0;0;0;1;0;0;0;0;0;1;3
;Nefrologie;39.0;16;23;4;1;4;3;1;0;0;3;3;0;2;3;2;1;6;6
;Urgentiegeneeskunde;64.0;19;45;1;0;3;2;4;5;3;1;0;1;2;8;9;10;7;8
;Endocrino-diabetologie;53.0;33;20;8;1;6;5;7;1;1;4;0;1;1;2;3;1;5;7
;Neonatologie;15.0;8;7;1;3;1;1;1;0;1;0;0;0;1;3;1;0;0;2
;Oncologie;23.0;11;12;2;3;2;4;0;0;0;0;0;0;1;2;1;4;1;3
;Pediatrische hematologie en oncologie;11.0;7;4;0;1;1;2;0;1;0;2;0;0;1;2;0;1;0;0
;Klinische hematologie;18.0;9;9;1;5;2;0;1;0;0;0;0;0;2;2;0;2;1;2
;Beheer van gezondheidsgegevens;12.0;5;7;0;0;0;0;0;1;3;1;0;0;0;0;0;0;2;5
;Forensische psychiatrie;3.0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Namen;Alle specialiteiten;195.0;75;120;5;11;13;14;8;6;9;9;2;9;11;14;11;18;11;44
;Nucleaire in vitro geneeskunde;7.0;3;4;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;3
;"Functionele en professionele revalidatie van
gehandicapten";28.0;13;15;0;1;1;4;0;1;3;3;0;0;0;0;2;4;1;8
;Geriatrie;3.0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2
;Mond-, kaak- en aangezichtschirurgie;9.0;1;8;0;0;1;0;0;0;0;0;0;2;0;2;2;1;0;1
;Intensieve zorgen;40.0;7;33;0;2;0;1;3;1;0;0;1;3;3;5;3;8;3;7
;Pediatrische neurologie;7.0;5;2;1;0;0;2;0;0;0;2;0;0;1;0;0;0;0;1
;Nefrologie;19.0;10;9;2;2;3;1;0;1;0;1;0;0;1;2;3;0;0;3
;Urgentiegeneeskunde;30.0;11;19;0;1;3;3;0;1;3;0;1;2;2;2;0;1;4;7
;Endocrino-diabetologie;17.0;10;7;0;3;1;1;4;0;1;0;0;0;1;1;1;1;1;2
;Neonatologie;4.0;3;1;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0
;Oncologie;11.0;4;7;1;0;3;0;0;0;0;0;0;2;2;1;0;1;0;1
;Klinische hematologie;10.0;6;4;1;1;0;2;0;1;0;1;0;0;0;1;0;0;0;3
;Beheer van gezondheidsgegevens;10.0;2;8;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;6
Luxemburg;Alle specialiteiten;60.0;22;38;2;1;4;3;3;4;1;4;1;2;1;8;1;4;6;15
;Nucleaire in vitro geneeskunde;3.0;2;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1
;"Functionele en professionele revalidatie van
gehandicapten";6.0;2;4;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;4
;Geriatrie;2.0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
;Mond-, kaak- en aangezichtschirurgie;2.0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
;Intensieve zorgen;7.0;1;6;0;0;0;0;0;1;0;0;0;1;0;0;1;0;2;2
;Pediatrische neurologie;1.0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;Nefrologie;6.0;4;2;2;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1
;Urgentiegeneeskunde;10.0;2;8;0;0;1;0;1;0;0;0;0;0;0;1;0;0;3;4
;Endocrino-diabetologie;8.0;5;3;0;0;2;2;0;0;0;1;0;0;0;2;0;0;0;1
;Neonatologie;2.0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
;Oncologie;5.0;1;4;0;1;0;0;0;0;0;0;1;1;0;2;0;0;0;0
;Klinische hematologie;4.0;0;4;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0
;Beheer van gezondheidsgegevens;4.0;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0
"Brussels Hoofdstedelijk
Gewest";Alle specialiteiten;532.0;238;294;16;36;41;24;28;22;19;52;10;15;29;27;30;27;41;115
;Nucleaire in vitro geneeskunde;30.0;14;16;0;0;0;0;1;1;6;6;0;0;0;0;0;2;5;9
;"Functionele en professionele revalidatie van
gehandicapten";96.0;36;60;0;1;3;1;5;3;4;19;0;0;1;4;6;1;9;39
;Geriatrie;9.0;2;7;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;5
;Mond-, kaak- en aangezichtschirurgie;26.0;12;14;2;0;2;0;3;2;2;1;2;2;2;0;1;1;2;4
;Intensieve zorgen;95.0;32;63;6;7;7;2;5;0;1;4;3;7;11;7;5;9;9;12
;Pediatrische neurologie;14.0;12;2;1;2;3;0;0;2;0;4;0;1;0;0;0;0;0;1
;Nefrologie;54.0;25;29;2;6;6;5;1;2;0;3;1;4;4;3;2;4;3;8
;Urgentiegeneeskunde;43.0;16;27;0;1;1;2;1;6;1;4;1;0;1;5;6;1;3;10
;Endocrino-diabetologie;58.0;29;29;2;6;6;6;1;2;0;6;0;0;4;1;5;1;3;15
;Neonatologie;29.0;23;6;0;5;6;5;4;1;1;1;1;1;0;1;1;0;1;1
;Oncologie;25.0;10;15;1;2;3;3;1;0;0;0;0;0;3;1;1;3;4;3
;Pediatrische hematologie en oncologie;7.0;5;2;0;1;1;0;1;1;0;1;0;0;1;0;0;0;0;1
;Klinische hematologie;30.0;16;14;2;5;3;0;2;1;2;1;2;0;2;2;2;3;0;3
;Beheer van gezondheidsgegevens;12.0;6;6;0;0;0;0;3;1;1;1;0;0;0;0;0;1;2;3
;Forensische psychiatrie;4.0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1
