Territoire;Specialite;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;MEDECINE D'URGENCE;41;19;22;0;0;5;5;5;2;2;0;0;0;0;0;5;4;5;5;1;2;0;0
Belgique;MEDECINE AIGUE;308;119;189;0;0;9;30;40;16;11;11;1;1;0;0;7;30;54;33;33;18;9;5
Belgique;GERIATRIE;265;147;118;0;0;24;34;37;23;12;13;3;1;0;0;8;8;10;9;21;29;17;16
Belgique;MEDECINE D'ASSURANCE ET EXPERTISE MEDICALE;653;200;453;0;0;1;8;34;38;43;44;28;4;0;0;0;5;17;33;90;121;136;51
Belgique;ONCOLOGIE MEDICALE;221;112;109;0;0;21;26;25;19;10;4;7;0;0;0;3;10;19;27;12;14;13;11
Belgique;GESTION DE DONNEES DE SANTE;58;22;36;0;0;0;1;1;8;8;4;0;0;0;0;1;1;4;6;11;9;2;2
Région Flandre;MEDECINE DU TRAVAIL;712;356;356;0;0;22;63;68;67;64;35;30;7;0;0;2;27;17;30;68;75;72;65
Région Flandre;ANESTHESIE-REANIMATION;1274;480;794;0;0;70;90;105;75;44;31;34;31;0;0;59;107;120;112;117;101;66;112
Région Flandre;CHIRURGIE;887;146;741;0;0;29;37;34;8;12;13;6;7;0;0;40;75;82;91;91;100;67;195
Région Flandre;NEUROCHIRURGIE;129;12;117;0;0;0;2;4;5;0;0;0;1;0;0;12;19;19;11;13;14;9;20
Région Flandre;CHIRURGIE PLASTIQUE, RECONSTRUCTRICE ET ESTHETIQUE;144;28;116;0;0;2;3;6;5;4;5;1;2;0;0;7;10;16;19;18;13;11;22
Région Flandre;NEUROLOGIE;259;111;148;0;0;33;23;14;22;6;8;3;2;0;0;11;26;22;17;23;24;15;10
Région Flandre;PSYCHIATRIE;277;147;130;0;0;1;3;46;63;26;4;2;2;0;0;0;3;38;46;22;8;5;8
Région Flandre;GYNECOLOGIE-OBSTETRIQUE;740;318;422;0;1;55;73;68;53;33;18;4;13;0;0;14;21;27;43;56;60;51;150
Région Flandre;OPHTALMOLOGIE;684;404;280;0;5;47;55;64;56;48;48;41;40;0;3;15;17;18;31;33;31;36;96
Région Flandre;OTO-RHINO-LARYNGOLOGIE;359;131;228;0;0;23;26;21;26;13;10;7;5;0;0;8;23;17;20;33;37;23;67
Région Flandre;UROLOGIE;253;23;230;0;0;6;4;7;3;2;1;0;0;0;0;11;29;34;23;34;34;26;39
Région Flandre;CHIRURGIE ORTHOPEDIQUE;649;50;599;0;0;9;7;16;8;5;2;2;1;0;0;34;80;65;78;109;80;50;103
Région Flandre;STOMATOLOGIE;196;38;158;0;0;10;2;13;2;3;4;0;4;0;0;16;21;14;17;29;10;15;36
Région Flandre;DERMATO-VENEREOLOGIE;426;295;131;0;2;38;51;50;46;32;25;27;24;0;1;3;6;12;15;14;18;5;57
Région Flandre;PNEUMOLOGIE;282;104;178;0;0;24;31;24;8;10;4;2;1;0;0;9;20;14;25;35;33;22;20
Région Flandre;GASTRO-ENTEROLOGIE;334;86;248;0;0;18;27;19;10;6;4;1;1;0;0;16;35;31;31;44;40;24;27
Région Flandre;PEDIATRIE;851;514;337;0;0;71;97;107;90;43;34;42;30;0;0;13;23;25;24;38;39;34;141
Région Flandre;CARDIOLOGIE;572;93;479;0;0;15;22;22;19;5;4;3;3;0;0;41;72;55;72;62;56;51;70
Région Flandre;NEUROPSYCHIATRIE;171;33;138;0;0;0;0;0;0;5;11;4;13;0;0;0;0;0;0;9;16;23;90
Région Flandre;MEDECINE PHYSIQUE ET READAPTATION;330;132;198;0;0;13;29;27;20;22;11;3;7;0;0;14;19;14;24;21;28;33;45
Région Flandre;BIOLOGIE CLINIQUE;385;161;224;0;0;13;24;30;19;18;15;17;25;0;0;8;13;11;31;26;31;34;70
Région Flandre;RADIODIAGNOSTIC;908;217;691;0;0;24;38;48;41;29;16;11;10;0;1;48;58;56;109;120;110;68;121
Région Flandre;RADIOTHERAPIE-ONCOLOGIE;134;73;61;0;0;14;19;13;14;7;3;3;0;0;0;8;6;7;2;16;10;2;10
Région Flandre;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE INFANTO-JUVENILE;189;146;43;0;0;27;53;27;6;11;8;10;4;0;0;7;7;4;2;6;8;5;4
Région Flandre;MEDECINE NUCLEAIRE;164;48;116;0;0;9;9;8;9;8;3;2;0;0;0;5;5;12;17;12;10;20;35
Région Flandre;ANATOMIE PATHOLOGIQUE;229;102;127;0;0;9;20;21;18;13;12;4;5;0;0;7;14;13;9;10;17;13;44
Région Flandre;MEDECINE INTERNE;871;277;594;0;0;57;63;54;37;26;22;6;12;0;1;20;36;54;60;59;51;61;252
Région Flandre;RHUMATOLOGIE;126;47;79;0;0;2;6;12;11;6;3;3;4;0;0;2;6;6;5;7;11;13;29
Région Flandre;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE DE L'ADULTE;495;185;310;0;0;42;58;16;1;11;21;27;9;0;0;16;32;13;4;34;46;69;96
Région Flandre;MEDECINE LEGALE;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;2
Région Flandre;MEDECINE D'URGENCE;14;8;6;0;0;3;1;2;2;0;0;0;0;0;0;2;1;2;1;0;0;0;0
Région Flandre;MEDECINE AIGUE;109;39;70;0;0;2;13;11;6;4;2;0;1;0;0;6;14;22;11;10;5;1;1
Région Flandre;GERIATRIE;167;87;80;0;0;10;21;25;11;8;10;2;0;0;0;3;6;6;7;13;22;12;11
Région Flandre;MEDECINE D'ASSURANCE ET EXPERTISE MEDICALE;342;103;239;0;0;1;3;26;24;22;14;13;0;0;0;0;2;11;17;53;68;59;29
Région Flandre;ONCOLOGIE MEDICALE;100;52;48;0;0;11;12;13;10;6;0;0;0;0;0;1;4;12;12;7;4;4;4
Région Flandre;GESTION DE DONNEES DE SANTE;26;9;17;0;0;0;1;0;3;3;2;0;0;0;0;0;1;3;2;4;4;1;2
Région Wallonie;MEDECINE DU TRAVAIL;304;181;123;0;0;5;34;24;28;33;28;20;9;0;0;1;7;10;10;8;25;32;30
Région Wallonie;ANESTHESIE-REANIMATION;756;268;488;0;0;32;52;47;32;20;24;23;38;0;0;23;67;75;70;70;62;46;75
Région Wallonie;CHIRURGIE;582;79;503;0;0;4;16;15;19;9;10;4;2;0;0;16;34;42;48;67;68;61;167
Région Wallonie;NEUROCHIRURGIE;61;8;53;0;0;1;1;3;1;2;0;0;0;0;0;2;8;7;8;5;8;6;9
Région Wallonie;CHIRURGIE PLASTIQUE, RECONSTRUCTRICE ET ESTHETIQUE;63;17;46;0;0;1;6;1;4;4;1;0;0;0;0;8;6;5;7;9;3;3;5
Région Wallonie;NEUROLOGIE;167;73;94;0;0;7;15;19;11;13;2;5;1;0;0;5;11;10;22;15;15;6;10
Région Wallonie;PSYCHIATRIE;434;174;260;0;0;2;18;31;33;29;18;22;21;0;0;0;10;20;25;27;39;38;101
Région Wallonie;GYNECOLOGIE-OBSTETRIQUE;536;240;296;0;0;33;39;42;37;30;29;13;17;0;0;6;17;24;29;29;50;35;106
Région Wallonie;OPHTALMOLOGIE;344;194;150;0;5;23;25;19;21;22;16;20;43;0;1;9;13;10;18;16;16;15;52
Région Wallonie;OTO-RHINO-LARYNGOLOGIE;247;96;151;0;0;12;12;21;21;12;10;4;4;0;1;7;8;10;15;20;16;27;47
Région Wallonie;UROLOGIE;136;18;118;0;0;3;7;0;4;3;1;0;0;0;0;6;11;16;12;11;11;15;36
Région Wallonie;CHIRURGIE ORTHOPEDIQUE;344;22;322;0;0;1;7;3;2;3;3;1;2;0;0;15;28;35;45;48;36;43;72
Région Wallonie;STOMATOLOGIE;89;20;69;0;0;2;5;5;1;3;0;2;2;0;0;0;1;9;7;5;9;10;28
Région Wallonie;DERMATO-VENEREOLOGIE;237;155;82;0;0;24;20;22;28;16;15;16;14;0;1;1;5;2;5;11;9;9;39
Région Wallonie;PNEUMOLOGIE;197;70;127;0;0;11;17;13;7;5;7;4;6;0;0;1;14;15;16;21;23;15;22
Région Wallonie;GASTRO-ENTEROLOGIE;234;64;170;0;0;12;9;9;10;11;4;5;4;0;0;4;16;14;25;28;21;26;36
Région Wallonie;PEDIATRIE;587;334;253;0;0;38;74;51;38;34;28;32;39;0;0;13;9;17;22;18;20;35;119
Région Wallonie;CARDIOLOGIE;385;78;307;0;0;6;17;16;13;15;4;2;5;0;0;12;24;41;40;42;44;40;64
Région Wallonie;NEUROPSYCHIATRIE;86;16;70;0;0;0;0;0;0;1;0;2;13;0;0;0;0;0;0;4;8;10;48
Région Wallonie;MEDECINE PHYSIQUE ET READAPTATION;175;80;95;0;0;7;14;13;9;11;11;10;5;0;0;6;7;3;10;11;14;11;33
Région Wallonie;BIOLOGIE CLINIQUE;254;116;138;0;0;5;6;7;9;17;16;16;40;0;0;3;4;1;6;11;14;31;68
Région Wallonie;RADIODIAGNOSTIC;621;165;456;0;0;17;29;20;33;32;14;13;7;0;0;19;25;41;46;78;59;69;119
Région Wallonie;RADIOTHERAPIE-ONCOLOGIE;79;41;38;0;0;5;3;5;2;12;6;6;2;0;0;3;8;6;2;6;2;0;11
Région Wallonie;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE INFANTO-JUVENILE;45;28;17;0;0;9;7;5;0;1;1;3;2;0;0;0;5;2;2;3;1;2;2
Région Wallonie;MEDECINE NUCLEAIRE;144;50;94;0;0;3;6;4;10;14;3;7;3;0;0;1;3;3;8;11;11;14;43
Région Wallonie;ANATOMIE PATHOLOGIQUE;99;54;45;0;0;3;5;12;7;8;6;4;9;0;0;3;2;2;4;9;7;5;13
Région Wallonie;MEDECINE INTERNE;622;181;441;0;0;20;44;40;25;9;15;11;17;0;0;19;34;40;58;54;61;30;145
Région Wallonie;RHUMATOLOGIE;91;42;49;0;0;5;6;7;9;2;2;3;8;0;0;0;2;3;3;11;6;8;16
Région Wallonie;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE DE L'ADULTE;89;54;35;0;0;17;18;15;1;0;1;0;2;0;0;7;12;7;3;0;2;1;3
Région Wallonie;MEDECINE LEGALE;7;2;5;0;0;0;2;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;1
Région Wallonie;MEDECINE D'URGENCE;12;4;8;0;0;2;1;1;0;0;0;0;0;0;0;2;0;2;3;0;1;0;0
Région Wallonie;MEDECINE AIGUE;153;62;91;0;0;2;13;25;8;6;7;1;0;0;0;1;11;23;16;20;11;7;2
Région Wallonie;GERIATRIE;77;48;29;0;0;12;10;9;10;3;2;1;1;0;0;4;1;4;1;6;5;3;5
Région Wallonie;MEDECINE D'ASSURANCE ET EXPERTISE MEDICALE;263;78;185;0;0;0;5;5;12;20;20;12;4;0;0;0;2;6;12;32;45;71;17
Région Wallonie;ONCOLOGIE MEDICALE;80;38;42;0;0;6;6;9;7;2;3;5;0;0;0;2;4;4;11;4;7;5;5
Région Wallonie;GESTION DE DONNEES DE SANTE;21;7;14;0;0;0;0;1;1;4;1;0;0;0;0;0;0;1;3;6;3;1;0
Région Région de Bruxelles-capitale;MEDECINE DU TRAVAIL;87;46;41;0;0;0;1;13;7;8;8;6;3;0;0;0;2;0;1;9;10;8;11
Région Région de Bruxelles-capitale;ANESTHESIE-REANIMATION;251;133;118;0;1;20;11;24;14;5;18;7;33;0;0;22;21;13;13;15;8;9;17
Région Région de Bruxelles-capitale;CHIRURGIE;228;44;184;0;0;8;10;3;5;4;7;3;4;0;0;9;22;17;11;11;21;18;75
Région Région de Bruxelles-capitale;NEUROCHIRURGIE;17;0;17;0;0;0;0;0;0;0;0;0;0;0;0;2;1;4;1;1;2;1;5
Région Région de Bruxelles-capitale;CHIRURGIE PLASTIQUE, RECONSTRUCTRICE ET ESTHETIQUE;41;8;33;0;0;3;2;0;0;1;1;0;1;0;0;1;7;7;3;5;1;3;6
Région Région de Bruxelles-capitale;NEUROLOGIE;68;39;29;0;0;6;11;6;6;4;5;1;0;0;0;3;9;3;7;3;2;1;1
Région Région de Bruxelles-capitale;PSYCHIATRIE;288;116;172;0;0;1;6;19;20;24;13;12;21;0;0;0;8;11;17;24;22;25;65
Région Région de Bruxelles-capitale;GYNECOLOGIE-OBSTETRIQUE;265;134;131;0;0;18;26;16;15;22;15;11;11;0;0;5;12;8;6;12;16;18;54
Région Région de Bruxelles-capitale;OPHTALMOLOGIE;146;80;66;0;1;10;12;5;5;11;7;4;25;0;0;5;2;10;5;7;5;3;29
Région Région de Bruxelles-capitale;OTO-RHINO-LARYNGOLOGIE;102;42;60;0;0;4;9;8;5;3;2;4;7;0;0;4;2;3;7;8;9;5;22
Région Région de Bruxelles-capitale;UROLOGIE;48;3;45;0;0;0;2;0;1;0;0;0;0;0;0;3;9;4;2;5;4;3;15
Région Région de Bruxelles-capitale;CHIRURGIE ORTHOPEDIQUE;107;13;94;0;0;4;0;3;2;1;1;1;1;0;0;7;8;12;6;12;7;12;30
Région Région de Bruxelles-capitale;STOMATOLOGIE;64;22;42;0;0;3;3;2;2;2;4;1;5;0;0;2;2;2;2;3;6;3;22
Région Région de Bruxelles-capitale;DERMATO-VENEREOLOGIE;127;92;35;0;2;6;14;10;8;12;8;8;24;0;1;0;1;0;4;6;3;6;14
Région Région de Bruxelles-capitale;PNEUMOLOGIE;60;25;35;0;0;5;7;6;1;0;2;1;3;0;0;2;4;2;2;9;5;6;5
Région Région de Bruxelles-capitale;GASTRO-ENTEROLOGIE;103;33;70;0;0;4;6;9;2;2;3;4;3;0;0;5;6;7;11;6;5;9;21
Région Région de Bruxelles-capitale;PEDIATRIE;308;196;112;0;0;29;32;25;21;21;14;16;38;0;0;5;5;12;5;5;15;18;47
Région Région de Bruxelles-capitale;CARDIOLOGIE;173;51;122;0;0;11;8;5;6;9;6;3;3;0;0;5;11;9;12;18;14;15;38
Région Région de Bruxelles-capitale;NEUROPSYCHIATRIE;60;23;37;0;0;0;0;0;0;1;3;2;17;0;0;0;0;0;0;1;2;6;28
Région Région de Bruxelles-capitale;MEDECINE PHYSIQUE ET READAPTATION;41;19;22;0;0;0;4;2;4;4;0;1;4;0;0;1;0;1;0;2;5;2;11
Région Région de Bruxelles-capitale;BIOLOGIE CLINIQUE;112;54;58;0;0;3;3;5;4;8;10;9;12;0;0;0;2;1;3;7;9;10;26
Région Région de Bruxelles-capitale;RADIODIAGNOSTIC;183;67;116;0;0;10;6;7;14;3;15;4;8;0;0;7;13;10;14;15;15;7;35
Région Région de Bruxelles-capitale;RADIOTHERAPIE-ONCOLOGIE;15;11;4;0;0;0;0;1;2;2;1;2;3;0;0;2;1;0;0;0;0;0;1
Région Région de Bruxelles-capitale;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE INFANTO-JUVENILE;32;26;6;0;0;11;4;5;3;1;0;0;2;0;0;2;1;0;0;2;1;0;0
Région Région de Bruxelles-capitale;MEDECINE NUCLEAIRE;38;11;27;0;0;1;2;1;0;3;0;1;3;0;0;1;3;3;0;2;3;4;11
Région Région de Bruxelles-capitale;ANATOMIE PATHOLOGIQUE;46;28;18;0;0;4;4;2;3;4;2;2;7;0;0;1;2;2;1;4;2;1;5
Région Région de Bruxelles-capitale;MEDECINE INTERNE;298;103;195;0;1;15;27;14;9;12;6;13;6;0;0;11;16;16;17;15;24;19;77
Région Région de Bruxelles-capitale;RHUMATOLOGIE;41;15;26;0;0;0;3;2;2;3;0;3;2;0;0;0;1;2;3;3;5;2;10
Région Région de Bruxelles-capitale;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE DE L'ADULTE;73;39;34;0;0;7;10;6;4;5;4;2;1;0;0;7;13;5;1;2;4;1;1
Région Région de Bruxelles-capitale;MEDECINE D'URGENCE;15;7;8;0;0;0;3;2;0;2;0;0;0;0;0;1;3;1;1;1;1;0;0
Région Région de Bruxelles-capitale;MEDECINE AIGUE;46;18;28;0;0;5;4;4;2;1;2;0;0;0;0;0;5;9;6;3;2;1;2
Région Région de Bruxelles-capitale;GERIATRIE;21;12;9;0;0;2;3;3;2;1;1;0;0;0;0;1;1;0;1;2;2;2;0
Région Région de Bruxelles-capitale;MEDECINE D'ASSURANCE ET EXPERTISE MEDICALE;48;19;29;0;0;0;0;3;2;1;10;3;0;0;0;0;1;0;4;5;8;6;5
Région Région de Bruxelles-capitale;ONCOLOGIE MEDICALE;41;22;19;0;0;4;8;3;2;2;1;2;0;0;0;0;2;3;4;1;3;4;2
Région Région de Bruxelles-capitale;GESTION DE DONNEES DE SANTE;11;6;5;0;0;0;0;0;4;1;1;0;0;0;0;1;0;0;1;1;2;0;0
Prov Brabant flamand;MEDECINE DU TRAVAIL;196;99;97;0;0;6;17;19;17;20;11;5;4;0;0;0;8;5;10;16;22;17;19
Prov Brabant flamand;ANESTHESIE-REANIMATION;298;120;178;0;0;16;21;27;14;9;11;14;8;0;0;17;26;24;26;36;17;16;16
Prov Brabant flamand;CHIRURGIE;242;46;196;0;0;9;13;13;3;1;4;2;1;0;0;11;19;22;25;17;30;20;52
Prov Brabant flamand;NEUROCHIRURGIE;23;2;21;0;0;0;0;1;1;0;0;0;0;0;0;2;1;5;4;3;0;2;4
Prov Brabant flamand;CHIRURGIE PLASTIQUE, RECONSTRUCTRICE ET ESTHETIQUE;31;9;22;0;0;2;1;4;1;0;1;0;0;0;0;2;0;2;7;3;1;4;3
Prov Brabant flamand;NEUROLOGIE;69;29;40;0;0;6;3;9;5;3;0;1;2;0;0;2;10;7;3;4;8;4;2
Prov Brabant flamand;PSYCHIATRIE;83;45;38;0;0;0;2;14;17;9;2;0;1;0;0;0;2;3;11;8;6;2;6
Prov Brabant flamand;GYNECOLOGIE-OBSTETRIQUE;201;99;102;0;0;19;22;18;13;13;6;3;5;0;0;2;6;8;9;18;18;12;29
Prov Brabant flamand;OPHTALMOLOGIE;180;120;60;0;2;15;18;16;19;9;16;15;10;0;1;4;5;5;7;11;9;7;11
Prov Brabant flamand;OTO-RHINO-LARYNGOLOGIE;80;34;46;0;0;4;8;5;8;3;2;4;0;0;0;0;6;1;3;9;7;6;14
Prov Brabant flamand;UROLOGIE;49;6;43;0;0;3;0;2;1;0;0;0;0;0;0;1;4;6;4;9;3;9;7
Prov Brabant flamand;CHIRURGIE ORTHOPEDIQUE;138;16;122;0;0;3;1;3;5;1;1;1;1;0;0;6;15;14;20;25;17;13;12
Prov Brabant flamand;STOMATOLOGIE;44;12;32;0;0;3;0;3;1;0;2;0;3;0;0;3;5;0;4;6;0;5;9
Prov Brabant flamand;DERMATO-VENEREOLOGIE;119;91;28;0;2;15;19;13;10;8;9;10;5;0;0;0;0;7;5;2;0;1;13
Prov Brabant flamand;PNEUMOLOGIE;80;36;44;0;0;9;10;7;3;4;1;2;0;0;0;1;6;4;6;10;7;5;5
Prov Brabant flamand;GASTRO-ENTEROLOGIE;88;27;61;0;0;5;7;8;3;3;1;0;0;0;0;2;6;7;10;13;11;6;6
Prov Brabant flamand;PEDIATRIE;259;165;94;0;0;25;30;34;30;14;7;15;10;0;0;2;9;8;10;18;8;9;30
Prov Brabant flamand;CARDIOLOGIE;152;24;128;0;0;1;7;5;6;1;2;0;2;0;0;10;20;12;22;18;18;11;17
Prov Brabant flamand;NEUROPSYCHIATRIE;50;10;40;0;0;0;0;0;0;1;5;1;3;0;0;0;0;0;0;2;4;6;28
Prov Brabant flamand;MEDECINE PHYSIQUE ET READAPTATION;74;30;44;0;0;3;8;5;2;6;4;1;1;0;0;4;2;3;4;2;8;7;14
Prov Brabant flamand;BIOLOGIE CLINIQUE;127;47;80;0;0;3;6;8;3;7;7;8;5;0;0;1;5;3;9;9;12;11;30
Prov Brabant flamand;RADIODIAGNOSTIC;252;85;167;0;0;9;12;20;15;12;6;5;6;0;0;12;15;15;32;25;23;17;28
Prov Brabant flamand;RADIOTHERAPIE-ONCOLOGIE;36;24;12;0;0;4;3;5;4;5;1;2;0;0;0;1;1;0;1;4;3;0;2
Prov Brabant flamand;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE INFANTO-JUVENILE;62;51;11;0;0;9;19;9;1;3;3;5;2;0;0;1;2;1;0;4;1;0;2
Prov Brabant flamand;MEDECINE NUCLEAIRE;46;19;27;0;0;6;2;2;5;2;0;2;0;0;0;0;3;3;6;2;3;2;8
Prov Brabant flamand;ANATOMIE PATHOLOGIQUE;58;32;26;0;0;2;8;4;5;6;4;1;2;0;0;1;3;1;1;2;5;2;11
Prov Brabant flamand;MEDECINE INTERNE;264;89;175;0;0;14;23;18;10;9;10;2;3;0;0;8;12;21;21;19;12;18;64
Prov Brabant flamand;RHUMATOLOGIE;23;7;16;0;0;0;1;2;2;1;0;1;0;0;0;0;1;5;0;1;1;2;6
