Territoire-Spécialité;Unnamed: 1;Total;Genre;Unnamed: 4;Femme;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Homme;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15
;Réadaptation fonctionnelle et professionnelle des handicapés;10.0;10;0;0;9;0;1;0;0;0;0;0;0;0
;Chirurgie orale et maxillo - faciale;3.0;0;3;0;0;0;0;0;0;3;0;0;0;0
;Soins intensifs;16.0;3;13;0;3;0;0;0;0;12;1;0;0;0
;Neurologie pédiatrique;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
;Néphrologie;1.0;0;1;0;0;0;0;0;0;1;0;0;0;0
;Médecine d'urgence;4.0;0;4;0;0;0;0;0;0;2;1;1;0;0
;Endocrino-diabétologie;2.0;1;1;0;1;0;0;0;0;1;0;0;0;0
;Néonatologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
;Oncologie;3.0;2;1;0;2;0;0;0;0;1;0;0;0;0
;Hématologie et oncologie pédiatrique;2.0;2;0;0;1;1;0;0;0;0;0;0;0;0
;Hématologie clinique;3.0;0;3;0;0;0;0;0;0;3;0;0;0;0
Flandre occidentale;Toutes les spécialités;12.0;8;4;1;6;1;0;0;0;4;0;0;0;0
;Chirurgie orale et maxillo - faciale;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0
;Soins intensifs;3.0;1;2;0;1;0;0;0;0;2;0;0;0;0
;Neurologie pédiatrique;1.0;1;0;0;0;1;0;0;0;0;0;0;0;0
;Médecine d'urgence;2.0;1;1;1;0;0;0;0;0;1;0;0;0;0
;Endocrino-diabétologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0
;Néonatologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
;Hématologie clinique;1.0;0;1;0;0;0;0;0;0;1;0;0;0;0
Flandre orientale;Toutes les spécialités;33.0;15;18;0;13;1;1;0;0;16;1;0;0;1
;Réadaptation fonctionnelle et professionnelle des handicapés;4.0;1;3;0;0;0;1;0;0;2;1;0;0;0
;Chirurgie orale et maxillo - faciale;3.0;1;2;0;1;0;0;0;0;2;0;0;0;0
;Soins intensifs;10.0;2;8;0;2;0;0;0;0;8;0;0;0;0
;Néphrologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0
;Médecine d'urgence;3.0;1;2;0;0;1;0;0;0;1;0;0;0;1
;Endocrino-diabétologie;4.0;4;0;0;4;0;0;0;0;0;0;0;0;0
;Néonatologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
;Oncologie;3.0;0;3;0;0;0;0;0;0;3;0;0;0;0
;Hématologie et oncologie pédiatrique;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0
;Hématologie clinique;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
Anvers;Toutes les spécialités;37.0;21;16;1;19;1;0;0;0;13;2;0;1;0
;Réadaptation fonctionnelle et professionnelle des handicapés;4.0;2;2;0;2;0;0;0;0;1;1;0;0;0
;Chirurgie orale et maxillo - faciale;3.0;1;2;0;1;0;0;0;0;2;0;0;0;0
;Soins intensifs;10.0;4;6;0;4;0;0;0;0;6;0;0;0;0
;Neurologie pédiatrique;3.0;2;1;0;2;0;0;0;0;1;0;0;0;0
;Néphrologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0
;Médecine d'urgence;5.0;2;3;0;1;1;0;0;0;1;1;0;1;0
;Endocrino-diabétologie;3.0;2;1;0;2;0;0;0;0;1;0;0;0;0
;Néonatologie;3.0;3;0;1;2;0;0;0;0;0;0;0;0;0
;Oncologie;2.0;1;1;0;1;0;0;0;0;1;0;0;0;0
;Hématologie et oncologie pédiatrique;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
;Hématologie clinique;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
Limbourg;Toutes les spécialités;9.0;4;5;0;3;1;0;0;0;4;1;0;0;0
;Réadaptation fonctionnelle et professionnelle des handicapés;4.0;2;2;0;1;1;0;0;0;1;1;0;0;0
;Chirurgie orale et maxillo - faciale;2.0;0;2;0;0;0;0;0;0;2;0;0;0;0
;Néphrologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
;Médecine d'urgence;2.0;1;1;0;1;0;0;0;0;1;0;0;0;0
Brabant Wallon;Toutes les spécialités;10.0;4;6;0;3;1;0;0;0;1;0;0;3;2
;Réadaptation fonctionnelle et professionnelle des handicapés;3.0;1;2;0;1;0;0;0;0;0;0;0;1;1
;Chirurgie orale et maxillo - faciale;1.0;0;1;0;0;0;0;0;0;1;0;0;0;0
;Soins intensifs;1.0;0;1;0;0;0;0;0;0;0;0;0;1;0
;Neurologie pédiatrique;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
;Néphrologie;1.0;1;0;0;0;1;0;0;0;0;0;0;0;0
;Médecine d'urgence;2.0;0;2;0;0;0;0;0;0;0;0;0;1;1
;Oncologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
Hainaut;Toutes les spécialités;7.0;4;3;1;3;0;0;0;0;2;1;0;0;0
;Soins intensifs;2.0;0;2;0;0;0;0;0;0;2;0;0;0;0
;Néphrologie;1.0;1;0;1;0;0;0;0;0;0;0;0;0;0
;Médecine d'urgence;1.0;0;1;0;0;0;0;0;0;0;1;0;0;0
;Endocrino-diabétologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
;Hématologie clinique;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0
Liège;Toutes les spécialités;20.0;9;11;0;9;0;0;0;1;8;1;0;1;0
;Réadaptation fonctionnelle et professionnelle des handicapés;2.0;1;1;0;1;0;0;0;0;0;0;0;1;0
;Chirurgie orale et maxillo - faciale;1.0;0;1;0;0;0;0;0;0;1;0;0;0;0
;Soins intensifs;10.0;3;7;0;3;0;0;0;1;5;1;0;0;0
;Néphrologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
;Médecine d'urgence;1.0;0;1;0;0;0;0;0;0;1;0;0;0;0
;Endocrino-diabétologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0
;Oncologie;1.0;0;1;0;0;0;0;0;0;1;0;0;0;0
;Hématologie clinique;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0
Namur;Toutes les spécialités;6.0;2;4;0;2;0;0;0;0;3;0;1;0;0
;Chirurgie orale et maxillo - faciale;2.0;0;2;0;0;0;0;0;0;2;0;0;0;0
;Soins intensifs;3.0;1;2;0;1;0;0;0;0;1;0;1;0;0
;Endocrino-diabétologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
Luxembourg;Toutes les spécialités;2.0;1;1;0;1;0;0;0;0;0;1;0;0;0
;Réadaptation fonctionnelle et professionnelle des handicapés;1.0;0;1;0;0;0;0;0;0;0;1;0;0;0
;Néonatologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Toutes les spécialités;26.0;14;12;0;10;1;2;1;0;11;0;1;0;0
;Réadaptation fonctionnelle et professionnelle des handicapés;4.0;3;1;0;2;0;0;1;0;1;0;0;0;0
;Chirurgie orale et maxillo - faciale;2.0;1;1;0;1;0;0;0;0;1;0;0;0;0
;Soins intensifs;6.0;4;2;0;2;0;2;0;0;1;0;1;0;0
;Neurologie pédiatrique;2.0;1;1;0;1;0;0;0;0;1;0;0;0;0
;Néphrologie;2.0;0;2;0;0;0;0;0;0;2;0;0;0;0
;Endocrino-diabétologie;3.0;1;2;0;0;1;0;0;0;2;0;0;0;0
;Oncologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0
;Hématologie clinique;5.0;2;3;0;2;0;0;0;0;3;0;0;0;0
