Gebied;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Man;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24
;West-Vlaanderen;68.0;55;13;12;7;8;3;5;5;7;6;0;2;4;3;1;2;2;0;1;0;0;0
;Oost-Vlaanderen;74.0;66;8;7;16;15;8;6;3;5;4;1;1;0;0;3;3;1;1;0;0;0;0
;Antwerpen;79.0;63;16;10;20;11;7;3;4;3;4;1;0;0;4;5;4;1;0;1;1;0;0
;Limburg;41.0;34;7;9;10;7;2;2;0;1;1;0;2;1;1;0;4;1;0;0;0;0;0
;Waals Brabant;8.0;5;3;0;1;1;0;1;1;0;0;1;0;0;0;1;0;2;0;0;0;0;0
;Henegouwen;5.0;5;0;0;0;1;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;Luik;10.0;9;1;2;0;2;1;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0
;Namen;3.0;3;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;Luxemburg;3.0;1;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0
;"Brussels Hoofdstedelijk
Gewest";27.0;20;7;3;5;4;1;2;1;2;1;0;1;1;3;1;1;1;0;0;0;0;0
Podoloog;België;885.0;605;280;106;171;101;81;68;26;22;16;9;5;56;84;39;41;21;16;10;6;6;1
;Vlaams Gewest;616.0;445;171;93;140;74;52;50;17;6;4;6;3;53;62;17;17;9;8;2;0;3;0
;Waals Gewest;172.0;98;74;7;15;20;19;12;3;12;7;2;1;1;15;11;21;10;6;5;3;2;0
;"Brussels Hoofdstedelijk
Gewest";97.0;62;35;6;16;7;10;6;6;4;5;1;1;2;7;11;3;2;2;3;3;1;1
;Vlaams Brabant;78.0;52;26;9;11;13;8;3;1;2;2;1;2;4;10;2;5;1;2;1;0;1;0
;West-Vlaanderen;188.0;152;36;42;48;26;15;16;3;1;1;0;0;15;10;3;5;2;0;1;0;0;0
;Oost-Vlaanderen;251.0;176;75;33;66;21;19;20;9;3;1;4;0;28;29;9;5;1;3;0;0;0;0
;Antwerpen;64.0;43;21;7;14;8;6;4;2;0;0;1;1;3;9;1;2;4;2;0;0;0;0
;Limburg;35.0;22;13;2;1;6;4;7;2;0;0;0;0;3;4;2;0;1;1;0;0;2;0
;Waals Brabant;49.0;24;25;0;6;6;3;2;1;5;1;0;0;1;3;2;7;4;4;3;1;0;0
;Henegouwen;56.0;32;24;3;4;7;7;6;1;1;1;1;1;0;6;3;9;2;1;0;1;2;0
;Luik;25.0;16;9;0;1;4;1;1;1;4;3;1;0;0;1;3;0;2;1;1;1;0;0
;Namen;27.0;17;10;0;4;3;4;3;0;1;2;0;0;0;4;1;3;2;0;0;0;0;0
;Luxemburg;15.0;9;6;4;0;0;4;0;0;1;0;0;0;0;1;2;2;0;0;1;0;0;0
;"Brussels Hoofdstedelijk
Gewest";97.0;62;35;6;16;7;10;6;6;4;5;1;1;2;7;11;3;2;2;3;3;1;1
Ergotherapeut;België;12268.0;11012;1256;1540;2380;1893;1519;1240;554;480;720;514;172;160;324;156;119;139;61;45;85;88;79
;Vlaams Gewest;9189.0;8251;938;1295;1819;1418;1062;847;431;358;532;388;101;138;252;113;89;81;32;33;66;73;61
;Waals Gewest;2452.0;2210;242;182;402;391;392;340;96;101;153;95;58;14;48;33;23;45;25;10;16;14;14
;"Brussels Hoofdstedelijk
Gewest";627.0;551;76;63;159;84;65;53;27;21;35;31;13;8;24;10;7;13;4;2;3;1;4
;Vlaams Brabant;1041.0;933;108;136;214;141;125;94;58;36;64;55;10;13;34;16;10;11;3;4;5;8;4
;West-Vlaanderen;2240.0;1977;263;304;415;324;270;209;101;96;140;87;31;36;60;33;25;19;8;12;19;27;24
;Oost-Vlaanderen;2412.0;2159;253;330;481;374;275;203;94;98;141;125;38;27;54;31;29;23;12;11;24;22;20
;Antwerpen;2089.0;1925;164;327;436;337;231;196;100;71;123;88;16;31;52;11;17;12;5;4;13;10;9
;Limburg;1407.0;1257;150;198;273;242;161;145;78;57;64;33;6;31;52;22;8;16;4;2;5;6;4
;Waals Brabant;327.0;300;27;24;51;48;46;47;9;10;31;22;12;1;3;4;0;9;1;2;2;2;3
;Henegouwen;868.0;771;97;75;162;124;136;113;35;32;55;26;13;8;18;17;8;15;11;3;8;4;5
;Luik;729.0;646;83;38;117;127;120;105;30;30;38;25;16;2;18;11;11;14;7;4;4;7;5
;Namen;365.0;338;27;34;35;62;58;56;16;22;22;18;15;1;6;1;4;6;4;1;2;1;1
;Luxemburg;163.0;155;8;11;37;30;32;19;6;7;7;4;2;2;3;0;0;1;2;0;0;0;0
;"Brussels Hoofdstedelijk
Gewest";627.0;551;76;63;159;84;65;53;27;21;35;31;13;8;24;10;7;13;4;2;3;1;4
Diëtist;België;6370.0;5898;472;712;1484;1096;684;440;335;359;324;242;222;61;147;83;40;34;22;19;21;22;23
;Vlaams Gewest;3954.0;3668;286;499;952;652;400;228;192;213;215;174;143;37;99;53;26;13;11;9;6;15;17
;Waals Gewest;1956.0;1812;144;183;422;329;227;182;124;128;96;57;64;21;35;21;10;17;11;9;10;6;4
;"Brussels Hoofdstedelijk
Gewest";460.0;418;42;30;110;115;57;30;19;18;13;11;15;3;13;9;4;4;0;1;5;1;2
;Vlaams Brabant;794.0;742;52;96;186;137;79;51;41;40;46;36;30;5;19;4;7;4;1;2;3;2;5
;West-Vlaanderen;747.0;678;69;105;179;118;76;35;27;39;34;38;27;9;16;14;5;2;5;3;1;7;7
;Oost-Vlaanderen;867.0;799;68;114;194;145;80;58;42;57;41;34;34;12;27;12;4;4;2;3;1;2;1
;Antwerpen;1119.0;1040;79;146;288;176;124;63;59;48;63;44;29;10;29;21;6;2;2;1;1;4;3
;Limburg;427.0;409;18;38;105;76;41;21;23;29;31;22;23;1;8;2;4;1;1;0;0;0;1
;Waals Brabant;309.0;294;15;28;60;50;39;29;22;22;18;12;14;2;5;3;0;0;3;0;1;1;0
;Henegouwen;667.0;625;42;66;155;88;88;76;48;42;31;15;16;7;8;6;3;7;1;3;2;2;3
;Luik;604.0;547;57;44;125;111;67;44;32;46;31;27;20;9;15;4;5;7;7;4;5;1;0
;Namen;237.0;222;15;25;48;53;23;20;17;15;10;3;8;1;4;4;1;2;0;2;1;0;0
;Luxemburg;139.0;124;15;20;34;27;10;13;5;3;6;0;6;2;3;4;1;1;0;0;1;2;1
;"Brussels Hoofdstedelijk
Gewest";460.0;418;42;30;110;115;57;30;19;18;13;11;15;3;13;9;4;4;0;1;5;1;2
Audicien;België;1918.0;1547;371;184;465;322;198;159;54;68;39;30;28;18;48;33;26;32;26;22;35;33;98
;Vlaams Gewest;1557.0;1358;199;168;429;300;181;138;36;49;23;18;16;9;26;21;15;14;11;9;12;19;63
;Waals Gewest;253.0;129;124;10;19;11;10;18;13;16;13;8;11;3;11;8;7;10;12;10;19;11;33
;"Brussels Hoofdstedelijk
Gewest";108.0;60;48;6;17;11;7;3;5;3;3;4;1;6;11;4;4;8;3;3;4;3;2
;Vlaams Brabant;239.0;201;38;30;63;34;38;15;5;6;4;2;4;0;4;3;2;2;3;3;3;4;14
;West-Vlaanderen;361.0;313;48;36;115;67;41;24;5;11;8;3;3;5;8;2;5;2;3;1;3;3;16
;Oost-Vlaanderen;434.0;367;67;47;113;85;38;40;11;14;7;8;4;3;10;10;5;8;2;4;2;5;18
;Antwerpen;392.0;361;31;48;107;84;48;42;12;10;3;2;5;1;3;6;3;0;2;1;0;5;10
;Limburg;131.0;116;15;7;31;30;16;17;3;8;1;3;0;0;1;0;0;2;1;0;4;2;5
;Waals Brabant;60.0;30;30;1;5;2;2;3;4;4;6;2;1;0;3;4;1;2;3;1;5;6;5
;Henegouwen;67.0;34;33;4;7;4;2;6;3;4;1;2;1;2;1;2;2;3;2;2;6;3;10
;Luik;70.0;37;33;4;4;3;4;7;3;4;2;2;4;1;4;1;3;2;5;1;2;1;13
;Namen;43.0;22;21;1;3;2;1;0;1;4;4;2;4;0;3;1;0;2;2;4;5;1;3
;Luxemburg;13.0;6;7;0;0;0;1;2;2;0;0;0;1;0;0;0;1;1;0;2;1;0;2
;"Brussels Hoofdstedelijk
Gewest";108.0;60;48;6;17;11;7;3;5;3;3;4;1;6;11;4;4;8;3;3;4;3;2
"Medisch
laboratoriumtechnoloog";België;11627.0;8883;2744;699;1307;1102;1001;818;651;1028;930;965;382;234;561;405;294;221;182;195;260;256;136
;Vlaams Gewest;6388.0;5145;1243;488;760;552;519;467;388;651;579;558;183;155;281;149;113;78;66;68;121;137;75
;Waals Gewest;4384.0;3134;1250;168;437;456;407;300;223;329;305;352;157;69;235;212;140;117;88;108;126;104;51
;"Brussels Hoofdstedelijk
Gewest";855.0;604;251;43;110;94;75;51;40;48;46;55;42;10;45;44;41;26;28;19;13;15;10
;Vlaams Brabant;1421.0;1074;347;71;143;87;115;98;87;138;141;143;51;35;57;38;26;24;22;24;43;50;28
;West-Vlaanderen;1092.0;875;217;92;141;112;78;74;53;109;100;90;26;36;54;31;17;9;14;17;15;17;7
;Oost-Vlaanderen;1394.0;1162;232;111;142;148;103;105;110;148;117;127;51;20;55;25;24;20;10;11;23;25;19
;Antwerpen;1680.0;1376;304;144;210;130;139;136;90;190;152;148;37;36;62;32;38;22;16;14;29;36;19
;Limburg;801.0;658;143;70;124;75;84;54;48;66;69;50;18;28;53;23;8;3;4;2;11;9;2
;Waals Brabant;505.0;366;139;10;38;53;43;31;39;45;41;47;19;2;20;31;15;11;12;16;12;15;5
;Henegouwen;1694.0;1199;495;73;167;169;171;116;83;116;123;127;54;33;102;88;59;38;33;40;41;36;25
;Luik;1305.0;952;353;53;157;148;111;92;52;98;81;101;59;24;70;57;42;39;20;21;40;27;13
;Namen;687.0;468;219;20;60;63;71;46;38;51;41;57;21;7;34;32;22;28;19;24;28;18;7
;Luxemburg;193.0;149;44;12;15;23;11;15;11;19;19;20;4;3;9;4;2;1;4;7;5;8;1
;"Brussels Hoofdstedelijk
Gewest";855.0;604;251;43;110;94;75;51;40;48;46;55;42;10;45;44;41;26;28;19;13;15;10
"Technoloog medische
beeldvorming";België;2629.0;1556;1073;139;317;275;162;70;96;149;163;120;65;45;222;177;108;79;51;85;102;122;82
;Vlaams Gewest;958.0;636;322;70;171;131;90;27;35;39;40;20;13;17;81;54;39;20;10;23;25;33;20
;Waals Gewest;1320.0;734;586;54;97;100;58;34;49;100;110;88;44;25;102;92;50;45;36;53;62;70;51
;"Brussels Hoofdstedelijk
Gewest";351.0;186;165;15;49;44;14;9;12;10;13;12;8;3;39;31;19;14;5;9;15;19;11
;Vlaams Brabant;310.0;169;141;16;32;45;28;6;8;14;14;3;3;5;28;19;12;10;2;12;14;25;14
;West-Vlaanderen;124.0;90;34;13;29;13;14;2;5;4;5;5;0;2;9;8;5;1;1;4;1;2;1
;Oost-Vlaanderen;223.0;154;69;19;43;32;25;6;9;10;5;3;2;5;23;12;13;5;3;3;3;2;0
;Antwerpen;190.0;141;49;17;37;26;11;8;9;9;11;6;7;1;10;12;6;1;2;4;6;3;4
;Limburg;111.0;82;29;5;30;15;12;5;4;2;5;3;1;4;11;3;3;3;2;0;1;1;1
;Waals Brabant;145.0;81;64;6;4;12;6;8;7;8;14;10;6;3;9;10;6;6;4;9;4;6;7
;Henegouwen;473.0;223;250;18;37;33;23;8;15;29;23;25;12;12;56;44;21;13;11;18;22;30;23
;Luik;404.0;272;132;23;30;36;12;11;18;41;48;39;14;9;22;23;8;9;10;9;13;17;12
;Namen;243.0;133;110;7;21;13;16;4;9;19;23;13;8;1;12;13;13;14;7;15;17;12;6
;Luxemburg;55.0;25;30;0;5;6;1;3;0;3;2;1;4;0;3;2;2;3;4;2;6;5;3
;"Brussels Hoofdstedelijk
Gewest";351.0;186;165;15;49;44;14;9;12;10;13;12;8;3;39;31;19;14;5;9;15;19;11
Mondhygiënist;België;63.0;63;0;38;15;3;2;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;Vlaams Gewest;63.0;63;0;38;15;3;2;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;Vlaams Brabant;14.0;14;0;6;5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;West-Vlaanderen;12.0;12;0;7;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Oost-Vlaanderen;15.0;15;0;12;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Antwerpen;18.0;18;0;10;4;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;Limburg;4.0;4;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
