Territoire-Spécialité;Unnamed: 1;Total;Genre;Unnamed: 4;Femme;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Homme;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20
;Chirurgie orale et maxillo - faciale;22.0;12;10;0;1;3;1;3;1;3;0;0;0;2;1;1;1;2;3
;Soins intensifs;87.0;29;58;5;6;7;1;5;0;2;3;3;9;8;3;6;15;6;8
;Neurologie pédiatrique;10.0;9;1;0;3;1;0;0;1;1;3;0;0;0;0;0;0;0;1
;Néphrologie;52.0;23;29;4;6;5;3;0;2;1;2;2;4;2;4;2;4;2;9
;Médecine d'urgence;40.0;15;25;0;1;2;0;4;4;2;2;0;0;4;3;6;1;2;9
;Endocrino-diabétologie;58.0;30;28;3;4;10;3;1;2;2;5;0;0;3;3;4;2;2;14
;Néonatologie;27.0;24;3;2;8;5;3;3;2;0;1;0;0;0;1;0;0;1;1
;Oncologie;21.0;6;15;0;2;1;3;0;0;0;0;0;1;3;1;2;2;3;3
;Hématologie et oncologie pédiatrique;6.0;4;2;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;1
;Hématologie clinique;29.0;15;14;4;2;3;1;2;1;1;1;1;1;1;3;2;3;0;3
;Gestion de données de santé;12.0;6;6;0;0;0;0;3;1;1;1;0;0;0;0;1;1;2;2
Brabant flamand;Toutes les spécialités;686.0;311;375;27;50;71;57;30;28;26;22;15;31;25;44;51;48;41;120
;Médecine nucléaire in vitro;34.0;12;22;0;0;0;1;2;2;3;4;1;0;0;1;1;3;5;11
;"Réadaptation fonctionnelle et
professionnelle des handicapés";163.0;65;98;2;6;13;12;9;9;6;8;1;5;1;5;10;5;9;62
;Gériatrie;20.0;13;7;0;1;2;5;2;0;2;1;0;0;1;1;0;0;3;2
;Chirurgie orale et maxillo - faciale;26.0;9;17;0;2;3;2;0;0;2;0;1;3;3;1;2;4;0;3
;Soins intensifs;148.0;56;92;11;10;14;10;6;1;2;2;5;13;10;13;16;17;5;13
;Neurologie pédiatrique;21.0;14;7;1;4;3;3;0;1;1;1;0;0;0;1;2;1;1;2
;Néphrologie;43.0;20;23;3;7;5;3;1;0;1;0;2;3;4;3;2;2;2;5
;Médecine d'urgence;60.0;23;37;1;2;8;5;2;1;1;3;0;2;4;6;6;6;5;8
;Endocrino-diabétologie;50.0;33;17;2;7;7;5;3;4;3;2;1;1;1;6;1;1;0;6
;Néonatologie;23.0;14;9;1;2;1;4;3;2;1;0;1;1;0;1;3;0;2;1
;Oncologie;45.0;21;24;5;4;6;5;0;1;0;0;3;2;1;4;3;3;5;3
;Hématologie et oncologie pédiatrique;12.0;10;2;0;2;4;1;0;3;0;0;0;0;0;0;1;1;0;0
;Hématologie clinique;27.0;14;13;1;3;5;1;1;1;2;0;0;1;0;2;4;1;2;3
;Gestion de données de santé;11.0;6;5;0;0;0;0;1;2;2;1;0;0;0;0;0;3;2;0
;Psychiatrie médico-légale;3.0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1
Flandre occidentale;Toutes les spécialités;509.0;157;352;14;29;32;26;27;12;6;11;11;19;34;37;46;39;35;131
;Médecine nucléaire in vitro;11.0;3;8;0;0;0;1;0;1;0;1;0;0;0;0;1;1;2;4
;"Réadaptation fonctionnelle et
professionnelle des handicapés";135.0;45;90;1;3;6;5;13;6;2;9;0;4;2;8;3;8;7;58
;Gériatrie;32.0;11;21;0;4;1;3;2;0;1;0;0;0;0;1;1;0;2;17
;Chirurgie orale et maxillo - faciale;28.0;2;26;1;0;0;1;0;0;0;0;1;3;5;5;5;3;1;3
;Soins intensifs;102.0;33;69;3;10;8;5;5;2;0;0;3;7;12;7;12;9;10;9
;Neurologie pédiatrique;6.0;3;3;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2
;Néphrologie;41.0;12;29;0;3;4;2;2;1;0;0;2;2;1;5;3;1;2;13
;Médecine d'urgence;56.0;16;40;1;1;4;5;3;0;1;1;2;2;6;5;10;3;6;6
;Endocrino-diabétologie;21.0;11;10;2;2;3;2;0;1;1;0;0;0;0;2;1;2;0;5
;Néonatologie;11.0;6;5;2;2;0;1;1;0;0;0;0;0;1;1;1;2;0;0
;Oncologie;48.0;11;37;1;3;6;0;1;0;0;0;3;0;5;3;5;7;4;10
;Hématologie et oncologie pédiatrique;2.0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
;Hématologie clinique;10.0;3;7;1;1;0;0;0;1;0;0;0;0;2;0;2;2;0;1
;Gestion de données de santé;4.0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2
;Psychiatrie médico-légale;2.0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Flandre orientale;Toutes les spécialités;627.0;263;364;31;48;49;54;35;22;7;17;22;27;30;55;47;54;41;88
;Médecine nucléaire in vitro;34.0;10;24;0;0;2;0;2;5;0;1;0;0;0;2;3;6;5;8
;"Réadaptation fonctionnelle et
professionnelle des handicapés";128.0;59;69;2;6;14;10;11;5;1;10;3;3;5;5;11;8;6;28
;Gériatrie;15.0;4;11;0;0;1;1;0;1;0;1;0;0;0;1;0;1;0;9
;Chirurgie orale et maxillo - faciale;37.0;9;28;1;2;2;3;0;0;1;0;4;3;2;4;2;2;7;4
;Soins intensifs;138.0;54;84;11;15;4;14;6;3;0;1;10;7;11;14;14;9;12;7
;Neurologie pédiatrique;13.0;7;6;0;0;1;2;1;2;0;1;0;1;1;1;0;0;1;2
;Néphrologie;52.0;22;30;3;6;3;4;2;1;2;1;2;7;3;2;3;5;0;8
;Médecine d'urgence;49.0;10;39;2;0;3;4;1;0;0;0;0;3;3;14;5;7;2;5
;Endocrino-diabétologie;43.0;24;19;5;6;4;2;5;1;1;0;1;1;2;1;1;4;2;7
;Néonatologie;11.0;9;2;0;2;2;1;3;0;0;1;0;0;0;1;0;0;0;1
;Oncologie;56.0;27;29;3;5;10;7;0;1;1;0;0;2;3;7;6;8;2;1
;Hématologie et oncologie pédiatrique;8.0;7;1;0;1;1;1;2;1;1;0;0;0;0;0;0;0;0;1
;Hématologie clinique;21.0;16;5;4;5;1;4;0;2;0;0;2;0;0;0;0;2;0;1
;Gestion de données de santé;14.0;1;13;0;0;0;0;0;0;0;1;0;0;0;1;2;2;3;5
;Psychiatrie médico-légale;8.0;4;4;0;0;1;1;2;0;0;0;0;0;0;2;0;0;1;1
Anvers;Toutes les spécialités;699.0;300;399;38;46;52;60;46;23;22;13;21;27;43;46;50;53;56;103
;Médecine nucléaire in vitro;21.0;10;11;0;0;0;3;2;3;2;0;0;0;0;0;1;2;5;3
;"Réadaptation fonctionnelle et
professionnelle des handicapés";138.0;63;75;4;5;10;14;11;6;7;6;2;4;7;5;7;5;5;40
;Gériatrie;26.0;5;21;0;0;0;2;1;1;1;0;0;0;0;2;1;1;7;10
;Chirurgie orale et maxillo - faciale;37.0;5;32;2;1;0;2;0;0;0;0;1;5;6;3;3;4;3;7
;Soins intensifs;157.0;61;96;5;11;12;14;11;3;4;1;9;11;12;18;11;13;9;13
;Neurologie pédiatrique;16.0;14;2;2;1;3;3;2;1;1;1;0;0;0;0;0;0;1;1
;Néphrologie;51.0;26;25;3;8;6;4;2;0;2;1;4;2;3;1;2;4;3;6
;Médecine d'urgence;71.0;16;55;2;3;3;4;2;1;0;1;2;1;6;7;14;9;10;6
;Endocrino-diabétologie;51.0;33;18;9;6;4;4;4;2;2;2;1;2;1;2;1;3;2;6
;Néonatologie;28.0;18;10;3;3;3;2;3;2;2;0;1;1;1;2;1;2;1;1
;Oncologie;57.0;31;26;4;8;5;4;6;3;1;0;0;0;3;2;5;7;6;3
;Hématologie et oncologie pédiatrique;3.0;1;2;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0
;Hématologie clinique;26.0;13;13;4;0;4;3;2;0;0;0;1;1;2;1;2;2;2;2
;Gestion de données de santé;10.0;2;8;0;0;0;0;0;1;0;1;0;0;1;0;1;0;2;4
;Psychiatrie médico-légale;7.0;2;5;0;0;1;1;0;0;0;0;0;0;1;2;0;1;0;1
Limbourg;Toutes les spécialités;282.0;98;184;9;20;19;20;16;9;2;3;10;15;30;22;17;20;26;44
;Médecine nucléaire in vitro;8.0;3;5;0;0;0;0;3;0;0;0;0;0;0;0;1;0;2;2
;"Réadaptation fonctionnelle et
professionnelle des handicapés";54.0;14;40;1;0;5;4;1;1;0;2;0;3;5;3;2;4;4;19
;Gériatrie;5.0;1;4;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;2
;Chirurgie orale et maxillo - faciale;19.0;2;17;0;0;2;0;0;0;0;0;1;2;5;2;1;2;2;2
;Soins intensifs;83.0;33;50;5;7;5;6;6;3;1;0;8;7;7;5;4;6;7;6
;Neurologie pédiatrique;4.0;4;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0
;Néphrologie;13.0;3;10;0;1;0;2;0;0;0;0;1;1;1;1;2;2;1;1
;Médecine d'urgence;32.0;11;21;1;1;2;4;3;0;0;0;0;0;5;4;3;1;4;4
;Endocrino-diabétologie;17.0;8;9;1;2;1;2;1;1;0;0;0;0;2;2;0;0;2;3
;Néonatologie;2.0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
;Oncologie;25.0;8;17;1;3;2;0;0;1;1;0;0;1;3;5;2;4;2;0
;Hématologie et oncologie pédiatrique;1.0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;Hématologie clinique;8.0;6;2;0;2;1;1;1;1;0;0;0;0;1;0;0;1;0;0
;Gestion de données de santé;6.0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;3
;Psychiatrie médico-légale;5.0;2;3;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;2
Brabant Wallon;Toutes les spécialités;282.0;96;186;5;6;11;12;16;16;15;15;2;8;10;21;18;25;29;73
;Médecine nucléaire in vitro;19.0;10;9;0;0;0;0;0;6;3;1;0;0;0;0;0;0;0;9
;"Réadaptation fonctionnelle et
professionnelle des handicapés";72.0;23;49;0;0;2;3;4;2;3;9;0;0;2;2;3;3;5;34
;Gériatrie;9.0;4;5;0;0;1;0;2;0;1;0;0;0;0;0;1;1;1;2
;Chirurgie orale et maxillo - faciale;7.0;1;6;1;0;0;0;0;0;0;0;0;0;1;2;1;1;0;1
;Soins intensifs;52.0;9;43;2;1;0;2;1;1;1;1;1;5;3;6;5;9;9;5
;Neurologie pédiatrique;7.0;7;0;0;1;2;0;1;1;0;2;0;0;0;0;0;0;0;0
;Néphrologie;32.0;14;18;2;1;0;3;3;3;2;0;0;1;1;2;3;2;2;7
;Médecine d'urgence;27.0;6;21;0;1;0;0;2;2;1;0;0;0;0;5;3;1;5;7
;Endocrino-diabétologie;21.0;6;15;0;0;1;2;1;1;1;0;0;0;2;1;1;2;3;6
;Néonatologie;10.0;7;3;0;0;3;2;0;0;2;0;0;1;0;1;0;0;1;0
;Oncologie;11.0;2;9;0;1;1;0;0;0;0;0;0;1;1;1;1;3;2;0
;Hématologie clinique;9.0;4;5;0;1;1;0;2;0;0;0;1;0;0;1;0;2;1;0
;Gestion de données de santé;6.0;3;3;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;2
Hainaut;Toutes les spécialités;317.0;97;220;6;13;15;21;8;8;6;20;4;5;10;16;28;42;45;70
;Médecine nucléaire in vitro;19.0;4;15;0;0;0;0;0;3;1;0;0;0;0;0;0;3;5;7
;"Réadaptation fonctionnelle et
professionnelle des handicapés";51.0;14;37;0;0;1;4;0;1;3;5;0;0;0;3;3;5;6;20
;Gériatrie;16.0;4;12;0;0;1;0;0;1;0;2;0;0;0;0;1;1;1;9
;Chirurgie orale et maxillo - faciale;9.0;4;5;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;1
;Soins intensifs;57.0;11;46;0;3;2;2;1;1;1;1;2;0;1;6;8;12;8;9
;Neurologie pédiatrique;6.0;5;1;0;1;1;1;0;0;0;2;0;0;0;0;0;0;1;0
;Néphrologie;24.0;7;17;1;2;1;1;1;0;0;1;1;2;0;0;2;4;2;6
;Médecine d'urgence;41.0;6;35;0;0;2;1;0;0;0;3;0;1;2;1;9;8;7;7
;Endocrino-diabétologie;33.0;18;15;3;3;4;2;4;0;1;1;1;1;2;1;0;2;3;5
;Néonatologie;9.0;9;0;0;1;0;4;2;0;0;2;0;0;0;0;0;0;0;0
;Oncologie;27.0;6;21;1;1;0;2;0;1;0;1;0;0;4;5;1;3;4;4
;Hématologie clinique;11.0;6;5;1;2;1;1;0;1;0;0;0;1;1;0;1;1;1;0
;Gestion de données de santé;14.0;3;11;0;0;0;1;0;0;0;2;0;0;0;0;1;1;7;2
Liège;Toutes les spécialités;446.0;178;268;14;23;25;32;25;15;16;28;4;16;18;37;25;38;37;93
;Médecine nucléaire in vitro;19.0;11;8;0;0;0;2;1;2;1;5;0;1;0;0;0;3;1;3
;"Réadaptation fonctionnelle et
professionnelle des handicapés";112.0;43;69;0;0;1;6;9;4;6;17;0;2;3;3;2;7;9;43
;Gériatrie;9.0;4;5;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;5
;Chirurgie orale et maxillo - faciale;5.0;1;4;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;1
;Soins intensifs;78.0;20;58;3;7;3;4;0;2;1;0;3;7;4;12;4;9;5;14
;Neurologie pédiatrique;11.0;7;4;0;3;3;1;0;0;0;0;0;0;0;0;0;1;1;2
;Néphrologie;31.0;11;20;1;1;3;3;0;0;1;2;0;1;2;2;2;3;6;4
;Médecine d'urgence;60.0;18;42;0;1;2;3;7;2;2;1;0;2;2;9;9;7;7;6
;Endocrino-diabétologie;45.0;26;19;4;2;5;5;5;1;1;3;1;0;1;3;2;2;4;6
;Néonatologie;15.0;8;7;2;2;1;1;1;1;0;0;0;1;0;3;1;0;0;2
;Oncologie;21.0;9;12;1;2;4;2;0;0;0;0;0;0;1;3;3;2;2;1
;Hématologie et oncologie pédiatrique;10.0;6;4;0;0;1;2;0;1;2;0;0;0;2;1;0;1;0;0
;Hématologie clinique;18.0;9;9;3;4;1;1;0;0;0;0;0;1;2;1;2;0;1;2
;Gestion de données de santé;12.0;5;7;0;0;0;0;1;2;2;0;0;0;0;0;0;2;1;4
Namur;Toutes les spécialités;187.0;66;121;2;10;14;13;6;9;7;5;5;9;8;15;17;14;13;40
;Médecine nucléaire in vitro;6.0;2;4;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;3
;"Réadaptation fonctionnelle et
professionnelle des handicapés";28.0;11;17;0;0;3;1;0;3;2;2;0;0;0;0;4;2;2;9
;Gériatrie;4.0;1;3;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2
;Chirurgie orale et maxillo - faciale;9.0;1;8;0;0;1;0;0;0;0;0;2;0;0;3;2;0;0;1
;Soins intensifs;39.0;7;32;1;1;0;2;2;1;0;0;2;4;2;4;7;5;3;5
;Neurologie pédiatrique;6.0;4;2;0;0;1;1;0;0;1;1;0;0;1;0;0;0;1;0
;Néphrologie;16.0;7;9;0;3;3;0;0;1;0;0;0;0;2;3;1;0;0;3
;Médecine d'urgence;29.0;10;19;0;1;2;3;1;2;1;0;0;3;1;2;0;4;4;5
;Endocrino-diabétologie;18.0;10;8;0;3;1;3;2;0;1;0;0;1;0;1;1;1;1;3
;Néonatologie;3.0;2;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0
;Oncologie;9.0;3;6;0;0;3;0;0;0;0;0;1;1;1;1;1;0;0;1
;Hématologie clinique;10.0;6;4;1;1;0;2;1;0;1;0;0;0;0;1;0;0;1;2
;Gestion de données de santé;10.0;2;8;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;6
Luxembourg;Toutes les spécialités;60.0;19;41;0;1;4;3;4;4;1;2;2;1;6;3;3;6;6;14
;Médecine nucléaire in vitro;3.0;2;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1
;"Réadaptation fonctionnelle et
professionnelle des handicapés";6.0;1;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5
;Gériatrie;3.0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1
;Chirurgie orale et maxillo - faciale;2.0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
;Soins intensifs;7.0;1;6;0;0;0;0;1;0;0;0;2;0;0;0;1;1;2;0
;Neurologie pédiatrique;1.0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;Néphrologie;4.0;2;2;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1
;Médecine d'urgence;11.0;2;9;0;0;1;0;1;0;0;0;0;0;0;1;0;0;4;4
;Endocrino-diabétologie;8.0;5;3;0;0;2;2;0;0;0;1;0;0;1;1;0;0;0;1
;Néonatologie;2.0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
;Oncologie;5.0;1;4;0;1;0;0;0;0;0;0;0;1;1;1;0;1;0;0
;Hématologie clinique;4.0;0;4;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0
;Gestion de données de santé;4.0;1;3;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0
"Région de Bruxelles
Capitale";Toutes les spécialités;503.0;228;275;18;35;40;19;25;23;27;41;6;15;27;22;30;39;33;103
;Médecine nucléaire in vitro;31.0;15;16;0;0;0;0;1;2;7;5;0;0;0;0;1;3;3;9
;"Réadaptation fonctionnelle et
professionnelle des handicapés";100.0;38;62;0;2;2;4;2;5;5;18;0;0;2;3;5;6;10;36
;Gériatrie;8.0;2;6;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;4
;Chirurgie orale et maxillo - faciale;22.0;12;10;0;1;3;1;3;1;3;0;0;0;2;1;1;1;2;3
;Soins intensifs;87.0;29;58;5;6;7;1;5;0;2;3;3;9;8;3;6;15;6;8
;Neurologie pédiatrique;10.0;9;1;0;3;1;0;0;1;1;3;0;0;0;0;0;0;0;1
;Néphrologie;52.0;23;29;4;6;5;3;0;2;1;2;2;4;2;4;2;4;2;9
;Médecine d'urgence;40.0;15;25;0;1;2;0;4;4;2;2;0;0;4;3;6;1;2;9
;Endocrino-diabétologie;58.0;30;28;3;4;10;3;1;2;2;5;0;0;3;3;4;2;2;14
;Néonatologie;27.0;24;3;2;8;5;3;3;2;0;1;0;0;0;1;0;0;1;1
;Oncologie;21.0;6;15;0;2;1;3;0;0;0;0;0;1;3;1;2;2;3;3
;Hématologie et oncologie pédiatrique;6.0;4;2;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;1
;Hématologie clinique;29.0;15;14;4;2;3;1;2;1;1;1;1;1;1;3;2;3;0;3
;Gestion de données de santé;12.0;6;6;0;0;0;0;3;1;1;1;0;0;0;0;1;1;2;2
