Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Man;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22
;Psychiatrie;932.0;429;503;0;0;5;9;39;114;105;64;93;0;0;4;2;31;73;87;67;239
;Neuropsychiatrie;190.0;44;146;0;0;0;0;0;0;1;6;37;0;0;0;0;0;0;0;8;138
;"Psychiatrie, meer bepaald kinder- en
jeugdpsychiatrie";420.0;333;87;0;38;76;65;76;28;10;13;27;0;13;6;16;14;5;4;9;20
;"Psychiatrie, meer bepaald
volwassenpsychiatrie";914.0;463;451;3;76;84;93;95;28;9;21;54;0;46;37;42;68;22;9;43;184
;Pneumologie;687.0;302;385;0;40;52;67;58;34;16;11;24;0;29;26;22;37;34;51;65;121
;Gastro-enterologie;856.0;310;546;0;52;67;51;48;32;19;16;25;0;36;45;45;54;52;77;73;164
;Cardiologie;1377.0;352;1025;0;39;67;61;55;38;38;26;28;0;73;88;94;121;105;127;111;306
;Inwendige geneeskunde;2020.0;843;1177;1;114;159;150;137;103;58;46;75;1;81;50;76;107;110;130;118;504
;Reumatologie;298.0;147;151;0;17;20;18;16;22;20;10;24;0;3;11;7;6;12;17;17;78
;Acute geneeskunde;308.0;138;170;0;8;12;13;36;34;14;10;11;1;4;8;12;30;43;28;20;24
;Gynaecologie-verloskunde;1850.0;1070;780;3;198;183;139;137;124;105;74;107;0;22;32;34;55;66;82;101;388
;Oftalmologie;1353.0;845;508;17;95;97;94;102;82;79;76;203;7;41;34;34;41;42;55;55;199
;Otorhinolaryngologie;792.0;372;420;0;60;55;45;49;45;49;29;40;0;19;23;24;36;32;42;66;178
;Stomatologie;397.0;108;289;0;16;16;17;15;14;4;11;15;0;32;30;25;25;20;31;31;95
;Dermato-venereologie;904.0;661;243;1;74;76;72;87;94;74;47;136;0;8;16;10;18;15;31;25;120
;Pediatrie;2103.0;1451;652;2;219;206;193;206;173;139;87;226;0;33;44;45;40;50;51;61;328
;Fysische geneeskunde en revalidatie;643.0;312;331;2;41;41;32;42;48;30;34;42;0;33;18;27;29;14;42;38;130
;Klinische biologie;726.0;358;368;1;19;27;32;34;40;34;48;123;0;21;11;17;14;17;38;48;202
;Rontgendiagnose;1995.0;618;1377;1;78;89;66;86;72;92;51;83;1;117;114;103;99;122;180;182;459
;Radiotherapie-oncologie;256.0;149;107;0;13;19;27;22;20;17;12;19;0;9;13;14;16;11;5;23;16
;Nucleaire geneeskunde;357.0;132;225;0;11;14;17;17;15;24;15;19;0;13;18;10;14;18;23;24;105
;Pathologische anatomie;429.0;240;189;0;24;34;25;31;36;29;19;42;0;15;8;17;17;17;18;24;73
;Medische oncologie;338.0;191;147;0;32;38;31;25;23;19;11;12;0;13;20;8;14;24;24;12;32
;Klinische genetica;76.0;48;28;0;0;4;8;8;13;5;3;7;0;0;1;6;3;7;6;2;3
;Arbeidsgeneeskunde;1186.0;657;529;0;11;20;54;132;104;112;101;123;0;4;4;14;49;34;45;100;279
;"Verzekeringsgeneeskunde en
medische expertise";626.0;200;426;0;2;1;3;12;33;36;53;60;0;0;1;1;10;18;47;93;256
Vlaams Gewest;Alle specialiteiten;16900.0;7344;9556;25;1026;1133;1022;1081;999;755;502;801;6;708;716;750;942;886;1081;1176;3291
;Geriatrie;242.0;150;92;0;35;22;19;21;25;10;11;7;0;5;8;3;8;7;8;15;38
;Urgentiegeneeskunde;179.0;97;82;0;36;40;9;6;4;2;0;0;0;36;23;9;8;4;1;1;0
;Gerechtelijke geneeskunde;9.0;4;5;0;2;2;0;0;0;0;0;0;0;1;1;0;0;0;0;1;2
;Beheer van gezondheidsgegevens;25.0;9;16;0;0;0;0;1;0;3;3;2;0;0;0;0;1;2;3;4;6
;Anesthesie-reanimatie;1672.0;702;970;2;97;120;93;95;97;77;38;83;1;130;93;99;114;107;110;113;203
;Heelkunde;1026.0;231;795;0;35;46;40;42;29;7;12;20;0;44;61;77;80;75;95;90;273
;Neurochirurgie;165.0;19;146;0;4;5;0;3;4;3;0;0;0;13;18;20;20;20;12;12;31
;"Plastische, reconstructieve en
esthetische heelkunde";176.0;47;129;0;6;12;4;5;5;3;6;6;0;7;8;18;10;17;25;10;34
;Urologie;327.0;56;271;0;13;13;14;5;6;2;2;1;0;23;30;24;32;27;31;24;80
;Orthopedische heelkunde;800.0;97;703;0;26;16;16;8;14;8;4;5;0;57;69;65;87;67;90;85;183
;Neurologie;399.0;207;192;1;41;43;40;26;20;17;5;14;0;17;17;19;26;18;18;29;48
;Psychiatrie;266.0;139;127;0;0;0;2;7;61;47;14;8;0;0;0;0;10;41;46;15;15
;Neuropsychiatrie;111.0;26;85;0;0;0;0;0;0;1;5;20;0;0;0;0;0;0;0;6;79
;"Psychiatrie, meer bepaald kinder- en
jeugdpsychiatrie";277.0;231;46;0;26;47;41;59;21;6;12;19;0;2;3;9;8;2;3;5;14
;"Psychiatrie, meer bepaald
volwassenpsychiatrie";631.0;293;338;3;47;47;62;58;10;3;15;48;0;26;21;19;46;9;2;41;174
;Pneumologie;374.0;169;205;0;20;35;41;32;19;11;6;5;0;16;17;16;19;15;26;38;58
;Gastro-enterologie;469.0;170;299;0;34;43;25;30;16;10;7;5;0;25;29;31;31;28;36;40;79
;Cardiologie;711.0;140;571;0;14;29;25;27;19;14;4;8;0;43;59;60;77;60;71;52;149
;Inwendige geneeskunde;974.0;411;563;1;56;83;77;63;50;29;28;24;0;38;26;30;50;51;55;52;261
;Reumatologie;153.0;75;78;0;10;16;7;9;11;9;5;8;0;2;6;5;5;6;9;6;39
;Acute geneeskunde;143.0;62;81;0;6;10;8;16;9;7;3;3;1;2;6;11;18;22;10;6;5
;Gynaecologie-verloskunde;926.0;526;400;2;108;92;80;73;72;48;25;26;0;14;16;18;25;32;46;53;196
;Oftalmologie;801.0;513;288;11;60;56;58;58;63;49;50;108;4;18;14;20;17;24;32;34;125
;Otorhinolaryngologie;432.0;203;229;0;38;34;28;24;21;28;13;17;0;9;14;16;24;20;17;40;89
;Stomatologie;241.0;65;176;0;12;13;12;7;9;2;4;6;0;20;19;22;20;11;21;24;39
;Dermato-venereologie;507.0;377;130;1;42;47;42;58;56;40;23;68;0;5;9;5;10;12;16;11;62
;Pediatrie;1043.0;724;319;2;117;101;95;99;101;84;36;89;0;14;18;23;22;26;23;36;157
;Fysische geneeskunde en revalidatie;397.0;177;220;2;25;21;17;26;31;18;19;18;0;28;16;15;19;10;29;21;82
;Klinische biologie;385.0;180;205;0;15;16;21;25;25;19;18;41;0;10;5;11;12;15;27;26;99
;Rontgendiagnose;1111.0;311;800;0;45;47;31;46;47;43;20;32;0;72;71;59;68;71;118;105;236
;Radiotherapie-oncologie;161.0;91;70;0;10;11;19;16;17;11;4;3;0;5;9;9;9;6;3;18;11
;Nucleaire geneeskunde;172.0;62;110;0;8;7;10;8;10;9;6;4;0;6;10;7;4;12;13;12;46
;Pathologische anatomie;270.0;141;129;0;13;21;21;19;20;19;10;18;0;11;3;13;14;13;10;14;51
;Medische oncologie;166.0;100;66;0;14;22;19;16;10;11;6;2;0;6;12;1;6;17;9;6;9
;Klinische genetica;48.0;29;19;0;0;1;6;4;8;3;3;4;0;0;1;4;1;5;4;2;2
;Arbeidsgeneeskunde;769.0;404;365;0;9;14;38;83;64;79;58;59;0;3;3;12;37;21;35;77;177
;"Verzekeringsgeneeskunde en
medische expertise";342.0;106;236;0;2;1;2;6;25;23;27;20;0;0;1;0;4;13;27;52;139
Waals Gewest;Alle specialiteiten;9882.0;4290;5592;7;433;591;521;647;520;441;377;753;2;296;354;370;480;521;672;690;2207
;Geriatrie;123.0;90;33;0;11;18;17;15;13;9;3;4;0;2;1;7;2;3;2;5;11
;Urgentiegeneeskunde;136.0;58;78;0;21;22;8;4;3;0;0;0;0;18;21;11;10;11;3;2;2
;Gerechtelijke geneeskunde;6.0;2;4;0;0;0;0;2;0;0;0;0;0;0;1;2;0;0;0;0;1
;Beheer van gezondheidsgegevens;21.0;7;14;0;0;0;0;0;1;2;3;1;0;0;0;0;0;2;5;4;3
;Anesthesie-reanimatie;928.0;352;576;1;27;63;42;61;43;29;18;68;1;56;56;53;64;79;72;66;129
;Heelkunde;595.0;128;467;0;22;16;17;16;15;17;12;13;0;10;24;35;40;34;56;62;206
;Neurochirurgie;75.0;14;61;0;3;4;1;1;2;2;1;0;0;6;6;4;10;6;8;6;15
;"Plastische, reconstructieve en
esthetische heelkunde";88.0;26;62;0;1;6;3;5;1;4;4;2;0;4;6;14;6;6;10;5;11
;Urologie;159.0;27;132;0;5;3;3;7;2;3;3;1;0;9;13;10;17;13;10;13;47
;Orthopedische heelkunde;413.0;41;372;0;5;5;8;9;3;3;3;5;0;15;40;29;35;32;46;48;127
;Neurologie;221.0;107;114;0;11;19;15;17;19;9;10;7;0;6;9;7;14;9;22;18;29
;Psychiatrie;418.0;185;233;0;0;5;5;24;37;33;28;53;0;0;4;2;12;25;29;25;136
;Neuropsychiatrie;52.0;8;44;0;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;2;42
;"Psychiatrie, meer bepaald kinder- en
jeugdpsychiatrie";83.0;60;23;0;6;18;11;13;5;1;0;6;0;4;1;3;5;3;1;2;4
;"Psychiatrie, meer bepaald
volwassenpsychiatrie";159.0;98;61;0;12;17;27;26;10;1;3;2;0;7;10;13;10;10;6;0;5
;Pneumologie;239.0;97;142;0;13;12;17;22;9;5;4;15;0;10;8;5;13;17;21;20;48
;Gastro-enterologie;274.0;97;177;0;11;18;20;11;12;5;8;12;0;6;9;7;18;18;33;26;60
;Cardiologie;456.0;130;326;0;15;23;21;19;15;16;11;10;0;18;17;23;33;34;42;44;115
;Inwendige geneeskunde;696.0;284;412;0;38;48;47;49;39;21;10;32;0;22;10;26;42;42;56;50;164
;Reumatologie;105.0;52;53;0;5;3;8;6;8;8;2;12;0;1;4;2;1;3;5;9;28
;Acute geneeskunde;137.0;62;75;0;2;0;3;17;21;7;5;7;0;1;2;1;10;19;15;11;16
;Gynaecologie-verloskunde;626.0;356;270;1;51;55;40;49;41;43;28;48;0;6;9;11;19;26;30;36;133
;Oftalmologie;383.0;224;159;3;21;27;23;31;15;23;17;64;1;17;15;9;15;12;18;18;54
;Otorhinolaryngologie;273.0;131;142;0;17;18;14;16;19;19;14;14;0;7;7;6;11;9;16;22;64
;Stomatologie;101.0;25;76;0;1;3;3;7;3;0;3;5;0;7;7;2;3;7;9;4;37
;Dermato-venereologie;263.0;187;76;0;21;19;22;18;27;25;13;42;0;1;5;2;6;3;9;10;40
;Pediatrie;706.0;481;225;0;63;76;65;74;49;33;37;84;0;7;15;17;12;16;22;19;117
;Fysische geneeskunde en revalidatie;203.0;107;96;0;7;20;12;13;14;8;12;21;0;5;1;12;9;4;12;12;41
;Klinische biologie;242.0;124;118;1;2;6;10;7;9;10;18;61;0;7;4;5;2;1;7;16;76
;Rontgendiagnose;656.0;208;448;1;17;30;21;34;16;34;26;29;0;27;29;34;25;42;52;60;179
;Radiotherapie-oncologie;74.0;42;32;0;2;7;7;3;2;4;5;12;0;3;3;4;7;5;2;4;4
;Nucleaire geneeskunde;139.0;54;85;0;2;4;5;6;5;13;7;12;0;5;4;2;5;4;8;9;48
;Pathologische anatomie;113.0;69;44;0;8;8;3;8;13;8;6;15;0;3;5;4;2;2;6;6;16
;Medische oncologie;116.0;60;56;0;11;11;5;6;10;6;4;7;0;5;7;3;5;5;11;5;15
;Klinische genetica;18.0;11;7;0;0;2;2;2;3;1;0;1;0;0;0;2;1;2;2;0;0
;Arbeidsgeneeskunde;343.0;210;133;0;2;5;15;45;31;26;34;52;0;1;1;2;12;12;9;18;78
;"Verzekeringsgeneeskunde en
medische expertise";242.0;76;166;0;0;0;1;4;5;13;24;29;0;0;0;1;4;5;17;33;106
"Brussels
Hoofdstedelijk Gewest";Alle specialiteiten;3968.0;1968;2000;5;279;276;232;222;197;179;174;404;4;194;166;146;158;158;172;211;791
;Geriatrie;43.0;29;14;0;4;7;7;3;5;1;1;1;0;1;2;2;1;0;1;2;5
;Urgentiegeneeskunde;51.0;27;24;0;7;10;4;3;0;1;2;0;0;6;6;5;3;1;2;0;1
;Gerechtelijke geneeskunde;1.0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;Beheer van gezondheidsgegevens;11.0;6;5;0;0;0;0;0;3;1;1;1;0;0;0;1;0;0;2;0;2
;Anesthesie-reanimatie;303.0;145;158;0;27;19;14;10;18;11;7;39;0;37;19;19;10;23;12;11;27
;Heelkunde;208.0;56;152;0;4;13;8;8;3;4;4;12;0;11;20;5;10;18;12;11;65
;Neurochirurgie;20.0;4;16;0;0;2;0;0;2;0;0;0;0;1;0;2;2;2;0;3;6
;"Plastische, reconstructieve en
esthetische heelkunde";37.0;8;29;0;1;1;2;1;0;0;1;2;0;5;2;4;3;4;1;2;8
;Urologie;54.0;7;47;0;2;2;1;2;0;0;0;0;0;4;6;3;4;2;5;3;20
;Orthopedische heelkunde;109.0;21;88;0;4;2;2;1;4;3;1;4;0;6;7;8;7;7;11;11;31
;Neurologie;95.0;55;40;2;11;7;6;8;6;6;4;5;0;3;6;6;8;6;2;5;4
;Psychiatrie;248.0;105;143;0;0;0;2;8;16;25;22;32;0;0;0;0;9;7;12;27;88
;Neuropsychiatrie;27.0;10;17;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;17
;"Psychiatrie, meer bepaald kinder- en
jeugdpsychiatrie";60.0;42;18;0;6;11;13;4;2;3;1;2;0;7;2;4;1;0;0;2;2
;"Psychiatrie, meer bepaald
volwassenpsychiatrie";124.0;72;52;0;17;20;4;11;8;5;3;4;0;13;6;10;12;3;1;2;5
;Pneumologie;74.0;36;38;0;7;5;9;4;6;0;1;4;0;3;1;1;5;2;4;7;15
;Gastro-enterologie;113.0;43;70;0;7;6;6;7;4;4;1;8;0;5;7;7;5;6;8;7;25
;Cardiologie;210.0;82;128;0;10;15;15;9;4;8;11;10;0;12;12;11;11;11;14;15;42
;Inwendige geneeskunde;350.0;148;202;0;20;28;26;25;14;8;8;19;1;21;14;20;15;17;19;16;79
;Reumatologie;40.0;20;20;0;2;1;3;1;3;3;3;4;0;0;1;0;0;3;3;2;11
;Acute geneeskunde;28.0;14;14;0;0;2;2;3;4;0;2;1;0;1;0;0;2;2;3;3;3
;Gynaecologie-verloskunde;298.0;188;110;0;39;36;19;15;11;14;21;33;0;2;7;5;11;8;6;12;59
;Oftalmologie;169.0;108;61;3;14;14;13;13;4;7;9;31;2;6;5;5;9;6;5;3;20
;Otorhinolaryngologie;87.0;38;49;0;5;3;3;9;5;2;2;9;0;3;2;2;1;3;9;4;25
;Stomatologie;55.0;18;37;0;3;0;2;1;2;2;4;4;0;5;4;1;2;2;1;3;19
;Dermato-venereologie;134.0;97;37;0;11;10;8;11;11;9;11;26;0;2;2;3;2;0;6;4;18
;Pediatrie;354.0;246;108;0;39;29;33;33;23;22;14;53;0;12;11;5;6;8;6;6;54
;Fysische geneeskunde en revalidatie;43.0;28;15;0;9;0;3;3;3;4;3;3;0;0;1;0;1;0;1;5;7
;Klinische biologie;99.0;54;45;0;2;5;1;2;6;5;12;21;0;4;2;1;0;1;4;6;27
;Rontgendiagnose;228.0;99;129;0;16;12;14;6;9;15;5;22;1;18;14;10;6;9;10;17;44
;Radiotherapie-oncologie;21.0;16;5;0;1;1;1;3;1;2;3;4;0;1;1;1;0;0;0;1;1
;Nucleaire geneeskunde;46.0;16;30;0;1;3;2;3;0;2;2;3;0;2;4;1;5;2;2;3;11
;Pathologische anatomie;46.0;30;16;0;3;5;1;4;3;2;3;9;0;1;0;0;1;2;2;4;6
;Medische oncologie;56.0;31;25;0;7;5;7;3;3;2;1;3;0;2;1;4;3;2;4;1;8
;Klinische genetica;10.0;8;2;0;0;1;0;2;2;1;0;2;0;0;0;0;1;0;0;0;1
;Arbeidsgeneeskunde;74.0;43;31;0;0;1;1;4;9;7;9;12;0;0;0;0;0;1;1;5;24
;"Verzekeringsgeneeskunde en
medische expertise";42.0;18;24;0;0;0;0;2;3;0;2;11;0;0;0;0;2;0;3;8;11
Vlaams Brabant;Alle specialiteiten;4567.0;2159;2408;4;277;332;296;339;289;208;162;252;1;184;188;188;232;240;276;317;782
;Geriatrie;51.0;38;13;0;4;7;4;6;10;1;4;2;0;0;1;0;2;1;2;3;4
;Urgentiegeneeskunde;47.0;21;26;0;6;9;0;4;1;1;0;0;0;10;8;2;2;2;1;1;0
;Gerechtelijke geneeskunde;4.0;3;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;Beheer van gezondheidsgegevens;11.0;6;5;0;0;0;0;0;0;1;3;2;0;0;0;0;0;0;0;1;4
;Anesthesie-reanimatie;390.0;166;224;0;16;28;23;24;23;15;12;25;0;35;19;28;23;23;29;31;36
;Heelkunde;301.0;77;224;0;12;18;13;18;9;2;1;4;0;14;23;19;23;22;25;19;79
;Neurochirurgie;36.0;5;31;0;2;1;0;0;2;0;0;0;0;4;4;4;5;3;4;2;5
;"Plastische, reconstructieve en
esthetische heelkunde";40.0;15;25;0;1;4;3;3;3;1;0;0;0;1;1;3;0;6;7;2;5
;Urologie;66.0;12;54;0;2;1;4;0;3;1;1;0;0;1;8;5;7;5;7;8;13
;Orthopedische heelkunde;181.0;28;153;0;5;7;3;3;3;3;1;3;0;9;21;15;22;18;17;18;33
;Neurologie;97.0;55;42;0;14;7;7;5;11;4;2;5;0;1;4;4;5;6;3;5;14
;Psychiatrie;74.0;41;33;0;0;0;1;2;16;12;6;4;0;0;0;0;3;5;9;6;10
;Neuropsychiatrie;32.0;7;25;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;1;24
;"Psychiatrie, meer bepaald kinder- en
jeugdpsychiatrie";79.0;69;10;0;11;8;9;23;7;0;3;8;0;1;0;0;2;1;1;3;2
;"Psychiatrie, meer bepaald
volwassenpsychiatrie";162.0;78;84;0;11;8;20;21;3;0;8;7;0;8;6;7;8;3;0;9;43
;Pneumologie;105.0;54;51;0;5;14;12;11;4;4;2;2;0;5;5;2;6;3;5;12;13
;Gastro-enterologie;119.0;46;73;0;9;9;9;5;7;3;3;1;0;6;8;8;4;9;10;8;20
;Cardiologie;201.0;42;159;0;3;11;7;9;4;4;2;2;0;13;20;13;19;16;19;21;38
;Inwendige geneeskunde;298.0;128;170;0;14;31;19;20;16;5;14;9;0;13;5;13;22;15;19;17;66
;Reumatologie;33.0;16;17;0;2;2;3;3;3;2;0;1;0;0;1;1;1;5;1;1;7
;Acute geneeskunde;56.0;27;29;0;3;9;2;4;6;2;0;1;0;2;2;3;5;9;6;1;1
;Gynaecologie-verloskunde;267.0;163;104;0;31;27;26;25;19;14;10;11;0;3;4;4;11;9;10;19;44
;Oftalmologie;220.0;146;74;3;18;15;20;14;16;16;11;33;1;5;4;7;5;9;8;10;25
;Otorhinolaryngologie;107.0;59;48;0;11;11;8;6;6;10;2;5;0;1;4;6;4;1;5;8;19
;Stomatologie;57.0;21;36;0;2;6;4;2;1;1;0;5;0;7;4;4;4;1;3;3;10
;Dermato-venereologie;140.0;111;29;0;16;12;13;24;12;7;5;22;0;0;2;0;2;8;5;2;10
;Pediatrie;320.0;232;88;1;33;33;34;34;35;22;12;28;0;3;6;9;5;7;9;16;33
;Fysische geneeskunde en revalidatie;96.0;46;50;0;9;7;4;7;5;3;4;7;0;8;2;2;2;4;3;3;26
;Klinische biologie;123.0;50;73;0;5;2;4;5;8;4;8;14;0;4;2;3;2;4;8;9;41
;Rontgendiagnose;308.0;106;202;0;14;16;10;13;17;14;10;12;0;18;20;17;20;18;29;26;54
;Radiotherapie-oncologie;45.0;29;16;0;4;5;3;3;7;5;2;0;0;3;1;2;2;1;2;3;2
;Nucleaire geneeskunde;48.0;25;23;0;4;4;5;1;3;5;1;2;0;2;0;2;1;4;4;4;6
;Pathologische anatomie;69.0;42;27;0;2;7;7;8;3;5;3;7;0;4;0;2;3;2;1;4;11
;Medische oncologie;53.0;29;24;0;4;7;4;4;2;5;2;1;0;3;2;0;2;8;4;1;4
;Klinische genetica;23.0;14;9;0;0;1;3;3;3;2;2;0;0;0;0;1;0;3;2;2;1
;Arbeidsgeneeskunde;212.0;114;98;0;3;3;11;26;15;24;16;16;0;0;1;2;9;5;11;21;49
;"Verzekeringsgeneeskunde en
medische expertise";96.0;38;58;0;0;0;1;3;6;10;11;7;0;0;0;0;1;4;7;17;29
West-Vlaanderen;Alle specialiteiten;2696.0;989;1707;0;147;149;141;125;128;112;54;133;2;101;93;125;147;142;180;193;724
;Geriatrie;47.0;27;20;0;7;4;5;2;4;2;1;2;0;0;2;1;2;0;2;3;10
;Urgentiegeneeskunde;19.0;12;7;0;4;6;2;0;0;0;0;0;0;4;1;1;1;0;0;0;0
;Beheer van gezondheidsgegevens;2.0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
;Anesthesie-reanimatie;309.0;117;192;0;19;17;14;15;16;15;6;15;1;14;13;18;26;21;22;23;54
;Heelkunde;150.0;28;122;0;5;7;5;5;2;0;1;3;0;6;6;11;9;6;15;13;56
;Neurochirurgie;26.0;2;24;0;0;1;0;0;1;0;0;0;0;4;2;3;4;2;1;2;6
;"Plastische, reconstructieve en
esthetische heelkunde";26.0;6;20;0;1;3;0;0;0;1;0;1;0;1;0;5;2;2;2;2;6
;Urologie;63.0;7;56;0;1;4;0;1;1;0;0;0;0;2;6;4;7;9;5;4;19
;Orthopedische heelkunde;156.0;12;144;0;4;1;2;1;1;2;1;0;0;16;11;13;10;13;20;19;42
;Neurologie;60.0;24;36;0;4;4;7;3;1;5;0;0;0;4;0;1;6;3;5;7;10
;Psychiatrie;33.0;12;21;0;0;0;1;0;4;6;0;1;0;0;0;0;0;6;11;1;3
;Neuropsychiatrie;19.0;3;16;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;16
;"Psychiatrie, meer bepaald kinder- en
jeugdpsychiatrie";29.0;24;5;0;4;4;5;1;3;0;1;6;0;0;0;0;1;0;0;1;3
;"Psychiatrie, meer bepaald
volwassenpsychiatrie";92.0;39;53;0;8;9;7;5;0;0;1;9;0;3;4;4;4;1;2;3;32
;Pneumologie;57.0;24;33;0;4;3;9;2;3;3;0;0;0;1;1;4;2;1;4;5;15
;Gastro-enterologie;78.0;23;55;0;6;7;3;2;2;2;1;0;0;3;5;4;8;4;5;8;18
;Cardiologie;99.0;13;86;0;2;1;5;1;1;2;0;1;0;3;8;6;11;11;10;2;35
;Inwendige geneeskunde;118.0;37;81;0;2;7;11;8;4;3;1;1;0;2;2;2;6;10;5;5;49
;Reumatologie;21.0;10;11;0;2;2;0;1;2;1;0;2;0;1;1;1;2;0;0;1;5
;Acute geneeskunde;22.0;9;13;0;1;0;3;2;1;2;0;0;0;0;0;4;3;2;2;1;1
;Gynaecologie-verloskunde;137.0;61;76;0;12;11;8;9;12;6;2;1;0;2;5;3;1;5;8;8;44
;Oftalmologie;139.0;89;50;0;8;9;6;9;14;8;10;25;1;1;3;4;0;4;6;5;26
;Otorhinolaryngologie;81.0;25;56;0;8;5;1;0;3;7;1;0;0;3;2;4;6;6;3;7;25
;Stomatologie;38.0;6;32;0;1;1;1;0;2;0;1;0;0;2;1;4;4;3;8;4;6
;Dermato-venereologie;85.0;56;29;0;8;7;3;8;8;5;1;16;0;1;2;1;2;0;4;2;17
;Pediatrie;157.0;101;56;0;10;17;14;12;11;11;3;23;0;2;3;3;2;4;3;3;36
;Fysische geneeskunde en revalidatie;71.0;27;44;0;4;3;5;3;6;3;2;1;0;2;5;4;3;0;4;6;20
;Klinische biologie;55.0;20;35;0;1;3;2;4;1;2;1;6;0;2;0;3;3;3;2;4;18
;Rontgendiagnose;211.0;38;173;0;9;5;4;5;7;4;2;2;0;19;7;11;11;15;23;24;63
;Radiotherapie-oncologie;28.0;18;10;0;2;0;4;5;2;3;1;1;0;1;0;1;3;1;0;1;3
;Nucleaire geneeskunde;29.0;9;20;0;0;0;3;3;2;1;0;0;0;1;2;1;0;1;0;2;13
;Pathologische anatomie;42.0;16;26;0;4;3;2;3;1;1;0;2;0;1;0;2;4;4;1;3;11
;Medische oncologie;31.0;22;9;0;4;4;4;2;3;3;1;1;0;0;1;0;0;4;1;1;2
;Klinische genetica;1.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;Arbeidsgeneeskunde;114.0;62;52;0;2;1;5;12;7;12;13;10;0;0;0;1;4;0;5;11;31
;"Verzekeringsgeneeskunde en
medische expertise";51.0;10;41;0;0;0;0;1;3;2;3;1;0;0;0;0;0;1;1;11;28
Oost-Vlaanderen;Alle specialiteiten;3682.0;1642;2040;7;242;250;250;236;215;161;119;162;0;185;167;152;213;176;230;242;675
;Geriatrie;53.0;33;20;0;9;3;6;4;4;3;3;1;0;2;2;0;1;3;0;3;9
;Urgentiegeneeskunde;43.0;24;19;0;11;8;3;1;1;0;0;0;0;8;6;3;2;0;0;0;0
;Gerechtelijke geneeskunde;2.0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
;Beheer van gezondheidsgegevens;4.0;2;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0
;Anesthesie-reanimatie;374.0;143;231;0;18;27;23;15;20;16;10;14;0;43;27;20;28;23;24;22;44
;Heelkunde;208.0;48;160;0;6;8;10;7;8;2;2;5;0;5;14;17;16;15;20;22;51
;Neurochirurgie;31.0;4;27;0;0;2;0;1;0;1;0;0;0;1;5;4;4;3;1;3;6
