territoire;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64
Région flamande;Médecine d'urgence;222;126;96;10;78;34;3;1;0;0;0;8;55;28;3;1;1;0;0;0
Région flamande;Médecine légale;9;7;2;1;4;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Région flamande;Anesthésie-réanimation;345;148;197;9;114;16;6;3;0;0;0;10;150;34;1;1;1;0;0;0
Région flamande;Chirurgie;198;98;100;8;66;23;1;0;0;0;0;12;69;19;0;0;0;0;0;0
Région flamande;Neurochirurgie;42;12;30;1;9;1;1;0;0;0;0;3;19;8;0;0;0;0;0;0
Région flamande;Chirurgie plastique, reconstructrice et esthétique;33;17;16;2;9;6;0;0;0;0;0;0;9;6;1;0;0;0;0;0
Région flamande;Urologie;99;45;54;5;30;9;1;0;0;0;0;1;40;12;1;0;0;0;0;0
Région flamande;Chirurgie orthopédique;160;47;113;3;30;14;0;0;0;0;0;7;80;24;2;0;0;0;0;0
Région flamande;Neurologie;102;72;30;13;41;16;1;1;0;0;0;6;22;2;0;0;0;0;0;0
Région flamande;Psychiatrie, particulièrement en psychiatrie infanto-juvénile;77;66;11;4;46;14;2;0;0;0;0;0;10;1;0;0;0;0;0;0
Région flamande;Psychiatrie, particulièrement en psychiatrie adulte;180;106;74;11;75;14;4;0;1;1;0;11;45;18;0;0;0;0;0;0
Région flamande;Pneumologie;26;16;10;0;6;9;1;0;0;0;0;0;3;7;0;0;0;0;0;0
Région flamande;Gastro-entérologie;50;30;20;0;13;17;0;0;0;0;0;0;8;11;1;0;0;0;0;0
Région flamande;Cardiologie;50;16;34;0;6;10;0;0;0;0;0;0;17;15;1;0;1;0;0;0
Région flamande;Médecine interne;509;312;197;56;237;16;1;2;0;0;0;27;152;16;2;0;0;0;0;0
Région flamande;Rhumatologie;15;10;5;0;2;7;1;0;0;0;0;0;3;2;0;0;0;0;0;0
Région flamande;Médecine aiguë;18;8;10;0;5;2;1;0;0;0;0;0;7;2;1;0;0;0;0;0
Région flamande;Gynécologie-obstétrique;186;158;28;17;119;20;2;0;0;0;0;4;21;3;0;0;0;0;0;0
Région flamande;Ophtalmologie;93;55;38;10;39;4;2;0;0;0;0;4;30;2;1;0;1;0;0;0
Région flamande;Oto-rhino-laryngologie;81;59;22;5;50;4;0;0;0;0;0;2;19;1;0;0;0;0;0;0
Région flamande;Stomatologie;43;17;26;3;13;1;0;0;0;0;0;4;20;2;0;0;0;0;0;0
Région flamande;Dermato-vénéréologie;61;52;9;7;42;3;0;0;0;0;0;1;7;1;0;0;0;0;0;0
Région flamande;Pédiatrie;223;189;34;27;138;21;3;0;0;0;0;5;27;2;0;0;0;0;0;0
Région flamande;Médecine physique et réadaptation;68;35;33;3;31;0;0;1;0;0;0;2;30;1;0;0;0;0;0;0
Région flamande;Biologie clinique;45;23;22;0;12;9;2;0;0;0;0;3;14;3;2;0;0;0;0;0
Région flamande;Radiodiagnostic;138;39;99;5;23;9;0;2;0;0;0;9;75;9;4;2;0;0;0;0
Région flamande;Radiothérapie - oncologie;34;15;19;1;10;4;0;0;0;0;0;4;11;3;0;1;0;0;0;0
Région flamande;Médecine nucléaire;15;6;9;2;3;1;0;0;0;0;0;0;5;3;0;1;0;0;0;0
Région flamande;Anatomie pathologique;40;25;15;0;17;7;0;1;0;0;0;1;13;0;1;0;0;0;0;0
Région flamande;Oncologie médicale;29;17;12;0;7;8;2;0;0;0;0;0;7;4;1;0;0;0;0;0
Région flamande;Génétique clinique;15;10;5;2;5;2;1;0;0;0;0;1;3;1;0;0;0;0;0;0
Région flamande;Médecine du travail;41;32;9;0;6;11;2;2;3;6;2;0;5;0;0;0;0;2;2;0
Région wallonne;Toutes les spécialités;1737;996;741;100;704;163;20;3;4;1;1;51;520;141;15;5;7;2;0;0
Région wallonne;Gériatrie;56;45;11;4;31;10;0;0;0;0;0;1;5;5;0;0;0;0;0;0
Région wallonne;Médecine d'urgence;181;92;89;7;62;19;2;0;1;1;0;1;58;25;1;0;3;1;0;0
Région wallonne;Médecine légale;4;1;3;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0
Région wallonne;Anesthésie-réanimation;198;87;111;6;63;16;1;1;0;0;0;7;77;19;5;1;2;0;0;0
Région wallonne;Chirurgie;123;65;58;7;43;14;1;0;0;0;0;5;42;9;1;1;0;0;0;0
Région wallonne;Neurochirurgie;14;6;8;0;5;1;0;0;0;0;0;1;5;2;0;0;0;0;0;0
Région wallonne;Chirurgie plastique, reconstructrice et esthétique;15;9;6;2;4;3;0;0;0;0;0;0;4;2;0;0;0;0;0;0
Région wallonne;Urologie;26;15;11;0;9;6;0;0;0;0;0;0;5;6;0;0;0;0;0;0
Région wallonne;Chirurgie orthopédique;86;28;58;0;19;9;0;0;0;0;0;3;38;15;1;0;1;0;0;0
Région wallonne;Neurologie;43;24;19;5;16;3;0;0;0;0;0;3;12;4;0;0;0;0;0;0
Région wallonne;Psychiatrie, particulièrement en psychiatrie infanto-juvénile;34;28;6;2;22;3;1;0;0;0;0;0;4;2;0;0;0;0;0;0
Région wallonne;Psychiatrie, particulièrement en psychiatrie adulte;51;35;16;3;21;7;3;1;0;0;0;2;13;1;0;0;0;0;0;0
Région wallonne;Pneumologie;36;19;17;1;10;8;0;0;0;0;0;1;10;6;0;0;0;0;0;0
Région wallonne;Gastro-entérologie;29;22;7;0;14;6;1;1;0;0;0;0;6;1;0;0;0;0;0;0
Région wallonne;Cardiologie;41;17;24;0;12;5;0;0;0;0;0;2;15;7;0;0;0;0;0;0
Région wallonne;Médecine interne;215;114;101;21;81;11;1;0;0;0;0;11;83;6;0;1;0;0;0;0
Région wallonne;Rhumatologie;12;8;4;0;5;3;0;0;0;0;0;0;3;1;0;0;0;0;0;0
Région wallonne;Médecine aiguë;3;1;2;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Région wallonne;Gynécologie-obstétrique;91;78;13;8;66;4;0;0;0;0;0;0;12;1;0;0;0;0;0;0
Région wallonne;Ophtalmologie;36;22;14;3;17;0;2;0;0;0;0;1;11;1;1;0;0;0;0;0
Région wallonne;Oto-rhino-laryngologie;28;18;10;1;15;2;0;0;0;0;0;1;8;1;0;0;0;0;0;0
Région wallonne;Stomatologie;16;3;13;1;2;0;0;0;0;0;0;1;9;3;0;0;0;0;0;0
Région wallonne;Dermato-vénéréologie;27;21;6;7;13;1;0;0;0;0;0;0;6;0;0;0;0;0;0;0
Région wallonne;Pédiatrie;143;115;28;14;91;10;0;0;0;0;0;2;23;3;0;0;0;0;0;0
Région wallonne;Médecine physique et réadaptation;32;16;16;1;13;2;0;0;0;0;0;3;10;3;0;0;0;0;0;0
Région wallonne;Biologie clinique;21;9;12;0;8;1;0;0;0;0;0;1;9;1;0;1;0;0;0;0
Région wallonne;Radiodiagnostic;68;31;37;1;23;7;0;0;0;0;0;2;31;4;0;0;0;0;0;0
Région wallonne;Radiothérapie - oncologie;12;7;5;1;6;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0
Région wallonne;Médecine nucléaire;11;6;5;0;4;2;0;0;0;0;0;1;2;2;0;0;0;0;0;0
Région wallonne;Anatomie pathologique;19;10;9;0;9;1;0;0;0;0;0;1;5;2;1;0;0;0;0;0
Région wallonne;Oncologie médicale;25;15;10;4;6;5;0;0;0;0;0;0;6;4;0;0;0;0;0;0
Région wallonne;Génétique clinique;4;3;1;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Région wallonne;Médecine du travail;37;26;11;0;10;4;8;0;3;0;1;0;1;3;4;1;1;1;0;0
Région de Bruxelles Capitale;Toutes les spécialités;1397;789;608;33;538;186;21;6;3;2;0;25;392;169;13;5;3;0;0;1
Région de Bruxelles Capitale;Gériatrie;28;22;6;1;9;10;2;0;0;0;0;0;3;2;1;0;0;0;0;0
Région de Bruxelles Capitale;Médecine d'urgence;125;67;58;3;36;22;5;1;0;0;0;0;30;20;3;3;2;0;0;0
Région de Bruxelles Capitale;Médecine légale;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Anesthésie-réanimation;130;60;70;1;40;14;5;0;0;0;0;1;46;23;0;0;0;0;0;0
Région de Bruxelles Capitale;Chirurgie;72;35;37;1;25;9;0;0;0;0;0;2;22;12;1;0;0;0;0;0
Région de Bruxelles Capitale;Neurochirurgie;14;5;9;0;5;0;0;0;0;0;0;0;7;2;0;0;0;0;0;0
Région de Bruxelles Capitale;Chirurgie plastique, reconstructrice et esthétique;14;6;8;1;2;3;0;0;0;0;0;0;4;4;0;0;0;0;0;0
Région de Bruxelles Capitale;Urologie;24;10;14;0;8;2;0;0;0;0;0;0;8;6;0;0;0;0;0;0
Région de Bruxelles Capitale;Chirurgie orthopédique;62;16;46;1;10;5;0;0;0;0;0;0;30;15;0;1;0;0;0;0
Région de Bruxelles Capitale;Neurologie;40;25;15;1;19;5;0;0;0;0;0;2;9;4;0;0;0;0;0;0
Région de Bruxelles Capitale;Psychiatrie, particulièrement en psychiatrie infanto-juvénile;37;33;4;0;21;9;2;0;1;0;0;0;4;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Psychiatrie, particulièrement en psychiatrie adulte;83;41;42;2;26;10;0;1;0;2;0;0;33;9;0;0;0;0;0;0
Région de Bruxelles Capitale;Pneumologie;15;9;6;0;4;5;0;0;0;0;0;0;3;3;0;0;0;0;0;0
Région de Bruxelles Capitale;Gastro-entérologie;24;12;12;0;8;4;0;0;0;0;0;0;7;5;0;0;0;0;0;0
Région de Bruxelles Capitale;Cardiologie;33;18;15;0;8;10;0;0;0;0;0;0;4;8;3;0;0;0;0;0
Région de Bruxelles Capitale;Médecine interne;189;90;99;9;68;12;0;1;0;0;0;11;71;14;2;1;0;0;0;0
Région de Bruxelles Capitale;Rhumatologie;9;7;2;0;5;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Gynécologie-obstétrique;67;60;7;2;42;16;0;0;0;0;0;0;3;4;0;0;0;0;0;0
Région de Bruxelles Capitale;Ophtalmologie;45;17;28;3;12;1;1;0;0;0;0;4;20;4;0;0;0;0;0;0
Région de Bruxelles Capitale;Oto-rhino-laryngologie;26;11;15;0;10;1;0;0;0;0;0;0;11;4;0;0;0;0;0;0
Région de Bruxelles Capitale;Stomatologie;21;9;12;0;9;0;0;0;0;0;0;0;8;4;0;0;0;0;0;0
Région de Bruxelles Capitale;Dermato-vénéréologie;35;30;5;1;26;3;0;0;0;0;0;0;5;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Pédiatrie;125;105;20;4;77;24;0;0;0;0;0;2;13;5;0;0;0;0;0;0
Région de Bruxelles Capitale;Médecine physique et réadaptation;22;14;8;1;9;4;0;0;0;0;0;0;6;2;0;0;0;0;0;0
Région de Bruxelles Capitale;Biologie clinique;12;4;8;0;3;0;1;0;0;0;0;0;6;1;1;0;0;0;0;0
Région de Bruxelles Capitale;Radiodiagnostic;75;40;35;1;31;6;2;0;0;0;0;2;24;9;0;0;0;0;0;0
Région de Bruxelles Capitale;Radiothérapie - oncologie;9;3;6;0;3;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0
Région de Bruxelles Capitale;Médecine nucléaire;12;4;8;0;4;0;0;0;0;0;0;1;5;2;0;0;0;0;0;0
Région de Bruxelles Capitale;Anatomie pathologique;12;10;2;0;8;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Région de Bruxelles Capitale;Oncologie médicale;11;7;4;0;4;3;0;0;0;0;0;0;1;3;0;0;0;0;0;0
Région de Bruxelles Capitale;Génétique clinique;3;3;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Médecine du travail;22;15;7;0;3;4;3;3;2;0;0;0;2;1;2;0;1;0;0;1
Brabant flamand;Toutes les spécialités;963;564;399;53;382;106;13;4;3;2;1;29;282;81;4;1;1;1;0;0
Brabant flamand;Gériatrie;14;9;5;0;8;1;0;0;0;0;0;0;2;3;0;0;0;0;0;0
Brabant flamand;Médecine d'urgence;49;29;20;2;21;6;0;0;0;0;0;0;12;7;0;0;1;0;0;0
Brabant flamand;Médecine légale;3;1;2;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Brabant flamand;Anesthésie-réanimation;100;42;58;2;33;5;1;1;0;0;0;1;45;11;0;1;0;0;0;0
Brabant flamand;Chirurgie;47;20;27;0;8;11;1;0;0;0;0;4;16;7;0;0;0;0;0;0
Brabant flamand;Neurochirurgie;10;3;7;0;3;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0
Brabant flamand;Chirurgie plastique, reconstructrice et esthétique;8;6;2;1;3;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Brabant flamand;Urologie;25;14;11;2;9;3;0;0;0;0;0;0;9;1;1;0;0;0;0;0
Brabant flamand;Chirurgie orthopédique;35;8;27;1;5;2;0;0;0;0;0;2;20;4;1;0;0;0;0;0
Brabant flamand;Neurologie;33;23;10;4;11;8;0;0;0;0;0;3;7;0;0;0;0;0;0;0
Brabant flamand;Psychiatrie, particulièrement en psychiatrie infanto-juvénile;26;20;6;0;14;5;1;0;0;0;0;0;5;1;0;0;0;0;0;0
Brabant flamand;Psychiatrie, particulièrement en psychiatrie adulte;69;44;25;5;29;6;3;0;1;0;0;6;13;6;0;0;0;0;0;0
Brabant flamand;Pneumologie;13;6;7;0;3;3;0;0;0;0;0;0;3;4;0;0;0;0;0;0
Brabant flamand;Gastro-entérologie;16;11;5;0;3;8;0;0;0;0;0;0;1;4;0;0;0;0;0;0
Brabant flamand;Cardiologie;19;7;12;0;3;4;0;0;0;0;0;0;6;6;0;0;0;0;0;0
Brabant flamand;Médecine interne;140;85;55;14;64;6;0;1;0;0;0;5;42;7;1;0;0;0;0;0
Brabant flamand;Rhumatologie;5;3;2;0;1;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Brabant flamand;Médecine aiguë;5;2;3;0;1;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0
Brabant flamand;Gynécologie-obstétrique;49;39;10;3;30;5;1;0;0;0;0;0;9;1;0;0;0;0;0;0
Brabant flamand;Ophtalmologie;35;22;13;5;15;1;1;0;0;0;0;1;10;1;1;0;0;0;0;0
Brabant flamand;Oto-rhino-laryngologie;21;14;7;1;13;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0
Brabant flamand;Stomatologie;16;9;7;3;6;0;0;0;0;0;0;1;5;1;0;0;0;0;0;0
Brabant flamand;Dermato-vénéréologie;23;21;2;1;20;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Brabant flamand;Pédiatrie;71;64;7;8;44;10;2;0;0;0;0;1;5;1;0;0;0;0;0;0
Brabant flamand;Médecine physique et réadaptation;18;11;7;0;11;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0
Brabant flamand;Biologie clinique;10;5;5;0;2;2;1;0;0;0;0;1;2;2;0;0;0;0;0;0
Brabant flamand;Radiodiagnostic;43;14;29;1;7;5;0;1;0;0;0;2;23;4;0;0;0;0;0;0
Brabant flamand;Radiothérapie - oncologie;12;4;8;0;2;2;0;0;0;0;0;1;4;3;0;0;0;0;0;0
Brabant flamand;Médecine nucléaire;5;1;4;0;1;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0
Brabant flamand;Anatomie pathologique;13;6;7;0;5;1;0;0;0;0;0;0;7;0;0;0;0;0;0;0
Brabant flamand;Oncologie médicale;14;8;6;0;3;4;1;0;0;0;0;0;3;3;0;0;0;0;0;0
Brabant flamand;Génétique clinique;4;3;1;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Brabant flamand;Médecine du travail;12;10;2;0;0;4;0;1;2;2;1;0;1;0;0;0;0;1;0;0
Flandre occidentale;Toutes les spécialités;367;210;157;31;151;25;1;0;0;2;0;22;118;14;1;1;0;1;0;0
Flandre occidentale;Gériatrie;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Flandre occidentale;Médecine d'urgence;23;16;7;1;9;6;0;0;0;0;0;1;5;0;0;1;0;0;0;0
Flandre occidentale;Anesthésie-réanimation;28;14;14;1;11;2;0;0;0;0;0;2;12;0;0;0;0;0;0;0
Flandre occidentale;Chirurgie;27;12;15;2;10;0;0;0;0;0;0;2;13;0;0;0;0;0;0;0
Flandre occidentale;Neurochirurgie;4;1;3;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
Flandre occidentale;Chirurgie plastique, reconstructrice et esthétique;4;1;3;1;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0
Flandre occidentale;Urologie;16;7;9;1;4;2;0;0;0;0;0;1;7;1;0;0;0;0;0;0
Flandre occidentale;Chirurgie orthopédique;29;9;20;0;8;1;0;0;0;0;0;0;14;6;0;0;0;0;0;0
Flandre occidentale;Neurologie;9;7;2;0;6;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0
Flandre occidentale;Psychiatrie, particulièrement en psychiatrie infanto-juvénile;6;6;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Flandre occidentale;Psychiatrie, particulièrement en psychiatrie adulte;19;8;11;0;7;0;0;0;0;1;0;2;5;4;0;0;0;0;0;0
Flandre occidentale;Pneumologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Flandre occidentale;Gastro-entérologie;7;6;1;0;4;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Flandre occidentale;Cardiologie;3;1;2;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Flandre occidentale;Médecine interne;67;43;24;13;27;3;0;0;0;0;0;3;21;0;0;0;0;0;0;0
Flandre occidentale;Rhumatologie;2;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Flandre occidentale;Médecine aiguë;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Flandre occidentale;Gynécologie-obstétrique;26;23;3;3;17;3;0;0;0;0;0;1;2;0;0;0;0;0;0;0
Flandre occidentale;Ophtalmologie;10;5;5;2;3;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0
Flandre occidentale;Oto-rhino-laryngologie;11;9;2;2;7;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Flandre occidentale;Stomatologie;4;0;4;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0
Flandre occidentale;Dermato-vénéréologie;4;4;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Flandre occidentale;Pédiatrie;16;13;3;3;10;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0
Flandre occidentale;Médecine physique et réadaptation;8;6;2;0;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Flandre occidentale;Biologie clinique;6;3;3;0;1;2;0;0;0;0;0;1;2;0;0;0;0;0;0;0
Flandre occidentale;Radiodiagnostic;19;5;14;0;4;1;0;0;0;0;0;2;12;0;0;0;0;0;0;0
Flandre occidentale;Radiothérapie - oncologie;3;1;2;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Flandre occidentale;Médecine nucléaire;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Flandre occidentale;Anatomie pathologique;3;2;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Flandre occidentale;Oncologie médicale;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Flandre occidentale;Génétique clinique;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Flandre occidentale;Médecine du travail;4;2;2;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0
Flandre orientale;Toutes les spécialités;874;512;362;56;354;86;10;5;0;1;0;38;243;66;10;3;0;0;2;0
Flandre orientale;Gériatrie;15;10;5;0;5;5;0;0;0;0;0;0;3;2;0;0;0;0;0;0
Flandre orientale;Médecine d'urgence;66;40;26;3;23;12;1;1;0;0;0;1;12;11;2;0;0;0;0;0
Flandre orientale;Médecine légale;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Flandre orientale;Anesthésie-réanimation;88;40;48;3;32;2;3;0;0;0;0;4;36;7;1;0;0;0;0;0
Flandre orientale;Chirurgie;39;22;17;2;16;4;0;0;0;0;0;1;12;4;0;0;0;0;0;0
Flandre orientale;Neurochirurgie;12;4;8;0;3;0;1;0;0;0;0;0;6;2;0;0;0;0;0;0
Flandre orientale;Chirurgie plastique, reconstructrice et esthétique;10;5;5;0;3;2;0;0;0;0;0;0;2;3;0;0;0;0;0;0
Flandre orientale;Urologie;27;12;15;0;10;2;0;0;0;0;0;0;10;5;0;0;0;0;0;0
Flandre orientale;Chirurgie orthopédique;35;7;28;1;3;3;0;0;0;0;0;3;17;8;0;0;0;0;0;0
Flandre orientale;Neurologie;30;20;10;4;12;4;0;0;0;0;0;1;8;1;0;0;0;0;0;0
Flandre orientale;Psychiatrie, particulièrement en psychiatrie infanto-juvénile;23;21;2;2;15;3;1;0;0;0;0;0;2;0;0;0;0;0;0;0
Flandre orientale;Psychiatrie, particulièrement en psychiatrie adulte;45;28;17;4;22;2;0;0;0;0;0;2;11;4;0;0;0;0;0;0
Flandre orientale;Pneumologie;3;2;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Flandre orientale;Gastro-entérologie;9;5;4;0;2;3;0;0;0;0;0;0;2;2;0;0;0;0;0;0
Flandre orientale;Cardiologie;10;2;8;0;0;2;0;0;0;0;0;0;4;4;0;0;0;0;0;0
Flandre orientale;Médecine interne;156;96;60;16;74;4;1;1;0;0;0;11;42;7;0;0;0;0;0;0
Flandre orientale;Rhumatologie;4;4;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Flandre orientale;Médecine aiguë;4;3;1;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Flandre orientale;Gynécologie-obstétrique;46;39;7;5;28;6;0;0;0;0;0;2;5;0;0;0;0;0;0;0
Flandre orientale;Ophtalmologie;23;16;7;2;11;3;0;0;0;0;0;1;6;0;0;0;0;0;0;0
Flandre orientale;Oto-rhino-laryngologie;18;17;1;1;14;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Flandre orientale;Stomatologie;8;3;5;0;3;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0
Flandre orientale;Dermato-vénéréologie;16;14;2;2;12;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Flandre orientale;Pédiatrie;59;44;15;6;33;5;0;0;0;0;0;2;13;0;0;0;0;0;0;0
Flandre orientale;Médecine physique et réadaptation;24;8;16;2;6;0;0;0;0;0;0;1;15;0;0;0;0;0;0;0
Flandre orientale;Biologie clinique;14;6;8;0;4;2;0;0;0;0;0;1;5;0;2;0;0;0;0;0
Flandre orientale;Radiodiagnostic;39;14;25;3;8;2;0;1;0;0;0;2;16;2;4;1;0;0;0;0
Flandre orientale;Radiothérapie - oncologie;9;4;5;0;3;1;0;0;0;0;0;2;2;0;0;1;0;0;0;0
Flandre orientale;Médecine nucléaire;4;1;3;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0
Flandre orientale;Anatomie pathologique;14;10;4;0;5;4;0;1;0;0;0;1;3;0;0;0;0;0;0;0
