territoire;qualification_professionnelle_particulière;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Région Wallonie;PRESCRIPTION DE MEDICAMENTS;42;41;1;6;8;6;2;4;7;6;2;0;0;0;0;0;0;0;0;0;1;0;0
Région Région de Bruxelles-capitale;PRESCRIPTION DE MEDICAMENTS;22;22;0;8;6;2;1;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brabant flamand;SANS QUALIFICATION PROFESSIONNELLE PARTICULIERE;1313;1296;17;151;217;159;132;111;128;161;105;35;97;0;1;1;1;2;3;4;3;2;0
Prov Brabant flamand;PRESCRIPTION DE MEDICAMENTS;21;21;0;3;6;6;1;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Flandre occidentale;SANS QUALIFICATION PROFESSIONNELLE PARTICULIERE;1367;1356;11;170;214;187;135;123;134;156;122;59;56;1;0;0;0;1;2;5;2;0;0
Prov Flandre occidentale;PRESCRIPTION DE MEDICAMENTS;22;22;0;8;3;3;5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Flandre orientale;SANS QUALIFICATION PROFESSIONNELLE PARTICULIERE;1388;1371;17;165;259;198;216;118;141;141;73;27;33;0;0;0;3;2;7;3;1;0;1
Prov Flandre orientale;PRESCRIPTION DE MEDICAMENTS;31;31;0;12;4;7;3;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0
Prov Anvers;SANS QUALIFICATION PROFESSIONNELLE PARTICULIERE;1904;1892;12;168;293;261;243;145;194;240;150;88;110;0;1;2;1;0;2;3;2;1;0
Prov Anvers;PRESCRIPTION DE MEDICAMENTS;40;38;2;9;8;6;7;2;1;4;1;0;0;1;0;0;0;1;0;0;0;0;0
Prov Limbourg;SANS QUALIFICATION PROFESSIONNELLE PARTICULIERE;954;947;7;81;146;149;104;74;86;122;75;47;63;0;0;0;0;2;2;1;2;0;0
Prov Limbourg;PRESCRIPTION DE MEDICAMENTS;14;14;0;5;1;4;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brabant wallon;SANS QUALIFICATION PROFESSIONNELLE PARTICULIERE;356;351;5;17;57;40;23;30;49;44;32;20;39;1;0;0;0;0;0;1;2;1;0
Prov Brabant wallon;PRESCRIPTION DE MEDICAMENTS;4;4;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Hainaut;SANS QUALIFICATION PROFESSIONNELLE PARTICULIERE;739;730;9;36;123;79;72;97;97;79;82;37;28;0;0;0;1;1;2;1;4;0;0
Prov Hainaut;PRESCRIPTION DE MEDICAMENTS;16;15;1;1;4;3;0;1;3;3;0;0;0;0;0;0;0;0;0;0;1;0;0
Prov Liège;SANS QUALIFICATION PROFESSIONNELLE PARTICULIERE;823;812;11;54;146;117;81;80;70;76;61;27;100;0;1;0;4;2;0;3;0;1;0
Prov Liège;PRESCRIPTION DE MEDICAMENTS;8;8;0;0;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Namur;SANS QUALIFICATION PROFESSIONNELLE PARTICULIERE;443;441;2;34;61;51;38;49;36;55;32;22;63;0;0;0;1;0;0;1;0;0;0
Prov Namur;PRESCRIPTION DE MEDICAMENTS;10;10;0;1;3;2;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Prov Luxembourg;SANS QUALIFICATION PROFESSIONNELLE PARTICULIERE;210;208;2;13;31;20;21;26;23;29;22;6;17;0;1;0;0;0;0;0;1;0;0
Prov Luxembourg;PRESCRIPTION DE MEDICAMENTS;4;4;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Région de Bruxelles-capitale;SANS QUALIFICATION PROFESSIONNELLE PARTICULIERE;751;744;7;60;227;111;63;41;42;71;39;19;71;0;1;1;1;2;1;0;1;0;0
Prov Région de Bruxelles-capitale;PRESCRIPTION DE MEDICAMENTS;22;22;0;8;6;2;1;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
