gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_55-59;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54
Brussels Hoofdstedelijk Gewest;Intensieve zorgen;6;3;3;2;0;1;0;0;2;1;0;0;0
Brussels Hoofdstedelijk Gewest;Pediatrische neurologie;3;3;0;3;0;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Nefrologie;4;2;2;2;0;0;0;0;2;0;0;0;0
Brussels Hoofdstedelijk Gewest;Urgentiegeneeskunde;3;1;2;1;0;0;0;0;2;0;0;0;0
Brussels Hoofdstedelijk Gewest;Endocrino-diabetologie;3;3;0;2;1;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Neonatologie;2;1;1;1;0;0;0;0;1;0;0;0;0
Brussels Hoofdstedelijk Gewest;Oncologie;3;3;0;1;2;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Pediatrische hematologie en oncologie;1;1;0;0;1;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Klinische hematologie;1;1;0;1;0;0;0;0;0;0;0;0;0
Vlaams Brabant;Alle specialiteiten;44;23;21;16;3;2;2;0;17;1;2;1;0
Vlaams Brabant;Functionele en professionele revalidatie van gehandicapten;6;3;3;2;0;0;1;0;2;1;0;0;0
Vlaams Brabant;Mond-, kaak- en aangezichtschirurgie;1;0;1;0;0;0;0;0;1;0;0;0;0
Vlaams Brabant;Intensieve zorgen;15;4;11;3;0;0;1;0;10;0;1;0;0
Vlaams Brabant;Pediatrische neurologie;3;3;0;3;0;0;0;0;0;0;0;0;0
Vlaams Brabant;Nefrologie;2;1;1;1;0;0;0;0;1;0;0;0;0
Vlaams Brabant;Urgentiegeneeskunde;6;3;3;1;1;1;0;0;1;0;1;1;0
Vlaams Brabant;Endocrino-diabetologie;4;3;1;1;1;1;0;0;1;0;0;0;0
Vlaams Brabant;Neonatologie;2;2;0;1;1;0;0;0;0;0;0;0;0
Vlaams Brabant;Oncologie;2;2;0;2;0;0;0;0;0;0;0;0;0
Vlaams Brabant;Pediatrische hematologie en oncologie;1;1;0;1;0;0;0;0;0;0;0;0;0
Vlaams Brabant;Klinische hematologie;2;1;1;1;0;0;0;0;1;0;0;0;0
West-Vlaanderen;Alle specialiteiten;16;9;7;7;2;0;0;0;6;0;0;0;1
West-Vlaanderen;Functionele en professionele revalidatie van gehandicapten;5;2;3;1;1;0;0;0;2;0;0;0;1
West-Vlaanderen;Mond-, kaak- en aangezichtschirurgie;1;0;1;0;0;0;0;0;1;0;0;0;0
West-Vlaanderen;Intensieve zorgen;5;4;1;3;1;0;0;0;1;0;0;0;0
West-Vlaanderen;Pediatrische neurologie;1;1;0;1;0;0;0;0;0;0;0;0;0
West-Vlaanderen;Urgentiegeneeskunde;2;1;1;1;0;0;0;0;1;0;0;0;0
West-Vlaanderen;Oncologie;2;1;1;1;0;0;0;0;1;0;0;0;0
Oost-Vlaanderen;Alle specialiteiten;26;13;13;12;1;0;0;0;13;0;0;0;0
Oost-Vlaanderen;Functionele en professionele revalidatie van gehandicapten;3;1;2;1;0;0;0;0;2;0;0;0;0
Oost-Vlaanderen;Mond-, kaak- en aangezichtschirurgie;1;0;1;0;0;0;0;0;1;0;0;0;0
Oost-Vlaanderen;Intensieve zorgen;7;4;3;4;0;0;0;0;3;0;0;0;0
Oost-Vlaanderen;Pediatrische neurologie;1;1;0;1;0;0;0;0;0;0;0;0;0
Oost-Vlaanderen;Nefrologie;3;3;0;3;0;0;0;0;0;0;0;0;0
Oost-Vlaanderen;Urgentiegeneeskunde;4;2;2;2;0;0;0;0;2;0;0;0;0
Oost-Vlaanderen;Endocrino-diabetologie;4;1;3;1;0;0;0;0;3;0;0;0;0
Oost-Vlaanderen;Oncologie;2;1;1;0;1;0;0;0;1;0;0;0;0
Oost-Vlaanderen;Klinische hematologie;1;0;1;0;0;0;0;0;1;0;0;0;0
Antwerpen;Alle specialiteiten;27;17;10;14;1;2;0;0;9;0;1;0;0
Antwerpen;Functionele en professionele revalidatie van gehandicapten;4;1;3;1;0;0;0;0;3;0;0;0;0
Antwerpen;Mond-, kaak- en aangezichtschirurgie;1;1;0;1;0;0;0;0;0;0;0;0;0
Antwerpen;Intensieve zorgen;6;4;2;4;0;0;0;0;2;0;0;0;0
Antwerpen;Pediatrische neurologie;2;1;1;1;0;0;0;0;1;0;0;0;0
Antwerpen;Urgentiegeneeskunde;6;4;2;2;0;2;0;0;1;0;1;0;0
Antwerpen;Neonatologie;1;1;0;1;0;0;0;0;0;0;0;0;0
Antwerpen;Oncologie;4;3;1;2;1;0;0;0;1;0;0;0;0
Antwerpen;Pediatrische hematologie en oncologie;1;1;0;1;0;0;0;0;0;0;0;0;0
Antwerpen;Klinische hematologie;2;1;1;1;0;0;0;0;1;0;0;0;0
Limburg;Alle specialiteiten;9;2;7;2;0;0;0;0;6;1;0;0;0
Limburg;Functionele en professionele revalidatie van gehandicapten;1;0;1;0;0;0;0;0;0;1;0;0;0
Limburg;Intensieve zorgen;5;2;3;2;0;0;0;0;3;0;0;0;0
Limburg;Nefrologie;1;0;1;0;0;0;0;0;1;0;0;0;0
Limburg;Urgentiegeneeskunde;2;0;2;0;0;0;0;0;2;0;0;0;0
Waals Brabant;Alle specialiteiten;4;1;3;0;0;0;1;0;1;0;0;2;0
Waals Brabant;Intensieve zorgen;1;0;1;0;0;0;0;0;0;0;0;1;0
Waals Brabant;Urgentiegeneeskunde;2;1;1;0;0;0;1;0;0;0;0;1;0
Waals Brabant;Oncologie;1;0;1;0;0;0;0;0;1;0;0;0;0
Henegouwen;Alle specialiteiten;5;3;2;1;1;0;1;0;2;0;0;0;0
Henegouwen;Functionele en professionele revalidatie van gehandicapten;1;1;0;0;0;0;1;0;0;0;0;0;0
Henegouwen;Pediatrische neurologie;1;1;0;1;0;0;0;0;0;0;0;0;0
Henegouwen;Nefrologie;1;0;1;0;0;0;0;0;1;0;0;0;0
Henegouwen;Urgentiegeneeskunde;1;1;0;0;1;0;0;0;0;0;0;0;0
Henegouwen;Neonatologie;1;0;1;0;0;0;0;0;1;0;0;0;0
Luik;Alle specialiteiten;19;12;7;10;0;1;0;1;5;1;0;0;1
Luik;Functionele en professionele revalidatie van gehandicapten;3;2;1;1;0;1;0;0;0;1;0;0;0
Luik;Mond-, kaak- en aangezichtschirurgie;1;1;0;1;0;0;0;0;0;0;0;0;0
Luik;Intensieve zorgen;4;3;1;2;0;0;0;1;1;0;0;0;0
Luik;Pediatrische neurologie;2;1;1;1;0;0;0;0;1;0;0;0;0
Luik;Nefrologie;3;1;2;1;0;0;0;0;2;0;0;0;0
Luik;Urgentiegeneeskunde;2;1;1;1;0;0;0;0;0;0;0;0;1
Luik;Oncologie;3;2;1;2;0;0;0;0;1;0;0;0;0
Luik;Pediatrische hematologie en oncologie;1;1;0;1;0;0;0;0;0;0;0;0;0
Namen;Alle specialiteiten;6;5;1;5;0;0;0;0;1;0;0;0;0
Namen;Functionele en professionele revalidatie van gehandicapten;1;1;0;1;0;0;0;0;0;0;0;0;0
Namen;Pediatrische neurologie;1;1;0;1;0;0;0;0;0;0;0;0;0
Namen;Oncologie;2;1;1;1;0;0;0;0;1;0;0;0;0
Namen;Pediatrische hematologie en oncologie;1;1;0;1;0;0;0;0;0;0;0;0;0
Namen;Klinische hematologie;1;1;0;1;0;0;0;0;0;0;0;0;0
Luxemburg;Alle specialiteiten;1;0;1;0;0;0;0;0;0;1;0;0;0
Luxemburg;Functionele en professionele revalidatie van gehandicapten;1;0;1;0;0;0;0;0;0;1;0;0;0
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;33;23;10;17;4;1;1;0;8;1;1;0;0
Brussels Hoofdstedelijk Gewest;Functionele en professionele revalidatie van gehandicapten;4;3;1;2;0;0;1;0;0;0;1;0;0
Brussels Hoofdstedelijk Gewest;Mond-, kaak- en aangezichtschirurgie;3;2;1;2;0;0;0;0;1;0;0;0;0
Brussels Hoofdstedelijk Gewest;Intensieve zorgen;6;3;3;2;0;1;0;0;2;1;0;0;0
Brussels Hoofdstedelijk Gewest;Pediatrische neurologie;3;3;0;3;0;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Nefrologie;4;2;2;2;0;0;0;0;2;0;0;0;0
Brussels Hoofdstedelijk Gewest;Urgentiegeneeskunde;3;1;2;1;0;0;0;0;2;0;0;0;0
Brussels Hoofdstedelijk Gewest;Endocrino-diabetologie;3;3;0;2;1;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Neonatologie;2;1;1;1;0;0;0;0;1;0;0;0;0
Brussels Hoofdstedelijk Gewest;Oncologie;3;3;0;1;2;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Pediatrische hematologie en oncologie;1;1;0;0;1;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Klinische hematologie;1;1;0;1;0;0;0;0;0;0;0;0;0
