Territoire-Spécialité;Unnamed: 1;Total;Genre;Unnamed: 4;Femme;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Homme;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20
;Oncologie;236.0;101;135;10;25;30;19;7;5;4;1;6;6;12;19;19;31;21;21
;Hématologie et oncologie pédiatrique;26.0;20;6;0;2;6;2;3;5;1;1;0;1;0;0;3;1;0;1
;Hématologie clinique;94.0;53;41;11;9;11;11;3;4;4;0;3;4;4;3;8;6;3;10
;Gestion de données de santé;45.0;9;36;0;0;0;0;1;3;2;3;0;0;1;1;4;5;11;14
;Psychiatrie médico-légale;29.0;13;16;0;2;5;2;2;2;0;0;0;0;0;4;2;3;1;6
Région wallonne;Toutes les spécialités;1325.0;478;847;29;54;75;84;60;50;41;85;15;42;50;93;78;126;129;314
;Médecine nucléaire in vitro;67.0;30;37;0;0;0;2;1;11;7;9;0;1;0;0;0;5;7;24
;"Réadaptation fonctionnelle et professionnelle des
handicapés";270.0;96;174;1;1;6;16;13;10;12;37;0;1;5;7;9;18;19;115
;Gériatrie;39.0;14;25;0;0;3;1;4;2;2;2;0;0;0;0;2;2;2;19
;Chirurgie orale et maxillo - faciale;32.0;8;24;1;0;5;2;0;0;0;0;1;2;2;4;5;5;0;5
;Soins intensifs;241.0;48;193;3;14;4;12;4;6;2;3;7;19;13;27;21;42;28;36
;Neurologie pédiatrique;31.0;24;7;0;4;6;5;1;1;0;7;0;0;1;0;0;0;1;5
;Néphrologie;115.0;46;69;6;6;10;7;5;6;1;5;3;5;5;7;5;10;7;27
;Médecine d'urgence;171.0;44;127;0;3;7;7;10;7;6;4;1;5;4;18;20;21;26;32
;Endocrino-diabétologie;127.0;68;59;7;8;14;13;15;1;4;6;0;3;5;7;6;4;13;21
;Néonatologie;40.0;28;12;2;3;6;8;4;0;3;2;0;1;2;4;1;1;1;2
;Oncologie;76.0;24;52;4;5;9;4;0;1;0;1;2;3;7;12;5;7;9;7
;Hématologie et oncologie pédiatrique;11.0;7;4;1;0;1;2;0;1;0;2;0;0;2;1;0;1;0;0
;Hématologie clinique;53.0;26;27;4;9;4;4;2;2;0;1;1;2;3;6;2;5;4;4
;Gestion de données de santé;46.0;14;32;0;0;0;1;1;2;4;6;0;0;0;0;1;5;11;15
;Psychiatrie médico-légale;6.0;1;5;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;2
"Région de Bruxelles
Capitale";Toutes les spécialités;521.0;232;289;14;35;49;17;26;23;24;44;9;13;28;30;28;38;36;107
;Médecine nucléaire in vitro;30.0;14;16;0;0;0;0;1;2;5;6;0;0;0;0;1;2;4;9
;"Réadaptation fonctionnelle et professionnelle des
handicapés";99.0;37;62;0;1;3;2;4;5;4;18;0;0;2;4;5;5;9;37
;Gériatrie;8.0;2;6;0;0;0;0;0;0;2;0;0;0;0;1;0;1;0;4
;Chirurgie orale et maxillo - faciale;22.0;12;10;0;1;3;0;3;2;2;1;1;0;1;1;1;0;3;3
;Soins intensifs;96.0;33;63;4;8;10;1;5;0;2;3;3;9;10;6;5;15;6;9
;Neurologie pédiatrique;11.0;9;2;0;2;2;0;0;1;1;3;0;1;0;0;0;0;0;1
;Néphrologie;54.0;24;30;4;4;7;4;0;2;1;2;3;2;3;5;1;5;2;9
;Médecine d'urgence;38.0;13;25;0;0;1;1;3;4;2;2;0;0;2;5;5;1;3;9
;Endocrino-diabétologie;59.0;31;28;1;8;9;3;1;2;1;6;0;0;3;2;4;2;3;14
;Néonatologie;25.0;22;3;1;5;7;3;3;1;1;1;0;0;0;0;1;0;1;1
;Oncologie;23.0;8;15;0;2;3;3;0;0;0;0;0;0;4;1;0;4;3;3
;Hématologie et oncologie pédiatrique;7.0;5;2;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;1
;Hématologie clinique;33.0;16;17;4;3;3;0;2;2;1;1;2;1;2;3;3;2;1;3
;Gestion de données de santé;12.0;6;6;0;0;0;0;3;1;1;1;0;0;0;0;1;1;1;3
;Psychiatrie médico-légale;4.0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1
Brabant flamand;Toutes les spécialités;714.0;329;385;27;53;68;67;35;29;26;24;23;25;34;41;48;46;41;127
;Médecine nucléaire in vitro;34.0;12;22;0;0;0;1;2;1;4;4;1;0;0;1;0;3;5;12
;"Réadaptation fonctionnelle et professionnelle des
handicapés";170.0;68;102;3;6;13;12;10;10;4;10;4;3;6;4;8;5;9;63
;Gériatrie;20.0;13;7;0;1;2;4;3;0;2;1;0;0;1;1;0;0;3;2
;Chirurgie orale et maxillo - faciale;30.0;12;18;2;3;3;2;0;0;2;0;2;1;6;2;0;4;0;3
;Soins intensifs;153.0;55;98;5;13;11;15;5;2;2;2;11;12;11;12;14;17;8;13
;Neurologie pédiatrique;21.0;14;7;3;0;5;3;0;1;1;1;0;0;0;0;3;1;1;2
;Néphrologie;45.0;23;22;5;8;3;4;2;0;1;0;1;2;5;3;2;2;1;6
;Médecine d'urgence;63.0;24;39;1;2;8;6;2;1;1;3;0;2;3;8;7;6;3;10
;Endocrino-diabétologie;54.0;36;18;3;6;7;7;4;3;4;2;2;1;0;5;3;0;1;6
;Néonatologie;26.0;17;9;1;4;2;2;4;3;1;0;1;1;0;0;4;0;2;1
;Oncologie;43.0;21;22;2;6;5;6;1;1;0;0;1;2;2;3;3;3;4;4
;Hématologie et oncologie pédiatrique;12.0;10;2;0;1;4;2;0;3;0;0;0;0;0;0;1;1;0;0
;Hématologie clinique;27.0;15;12;2;2;4;3;1;1;2;0;0;1;0;2;3;1;1;4
;Gestion de données de santé;11.0;6;5;0;0;0;0;1;2;2;1;0;0;0;0;0;2;3;0
;Psychiatrie médico-légale;5.0;3;2;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;1
Flandre occidentale;Toutes les spécialités;527.0;171;356;22;30;32;24;26;17;5;15;16;16;29;38;43;43;38;133
;Médecine nucléaire in vitro;11.0;3;8;0;0;0;1;0;1;0;1;0;0;0;0;1;0;3;4
;"Réadaptation fonctionnelle et professionnelle des
handicapés";135.0;47;88;1;3;6;4;12;9;1;11;0;4;2;6;3;10;6;57
;Gériatrie;31.0;11;20;0;4;0;4;1;1;0;1;0;0;0;1;0;1;2;16
;Chirurgie orale et maxillo - faciale;34.0;5;29;3;1;0;1;0;0;0;0;3;1;6;5;6;3;2;3
;Soins intensifs;110.0;39;71;8;9;9;5;5;2;1;0;6;6;9;10;9;11;8;12
;Neurologie pédiatrique;6.0;3;3;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;2
;Néphrologie;40.0;12;28;0;2;4;3;1;2;0;0;2;1;2;5;3;1;1;13
;Médecine d'urgence;59.0;18;41;4;1;3;3;4;1;1;1;2;2;4;7;9;4;7;6
;Endocrino-diabétologie;22.0;11;11;2;2;3;1;1;1;1;0;0;0;0;1;2;2;0;6
;Néonatologie;12.0;7;5;1;4;0;1;1;0;0;0;0;0;1;0;2;1;1;0
;Oncologie;48.0;11;37;1;2;7;0;1;0;0;0;2;1;3;3;4;8;6;10
;Hématologie et oncologie pédiatrique;2.0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
;Hématologie clinique;11.0;3;8;1;1;0;0;0;0;1;0;1;0;2;0;2;1;1;1
;Gestion de données de santé;4.0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2
;Psychiatrie médico-légale;2.0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Flandre orientale;Toutes les spécialités;643.0;272;371;28;47;57;54;33;26;9;18;19;31;35;48;48;51;44;95
;Médecine nucléaire in vitro;34.0;10;24;0;0;2;0;1;6;0;1;0;0;0;2;3;6;4;9
;"Réadaptation fonctionnelle et professionnelle des
handicapés";130.0;59;71;1;7;12;11;11;6;1;10;4;3;6;4;9;10;6;29
;Gériatrie;15.0;4;11;0;0;1;1;0;1;0;1;0;0;0;0;1;1;0;9
;Chirurgie orale et maxillo - faciale;38.0;10;28;0;2;3;3;1;0;1;0;1;5;3;3;3;1;7;5
;Soins intensifs;139.0;55;84;8;15;7;15;5;4;0;1;6;12;9;12;15;7;13;10
;Neurologie pédiatrique;13.0;7;6;0;0;1;1;2;2;0;1;0;1;0;2;0;0;0;3
;Néphrologie;56.0;25;31;6;5;4;4;1;2;2;1;2;5;6;1;4;5;0;8
;Médecine d'urgence;52.0;11;41;2;1;3;3;2;0;0;0;1;1;6;13;4;7;4;5
;Endocrino-diabétologie;46.0;26;20;5;7;5;2;4;1;2;0;3;1;2;1;1;4;2;6
;Néonatologie;11.0;9;2;0;1;3;1;2;1;0;1;0;0;0;1;0;0;0;1
;Oncologie;59.0;28;31;2;5;11;8;0;0;1;1;2;2;3;6;6;7;3;2
;Hématologie et oncologie pédiatrique;8.0;7;1;0;1;1;0;3;1;1;0;0;0;0;0;0;0;0;1
;Hématologie clinique;19.0;15;4;4;3;2;4;0;1;1;0;0;1;0;0;0;1;1;1
;Gestion de données de santé;14.0;1;13;0;0;0;0;0;0;0;1;0;0;0;1;2;2;3;5
;Psychiatrie médico-légale;9.0;5;4;0;0;2;1;1;1;0;0;0;0;0;2;0;0;1;1
Anvers;Toutes les spécialités;713.0;311;402;36;46;53;61;49;27;23;16;21;35;32;47;49;54;53;111
;Médecine nucléaire in vitro;21.0;10;11;0;0;0;2;3;2;3;0;0;0;0;0;0;3;5;3
;"Réadaptation fonctionnelle et professionnelle des
handicapés";136.0;63;73;4;5;7;13;13;6;6;9;3;5;3;7;6;6;4;39
;Gériatrie;25.0;5;20;0;0;0;2;1;1;1;0;0;0;0;2;0;2;4;12
;Chirurgie orale et maxillo - faciale;39.0;5;34;1;1;1;1;1;0;0;0;1;6;6;3;4;3;4;7
;Soins intensifs;164.0;66;98;7;10;10;19;10;5;4;1;7;14;11;17;13;10;13;13
;Neurologie pédiatrique;16.0;14;2;1;2;2;3;3;1;1;1;0;0;0;0;0;0;1;1
;Néphrologie;51.0;26;25;4;5;8;4;2;0;2;1;3;3;1;2;2;5;2;7
;Médecine d'urgence;71.0;18;53;1;5;4;4;2;1;0;1;2;2;4;7;14;7;11;6
;Endocrino-diabétologie;51.0;33;18;7;5;7;2;4;4;2;2;1;2;1;2;1;2;1;8
;Néonatologie;29.0;19;10;4;3;2;2;3;3;2;0;1;1;1;2;0;3;1;1
;Oncologie;60.0;32;28;3;9;5;5;5;3;2;0;1;0;2;3;3;9;5;5
;Hématologie et oncologie pédiatrique;3.0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0
;Hématologie clinique;29.0;14;15;4;1;4;3;2;0;0;0;2;2;2;0;3;2;0;4
;Gestion de données de santé;10.0;2;8;0;0;0;0;0;1;0;1;0;0;1;0;0;1;2;4
;Psychiatrie médico-légale;8.0;3;5;0;0;2;1;0;0;0;0;0;0;0;2;1;1;0;1
Limbourg;Toutes les spécialités;293.0;103;190;10;21;19;20;16;10;4;3;11;17;25;25;19;21;24;48
;Médecine nucléaire in vitro;8.0;3;5;0;0;0;0;2;1;0;0;0;0;0;0;1;0;2;2
;"Réadaptation fonctionnelle et professionnelle des
handicapés";56.0;15;41;1;0;4;4;3;0;1;2;0;3;4;5;1;4;3;21
;Gériatrie;5.0;1;4;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;2
;Chirurgie orale et maxillo - faciale;19.0;2;17;0;0;2;0;0;0;0;0;0;2;4;4;1;2;2;2
;Soins intensifs;87.0;35;52;6;8;4;6;7;3;1;0;9;7;8;4;5;6;7;6
;Neurologie pédiatrique;5.0;5;0;0;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0
;Néphrologie;15.0;3;12;0;1;0;2;0;0;0;0;1;3;1;1;1;3;1;1
;Médecine d'urgence;33.0;11;22;0;2;2;4;2;1;0;0;1;0;3;5;4;1;3;5
;Endocrino-diabétologie;17.0;8;9;1;1;2;2;1;0;1;0;0;0;2;1;1;0;1;4
;Néonatologie;2.0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
;Oncologie;26.0;9;17;2;3;2;0;0;1;1;0;0;1;2;4;3;4;3;0
;Hématologie et oncologie pédiatrique;1.0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;Hématologie clinique;8.0;6;2;0;2;1;1;0;2;0;0;0;0;0;1;0;1;0;0
;Gestion de données de santé;6.0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;3
;Psychiatrie médico-légale;5.0;2;3;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;2
Brabant Wallon;Toutes les spécialités;287.0;98;189;5;7;12;11;14;17;14;18;2;7;11;18;18;26;28;79
;Médecine nucléaire in vitro;20.0;11;9;0;0;0;0;0;6;3;2;0;0;0;0;0;0;0;9
;"Réadaptation fonctionnelle et professionnelle des
handicapés";70.0;22;48;0;0;2;2;4;1;3;10;0;0;1;3;3;2;5;34
;Gériatrie;10.0;4;6;0;0;1;0;2;0;1;0;0;0;0;0;1;1;1;3
;Chirurgie orale et maxillo - faciale;7.0;1;6;1;0;0;0;0;0;0;0;0;0;1;1;2;1;0;1
;Soins intensifs;53.0;9;44;1;2;0;2;0;2;1;1;1;5;4;4;6;10;8;6
;Neurologie pédiatrique;7.0;7;0;0;1;2;0;1;1;0;2;0;0;0;0;0;0;0;0
;Néphrologie;34.0;16;18;3;2;0;3;2;4;1;1;0;1;1;2;1;4;0;9
;Médecine d'urgence;28.0;6;22;0;1;0;0;2;2;1;0;0;0;0;4;3;3;5;7
;Endocrino-diabétologie;21.0;6;15;0;0;1;2;1;1;1;0;0;0;2;1;1;1;3;7
;Néonatologie;10.0;7;3;0;0;3;2;0;0;2;0;0;1;0;1;0;0;1;0
;Oncologie;11.0;2;9;0;1;1;0;0;0;0;0;0;0;2;1;1;1;4;0
;Hématologie clinique;9.0;4;5;0;0;2;0;2;0;0;0;1;0;0;1;0;2;1;0
;Gestion de données de santé;6.0;3;3;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;2
;Psychiatrie médico-légale;1.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Hainaut;Toutes les spécialités;318.0;100;218;4;12;16;23;10;8;6;21;1;7;9;15;22;43;43;78
;Médecine nucléaire in vitro;19.0;4;15;0;0;0;0;0;3;1;0;0;0;0;0;0;2;5;8
;"Réadaptation fonctionnelle et professionnelle des
handicapés";52.0;15;37;0;0;1;4;0;2;2;6;0;0;0;1;4;6;3;23
;Gériatrie;14.0;4;10;0;0;1;0;0;0;1;2;0;0;0;0;1;0;1;8
;Chirurgie orale et maxillo - faciale;9.0;4;5;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;1
;Soins intensifs;58.0;11;47;0;3;1;3;1;1;1;1;1;1;1;6;4;15;9;10
;Neurologie pédiatrique;6.0;5;1;0;1;1;1;0;0;0;2;0;0;0;0;0;0;0;1
;Néphrologie;24.0;7;17;1;1;2;1;1;0;0;1;0;3;0;0;0;4;2;8
;Médecine d'urgence;41.0;7;34;0;0;1;2;1;0;0;3;0;1;1;2;7;8;7;8
;Endocrino-diabétologie;33.0;19;14;2;4;4;3;4;0;1;1;0;1;2;1;1;1;4;4
;Néonatologie;9.0;9;0;0;0;1;3;3;0;0;2;0;0;0;0;0;0;0;0
;Oncologie;26.0;6;20;1;0;1;2;0;1;0;1;0;0;3;5;2;2;4;4
;Hématologie clinique;11.0;6;5;0;3;1;1;0;1;0;0;0;1;1;0;0;2;1;0
;Gestion de données de santé;14.0;3;11;0;0;0;1;0;0;0;2;0;0;0;0;1;1;6;3
;Psychiatrie médico-légale;2.0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Liège;Toutes les spécialités;466.0;187;279;14;23;31;31;25;14;13;36;7;17;18;38;27;31;39;102
;Médecine nucléaire in vitro;19.0;11;8;0;0;0;2;1;2;1;5;0;1;0;0;0;3;1;3
;"Réadaptation fonctionnelle et professionnelle des
handicapés";113.0;45;68;1;0;2;6;8;4;5;19;0;1;4;3;0;6;10;44
;Gériatrie;9.0;4;5;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;5
;Chirurgie orale et maxillo - faciale;5.0;1;4;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;1
;Soins intensifs;83.0;20;63;1;8;3;5;0;2;0;1;3;9;5;12;6;8;5;15
;Neurologie pédiatrique;11.0;7;4;0;2;3;2;0;0;0;0;0;0;0;0;0;0;1;3
;Néphrologie;35.0;12;23;1;0;5;2;1;0;0;3;3;1;1;3;2;2;5;6
;Médecine d'urgence;60.0;18;42;0;0;3;2;5;5;2;1;0;2;1;9;10;6;7;7
;Endocrino-diabétologie;48.0;28;20;5;1;6;5;6;0;1;4;0;1;1;2;3;1;5;7
;Néonatologie;15.0;8;7;1;3;1;1;1;0;1;0;0;0;1;3;1;0;0;2
;Oncologie;24.0;11;13;2;3;4;2;0;0;0;0;1;0;1;3;2;3;1;2
;Hématologie et oncologie pédiatrique;11.0;7;4;1;0;1;2;0;1;0;2;0;0;2;1;0;1;0;0
;Hématologie clinique;18.0;9;9;2;5;1;1;0;0;0;0;0;1;1;2;2;0;1;2
;Gestion de données de santé;12.0;5;7;0;0;0;0;1;0;3;1;0;0;0;0;0;0;3;4
;Psychiatrie médico-légale;3.0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1
Namur;Toutes les spécialités;195.0;72;123;4;11;12;16;7;8;7;7;4;9;10;15;10;21;12;42
;Médecine nucléaire in vitro;6.0;2;4;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;3
;"Réadaptation fonctionnelle et professionnelle des
handicapés";30.0;13;17;0;1;1;4;0;3;2;2;0;0;0;0;2;4;1;10
;Gériatrie;4.0;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2
;Chirurgie orale et maxillo - faciale;9.0;1;8;0;0;1;0;0;0;0;0;1;1;0;3;1;1;0;1
;Soins intensifs;40.0;7;33;1;1;0;2;2;1;0;0;1;3;3;5;4;8;4;5
;Neurologie pédiatrique;6.0;4;2;0;0;0;2;0;0;0;2;0;0;1;0;0;0;0;1
;Néphrologie;17.0;8;9;0;3;3;1;0;1;0;0;0;0;2;2;2;0;0;3
;Médecine d'urgence;31.0;11;20;0;2;2;3;1;0;3;0;1;2;2;2;0;4;3;6
;Endocrino-diabétologie;17.0;10;7;0;3;1;1;4;0;1;0;0;1;0;1;1;1;1;2
;Néonatologie;3.0;2;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
;Oncologie;11.0;4;7;1;0;3;0;0;0;0;0;1;2;1;1;0;1;0;1
;Hématologie clinique;11.0;7;4;2;1;0;2;0;1;0;1;0;0;0;1;0;0;1;2
;Gestion de données de santé;10.0;2;8;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;6
Luxembourg;Toutes les spécialités;59.0;21;38;2;1;4;3;4;3;1;3;1;2;2;7;1;5;7;13
;Médecine nucléaire in vitro;3.0;2;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1
;"Réadaptation fonctionnelle et professionnelle des
handicapés";5.0;1;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4
;Gériatrie;2.0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
;Chirurgie orale et maxillo - faciale;2.0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
;Soins intensifs;7.0;1;6;0;0;0;0;1;0;0;0;1;1;0;0;1;1;2;0
;Neurologie pédiatrique;1.0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;Néphrologie;5.0;3;2;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1
;Médecine d'urgence;11.0;2;9;0;0;1;0;1;0;0;0;0;0;0;1;0;0;4;4
;Endocrino-diabétologie;8.0;5;3;0;0;2;2;0;0;0;1;0;0;0;2;0;0;0;1
;Néonatologie;3.0;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
;Oncologie;4.0;1;3;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0
;Hématologie clinique;4.0;0;4;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0
;Gestion de données de santé;4.0;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0
"Région de Bruxelles
Capitale";Toutes les spécialités;521.0;232;289;14;35;49;17;26;23;24;44;9;13;28;30;28;38;36;107
;Médecine nucléaire in vitro;30.0;14;16;0;0;0;0;1;2;5;6;0;0;0;0;1;2;4;9
;"Réadaptation fonctionnelle et professionnelle des
handicapés";99.0;37;62;0;1;3;2;4;5;4;18;0;0;2;4;5;5;9;37
;Gériatrie;8.0;2;6;0;0;0;0;0;0;2;0;0;0;0;1;0;1;0;4
;Chirurgie orale et maxillo - faciale;22.0;12;10;0;1;3;0;3;2;2;1;1;0;1;1;1;0;3;3
;Soins intensifs;96.0;33;63;4;8;10;1;5;0;2;3;3;9;10;6;5;15;6;9
;Neurologie pédiatrique;11.0;9;2;0;2;2;0;0;1;1;3;0;1;0;0;0;0;0;1
;Néphrologie;54.0;24;30;4;4;7;4;0;2;1;2;3;2;3;5;1;5;2;9
;Médecine d'urgence;38.0;13;25;0;0;1;1;3;4;2;2;0;0;2;5;5;1;3;9
;Endocrino-diabétologie;59.0;31;28;1;8;9;3;1;2;1;6;0;0;3;2;4;2;3;14
;Néonatologie;25.0;22;3;1;5;7;3;3;1;1;1;0;0;0;0;1;0;1;1
;Oncologie;23.0;8;15;0;2;3;3;0;0;0;0;0;0;4;1;0;4;3;3
;Hématologie et oncologie pédiatrique;7.0;5;2;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;1
;Hématologie clinique;33.0;16;17;4;3;3;0;2;2;1;1;2;1;2;3;3;2;1;3
;Gestion de données de santé;12.0;6;6;0;0;0;0;3;1;1;1;0;0;0;0;1;1;1;3
;Psychiatrie médico-légale;4.0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1
