Territoire-Spécialité;Unnamed: 1;Unnamed: 2;Unnamed: 3;Total;Genre;Unnamed: 6;Femme;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Homme;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25;Unnamed: 26
;Brabant Wallon;Tous les infirmiers;;6241.0;5613;628;124;370;428;405;508;580;559;708;753;1178;16;58;80;89;89;75;75;60;48;38
;Hainaut;Tous les infirmiers;;22178.0;19382;2796;458;1502;1760;1700;2075;2198;1989;2322;2089;3289;55;256;379;311;399;390;278;252;293;183
;Liège;Tous les infirmiers;;18691.0;16324;2367;371;1397;1613;1640;1799;1791;1567;1636;1672;2838;35;204;287;303;336;367;223;194;219;199
;Namur;Tous les infirmiers;;9296.0;8151;1145;225;713;703;705;819;765;811;892;928;1590;30;136;177;141;145;165;98;98;91;64
;Luxembourg;Tous les infirmiers;;4372.0;3854;518;105;309;321;335;446;374;385;469;453;657;11;46;62;55;75;90;34;53;51;41
;"Région de
Bruxelles Capitale";Tous les infirmiers;;9955.0;8429;1526;232;1045;905;767;753;784;709;798;830;1606;30;209;270;272;203;144;130;105;92;71
;Belgique;"Enregistrés sans
agrément particulier
(AP)";;171112.0;150288;20824;5055;12719;12846;11873;13915;14404;14348;17568;17088;30472;672;2078;2297;1982;2155;2151;1912;2240;2422;2915
;Région flamande;"Enregistrés sans
agrément particulier
(AP)";;113839.0;99563;14276;3694;8719;8697;7780;9137;9351;9557;11802;11179;19647;527;1411;1422;1168;1297;1297;1328;1665;1787;2374
;Région wallonne;"Enregistrés sans
agrément particulier
(AP)";;49072.0;43713;5359;1148;3194;3461;3494;4203;4408;4234;5108;5193;9270;119;504;678;604;699;743;480;493;563;476
;"Région de
Bruxelles Capitale";"Enregistrés sans
agrément particulier
(AP)";;8201.0;7012;1189;213;806;688;599;575;645;557;658;716;1555;26;163;197;210;159;111;104;82;72;65
;Brabant flamand;"Enregistrés sans
agrément particulier
(AP)";;18257.0;15780;2477;507;1201;1174;1124;1355;1465;1584;2056;2054;3260;99;231;233;207;202;212;212;296;331;454
;"Flandre
occidentale";"Enregistrés sans
agrément particulier
(AP)";;24918.0;22059;2859;934;2032;2160;1881;2056;1977;1856;2375;2348;4440;130;298;306;221;278;252;244;302;346;482
;Flandre orientale;"Enregistrés sans
agrément particulier
(AP)";;26919.0;23515;3404;945;2122;2043;1805;2053;2301;2318;2736;2541;4651;123;354;343;273;317;315;315;402;442;520
;Anvers;"Enregistrés sans
agrément particulier
(AP)";;26533.0;23251;3282;793;2017;1949;1637;2071;2110;2323;2999;2772;4580;98;280;316;249;281;300;342;407;466;543
;Limbourg;"Enregistrés sans
agrément particulier
(AP)";;17212.0;14958;2254;515;1347;1371;1333;1602;1498;1476;1636;1464;2716;77;248;224;218;219;218;215;258;202;375
;Brabant Wallon;"Enregistrés sans
agrément particulier
(AP)";;4859.0;4420;439;103;236;262;256;336;419;429;593;653;1133;15;34;50;57;63;50;54;41;41;34
;Hainaut;"Enregistrés sans
agrément particulier
(AP)";;18525.0;16432;2093;422;1208;1330;1326;1628;1793;1630;2010;1865;3220;44;196;282;217;282;282;198;189;231;172
;Liège;"Enregistrés sans
agrément particulier
(AP)";;14661.0;13001;1660;331;1000;1131;1143;1296;1317;1233;1340;1464;2746;27;137;197;199;208;238;143;153;174;184
;Namur;"Enregistrés sans
agrément particulier
(AP)";;7417.0;6629;788;202;522;508;526;579;573;622;751;807;1539;24;104;117;98;89;104;62;68;73;49
;Luxembourg;"Enregistrés sans
agrément particulier
(AP)";;3610.0;3231;379;90;228;230;243;364;306;320;414;404;632;9;33;32;33;57;69;23;42;44;37
;"Région de
Bruxelles Capitale";"Enregistrés sans
agrément particulier
(AP)";;8201.0;7012;1189;213;806;688;599;575;645;557;658;716;1555;26;163;197;210;159;111;104;82;72;65
;Belgique;QPP;Gériatrie;3672.0;3328;344;0;34;132;353;467;508;550;618;481;185;0;2;24;45;58;54;55;51;37;18
;;;Santé mentale et psychiatrie;2298.0;1815;483;1;13;115;201;234;220;265;336;292;138;0;3;25;44;56;70;66;89;80;50
;;;Diabétologie;1127.0;1017;110;2;52;98;99;145;156;159;155;111;40;1;3;8;17;21;14;7;22;14;3
;;;Soins palliatifs;1248.0;1118;130;1;35;68;85;137;133;190;207;197;65;0;2;11;16;17;15;22;21;22;4
;;TPP;Gériatrie;2271.0;1873;398;5;84;142;197;284;286;293;282;215;85;0;4;20;29;49;58;73;80;61;24
;;;Oncologie;3258.0;2902;356;29;293;318;335;427;387;411;327;270;105;1;19;21;37;44;64;37;60;47;26
;;;Soins intensifs et d'urgence;12638.0;8858;3780;204;1423;1434;1186;1229;1080;913;647;488;254;63;464;537;483;526;436;408;378;294;191
;;;Pédiatrie et néonatologie;5186.0;5013;173;75;734;818;713;706;594;502;450;295;126;3;16;26;32;21;17;16;24;14;4
;;;Santé mentale et psychiatrie;2751.0;1877;874;4;90;174;216;263;342;283;223;209;73;1;24;52;83;112;154;128;115;138;67
;;;"Soins péri-opératoires, anesthésie,
assistance opératoire et instrumentation";2234.0;1810;424;8;125;209;246;318;262;267;227;126;22;0;14;49;52;73;63;47;69;48;9
;Région flamande;QPP;Gériatrie;2627.0;2410;217;0;16;73;214;318;348;403;492;394;152;0;1;8;25;33;34;33;39;29;15
;;;Santé mentale et psychiatrie;1495.0;1161;334;1;4;80;137;154;120;157;215;193;100;0;1;16;25;35;38;39;74;61;45
;;;Diabétologie;680.0;611;69;2;42;61;65;77;88;92;104;65;15;1;3;3;10;9;8;6;16;12;1
;;;Soins palliatifs;624.0;554;70;1;9;23;37;63;62;89;119;114;37;0;1;2;6;12;4;14;14;14;3
;;TPP;Gériatrie;1676.0;1356;320;0;43;83;127;201;213;228;235;161;65;0;3;15;23;30;44;58;71;54;22
;;;Oncologie;2148.0;1905;243;18;165;176;214;285;260;300;242;173;72;0;11;11;18;33;40;25;49;35;21
;;;Soins intensifs et d'urgence;7525.0;5167;2358;109;824;802;712;720;623;553;358;305;161;35;268;271;289;311;248;278;279;214;165
;;;Pédiatrie et néonatologie;2899.0;2800;99;43;371;419;345;377;348;329;289;197;82;1;7;17;13;10;4;10;21;12;4
;;;Santé mentale et psychiatrie;1727.0;1152;575;1;25;97;129;142;221;192;151;140;54;0;8;21;42;63;98;88;83;115;57
;;;"Soins péri-opératoires, anesthésie,
assistance opératoire et instrumentation";1354.0;1076;278;0;33;91;151;196;167;180;162;85;11;0;3;23;26;40;40;36;61;42;7
;Région wallonne;QPP;Gériatrie;883.0;781;102;0;15;54;123;128;133;123;108;68;29;0;1;14;13;23;16;17;9;7;2
;;;Santé mentale et psychiatrie;737.0;602;135;0;4;33;61;75;96;98;110;91;34;0;2;7;18;18;30;25;13;17;5
;;;Diabétologie;393.0;361;32;0;10;34;33;56;60;58;46;41;23;0;0;5;5;10;5;1;3;1;2
;;;Soins palliatifs;559.0;512;47;0;25;43;43;68;68;89;79;73;24;0;1;7;7;4;9;5;7;6;1
;;TPP;Gériatrie;505.0;445;60;5;35;54;57;74;64;55;39;45;17;0;1;4;6;15;12;11;8;3;0
;;;Oncologie;922.0;830;92;10;110;112;101;119;113;91;72;78;24;1;6;9;14;7;22;11;8;10;4
;;;Soins intensifs et d'urgence;4572.0;3322;1250;85;495;555;429;477;430;330;269;171;81;24;162;212;165;203;176;123;89;72;24
;;;Pédiatrie et néonatologie;1910.0;1852;58;26;278;336;323;282;215;152;127;78;35;2;5;7;16;8;11;5;2;2;0
;;;Santé mentale et psychiatrie;874.0;614;260;2;54;61;71;106;114;74;58;58;16;1;12;24;36;42;50;34;29;22;10
;;;"Soins péri-opératoires, anesthésie,
assistance opératoire et instrumentation";751.0;637;114;7;82;101;87;110;81;79;52;31;7;0;8;22;18;25;20;9;7;4;1
;"Région de
Bruxelles Capitale";QPP;Gériatrie;162.0;137;25;0;3;5;16;21;27;24;18;19;4;0;0;2;7;2;4;5;3;1;1
;;;Santé mentale et psychiatrie;66.0;52;14;0;5;2;3;5;4;10;11;8;4;0;0;2;1;3;2;2;2;2;0
;;;Diabétologie;54.0;45;9;0;0;3;1;12;8;9;5;5;2;0;0;0;2;2;1;0;3;1;0
;;;Soins palliatifs;65.0;52;13;0;1;2;5;6;3;12;9;10;4;0;0;2;3;1;2;3;0;2;0
;;TPP;Gériatrie;90.0;72;18;0;6;5;13;9;9;10;8;9;3;0;0;1;0;4;2;4;1;4;2
;;;Oncologie;188.0;167;21;1;18;30;20;23;14;20;13;19;9;0;2;1;5;4;2;1;3;2;1
;;;Soins intensifs et d'urgence;541.0;369;172;10;104;77;45;32;27;30;20;12;12;4;34;54;29;12;12;7;10;8;2
;;;Pédiatrie et néonatologie;377.0;361;16;6;85;63;45;47;31;21;34;20;9;0;4;2;3;3;2;1;1;0;0
;;;Santé mentale et psychiatrie;150.0;111;39;1;11;16;16;15;7;17;14;11;3;0;4;7;5;7;6;6;3;1;0
;;;"Soins péri-opératoires, anesthésie,
assistance opératoire et instrumentation";129.0;97;32;1;10;17;8;12;14;8;13;10;4;0;3;4;8;8;3;2;1;2;1
;Brabant flamand;QPP;Gériatrie;280.0;251;29;0;1;8;15;31;37;53;48;43;15;0;0;1;0;6;5;4;7;4;2
;;;Santé mentale et psychiatrie;154.0;114;40;0;2;8;8;8;12;14;26;23;13;0;0;0;4;1;2;3;11;9;10
;;;Diabétologie;138.0;124;14;0;11;10;14;16;23;16;16;15;3;0;1;1;2;1;2;0;4;3;0
;;;Soins palliatifs;87.0;79;8;0;0;3;6;5;11;16;17;18;3;0;0;0;0;2;0;1;3;2;0
;;TPP;Gériatrie;287.0;235;52;0;8;18;15;32;36;31;45;39;11;0;1;1;3;3;10;3;16;12;3
;;;Oncologie;405.0;360;45;3;38;33;35;48;54;51;46;40;12;0;1;1;2;6;4;3;15;10;3
;;;Soins intensifs et d'urgence;1380.0;937;443;15;117;143;126;120;101;102;87;82;44;3;45;41;46;60;37;47;56;64;44
;;;Pédiatrie et néonatologie;637.0;608;29;4;85;81;80;77;64;60;72;58;27;0;1;5;1;2;1;2;8;7;2
;;;Santé mentale et psychiatrie;299.0;199;100;0;4;16;20;24;33;24;27;36;15;0;3;3;6;7;13;13;17;19;19
;;;"Soins péri-opératoires, anesthésie,
assistance opératoire et instrumentation";250.0;207;43;0;9;20;31;36;39;33;25;11;3;0;0;8;7;4;4;5;8;7;0
;"Flandre
occidentale";QPP;Gériatrie;842.0;775;67;0;7;19;68;102;125;118;180;111;45;0;1;2;6;10;14;11;12;8;3
;;;Santé mentale et psychiatrie;587.0;488;99;0;1;25;58;75;51;61;81;87;49;0;0;3;9;16;13;18;22;11;7
;;;Diabétologie;151.0;132;19;1;9;19;16;11;20;15;22;16;3;1;0;0;4;4;0;1;6;3;0
;;;Soins palliatifs;104.0;95;9;0;3;3;5;11;8;17;14;25;9;0;0;0;0;1;1;3;1;2;1
;;TPP;Gériatrie;347.0;275;72;0;7;16;30;52;43;46;36;33;12;0;1;3;4;8;11;13;16;11;5
;;;Oncologie;424.0;375;49;5;26;35;33;60;58;70;53;24;11;0;3;3;5;10;10;4;8;4;2
;;;Soins intensifs et d'urgence;1525.0;1031;494;34;159;146;138;151;129;113;59;58;44;12;51;69;55;71;40;47;56;47;46
;;;Pédiatrie et néonatologie;560.0;544;16;12;65;89;73;57;61;65;65;44;13;1;1;2;3;1;1;2;4;1;0
;;;Santé mentale et psychiatrie;414.0;262;152;0;1;26;32;28;49;50;36;29;11;0;0;5;8;17;26;28;15;37;16
;;;"Soins péri-opératoires, anesthésie,
assistance opératoire et instrumentation";275.0;200;75;0;9;14;31;47;21;39;28;10;1;0;1;5;10;13;14;6;12;12;2
;Flandre orientale;QPP;Gériatrie;716.0;664;52;0;1;24;65;91;96;112;144;99;32;0;0;2;9;7;8;7;10;6;3
;;;Santé mentale et psychiatrie;308.0;218;90;0;0;13;30;31;24;36;46;26;12;0;0;6;5;5;9;8;23;21;13
;;;Diabétologie;156.0;141;15;1;11;18;14;20;18;18;24;12;5;0;0;0;3;2;2;2;4;2;0
;;;Soins palliatifs;166.0;143;23;0;0;5;9;20;15;20;31;30;13;0;1;1;1;2;3;6;5;4;0
;;TPP;Gériatrie;443.0;358;85;0;11;15;32;56;62;64;66;38;14;0;0;2;4;15;9;21;15;13;6
;;;Oncologie;580.0;525;55;6;39;53;63;90;71;75;58;50;20;0;4;2;5;7;11;7;5;6;8
;;;Soins intensifs et d'urgence;1777.0;1240;537;26;216;186;141;170;156;143;85;68;49;9;69;56;79;63;53;67;60;47;34
;;;Pédiatrie et néonatologie;714.0;692;22;16;97;91;83;105;89;91;57;39;24;0;4;6;0;2;1;2;3;2;2
;;;Santé mentale et psychiatrie;417.0;275;142;0;7;21;38;42;57;46;24;30;10;0;3;5;14;23;28;20;19;23;7
;;;"Soins péri-opératoires, anesthésie,
assistance opératoire et instrumentation";364.0;293;71;0;6;17;35;58;50;56;42;26;3;0;0;2;6;12;13;16;11;8;3
;Anvers;QPP;Gériatrie;497.0;458;39;0;3;9;28;47;47;85;86;109;44;0;0;1;0;5;6;6;6;10;5
;;;Santé mentale et psychiatrie;235.0;187;48;1;0;16;17;17;16;32;40;32;16;0;1;6;3;3;9;4;11;7;4
;;;Diabétologie;157.0;140;17;0;9;8;11;23;15;26;27;18;3;0;1;2;1;1;4;2;1;4;1
;;;Soins palliatifs;201.0;176;25;1;5;8;13;17;21;25;44;33;9;0;0;1;3;4;0;4;5;6;2
;;TPP;Gériatrie;437.0;353;84;0;14;24;31;34;50;69;64;43;24;0;0;5;10;2;12;16;18;16;5
;;;Oncologie;510.0;446;64;3;46;32;47;57;51;72;68;51;19;0;2;4;3;7;12;5;13;12;6
;;;Soins intensifs et d'urgence;1855.0;1265;590;27;214;203;193;176;152;122;89;70;19;7;72;64;67;84;79;72;68;47;30
;;;Pédiatrie et néonatologie;718.0;691;27;8;92;116;72;93;105;77;69;42;17;0;1;2;8;4;1;3;6;2;0
;;;Santé mentale et psychiatrie;383.0;279;104;1;10;19;25;36;50;45;45;34;14;0;1;4;8;9;17;14;17;23;11
;;;"Soins péri-opératoires, anesthésie,
assistance opératoire et instrumentation";330.0;268;62;0;7;29;38;36;38;39;49;29;3;0;2;5;1;7;4;5;23;13;2
;Limbourg;QPP;Gériatrie;292.0;262;30;0;4;13;38;47;43;35;34;32;16;0;0;2;10;5;1;5;4;1;2
;;;Santé mentale et psychiatrie;211.0;154;57;0;1;18;24;23;17;14;22;25;10;0;0;1;4;10;5;6;7;13;11
;;;Diabétologie;78.0;74;4;0;2;6;10;7;12;17;15;4;1;0;1;0;0;1;0;1;1;0;0
;;;Soins palliatifs;66.0;61;5;0;1;4;4;10;7;11;13;8;3;0;0;0;2;3;0;0;0;0;0
;;TPP;Gériatrie;162.0;135;27;0;3;10;19;27;22;18;24;8;4;0;1;4;2;2;2;5;6;2;3
;;;Oncologie;229.0;199;30;1;16;23;36;30;26;32;17;8;10;0;1;1;3;3;3;6;8;3;2
;;;Soins intensifs et d'urgence;988.0;694;294;7;118;124;114;103;85;73;38;27;5;4;31;41;42;33;39;45;39;9;11
;;;Pédiatrie et néonatologie;270.0;265;5;3;32;42;37;45;29;36;26;14;1;0;0;2;1;1;0;1;0;0;0
;;;Santé mentale et psychiatrie;214.0;137;77;0;3;15;14;12;32;27;19;11;4;0;1;4;6;7;14;13;15;13;4
;;;"Soins péri-opératoires, anesthésie,
assistance opératoire et instrumentation";135.0;108;27;0;2;11;16;19;19;13;18;9;1;0;0;3;2;4;5;4;7;2;0
;Brabant Wallon;QPP;Gériatrie;61.0;54;7;0;0;0;3;11;9;12;7;10;2;0;0;1;1;1;2;1;1;0;0
;;;Santé mentale et psychiatrie;34.0;32;2;0;0;3;2;0;5;8;10;2;2;0;0;1;0;0;0;0;0;1;0
;;;Diabétologie;39.0;38;1;0;3;1;3;3;7;8;7;2;4;0;0;0;1;0;0;0;0;0;0
;;;Soins palliatifs;48.0;45;3;0;1;3;2;3;4;5;9;12;6;0;0;1;0;0;0;0;1;1;0
;;TPP;Gériatrie;48.0;46;2;0;3;9;5;3;7;4;4;8;3;0;0;0;0;1;1;0;0;0;0
;;;Oncologie;129.0;125;4;1;11;19;15;16;13;18;14;12;6;0;0;0;0;2;0;0;0;1;1
;;;Soins intensifs et d'urgence;574.0;436;138;16;67;78;59;60;57;36;28;18;17;1;21;24;22;20;17;16;11;4;2
;;;Pédiatrie et néonatologie;286.0;283;3;3;31;45;49;45;35;29;26;19;1;0;0;0;1;1;0;1;0;0;0
;;;Santé mentale et psychiatrie;94.0;78;16;0;9;9;4;15;16;6;6;11;2;0;1;3;3;1;1;3;3;0;1
;;;"Soins péri-opératoires, anesthésie,
assistance opératoire et instrumentation";110.0;96;14;1;10;3;7;24;16;14;9;9;3;0;2;0;4;0;4;1;3;0;0
;Hainaut;QPP;Gériatrie;244.0;221;23;0;6;15;37;26;39;35;41;18;4;0;0;3;2;4;3;7;2;2;0
;;;Santé mentale et psychiatrie;283.0;239;44;0;2;14;18;32;36;42;45;40;10;0;1;2;2;6;12;10;4;4;3
;;;Diabétologie;143.0;132;11;0;2;15;8;20;22;13;21;24;7;0;0;2;3;4;1;0;0;0;1
;;;Soins palliatifs;151.0;139;12;0;9;8;14;25;19;24;20;17;3;0;0;1;3;2;0;1;3;2;0
;;TPP;Gériatrie;136.0;116;20;1;7;10;16;23;15;22;11;10;1;0;0;3;2;4;4;5;2;0;0
;;;Oncologie;248.0;216;32;2;28;22;28;36;28;21;24;22;5;0;3;4;3;3;9;3;2;4;1
;;;Soins intensifs et d'urgence;1481.0;1060;421;23;132;190;120;147;131;129;101;63;24;11;50;69;54;72;47;43;35;35;5
;;;Pédiatrie et néonatologie;601.0;585;16;8;83;119;97;92;73;53;31;17;12;0;3;2;6;0;2;1;2;0;0
;;;Santé mentale et psychiatrie;343.0;234;109;0;22;24;32;36;48;30;21;18;3;0;4;9;18;15;25;11;13;13;1
;;;"Soins péri-opératoires, anesthésie,
assistance opératoire et instrumentation";139.0;107;32;2;7;19;16;23;12;12;12;3;1;0;0;4;4;9;7;3;2;3;0
;Liège;QPP;Gériatrie;429.0;376;53;0;8;28;67;68;66;51;45;33;10;0;0;9;7;11;9;7;5;3;2
;;;Santé mentale et psychiatrie;224.0;177;47;0;0;10;26;24;33;24;33;17;10;0;1;2;9;11;8;7;3;5;1
;;;Diabétologie;122.0;108;14;0;0;12;15;18;21;21;7;7;7;0;0;2;1;4;3;1;1;1;1
;;;Soins palliatifs;222.0;200;22;0;9;22;20;23;31;36;29;20;10;0;0;3;3;1;8;2;3;2;0
;;TPP;Gériatrie;214.0;190;24;1;12;22;25;35;32;18;19;20;6;0;0;1;2;5;5;4;5;2;0
;;;Oncologie;370.0;336;34;4;51;55;46;49;49;28;18;27;9;1;2;0;8;2;9;5;4;3;0
;;;Soins intensifs et d'urgence;1374.0;1002;372;23;165;152;143;149;144;85;77;46;18;4;52;52;49;62;66;40;18;23;6
;;;Pédiatrie et néonatologie;661.0;630;31;9;102;115;112;91;76;43;42;25;15;2;2;4;7;6;6;2;0;2;0
;;;Santé mentale et psychiatrie;285.0;192;93;1;12;24;20;31;31;23;24;17;9;1;7;8;11;19;15;14;7;7;4
;;;"Soins péri-opératoires, anesthésie,
assistance opératoire et instrumentation";288.0;250;38;2;42;47;41;32;30;29;19;7;1;0;3;11;7;12;3;1;0;0;1
;Namur;QPP;Gériatrie;118.0;102;16;0;1;9;12;19;16;21;10;6;8;0;1;1;3;6;2;1;0;2;0
;;;Santé mentale et psychiatrie;159.0;123;36;0;1;4;8;18;18;21;17;27;9;0;0;2;5;1;9;8;4;6;1
;;;Diabétologie;63.0;58;5;0;4;6;5;11;7;8;8;5;4;0;0;0;0;2;1;0;2;0;0
;;;Soins palliatifs;76.0;69;7;0;2;4;4;10;9;13;11;15;1;0;1;1;0;1;0;2;0;1;1
;;TPP;Gériatrie;77.0;65;12;3;8;8;4;13;8;8;4;6;3;0;1;0;2;4;2;1;1;1;0
;;;Oncologie;138.0;120;18;1;16;11;9;15;21;18;14;14;1;0;0;3;3;0;4;3;2;1;2
;;;Soins intensifs et d'urgence;768.0;554;214;13;90;88;71;85;64;58;40;28;17;6;28;44;22;36;31;18;16;6;7
;;;Pédiatrie et néonatologie;278.0;272;6;3;46;46;47;44;25;24;22;9;6;0;0;1;1;1;2;1;0;0;0
;;;Santé mentale et psychiatrie;117.0;80;37;1;7;2;10;15;16;13;6;8;2;0;0;4;4;6;8;4;6;1;4
;;;"Soins péri-opératoires, anesthésie,
assistance opératoire et instrumentation";153.0;134;19;2;18;20;14;23;17;18;11;9;2;0;2;4;3;1;4;2;2;1;0
;Luxembourg;QPP;Gériatrie;31.0;28;3;0;0;2;4;4;3;4;5;1;5;0;0;0;0;1;0;1;1;0;0
;;;Santé mentale et psychiatrie;37.0;31;6;0;1;2;7;1;4;3;5;5;3;0;0;0;2;0;1;0;2;1;0
;;;Diabétologie;26.0;25;1;0;1;0;2;4;3;8;3;3;1;0;0;1;0;0;0;0;0;0;0
;;;Soins palliatifs;62.0;59;3;0;4;6;3;7;5;11;10;9;4;0;0;1;1;0;1;0;0;0;0
;;TPP;Gériatrie;30.0;28;2;0;5;5;7;0;2;3;1;1;4;0;0;0;0;1;0;1;0;0;0
;;;Oncologie;37.0;33;4;2;4;5;3;3;2;6;2;3;3;0;1;2;0;0;0;0;0;1;0
;;;Soins intensifs et d'urgence;375.0;270;105;10;41;47;36;36;34;22;23;16;5;2;11;23;18;13;15;6;9;4;4
;;;Pédiatrie et néonatologie;84.0;82;2;3;16;11;18;10;6;3;6;8;1;0;0;0;1;0;1;0;0;0;0
;;;Santé mentale et psychiatrie;35.0;30;5;0;4;2;5;9;3;2;1;4;0;0;0;0;0;1;1;2;0;1;0
;;;"Soins péri-opératoires, anesthésie,
assistance opératoire et instrumentation";61.0;50;11;0;5;12;9;8;6;6;1;3;0;0;1;3;0;3;2;2;0;0;0
;"Région de
Bruxelles Capitale";QPP;Gériatrie;162.0;137;25;0;3;5;16;21;27;24;18;19;4;0;0;2;7;2;4;5;3;1;1
;;;Santé mentale et psychiatrie;66.0;52;14;0;5;2;3;5;4;10;11;8;4;0;0;2;1;3;2;2;2;2;0
;;;Diabétologie;54.0;45;9;0;0;3;1;12;8;9;5;5;2;0;0;0;2;2;1;0;3;1;0
;;;Soins palliatifs;65.0;52;13;0;1;2;5;6;3;12;9;10;4;0;0;2;3;1;2;3;0;2;0
;;TPP;Gériatrie;90.0;72;18;0;6;5;13;9;9;10;8;9;3;0;0;1;0;4;2;4;1;4;2
;;;Oncologie;188.0;167;21;1;18;30;20;23;14;20;13;19;9;0;2;1;5;4;2;1;3;2;1
;;;Soins intensifs et d'urgence;541.0;369;172;10;104;77;45;32;27;30;20;12;12;4;34;54;29;12;12;7;10;8;2
;;;Pédiatrie et néonatologie;377.0;361;16;6;85;63;45;47;31;21;34;20;9;0;4;2;3;3;2;1;1;0;0
;;;Santé mentale et psychiatrie;150.0;111;39;1;11;16;16;15;7;17;14;11;3;0;4;7;5;7;6;6;3;1;0
;;;"Soins péri-opératoires, anesthésie,
assistance opératoire et instrumentation";129.0;97;32;1;10;17;8;12;14;8;13;10;4;0;3;4;8;8;3;2;1;2;1
