Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Man;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21
;Cardiologie;48.0;22;26;2;12;7;0;0;0;0;1;1;15;10;0;0;0;0;0;0
;Inwendige geneeskunde;197.0;113;84;15;90;6;1;1;0;0;0;15;66;3;0;0;0;0;0;0
;Reumatologie;11.0;9;2;0;9;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;Acute geneeskunde;4.0;1;3;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
;Gynaecologie-verloskunde;89.0;80;9;11;60;9;0;0;0;0;0;2;4;3;0;0;0;0;0;0
;Oftalmologie;42.0;24;18;1;21;1;1;0;0;0;0;3;14;1;0;0;0;0;0;0
;Otorhinolaryngologie;31.0;21;10;2;16;3;0;0;0;0;0;0;8;2;0;0;0;0;0;0
;Stomatologie;13.0;5;8;0;5;0;0;0;0;0;0;1;4;3;0;0;0;0;0;0
;Dermato-venereologie;24.0;19;5;5;14;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
;Pediatrie;143.0;122;21;18;90;13;1;0;0;0;0;2;19;0;0;0;0;0;0;0
;Fysische geneeskunde en revalidatie;30.0;15;15;0;14;1;0;0;0;0;0;1;12;2;0;0;0;0;0;0
;Klinische biologie;22.0;10;12;1;5;2;2;0;0;0;0;2;7;2;0;1;0;0;0;0
;Rontgendiagnose;64.0;22;42;2;19;1;0;0;0;0;0;5;31;6;0;0;0;0;0;0
;Radiotherapie - oncologie;14.0;8;6;2;5;1;0;0;0;0;0;1;2;2;1;0;0;0;0;0
;Nucleaire geneeskunde;12.0;5;7;1;3;1;0;0;0;0;0;0;6;1;0;0;0;0;0;0
;Pathologische anatomie;16.0;10;6;1;8;1;0;0;0;0;0;1;3;0;1;1;0;0;0;0
;Medische oncologie;25.0;15;10;1;9;5;0;0;0;0;0;0;7;3;0;0;0;0;0;0
;Arbeidsgeneeskunde;32.0;20;12;0;8;4;5;1;2;0;0;0;1;3;2;1;1;1;1;2
"Brussels
Hoofdstedelijk Gewest";Alle specialiteiten;1211.0;678;533;35;476;143;16;6;1;1;0;27;343;143;15;4;1;0;0;0
;Geriatrie;24.0;20;4;0;14;5;1;0;0;0;0;0;3;1;0;0;0;0;0;0
;Urgentiegeneeskunde;107.0;58;49;3;27;21;6;1;0;0;0;4;20;17;5;3;0;0;0;0
;Gerechtelijke geneeskunde;1.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;Anesthesie-reanimatie;133.0;63;70;1;43;17;2;0;0;0;0;1;45;21;3;0;0;0;0;0
;Heelkunde;79.0;35;44;2;28;5;0;0;0;0;0;1;25;16;2;0;0;0;0;0
;Neurochirurgie;12.0;4;8;0;3;1;0;0;0;0;0;0;6;2;0;0;0;0;0;0
;"Plastische, reconstructieve en
esthetische heelkunde";10.0;4;6;0;4;0;0;0;0;0;0;1;1;4;0;0;0;0;0;0
;Urologie;21.0;9;12;0;7;2;0;0;0;0;0;0;8;4;0;0;0;0;0;0
;Orthopedische heelkunde;51.0;12;39;0;6;6;0;0;0;0;0;2;26;11;0;0;0;0;0;0
;Neurologie;32.0;21;11;2;17;2;0;0;0;0;0;0;9;2;0;0;0;0;0;0
;"Psychiatrie, meer bepaald kinder- en
jeugdpsychiatrie";31.0;28;3;0;19;7;1;1;0;0;0;0;3;0;0;0;0;0;0;0
;"Psychiatrie, meer bepaald
volwassenpsychiatrie";64.0;35;29;1;22;8;1;1;1;1;0;0;20;8;0;0;1;0;0;0
;Pneumologie;15.0;10;5;0;5;5;0;0;0;0;0;0;3;2;0;0;0;0;0;0
;Gastro-enterologie;18.0;10;8;0;5;5;0;0;0;0;0;0;3;4;1;0;0;0;0;0
;Cardiologie;26.0;13;13;0;4;9;0;0;0;0;0;0;2;10;1;0;0;0;0;0
;Inwendige geneeskunde;172.0;88;84;5;77;6;0;0;0;0;0;9;60;12;3;0;0;0;0;0
;Reumatologie;2.0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Gynaecologie-verloskunde;58.0;54;4;6;36;12;0;0;0;0;0;0;4;0;0;0;0;0;0;0
;Oftalmologie;32.0;20;12;0;16;3;0;1;0;0;0;2;8;2;0;0;0;0;0;0
;Otorhinolaryngologie;21.0;8;13;0;7;1;0;0;0;0;0;1;9;3;0;0;0;0;0;0
;Stomatologie;17.0;5;12;1;4;0;0;0;0;0;0;1;9;2;0;0;0;0;0;0
;Dermato-venereologie;25.0;21;4;2;17;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0
;Pediatrie;112.0;86;26;7;68;11;0;0;0;0;0;0;24;2;0;0;0;0;0;0
;Fysische geneeskunde en revalidatie;19.0;12;7;2;5;4;1;0;0;0;0;0;6;1;0;0;0;0;0;0
;Klinische biologie;15.0;3;12;1;1;0;1;0;0;0;0;2;4;6;0;0;0;0;0;0
;Rontgendiagnose;68.0;32;36;2;24;4;2;0;0;0;0;2;28;6;0;0;0;0;0;0
;Radiotherapie - oncologie;8.0;1;7;0;0;1;0;0;0;0;0;0;5;2;0;0;0;0;0;0
;Nucleaire geneeskunde;7.0;2;5;0;1;1;0;0;0;0;0;1;3;1;0;0;0;0;0;0
;Pathologische anatomie;15.0;11;4;0;10;1;0;0;0;0;0;0;1;3;0;0;0;0;0;0
;Medische oncologie;8.0;5;3;0;3;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0
;Arbeidsgeneeskunde;8.0;6;2;0;2;1;1;2;0;0;0;0;0;1;0;1;0;0;0;0
Vlaams Brabant;Alle specialiteiten;906.0;509;397;41;350;99;10;4;4;1;0;28;270;90;7;0;0;0;2;0
;Geriatrie;10.0;10;0;1;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Urgentiegeneeskunde;39.0;19;20;3;12;4;0;0;0;0;0;0;12;7;1;0;0;0;0;0
;Gerechtelijke geneeskunde;2.0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;Anesthesie-reanimatie;101.0;35;66;1;27;5;2;0;0;0;0;3;45;16;2;0;0;0;0;0
;Heelkunde;44.0;23;21;0;15;8;0;0;0;0;0;0;19;2;0;0;0;0;0;0
;Neurochirurgie;14.0;5;9;1;3;1;0;0;0;0;0;1;4;4;0;0;0;0;0;0
;"Plastische, reconstructieve en
esthetische heelkunde";11.0;6;5;0;3;3;0;0;0;0;0;0;1;3;1;0;0;0;0;0
;Urologie;21.0;13;8;3;8;2;0;0;0;0;0;2;4;2;0;0;0;0;0;0
;Orthopedische heelkunde;34.0;7;27;0;4;3;0;0;0;0;0;3;17;6;1;0;0;0;0;0
;Neurologie;31.0;23;8;1;15;7;0;0;0;0;0;2;5;1;0;0;0;0;0;0
;"Psychiatrie, meer bepaald kinder- en
jeugdpsychiatrie";23.0;18;5;1;15;2;0;0;0;0;0;0;5;0;0;0;0;0;0;0
;"Psychiatrie, meer bepaald
volwassenpsychiatrie";48.0;27;21;2;16;7;2;0;0;0;0;1;18;2;0;0;0;0;0;0
;Pneumologie;12.0;6;6;0;4;2;0;0;0;0;0;0;3;3;0;0;0;0;0;0
;Gastro-enterologie;17.0;9;8;0;5;4;0;0;0;0;0;0;2;6;0;0;0;0;0;0
;Cardiologie;22.0;7;15;0;3;4;0;0;0;0;0;0;4;10;1;0;0;0;0;0
;Inwendige geneeskunde;133.0;72;61;13;52;4;1;1;1;0;0;6;46;9;0;0;0;0;0;0
;Reumatologie;4.0;3;1;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;Acute geneeskunde;9.0;3;6;0;2;0;1;0;0;0;0;1;4;1;0;0;0;0;0;0
;Gynaecologie-verloskunde;52.0;42;10;2;27;12;1;0;0;0;0;1;8;1;0;0;0;0;0;0
;Oftalmologie;30.0;18;12;1;15;2;0;0;0;0;0;2;7;3;0;0;0;0;0;0
;Otorhinolaryngologie;13.0;13;0;0;11;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;Stomatologie;15.0;5;10;0;5;0;0;0;0;0;0;1;7;2;0;0;0;0;0;0
;Dermato-venereologie;24.0;21;3;3;17;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0
;Pediatrie;66.0;63;3;6;50;5;2;0;0;0;0;0;3;0;0;0;0;0;0;0
;Fysische geneeskunde en revalidatie;19.0;10;9;1;9;0;0;0;0;0;0;0;8;1;0;0;0;0;0;0
;Klinische biologie;5.0;3;2;0;2;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;Rontgendiagnose;41.0;9;32;1;6;2;0;0;0;0;0;2;27;3;0;0;0;0;0;0
;Radiotherapie - oncologie;14.0;9;5;0;5;4;0;0;0;0;0;1;2;2;0;0;0;0;0;0
;Nucleaire geneeskunde;8.0;5;3;0;5;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
;Pathologische anatomie;13.0;5;8;1;3;1;0;0;0;0;0;1;7;0;0;0;0;0;0;0
;Medische oncologie;18.0;10;8;0;4;6;0;0;0;0;0;0;3;5;0;0;0;0;0;0
;Arbeidsgeneeskunde;13.0;9;4;0;0;2;1;2;3;1;0;0;1;1;0;0;0;0;2;0
West-Vlaanderen;Alle specialiteiten;361.0;192;169;27;138;21;4;0;2;0;0;25;122;20;1;0;1;0;0;0
;Geriatrie;3.0;2;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;Urgentiegeneeskunde;25.0;16;9;2;12;1;1;0;0;0;0;1;4;2;1;0;1;0;0;0
;Anesthesie-reanimatie;32.0;14;18;1;10;3;0;0;0;0;0;3;13;2;0;0;0;0;0;0
;Heelkunde;23.0;6;17;1;2;2;1;0;0;0;0;3;13;1;0;0;0;0;0;0
;Neurochirurgie;1.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;"Plastische, reconstructieve en
esthetische heelkunde";1.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;Urologie;14.0;5;9;0;3;2;0;0;0;0;0;2;7;0;0;0;0;0;0;0
;Orthopedische heelkunde;28.0;4;24;0;4;0;0;0;0;0;0;1;17;6;0;0;0;0;0;0
;Neurologie;4.0;3;1;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;"Psychiatrie, meer bepaald kinder- en
jeugdpsychiatrie";5.0;5;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;"Psychiatrie, meer bepaald
volwassenpsychiatrie";19.0;10;9;1;6;1;1;0;1;0;0;0;7;2;0;0;0;0;0;0
;Pneumologie;3.0;2;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;Gastro-enterologie;5.0;3;2;0;2;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;Cardiologie;3.0;0;3;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0
;Inwendige geneeskunde;61.0;34;27;11;23;0;0;0;0;0;0;9;17;1;0;0;0;0;0;0
;Reumatologie;2.0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;Acute geneeskunde;3.0;2;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;Gynaecologie-verloskunde;28.0;25;3;3;22;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0
;Oftalmologie;9.0;7;2;1;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;Otorhinolaryngologie;12.0;8;4;2;5;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0
;Stomatologie;6.0;1;5;0;0;1;0;0;0;0;0;1;4;0;0;0;0;0;0;0
;Dermato-venereologie;3.0;3;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Pediatrie;16.0;14;2;2;11;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;Fysische geneeskunde en revalidatie;10.0;6;4;0;5;1;0;0;0;0;0;1;3;0;0;0;0;0;0;0
;Klinische biologie;6.0;2;4;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
;Rontgendiagnose;26.0;9;17;0;8;1;0;0;0;0;0;1;16;0;0;0;0;0;0;0
;Radiotherapie - oncologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Pathologische anatomie;6.0;4;2;0;3;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;Medische oncologie;2.0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Arbeidsgeneeskunde;4.0;3;1;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0
Oost-Vlaanderen;Alle specialiteiten;767.0;444;323;39;314;76;12;2;1;0;0;22;218;75;7;1;0;0;0;0
;Geriatrie;12.0;9;3;0;5;4;0;0;0;0;0;0;2;1;0;0;0;0;0;0
;Urgentiegeneeskunde;61.0;34;27;1;21;9;3;0;0;0;0;0;16;9;2;0;0;0;0;0
;Gerechtelijke geneeskunde;1.0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Anesthesie-reanimatie;77.0;37;40;3;28;3;3;0;0;0;0;3;27;10;0;0;0;0;0;0
;Heelkunde;48.0;26;22;6;14;4;1;1;0;0;0;3;14;5;0;0;0;0;0;0
;Neurochirurgie;9.0;2;7;1;1;0;0;0;0;0;0;1;3;3;0;0;0;0;0;0
;"Plastische, reconstructieve en
esthetische heelkunde";14.0;4;10;0;4;0;0;0;0;0;0;0;4;5;1;0;0;0;0;0
;Urologie;25.0;8;17;0;6;2;0;0;0;0;0;1;12;4;0;0;0;0;0;0
;Orthopedische heelkunde;39.0;11;28;1;7;3;0;0;0;0;0;3;17;8;0;0;0;0;0;0
;Neurologie;26.0;18;8;3;15;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0
;"Psychiatrie, meer bepaald kinder- en
jeugdpsychiatrie";17.0;15;2;2;9;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;"Psychiatrie, meer bepaald
volwassenpsychiatrie";31.0;22;9;4;16;2;0;0;0;0;0;2;5;2;0;0;0;0;0;0
;Pneumologie;6.0;2;4;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0
;Gastro-enterologie;14.0;7;7;0;2;5;0;0;0;0;0;0;3;4;0;0;0;0;0;0
;Cardiologie;13.0;2;11;0;2;0;0;0;0;0;0;0;6;4;1;0;0;0;0;0
;Inwendige geneeskunde;116.0;69;47;5;55;8;1;0;0;0;0;7;38;2;0;0;0;0;0;0
;Reumatologie;3.0;3;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Acute geneeskunde;1.0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Gynaecologie-verloskunde;50.0;46;4;5;35;5;1;0;0;0;0;0;3;1;0;0;0;0;0;0
;Oftalmologie;16.0;10;6;0;10;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0
;Otorhinolaryngologie;17.0;13;4;1;9;3;0;0;0;0;0;0;3;1;0;0;0;0;0;0
;Stomatologie;6.0;2;4;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
;Dermato-venereologie;13.0;13;0;1;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Pediatrie;59.0;48;11;3;36;8;1;0;0;0;0;0;8;3;0;0;0;0;0;0
;Fysische geneeskunde en revalidatie;17.0;4;13;1;3;0;0;0;0;0;0;0;12;1;0;0;0;0;0;0
;Klinische biologie;10.0;5;5;0;5;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0
;Rontgendiagnose;35.0;13;22;0;10;2;0;1;0;0;0;1;16;4;1;0;0;0;0;0
;Radiotherapie - oncologie;7.0;3;4;1;2;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0
;Nucleaire geneeskunde;6.0;3;3;0;0;3;0;0;0;0;0;0;2;0;1;0;0;0;0;0
;Pathologische anatomie;7.0;5;2;0;4;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;Medische oncologie;7.0;5;2;0;1;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;Arbeidsgeneeskunde;4.0;3;1;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0
Antwerpen;Alle specialiteiten;810.0;451;359;40;305;95;6;3;1;1;0;31;241;74;5;5;3;0;0;0
;Geriatrie;13.0;9;4;0;7;2;0;0;0;0;0;0;0;2;1;0;1;0;0;0
;Urgentiegeneeskunde;55.0;24;31;1;13;9;1;0;0;0;0;4;17;10;0;0;0;0;0;0
;Gerechtelijke geneeskunde;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Anesthesie-reanimatie;100.0;44;56;8;23;11;1;1;0;0;0;4;44;8;0;0;0;0;0;0
;Heelkunde;57.0;28;29;4;18;6;0;0;0;0;0;2;21;6;0;0;0;0;0;0
;Neurochirurgie;11.0;3;8;0;1;2;0;0;0;0;0;1;5;2;0;0;0;0;0;0
;"Plastische, reconstructieve en
esthetische heelkunde";8.0;2;6;0;2;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0
;Urologie;23.0;12;11;1;8;3;0;0;0;0;0;0;8;3;0;0;0;0;0;0
;Orthopedische heelkunde;42.0;20;22;3;12;5;0;0;0;0;0;1;17;4;0;0;0;0;0;0
;Neurologie;29.0;18;11;0;13;4;1;0;0;0;0;1;8;2;0;0;0;0;0;0
;"Psychiatrie, meer bepaald kinder- en
jeugdpsychiatrie";18.0;16;2;0;11;4;1;0;0;0;0;1;0;0;1;0;0;0;0;0
;"Psychiatrie, meer bepaald
volwassenpsychiatrie";32.0;15;17;2;7;6;0;0;0;0;0;0;11;3;1;1;1;0;0;0
;Pneumologie;8.0;6;2;0;3;3;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;Gastro-enterologie;17.0;9;8;0;4;5;0;0;0;0;0;0;3;5;0;0;0;0;0;0
;Cardiologie;22.0;6;16;0;4;2;0;0;0;0;0;0;6;9;0;1;0;0;0;0
;Inwendige geneeskunde;110.0;63;47;6;53;4;0;0;0;0;0;7;31;7;1;1;0;0;0;0
;Reumatologie;1.0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Acute geneeskunde;9.0;4;5;1;3;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
