gebied;erkenning;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
Brussels Hoofdstedelijk Gewest;Geen bijzondere erkenning (BE);;8085;6983;1102;294;797;646;569;655;581;657;723;655;1406;45;172;199;176;142;100;90;84;52;42
Vlaams Brabant;Geen bijzondere erkenning (BE);;17316;15011;2305;655;1081;1005;1098;1405;1476;1916;2184;1666;2525;88;193;203;179;210;215;248;348;295;326
West-Vlaanderen;Geen bijzondere erkenning (BE);;23200;20533;2667;1093;1990;1799;1823;2003;1817;2036;2465;2058;3449;158;293;214;258;265;239;254;323;307;356
Oost-Vlaanderen;Geen bijzondere erkenning (BE);;25064;21935;3129;986;1935;1606;1824;2148;2214;2514;2730;2184;3794;144;326;250;278;321;302;357;455;357;339
Antwerpen;Geen bijzondere erkenning (BE);;25336;22225;3111;1030;1892;1547;1803;2068;2193;2718;3045;2174;3755;130;287;250;274;288;285;380;448;365;404
Limburg;Geen bijzondere erkenning (BE);;16252;14113;2139;637;1303;1289;1350;1573;1413;1613;1513;1278;2144;103;255;195;216;222;196;253;211;176;312
Waals Brabant;Geen bijzondere erkenning (BE);;4616;4245;371;136;228;239;231;398;395;490;688;532;908;19;34;34;55;47;45;44;46;30;17
Henegouwen;Geen bijzondere erkenning (BE);;17764;15792;1972;519;1197;1223;1411;1715;1702;1832;1998;1640;2555;71;224;228;238;294;226;184;223;179;105
Luik;Geen bijzondere erkenning (BE);;14351;12728;1623;474;1047;1069;1190;1405;1239;1322;1434;1309;2239;42;165;199;207;226;187;144;182;147;124
Namen;Geen bijzondere erkenning (BE);;7139;6396;743;286;449;497;554;568;590;679;822;683;1268;47;107;104;89;106;73;59;78;36;44
Luxemburg;Geen bijzondere erkenning (BE);;3444;3107;337;121;208;211;305;338;309;385;422;310;498;13;26;24;37;64;42;26;50;30;25
Brussels Hoofdstedelijk Gewest;Geen bijzondere erkenning (BE);;8085;6983;1102;294;797;646;569;655;581;657;723;655;1406;45;172;199;176;142;100;90;84;52;42
België;Bijzondere beroepsbekwaamheid;Geriatrie;3223;2935;288;2;56;210;363;440;434;559;562;243;66;0;6;26;46;52;42;47;34;29;6
België;Bijzondere beroepsbekwaamheid;Geestelijke gezondheidszorg en psychiatrie;2002;1605;397;3;39;132;183;204;203;300;308;206;27;0;8;36;38;45;64;59;76;58;13
België;Bijzondere beroepsbekwaamheid;Diabetologie;863;778;85;6;52;58;94;120;108;148;122;56;14;0;6;9;15;5;13;14;16;7;0
België;Bijzondere beroepsbekwaamheid;Palliatieve zorg;886;801;85;3;36;46;72;79;114;146;186;101;18;0;3;14;9;9;13;12;16;8;1
België;Bijzondere beroepstitel;Geriatrie;2224;1829;395;20;117;178;232;290;272;305;258;125;32;0;15;20;38;64;65;74;73;37;9
België;Bijzondere beroepstitel;Oncologie;3056;2719;337;119;301;302;381;402;386;339;278;185;26;8;20;29;39;60;43;45;40;46;7
België;Bijzondere beroepstitel;Intensieve zorg en spoedgevallenzorg;11743;8222;3521;492;1422;1274;1133;1187;994;740;528;346;106;126;525;445;493;505;399;369;338;240;81
België;Bijzondere beroepstitel;Pediatrie en de neonatologie;4731;4580;151;250;797;721;667;614;491;459;360;188;33;6;18;35;20;17;18;13;19;5;0
België;Bijzondere beroepstitel;Geestelijke gezondheidszorg en psychiatrie;2664;1812;852;34;124;181;255;320;309;231;215;122;21;5;28;75;89;146;141;114;131;110;13
België;Bijzondere beroepstitel;Peri-operatieve zorgen;2095;1703;392;43;158;245;245;300;248;250;160;51;3;2;25;56;59;74;32;69;56;18;1
Vlaams Gewest;Bijzondere beroepsbekwaamheid;Geriatrie;2438;2247;191;2;32;145;247;331;325;434;476;203;52;0;3;17;23;30;29;33;28;25;3
Vlaams Gewest;Bijzondere beroepsbekwaamheid;Geestelijke gezondheidszorg en psychiatrie;1286;1020;266;1;25;95;122;110;123;183;195;149;17;0;5;21;22;21;33;47;52;52;13
Vlaams Gewest;Bijzondere beroepsbekwaamheid;Diabetologie;521;465;56;6;32;43;51;71;57;96;73;31;5;0;4;4;8;2;9;11;13;5;0
Vlaams Gewest;Bijzondere beroepsbekwaamheid;Palliatieve zorg;467;417;50;1;12;21;27;44;53;80;106;62;11;0;1;6;8;3;9;7;9;6;1
Vlaams Gewest;Bijzondere beroepstitel;Geriatrie;1651;1334;317;11;63;112;153;224;204;243;204;97;23;0;11;17;22;43;52;66;63;35;8
Vlaams Gewest;Bijzondere beroepstitel;Oncologie;2011;1785;226;72;159;184;248;276;267;248;191;120;20;5;11;14;25;39;24;33;34;37;4
Vlaams Gewest;Bijzondere beroepstitel;Intensieve zorg en spoedgevallenzorg;6964;4773;2191;292;776;745;649;705;597;405;316;221;67;80;275;224;295;297;238;266;262;183;71
Vlaams Gewest;Bijzondere beroepstitel;Pediatrie en de neonatologie;2622;2540;82;134;397;345;333;333;318;296;235;130;19;1;11;16;8;5;9;11;16;5;0
Vlaams Gewest;Bijzondere beroepstitel;Geestelijke gezondheidszorg en psychiatrie;1682;1120;562;13;58;99;154;179;218;151;152;80;16;2;7;38;48;84;93;81;107;91;11
Vlaams Gewest;Bijzondere beroepstitel;Peri-operatieve zorgen;1265;1009;256;9;52;141;145;184;164;171;108;33;2;0;7;28;31;43;22;59;49;17;0
Waals Gewest;Bijzondere beroepsbekwaamheid;Geriatrie;657;581;76;0;19;56;97;97;87;108;70;35;12;0;3;7;15;16;12;11;5;4;3
Waals Gewest;Bijzondere beroepsbekwaamheid;Geestelijke gezondheidszorg en psychiatrie;664;539;125;0;13;34;56;89;73;112;104;50;8;0;2;15;15;24;30;12;21;6;0
Waals Gewest;Bijzondere beroepsbekwaamheid;Diabetologie;296;274;22;0;18;13;35;43;42;48;43;25;7;0;2;3;7;2;4;1;2;1;0
Waals Gewest;Bijzondere beroepsbekwaamheid;Palliatieve zorg;377;350;27;2;24;24;43;32;55;59;71;34;6;0;1;6;1;5;3;3;6;2;0
Waals Gewest;Bijzondere beroepstitel;Geriatrie;473;415;58;8;46;53;66;58;60;50;42;26;6;0;4;1;12;17;12;5;7;0;0
Waals Gewest;Bijzondere beroepstitel;Oncologie;847;757;90;41;106;97;109;108;99;73;70;49;5;3;7;13;7;17;18;10;5;8;2
Waals Gewest;Bijzondere beroepstitel;Intensieve zorg en spoedgevallenzorg;4236;3078;1158;174;530;467;435;452;367;314;195;113;31;39;201;182;175;187;151;98;67;50;8
Waals Gewest;Bijzondere beroepstitel;Pediatrie en de neonatologie;1730;1678;52;87;317;314;276;246;143;141;99;43;12;2;5;14;11;8;8;1;3;0;0
Waals Gewest;Bijzondere beroepstitel;Geestelijke gezondheidszorg en psychiatrie;826;578;248;16;51;61;86;125;83;66;51;35;4;1;16;28;37;56;40;29;22;17;2
Waals Gewest;Bijzondere beroepstitel;Peri-operatieve zorgen;699;596;103;29;99;86;88;104;69;68;41;11;1;1;15;21;14;29;9;8;5;0;1
Brussels Hoofdstedelijk Gewest;Bijzondere beroepsbekwaamheid;Geriatrie;128;107;21;0;5;9;19;12;22;17;16;5;2;0;0;2;8;6;1;3;1;0;0
Brussels Hoofdstedelijk Gewest;Bijzondere beroepsbekwaamheid;Geestelijke gezondheidszorg en psychiatrie;52;46;6;2;1;3;5;5;7;5;9;7;2;0;1;0;1;0;1;0;3;0;0
Brussels Hoofdstedelijk Gewest;Bijzondere beroepsbekwaamheid;Diabetologie;46;39;7;0;2;2;8;6;9;4;6;0;2;0;0;2;0;1;0;2;1;1;0
Brussels Hoofdstedelijk Gewest;Bijzondere beroepsbekwaamheid;Palliatieve zorg;42;34;8;0;0;1;2;3;6;7;9;5;1;0;1;2;0;1;1;2;1;0;0
Brussels Hoofdstedelijk Gewest;Bijzondere beroepstitel;Geriatrie;100;80;20;1;8;13;13;8;8;12;12;2;3;0;0;2;4;4;1;3;3;2;1
Brussels Hoofdstedelijk Gewest;Bijzondere beroepstitel;Oncologie;198;177;21;6;36;21;24;18;20;18;17;16;1;0;2;2;7;4;1;2;1;1;1
Brussels Hoofdstedelijk Gewest;Bijzondere beroepstitel;Intensieve zorg en spoedgevallenzorg;543;371;172;26;116;62;49;30;30;21;17;12;8;7;49;39;23;21;10;5;9;7;2
Brussels Hoofdstedelijk Gewest;Bijzondere beroepstitel;Pediatrie en de neonatologie;379;362;17;29;83;62;58;35;30;22;26;15;2;3;2;5;1;4;1;1;0;0;0
Brussels Hoofdstedelijk Gewest;Bijzondere beroepstitel;Geestelijke gezondheidszorg en psychiatrie;156;114;42;5;15;21;15;16;8;14;12;7;1;2;5;9;4;6;8;4;2;2;0
Brussels Hoofdstedelijk Gewest;Bijzondere beroepstitel;Peri-operatieve zorgen;131;98;33;5;7;18;12;12;15;11;11;7;0;1;3;7;14;2;1;2;2;1;0
Vlaams Brabant;Bijzondere beroepsbekwaamheid;Geriatrie;243;218;25;0;3;8;18;28;34;51;49;21;6;0;1;1;2;3;6;4;4;4;0
Vlaams Brabant;Bijzondere beroepsbekwaamheid;Geestelijke gezondheidszorg en psychiatrie;127;96;31;0;1;6;9;8;6;26;20;16;4;0;0;2;1;1;2;1;10;14;0
Vlaams Brabant;Bijzondere beroepsbekwaamheid;Diabetologie;107;95;12;2;8;13;7;15;12;16;13;8;1;0;2;2;0;1;0;1;5;1;0
Vlaams Brabant;Bijzondere beroepsbekwaamheid;Palliatieve zorg;59;53;6;0;0;0;4;2;9;13;17;7;1;0;0;0;0;1;0;3;1;1;0
Vlaams Brabant;Bijzondere beroepstitel;Geriatrie;286;230;56;3;14;13;21;38;31;43;47;16;4;0;3;2;1;7;11;9;16;6;1
Vlaams Brabant;Bijzondere beroepstitel;Oncologie;395;353;42;24;32;29;45;50;55;48;42;23;5;1;1;1;4;5;5;8;7;9;1
Vlaams Brabant;Bijzondere beroepstitel;Intensieve zorg en spoedgevallenzorg;1330;899;431;42;138;130;111;110;106;98;88;60;16;13;57;29;52;50;43;51;67;54;15
Vlaams Brabant;Bijzondere beroepstitel;Pediatrie en de neonatologie;566;544;22;23;80;74;68;70;50;70;61;44;4;1;2;2;1;0;3;2;7;4;0
Vlaams Brabant;Bijzondere beroepstitel;Geestelijke gezondheidszorg en psychiatrie;278;186;92;2;8;12;21;29;27;24;36;21;6;0;2;4;5;10;10;16;22;20;3
Vlaams Brabant;Bijzondere beroepstitel;Peri-operatieve zorgen;225;188;37;2;11;28;20;43;33;29;14;8;0;0;3;7;4;5;2;9;4;3;0
West-Vlaanderen;Bijzondere beroepsbekwaamheid;Geriatrie;810;748;62;0;14;42;87;128;101;141;164;59;12;0;1;5;6;12;9;16;7;5;1
West-Vlaanderen;Bijzondere beroepsbekwaamheid;Geestelijke gezondheidszorg en psychiatrie;531;447;84;0;11;37;60;57;49;67;84;75;7;0;2;6;11;7;15;19;14;8;2
West-Vlaanderen;Bijzondere beroepsbekwaamheid;Diabetologie;113;98;15;0;7;11;12;16;13;10;23;6;0;0;0;2;4;0;1;3;5;0;0
West-Vlaanderen;Bijzondere beroepsbekwaamheid;Palliatieve zorg;79;73;6;0;0;2;7;10;8;8;19;17;2;0;0;0;0;0;3;0;1;2;0
West-Vlaanderen;Bijzondere beroepstitel;Geriatrie;343;271;72;3;7;29;43;53;33;44;35;20;4;0;1;4;6;8;13;16;13;10;1
West-Vlaanderen;Bijzondere beroepstitel;Oncologie;389;346;43;12;27;30;48;63;62;57;25;19;3;2;3;2;6;11;6;4;5;4;0
West-Vlaanderen;Bijzondere beroepstitel;Intensieve zorg en spoedgevallenzorg;1394;939;455;53;136;147;134;147;128;75;51;48;20;21;54;49;58;59;44;42;66;38;24
West-Vlaanderen;Bijzondere beroepstitel;Pediatrie en de neonatologie;508;495;13;22;77;76;64;47;65;61;54;28;1;0;0;4;0;1;2;3;3;0;0
West-Vlaanderen;Bijzondere beroepstitel;Geestelijke gezondheidszorg en psychiatrie;397;250;147;1;16;26;33;43;47;34;32;16;2;0;2;8;9;26;25;18;28;28;3
West-Vlaanderen;Bijzondere beroepstitel;Peri-operatieve zorgen;251;182;69;2;12;26;31;34;31;25;17;4;0;0;1;8;14;10;9;8;16;3;0
Oost-Vlaanderen;Bijzondere beroepsbekwaamheid;Geriatrie;661;615;46;0;8;47;73;89;93;123;124;46;12;0;1;4;9;7;5;7;7;6;0
Oost-Vlaanderen;Bijzondere beroepsbekwaamheid;Geestelijke gezondheidszorg en psychiatrie;254;183;71;1;1;21;24;15;27;40;36;15;3;0;0;7;2;6;6;13;19;15;3
Oost-Vlaanderen;Bijzondere beroepsbekwaamheid;Diabetologie;118;106;12;2;6;9;14;15;10;28;14;5;3;0;0;0;3;0;4;3;1;1;0
Oost-Vlaanderen;Bijzondere beroepsbekwaamheid;Palliatieve zorg;118;105;13;0;4;5;6;11;11;21;23;20;4;0;1;2;1;2;2;2;3;0;0
Oost-Vlaanderen;Bijzondere beroepstitel;Geriatrie;432;350;82;2;12;26;42;60;62;61;59;20;6;0;2;1;8;16;12;20;13;8;2
Oost-Vlaanderen;Bijzondere beroepstitel;Oncologie;541;485;56;13;49;53;71;83;62;59;57;34;4;1;4;5;8;9;7;4;7;10;1
Oost-Vlaanderen;Bijzondere beroepstitel;Intensieve zorg en spoedgevallenzorg;1628;1133;495;77;180;154;143;178;152;98;73;57;21;13;68;63;66;67;52;62;52;35;17
Oost-Vlaanderen;Bijzondere beroepstitel;Pediatrie en de neonatologie;619;601;18;44;92;60;86;82;92;59;49;29;8;0;6;2;1;2;1;2;3;1;0
Oost-Vlaanderen;Bijzondere beroepstitel;Geestelijke gezondheidszorg en psychiatrie;417;276;141;5;12;26;53;43;61;27;31;15;3;1;2;8;23;23;29;17;20;17;1
Oost-Vlaanderen;Bijzondere beroepstitel;Peri-operatieve zorgen;341;275;66;1;12;31;38;47;50;59;30;6;1;0;0;6;8;16;7;13;11;5;0
Antwerpen;Bijzondere beroepsbekwaamheid;Geriatrie;463;429;34;2;2;24;37;41;64;83;106;56;14;0;0;0;3;3;7;4;6;9;2
Antwerpen;Bijzondere beroepsbekwaamheid;Geestelijke gezondheidszorg en psychiatrie;188;155;33;0;6;9;12;13;24;31;34;23;3;0;2;3;1;5;5;6;6;5;0
Antwerpen;Bijzondere beroepsbekwaamheid;Diabetologie;125;110;15;2;8;5;14;13;13;28;17;9;1;0;2;0;1;1;3;3;2;3;0
Antwerpen;Bijzondere beroepsbekwaamheid;Palliatieve zorg;160;138;22;1;7;12;7;13;15;29;37;15;2;0;0;3;5;0;4;2;4;3;1
Antwerpen;Bijzondere beroepstitel;Geriatrie;433;351;82;2;22;29;27;50;58;71;52;33;7;0;4;7;5;9;12;16;18;8;3
Antwerpen;Bijzondere beroepstitel;Oncologie;473;416;57;17;33;44;50;52;61;62;57;34;6;0;3;3;4;11;4;9;12;9;2
Antwerpen;Bijzondere beroepstitel;Intensieve zorg en spoedgevallenzorg;1719;1173;546;79;221;185;174;169;130;94;71;41;9;22;60;52;89;79;65;68;54;45;12
Antwerpen;Bijzondere beroepstitel;Pediatrie en de neonatologie;668;644;24;34;107;89;78;98;79;73;56;24;6;0;2;6;5;2;2;4;3;0;0
Antwerpen;Bijzondere beroepstitel;Geestelijke gezondheidszorg en psychiatrie;378;273;105;2;15;21;32;49;44;46;38;22;4;1;0;10;6;14;18;14;23;15;4
Antwerpen;Bijzondere beroepstitel;Peri-operatieve zorgen;314;255;59;4;11;40;35;43;36;41;32;12;1;0;1;5;4;6;3;20;14;6;0
Limburg;Bijzondere beroepsbekwaamheid;Geriatrie;261;237;24;0;5;24;32;45;33;36;33;21;8;0;0;7;3;5;2;2;4;1;0
Limburg;Bijzondere beroepsbekwaamheid;Geestelijke gezondheidszorg en psychiatrie;186;139;47;0;6;22;17;17;17;19;21;20;0;0;1;3;7;2;5;8;3;10;8
Limburg;Bijzondere beroepsbekwaamheid;Diabetologie;58;56;2;0;3;5;4;12;9;14;6;3;0;0;0;0;0;0;1;1;0;0;0
Limburg;Bijzondere beroepsbekwaamheid;Palliatieve zorg;51;48;3;0;1;2;3;8;10;9;10;3;2;0;0;1;2;0;0;0;0;0;0
Limburg;Bijzondere beroepstitel;Geriatrie;157;132;25;1;8;15;20;23;20;24;11;8;2;0;1;3;2;3;4;5;3;3;1
Limburg;Bijzondere beroepstitel;Oncologie;213;185;28;6;18;28;34;28;27;22;10;10;2;1;0;3;3;3;2;8;3;5;0
Limburg;Bijzondere beroepstitel;Intensieve zorg en spoedgevallenzorg;893;629;264;41;101;129;87;101;81;40;33;15;1;11;36;31;30;42;34;43;23;11;3
Limburg;Bijzondere beroepstitel;Pediatrie en de neonatologie;261;256;5;11;41;46;37;36;32;33;15;5;0;0;1;2;1;0;1;0;0;0;0
Limburg;Bijzondere beroepstitel;Geestelijke gezondheidszorg en psychiatrie;212;135;77;3;7;14;15;15;39;20;15;6;1;0;1;8;5;11;11;16;14;11;0
Limburg;Bijzondere beroepstitel;Peri-operatieve zorgen;134;109;25;0;6;16;21;17;14;17;15;3;0;0;2;2;1;6;1;9;4;0;0
Waals Brabant;Bijzondere beroepsbekwaamheid;Geriatrie;51;45;6;0;1;2;6;8;6;9;9;3;1;0;1;0;0;2;1;1;1;0;0
Waals Brabant;Bijzondere beroepsbekwaamheid;Geestelijke gezondheidszorg en psychiatrie;26;24;2;0;0;2;0;3;4;9;4;2;0;0;1;0;0;0;0;0;0;1;0
Waals Brabant;Bijzondere beroepsbekwaamheid;Diabetologie;28;28;0;0;1;1;3;4;4;6;6;2;1;0;0;0;0;0;0;0;0;0;0
Waals Brabant;Bijzondere beroepsbekwaamheid;Palliatieve zorg;35;32;3;0;0;2;1;2;1;5;10;10;1;0;0;1;0;0;0;0;2;0;0
Waals Brabant;Bijzondere beroepstitel;Geriatrie;47;45;2;0;7;6;3;6;4;4;9;6;0;0;0;0;1;0;1;0;0;0;0
Waals Brabant;Bijzondere beroepstitel;Oncologie;111;107;4;2;20;11;11;14;15;11;14;7;2;0;1;0;0;1;0;0;0;2;0
Waals Brabant;Bijzondere beroepstitel;Intensieve zorg en spoedgevallenzorg;497;376;121;21;72;54;56;55;37;38;19;17;7;5;19;23;15;18;19;13;5;3;1
Waals Brabant;Bijzondere beroepstitel;Pediatrie en de neonatologie;252;248;4;12;32;42;39;43;24;28;22;5;1;0;0;1;1;0;2;0;0;0;0
Waals Brabant;Bijzondere beroepstitel;Geestelijke gezondheidszorg en psychiatrie;86;71;15;4;5;5;8;18;7;7;11;6;0;0;2;2;4;1;1;3;1;1;0
Waals Brabant;Bijzondere beroepstitel;Peri-operatieve zorgen;104;93;11;8;8;6;13;20;12;12;10;3;1;0;0;4;0;3;1;3;0;0;0
Henegouwen;Bijzondere beroepsbekwaamheid;Geriatrie;183;163;20;0;5;19;24;22;30;35;17;9;2;0;1;2;2;4;3;4;2;1;1
Henegouwen;Bijzondere beroepsbekwaamheid;Geestelijke gezondheidszorg en psychiatrie;256;212;44;0;6;8;21;35;30;47;44;20;1;0;0;4;6;9;10;7;5;3;0
Henegouwen;Bijzondere beroepsbekwaamheid;Diabetologie;106;100;6;0;8;4;6;18;14;13;25;10;2;0;0;0;3;1;1;0;0;1;0
Henegouwen;Bijzondere beroepsbekwaamheid;Palliatieve zorg;104;96;8;0;6;2;19;12;19;17;16;5;0;0;0;2;1;0;1;1;3;0;0
Henegouwen;Bijzondere beroepstitel;Geriatrie;130;110;20;2;11;11;23;10;23;14;11;5;0;0;3;0;4;6;5;2;0;0;0
Henegouwen;Bijzondere beroepstitel;Oncologie;230;198;32;13;19;21;34;31;22;28;16;13;1;1;4;4;2;8;6;1;2;4;0
Henegouwen;Bijzondere beroepstitel;Intensieve zorg en spoedgevallenzorg;1395;1001;394;52;159;149;138;129;133;124;70;37;10;14;73;53;67;57;47;30;33;20;0
Henegouwen;Bijzondere beroepstitel;Pediatrie en de neonatologie;559;544;15;29;107;101;82;92;51;42;25;10;5;1;2;5;2;2;1;1;1;0;0
Henegouwen;Bijzondere beroepstitel;Geestelijke gezondheidszorg en psychiatrie;325;221;104;4;19;26;31;53;32;29;16;11;0;0;7;12;15;23;15;13;12;7;0
Henegouwen;Bijzondere beroepstitel;Peri-operatieve zorgen;133;103;30;3;17;13;19;21;10;12;7;1;0;0;3;2;3;11;4;3;4;0;0
Luik;Bijzondere beroepsbekwaamheid;Geriatrie;304;266;38;0;7;24;50;48;39;43;36;16;3;0;1;2;10;7;7;5;2;2;2
Luik;Bijzondere beroepsbekwaamheid;Geestelijke gezondheidszorg en psychiatrie;212;167;45;0;5;16;25;32;20;31;23;13;2;0;1;6;6;9;12;2;8;1;0
Luik;Bijzondere beroepsbekwaamheid;Diabetologie;90;80;10;0;6;6;16;12;13;12;6;6;3;0;2;1;2;1;2;1;1;0;0
Luik;Bijzondere beroepsbekwaamheid;Palliatieve zorg;144;134;10;2;16;15;15;10;18;23;19;13;3;0;0;1;0;5;1;2;0;1;0
Luik;Bijzondere beroepstitel;Geriatrie;202;180;22;1;17;23;32;31;21;24;19;10;2;0;1;1;2;7;3;3;5;0;0
Luik;Bijzondere beroepstitel;Oncologie;339;305;34;20;47;53;44;45;38;16;21;19;2;2;0;6;3;7;7;6;2;1;0
Luik;Bijzondere beroepstitel;Intensieve zorg en spoedgevallenzorg;1287;929;358;56;162;139;141;160;105;74;59;29;4;11;54;55;63;60;52;30;16;15;2
Luik;Bijzondere beroepstitel;Pediatrie en de neonatologie;597;571;26;26;125;108;99;76;47;39;29;19;3;1;3;5;7;5;3;0;2;0;0
Luik;Bijzondere beroepstitel;Geestelijke gezondheidszorg en psychiatrie;273;187;86;5;20;22;29;33;23;24;14;13;4;1;6;10;10;24;15;8;5;7;0
Luik;Bijzondere beroepstitel;Peri-operatieve zorgen;271;233;38;11;51;39;36;29;27;26;11;3;0;1;7;12;7;8;1;1;0;0;1
Namen;Bijzondere beroepsbekwaamheid;Geriatrie;92;81;11;0;3;8;13;16;11;16;7;4;3;0;0;3;3;3;1;0;0;1;0
Namen;Bijzondere beroepsbekwaamheid;Geestelijke gezondheidszorg en psychiatrie;140;111;29;0;1;6;9;17;16;19;29;10;4;0;0;3;3;5;8;3;6;1;0
Namen;Bijzondere beroepsbekwaamheid;Diabetologie;50;45;5;0;3;2;6;6;7;11;5;5;0;0;0;1;2;0;1;0;1;0;0
Namen;Bijzondere beroepsbekwaamheid;Palliatieve zorg;50;46;4;0;2;2;3;4;9;6;15;5;0;0;0;1;0;0;1;0;1;1;0
Namen;Bijzondere beroepstitel;Geriatrie;65;55;10;3;8;5;7;11;7;6;2;4;2;0;0;0;3;4;1;0;2;0;0
Namen;Bijzondere beroepstitel;Oncologie;133;116;17;5;15;10;15;15;21;14;16;5;0;0;2;1;2;1;5;3;0;1;2
Namen;Bijzondere beroepstitel;Intensieve zorg en spoedgevallenzorg;720;521;199;34;82;91;67;77;60;53;26;24;7;6;41;32;25;36;24;17;9;6;3
Namen;Bijzondere beroepstitel;Pediatrie en de neonatologie;246;241;5;15;39;47;42;30;17;28;14;6;3;0;0;2;1;0;2;0;0;0;0
Namen;Bijzondere beroepstitel;Geestelijke gezondheidszorg en psychiatrie;109;72;37;2;6;5;10;16;16;6;7;4;0;0;1;4;7;7;7;4;3;2;2
Namen;Bijzondere beroepstitel;Peri-operatieve zorgen;133;119;14;5;16;16;15;24;16;13;11;3;0;0;3;2;2;4;1;1;1;0;0
Luxemburg;Bijzondere beroepsbekwaamheid;Geriatrie;27;26;1;0;3;3;4;3;1;5;1;3;3;0;0;0;0;0;0;1;0;0;0
Luxemburg;Bijzondere beroepsbekwaamheid;Geestelijke gezondheidszorg en psychiatrie;30;25;5;0;1;2;1;2;3;6;4;5;1;0;0;2;0;1;0;0;2;0;0
Luxemburg;Bijzondere beroepsbekwaamheid;Diabetologie;22;21;1;0;0;0;4;3;4;6;1;2;1;0;0;1;0;0;0;0;0;0;0
Luxemburg;Bijzondere beroepsbekwaamheid;Palliatieve zorg;44;42;2;0;0;3;5;4;8;8;11;1;2;0;1;1;0;0;0;0;0;0;0
Luxemburg;Bijzondere beroepstitel;Geriatrie;29;25;4;2;3;8;1;0;5;2;1;1;2;0;0;0;2;0;2;0;0;0;0
Luxemburg;Bijzondere beroepstitel;Oncologie;34;31;3;1;5;2;5;3;3;4;3;5;0;0;0;2;0;0;0;0;1;0;0
