Gebied;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Man;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24
;Vlaams Brabant;202.0;186;16;6;46;42;23;28;12;14;9;6;0;1;2;2;2;2;1;0;3;2;1
;West-Vlaanderen;158.0;143;15;15;38;32;19;21;8;4;3;2;1;2;2;2;1;3;1;0;2;0;2
;Oost-Vlaanderen;278.0;248;30;29;63;63;31;28;19;6;5;3;1;3;3;7;2;5;3;2;2;1;2
;Antwerpen;235.0;219;16;17;66;43;35;29;12;9;3;4;1;1;3;1;1;4;0;2;1;3;0
;Limburg;147.0;140;7;8;41;30;21;15;9;3;6;7;0;0;2;1;1;0;0;2;1;0;0
;Waals Brabant;4.0;4;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;Henegouwen;3.0;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Luik;2.0;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Namen;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;"Brussels
Hoofdstedelijk Gewest";10.0;10;0;0;5;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
