Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Man;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22
;Heelkunde;143.0;25;118;0;6;4;7;4;0;1;1;2;0;4;10;7;9;10;14;13;51
;Neurochirurgie;24.0;2;22;0;0;1;0;1;0;0;0;0;0;1;4;2;4;1;1;4;5
;"Plastische, reconstructieve en
esthetische heelkunde";26.0;6;20;0;1;3;0;0;0;1;0;1;0;0;1;4;4;1;4;0;6
;Urologie;61.0;7;54;0;4;1;0;1;1;0;0;0;0;4;6;2;10;6;4;6;16
;Orthopedische heelkunde;148.0;8;140;0;2;0;2;2;1;1;0;0;0;9;14;14;10;15;17;22;39
;Neurologie;54.0;19;35;0;3;5;4;3;3;1;0;0;0;2;1;3;7;0;10;5;7
;Psychiatrie;34.0;13;21;0;0;0;1;1;6;3;1;1;0;0;0;0;3;6;9;1;2
;Neuropsychiatrie;23.0;3;20;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;20
;"Psychiatrie, meer bepaald kinder- en
jeugdpsychiatrie";25.0;20;5;0;3;2;6;2;0;1;0;6;0;0;0;0;1;0;0;1;3
;"Psychiatrie, meer bepaald
volwassenpsychiatrie";83.0;34;49;0;5;9;9;1;0;0;3;7;0;5;1;2;5;0;4;4;28
;Pneumologie;56.0;23;33;0;4;4;9;1;2;3;0;0;0;2;2;1;2;2;5;6;13
;Gastro-enterologie;73.0;19;54;0;5;7;3;2;2;0;0;0;0;2;5;6;6;4;8;7;16
;Cardiologie;96.0;12;84;0;1;3;3;1;2;1;0;1;0;5;8;4;15;8;6;9;29
;Inwendige geneeskunde;117.0;35;82;0;4;9;9;6;2;3;2;0;0;3;2;5;8;8;4;5;47
;Reumatologie;21.0;8;13;0;0;2;0;1;2;1;0;2;0;0;1;2;1;0;1;0;8
;Acute geneeskunde;23.0;9;14;0;1;0;3;3;1;1;0;0;0;0;2;4;2;3;1;2;0
;Gynaecologie-verloskunde;131.0;57;74;0;15;7;10;9;8;6;1;1;0;3;6;0;4;3;10;8;40
;Oftalmologie;134.0;85;49;1;6;7;7;13;12;10;7;22;0;1;2;3;2;4;5;4;28
;Otorhinolaryngologie;78.0;21;57;1;5;3;1;0;5;5;1;0;0;1;3;5;8;2;5;7;26
;Stomatologie;41.0;7;34;0;3;1;0;1;1;0;1;0;0;4;1;6;4;6;3;3;7
;Dermato-venereologie;82.0;52;30;0;9;4;4;10;5;3;4;13;0;1;3;0;2;0;5;3;16
;Pediatrie;148.0;94;54;0;14;11;16;11;12;6;4;20;0;3;2;2;1;7;1;6;32
;Fysische geneeskunde en revalidatie;68.0;27;41;0;5;3;5;3;4;4;3;0;0;2;5;1;3;1;4;7;18
;Klinische biologie;55.0;18;37;0;1;2;1;5;0;3;0;6;0;2;1;4;2;3;1;6;18
;Rontgendiagnose;203.0;38;165;0;9;6;6;5;4;4;2;2;0;11;5;16;7;17;31;28;50
;Radiotherapie - oncologie;26.0;15;11;0;0;0;4;5;3;2;0;1;0;1;0;3;2;0;1;1;3
;Nucleaire geneeskunde;33.0;10;23;0;1;1;2;4;1;1;0;0;0;1;2;1;0;1;2;1;15
;Pathologische anatomie;40.0;14;26;0;4;1;2;4;1;0;0;2;0;1;1;4;3;2;1;3;11
;Medische oncologie;28.0;19;9;0;3;4;3;4;2;1;1;1;0;0;1;0;2;3;1;0;2
;Klinische genetica;1.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;Arbeidsgeneeskunde;118.0;63;55;0;2;1;9;14;6;16;7;8;0;0;0;3;2;1;9;8;32
;"Verzekeringsgeneeskunde en
medische expertise";48.0;10;38;0;0;0;0;3;3;0;3;1;0;0;0;0;0;0;9;9;20
Oost-Vlaanderen;Alle specialiteiten;3518.0;1537;1981;3;244;215;260;239;188;147;100;141;3;158;122;191;202;187;251;246;621
;Geriatrie;52.0;32;20;0;8;4;5;7;2;2;2;2;0;2;1;0;1;3;2;4;7
;Urgentiegeneeskunde;25.0;14;11;0;7;3;3;0;1;0;0;0;0;7;2;2;0;0;0;0;0
;Gerechtelijke geneeskunde;2.0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
;Beheer van gezondheidsgegevens;4.0;2;2;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0
;Anesthesie-reanimatie;342.0;135;207;0;23;22;19;17;18;18;4;14;2;30;19;23;29;22;23;25;34
;Heelkunde;213.0;47;166;0;11;6;11;4;7;1;3;4;0;9;12;18;17;20;15;21;54
;Neurochirurgie;33.0;4;29;0;2;0;0;1;1;0;0;0;0;4;2;6;3;2;2;2;8
