Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Man;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24
;Orthodontie;84.0;63;21;0;3;5;4;8;7;10;9;9;8;0;0;1;1;3;1;1;3;6;5
West-Vlaanderen;Alle specialiteiten;1058.0;486;572;4;47;58;33;48;60;32;62;87;55;1;21;16;15;21;15;20;68;156;239
;Algemeen tandarts;996.0;447;549;4;45;49;32;42;57;27;56;83;52;1;19;15;13;18;12;18;63;154;236
;Parodontologie;22.0;15;7;0;1;5;0;3;2;3;1;0;0;0;2;0;2;1;0;1;1;0;0
;Orthodontie;40.0;24;16;0;1;4;1;3;1;2;5;4;3;0;0;1;0;2;3;1;4;2;3
Oost-Vlaanderen;Alle specialiteiten;1279.0;652;627;7;83;75;33;48;82;57;78;93;96;2;33;46;14;29;33;35;93;145;197
;Algemeen tandarts;1160.0;577;583;7;78;60;26;43;70;44;72;87;90;2;29;37;9;24;31;32;85;141;193
;Parodontologie;40.0;22;18;0;2;5;3;2;4;6;0;0;0;0;2;6;4;2;1;2;1;0;0
;Orthodontie;79.0;53;26;0;3;10;4;3;8;7;6;6;6;0;2;3;1;3;1;1;7;4;4
Antwerpen;Alle specialiteiten;1412.0;694;718;7;52;90;57;46;64;69;121;109;79;1;30;39;29;35;29;41;124;181;209
;Algemeen tandarts;1302.0;617;685;7;48;77;48;39;59;55;108;103;73;1;29;37;24;34;26;40;117;174;203
;Parodontologie;31.0;18;13;0;2;3;3;4;1;3;1;0;1;0;0;2;2;1;2;0;3;1;2
;Orthodontie;79.0;59;20;0;2;10;6;3;4;11;12;6;5;0;1;0;3;0;1;1;4;6;4
Limburg;Alle specialiteiten;711.0;337;374;3;32;35;22;35;41;27;49;65;28;0;17;20;12;19;13;9;61;96;127
;Algemeen tandarts;661.0;305;356;3;31;32;17;33;40;25;42;57;25;0;15;18;10;18;13;8;60;89;125
;Parodontologie;12.0;7;5;0;0;1;0;2;0;1;3;0;0;0;2;0;0;1;0;1;1;0;0
;Orthodontie;38.0;25;13;0;1;2;5;0;1;1;4;8;3;0;0;2;2;0;0;0;0;7;2
Waals Brabant;Alle specialiteiten;596.0;330;266;4;18;27;23;27;33;35;33;61;69;0;6;18;16;14;19;19;37;49;88
;Algemeen tandarts;549.0;299;250;4;16;24;22;24;26;30;30;60;63;0;6;16;15;13;18;17;35;45;85
;Parodontologie;8.0;2;6;0;0;0;0;1;0;1;0;0;0;0;0;1;1;1;0;2;0;1;0
;Orthodontie;39.0;29;10;0;2;3;1;2;7;4;3;1;6;0;0;1;0;0;1;0;2;3;3
Henegouwen;Alle specialiteiten;712.0;338;374;1;24;28;32;25;33;33;53;58;51;0;13;16;19;14;19;24;54;89;126
;Algemeen tandarts;683.0;319;364;1;24;27;30;24;29;30;51;55;48;0;13;16;19;14;19;23;51;84;125
;Parodontologie;4.0;3;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;Orthodontie;25.0;16;9;0;0;0;2;1;3;2;2;3;3;0;0;0;0;0;0;0;3;5;1
Luik;Alle specialiteiten;1034.0;487;547;5;72;52;42;46;36;44;54;71;65;1;32;29;25;30;14;36;100;114;166
;Algemeen tandarts;952.0;431;521;5;65;47;31;39;33;37;50;67;57;1;32;25;22;27;11;36;94;111;162
;Parodontologie;18.0;11;7;0;1;1;5;2;0;2;0;0;0;0;0;2;1;1;2;0;1;0;0
;Orthodontie;64.0;45;19;0;6;4;6;5;3;5;4;4;8;0;0;2;2;2;1;0;5;3;4
Namen;Alle specialiteiten;343.0;169;174;1;10;19;10;12;14;18;27;22;36;0;8;3;5;11;10;10;31;33;63
;Algemeen tandarts;327.0;157;170;1;10;19;9;10;12;15;24;22;35;0;8;3;5;10;10;10;29;33;62
;Parodontologie;4.0;2;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0
;Orthodontie;12.0;10;2;0;0;0;1;1;2;3;2;0;1;0;0;0;0;0;0;0;1;0;1
Luxemburg;Alle specialiteiten;173.0;83;90;1;11;6;2;7;4;11;15;13;13;0;2;4;3;4;5;8;18;23;23
;Algemeen tandarts;163.0;78;85;1;11;6;1;7;4;10;13;13;12;0;2;2;3;4;4;7;17;23;23
;Orthodontie;10.0;5;5;0;0;0;1;0;0;1;2;0;1;0;0;2;0;0;1;1;1;0;0
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;1236.0;610;626;2;93;92;48;53;41;62;58;59;102;2;61;79;48;44;32;55;86;86;133
;Algemeen tandarts;1147.0;562;585;2;90;82;43;46;37;54;52;57;99;2;57;69;45;38;26;54;80;85;129
;Parodontologie;19.0;7;12;0;0;2;3;1;0;0;1;0;0;0;2;2;0;4;0;1;2;0;1
;Orthodontie;70.0;41;29;0;3;8;2;6;4;8;5;2;3;0;2;8;3;2;6;0;4;1;3
