gebied;specialiteit;totaal;totaal_vrouwen;totaal_mannen;vrouwen_min20;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_min20;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
Prov Luik;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);16835;14693;2142;0;557;1330;1505;1786;1684;1575;1663;1673;1147;1773;0;60;266;271;355;341;222;198;228;91;110
Prov Namen;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);8123;7198;925;0;235;583;639;774;750;789;923;880;643;982;0;40;139;119;136;158;96;104;72;38;23
Prov Luxemburg;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);3863;3435;428;0;124;257;320;409;378;394;491;406;294;362;0;16;51;46;62;85;25;63;47;19;14
Prov Brussels hoofdstedelijk gewest;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);9359;8085;1274;0;318;1001;809;842;768;740;891;899;562;1255;0;51;227;226;222;153;121;113;89;43;29
België;GEEN ERKENNING;153515;135186;18329;1;5569;10151;10569;13536;13900;14939;18599;16808;11898;19216;0;809;1898;1686;2157;2089;1984;2398;2460;1353;1495
België;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;10213;7085;3128;0;432;1207;1104;1199;1015;879;602;437;169;41;0;129;428;435;514;404;401;367;302;109;39
België;BIJZONDERE BEROEPSTITEL - GERIATRIE;2061;1694;367;0;33;131;188;275;248;290;270;193;58;8;0;2;11;30;50;61;69;72;53;17;2
België;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;2787;2461;326;0;73;268;309;420;368;394;310;247;62;10;0;4;19;39;46;61;31;60;45;21;0
België;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;4324;4176;148;0;280;730;657;670;560;500;415;278;82;4;0;2;24;28;27;11;18;26;9;3;0
België;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;2118;1418;700;0;22;113;133;213;296;226;196;172;43;4;0;5;42;49;91;126;118;102;132;35;0
België;BIJZONDERE BEROEPSTITEL - PERI-OPERATIEVE ZORGEN;579;456;123;0;29;78;50;96;54;55;58;31;5;0;0;2;20;16;27;12;12;19;15;0;0
België;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;3267;2982;285;0;5;99;325;418;437;523;622;411;133;9;0;0;8;35;54;44;49;46;37;10;2
België;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;699;623;76;0;2;28;46;75;107;120;130;86;23;6;0;0;6;6;14;9;10;19;11;1;0
België;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;1824;1430;394;0;0;91;136;160;177;243;276;258;85;4;0;0;18;30;37;62;52;92;68;33;2
België;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;617;543;74;0;3;14;32;56;59;81;141;122;34;1;0;0;4;6;7;10;10;18;16;3;0
Gewest Vlaanderen;GEEN ERKENNING;100359;87791;12568;1;4111;6520;6753;8657;8879;9831;12400;10856;7577;12206;0;590;1161;985;1279;1243;1413;1752;1843;1071;1231
Gewest Vlaanderen;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;6062;4094;1968;0;232;677;629;705;586;519;324;287;111;24;0;72;209;252;298;230;276;280;221;97;33
Gewest Vlaanderen;BIJZONDERE BEROEPSTITEL - GERIATRIE;1534;1239;295;0;12;78;126;198;182;223;227;143;44;6;0;1;8;19;32;49;57;63;49;15;2
Gewest Vlaanderen;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;1829;1607;222;0;29;145;191;274;252;286;222;155;45;8;0;3;8;20;33;37;21;48;35;17;0
Gewest Vlaanderen;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;2412;2327;85;0;129;363;305;353;337;331;272;178;58;1;0;1;13;10;12;2;13;22;9;3;0
Gewest Vlaanderen;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;1381;907;474;0;6;59;76;102;207;169;141;111;33;3;0;1;19;19;50;84;80;79;111;31;0
Gewest Vlaanderen;BIJZONDERE BEROEPSTITEL - PERI-OPERATIEVE ZORGEN;316;242;74;0;2;26;21;51;36;38;42;22;4;0;0;0;5;8;15;9;9;14;14;0;0
Gewest Vlaanderen;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;2502;2303;199;0;2;69;233;303;325;402;522;332;109;6;0;0;3;25;29;32;32;41;29;6;2
Gewest Vlaanderen;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;413;363;50;0;1;19;26;43;57;75;80;52;7;3;0;0;3;4;6;5;9;15;8;0;0
Gewest Vlaanderen;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;1249;964;285;0;0;75;99;106;108;157;177;177;62;3;0;0;16;20;23;34;33;70;58;29;2
Gewest Vlaanderen;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;419;367;52;0;0;8;18;41;36;58;95;89;21;1;0;0;3;3;4;8;9;12;10;3;0
Gewest Wallonië;GEEN ERKENNING;45192;40450;4742;0;1202;2851;3188;4207;4379;4488;5422;5163;3787;5763;0;184;558;523;711;716;474;555;541;243;237
Gewest Wallonië;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;3708;2684;1024;0;177;455;411;453;397;333;258;136;52;12;0;44;187;157;189;163;116;79;73;12;4
Gewest Wallonië;BIJZONDERE BEROEPSTITEL - GERIATRIE;435;380;55;0;20;46;50;62;58;54;37;40;12;1;0;1;2;9;13;12;8;7;3;0;0
Gewest Wallonië;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;768;684;84;0;37;90;94;124;101;86;71;67;13;1;0;1;10;13;8;22;10;9;8;3;0
Gewest Wallonië;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;1566;1517;49;0;126;284;293;267;188;148;113;76;20;2;0;0;8;14;12;7;5;3;0;0;0
Gewest Wallonië;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;616;428;188;0;12;40;48;98;79;50;43;50;7;1;0;2;16;25;32;38;32;20;19;4;0
Gewest Wallonië;BIJZONDERE BEROEPSTITEL - PERI-OPERATIEVE ZORGEN;234;189;45;0;26;45;28;39;15;15;14;7;0;0;0;2;15;7;11;3;3;3;1;0;0
Gewest Wallonië;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;655;586;69;0;2;29;82;103;94;101;87;64;22;2;0;0;3;7;21;9;13;5;8;3;0
Gewest Wallonië;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;246;227;19;0;1;6;19;25;44;39;45;30;15;3;0;0;2;1;7;4;0;2;3;0;0
Gewest Wallonië;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;527;428;99;0;0;15;33;51;65;80;91;73;19;1;0;0;1;9;12;28;15;21;9;4;0
Gewest Wallonië;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;171;153;18;0;3;6;13;12;23;18;41;25;12;0;0;0;1;3;3;1;0;5;5;0;0
Gewest Brussels hoofdstedelijk gewest;GEEN ERKENNING;7964;6945;1019;0;256;780;628;672;642;620;777;789;534;1247;0;35;179;178;167;130;97;91;76;39;27
Gewest Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;443;307;136;0;23;75;64;41;32;27;20;14;6;5;0;13;32;26;27;11;9;8;8;0;2
Gewest Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - GERIATRIE;92;75;17;0;1;7;12;15;8;13;6;10;2;1;0;0;1;2;5;0;4;2;1;2;0
Gewest Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;190;170;20;0;7;33;24;22;15;22;17;25;4;1;0;0;1;6;5;2;0;3;2;1;0
Gewest Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;346;332;14;0;25;83;59;50;35;21;30;24;4;1;0;1;3;4;3;2;0;1;0;0;0
Gewest Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;121;83;38;0;4;14;9;13;10;7;12;11;3;0;0;2;7;5;9;4;6;3;2;0;0
Gewest Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - PERI-OPERATIEVE ZORGEN;29;25;4;0;1;7;1;6;3;2;2;2;1;0;0;0;0;1;1;0;0;2;0;0;0
Gewest Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;110;93;17;0;1;1;10;12;18;20;13;15;2;1;0;0;2;3;4;3;4;0;0;1;0
Gewest Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;40;33;7;0;0;3;1;7;6;6;5;4;1;0;0;0;1;1;1;0;1;2;0;1;0
Gewest Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;48;38;10;0;0;1;4;3;4;6;8;8;4;0;0;0;1;1;2;0;4;1;1;0;0
Gewest Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;27;23;4;0;0;0;1;3;0;5;5;8;1;0;0;0;0;0;0;1;1;1;1;0;0
Prov Vlaams Brabant;GEEN ERKENNING;16399;14220;2179;0;537;895;903;1304;1417;1654;2238;2030;1347;1895;0;80;188;168;178;204;231;322;371;213;224
Prov Vlaams Brabant;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;1188;807;381;0;43;133;111;111;101;110;84;80;29;5;0;14;34;37;47;38;48;64;68;19;12
Prov Vlaams Brabant;BIJZONDERE BEROEPSTITEL - GERIATRIE;263;210;53;0;1;16;11;34;34;29;47;32;6;0;0;0;2;3;2;14;5;14;10;3;0
Prov Vlaams Brabant;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;349;304;45;0;12;17;33;46;57;50;44;33;9;3;0;1;0;2;6;7;3;15;9;2;0
Prov Vlaams Brabant;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;536;511;25;0;32;83;58;70;59;62;73;60;14;0;0;0;2;2;1;1;4;7;7;1;0
Prov Vlaams Brabant;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;238;158;80;0;1;13;10;16;28;23;28;27;11;1;0;1;0;5;5;11;14;15;20;9;0
Prov Vlaams Brabant;BIJZONDERE BEROEPSTITEL - PERI-OPERATIEVE ZORGEN;42;37;5;0;0;5;3;7;7;5;7;3;0;0;0;0;0;1;1;0;0;1;2;0;0
Prov Vlaams Brabant;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;243;223;20;0;0;5;9;26;27;50;57;36;12;1;0;0;0;0;2;3;3;6;5;1;0
Prov Vlaams Brabant;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;82;73;9;0;0;4;9;8;10;16;9;15;1;1;0;0;1;1;1;0;0;6;0;0;0
Prov Vlaams Brabant;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;119;87;32;0;0;8;5;5;11;13;21;17;6;1;0;0;0;3;1;1;1;10;8;8;0
Prov Vlaams Brabant;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;50;44;6;0;0;0;2;4;3;9;11;12;3;0;0;0;0;0;0;0;2;3;1;0;0
Prov West-Vlaanderen;GEEN ERKENNING;21563;19068;2495;1;1069;1643;1651;1871;1859;1853;2487;2274;1678;2682;0;141;249;202;269;234;258;334;345;222;241
Prov West-Vlaanderen;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;1227;813;414;0;40;131;128;152;114;104;55;53;28;8;0;15;47;55;64;38;48;60;48;30;9
Prov West-Vlaanderen;BIJZONDERE BEROEPSTITEL - GERIATRIE;327;258;69;0;0;18;33;53;34;46;32;31;10;1;0;0;3;5;7;9;15;14;13;3;0
Prov West-Vlaanderen;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;364;321;43;0;5;27;35;58;54;64;45;24;9;0;0;0;3;3;13;7;4;8;3;2;0
Prov West-Vlaanderen;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;475;461;14;0;22;82;69;51;63;67;63;33;11;0;0;0;3;2;1;1;2;5;0;0;0
Prov West-Vlaanderen;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;360;221;139;0;3;16;22;23;39;52;35;27;4;0;0;0;5;4;16;25;27;15;37;10;0
Prov West-Vlaanderen;BIJZONDERE BEROEPSTITEL - PERI-OPERATIEVE ZORGEN;73;47;26;0;0;4;5;11;4;8;8;7;0;0;0;0;2;5;9;3;3;1;3;0;0
Prov West-Vlaanderen;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;827;757;70;0;2;23;73;107;117;123;183;97;30;2;0;0;1;7;11;14;16;12;7;1;1
Prov West-Vlaanderen;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;90;75;15;0;0;5;5;7;16;8;22;12;0;0;0;0;2;2;2;1;1;5;2;0;0
Prov West-Vlaanderen;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;517;432;85;0;0;32;48;57;43;61;72;87;31;1;0;0;7;7;9;14;14;20;10;3;1
Prov West-Vlaanderen;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;77;69;8;0;0;0;1;11;3;11;16;22;5;0;0;0;0;0;0;2;2;1;2;1;0
Prov Oost-Vlaanderen;GEEN ERKENNING;23525;20560;2965;0;973;1409;1533;2000;2138;2411;2867;2488;1767;2974;0;159;259;216;317;312;348;400;470;254;230
Prov Oost-Vlaanderen;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;1411;969;442;0;59;146;133;160;162;119;76;68;37;9;0;17;50;66;62;50;66;56;48;22;5
Prov Oost-Vlaanderen;BIJZONDERE BEROEPSTITEL - GERIATRIE;407;331;76;0;4;18;31;58;52;58;69;32;7;2;0;0;0;3;14;11;20;12;11;4;1
Prov Oost-Vlaanderen;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;489;436;53;0;6;39;50;90;63;76;56;45;9;2;0;1;1;6;7;13;4;7;7;7;0
Prov Oost-Vlaanderen;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;576;561;15;0;34;65;79;94;87;89;58;32;22;1;0;1;2;0;3;0;2;4;1;2;0
Prov Oost-Vlaanderen;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;305;202;103;0;0;10;28;25;57;32;22;22;5;1;0;0;4;6;14;23;15;18;21;2;0
Prov Oost-Vlaanderen;BIJZONDERE BEROEPSTITEL - PERI-OPERATIEVE ZORGEN;86;67;19;0;2;2;5;10;13;14;14;5;2;0;0;0;0;1;3;5;3;5;2;0;0
Prov Oost-Vlaanderen;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;683;637;46;0;0;21;77;85;92;108;152;78;24;0;0;0;1;8;8;6;6;10;6;1;0
Prov Oost-Vlaanderen;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;92;81;11;0;0;3;5;11;13;17;18;9;4;1;0;0;0;0;2;1;4;3;1;0;0
Prov Oost-Vlaanderen;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;257;179;78;0;0;12;21;18;21;33;41;24;8;1;0;0;1;5;4;8;8;25;20;7;0
Prov Oost-Vlaanderen;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;117;104;13;0;0;2;5;10;13;20;24;21;9;0;0;0;1;0;0;3;3;4;2;0;0
Prov Antwerpen;GEEN ERKENNING;23922;20946;2976;0;914;1480;1523;1973;2071;2427;3143;2651;1709;3055;0;110;259;223;285;295;351;457;454;246;296
Prov Antwerpen;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;1477;988;489;0;62;171;174;177;132;118;78;61;13;2;0;15;46;68;85;68;70;65;48;18;6
Prov Antwerpen;BIJZONDERE BEROEPSTITEL - GERIATRIE;401;324;77;0;5;22;30;32;45;70;61;38;19;2;0;1;3;6;7;10;15;19;12;4;0
Prov Antwerpen;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;424;370;54;0;4;35;40;48;55;67;63;45;11;2;0;1;3;5;5;8;3;12;13;4;0
Prov Antwerpen;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;594;569;25;0;30;95;66;96;96;77;56;42;11;0;0;0;4;5;5;0;4;6;1;0;0
Prov Antwerpen;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;296;211;85;0;1;10;11;26;45;44;36;28;10;0;0;0;5;3;9;13;10;17;20;8;0
Prov Antwerpen;BIJZONDERE BEROEPSTITEL - PERI-OPERATIEVE ZORGEN;69;53;16;0;0;9;5;12;8;4;8;5;2;0;0;0;3;1;1;0;1;4;6;0;0
Prov Antwerpen;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;485;446;39;0;0;12;34;38;52;87;96;94;30;3;0;0;0;2;4;8;3;9;10;3;0
Prov Antwerpen;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;94;81;13;0;1;4;3;8;13;18;20;12;1;1;0;0;0;1;1;3;2;1;5;0;0
Prov Antwerpen;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;190;148;42;0;0;10;9;15;17;34;26;24;13;0;0;0;7;2;4;7;4;9;8;1;0
Prov Antwerpen;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;124;102;22;0;0;3;8;7;10;12;32;27;2;1;0;0;2;1;3;3;2;4;5;2;0
Prov Limburg;GEEN ERKENNING;14950;12997;1953;0;618;1093;1143;1509;1394;1486;1665;1413;1076;1600;0;100;206;176;230;198;225;239;203;136;240
Prov Limburg;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;759;517;242;0;28;96;83;105;77;68;31;25;4;0;0;11;32;26;40;36;44;35;9;8;1
Prov Limburg;BIJZONDERE BEROEPSTITEL - GERIATRIE;136;116;20;0;2;4;21;21;17;20;18;10;2;1;0;0;0;2;2;5;2;4;3;1;1
Prov Limburg;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;203;176;27;0;2;27;33;32;23;29;14;8;7;1;0;0;1;4;2;2;7;6;3;2;0
Prov Limburg;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;231;225;6;0;11;38;33;42;32;36;22;11;0;0;0;0;2;1;2;0;1;0;0;0;0
Prov Limburg;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;182;115;67;0;1;10;5;12;38;18;20;7;3;1;0;0;5;1;6;12;14;14;13;2;0
Prov Limburg;BIJZONDERE BEROEPSTITEL - PERI-OPERATIEVE ZORGEN;46;38;8;0;0;6;3;11;4;7;5;2;0;0;0;0;0;0;1;1;2;3;1;0;0
Prov Limburg;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;264;240;24;0;0;8;40;47;37;34;34;27;13;0;0;0;1;8;4;1;4;4;1;0;1
Prov Limburg;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;55;53;2;0;0;3;4;9;5;16;11;4;1;0;0;0;0;0;0;0;2;0;0;0;0
Prov Limburg;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;166;118;48;0;0;13;16;11;16;16;17;25;4;0;0;0;1;3;5;4;6;6;12;10;1
Prov Limburg;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;51;48;3;0;0;3;2;9;7;6;12;7;2;0;0;0;0;2;1;0;0;0;0;0;0
Prov Waals Brabant;GEEN ERKENNING;4428;4091;337;0;99;203;200;337;398;451;634;629;423;717;0;9;40;39;41;50;49;40;38;16;15
Prov Waals Brabant;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;408;301;107;0;14;52;49;51;43;31;27;19;13;2;0;2;28;14;19;13;17;8;4;1;1
Prov Waals Brabant;BIJZONDERE BEROEPSTITEL - GERIATRIE;48;44;4;0;3;8;3;2;8;4;6;9;1;0;0;0;0;0;1;2;1;0;0;0;0
Prov Waals Brabant;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;97;93;4;0;3;10;9;18;13;13;14;9;4;0;0;0;1;0;1;0;0;0;2;0;0
Prov Waals Brabant;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;228;224;4;0;10;31;47;37;34;25;24;16;0;0;0;0;0;1;1;1;1;0;0;0;0
Prov Waals Brabant;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;63;49;14;0;1;3;2;16;8;4;4;10;1;0;0;0;0;5;2;1;4;1;0;1;0
Prov Waals Brabant;BIJZONDERE BEROEPSTITEL - PERI-OPERATIEVE ZORGEN;31;27;4;0;2;4;1;9;4;1;4;2;0;0;0;0;1;1;0;1;1;0;0;0;0
Prov Waals Brabant;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;49;44;5;0;0;1;2;8;5;12;5;10;1;0;0;0;0;0;1;0;2;1;1;0;0
Prov Waals Brabant;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;26;26;0;0;0;2;3;2;6;3;6;1;2;1;0;0;0;0;0;0;0;0;0;0;0
Prov Waals Brabant;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;25;22;3;0;0;0;1;1;3;6;8;1;2;0;0;0;0;0;1;0;0;0;2;0;0
Prov Waals Brabant;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;21;19;2;0;0;0;1;0;2;1;5;5;5;0;0;0;0;1;0;0;0;1;0;0;0
Prov Henegouwen;GEEN ERKENNING;16865;15035;1830;0;453;1040;1154;1607;1729;1750;2108;1871;1381;1942;0;85;203;185;294;257;190;222;220;96;78
Prov Henegouwen;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;1235;889;346;0;48;164;120;127;135;133;95;48;15;4;0;18;51;60;68;42;37;33;35;2;0
Prov Henegouwen;BIJZONDERE BEROEPSTITEL - GERIATRIE;110;93;17;0;2;11;8;18;17;17;10;9;1;0;0;1;1;4;4;3;2;2;0;0;0
Prov Henegouwen;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;213;184;29;0;10;19;31;35;25;23;19;19;3;0;0;1;5;3;2;9;2;3;3;1;0
Prov Henegouwen;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;489;478;11;0;33;108;80;89;61;50;31;18;8;0;0;0;2;5;2;0;1;1;0;0;0
Prov Henegouwen;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;244;166;78;0;5;12;23;33;35;24;18;15;1;0;0;2;9;9;9;20;10;11;8;0;0
Prov Henegouwen;BIJZONDERE BEROEPSTITEL - PERI-OPERATIEVE ZORGEN;49;35;14;0;4;9;4;6;1;4;5;2;0;0;0;0;4;1;4;0;2;2;1;0;0
Prov Henegouwen;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;177;161;16;0;1;6;24;22;30;27;33;15;1;2;0;0;1;1;4;3;2;2;2;1;0
Prov Henegouwen;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;90;84;6;0;0;0;2;11;16;9;24;17;4;1;0;0;0;0;3;1;0;0;2;0;0
