gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
Luxemburg;Alle geestelijke gezondheidszorgbeoefenaars;155;132;23;1;31;19;18;25;24;3;8;3;0;0;3;2;2;4;4;2;3;2;1
Brussels Hoofdstedelijk Gewest;Alle geestelijke gezondheidszorgbeoefenaars;1040;866;174;11;202;172;129;90;88;61;49;40;24;0;20;23;20;23;22;20;17;18;11
België;Klinisch psycholoog;10785;9197;1588;367;2135;1835;1512;1272;841;530;387;227;91;19;172;214;213;228;184;153;185;133;87
Vlaams Gewest;Klinisch psycholoog;6922;5954;968;320;1479;1240;983;792;459;323;219;106;33;15;116;128;126;142;108;85;118;79;51
Waals Gewest;Klinisch psycholoog;2833;2387;446;36;459;424;402;392;294;146;119;81;34;4;36;63;67;63;54;48;50;36;25
Brussels Hoofdstedelijk Gewest;Klinisch psycholoog;1030;856;174;11;197;171;127;88;88;61;49;40;24;0;20;23;20;23;22;20;17;18;11
Vlaams Brabant;Klinisch psycholoog;1554;1348;206;68;329;224;202;199;130;85;63;34;14;0;20;26;24;32;27;19;29;17;12
West-Vlaanderen;Klinisch psycholoog;900;765;135;52;196;157;135;91;53;40;27;11;3;4;14;16;15;23;12;9;21;13;8
Oost-Vlaanderen;Klinisch psycholoog;1955;1649;306;98;398;306;269;244;131;98;61;36;8;3;36;39;43;45;43;28;30;27;12
Antwerpen;Klinisch psycholoog;1737;1499;238;69;370;384;240;184;99;78;49;19;7;2;37;32;37;32;17;25;28;16;12
Limburg;Klinisch psycholoog;776;693;83;33;186;169;137;74;46;22;19;6;1;6;9;15;7;10;9;4;10;6;7
Waals Brabant;Klinisch psycholoog;586;501;85;3;76;85;84;68;90;34;26;28;7;2;3;14;12;13;13;10;7;6;5
Henegouwen;Klinisch psycholoog;687;575;112;13;109;103;83;103;71;45;25;14;9;0;10;13;19;16;15;8;12;6;13
Luik;Klinisch psycholoog;1001;843;158;13;188;146;155;135;75;48;46;27;10;1;15;24;24;22;16;18;20;15;3
Namen;Klinisch psycholoog;404;336;68;6;55;71;62;61;34;16;14;9;8;1;5;10;10;8;6;10;8;7;3
Luxemburg;Klinisch psycholoog;155;132;23;1;31;19;18;25;24;3;8;3;0;0;3;2;2;4;4;2;3;2;1
Brussels Hoofdstedelijk Gewest;Klinisch psycholoog;1030;856;174;11;197;171;127;88;88;61;49;40;24;0;20;23;20;23;22;20;17;18;11
België;Klinisch orthopedagoog;1039;955;84;77;262;211;131;123;62;37;27;22;3;7;12;13;7;14;5;6;9;6;5
Vlaams Gewest;Klinisch orthopedagoog;1020;936;84;75;254;210;129;121;60;36;26;22;3;7;12;13;7;14;5;6;9;6;5
Waals Gewest;Klinisch orthopedagoog;9;9;0;2;3;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Klinisch orthopedagoog;10;10;0;0;5;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vlaams Brabant;Klinisch orthopedagoog;202;186;16;6;46;42;23;28;12;14;9;6;0;1;2;2;2;2;1;0;3;2;1
West-Vlaanderen;Klinisch orthopedagoog;158;143;15;15;38;32;19;21;8;4;3;2;1;2;2;2;1;3;1;0;2;0;2
Oost-Vlaanderen;Klinisch orthopedagoog;278;248;30;29;63;63;31;28;19;6;5;3;1;3;3;7;2;5;3;2;2;1;2
Antwerpen;Klinisch orthopedagoog;235;219;16;17;66;43;35;29;12;9;3;4;1;1;3;1;1;4;0;2;1;3;0
Limburg;Klinisch orthopedagoog;147;140;7;8;41;30;21;15;9;3;6;7;0;0;2;1;1;0;0;2;1;0;0
Waals Brabant;Klinisch orthopedagoog;4;4;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Henegouwen;Klinisch orthopedagoog;3;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Luik;Klinisch orthopedagoog;2;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Namen;Klinisch orthopedagoog;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Klinisch orthopedagoog;10;10;0;0;5;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
