gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
Brussels Hoofdstedelijk Gewest;Geen FOD-erkenning;1914;1331;583;35;196;202;123;112;107;101;104;75;276;5;73;101;67;41;41;47;41;54;113
Vlaams Brabant;Geen FOD-erkenning;2694;1971;723;65;231;218;197;199;200;185;186;122;368;11;57;53;67;51;72;60;67;73;212
West-Vlaanderen;Geen FOD-erkenning;2249;1596;653;86;218;188;138;124;151;133;138;90;330;13;34;39;24;38;39;37;45;50;334
Oost-Vlaanderen;Geen FOD-erkenning;3242;2281;961;107;388;348;166;201;196;202;186;104;383;34;94;96;54;57;77;73;65;62;349
Antwerpen;Geen FOD-erkenning;3263;2309;954;107;347;344;230;190;185;197;197;133;379;19;89;114;55;63;61;60;88;76;329
Limburg;Geen FOD-erkenning;1116;796;320;31;98;131;77;73;74;69;65;32;146;4;27;33;20;30;13;19;25;14;135
Waals Brabant;Geen FOD-erkenning;1149;840;309;14;63;77;76;81;91;112;65;63;198;0;15;28;20;26;32;35;31;22;100
Henegouwen;Geen FOD-erkenning;1822;1291;531;47;111;145;103;113;155;152;114;97;254;6;38;53;37;50;47;50;47;48;155
Luik;Geen FOD-erkenning;2076;1476;600;55;158;158;134;126;134;174;124;86;327;12;51;62;35;39;45;68;47;50;191
Namen;Geen FOD-erkenning;981;708;273;23;60;77;60;86;78;71;71;37;145;8;22;25;19;23;17;24;32;16;87
Luxemburg;Geen FOD-erkenning;419;306;113;20;32;35;30;31;31;40;23;10;54;1;7;8;8;7;14;15;7;6;40
Brussels Hoofdstedelijk Gewest;Geen FOD-erkenning;1914;1331;583;35;196;202;123;112;107;101;104;75;276;5;73;101;67;41;41;47;41;54;113
België;Ziekenhuisapothekers;1061;920;141;0;130;229;173;121;91;80;68;22;6;0;15;39;26;14;15;7;16;9;0
Vlaams Gewest;Ziekenhuisapothekers;644;573;71;0;79;154;103;79;52;46;43;12;5;0;9;16;14;8;10;1;8;5;0
Waals Gewest;Ziekenhuisapothekers;340;289;51;0;39;64;56;35;32;29;23;10;1;0;5;18;9;1;4;6;5;3;0
Brussels Hoofdstedelijk Gewest;Ziekenhuisapothekers;77;58;19;0;12;11;14;7;7;5;2;0;0;0;1;5;3;5;1;0;3;1;0
Vlaams Brabant;Ziekenhuisapothekers;129;110;19;0;10;36;19;20;6;8;6;4;1;0;2;7;4;3;1;1;0;1;0
West-Vlaanderen;Ziekenhuisapothekers;103;90;13;0;20;15;21;9;11;7;6;0;1;0;1;5;1;0;2;0;2;2;0
Oost-Vlaanderen;Ziekenhuisapothekers;184;168;16;0;22;52;30;26;16;12;8;2;0;0;3;1;5;3;3;0;0;1;0
Antwerpen;Ziekenhuisapothekers;172;154;18;0;20;40;23;21;14;11;18;5;2;0;1;3;3;2;2;0;6;1;0
Limburg;Ziekenhuisapothekers;56;51;5;0;7;11;10;3;5;8;5;1;1;0;2;0;1;0;2;0;0;0;0
Waals Brabant;Ziekenhuisapothekers;55;50;5;0;3;8;14;7;8;4;4;2;0;0;0;3;1;0;0;0;0;1;0
Henegouwen;Ziekenhuisapothekers;97;84;13;0;13;14;16;12;9;5;11;4;0;0;2;5;0;1;1;1;2;1;0
Luik;Ziekenhuisapothekers;106;82;24;0;10;20;14;7;12;12;4;2;1;0;3;8;6;0;2;3;2;0;0
Namen;Ziekenhuisapothekers;63;58;5;0;9;16;12;6;3;6;4;2;0;0;0;1;1;0;1;1;0;1;0
Luxemburg;Ziekenhuisapothekers;19;15;4;0;4;6;0;3;0;2;0;0;0;0;0;1;1;0;0;1;1;0;0
Brussels Hoofdstedelijk Gewest;Ziekenhuisapothekers;77;58;19;0;12;11;14;7;7;5;2;0;0;0;1;5;3;5;1;0;3;1;0
