territoire;agrément;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Région wallonne;Titre professionnel particulier;Gériatrie;473;415;58;8;46;53;66;58;60;50;42;26;6;0;4;1;12;17;12;5;7;0;0
Région wallonne;Titre professionnel particulier;Oncologie;847;757;90;41;106;97;109;108;99;73;70;49;5;3;7;13;7;17;18;10;5;8;2
Région wallonne;Titre professionnel particulier;Soins intensifs et d'urgence;4236;3078;1158;174;530;467;435;452;367;314;195;113;31;39;201;182;175;187;151;98;67;50;8
Région wallonne;Titre professionnel particulier;Pédiatrie et néonatologie;1730;1678;52;87;317;314;276;246;143;141;99;43;12;2;5;14;11;8;8;1;3;0;0
Région wallonne;Titre professionnel particulier;Santé mentale et psychiatrie;826;578;248;16;51;61;86;125;83;66;51;35;4;1;16;28;37;56;40;29;22;17;2
Région wallonne;Titre professionnel particulier;Soins péri-opératoires, anesthésie, assistance opératoire et instrumentation;699;596;103;29;99;86;88;104;69;68;41;11;1;1;15;21;14;29;9;8;5;0;1
Région de Bruxelles Capitale;Qualification professionnelle particulière;Gériatrie;128;107;21;0;5;9;19;12;22;17;16;5;2;0;0;2;8;6;1;3;1;0;0
Région de Bruxelles Capitale;Qualification professionnelle particulière;Santé mentale et psychiatrie;52;46;6;2;1;3;5;5;7;5;9;7;2;0;1;0;1;0;1;0;3;0;0
Région de Bruxelles Capitale;Qualification professionnelle particulière;Diabétologie;46;39;7;0;2;2;8;6;9;4;6;0;2;0;0;2;0;1;0;2;1;1;0
Région de Bruxelles Capitale;Qualification professionnelle particulière;Soins palliatifs;42;34;8;0;0;1;2;3;6;7;9;5;1;0;1;2;0;1;1;2;1;0;0
Région de Bruxelles Capitale;Titre professionnel particulier;Gériatrie;100;80;20;1;8;13;13;8;8;12;12;2;3;0;0;2;4;4;1;3;3;2;1
Région de Bruxelles Capitale;Titre professionnel particulier;Oncologie;198;177;21;6;36;21;24;18;20;18;17;16;1;0;2;2;7;4;1;2;1;1;1
Région de Bruxelles Capitale;Titre professionnel particulier;Soins intensifs et d'urgence;543;371;172;26;116;62;49;30;30;21;17;12;8;7;49;39;23;21;10;5;9;7;2
Région de Bruxelles Capitale;Titre professionnel particulier;Pédiatrie et néonatologie;379;362;17;29;83;62;58;35;30;22;26;15;2;3;2;5;1;4;1;1;0;0;0
Région de Bruxelles Capitale;Titre professionnel particulier;Santé mentale et psychiatrie;156;114;42;5;15;21;15;16;8;14;12;7;1;2;5;9;4;6;8;4;2;2;0
Région de Bruxelles Capitale;Titre professionnel particulier;Soins péri-opératoires, anesthésie, assistance opératoire et instrumentation;131;98;33;5;7;18;12;12;15;11;11;7;0;1;3;7;14;2;1;2;2;1;0
Brabant flamand;Qualification professionnelle particulière;Gériatrie;243;218;25;0;3;8;18;28;34;51;49;21;6;0;1;1;2;3;6;4;4;4;0
Brabant flamand;Qualification professionnelle particulière;Santé mentale et psychiatrie;127;96;31;0;1;6;9;8;6;26;20;16;4;0;0;2;1;1;2;1;10;14;0
Brabant flamand;Qualification professionnelle particulière;Diabétologie;107;95;12;2;8;13;7;15;12;16;13;8;1;0;2;2;0;1;0;1;5;1;0
Brabant flamand;Qualification professionnelle particulière;Soins palliatifs;59;53;6;0;0;0;4;2;9;13;17;7;1;0;0;0;0;1;0;3;1;1;0
Brabant flamand;Titre professionnel particulier;Gériatrie;286;230;56;3;14;13;21;38;31;43;47;16;4;0;3;2;1;7;11;9;16;6;1
Brabant flamand;Titre professionnel particulier;Oncologie;395;353;42;24;32;29;45;50;55;48;42;23;5;1;1;1;4;5;5;8;7;9;1
Brabant flamand;Titre professionnel particulier;Soins intensifs et d'urgence;1330;899;431;42;138;130;111;110;106;98;88;60;16;13;57;29;52;50;43;51;67;54;15
Brabant flamand;Titre professionnel particulier;Pédiatrie et néonatologie;566;544;22;23;80;74;68;70;50;70;61;44;4;1;2;2;1;0;3;2;7;4;0
Brabant flamand;Titre professionnel particulier;Santé mentale et psychiatrie;278;186;92;2;8;12;21;29;27;24;36;21;6;0;2;4;5;10;10;16;22;20;3
Brabant flamand;Titre professionnel particulier;Soins péri-opératoires, anesthésie, assistance opératoire et instrumentation;225;188;37;2;11;28;20;43;33;29;14;8;0;0;3;7;4;5;2;9;4;3;0
Flandre occidentale;Qualification professionnelle particulière;Gériatrie;810;748;62;0;14;42;87;128;101;141;164;59;12;0;1;5;6;12;9;16;7;5;1
Flandre occidentale;Qualification professionnelle particulière;Santé mentale et psychiatrie;531;447;84;0;11;37;60;57;49;67;84;75;7;0;2;6;11;7;15;19;14;8;2
Flandre occidentale;Qualification professionnelle particulière;Diabétologie;113;98;15;0;7;11;12;16;13;10;23;6;0;0;0;2;4;0;1;3;5;0;0
Flandre occidentale;Qualification professionnelle particulière;Soins palliatifs;79;73;6;0;0;2;7;10;8;8;19;17;2;0;0;0;0;0;3;0;1;2;0
Flandre occidentale;Titre professionnel particulier;Gériatrie;343;271;72;3;7;29;43;53;33;44;35;20;4;0;1;4;6;8;13;16;13;10;1
Flandre occidentale;Titre professionnel particulier;Oncologie;389;346;43;12;27;30;48;63;62;57;25;19;3;2;3;2;6;11;6;4;5;4;0
Flandre occidentale;Titre professionnel particulier;Soins intensifs et d'urgence;1394;939;455;53;136;147;134;147;128;75;51;48;20;21;54;49;58;59;44;42;66;38;24
Flandre occidentale;Titre professionnel particulier;Pédiatrie et néonatologie;508;495;13;22;77;76;64;47;65;61;54;28;1;0;0;4;0;1;2;3;3;0;0
Flandre occidentale;Titre professionnel particulier;Santé mentale et psychiatrie;397;250;147;1;16;26;33;43;47;34;32;16;2;0;2;8;9;26;25;18;28;28;3
Flandre occidentale;Titre professionnel particulier;Soins péri-opératoires, anesthésie, assistance opératoire et instrumentation;251;182;69;2;12;26;31;34;31;25;17;4;0;0;1;8;14;10;9;8;16;3;0
Flandre orientale;Qualification professionnelle particulière;Gériatrie;661;615;46;0;8;47;73;89;93;123;124;46;12;0;1;4;9;7;5;7;7;6;0
Flandre orientale;Qualification professionnelle particulière;Santé mentale et psychiatrie;254;183;71;1;1;21;24;15;27;40;36;15;3;0;0;7;2;6;6;13;19;15;3
Flandre orientale;Qualification professionnelle particulière;Diabétologie;118;106;12;2;6;9;14;15;10;28;14;5;3;0;0;0;3;0;4;3;1;1;0
Flandre orientale;Qualification professionnelle particulière;Soins palliatifs;118;105;13;0;4;5;6;11;11;21;23;20;4;0;1;2;1;2;2;2;3;0;0
Flandre orientale;Titre professionnel particulier;Gériatrie;432;350;82;2;12;26;42;60;62;61;59;20;6;0;2;1;8;16;12;20;13;8;2
Flandre orientale;Titre professionnel particulier;Oncologie;541;485;56;13;49;53;71;83;62;59;57;34;4;1;4;5;8;9;7;4;7;10;1
Flandre orientale;Titre professionnel particulier;Soins intensifs et d'urgence;1628;1133;495;77;180;154;143;178;152;98;73;57;21;13;68;63;66;67;52;62;52;35;17
Flandre orientale;Titre professionnel particulier;Pédiatrie et néonatologie;619;601;18;44;92;60;86;82;92;59;49;29;8;0;6;2;1;2;1;2;3;1;0
Flandre orientale;Titre professionnel particulier;Santé mentale et psychiatrie;417;276;141;5;12;26;53;43;61;27;31;15;3;1;2;8;23;23;29;17;20;17;1
Flandre orientale;Titre professionnel particulier;Soins péri-opératoires, anesthésie, assistance opératoire et instrumentation;341;275;66;1;12;31;38;47;50;59;30;6;1;0;0;6;8;16;7;13;11;5;0
Anvers;Qualification professionnelle particulière;Gériatrie;463;429;34;2;2;24;37;41;64;83;106;56;14;0;0;0;3;3;7;4;6;9;2
Anvers;Qualification professionnelle particulière;Santé mentale et psychiatrie;188;155;33;0;6;9;12;13;24;31;34;23;3;0;2;3;1;5;5;6;6;5;0
Anvers;Qualification professionnelle particulière;Diabétologie;125;110;15;2;8;5;14;13;13;28;17;9;1;0;2;0;1;1;3;3;2;3;0
Anvers;Qualification professionnelle particulière;Soins palliatifs;160;138;22;1;7;12;7;13;15;29;37;15;2;0;0;3;5;0;4;2;4;3;1
Anvers;Titre professionnel particulier;Gériatrie;433;351;82;2;22;29;27;50;58;71;52;33;7;0;4;7;5;9;12;16;18;8;3
Anvers;Titre professionnel particulier;Oncologie;473;416;57;17;33;44;50;52;61;62;57;34;6;0;3;3;4;11;4;9;12;9;2
Anvers;Titre professionnel particulier;Soins intensifs et d'urgence;1719;1173;546;79;221;185;174;169;130;94;71;41;9;22;60;52;89;79;65;68;54;45;12
Anvers;Titre professionnel particulier;Pédiatrie et néonatologie;668;644;24;34;107;89;78;98;79;73;56;24;6;0;2;6;5;2;2;4;3;0;0
Anvers;Titre professionnel particulier;Santé mentale et psychiatrie;378;273;105;2;15;21;32;49;44;46;38;22;4;1;0;10;6;14;18;14;23;15;4
Anvers;Titre professionnel particulier;Soins péri-opératoires, anesthésie, assistance opératoire et instrumentation;314;255;59;4;11;40;35;43;36;41;32;12;1;0;1;5;4;6;3;20;14;6;0
Limbourg;Qualification professionnelle particulière;Gériatrie;261;237;24;0;5;24;32;45;33;36;33;21;8;0;0;7;3;5;2;2;4;1;0
Limbourg;Qualification professionnelle particulière;Santé mentale et psychiatrie;186;139;47;0;6;22;17;17;17;19;21;20;0;0;1;3;7;2;5;8;3;10;8
Limbourg;Qualification professionnelle particulière;Diabétologie;58;56;2;0;3;5;4;12;9;14;6;3;0;0;0;0;0;0;1;1;0;0;0
Limbourg;Qualification professionnelle particulière;Soins palliatifs;51;48;3;0;1;2;3;8;10;9;10;3;2;0;0;1;2;0;0;0;0;0;0
Limbourg;Titre professionnel particulier;Gériatrie;157;132;25;1;8;15;20;23;20;24;11;8;2;0;1;3;2;3;4;5;3;3;1
Limbourg;Titre professionnel particulier;Oncologie;213;185;28;6;18;28;34;28;27;22;10;10;2;1;0;3;3;3;2;8;3;5;0
Limbourg;Titre professionnel particulier;Soins intensifs et d'urgence;893;629;264;41;101;129;87;101;81;40;33;15;1;11;36;31;30;42;34;43;23;11;3
Limbourg;Titre professionnel particulier;Pédiatrie et néonatologie;261;256;5;11;41;46;37;36;32;33;15;5;0;0;1;2;1;0;1;0;0;0;0
Limbourg;Titre professionnel particulier;Santé mentale et psychiatrie;212;135;77;3;7;14;15;15;39;20;15;6;1;0;1;8;5;11;11;16;14;11;0
Limbourg;Titre professionnel particulier;Soins péri-opératoires, anesthésie, assistance opératoire et instrumentation;134;109;25;0;6;16;21;17;14;17;15;3;0;0;2;2;1;6;1;9;4;0;0
Brabant Wallon;Qualification professionnelle particulière;Gériatrie;51;45;6;0;1;2;6;8;6;9;9;3;1;0;1;0;0;2;1;1;1;0;0
Brabant Wallon;Qualification professionnelle particulière;Santé mentale et psychiatrie;26;24;2;0;0;2;0;3;4;9;4;2;0;0;1;0;0;0;0;0;0;1;0
Brabant Wallon;Qualification professionnelle particulière;Diabétologie;28;28;0;0;1;1;3;4;4;6;6;2;1;0;0;0;0;0;0;0;0;0;0
Brabant Wallon;Qualification professionnelle particulière;Soins palliatifs;35;32;3;0;0;2;1;2;1;5;10;10;1;0;0;1;0;0;0;0;2;0;0
Brabant Wallon;Titre professionnel particulier;Gériatrie;47;45;2;0;7;6;3;6;4;4;9;6;0;0;0;0;1;0;1;0;0;0;0
Brabant Wallon;Titre professionnel particulier;Oncologie;111;107;4;2;20;11;11;14;15;11;14;7;2;0;1;0;0;1;0;0;0;2;0
Brabant Wallon;Titre professionnel particulier;Soins intensifs et d'urgence;497;376;121;21;72;54;56;55;37;38;19;17;7;5;19;23;15;18;19;13;5;3;1
Brabant Wallon;Titre professionnel particulier;Pédiatrie et néonatologie;252;248;4;12;32;42;39;43;24;28;22;5;1;0;0;1;1;0;2;0;0;0;0
Brabant Wallon;Titre professionnel particulier;Santé mentale et psychiatrie;86;71;15;4;5;5;8;18;7;7;11;6;0;0;2;2;4;1;1;3;1;1;0
Brabant Wallon;Titre professionnel particulier;Soins péri-opératoires, anesthésie, assistance opératoire et instrumentation;104;93;11;8;8;6;13;20;12;12;10;3;1;0;0;4;0;3;1;3;0;0;0
Hainaut;Qualification professionnelle particulière;Gériatrie;183;163;20;0;5;19;24;22;30;35;17;9;2;0;1;2;2;4;3;4;2;1;1
Hainaut;Qualification professionnelle particulière;Santé mentale et psychiatrie;256;212;44;0;6;8;21;35;30;47;44;20;1;0;0;4;6;9;10;7;5;3;0
Hainaut;Qualification professionnelle particulière;Diabétologie;106;100;6;0;8;4;6;18;14;13;25;10;2;0;0;0;3;1;1;0;0;1;0
Hainaut;Qualification professionnelle particulière;Soins palliatifs;104;96;8;0;6;2;19;12;19;17;16;5;0;0;0;2;1;0;1;1;3;0;0
Hainaut;Titre professionnel particulier;Gériatrie;130;110;20;2;11;11;23;10;23;14;11;5;0;0;3;0;4;6;5;2;0;0;0
Hainaut;Titre professionnel particulier;Oncologie;230;198;32;13;19;21;34;31;22;28;16;13;1;1;4;4;2;8;6;1;2;4;0
Hainaut;Titre professionnel particulier;Soins intensifs et d'urgence;1395;1001;394;52;159;149;138;129;133;124;70;37;10;14;73;53;67;57;47;30;33;20;0
Hainaut;Titre professionnel particulier;Pédiatrie et néonatologie;559;544;15;29;107;101;82;92;51;42;25;10;5;1;2;5;2;2;1;1;1;0;0
Hainaut;Titre professionnel particulier;Santé mentale et psychiatrie;325;221;104;4;19;26;31;53;32;29;16;11;0;0;7;12;15;23;15;13;12;7;0
Hainaut;Titre professionnel particulier;Soins péri-opératoires, anesthésie, assistance opératoire et instrumentation;133;103;30;3;17;13;19;21;10;12;7;1;0;0;3;2;3;11;4;3;4;0;0
Liège;Qualification professionnelle particulière;Gériatrie;304;266;38;0;7;24;50;48;39;43;36;16;3;0;1;2;10;7;7;5;2;2;2
Liège;Qualification professionnelle particulière;Santé mentale et psychiatrie;212;167;45;0;5;16;25;32;20;31;23;13;2;0;1;6;6;9;12;2;8;1;0
Liège;Qualification professionnelle particulière;Diabétologie;90;80;10;0;6;6;16;12;13;12;6;6;3;0;2;1;2;1;2;1;1;0;0
Liège;Qualification professionnelle particulière;Soins palliatifs;144;134;10;2;16;15;15;10;18;23;19;13;3;0;0;1;0;5;1;2;0;1;0
Liège;Titre professionnel particulier;Gériatrie;202;180;22;1;17;23;32;31;21;24;19;10;2;0;1;1;2;7;3;3;5;0;0
Liège;Titre professionnel particulier;Oncologie;339;305;34;20;47;53;44;45;38;16;21;19;2;2;0;6;3;7;7;6;2;1;0
Liège;Titre professionnel particulier;Soins intensifs et d'urgence;1287;929;358;56;162;139;141;160;105;74;59;29;4;11;54;55;63;60;52;30;16;15;2
Liège;Titre professionnel particulier;Pédiatrie et néonatologie;597;571;26;26;125;108;99;76;47;39;29;19;3;1;3;5;7;5;3;0;2;0;0
Liège;Titre professionnel particulier;Santé mentale et psychiatrie;273;187;86;5;20;22;29;33;23;24;14;13;4;1;6;10;10;24;15;8;5;7;0
Liège;Titre professionnel particulier;Soins péri-opératoires, anesthésie, assistance opératoire et instrumentation;271;233;38;11;51;39;36;29;27;26;11;3;0;1;7;12;7;8;1;1;0;0;1
Namur;Qualification professionnelle particulière;Gériatrie;92;81;11;0;3;8;13;16;11;16;7;4;3;0;0;3;3;3;1;0;0;1;0
Namur;Qualification professionnelle particulière;Santé mentale et psychiatrie;140;111;29;0;1;6;9;17;16;19;29;10;4;0;0;3;3;5;8;3;6;1;0
Namur;Qualification professionnelle particulière;Diabétologie;50;45;5;0;3;2;6;6;7;11;5;5;0;0;0;1;2;0;1;0;1;0;0
Namur;Qualification professionnelle particulière;Soins palliatifs;50;46;4;0;2;2;3;4;9;6;15;5;0;0;0;1;0;0;1;0;1;1;0
Namur;Titre professionnel particulier;Gériatrie;65;55;10;3;8;5;7;11;7;6;2;4;2;0;0;0;3;4;1;0;2;0;0
Namur;Titre professionnel particulier;Oncologie;133;116;17;5;15;10;15;15;21;14;16;5;0;0;2;1;2;1;5;3;0;1;2
Namur;Titre professionnel particulier;Soins intensifs et d'urgence;720;521;199;34;82;91;67;77;60;53;26;24;7;6;41;32;25;36;24;17;9;6;3
Namur;Titre professionnel particulier;Pédiatrie et néonatologie;246;241;5;15;39;47;42;30;17;28;14;6;3;0;0;2;1;0;2;0;0;0;0
Namur;Titre professionnel particulier;Santé mentale et psychiatrie;109;72;37;2;6;5;10;16;16;6;7;4;0;0;1;4;7;7;7;4;3;2;2
Namur;Titre professionnel particulier;Soins péri-opératoires, anesthésie, assistance opératoire et instrumentation;133;119;14;5;16;16;15;24;16;13;11;3;0;0;3;2;2;4;1;1;1;0;0
Luxembourg;Qualification professionnelle particulière;Gériatrie;27;26;1;0;3;3;4;3;1;5;1;3;3;0;0;0;0;0;0;1;0;0;0
Luxembourg;Qualification professionnelle particulière;Santé mentale et psychiatrie;30;25;5;0;1;2;1;2;3;6;4;5;1;0;0;2;0;1;0;0;2;0;0
Luxembourg;Qualification professionnelle particulière;Diabétologie;22;21;1;0;0;0;4;3;4;6;1;2;1;0;0;1;0;0;0;0;0;0;0
Luxembourg;Qualification professionnelle particulière;Soins palliatifs;44;42;2;0;0;3;5;4;8;8;11;1;2;0;1;1;0;0;0;0;0;0;0
Luxembourg;Titre professionnel particulier;Gériatrie;29;25;4;2;3;8;1;0;5;2;1;1;2;0;0;0;2;0;2;0;0;0;0
Luxembourg;Titre professionnel particulier;Oncologie;34;31;3;1;5;2;5;3;3;4;3;5;0;0;0;2;0;0;0;0;1;0;0
Luxembourg;Titre professionnel particulier;Soins intensifs et d'urgence;337;251;86;11;55;34;33;31;32;25;21;6;3;3;14;19;5;16;9;8;4;6;2
Luxembourg;Titre professionnel particulier;Pédiatrie et néonatologie;76;74;2;5;14;16;14;5;4;4;9;3;0;0;0;1;0;1;0;0;0;0;0
Luxembourg;Titre professionnel particulier;Santé mentale et psychiatrie;33;27;6;1;1;3;8;5;5;0;3;1;0;0;0;0;1;1;2;1;1;0;0
Luxembourg;Titre professionnel particulier;Soins péri-opératoires, anesthésie, assistance opératoire et instrumentation;58;48;10;2;7;12;5;10;4;5;2;1;0;0;2;1;2;3;2;0;0;0;0
Région de Bruxelles Capitale;Qualification professionnelle particulière;Gériatrie;128;107;21;0;5;9;19;12;22;17;16;5;2;0;0;2;8;6;1;3;1;0;0
Région de Bruxelles Capitale;Qualification professionnelle particulière;Santé mentale et psychiatrie;52;46;6;2;1;3;5;5;7;5;9;7;2;0;1;0;1;0;1;0;3;0;0
Région de Bruxelles Capitale;Qualification professionnelle particulière;Diabétologie;46;39;7;0;2;2;8;6;9;4;6;0;2;0;0;2;0;1;0;2;1;1;0
Région de Bruxelles Capitale;Qualification professionnelle particulière;Soins palliatifs;42;34;8;0;0;1;2;3;6;7;9;5;1;0;1;2;0;1;1;2;1;0;0
Région de Bruxelles Capitale;Titre professionnel particulier;Gériatrie;100;80;20;1;8;13;13;8;8;12;12;2;3;0;0;2;4;4;1;3;3;2;1
