territoire;spécialité;total;genre_femme;genre_homme;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54
Liège;Hématologie clinique;2;2;0;0;2;0;0;0;0;0;0;0;0;0
Namur;Toutes les spécialités;6;2;4;0;2;0;0;0;0;3;0;1;0;0
Namur;Chirurgie orale et maxillo - faciale;2;0;2;0;0;0;0;0;0;2;0;0;0;0
Namur;Soins intensifs;3;1;2;0;1;0;0;0;0;1;0;1;0;0
Namur;Endocrino-diabétologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0
Luxembourg;Toutes les spécialités;2;1;1;0;1;0;0;0;0;0;1;0;0;0
Luxembourg;Réadaptation fonctionnelle et professionnelle des handicapés;1;0;1;0;0;0;0;0;0;0;1;0;0;0
Luxembourg;Néonatologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Toutes les spécialités;26;14;12;0;10;1;2;1;0;11;0;1;0;0
Région de Bruxelles Capitale;Réadaptation fonctionnelle et professionnelle des handicapés;4;3;1;0;2;0;0;1;0;1;0;0;0;0
Région de Bruxelles Capitale;Chirurgie orale et maxillo - faciale;2;1;1;0;1;0;0;0;0;1;0;0;0;0
Région de Bruxelles Capitale;Soins intensifs;6;4;2;0;2;0;2;0;0;1;0;1;0;0
Région de Bruxelles Capitale;Neurologie pédiatrique;2;1;1;0;1;0;0;0;0;1;0;0;0;0
Région de Bruxelles Capitale;Néphrologie;2;0;2;0;0;0;0;0;0;2;0;0;0;0
Région de Bruxelles Capitale;Endocrino-diabétologie;3;1;2;0;0;1;0;0;0;2;0;0;0;0
Région de Bruxelles Capitale;Oncologie;2;2;0;0;2;0;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Hématologie clinique;5;2;3;0;2;0;0;0;0;3;0;0;0;0
