Gebied-Specialiteit;Unnamed: 1;Unnamed: 2;Totaal;Geslacht;Unnamed: 5;Vrouw;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Man;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24
;Namen;"Zonder toelating om
voor te schrijven";451.0;450;1;17;82;46;43;33;55;35;55;16;68;0;0;0;0;0;0;0;1;0
;Luxemburg;"Zonder toelating om
voor te schrijven";204.0;202;2;15;27;14;18;18;27;31;23;11;18;0;1;0;0;0;0;0;0;1
;"Brussels
Hoofdstedelijk Gewest";"Zonder toelating om
voor te schrijven";703.0;694;9;40;183;147;46;40;30;63;48;27;70;1;1;1;2;1;2;0;0;1
;België;"Voorschrift
geneesmiddelen";866.0;860;6;188;294;98;94;56;46;43;32;9;0;0;2;1;0;0;1;0;1;1
;Vlaams Gewest;"Voorschrift
geneesmiddelen";435.0;431;4;82;141;46;64;33;19;25;18;3;0;0;2;1;0;0;1;0;0;0
;Waals Gewest;"Voorschrift
geneesmiddelen";319.0;317;2;83;108;32;22;16;23;17;13;3;0;0;0;0;0;0;0;0;1;1
;"Brussels
Hoofdstedelijk Gewest";"Voorschrift
geneesmiddelen";112.0;112;0;23;45;20;8;7;4;1;1;3;0;0;0;0;0;0;0;0;0;0
;Vlaams Brabant;"Voorschrift
geneesmiddelen";109.0;109;0;20;33;10;15;12;4;9;5;1;0;0;0;0;0;0;0;0;0;0
;West-Vlaanderen;"Voorschrift
geneesmiddelen";70.0;69;1;18;22;5;9;7;2;3;2;1;0;0;1;0;0;0;0;0;0;0
;Oost-Vlaanderen;"Voorschrift
geneesmiddelen";113.0;113;0;21;34;14;19;3;9;5;7;1;0;0;0;0;0;0;0;0;0;0
;Antwerpen;"Voorschrift
geneesmiddelen";96.0;93;3;13;30;16;13;8;4;6;3;0;0;0;1;1;0;0;1;0;0;0
;Limburg;"Voorschrift
geneesmiddelen";47.0;47;0;10;22;1;8;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0
;Waals Brabant;"Voorschrift
geneesmiddelen";37.0;37;0;7;13;4;2;3;6;0;2;0;0;0;0;0;0;0;0;0;0;0
;Henegouwen;"Voorschrift
geneesmiddelen";121.0;119;2;34;35;14;8;4;8;12;4;0;0;0;0;0;0;0;0;0;1;1
;Luik;"Voorschrift
geneesmiddelen";59.0;59;0;19;18;4;3;3;4;4;2;2;0;0;0;0;0;0;0;0;0;0
;Namen;"Voorschrift
geneesmiddelen";61.0;61;0;10;28;6;9;3;2;0;2;1;0;0;0;0;0;0;0;0;0;0
;Luxemburg;"Voorschrift
geneesmiddelen";41.0;41;0;13;14;4;0;3;3;1;3;0;0;0;0;0;0;0;0;0;0;0
;"Brussels
Hoofdstedelijk Gewest";"Voorschrift
geneesmiddelen";112.0;112;0;23;45;20;8;7;4;1;1;3;0;0;0;0;0;0;0;0;0;0
