territoire;spécialité;total;genre_femme;genre_homme;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_55-59;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54
Région wallonne;Hématologie clinique;1;1;0;1;0;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Toutes les spécialités;33;23;10;17;4;1;1;0;8;1;1;0;0
Région de Bruxelles Capitale;Réadaptation fonctionnelle et professionnelle des handicapés;4;3;1;2;0;0;1;0;0;0;1;0;0
Région de Bruxelles Capitale;Chirurgie orale et maxillo - faciale;3;2;1;2;0;0;0;0;1;0;0;0;0
Région de Bruxelles Capitale;Soins intensifs;6;3;3;2;0;1;0;0;2;1;0;0;0
Région de Bruxelles Capitale;Neurologie pédiatrique;3;3;0;3;0;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Néphrologie;4;2;2;2;0;0;0;0;2;0;0;0;0
Région de Bruxelles Capitale;Médecine d'urgence;3;1;2;1;0;0;0;0;2;0;0;0;0
Région de Bruxelles Capitale;Endocrino-diabétologie;3;3;0;2;1;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Néonatologie;2;1;1;1;0;0;0;0;1;0;0;0;0
Région de Bruxelles Capitale;Oncologie;3;3;0;1;2;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Hématologie et oncologie pédiatrique;1;1;0;0;1;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Hématologie clinique;1;1;0;1;0;0;0;0;0;0;0;0;0
Brabant flamand;Toutes les spécialités;44;23;21;16;3;2;2;0;17;1;2;1;0
Brabant flamand;Réadaptation fonctionnelle et professionnelle des handicapés;6;3;3;2;0;0;1;0;2;1;0;0;0
Brabant flamand;Chirurgie orale et maxillo - faciale;1;0;1;0;0;0;0;0;1;0;0;0;0
Brabant flamand;Soins intensifs;15;4;11;3;0;0;1;0;10;0;1;0;0
Brabant flamand;Neurologie pédiatrique;3;3;0;3;0;0;0;0;0;0;0;0;0
Brabant flamand;Néphrologie;2;1;1;1;0;0;0;0;1;0;0;0;0
Brabant flamand;Médecine d'urgence;6;3;3;1;1;1;0;0;1;0;1;1;0
Brabant flamand;Endocrino-diabétologie;4;3;1;1;1;1;0;0;1;0;0;0;0
Brabant flamand;Néonatologie;2;2;0;1;1;0;0;0;0;0;0;0;0
Brabant flamand;Oncologie;2;2;0;2;0;0;0;0;0;0;0;0;0
Brabant flamand;Hématologie et oncologie pédiatrique;1;1;0;1;0;0;0;0;0;0;0;0;0
Brabant flamand;Hématologie clinique;2;1;1;1;0;0;0;0;1;0;0;0;0
Flandre occidentale;Toutes les spécialités;16;9;7;7;2;0;0;0;6;0;0;0;1
Flandre occidentale;Réadaptation fonctionnelle et professionnelle des handicapés;5;2;3;1;1;0;0;0;2;0;0;0;1
Flandre occidentale;Chirurgie orale et maxillo - faciale;1;0;1;0;0;0;0;0;1;0;0;0;0
Flandre occidentale;Soins intensifs;5;4;1;3;1;0;0;0;1;0;0;0;0
Flandre occidentale;Neurologie pédiatrique;1;1;0;1;0;0;0;0;0;0;0;0;0
Flandre occidentale;Médecine d'urgence;2;1;1;1;0;0;0;0;1;0;0;0;0
Flandre occidentale;Oncologie;2;1;1;1;0;0;0;0;1;0;0;0;0
Flandre orientale;Toutes les spécialités;26;13;13;12;1;0;0;0;13;0;0;0;0
Flandre orientale;Réadaptation fonctionnelle et professionnelle des handicapés;3;1;2;1;0;0;0;0;2;0;0;0;0
Flandre orientale;Chirurgie orale et maxillo - faciale;1;0;1;0;0;0;0;0;1;0;0;0;0
Flandre orientale;Soins intensifs;7;4;3;4;0;0;0;0;3;0;0;0;0
Flandre orientale;Neurologie pédiatrique;1;1;0;1;0;0;0;0;0;0;0;0;0
Flandre orientale;Néphrologie;3;3;0;3;0;0;0;0;0;0;0;0;0
Flandre orientale;Médecine d'urgence;4;2;2;2;0;0;0;0;2;0;0;0;0
Flandre orientale;Endocrino-diabétologie;4;1;3;1;0;0;0;0;3;0;0;0;0
Flandre orientale;Oncologie;2;1;1;0;1;0;0;0;1;0;0;0;0
Flandre orientale;Hématologie clinique;1;0;1;0;0;0;0;0;1;0;0;0;0
Anvers;Toutes les spécialités;27;17;10;14;1;2;0;0;9;0;1;0;0
Anvers;Réadaptation fonctionnelle et professionnelle des handicapés;4;1;3;1;0;0;0;0;3;0;0;0;0
Anvers;Chirurgie orale et maxillo - faciale;1;1;0;1;0;0;0;0;0;0;0;0;0
Anvers;Soins intensifs;6;4;2;4;0;0;0;0;2;0;0;0;0
Anvers;Neurologie pédiatrique;2;1;1;1;0;0;0;0;1;0;0;0;0
Anvers;Médecine d'urgence;6;4;2;2;0;2;0;0;1;0;1;0;0
Anvers;Néonatologie;1;1;0;1;0;0;0;0;0;0;0;0;0
Anvers;Oncologie;4;3;1;2;1;0;0;0;1;0;0;0;0
Anvers;Hématologie et oncologie pédiatrique;1;1;0;1;0;0;0;0;0;0;0;0;0
Anvers;Hématologie clinique;2;1;1;1;0;0;0;0;1;0;0;0;0
Limbourg;Toutes les spécialités;9;2;7;2;0;0;0;0;6;1;0;0;0
Limbourg;Réadaptation fonctionnelle et professionnelle des handicapés;1;0;1;0;0;0;0;0;0;1;0;0;0
Limbourg;Soins intensifs;5;2;3;2;0;0;0;0;3;0;0;0;0
Limbourg;Néphrologie;1;0;1;0;0;0;0;0;1;0;0;0;0
Limbourg;Médecine d'urgence;2;0;2;0;0;0;0;0;2;0;0;0;0
Brabant Wallon;Toutes les spécialités;4;1;3;0;0;0;1;0;1;0;0;2;0
Brabant Wallon;Soins intensifs;1;0;1;0;0;0;0;0;0;0;0;1;0
Brabant Wallon;Médecine d'urgence;2;1;1;0;0;0;1;0;0;0;0;1;0
Brabant Wallon;Oncologie;1;0;1;0;0;0;0;0;1;0;0;0;0
Hainaut;Toutes les spécialités;5;3;2;1;1;0;1;0;2;0;0;0;0
Hainaut;Réadaptation fonctionnelle et professionnelle des handicapés;1;1;0;0;0;0;1;0;0;0;0;0;0
Hainaut;Neurologie pédiatrique;1;1;0;1;0;0;0;0;0;0;0;0;0
Hainaut;Néphrologie;1;0;1;0;0;0;0;0;1;0;0;0;0
Hainaut;Médecine d'urgence;1;1;0;0;1;0;0;0;0;0;0;0;0
Hainaut;Néonatologie;1;0;1;0;0;0;0;0;1;0;0;0;0
Liège;Toutes les spécialités;19;12;7;10;0;1;0;1;5;1;0;0;1
Liège;Réadaptation fonctionnelle et professionnelle des handicapés;3;2;1;1;0;1;0;0;0;1;0;0;0
Liège;Chirurgie orale et maxillo - faciale;1;1;0;1;0;0;0;0;0;0;0;0;0
Liège;Soins intensifs;4;3;1;2;0;0;0;1;1;0;0;0;0
Liège;Neurologie pédiatrique;2;1;1;1;0;0;0;0;1;0;0;0;0
Liège;Néphrologie;3;1;2;1;0;0;0;0;2;0;0;0;0
Liège;Médecine d'urgence;2;1;1;1;0;0;0;0;0;0;0;0;1
Liège;Oncologie;3;2;1;2;0;0;0;0;1;0;0;0;0
Liège;Hématologie et oncologie pédiatrique;1;1;0;1;0;0;0;0;0;0;0;0;0
Namur;Toutes les spécialités;6;5;1;5;0;0;0;0;1;0;0;0;0
Namur;Réadaptation fonctionnelle et professionnelle des handicapés;1;1;0;1;0;0;0;0;0;0;0;0;0
Namur;Neurologie pédiatrique;1;1;0;1;0;0;0;0;0;0;0;0;0
Namur;Oncologie;2;1;1;1;0;0;0;0;1;0;0;0;0
Namur;Hématologie et oncologie pédiatrique;1;1;0;1;0;0;0;0;0;0;0;0;0
Namur;Hématologie clinique;1;1;0;1;0;0;0;0;0;0;0;0;0
Luxembourg;Toutes les spécialités;1;0;1;0;0;0;0;0;0;1;0;0;0
Luxembourg;Réadaptation fonctionnelle et professionnelle des handicapés;1;0;1;0;0;0;0;0;0;1;0;0;0
Région de Bruxelles Capitale;Toutes les spécialités;33;23;10;17;4;1;1;0;8;1;1;0;0
Région de Bruxelles Capitale;Réadaptation fonctionnelle et professionnelle des handicapés;4;3;1;2;0;0;1;0;0;0;1;0;0
Région de Bruxelles Capitale;Chirurgie orale et maxillo - faciale;3;2;1;2;0;0;0;0;1;0;0;0;0
Région de Bruxelles Capitale;Soins intensifs;6;3;3;2;0;1;0;0;2;1;0;0;0
Région de Bruxelles Capitale;Neurologie pédiatrique;3;3;0;3;0;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Néphrologie;4;2;2;2;0;0;0;0;2;0;0;0;0
Région de Bruxelles Capitale;Médecine d'urgence;3;1;2;1;0;0;0;0;2;0;0;0;0
Région de Bruxelles Capitale;Endocrino-diabétologie;3;3;0;2;1;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Néonatologie;2;1;1;1;0;0;0;0;1;0;0;0;0
Région de Bruxelles Capitale;Oncologie;3;3;0;1;2;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Hématologie et oncologie pédiatrique;1;1;0;0;1;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Hématologie clinique;1;1;0;1;0;0;0;0;0;0;0;0;0
