gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
West-Vlaanderen;Zonder bijzondere beroepsbekwaamheid (BB);3496;2011;1485;179;321;106;118;234;247;187;173;185;261;65;153;52;61;138;133;122;173;180;408
Oost-Vlaanderen;Zonder bijzondere beroepsbekwaamheid (BB);4282;2709;1573;188;476;163;213;329;314;242;254;193;337;77;251;84;62;140;133;133;169;166;358
Antwerpen;Zonder bijzondere beroepsbekwaamheid (BB);4701;2898;1803;211;541;220;226;301;305;277;282;254;281;92;309;155;93;148;153;125;155;171;402
Limburg;Zonder bijzondere beroepsbekwaamheid (BB);2358;1373;985;116;255;116;108;150;183;103;94;106;142;38;183;84;48;96;103;59;67;93;214
Waals Brabant;Zonder bijzondere beroepsbekwaamheid (BB);2203;1400;803;101;205;143;72;148;120;98;164;139;210;36;133;84;40;79;88;62;86;75;120
Henegouwen;Zonder bijzondere beroepsbekwaamheid (BB);3978;2049;1929;123;345;208;133;191;192;211;195;162;289;80;299;189;61;164;197;168;181;182;408
Luik;Zonder bijzondere beroepsbekwaamheid (BB);3743;2144;1599;162;365;249;130;235;186;205;193;187;232;79;284;138;64;162;158;148;151;153;262
Namen;Zonder bijzondere beroepsbekwaamheid (BB);1878;1059;819;89;179;124;74;90;86;119;94;82;122;45;126;70;35;72;99;70;72;84;146
Luxemburg;Zonder bijzondere beroepsbekwaamheid (BB);1270;757;513;78;147;121;61;93;65;50;64;26;52;47;108;72;33;50;43;38;37;31;54
Brussels Hoofdstedelijk Gewest;Zonder bijzondere beroepsbekwaamheid (BB);2884;1662;1222;135;366;184;75;93;99;106;137;141;326;68;297;185;84;72;76;68;71;98;203
België;Cardiovasculaire kinesitherapie;159;93;66;0;12;11;10;15;17;14;12;2;0;0;5;5;8;10;7;8;12;8;3
België;Manuele therapie;1508;797;711;0;130;274;149;93;58;41;29;14;9;0;70;160;101;96;89;53;61;47;34
België;Neurologische kinesitherapie;380;288;92;1;35;59;51;44;26;36;21;14;1;0;3;10;11;23;14;15;7;4;5
België;Pediatrische kinesitherapie;718;657;61;0;61;150;125;108;70;49;59;23;12;0;1;10;6;12;7;8;6;7;4
België;Bekkenbodemreëducatie en perinatale kinesitherapie;453;434;19;0;6;57;59;79;72;64;52;38;7;0;0;0;2;0;4;2;4;3;4
België;Respiratoire kinesitherapie;240;161;79;1;19;33;23;24;21;15;14;7;4;0;4;13;9;12;12;5;11;7;6
Vlaams Gewest;Cardiovasculaire kinesitherapie;95;54;41;0;8;9;5;5;12;8;6;1;0;0;2;1;5;6;4;4;9;7;3
Vlaams Gewest;Manuele therapie;1304;714;590;0;120;240;139;80;57;36;24;11;7;0;55;117;91;78;78;47;52;44;28
Vlaams Gewest;Neurologische kinesitherapie;255;196;59;1;29;41;38;25;18;24;10;9;1;0;2;6;8;13;12;9;6;1;2
Vlaams Gewest;Pediatrische kinesitherapie;564;524;40;0;54;117;101;87;57;38;43;17;10;0;1;4;4;8;3;7;3;6;4
Vlaams Gewest;Bekkenbodemreëducatie en perinatale kinesitherapie;308;299;9;0;3;36;43;52;53;46;36;25;5;0;0;0;0;0;2;0;3;2;2
Vlaams Gewest;Respiratoire kinesitherapie;164;117;47;1;14;22;15;15;17;13;11;5;4;0;4;5;5;7;6;5;7;5;3
Waals Gewest;Cardiovasculaire kinesitherapie;48;32;16;0;3;1;4;10;3;5;6;0;0;0;2;2;2;2;2;3;2;1;0
Waals Gewest;Manuele therapie;159;66;93;0;9;27;5;12;0;5;4;2;2;0;12;29;8;15;11;3;6;3;6
Waals Gewest;Neurologische kinesitherapie;103;77;26;0;3;17;7;16;8;11;10;5;0;0;1;2;3;7;1;6;1;2;3
Waals Gewest;Pediatrische kinesitherapie;115;101;14;0;6;23;16;16;12;10;14;2;2;0;0;3;2;3;3;1;1;1;0
Waals Gewest;Bekkenbodemreëducatie en perinatale kinesitherapie;123;116;7;0;2;18;15;25;17;13;15;9;2;0;0;0;2;0;0;2;1;1;1
Waals Gewest;Respiratoire kinesitherapie;53;30;23;0;3;8;4;7;2;2;3;1;0;0;0;5;2;3;6;0;3;2;2
Brussels Hoofdstedelijk Gewest;Cardiovasculaire kinesitherapie;16;7;9;0;1;1;1;0;2;1;0;1;0;0;1;2;1;2;1;1;1;0;0
Brussels Hoofdstedelijk Gewest;Manuele therapie;45;17;28;0;1;7;5;1;1;0;1;1;0;0;3;14;2;3;0;3;3;0;0
Brussels Hoofdstedelijk Gewest;Neurologische kinesitherapie;22;15;7;0;3;1;6;3;0;1;1;0;0;0;0;2;0;3;1;0;0;1;0
Brussels Hoofdstedelijk Gewest;Pediatrische kinesitherapie;39;32;7;0;1;10;8;5;1;1;2;4;0;0;0;3;0;1;1;0;2;0;0
Brussels Hoofdstedelijk Gewest;Bekkenbodemreëducatie en perinatale kinesitherapie;22;19;3;0;1;3;1;2;2;5;1;4;0;0;0;0;0;0;2;0;0;0;1
Brussels Hoofdstedelijk Gewest;Respiratoire kinesitherapie;23;14;9;0;2;3;4;2;2;0;0;1;0;0;0;3;2;2;0;0;1;0;1
Vlaams Brabant;Cardiovasculaire kinesitherapie;24;14;10;0;3;3;2;1;2;1;1;1;0;0;1;1;2;1;2;0;2;1;0
Vlaams Brabant;Manuele therapie;243;138;105;0;19;40;32;15;14;9;5;4;0;0;8;27;14;14;11;10;7;10;4
Vlaams Brabant;Neurologische kinesitherapie;76;53;23;0;11;10;8;8;9;6;1;0;0;0;0;2;4;5;5;4;3;0;0
Vlaams Brabant;Pediatrische kinesitherapie;98;91;7;0;8;22;16;18;8;5;6;6;2;0;1;2;0;2;0;1;0;0;1
Vlaams Brabant;Bekkenbodemreëducatie en perinatale kinesitherapie;61;60;1;0;2;10;9;13;9;7;4;6;0;0;0;0;0;0;0;0;0;1;0
Vlaams Brabant;Respiratoire kinesitherapie;35;31;4;0;3;8;5;3;5;4;2;1;0;0;0;0;0;1;1;0;1;0;1
West-Vlaanderen;Cardiovasculaire kinesitherapie;8;2;6;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;1;2;0
West-Vlaanderen;Manuele therapie;296;156;140;0;37;55;27;18;8;7;2;1;1;0;13;22;25;24;16;13;10;7;10
West-Vlaanderen;Neurologische kinesitherapie;50;38;12;0;5;6;3;4;3;7;6;4;0;0;1;0;1;6;0;3;1;0;0
West-Vlaanderen;Pediatrische kinesitherapie;100;93;7;0;10;14;15;14;14;12;7;3;4;0;0;0;1;1;2;1;0;1;1
West-Vlaanderen;Bekkenbodemreëducatie en perinatale kinesitherapie;82;78;4;0;1;11;10;17;14;7;11;6;1;0;0;0;0;0;1;0;1;1;1
West-Vlaanderen;Respiratoire kinesitherapie;31;23;8;0;1;1;6;4;3;2;3;2;1;0;1;0;1;1;1;1;1;1;1
Oost-Vlaanderen;Cardiovasculaire kinesitherapie;28;20;8;0;3;4;1;3;5;3;1;0;0;0;0;0;1;1;1;0;3;2;0
Oost-Vlaanderen;Manuele therapie;310;185;125;0;25;70;39;26;15;4;3;1;2;0;11;25;23;16;17;11;10;6;6
Oost-Vlaanderen;Neurologische kinesitherapie;47;36;11;0;2;10;12;5;3;3;0;1;0;0;0;1;1;2;4;0;2;0;1
Oost-Vlaanderen;Pediatrische kinesitherapie;170;157;13;0;20;36;31;28;17;11;11;2;1;0;0;1;1;3;0;2;2;3;1
Oost-Vlaanderen;Bekkenbodemreëducatie en perinatale kinesitherapie;79;78;1;0;0;6;12;10;18;16;8;5;3;0;0;0;0;0;0;0;1;0;0
Oost-Vlaanderen;Respiratoire kinesitherapie;46;26;20;1;4;1;1;5;3;5;3;2;1;0;3;3;2;3;1;2;3;2;1
Antwerpen;Cardiovasculaire kinesitherapie;19;10;9;0;0;1;2;1;2;1;3;0;0;0;0;0;1;1;0;2;1;2;2
Antwerpen;Manuele therapie;325;176;149;0;31;55;31;15;17;11;11;3;2;0;17;28;22;13;20;7;23;16;3
Antwerpen;Neurologische kinesitherapie;52;42;10;0;6;8;11;6;2;4;2;3;0;0;0;3;0;0;3;2;0;1;1
Antwerpen;Pediatrische kinesitherapie;122;116;6;0;11;29;26;19;11;4;11;3;2;0;0;1;1;0;0;3;0;1;0
Antwerpen;Bekkenbodemreëducatie en perinatale kinesitherapie;55;54;1;0;0;5;6;8;10;11;10;4;0;0;0;0;0;0;1;0;0;0;0
Antwerpen;Respiratoire kinesitherapie;36;28;8;0;5;9;2;2;5;0;3;0;2;0;0;2;1;2;1;0;1;1;0
Limburg;Cardiovasculaire kinesitherapie;16;8;8;0;2;1;0;0;2;2;1;0;0;0;0;0;1;2;1;1;2;0;1
Limburg;Manuele therapie;130;59;71;0;8;20;10;6;3;5;3;2;2;0;6;15;7;11;14;6;2;5;5
Limburg;Neurologische kinesitherapie;30;27;3;1;5;7;4;2;1;4;1;1;1;0;1;0;2;0;0;0;0;0;0
Limburg;Pediatrische kinesitherapie;74;67;7;0;5;16;13;8;7;6;8;3;1;0;0;0;1;2;1;0;1;1;1
Limburg;Bekkenbodemreëducatie en perinatale kinesitherapie;31;29;2;0;0;4;6;4;2;5;3;4;1;0;0;0;0;0;0;0;1;0;1
Limburg;Respiratoire kinesitherapie;16;9;7;0;1;3;1;1;1;2;0;0;0;0;0;0;1;0;2;2;1;1;0
Waals Brabant;Cardiovasculaire kinesitherapie;11;7;4;0;0;1;2;2;0;2;0;0;0;0;1;1;0;0;0;1;1;0;0
Waals Brabant;Manuele therapie;49;21;28;0;5;8;0;1;0;2;3;1;1;0;5;10;1;5;2;1;0;1;3
Waals Brabant;Neurologische kinesitherapie;31;26;5;0;1;6;2;5;4;3;3;2;0;0;0;0;1;2;0;1;0;0;1
Waals Brabant;Pediatrische kinesitherapie;44;40;4;0;1;9;8;1;3;6;10;1;1;0;0;0;1;2;0;0;1;0;0
Waals Brabant;Bekkenbodemreëducatie en perinatale kinesitherapie;35;32;3;0;0;6;5;9;5;1;1;4;1;0;0;0;2;0;0;1;0;0;0
Waals Brabant;Respiratoire kinesitherapie;15;9;6;0;0;3;2;2;1;1;0;0;0;0;0;1;2;1;2;0;0;0;0
Henegouwen;Cardiovasculaire kinesitherapie;8;3;5;0;0;0;0;1;0;1;1;0;0;0;0;0;0;2;1;1;0;1;0
Henegouwen;Manuele therapie;33;13;20;0;2;4;2;3;0;1;1;0;0;0;3;8;2;3;2;0;1;0;1
Henegouwen;Neurologische kinesitherapie;19;12;7;0;0;2;1;4;1;2;2;0;0;0;0;1;2;0;1;1;0;1;1
Henegouwen;Pediatrische kinesitherapie;24;18;6;0;2;5;1;3;2;3;2;0;0;0;0;2;0;1;2;0;0;1;0
Henegouwen;Bekkenbodemreëducatie en perinatale kinesitherapie;36;33;3;0;0;3;2;9;5;6;7;0;1;0;0;0;0;0;0;1;1;1;0
Henegouwen;Respiratoire kinesitherapie;9;3;6;0;0;1;1;1;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1
Luik;Cardiovasculaire kinesitherapie;16;11;5;0;2;0;2;3;2;0;2;0;0;0;1;1;1;0;1;1;0;0;0
Luik;Manuele therapie;51;24;27;0;2;11;2;5;0;2;0;1;1;0;1;6;1;7;5;0;4;1;2
Luik;Neurologische kinesitherapie;47;34;13;0;2;8;2;7;3;5;4;3;0;0;1;1;0;4;0;4;1;1;1
Luik;Pediatrische kinesitherapie;26;24;2;0;2;5;6;4;4;1;1;1;0;0;0;0;1;0;0;1;0;0;0
Luik;Bekkenbodemreëducatie en perinatale kinesitherapie;36;36;0;0;0;7;2;6;6;4;6;5;0;0;0;0;0;0;0;0;0;0;0
Luik;Respiratoire kinesitherapie;19;11;8;0;1;2;1;3;0;1;2;1;0;0;0;1;0;1;3;0;2;1;0
Namen;Cardiovasculaire kinesitherapie;12;10;2;0;1;0;0;3;1;2;3;0;0;0;0;0;1;0;0;0;1;0;0
Namen;Manuele therapie;15;4;11;0;0;1;1;2;0;0;0;0;0;0;2;3;3;0;1;1;0;1;0
Namen;Neurologische kinesitherapie;5;4;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
Namen;Pediatrische kinesitherapie;17;15;2;0;1;4;0;6;2;0;1;0;1;0;0;1;0;0;1;0;0;0;0
Namen;Bekkenbodemreëducatie en perinatale kinesitherapie;10;9;1;0;0;1;5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
Namen;Respiratoire kinesitherapie;8;6;2;0;2;1;0;1;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0
Luxemburg;Cardiovasculaire kinesitherapie;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Luxemburg;Manuele therapie;11;4;7;0;0;3;0;1;0;0;0;0;0;0;1;2;1;0;1;1;1;0;0
Luxemburg;Neurologische kinesitherapie;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Luxemburg;Pediatrische kinesitherapie;4;4;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Luxemburg;Bekkenbodemreëducatie en perinatale kinesitherapie;6;6;0;0;2;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Luxemburg;Respiratoire kinesitherapie;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Brussels Hoofdstedelijk Gewest;Cardiovasculaire kinesitherapie;16;7;9;0;1;1;1;0;2;1;0;1;0;0;1;2;1;2;1;1;1;0;0
Brussels Hoofdstedelijk Gewest;Manuele therapie;45;17;28;0;1;7;5;1;1;0;1;1;0;0;3;14;2;3;0;3;3;0;0
Brussels Hoofdstedelijk Gewest;Neurologische kinesitherapie;22;15;7;0;3;1;6;3;0;1;1;0;0;0;0;2;0;3;1;0;0;1;0
Brussels Hoofdstedelijk Gewest;Pediatrische kinesitherapie;39;32;7;0;1;10;8;5;1;1;2;4;0;0;0;3;0;1;1;0;2;0;0
Brussels Hoofdstedelijk Gewest;Bekkenbodemreëducatie en perinatale kinesitherapie;22;19;3;0;1;3;1;2;2;5;1;4;0;0;0;0;0;0;2;0;0;0;1
Brussels Hoofdstedelijk Gewest;Respiratoire kinesitherapie;23;14;9;0;2;3;4;2;2;0;0;1;0;0;0;3;2;2;0;0;1;0;1
