Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Man;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15
;Neonatologie;6.0;6;0;1;5;0;0;0;0;0;0;0;0;0
;Oncologie;8.0;3;5;0;3;0;0;0;0;5;0;0;0;0
;Pediatrische hematologie en oncologie;5.0;5;0;0;4;1;0;0;0;0;0;0;0;0
;Klinische hematologie;6.0;2;4;0;2;0;0;0;0;4;0;0;0;0
Waals Gewest;Alle specialiteiten;45.0;20;25;1;18;1;0;0;1;14;3;1;4;2
;Functionele en professionele revalidatie van gehandicapten;6.0;2;4;0;2;0;0;0;0;0;1;0;2;1
;Mond-, kaak- en aangezichtschirurgie;4.0;0;4;0;0;0;0;0;0;4;0;0;0;0
;Intensieve zorgen;16.0;4;12;0;4;0;0;0;1;8;1;1;1;0
;Pediatrische neurologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
;Nefrologie;3.0;3;0;1;1;1;0;0;0;0;0;0;0;0
;Urgentiegeneeskunde;4.0;0;4;0;0;0;0;0;0;1;1;0;1;1
;Endocrino-diabetologie;4.0;4;0;0;4;0;0;0;0;0;0;0;0;0
;Neonatologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
;Oncologie;2.0;1;1;0;1;0;0;0;0;1;0;0;0;0
;Klinische hematologie;4.0;4;0;0;4;0;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;26.0;14;12;0;10;1;2;1;0;11;0;1;0;0
;Functionele en professionele revalidatie van gehandicapten;4.0;3;1;0;2;0;0;1;0;1;0;0;0;0
;Mond-, kaak- en aangezichtschirurgie;2.0;1;1;0;1;0;0;0;0;1;0;0;0;0
;Intensieve zorgen;6.0;4;2;0;2;0;2;0;0;1;0;1;0;0
;Pediatrische neurologie;2.0;1;1;0;1;0;0;0;0;1;0;0;0;0
;Nefrologie;2.0;0;2;0;0;0;0;0;0;2;0;0;0;0
;Endocrino-diabetologie;3.0;1;2;0;0;1;0;0;0;2;0;0;0;0
;Oncologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0
;Klinische hematologie;5.0;2;3;0;2;0;0;0;0;3;0;0;0;0
Vlaams Brabant;Alle specialiteiten;46.0;20;26;0;18;1;1;0;0;23;2;1;0;0
;Functionele en professionele revalidatie van gehandicapten;10.0;10;0;0;9;0;1;0;0;0;0;0;0;0
;Mond-, kaak- en aangezichtschirurgie;3.0;0;3;0;0;0;0;0;0;3;0;0;0;0
;Intensieve zorgen;16.0;3;13;0;3;0;0;0;0;12;1;0;0;0
;Pediatrische neurologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
;Nefrologie;1.0;0;1;0;0;0;0;0;0;1;0;0;0;0
;Urgentiegeneeskunde;4.0;0;4;0;0;0;0;0;0;2;1;1;0;0
;Endocrino-diabetologie;2.0;1;1;0;1;0;0;0;0;1;0;0;0;0
;Neonatologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
;Oncologie;3.0;2;1;0;2;0;0;0;0;1;0;0;0;0
;Pediatrische hematologie en oncologie;2.0;2;0;0;1;1;0;0;0;0;0;0;0;0
;Klinische hematologie;3.0;0;3;0;0;0;0;0;0;3;0;0;0;0
West-Vlaanderen;Alle specialiteiten;12.0;8;4;1;6;1;0;0;0;4;0;0;0;0
;Mond-, kaak- en aangezichtschirurgie;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0
;Intensieve zorgen;3.0;1;2;0;1;0;0;0;0;2;0;0;0;0
;Pediatrische neurologie;1.0;1;0;0;0;1;0;0;0;0;0;0;0;0
;Urgentiegeneeskunde;2.0;1;1;1;0;0;0;0;0;1;0;0;0;0
;Endocrino-diabetologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0
;Neonatologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
;Klinische hematologie;1.0;0;1;0;0;0;0;0;0;1;0;0;0;0
Oost-Vlaanderen;Alle specialiteiten;33.0;15;18;0;13;1;1;0;0;16;1;0;0;1
;Functionele en professionele revalidatie van gehandicapten;4.0;1;3;0;0;0;1;0;0;2;1;0;0;0
;Mond-, kaak- en aangezichtschirurgie;3.0;1;2;0;1;0;0;0;0;2;0;0;0;0
;Intensieve zorgen;10.0;2;8;0;2;0;0;0;0;8;0;0;0;0
;Nefrologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0
;Urgentiegeneeskunde;3.0;1;2;0;0;1;0;0;0;1;0;0;0;1
;Endocrino-diabetologie;4.0;4;0;0;4;0;0;0;0;0;0;0;0;0
;Neonatologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
;Oncologie;3.0;0;3;0;0;0;0;0;0;3;0;0;0;0
;Pediatrische hematologie en oncologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0
;Klinische hematologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
Antwerpen;Alle specialiteiten;37.0;21;16;1;19;1;0;0;0;13;2;0;1;0
;Functionele en professionele revalidatie van gehandicapten;4.0;2;2;0;2;0;0;0;0;1;1;0;0;0
;Mond-, kaak- en aangezichtschirurgie;3.0;1;2;0;1;0;0;0;0;2;0;0;0;0
;Intensieve zorgen;10.0;4;6;0;4;0;0;0;0;6;0;0;0;0
;Pediatrische neurologie;3.0;2;1;0;2;0;0;0;0;1;0;0;0;0
;Nefrologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0
;Urgentiegeneeskunde;5.0;2;3;0;1;1;0;0;0;1;1;0;1;0
;Endocrino-diabetologie;3.0;2;1;0;2;0;0;0;0;1;0;0;0;0
;Neonatologie;3.0;3;0;1;2;0;0;0;0;0;0;0;0;0
;Oncologie;2.0;1;1;0;1;0;0;0;0;1;0;0;0;0
;Pediatrische hematologie en oncologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
;Klinische hematologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
Limburg;Alle specialiteiten;9.0;4;5;0;3;1;0;0;0;4;1;0;0;0
;Functionele en professionele revalidatie van gehandicapten;4.0;2;2;0;1;1;0;0;0;1;1;0;0;0
;Mond-, kaak- en aangezichtschirurgie;2.0;0;2;0;0;0;0;0;0;2;0;0;0;0
;Nefrologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
;Urgentiegeneeskunde;2.0;1;1;0;1;0;0;0;0;1;0;0;0;0
Waals Brabant;Alle specialiteiten;10.0;4;6;0;3;1;0;0;0;1;0;0;3;2
;Functionele en professionele revalidatie van gehandicapten;3.0;1;2;0;1;0;0;0;0;0;0;0;1;1
;Mond-, kaak- en aangezichtschirurgie;1.0;0;1;0;0;0;0;0;0;1;0;0;0;0
;Intensieve zorgen;1.0;0;1;0;0;0;0;0;0;0;0;0;1;0
;Pediatrische neurologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
;Nefrologie;1.0;1;0;0;0;1;0;0;0;0;0;0;0;0
;Urgentiegeneeskunde;2.0;0;2;0;0;0;0;0;0;0;0;0;1;1
;Oncologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
Henegouwen;Alle specialiteiten;7.0;4;3;1;3;0;0;0;0;2;1;0;0;0
;Intensieve zorgen;2.0;0;2;0;0;0;0;0;0;2;0;0;0;0
;Nefrologie;1.0;1;0;1;0;0;0;0;0;0;0;0;0;0
;Urgentiegeneeskunde;1.0;0;1;0;0;0;0;0;0;0;1;0;0;0
;Endocrino-diabetologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
;Klinische hematologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0
Luik;Alle specialiteiten;20.0;9;11;0;9;0;0;0;1;8;1;0;1;0
;Functionele en professionele revalidatie van gehandicapten;2.0;1;1;0;1;0;0;0;0;0;0;0;1;0
;Mond-, kaak- en aangezichtschirurgie;1.0;0;1;0;0;0;0;0;0;1;0;0;0;0
;Intensieve zorgen;10.0;3;7;0;3;0;0;0;1;5;1;0;0;0
;Nefrologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
;Urgentiegeneeskunde;1.0;0;1;0;0;0;0;0;0;1;0;0;0;0
;Endocrino-diabetologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0
;Oncologie;1.0;0;1;0;0;0;0;0;0;1;0;0;0;0
;Klinische hematologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0
Namen;Alle specialiteiten;6.0;2;4;0;2;0;0;0;0;3;0;1;0;0
;Mond-, kaak- en aangezichtschirurgie;2.0;0;2;0;0;0;0;0;0;2;0;0;0;0
;Intensieve zorgen;3.0;1;2;0;1;0;0;0;0;1;0;1;0;0
;Endocrino-diabetologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
Luxemburg;Alle specialiteiten;2.0;1;1;0;1;0;0;0;0;0;1;0;0;0
;Functionele en professionele revalidatie van gehandicapten;1.0;0;1;0;0;0;0;0;0;0;1;0;0;0
;Neonatologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;26.0;14;12;0;10;1;2;1;0;11;0;1;0;0
;Functionele en professionele revalidatie van gehandicapten;4.0;3;1;0;2;0;0;1;0;1;0;0;0;0
;Mond-, kaak- en aangezichtschirurgie;2.0;1;1;0;1;0;0;0;0;1;0;0;0;0
;Intensieve zorgen;6.0;4;2;0;2;0;2;0;0;1;0;1;0;0
;Pediatrische neurologie;2.0;1;1;0;1;0;0;0;0;1;0;0;0;0
;Nefrologie;2.0;0;2;0;0;0;0;0;0;2;0;0;0;0
;Endocrino-diabetologie;3.0;1;2;0;0;1;0;0;0;2;0;0;0;0
;Oncologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0
;Klinische hematologie;5.0;2;3;0;2;0;0;0;0;3;0;0;0;0
