gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;Arbeidsgeneeskunde;131;81;50;0;13;29;15;4;10;6;3;1;0;12;10;8;9;4;5;1;1;0
België;Verzekeringsgeneeskunde en medische expertise;10;4;6;0;1;0;2;1;0;0;0;0;0;0;1;1;1;0;0;2;0;1
Vlaams Gewest;Alle specialiteiten;3475;2003;1472;206;1389;344;32;18;7;5;2;0;135;998;291;25;13;3;5;2;0;0
Vlaams Gewest;Geriatrie;53;38;15;0;24;14;0;0;0;0;0;0;0;10;4;1;0;0;0;0;0;0
Vlaams Gewest;Urgentiegeneeskunde;256;156;100;19;99;34;3;1;0;0;0;0;6;60;28;3;2;0;1;0;0;0
Vlaams Gewest;Gerechtelijke geneeskunde;9;7;2;1;4;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Vlaams Gewest;Anesthesie-reanimatie;322;141;181;7;100;26;5;3;0;0;0;0;13;126;36;3;3;0;0;0;0;0
Vlaams Gewest;Heelkunde;195;102;93;7;68;25;0;2;0;0;0;0;6;66;21;0;0;0;0;0;0;0
Vlaams Gewest;Neurochirurgie;46;14;32;3;8;3;0;0;0;0;0;0;1;24;7;0;0;0;0;0;0;0
Vlaams Gewest;Plastische, reconstructieve en esthetische heelkunde;43;22;21;4;14;4;0;0;0;0;0;0;2;10;8;1;0;0;0;0;0;0
Vlaams Gewest;Urologie;105;50;55;4;34;12;0;0;0;0;0;0;5;34;15;1;0;0;0;0;0;0
Vlaams Gewest;Orthopedische heelkunde;166;40;126;2;26;11;1;0;0;0;0;0;12;85;27;2;0;0;0;0;0;0
Vlaams Gewest;Neurologie;107;70;37;9;45;11;4;1;0;0;0;0;7;28;2;0;0;0;0;0;0;0
Vlaams Gewest;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;79;64;15;6;48;9;0;1;0;0;0;0;2;10;3;0;0;0;0;0;0;0
Vlaams Gewest;Psychiatrie, meer bepaald volwassenpsychiatrie;194;108;86;9;80;12;5;2;0;0;0;0;6;61;18;0;1;0;0;0;0;0
Vlaams Gewest;Pneumologie;49;29;20;0;20;9;0;0;0;0;0;0;0;13;7;0;0;0;0;0;0;0
Vlaams Gewest;Gastro-enterologie;73;48;25;0;29;18;0;0;1;0;0;0;0;15;10;0;0;0;0;0;0;0
Vlaams Gewest;Cardiologie;64;25;39;0;14;11;0;0;0;0;0;0;0;22;16;1;0;0;0;0;0;0
Vlaams Gewest;Inwendige geneeskunde;498;294;204;47;226;20;1;0;0;0;0;0;33;148;21;1;0;1;0;0;0;0
Vlaams Gewest;Reumatologie;22;12;10;0;5;7;0;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0
Vlaams Gewest;Acute geneeskunde;5;2;3;0;1;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
Vlaams Gewest;Gynaecologie-verloskunde;177;156;21;19;111;24;1;1;0;0;0;0;0;15;5;0;1;0;0;0;0;0
Vlaams Gewest;Oftalmologie;95;60;35;11;45;4;0;0;0;0;0;0;6;28;1;0;0;0;0;0;0;0
Vlaams Gewest;Otorhinolaryngologie;91;66;25;9;52;5;0;0;0;0;0;0;3;19;2;1;0;0;0;0;0;0
Vlaams Gewest;Stomatologie;48;18;30;1;15;2;0;0;0;0;0;0;2;26;2;0;0;0;0;0;0;0
Vlaams Gewest;Dermato-venereologie;78;68;10;9;52;7;0;0;0;0;0;0;1;7;2;0;0;0;0;0;0;0
Vlaams Gewest;Pediatrie;231;198;33;26;147;24;1;0;0;0;0;0;4;23;6;0;0;0;0;0;0;0
Vlaams Gewest;Fysische geneeskunde en revalidatie;79;43;36;2;35;4;0;1;0;1;0;0;4;23;9;0;0;0;0;0;0;0
Vlaams Gewest;Klinische biologie;42;18;24;2;8;5;1;2;0;0;0;0;3;17;3;1;0;0;0;0;0;0
Vlaams Gewest;Röntgendiagnose;149;37;112;4;23;6;1;2;1;0;0;0;13;79;12;4;4;0;0;0;0;0
Vlaams Gewest;Radiotherapie-oncologie;34;13;21;2;7;4;0;0;0;0;0;0;3;13;4;1;0;0;0;0;0;0
Vlaams Gewest;Nucleaire geneeskunde;18;7;11;1;6;0;0;0;0;0;0;0;3;5;3;0;0;0;0;0;0;0
Vlaams Gewest;Pathologische anatomie;42;29;13;1;19;6;1;2;0;0;0;0;0;9;3;1;0;0;0;0;0;0
Vlaams Gewest;Medische oncologie;23;17;6;0;12;4;1;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0
Vlaams Gewest;Klinische genetica;25;17;8;1;7;7;1;0;1;0;0;0;0;4;2;2;0;0;0;0;0;0
Vlaams Gewest;Arbeidsgeneeskunde;55;33;22;0;5;13;5;0;4;4;2;0;0;6;5;2;2;2;4;1;0;0
Vlaams Gewest;Verzekeringsgeneeskunde en medische expertise;2;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Waals Gewest;Alle specialiteiten;1759;1056;703;106;705;212;21;4;5;2;0;1;47;473;159;16;3;3;0;0;1;1
Waals Gewest;Geriatrie;50;34;16;3;20;11;0;0;0;0;0;0;1;10;5;0;0;0;0;0;0;0
Waals Gewest;Urgentiegeneeskunde;199;113;86;7;73;29;1;0;2;1;0;0;2;44;33;4;0;2;0;0;1;0
Waals Gewest;Gerechtelijke geneeskunde;3;1;2;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Waals Gewest;Beheer van gezondheidsgegevens;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Waals Gewest;Anesthesie-reanimatie;177;83;94;5;57;19;2;0;0;0;0;0;3;72;16;3;0;0;0;0;0;0
Waals Gewest;Heelkunde;120;64;56;9;38;17;0;0;0;0;0;0;7;33;16;0;0;0;0;0;0;0
Waals Gewest;Neurochirurgie;14;7;7;0;5;2;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0
Waals Gewest;Plastische, reconstructieve en esthetische heelkunde;15;11;4;1;7;3;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0
Waals Gewest;Urologie;26;10;16;0;4;5;1;0;0;0;0;0;1;10;5;0;0;0;0;0;0;0
Waals Gewest;Orthopedische heelkunde;85;29;56;3;18;8;0;0;0;0;0;0;2;31;21;2;0;0;0;0;0;0
Waals Gewest;Neurologie;40;22;18;2;17;3;0;0;0;0;0;0;2;12;4;0;0;0;0;0;0;0
Waals Gewest;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;39;35;4;0;28;5;1;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0
Waals Gewest;Psychiatrie, meer bepaald volwassenpsychiatrie;54;40;14;3;31;5;1;0;0;0;0;0;1;10;3;0;0;0;0;0;0;0
Waals Gewest;Pneumologie;36;24;12;1;11;12;0;0;0;0;0;0;1;8;3;0;0;0;0;0;0;0
Waals Gewest;Gastro-enterologie;43;25;18;1;14;10;0;0;0;0;0;0;2;11;5;0;0;0;0;0;0;0
Waals Gewest;Cardiologie;49;16;33;3;8;5;0;0;0;0;0;0;1;25;7;0;0;0;0;0;0;0
Waals Gewest;Inwendige geneeskunde;207;114;93;15;90;9;0;0;0;0;0;0;12;73;8;0;0;0;0;0;0;0
Waals Gewest;Reumatologie;12;9;3;0;7;2;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
Waals Gewest;Gynaecologie-verloskunde;96;86;10;10;64;10;2;0;0;0;0;0;1;8;0;1;0;0;0;0;0;0
Waals Gewest;Oftalmologie;30;19;11;6;12;0;1;0;0;0;0;0;1;9;1;0;0;0;0;0;0;0
Waals Gewest;Otorhinolaryngologie;25;13;12;1;10;1;1;0;0;0;0;0;0;10;2;0;0;0;0;0;0;0
Waals Gewest;Stomatologie;13;7;6;2;3;2;0;0;0;0;0;0;1;4;0;1;0;0;0;0;0;0
Waals Gewest;Dermato-venereologie;26;23;3;3;16;3;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
Waals Gewest;Pediatrie;162;137;25;19;98;19;1;0;0;0;0;0;0;18;6;1;0;0;0;0;0;0
Waals Gewest;Fysische geneeskunde en revalidatie;35;15;20;1;11;3;0;0;0;0;0;0;1;16;3;0;0;0;0;0;0;0
Waals Gewest;Klinische biologie;13;4;9;1;3;0;0;0;0;0;0;0;0;7;1;0;0;1;0;0;0;0
Waals Gewest;Röntgendiagnose;66;32;34;7;20;5;0;0;0;0;0;0;3;28;3;0;0;0;0;0;0;0
Waals Gewest;Radiotherapie-oncologie;16;12;4;1;8;3;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0
Waals Gewest;Nucleaire geneeskunde;8;4;4;0;4;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0
Waals Gewest;Pathologische anatomie;18;11;7;0;7;4;0;0;0;0;0;0;1;5;1;0;0;0;0;0;0;0
Waals Gewest;Medische oncologie;22;13;9;2;9;2;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0
Waals Gewest;Klinische genetica;5;5;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Waals Gewest;Arbeidsgeneeskunde;50;35;15;0;7;13;9;2;2;1;0;1;0;4;5;3;3;0;0;0;0;0
Waals Gewest;Verzekeringsgeneeskunde en medische expertise;4;2;2;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;1455;818;637;41;533;215;17;6;4;1;1;0;27;375;198;24;6;4;1;1;1;0
Brussels Hoofdstedelijk Gewest;Geriatrie;34;29;5;0;14;13;1;1;0;0;0;0;0;1;3;1;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Urgentiegeneeskunde;130;80;50;1;45;26;6;2;0;0;0;0;1;22;20;5;0;2;0;0;0;0
Brussels Hoofdstedelijk Gewest;Gerechtelijke geneeskunde;2;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Anesthesie-reanimatie;117;41;76;0;27;14;0;0;0;0;0;0;6;48;21;1;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Heelkunde;80;42;38;3;28;11;0;0;0;0;0;0;1;24;12;1;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Neurochirurgie;14;5;9;0;3;2;0;0;0;0;0;0;0;3;5;1;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Plastische, reconstructieve en esthetische heelkunde;13;5;8;0;3;2;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Urologie;34;17;17;1;12;4;0;0;0;0;0;0;0;10;7;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Orthopedische heelkunde;63;15;48;1;5;8;1;0;0;0;0;0;1;30;15;2;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Neurologie;54;37;17;2;29;6;0;0;0;0;0;0;0;13;4;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;30;26;4;2;16;7;1;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Psychiatrie, meer bepaald volwassenpsychiatrie;85;44;41;0;33;11;0;0;0;0;0;0;1;27;11;1;1;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Pneumologie;19;11;8;0;7;4;0;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Gastro-enterologie;28;17;11;0;6;10;1;0;0;0;0;0;0;5;6;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Cardiologie;48;24;24;0;7;17;0;0;0;0;0;0;0;12;11;1;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Inwendige geneeskunde;178;95;83;15;71;9;0;0;0;0;0;0;9;56;16;2;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Reumatologie;12;9;3;0;0;9;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Acute geneeskunde;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Gynaecologie-verloskunde;75;64;11;5;45;13;1;0;0;0;0;0;0;5;6;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Oftalmologie;41;12;29;1;9;2;0;0;0;0;0;0;3;19;6;1;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Otorhinolaryngologie;31;16;15;0;14;2;0;0;0;0;0;0;2;11;2;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Stomatologie;15;5;10;1;2;2;0;0;0;0;0;0;0;7;3;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Dermato-venereologie;36;29;7;2;23;4;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Pediatrie;105;89;16;7;65;16;1;0;0;0;0;0;1;13;2;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Fysische geneeskunde en revalidatie;21;10;11;0;8;2;0;0;0;0;0;0;0;7;4;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Klinische biologie;17;8;9;0;7;1;0;0;0;0;0;0;0;5;3;1;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Röntgendiagnose;81;39;42;0;33;4;2;0;0;0;0;0;2;23;15;2;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Radiotherapie-oncologie;10;5;5;0;4;1;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Nucleaire geneeskunde;16;5;11;0;4;0;1;0;0;0;0;0;0;6;5;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Pathologische anatomie;12;9;3;0;6;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Medische oncologie;16;9;7;0;3;6;0;0;0;0;0;0;0;2;5;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Klinische genetica;7;5;2;0;2;2;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Arbeidsgeneeskunde;26;13;13;0;1;3;1;2;4;1;1;0;0;2;0;3;4;2;1;0;1;0
Brussels Hoofdstedelijk Gewest;Verzekeringsgeneeskunde en medische expertise;4;1;3;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0
Vlaams Brabant;Alle specialiteiten;1000;586;414;38;405;117;10;9;6;0;1;0;21;266;111;9;3;0;4;0;0;0
Vlaams Brabant;Geriatrie;22;13;9;0;7;6;0;0;0;0;0;0;0;6;2;1;0;0;0;0;0;0
Vlaams Brabant;Urgentiegeneeskunde;65;39;26;2;23;13;1;0;0;0;0;0;1;15;7;1;1;0;1;0;0;0
Vlaams Brabant;Gerechtelijke geneeskunde;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vlaams Brabant;Anesthesie-reanimatie;98;41;57;1;28;9;2;1;0;0;0;0;1;38;18;0;0;0;0;0;0;0
Vlaams Brabant;Heelkunde;42;21;21;1;10;9;0;1;0;0;0;0;0;15;6;0;0;0;0;0;0;0
Vlaams Brabant;Neurochirurgie;11;3;8;0;2;1;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0
Vlaams Brabant;Plastische, reconstructieve en esthetische heelkunde;11;6;5;0;5;1;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0
Vlaams Brabant;Urologie;20;11;9;1;7;3;0;0;0;0;0;0;0;5;3;1;0;0;0;0;0;0
Vlaams Brabant;Orthopedische heelkunde;39;11;28;1;8;2;0;0;0;0;0;0;2;16;9;1;0;0;0;0;0;0
Vlaams Brabant;Neurologie;29;17;12;2;9;6;0;0;0;0;0;0;2;9;1;0;0;0;0;0;0;0
Vlaams Brabant;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;30;23;7;0;15;7;0;1;0;0;0;0;1;5;1;0;0;0;0;0;0;0
Vlaams Brabant;Psychiatrie, meer bepaald volwassenpsychiatrie;61;35;26;2;25;4;2;2;0;0;0;0;1;16;8;0;1;0;0;0;0;0
Vlaams Brabant;Pneumologie;16;9;7;0;6;3;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0
Vlaams Brabant;Gastro-enterologie;21;13;8;0;7;5;0;0;1;0;0;0;0;3;5;0;0;0;0;0;0;0
Vlaams Brabant;Cardiologie;25;12;13;0;7;5;0;0;0;0;0;0;0;5;7;1;0;0;0;0;0;0
Vlaams Brabant;Inwendige geneeskunde;129;80;49;10;65;5;0;0;0;0;0;0;4;37;8;0;0;0;0;0;0;0
Vlaams Brabant;Reumatologie;7;3;4;0;1;2;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0
Vlaams Brabant;Gynaecologie-verloskunde;51;43;8;4;29;8;1;1;0;0;0;0;0;3;4;0;1;0;0;0;0;0
Vlaams Brabant;Oftalmologie;27;16;11;1;15;0;0;0;0;0;0;0;1;9;1;0;0;0;0;0;0;0
Vlaams Brabant;Otorhinolaryngologie;26;19;7;3;16;0;0;0;0;0;0;0;1;4;1;1;0;0;0;0;0;0
Vlaams Brabant;Stomatologie;17;10;7;0;8;2;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0
Vlaams Brabant;Dermato-venereologie;28;24;4;0;23;1;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0
Vlaams Brabant;Pediatrie;78;67;11;7;46;13;1;0;0;0;0;0;0;9;2;0;0;0;0;0;0;0
Vlaams Brabant;Fysische geneeskunde en revalidatie;22;13;9;1;11;1;0;0;0;0;0;0;1;5;3;0;0;0;0;0;0;0
Vlaams Brabant;Klinische biologie;14;3;11;0;1;1;0;1;0;0;0;0;2;7;2;0;0;0;0;0;0;0
Vlaams Brabant;Röntgendiagnose;44;12;32;0;7;3;0;1;1;0;0;0;2;22;7;1;0;0;0;0;0;0
Vlaams Brabant;Radiotherapie-oncologie;13;4;9;1;2;1;0;0;0;0;0;0;1;5;2;1;0;0;0;0;0;0
Vlaams Brabant;Nucleaire geneeskunde;3;2;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Vlaams Brabant;Pathologische anatomie;18;12;6;0;11;0;0;1;0;0;0;0;0;5;1;0;0;0;0;0;0;0
Vlaams Brabant;Medische oncologie;11;9;2;0;6;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Vlaams Brabant;Klinische genetica;8;5;3;0;1;3;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0
Vlaams Brabant;Arbeidsgeneeskunde;12;8;4;0;2;0;2;0;3;0;1;0;0;1;0;0;0;0;3;0;0;0
Vlaams Brabant;Verzekeringsgeneeskunde en medische expertise;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
West-Vlaanderen;Alle specialiteiten;416;221;195;39;152;25;4;0;0;1;0;0;28;139;23;1;2;1;1;0;0;0
West-Vlaanderen;Geriatrie;3;2;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
West-Vlaanderen;Urgentiegeneeskunde;28;19;9;5;11;3;0;0;0;0;0;0;0;7;1;0;1;0;0;0;0;0
West-Vlaanderen;Anesthesie-reanimatie;33;11;22;1;8;2;0;0;0;0;0;0;5;16;1;0;0;0;0;0;0;0
West-Vlaanderen;Heelkunde;23;7;16;0;6;1;0;0;0;0;0;0;2;10;4;0;0;0;0;0;0;0
West-Vlaanderen;Neurochirurgie;4;3;1;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
West-Vlaanderen;Plastische, reconstructieve en esthetische heelkunde;7;2;5;0;2;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0;0;0
West-Vlaanderen;Urologie;15;7;8;1;6;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0
West-Vlaanderen;Orthopedische heelkunde;27;9;18;0;6;3;0;0;0;0;0;0;2;10;6;0;0;0;0;0;0;0
West-Vlaanderen;Neurologie;12;8;4;1;6;0;1;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0
West-Vlaanderen;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;8;7;1;1;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
West-Vlaanderen;Psychiatrie, meer bepaald volwassenpsychiatrie;29;14;15;2;11;0;1;0;0;0;0;0;1;12;2;0;0;0;0;0;0;0
West-Vlaanderen;Pneumologie;5;4;1;0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
West-Vlaanderen;Gastro-enterologie;10;8;2;0;5;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
West-Vlaanderen;Cardiologie;6;1;5;0;1;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0
West-Vlaanderen;Inwendige geneeskunde;68;36;32;8;25;3;0;0;0;0;0;0;8;22;2;0;0;0;0;0;0;0
West-Vlaanderen;Reumatologie;3;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
West-Vlaanderen;Gynaecologie-verloskunde;12;10;2;1;7;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
West-Vlaanderen;Oftalmologie;14;8;6;3;5;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0
West-Vlaanderen;Otorhinolaryngologie;15;9;6;2;7;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0
West-Vlaanderen;Stomatologie;4;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
West-Vlaanderen;Dermato-venereologie;9;9;0;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
West-Vlaanderen;Pediatrie;22;21;1;5;16;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
West-Vlaanderen;Fysische geneeskunde en revalidatie;13;6;7;1;5;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0
West-Vlaanderen;Klinische biologie;6;3;3;0;1;1;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
West-Vlaanderen;Röntgendiagnose;20;3;17;2;1;0;0;0;0;0;0;0;2;14;0;0;1;0;0;0;0;0
West-Vlaanderen;Radiotherapie-oncologie;2;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
West-Vlaanderen;Nucleaire geneeskunde;5;3;2;1;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
West-Vlaanderen;Pathologische anatomie;3;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
West-Vlaanderen;Klinische genetica;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
West-Vlaanderen;Arbeidsgeneeskunde;9;4;5;0;0;2;1;0;0;1;0;0;0;1;1;1;0;1;1;0;0;0
Oost-Vlaanderen;Alle specialiteiten;929;544;385;50;390;90;9;5;0;0;0;0;33;264;73;8;5;0;0;2;0;0
Oost-Vlaanderen;Geriatrie;12;10;2;0;8;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
