gebied;erkenning;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
Namen;Alle verpleegkundigen;;8957;7864;1093;242;660;690;726;805;751;833;953;791;1413;35;153;157;139;159;137;97;102;65;49
Luxemburg;Alle verpleegkundigen;;4164;3700;464;108;301;297;362;413;385;423;477;369;565;9;42;52;54;76;73;25;63;40;30
Brussels Hoofdstedelijk Gewest;Alle verpleegkundigen;;9975;8483;1492;283;1089;932;757;793;766;741;842;777;1503;42;232;280;247;208;134;118;102;77;52
België;Geen bijzondere erkenning (BE);;164904;145059;19845;5250;12375;11658;11971;14226;13979;15348;18180;15566;26506;711;2099;2001;1937;2191;1989;2005;2383;2218;2311
Vlaams Gewest;Geen bijzondere erkenning (BE);;109270;95637;13633;3928;8457;7631;7830;9200;9135;10266;12128;10129;16933;551;1400;1192;1157;1306;1246;1461;1747;1665;1908
Waals Gewest;Geen bijzondere erkenning (BE);;47469;42400;5069;1090;3114;3323;3571;4396;4228;4483;5338;4758;8099;124;527;606;594;729;635;449;559;491;355
Brussels Hoofdstedelijk Gewest;Geen bijzondere erkenning (BE);;8165;7022;1143;232;804;704;570;630;616;599;714;679;1474;36;172;203;186;156;108;95;77;62;48
Vlaams Brabant;Geen bijzondere erkenning (BE);;17577;15218;2359;561;1128;1036;1089;1385;1472;1782;2177;1835;2753;94;204;193;196;200;216;241;335;326;354
West-Vlaanderen;Geen bijzondere erkenning (BE);;23726;21005;2721;948;2059;1924;1851;1962;1925;1873;2496;2202;3765;131;306;249;242;252;245;262;314;337;383
Oost-Vlaanderen;Geen bijzondere erkenning (BE);;25650;22438;3212;970;1987;1708;1812;2142;2180;2451;2826;2290;4072;120;352;263;268;335;305;349;420;412;388
Antwerpen;Geen bijzondere erkenning (BE);;25734;22571;3163;901;1942;1636;1724;2132;2163;2572;3036;2451;4014;125;274;272;255;289;282;363;452;406;445
Limburg;Geen bijzondere erkenning (BE);;16583;14405;2178;548;1341;1327;1354;1579;1395;1588;1593;1351;2329;81;264;215;196;230;198;246;226;184;338
Waals Brabant;Geen bijzondere erkenning (BE);;4657;4286;371;103;234;264;229;377;395;469;658;576;981;8;28;35;56;52;43;51;42;33;23
Henegouwen;Geen bijzondere erkenning (BE);;17908;15909;1999;400;1187;1255;1367;1685;1711;1726;2063;1738;2777;48;222;250;209;296;251;175;223;200;125
Luik;Geen bijzondere erkenning (BE);;14285;12680;1605;311;1002;1089;1154;1413;1251;1273;1368;1410;2409;30;144;189;198;225;203;137;165;176;138
Namen;Geen bijzondere erkenning (BE);;7167;6408;759;188;477;505;536;575;559;659;819;706;1384;30;109;111;92;99;84;66;78;48;42
Luxemburg;Geen bijzondere erkenning (BE);;3452;3117;335;88;214;210;285;346;312;356;430;328;548;8;24;21;39;57;54;20;51;34;27
Brussels Hoofdstedelijk Gewest;Geen bijzondere erkenning (BE);;8165;7022;1143;232;804;704;570;630;616;599;714;679;1474;36;172;203;186;156;108;95;77;62;48
België;BBB;Geriatrie;3311;3015;296;0;52;188;356;435;457;535;591;298;103;0;6;29;46;55;39;40;44;29;8
België;BBB;Geestelijke gezondheidszorg en psychiatrie;2015;1615;400;1;23;128;187;194;198;291;290;249;54;0;5;29;35;45;77;45;83;58;23
België;BBB;Diabetologie;930;840;90;4;60;69;84;133;118;147;132;72;21;0;7;9;16;9;12;10;17;10;0
België;BBB;Palliatieve zorg;935;843;92;3;29;53;73;91;118;134;193;122;27;0;1;14;11;12;14;11;18;9;2
België;BBT;Geriatrie;2244;1847;397;13;105;176;212;294;271;313;257;162;44;0;10;21;38;61;61;68;75;49;14
België;BBT;Oncologie;3111;2773;338;100;294;315;350;422;370;376;285;214;47;5;22;24;40;54;51;38;47;48;9
België;BBT;Intensieve zorg en spoedgevallenzorg;12089;8469;3620;431;1429;1330;1142;1226;1010;794;552;404;151;117;505;492;482;521;405;366;354;273;105
België;BBT;Pediatrie en de neonatologie;4842;4686;156;204;784;747;668;633;508;467;385;233;57;3;21;31;25;18;13;17;21;6;1
België;BBT;Geestelijke gezondheidszorg en psychiatrie;2687;1830;857;25;110;187;239;301;320;243;215;156;34;4;30;67;78;134;148;120;123;130;23
België;BBT;Peri-operatieve zorgen;2110;1718;392;32;144;235;239;301;251;247;188;76;5;1;20;50;58;77;38;53;64;30;1
Vlaams Gewest;BBB;Geriatrie;2446;2257;189;0;30;112;232;322;330;406;493;248;84;0;1;13;27;28;29;25;36;24;6
Vlaams Gewest;BBB;Geestelijke gezondheidszorg en psychiatrie;1288;1022;266;0;11;92;124;107;113;178;188;172;37;0;4;16;18;25;37;36;59;50;21
Vlaams Gewest;BBB;Diabetologie;564;503;61;3;42;47;48;77;66;87;84;43;6;0;5;4;10;4;8;8;15;7;0
Vlaams Gewest;BBB;Palliatieve zorg;483;432;51;1;11;20;28;45;57;75;103;75;17;0;1;3;9;4;9;7;9;7;2
Vlaams Gewest;BBT;Geriatrie;1658;1342;316;6;56;106;143;217;204;244;213;123;30;0;9;15;23;40;49;59;62;46;13
Vlaams Gewest;BBT;Oncologie;2047;1818;229;56;160;189;230;281;253;274;204;134;37;4;12;13;23;36;30;27;39;39;6
Vlaams Gewest;BBT;Intensieve zorg en spoedgevallenzorg;7174;4916;2258;246;787;775;662;724;595;461;310;263;93;83;273;247;283;306;238;257;274;204;93
Vlaams Gewest;BBT;Pediatrie en de neonatologie;2682;2598;84;119;392;366;320;332;317;311;246;157;38;2;8;18;9;6;4;13;17;6;1
Vlaams Gewest;BBT;Geestelijke gezondheidszorg en psychiatrie;1696;1130;566;7;44;103;149;161;223;160;151;107;25;3;6;33;41;75;97;83;98;110;20
Vlaams Gewest;BBT;Peri-operatieve zorgen;1272;1017;255;5;40;132;140;194;154;171;126;52;3;0;5;24;29;44;25;45;56;27;0
Waals Gewest;BBB;Geriatrie;724;639;85;0;16;67;104;98;103;111;81;43;16;0;4;13;12;21;9;13;6;5;2
Waals Gewest;BBB;Geestelijke gezondheidszorg en psychiatrie;675;547;128;0;9;35;58;82;78;108;95;68;14;0;0;13;16;20;39;9;22;7;2
Waals Gewest;BBB;Diabetologie;317;295;22;1;16;19;31;46;45;54;43;27;13;0;2;3;5;4;4;1;1;2;0
Waals Gewest;BBB;Palliatieve zorg;409;376;33;2;18;32;44;41;57;49;84;40;9;0;0;8;2;7;4;2;8;2;0
Waals Gewest;BBT;Geriatrie;484;424;60;6;40;60;56;67;61;54;37;32;11;0;1;4;12;17;11;5;9;1;0
Waals Gewest;BBT;Oncologie;865;777;88;42;102;98;101;117;102;81;64;62;8;1;7;9;12;13;20;9;7;8;2
Waals Gewest;BBT;Intensieve zorg en spoedgevallenzorg;4357;3167;1190;164;523;481;431;476;382;309;223;129;49;29;191;198;174;195;158;103;71;61;10
Waals Gewest;BBT;Pediatrie en de neonatologie;1773;1720;53;65;304;314;298;258;161;138;110;56;16;1;6;9;14;9;7;3;4;0;0
Waals Gewest;BBT;Geestelijke gezondheidszorg en psychiatrie;841;589;252;16;48;64;77;125;88;69;54;41;7;1;20;26;33;51;43;34;22;19;3
Waals Gewest;BBT;Peri-operatieve zorgen;709;606;103;23;96;88;87;97;82;65;51;16;1;0;12;20;16;29;11;6;6;2;1
Brussels Hoofdstedelijk Gewest;BBB;Geriatrie;141;119;22;0;6;9;20;15;24;18;17;7;3;0;1;3;7;6;1;2;2;0;0
Brussels Hoofdstedelijk Gewest;BBB;Geestelijke gezondheidszorg en psychiatrie;52;46;6;1;3;1;5;5;7;5;7;9;3;0;1;0;1;0;1;0;2;1;0
Brussels Hoofdstedelijk Gewest;BBB;Diabetologie;49;42;7;0;2;3;5;10;7;6;5;2;2;0;0;2;1;1;0;1;1;1;0
Brussels Hoofdstedelijk Gewest;BBB;Palliatieve zorg;43;35;8;0;0;1;1;5;4;10;6;7;1;0;0;3;0;1;1;2;1;0;0
Brussels Hoofdstedelijk Gewest;BBT;Geriatrie;102;81;21;1;9;10;13;10;6;15;7;7;3;0;0;2;3;4;1;4;4;2;1
Brussels Hoofdstedelijk Gewest;BBT;Oncologie;199;178;21;2;32;28;19;24;15;21;17;18;2;0;3;2;5;5;1;2;1;1;1
Brussels Hoofdstedelijk Gewest;BBT;Intensieve zorg en spoedgevallenzorg;558;386;172;21;119;74;49;26;33;24;19;12;9;5;41;47;25;20;9;6;9;8;2
Brussels Hoofdstedelijk Gewest;BBT;Pediatrie en de neonatologie;387;368;19;20;88;67;50;43;30;18;29;20;3;0;7;4;2;3;2;1;0;0;0
Brussels Hoofdstedelijk Gewest;BBT;Geestelijke gezondheidszorg en psychiatrie;150;111;39;2;18;20;13;15;9;14;10;8;2;0;4;8;4;8;8;3;3;1;0
Brussels Hoofdstedelijk Gewest;BBT;Peri-operatieve zorgen;129;95;34;4;8;15;12;10;15;11;11;8;1;1;3;6;13;4;2;2;2;1;0
Vlaams Brabant;BBB;Geriatrie;250;225;25;0;3;8;16;27;36;54;42;29;10;0;0;2;1;3;5;4;5;5;0
Vlaams Brabant;BBB;Geestelijke gezondheidszorg en psychiatrie;128;96;32;0;0;7;7;8;7;23;19;21;4;0;0;2;2;0;3;0;11;11;3
Vlaams Brabant;BBB;Diabetologie;115;102;13;1;10;12;7;15;17;17;10;12;1;0;1;2;2;1;0;0;6;1;0
Vlaams Brabant;BBB;Palliatieve zorg;61;55;6;0;0;1;4;2;9;10;16;11;2;0;0;0;0;1;0;1;3;1;0
Vlaams Brabant;BBT;Geriatrie;287;232;55;3;14;13;18;36;34;37;47;26;4;0;3;1;2;5;10;7;15;11;1
Vlaams Brabant;BBT;Oncologie;394;352;42;10;39;27;41;53;52;50;46;25;9;0;2;0;5;4;5;5;11;9;1
Vlaams Brabant;BBT;Intensieve zorg en spoedgevallenzorg;1352;913;439;32;135;131;119;109;106;99;91;68;23;14;48;38;53;49;41;47;64;69;16
Vlaams Brabant;BBT;Pediatrie en de neonatologie;579;556;23;17;84;75;67;67;55;67;64;50;10;1;2;3;1;0;1;4;5;6;0
Vlaams Brabant;BBT;Geestelijke gezondheidszorg en psychiatrie;287;191;96;0;9;13;20;28;29;26;29;29;8;1;2;3;6;8;12;17;17;24;6
Vlaams Brabant;BBT;Peri-operatieve zorgen;230;194;36;1;9;27;22;40;37;29;20;9;0;0;1;8;5;4;2;7;5;4;0
West-Vlaanderen;BBB;Geriatrie;806;744;62;0;11;32;72;127;112;123;174;70;23;0;0;3;10;10;9;13;11;4;2
West-Vlaanderen;BBB;Geestelijke gezondheidszorg en psychiatrie;532;448;84;0;4;36;60;55;46;60;84;86;17;0;1;4;8;12;15;16;16;8;4
West-Vlaanderen;BBB;Diabetologie;126;110;16;0;9;13;12;16;18;7;24;11;0;0;0;2;5;0;1;2;4;2;0
West-Vlaanderen;BBB;Palliatieve zorg;83;76;7;1;1;1;5;11;10;6;18;21;2;0;0;0;0;1;1;2;0;2;1
West-Vlaanderen;BBT;Geriatrie;344;273;71;0;8;31;33;53;33;50;32;27;6;0;1;4;5;8;12;15;11;12;3
West-Vlaanderen;BBT;Oncologie;400;356;44;14;28;30;45;64;52;63;32;21;7;2;2;4;4;12;7;1;7;4;1
West-Vlaanderen;BBT;Intensieve zorg en spoedgevallenzorg;1447;978;469;58;130;164;129;159;117;89;50;58;24;23;57;51;54;64;38;43;69;38;32
West-Vlaanderen;BBT;Pediatrie en de neonatologie;523;509;14;22;74;86;64;44;59;62;57;36;5;1;0;4;0;1;2;2;4;0;0
West-Vlaanderen;BBT;Geestelijke gezondheidszorg en psychiatrie;397;251;146;1;8;26;38;33;47;40;30;25;3;0;1;7;9;21;26;20;21;34;7
West-Vlaanderen;BBT;Peri-operatieve zorgen;252;183;69;1;11;18;32;41;22;31;20;7;0;0;1;7;12;10;12;6;13;8;0
Oost-Vlaanderen;BBB;Geriatrie;662;616;46;0;4;39;69;88;89;110;148;52;17;0;1;4;8;8;5;6;7;6;1
Oost-Vlaanderen;BBB;Geestelijke gezondheidszorg en psychiatrie;252;181;71;0;1;17;26;14;23;41;37;18;4;0;0;6;2;4;9;11;18;17;4
Oost-Vlaanderen;BBB;Diabetologie;127;115;12;1;12;9;13;18;11;24;16;7;4;0;0;0;2;1;3;3;2;1;0
Oost-Vlaanderen;BBB;Palliatieve zorg;125;112;13;0;2;5;9;13;12;22;23;17;9;0;1;1;2;0;4;2;3;0;0
Oost-Vlaanderen;BBT;Geriatrie;435;353;82;0;9;26;36;63;63;58;62;29;7;0;2;0;7;16;11;20;12;10;4
Oost-Vlaanderen;BBT;Oncologie;548;493;55;10;39;62;59;87;64;74;53;39;6;1;4;5;5;8;9;5;5;12;1
Oost-Vlaanderen;BBT;Intensieve zorg en spoedgevallenzorg;1676;1167;509;64;195;158;139;177;160;107;70;64;33;19;61;65;68;69;51;58;57;37;24
Oost-Vlaanderen;BBT;Pediatrie en de neonatologie;636;618;18;42;92;65;83;81;87;75;49;28;16;0;5;3;1;2;0;3;3;0;1
Oost-Vlaanderen;BBT;Geestelijke gezondheidszorg en psychiatrie;420;278;142;2;11;24;48;45;60;33;28;23;4;1;2;7;16;23;32;18;22;19;2
Oost-Vlaanderen;BBT;Peri-operatieve zorgen;342;275;67;0;11;30;32;53;44;57;32;14;2;0;0;4;5;19;6;13;14;6;0
Antwerpen;BBB;Geriatrie;463;431;32;0;5;17;38;36;59;85;92;76;23;0;0;0;2;2;8;1;8;8;3
Antwerpen;BBB;Geestelijke gezondheidszorg en psychiatrie;191;158;33;0;4;11;12;12;21;36;29;23;10;0;3;2;1;4;6;3;8;5;1
Antwerpen;BBB;Diabetologie;135;118;17;1;9;7;12;15;14;27;23;9;1;0;3;0;1;2;3;2;3;3;0
Antwerpen;BBB;Palliatieve zorg;162;140;22;0;8;10;8;10;16;29;37;20;2;0;0;2;4;2;4;2;3;4;1
Antwerpen;BBT;Geriatrie;434;351;83;2;18;27;32;38;56;73;62;32;11;0;3;6;7;8;12;12;21;11;3
Antwerpen;BBT;Oncologie;485;426;59;16;39;39;53;45;60;64;60;41;9;0;3;1;7;8;8;7;13;9;3
Antwerpen;BBT;Intensieve zorg en spoedgevallenzorg;1764;1203;561;54;221;195;188;174;130;108;72;50;11;18;63;62;78;78;77;62;57;50;16
Antwerpen;BBT;Pediatrie en de neonatologie;686;662;24;33;107;90;77;96;87;75;55;35;7;0;1;6;5;3;0;4;5;0;0
Antwerpen;BBT;Geestelijke gezondheidszorg en psychiatrie;379;274;105;1;15;20;29;40;53;43;42;24;7;1;0;10;5;12;18;12;22;20;5
Antwerpen;BBT;Peri-operatieve zorgen;314;256;58;3;7;39;36;41;36;37;39;17;1;0;1;4;5;6;3;11;20;8;0
Limburg;BBB;Geriatrie;265;241;24;0;7;16;37;44;34;34;37;21;11;0;0;4;6;5;2;1;5;1;0
Limburg;BBB;Geestelijke gezondheidszorg en psychiatrie;185;139;46;0;2;21;19;18;16;18;19;24;2;0;0;2;5;5;4;6;6;9;9
Limburg;BBB;Diabetologie;61;58;3;0;2;6;4;13;6;12;11;4;0;0;1;0;0;0;1;1;0;0;0
Limburg;BBB;Palliatieve zorg;52;49;3;0;0;3;2;9;10;8;9;6;2;0;0;0;3;0;0;0;0;0;0
Limburg;BBT;Geriatrie;158;133;25;1;7;9;24;27;18;26;10;9;2;0;0;4;2;3;4;5;3;2;2
Limburg;BBT;Oncologie;220;191;29;6;15;31;32;32;25;23;13;8;6;1;1;3;2;4;1;9;3;5;0
Limburg;BBT;Intensieve zorg en spoedgevallenzorg;935;655;280;38;106;127;87;105;82;58;27;23;2;9;44;31;30;46;31;47;27;10;5
Limburg;BBT;Pediatrie en de neonatologie;258;253;5;5;35;50;29;44;29;32;21;8;0;0;0;2;2;0;1;0;0;0;0
Limburg;BBT;Geestelijke gezondheidszorg en psychiatrie;213;136;77;3;1;20;14;15;34;18;22;6;3;0;1;6;5;11;9;16;16;13;0
Limburg;BBT;Peri-operatieve zorgen;134;109;25;0;2;18;18;19;15;17;15;5;0;0;2;1;2;5;2;8;4;1;0
Waals Brabant;BBB;Geriatrie;57;51;6;0;2;1;8;7;7;13;7;5;1;0;0;1;0;1;1;2;1;0;0
Waals Brabant;BBB;Geestelijke gezondheidszorg en psychiatrie;25;23;2;0;0;2;0;1;5;8;5;2;0;0;0;1;0;0;0;0;0;1;0
Waals Brabant;BBB;Diabetologie;32;31;1;0;1;2;2;5;6;5;7;2;1;0;0;1;0;0;0;0;0;0;0
Waals Brabant;BBB;Palliatieve zorg;38;35;3;0;0;2;2;2;1;3;13;9;3;0;0;1;0;0;0;0;2;0;0
Waals Brabant;BBT;Geriatrie;45;43;2;0;4;7;3;7;3;4;7;8;0;0;0;0;1;0;1;0;0;0;0
Waals Brabant;BBT;Oncologie;112;107;5;1;15;12;11;15;16;11;14;10;2;0;1;0;0;2;0;0;0;2;0
Waals Brabant;BBT;Intensieve zorg en spoedgevallenzorg;512;385;127;15;70;47;67;57;40;38;24;17;10;5;15;25;20;19;18;14;6;4;1
Waals Brabant;BBT;Pediatrie en de neonatologie;258;254;4;10;28;40;46;42;26;27;26;8;1;0;0;1;0;1;2;0;0;0;0
Waals Brabant;BBT;Geestelijke gezondheidszorg en psychiatrie;90;74;16;2;7;7;5;20;7;7;10;9;0;0;3;2;3;2;0;4;1;0;1
Waals Brabant;BBT;Peri-operatieve zorgen;100;89;11;3;8;6;7;22;14;10;15;3;1;0;0;2;2;3;1;2;1;0;0
Henegouwen;BBB;Geriatrie;194;174;20;0;4;19;26;22;32;32;28;9;2;0;1;2;2;5;2;5;1;2;0
Henegouwen;BBB;Geestelijke gezondheidszorg en psychiatrie;256;212;44;0;5;9;17;36;29;45;40;27;4;0;0;2;7;6;13;6;7;2;1
Henegouwen;BBB;Diabetologie;113;107;6;0;5;9;4;22;14;13;22;13;5;0;0;0;3;1;1;0;0;1;0
Henegouwen;BBB;Palliatieve zorg;115;107;8;0;6;6;19;17;15;15;21;7;1;0;0;3;0;1;0;0;4;0;0
Henegouwen;BBT;Geriatrie;135;115;20;2;10;15;14;18;23;16;10;6;1;0;1;2;4;5;5;1;2;0;0
Henegouwen;BBT;Oncologie;238;206;32;13;24;20;33;31;26;24;14;20;1;1;3;5;2;6;7;2;2;4;0
Henegouwen;BBT;Intensieve zorg en spoedgevallenzorg;1419;1017;402;43;150;162;129;137;131;128;79;43;15;12;65;59;71;61;43;33;32;25;1
Henegouwen;BBT;Pediatrie en de neonatologie;573;557;16;27;90;117;78;100;52;41;32;13;7;1;2;4;3;2;1;1;2;0;0
Henegouwen;BBT;Geestelijke gezondheidszorg en psychiatrie;335;227;108;6;15;27;32;51;33;32;17;12;2;1;7;13;14;21;19;12;13;8;0
Henegouwen;BBT;Peri-operatieve zorgen;132;102;30;2;13;14;18;19;14;10;11;1;0;0;1;3;3;12;4;2;4;1;0
Luik;BBB;Geriatrie;353;307;46;0;7;34;56;52;49;45;36;23;5;0;3;7;8;10;6;5;3;2;2
Luik;BBB;Geestelijke gezondheidszorg en psychiatrie;219;171;48;0;3;17;27;29;22;28;27;14;4;0;0;6;6;11;14;2;8;0;1
Luik;BBB;Diabetologie;96;86;10;0;7;6;17;9;14;17;7;5;4;0;2;1;1;2;2;1;0;1;0
Luik;BBB;Palliatieve zorg;156;141;15;2;9;20;16;10;25;18;23;15;3;0;0;2;1;5;3;2;1;1;0
Luik;BBT;Geriatrie;203;180;23;0;12;23;33;31;23;26;16;12;4;0;0;2;1;8;2;4;6;0;0
Luik;BBT;Oncologie;349;317;32;24;43;56;38;53;37;23;18;22;3;0;2;1;8;5;7;5;3;1;0
Luik;BBT;Intensieve zorg en spoedgevallenzorg;1335;972;363;61;166;145;135;164;120;67;71;35;8;6;56;58;50;63;60;33;15;20;2
Luik;BBT;Pediatrie en de neonatologie;609;583;26;18;126;101;111;76;56;39;30;21;5;0;4;3;8;5;3;1;2;0;0
Luik;BBT;Geestelijke gezondheidszorg en psychiatrie;273;185;88;4;18;23;26;31;24;23;17;14;5;0;9;8;9;21;17;11;4;9;0
Luik;BBT;Peri-operatieve zorgen;280;243;37;12;54;37;40;24;30;29;14;3;0;0;6;11;7;9;2;1;0;0;1
Namen;BBB;Geriatrie;92;80;12;0;1;9;10;14;14;16;8;4;4;0;0;3;2;5;0;1;0;1;0
Namen;BBB;Geestelijke gezondheidszorg en psychiatrie;142;113;29;0;0;6;11;13;18;21;21;18;5;0;0;2;3;3;11;1;6;3;0
Namen;BBB;Diabetologie;52;48;4;1;3;2;6;7;6;11;5;5;2;0;0;0;1;1;1;0;1;0;0
Namen;BBB;Palliatieve zorg;55;51;4;0;3;1;5;5;9;5;17;6;0;0;0;1;0;0;1;0;1;1;0
Namen;BBT;Geriatrie;72;60;12;2;10;8;4;11;8;7;3;4;3;0;0;0;4;4;2;0;1;1;0
Namen;BBT;Oncologie;132;116;16;3;15;8;16;14;21;17;15;7;0;0;1;1;2;0;6;2;1;1;2
Namen;BBT;Intensieve zorg en spoedgevallenzorg;742;539;203;31;87;89;68;89;57;52;30;24;12;5;39;33;25;38;25;18;10;7;3
Namen;BBT;Pediatrie en de neonatologie;256;251;5;8;43;42;47;35;23;26;18;6;3;0;0;1;2;0;1;1;0;0;0
Namen;BBT;Geestelijke gezondheidszorg en psychiatrie;110;75;35;3;6;4;7;17;19;7;8;4;0;0;1;3;6;7;4;7;3;2;2
Namen;BBT;Peri-operatieve zorgen;137;123;14;6;15;16;16;25;17;12;9;7;0;0;3;2;2;2;2;1;1;1;0
Luxemburg;BBB;Geriatrie;28;27;1;0;2;4;4;3;1;5;2;2;4;0;0;0;0;0;0;0;1;0;0
Luxemburg;BBB;Geestelijke gezondheidszorg en psychiatrie;33;28;5;0;1;1;3;3;4;6;2;7;1;0;0;2;0;0;1;0;1;1;0
Luxemburg;BBB;Diabetologie;24;23;1;0;0;0;2;3;5;8;2;2;1;0;0;1;0;0;0;0;0;0;0
Luxemburg;BBB;Palliatieve zorg;45;42;3;0;0;3;2;7;7;8;10;3;2;0;0;1;1;1;0;0;0;0;0
Luxemburg;BBT;Geriatrie;29;26;3;2;4;7;2;0;4;1;1;2;3;0;0;0;2;0;1;0;0;0;0
Luxemburg;BBT;Oncologie;34;31;3;1;5;2;3;4;2;6;3;3;2;0;0;2;0;0;0;0;1;0;0
Luxemburg;BBT;Intensieve zorg en spoedgevallenzorg;349;254;95;14;50;38;32;29;34;24;19;10;4;1;16;23;8;14;12;5;8;5;3
Luxemburg;BBT;Pediatrie en de neonatologie;77;75;2;2;17;14;16;5;4;5;4;8;0;0;0;0;1;1;0;0;0;0;0
Luxemburg;BBT;Geestelijke gezondheidszorg en psychiatrie;33;28;5;1;2;3;7;6;5;0;2;2;0;0;0;0;1;0;3;0;1;0;0
Luxemburg;BBT;Peri-operatieve zorgen;60;49;11;0;6;15;6;7;7;4;2;2;0;0;2;2;2;3;2;0;0;0;0
Brussels Hoofdstedelijk Gewest;BBB;Geriatrie;141;119;22;0;6;9;20;15;24;18;17;7;3;0;1;3;7;6;1;2;2;0;0
Brussels Hoofdstedelijk Gewest;BBB;Geestelijke gezondheidszorg en psychiatrie;52;46;6;1;3;1;5;5;7;5;7;9;3;0;1;0;1;0;1;0;2;1;0
Brussels Hoofdstedelijk Gewest;BBB;Diabetologie;49;42;7;0;2;3;5;10;7;6;5;2;2;0;0;2;1;1;0;1;1;1;0
Brussels Hoofdstedelijk Gewest;BBB;Palliatieve zorg;43;35;8;0;0;1;1;5;4;10;6;7;1;0;0;3;0;1;1;2;1;0;0
Brussels Hoofdstedelijk Gewest;BBT;Geriatrie;102;81;21;1;9;10;13;10;6;15;7;7;3;0;0;2;3;4;1;4;4;2;1
Brussels Hoofdstedelijk Gewest;BBT;Oncologie;199;178;21;2;32;28;19;24;15;21;17;18;2;0;3;2;5;5;1;2;1;1;1
Brussels Hoofdstedelijk Gewest;BBT;Intensieve zorg en spoedgevallenzorg;558;386;172;21;119;74;49;26;33;24;19;12;9;5;41;47;25;20;9;6;9;8;2
Brussels Hoofdstedelijk Gewest;BBT;Pediatrie en de neonatologie;387;368;19;20;88;67;50;43;30;18;29;20;3;0;7;4;2;3;2;1;0;0;0
Brussels Hoofdstedelijk Gewest;BBT;Geestelijke gezondheidszorg en psychiatrie;150;111;39;2;18;20;13;15;9;14;10;8;2;0;4;8;4;8;8;3;3;1;0
Brussels Hoofdstedelijk Gewest;BBT;Peri-operatieve zorgen;129;95;34;4;8;15;12;10;15;11;11;8;1;1;3;6;13;4;2;2;2;1;0
