gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
Vlaams Gewest;Beheer van gezondheidsgegevens;27;9;18;0;0;0;1;0;1;4;3;0;0;0;0;0;4;3;3;5;3
Vlaams Gewest;Anesthesie-reanimatie;1507;628;879;0;112;77;98;102;90;49;39;61;0;90;77;113;112;111;116;101;159
Vlaams Gewest;Heelkunde;986;202;784;0;41;37;39;35;14;12;10;14;0;53;62;78;82;86;90;92;241
Vlaams Gewest;Neurochirurgie;154;17;137;0;5;1;2;3;5;0;0;1;0;12;13;27;19;12;14;11;29
Vlaams Gewest;Plastische, reconstructieve en esthetische heelkunde;166;39;127;0;6;8;2;6;2;5;7;3;0;6;11;13;15;18;20;13;31
Vlaams Gewest;Urologie;305;44;261;0;11;13;7;4;6;2;1;0;0;26;22;29;34;22;34;28;66
Vlaams Gewest;Orthopedische heelkunde;733;72;661;0;14;13;11;12;11;5;2;4;0;47;55;89;75;72;104;79;140
Vlaams Gewest;Neurologie;345;167;178;0;30;45;25;17;27;7;10;6;1;11;15;25;24;16;25;27;34
Vlaams Gewest;Psychiatrie;270;141;129;0;0;0;3;38;60;30;3;7;0;0;0;4;30;43;29;10;13
Vlaams Gewest;Neuropsychiatrie;126;28;98;0;0;0;0;0;0;4;7;17;0;0;0;0;0;0;3;8;87
Vlaams Gewest;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;254;209;45;0;37;37;58;34;8;12;8;15;0;3;7;5;7;2;5;5;11
Vlaams Gewest;Psychiatrie, meer bepaald volwassenpsychiatrie;571;248;323;0;39;51;60;30;4;11;23;30;0;15;18;37;24;2;20;54;153
Vlaams Gewest;Pneumologie;339;149;190;0;27;31;39;22;14;9;4;3;0;13;12;16;17;22;33;34;43
Vlaams Gewest;Gastro-enterologie;418;143;275;0;31;33;30;22;13;6;4;4;0;19;19;36;34;29;38;38;62
Vlaams Gewest;Cardiologie;649;125;524;0;18;26;24;23;17;8;2;7;0;30;45;79;60;75;63;56;116
Vlaams Gewest;Inwendige geneeskunde;940;365;575;0;57;76;72;61;34;26;21;18;0;28;29;31;61;49;62;51;264
Vlaams Gewest;Reumatologie;146;65;81;0;10;7;8;12;13;5;3;7;0;3;6;6;6;5;8;10;37
Vlaams Gewest;Acute geneeskunde;139;55;84;1;7;8;11;15;6;4;2;1;0;4;9;14;23;19;7;6;2
Vlaams Gewest;Gynaecologie-verloskunde;849;443;406;1;91;63;79;78;56;37;19;19;0;6;19;28;26;40;56;52;179
Vlaams Gewest;Oftalmologie;742;464;278;4;57;45;58;64;58;53;42;83;3;9;15;20;20;28;35;27;121
Vlaams Gewest;Otorhinolaryngologie;407;175;232;0;29;29;30;18;31;14;12;12;0;9;15;20;22;20;29;39;78
Vlaams Gewest;Stomatologie;221;51;170;0;8;9;7;14;3;2;5;3;1;21;16;21;16;17;24;17;37
Vlaams Gewest;Dermato-venereologie;491;355;136;5;46;37;54;54;48;36;21;54;1;8;6;9;11;14;13;20;54
Vlaams Gewest;Pediatrie;971;640;331;1;103;82;98;105;84;60;34;73;0;16;15;20;25;29;33;42;151
Vlaams Gewest;Fysische geneeskunde en revalidatie;366;162;204;0;24;16;29;22;23;26;12;10;0;19;14;12;17;20;24;25;73
Vlaams Gewest;Klinische biologie;380;175;205;0;13;17;25;29;21;19;16;35;0;6;12;10;10;25;25;31;86
Vlaams Gewest;Rontgendiagnose;1040;286;754;0;39;41;45;48;42;32;15;24;1;69;49;73;57;90;133;99;183
Vlaams Gewest;Radiotherapie - oncologie;151;83;68;0;10;9;22;16;14;9;2;1;0;6;8;10;7;4;13;12;8
Vlaams Gewest;Nucleaire geneeskunde;177;59;118;0;7;13;8;7;12;7;2;3;0;10;5;7;11;13;13;7;52
Vlaams Gewest;Pathologische anatomie;256;129;127;0;15;14;26;21;17;13;13;10;0;5;5;17;17;7;10;18;48
Vlaams Gewest;Medische oncologie;138;84;54;0;14;16;18;13;12;8;2;1;0;4;3;5;12;12;7;4;7
Vlaams Gewest;Klinische genetica;36;21;15;0;0;1;4;5;2;5;3;1;0;0;3;2;3;2;2;3;0
Vlaams Gewest;Arbeidsgeneeskunde;767;402;365;0;10;17;60;98;65;73;35;44;0;2;4;32;24;20;71;68;144
Vlaams Gewest;Verzekeringsgeneeskunde en medische expertise;344;104;240;0;0;3;2;24;23;20;19;13;0;0;0;2;7;19;51;60;101
Waals Gewest;Alle specialiteiten;9371;3871;5500;8;415;495;565;597;472;408;323;588;4;240;329;408;530;591;694;713;1991
Waals Gewest;Geriatrie;106;74;32;0;11;14;15;14;8;8;1;3;0;1;4;1;4;2;4;5;11
Waals Gewest;Urgentiegeneeskunde;79;28;51;0;10;12;2;3;1;0;0;0;0;8;14;9;10;5;2;3;0
Waals Gewest;Gerechtelijke geneeskunde;8;2;6;0;0;0;1;1;0;0;0;0;0;0;2;3;0;0;0;0;1
Waals Gewest;Beheer van gezondheidsgegevens;21;7;14;0;0;0;0;1;1;4;1;0;0;0;0;0;1;2;7;3;1
Waals Gewest;Anesthesie-reanimatie;847;322;525;0;38;50;46;56;33;22;20;57;0;29;53;64;73;62;67;63;114
Waals Gewest;Heelkunde;582;111;471;0;11;18;15;20;20;7;13;7;0;11;29;34;42;45;61;61;188
Waals Gewest;Neurochirurgie;66;10;56;0;2;2;1;2;0;3;0;0;0;8;2;6;8;7;5;7;13
Waals Gewest;Plastische, reconstructieve en esthetische heelkunde;79;23;56;0;3;4;6;1;4;2;3;0;0;5;10;8;4;8;11;2;8
Waals Gewest;Urologie;148;21;127;0;1;4;8;0;4;3;1;0;0;10;12;9;17;13;12;13;41
Waals Gewest;Orthopedische heelkunde;396;39;357;0;3;7;11;6;2;3;4;3;0;24;30;27;39;45;46;41;105
Waals Gewest;Neurologie;209;100;109;0;15;13;16;21;10;14;3;8;0;7;4;12;11;18;19;20;18
Waals Gewest;Psychiatrie;429;184;245;0;3;7;15;32;33;30;23;41;0;1;4;8;20;23;28;37;124
Waals Gewest;Neuropsychiatrie;65;14;51;0;0;0;0;0;0;1;1;12;0;0;0;0;0;0;2;3;46
Waals Gewest;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;74;54;20;0;11;17;7;11;2;0;1;5;0;2;2;5;2;3;1;2;3
Waals Gewest;Psychiatrie, meer bepaald volwassenpsychiatrie;139;85;54;0;11;21;22;25;2;1;1;2;0;7;10;14;10;7;1;2;3
Waals Gewest;Pneumologie;221;87;134;0;9;13;22;15;8;4;6;10;0;6;5;16;15;14;23;22;33
Waals Gewest;Gastro-enterologie;265;86;179;0;14;21;10;9;8;11;3;10;0;7;5;14;22;25;27;22;57
Waals Gewest;Cardiologie;429;109;320;0;14;18;18;18;13;11;10;7;0;12;19;28;34;41;41;41;104
Waals Gewest;Inwendige geneeskunde;653;237;416;0;31;38;44;43;34;10;15;22;0;14;21;27;47;50;59;54;144
Waals Gewest;Reumatologie;99;49;50;0;3;7;7;7;8;4;2;11;0;2;0;3;3;2;10;7;23
Waals Gewest;Acute geneeskunde;140;61;79;1;0;1;9;24;12;7;5;2;0;1;2;5;18;19;16;8;10
Waals Gewest;Gynaecologie-verloskunde;589;311;278;1;48;37;49;45;41;31;28;31;0;9;14;14;24;30;26;44;117
Waals Gewest;Oftalmologie;375;218;157;4;23;21;27;21;21;23;19;59;3;15;10;10;16;17;13;19;54
Waals Gewest;Otorhinolaryngologie;253;115;138;0;11;18;13;20;21;11;11;10;0;5;5;8;8;13;21;16;62
Waals Gewest;Stomatologie;95;22;73;0;3;1;6;3;2;2;1;4;0;4;4;3;7;9;5;6;35
Waals Gewest;Dermato-venereologie;260;180;80;1;18;25;21;21;29;15;17;33;1;4;1;4;6;5;11;10;38
Waals Gewest;Pediatrie;676;433;243;0;61;60;74;58;43;36;29;72;0;13;14;11;18;20;18;21;128
Waals Gewest;Fysische geneeskunde en revalidatie;194;95;99;0;12;9;13;12;14;11;7;17;0;3;7;10;3;10;10;15;41
Waals Gewest;Klinische biologie;244;122;122;0;6;3;9;8;8;14;19;55;0;0;4;5;1;3;13;14;82
Waals Gewest;Rontgendiagnose;634;191;443;1;20;24;26;23;27;34;14;22;0;23;32;25;34;46;67;62;154
Waals Gewest;Radiotherapie - oncologie;72;39;33;0;4;7;2;4;1;9;5;7;0;0;2;8;5;4;3;2;9
Waals Gewest;Nucleaire geneeskunde;134;51;83;0;3;2;6;5;8;15;3;9;0;1;2;3;4;5;12;7;49
Waals Gewest;Pathologische anatomie;108;63;45;0;7;4;3;14;9;9;5;12;0;4;2;2;1;3;10;7;16
Waals Gewest;Medische oncologie;99;52;47;0;8;11;3;12;7;3;2;6;0;2;4;3;5;12;5;7;9
Waals Gewest;Arbeidsgeneeskunde;331;201;130;0;1;6;35;38;27;35;29;30;0;2;0;8;11;11;13;23;62
Waals Gewest;Verzekeringsgeneeskunde en medische expertise;252;75;177;0;0;0;3;4;11;15;21;21;0;0;0;1;7;12;25;44;88
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;3830;1855;1975;7;270;252;261;191;182;176;178;338;1;153;137;180;144;178;214;220;748
Brussels Hoofdstedelijk Gewest;Geriatrie;34;24;10;0;3;9;5;3;2;1;1;0;0;0;2;1;0;1;2;2;2
Brussels Hoofdstedelijk Gewest;Urgentiegeneeskunde;40;21;19;0;6;8;3;1;1;2;0;0;0;4;5;5;2;2;0;1;0
Brussels Hoofdstedelijk Gewest;Gerechtelijke geneeskunde;2;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Beheer van gezondheidsgegevens;11;6;5;0;0;0;0;1;3;0;2;0;0;0;0;1;0;0;2;2;0
Brussels Hoofdstedelijk Gewest;Anesthesie-reanimatie;273;135;138;1;22;17;13;17;13;9;15;28;0;26;18;15;15;21;12;10;21
Brussels Hoofdstedelijk Gewest;Heelkunde;207;52;155;0;9;9;7;4;4;5;6;8;0;9;11;16;9;17;12;12;69
Brussels Hoofdstedelijk Gewest;Neurochirurgie;22;3;19;0;2;0;0;1;0;0;0;0;0;0;3;2;3;0;1;3;7
Brussels Hoofdstedelijk Gewest;Plastische, reconstructieve en esthetische heelkunde;37;9;28;0;1;3;2;0;0;1;1;1;0;0;2;5;4;2;4;2;9
Brussels Hoofdstedelijk Gewest;Urologie;45;4;41;0;0;1;3;0;0;0;0;0;0;4;3;4;4;2;5;4;15
Brussels Hoofdstedelijk Gewest;Orthopedische heelkunde;113;18;95;0;2;4;1;1;3;3;1;3;0;11;7;9;8;6;12;7;35
Brussels Hoofdstedelijk Gewest;Neurologie;80;43;37;0;4;8;9;5;6;3;5;3;0;5;5;7;4;6;5;2;3
Brussels Hoofdstedelijk Gewest;Psychiatrie;260;110;150;0;0;2;5;15;20;25;13;30;0;0;0;5;8;12;20;24;81
Brussels Hoofdstedelijk Gewest;Neuropsychiatrie;33;12;21;0;0;0;0;0;0;1;2;9;0;0;0;0;0;0;0;1;20
Brussels Hoofdstedelijk Gewest;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;52;38;14;0;8;13;7;3;3;2;0;2;0;5;1;4;0;0;1;2;1
Brussels Hoofdstedelijk Gewest;Psychiatrie, meer bepaald volwassenpsychiatrie;101;61;40;0;14;8;11;10;4;6;3;5;0;3;5;18;4;1;3;3;3
Brussels Hoofdstedelijk Gewest;Pneumologie;68;30;38;0;2;8;4;7;2;1;2;4;0;2;2;4;1;4;5;7;13
Brussels Hoofdstedelijk Gewest;Gastro-enterologie;99;37;62;0;4;6;8;7;1;4;3;4;0;3;6;5;5;8;5;6;24
Brussels Hoofdstedelijk Gewest;Cardiologie;196;69;127;0;4;20;10;5;7;6;9;8;0;11;9;14;10;11;22;11;39
Brussels Hoofdstedelijk Gewest;Inwendige geneeskunde;338;141;197;0;29;18;35;15;11;10;7;16;0;14;17;15;18;16;18;20;79
Brussels Hoofdstedelijk Gewest;Reumatologie;40;17;23;0;1;3;2;2;2;2;1;4;0;2;0;0;0;4;3;2;12
Brussels Hoofdstedelijk Gewest;Acute geneeskunde;36;21;15;1;3;3;3;4;2;1;2;2;0;0;1;1;1;4;3;2;3
Brussels Hoofdstedelijk Gewest;Gynaecologie-verloskunde;291;178;113;0;38;29;23;13;13;21;18;23;0;6;4;11;6;10;8;16;52
Brussels Hoofdstedelijk Gewest;Oftalmologie;168;103;65;3;15;14;13;6;6;6;12;28;1;7;3;6;9;7;7;4;21
Brussels Hoofdstedelijk Gewest;Otorhinolaryngologie;95;39;56;0;8;0;9;6;3;2;2;9;0;3;2;2;1;8;11;6;23
Brussels Hoofdstedelijk Gewest;Stomatologie;58;21;37;0;2;1;4;1;3;1;4;5;0;3;1;3;2;1;3;6;18
Brussels Hoofdstedelijk Gewest;Dermato-venereologie;132;96;36;1;13;3;14;8;11;12;6;28;0;2;2;2;1;3;7;3;16
Brussels Hoofdstedelijk Gewest;Pediatrie;337;233;104;0;36;28;41;21;21;19;15;52;0;8;10;6;4;9;4;10;53
Brussels Hoofdstedelijk Gewest;Fysische geneeskunde en revalidatie;46;28;18;1;7;1;6;2;4;4;0;3;0;1;1;0;1;0;3;6;6
Brussels Hoofdstedelijk Gewest;Klinische biologie;103;58;45;0;6;3;2;5;7;5;13;17;0;1;1;3;1;2;5;8;24
Brussels Hoofdstedelijk Gewest;Rontgendiagnose;215;88;127;0;15;15;7;5;15;7;12;12;0;17;8;10;9;14;14;15;40
Brussels Hoofdstedelijk Gewest;Radiotherapie - oncologie;21;17;4;0;0;3;0;5;2;1;2;4;0;0;2;0;0;0;1;0;1
Brussels Hoofdstedelijk Gewest;Nucleaire geneeskunde;43;14;29;0;0;4;2;1;0;3;1;3;0;3;3;1;5;0;2;3;12
Brussels Hoofdstedelijk Gewest;Pathologische anatomie;47;32;15;0;7;3;2;3;2;3;2;10;0;1;1;1;2;0;2;2;6
Brussels Hoofdstedelijk Gewest;Medische oncologie;56;31;25;0;7;8;5;2;4;2;0;3;0;2;1;1;6;4;2;2;7
Brussels Hoofdstedelijk Gewest;Klinische genetica;2;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Brussels Hoofdstedelijk Gewest;Arbeidsgeneeskunde;83;46;37;0;1;0;5;9;5;8;10;8;0;0;0;2;0;0;7;8;20
Brussels Hoofdstedelijk Gewest;Verzekeringsgeneeskunde en medische expertise;46;18;28;0;0;0;0;3;2;0;8;5;0;0;0;1;1;3;3;8;12
Vlaams Brabant;Alle specialiteiten;4236;1939;2297;3;261;264;348;318;242;189;127;187;3;155;152;218;236;257;328;274;674
Vlaams Brabant;Geriatrie;46;33;13;0;3;5;5;9;4;2;4;1;0;1;1;1;2;1;2;3;2
Vlaams Brabant;Urgentiegeneeskunde;29;14;15;0;6;2;3;1;2;0;0;0;0;5;3;3;2;0;2;0;0
Vlaams Brabant;Gerechtelijke geneeskunde;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Vlaams Brabant;Beheer van gezondheidsgegevens;12;6;6;0;0;0;0;0;1;2;3;0;0;0;0;0;0;0;1;2;3
Vlaams Brabant;Anesthesie-reanimatie;356;159;197;0;27;20;27;23;19;11;12;20;0;23;19;26;22;25;36;17;29
Vlaams Brabant;Heelkunde;276;61;215;0;9;10;16;14;6;0;3;3;0;22;20;21;20;23;20;23;66
Vlaams Brabant;Neurochirurgie;32;3;29;0;1;1;0;1;0;0;0;0;0;3;4;3;6;3;3;1;6
Vlaams Brabant;Plastische, reconstructieve en esthetische heelkunde;38;13;25;0;2;3;1;4;1;1;1;0;0;1;2;1;4;5;5;1;6
Vlaams Brabant;Urologie;65;10;55;0;2;3;2;0;3;0;0;0;0;6;8;2;8;5;9;2;15
Vlaams Brabant;Orthopedische heelkunde;170;24;146;0;5;4;3;2;5;2;0;3;0;13;16;23;19;17;24;15;19
Vlaams Brabant;Neurologie;90;45;45;0;10;7;5;4;11;3;2;3;0;2;5;7;6;4;4;7;10
Vlaams Brabant;Psychiatrie;77;41;36;0;0;0;1;12;13;11;2;2;0;0;0;3;0;10;8;7;8
Vlaams Brabant;Neuropsychiatrie;34;6;28;0;0;0;0;0;0;1;2;3;0;0;0;0;0;0;0;2;26
Vlaams Brabant;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;72;63;9;0;10;9;18;12;1;4;3;6;0;0;0;0;3;0;4;0;2
Vlaams Brabant;Psychiatrie, meer bepaald volwassenpsychiatrie;144;66;78;0;7;11;24;9;0;5;7;3;0;5;5;9;5;1;3;13;37
Vlaams Brabant;Pneumologie;91;46;45;0;10;6;15;6;4;3;0;2;0;4;1;3;7;4;6;8;12
Vlaams Brabant;Gastro-enterologie;110;43;67;0;8;9;9;9;3;3;1;1;0;6;4;7;6;10;8;11;15
Vlaams Brabant;Cardiologie;173;33;140;0;2;6;8;7;4;3;1;2;0;10;11;22;11;23;22;15;26
Vlaams Brabant;Inwendige geneeskunde;281;114;167;0;14;23;27;18;8;8;11;5;0;8;8;8;28;15;20;16;64
Vlaams Brabant;Reumatologie;36;16;20;0;2;2;4;5;2;0;0;1;0;1;0;2;4;2;0;2;9
Vlaams Brabant;Acute geneeskunde;50;21;29;0;6;5;2;5;2;1;0;0;0;2;2;3;8;10;3;0;1
Vlaams Brabant;Gynaecologie-verloskunde;243;140;103;0;30;19;24;24;16;13;5;9;0;0;6;10;7;11;17;14;38
Vlaams Brabant;Oftalmologie;195;130;65;1;13;14;21;13;19;12;14;23;1;2;2;8;6;8;9;9;20
Vlaams Brabant;Otorhinolaryngologie;98;48;50;0;8;8;8;4;9;5;2;4;0;2;5;3;5;3;7;9;16
Vlaams Brabant;Stomatologie;50;17;33;0;1;4;3;3;1;0;2;3;0;5;3;3;1;4;5;0;12
Vlaams Brabant;Dermato-venereologie;137;104;33;2;11;12;22;14;12;8;6;17;1;1;2;0;7;5;3;2;12
Vlaams Brabant;Pediatrie;310;215;95;0;35;36;32;34;30;15;8;25;0;5;6;7;6;11;15;13;32
Vlaams Brabant;Fysische geneeskunde en revalidatie;88;42;46;0;6;6;6;8;1;7;5;3;0;4;3;1;3;5;1;6;23
Vlaams Brabant;Klinische biologie;121;51;70;0;3;3;6;7;5;6;7;14;0;2;2;3;3;6;8;10;36
Vlaams Brabant;Rontgendiagnose;289;102;187;0;12;14;12;18;16;14;5;11;1;17;12;20;16;21;34;17;49
Vlaams Brabant;Radiotherapie - oncologie;40;26;14;0;5;1;4;6;5;5;0;0;0;1;0;3;2;1;4;2;1
Vlaams Brabant;Nucleaire geneeskunde;51;24;27;0;2;8;3;2;5;2;0;2;0;1;1;2;3;5;4;1;10
Vlaams Brabant;Pathologische anatomie;66;39;27;0;4;4;11;5;3;4;5;3;0;1;0;5;1;2;1;6;11
Vlaams Brabant;Medische oncologie;43;23;20;0;3;3;5;2;4;4;1;1;0;2;0;2;5;4;3;1;3
Vlaams Brabant;Klinische genetica;15;10;5;0;0;1;3;1;1;3;1;0;0;0;1;0;0;1;1;2;0
Vlaams Brabant;Arbeidsgeneeskunde;209;112;97;0;3;4;17;28;19;20;8;13;0;0;0;7;7;5;20;23;35
Vlaams Brabant;Verzekeringsgeneeskunde en medische expertise;97;38;59;0;0;1;1;8;7;11;6;4;0;0;0;0;3;7;16;14;19
West-Vlaanderen;Alle specialiteiten;2546;876;1670;3;138;121;132;143;114;75;54;96;1;80;109;138;143;154;198;211;636
West-Vlaanderen;Geriatrie;42;23;19;0;5;3;6;3;3;1;2;0;0;1;2;1;1;1;2;2;9
West-Vlaanderen;Urgentiegeneeskunde;9;7;2;0;4;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
West-Vlaanderen;Beheer van gezondheidsgegevens;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
West-Vlaanderen;Anesthesie-reanimatie;283;99;184;0;12;12;16;17;17;10;4;11;0;13;13;28;19;26;17;26;42
West-Vlaanderen;Heelkunde;142;25;117;0;6;4;7;4;0;1;1;2;0;4;8;9;9;10;14;14;49
West-Vlaanderen;Neurochirurgie;24;2;22;0;1;0;0;1;0;0;0;0;0;3;3;2;4;0;2;3;5
West-Vlaanderen;Plastische, reconstructieve en esthetische heelkunde;25;5;20;0;2;1;0;0;0;1;1;0;0;0;4;1;4;1;4;1;5
West-Vlaanderen;Urologie;60;6;54;0;4;0;0;1;1;0;0;0;0;6;4;5;9;5;4;8;13
West-Vlaanderen;Orthopedische heelkunde;143;8;135;0;2;0;2;2;1;1;0;0;0;5;14;12;11;16;23;16;38
West-Vlaanderen;Neurologie;53;19;34;0;3;6;3;3;4;0;0;0;0;1;1;5;5;2;9;6;5
West-Vlaanderen;Psychiatrie;34;13;21;0;0;0;1;1;7;2;1;1;0;0;0;0;3;6;9;1;2
West-Vlaanderen;Neuropsychiatrie;23;3;20;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;20
West-Vlaanderen;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;25;20;5;0;3;3;5;2;0;1;1;5;0;0;0;1;0;0;0;2;2
West-Vlaanderen;Psychiatrie, meer bepaald volwassenpsychiatrie;81;33;48;0;7;6;9;1;0;0;4;6;0;2;2;3;3;1;3;6;28
West-Vlaanderen;Pneumologie;55;22;33;0;3;6;7;1;2;3;0;0;0;2;2;2;1;5;4;4;13
West-Vlaanderen;Gastro-enterologie;73;18;55;0;7;5;3;1;2;0;0;0;0;4;4;9;6;2;8;7;15
West-Vlaanderen;Cardiologie;95;12;83;0;2;5;0;2;1;1;0;1;0;3;9;5;14;8;5;12;27
West-Vlaanderen;Inwendige geneeskunde;118;34;84;0;3;10;9;6;2;3;1;0;0;2;3;4;9;7;5;5;49
West-Vlaanderen;Reumatologie;22;8;14;0;1;1;0;1;3;0;0;2;0;0;2;1;1;0;1;0;9
West-Vlaanderen;Acute geneeskunde;24;9;15;0;1;1;2;3;2;0;0;0;0;0;2;4;4;2;1;2;0
West-Vlaanderen;Gynaecologie-verloskunde;130;54;76;1;12;7;10;10;8;4;1;1;0;3;6;0;4;5;10;8;40
West-Vlaanderen;Oftalmologie;131;82;49;0;9;7;4;16;8;11;8;19;0;1;2;3;2;5;5;3;28
West-Vlaanderen;Otorhinolaryngologie;77;19;58;0;6;2;0;2;7;1;1;0;0;2;3;5;8;3;6;4;27
West-Vlaanderen;Stomatologie;41;6;35;0;2;1;0;1;1;0;1;0;1;5;3;5;4;5;3;2;7
