Gebied;Specialiteit;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_min20;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_min20;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
Gewest Vlaanderen;GEEN ERKENNING;95567;83742;11825;1;2732;6099;8726;9274;10678;13661;11835;7849;5356;7531;0;390;861;1298;1307;1520;1989;2060;1163;805;432
Gewest Vlaanderen;INTENSIEVE ZORG EN SPOEDGEVALLENZORG;5522;3638;1884;0;148;489;678;694;672;408;357;152;35;5;0;41;186;274;258;330;332;279;118;58;8
Gewest Vlaanderen;GERIATRIE (BIJZONDERE BEROEPSTITEL);461;366;95;0;9;44;62;64;58;57;49;19;4;0;0;0;10;12;15;15;19;17;7;0;0
Gewest Vlaanderen;GERIATRIE (BIJZONDERE BEROEPSBEKWAAMHEID);458;434;24;0;3;42;49;59;67;97;82;31;4;0;0;1;1;5;4;4;3;6;0;0;0
Gewest Vlaanderen;ONCOLOGIE;281;237;44;0;4;24;36;34;45;36;40;16;2;0;0;0;4;4;5;3;13;8;7;0;0
Gewest Wallonië;GEEN ERKENNING;43307;39122;4185;0;1245;2935;4242;4484;4688;5794;5529;3947;2831;3427;0;171;428;689;719;500;591;579;252;147;109
Gewest Wallonië;INTENSIEVE ZORG EN SPOEDGEVALLENZORG;3094;2245;849;0;97;336;419;443;397;301;163;64;23;2;0;29;111;186;189;133;90;86;18;6;1
Gewest Wallonië;GERIATRIE (BIJZONDERE BEROEPSTITEL);167;146;21;0;5;22;32;22;23;14;20;7;1;0;0;0;0;6;7;3;3;2;0;0;0
Gewest Wallonië;GERIATRIE (BIJZONDERE BEROEPSBEKWAAMHEID);152;139;13;0;1;20;24;20;25;25;17;6;1;0;0;0;1;4;3;2;0;3;0;0;0
Gewest Wallonië;ONCOLOGIE;183;161;22;0;11;35;41;23;12;15;20;4;0;0;0;4;7;1;2;3;0;4;1;0;0
Gewest Brussels hoofdstedelijk gewest;GEEN ERKENNING;7327;6543;784;0;180;535;727;658;651;839;894;592;472;995;0;36;118;138;128;93;107;82;45;18;19
Gewest Brussels hoofdstedelijk gewest;INTENSIEVE ZORG EN SPOEDGEVALLENZORG;387;288;99;0;15;64;55;43;44;31;24;8;4;0;0;2;30;24;11;12;10;9;0;0;1
Gewest Brussels hoofdstedelijk gewest;GERIATRIE (BIJZONDERE BEROEPSTITEL);40;30;10;0;1;5;5;4;6;5;3;1;0;0;0;0;0;5;1;2;2;0;0;0;0
Gewest Brussels hoofdstedelijk gewest;GERIATRIE (BIJZONDERE BEROEPSBEKWAAMHEID);18;15;3;0;0;0;0;1;3;4;3;2;2;0;0;0;1;0;1;1;0;0;0;0;0
Gewest Brussels hoofdstedelijk gewest;ONCOLOGIE;68;63;5;0;4;17;10;4;7;4;13;3;1;0;0;0;2;1;0;1;0;1;0;0;0
Prov Vlaams Brabant;GEEN ERKENNING;16003;13951;2052;1;428;800;1280;1443;1786;2501;2264;1407;901;1140;0;57;135;167;201;237;380;422;238;151;64
Prov Vlaams Brabant;INTENSIEVE ZORG EN SPOEDGEVALLENZORG;1087;724;363;0;35;80;109;119;144;97;94;38;6;2;0;6;28;41;43;52;70;81;23;17;2
Prov Vlaams Brabant;GERIATRIE (BIJZONDERE BEROEPSTITEL);71;56;15;0;0;4;9;12;7;10;9;5;0;0;0;0;0;0;3;2;5;4;1;0;0
Prov Vlaams Brabant;GERIATRIE (BIJZONDERE BEROEPSBEKWAAMHEID);33;31;2;0;0;1;3;5;4;11;5;2;0;0;0;0;0;0;0;1;1;0;0;0;0
Prov Vlaams Brabant;ONCOLOGIE;35;25;10;0;1;4;3;0;4;5;4;3;1;0;0;0;1;1;0;2;3;2;1;0;0
Prov West-Vlaanderen;GEEN ERKENNING;20765;18314;2451;0;854;1590;1936;2008;2093;2824;2537;1701;1147;1624;0;101;208;311;273;315;379;401;230;167;66
Prov West-Vlaanderen;INTENSIEVE ZORG EN SPOEDGEVALLENZORG;1085;702;383;0;30;102;147;128;119;64;64;35;11;2;0;11;38;53;43;51;70;61;35;17;4
Prov West-Vlaanderen;GERIATRIE (BIJZONDERE BEROEPSTITEL);88;71;17;0;2;11;16;9;11;7;10;4;1;0;0;0;1;1;1;2;6;5;1;0;0
Prov West-Vlaanderen;GERIATRIE (BIJZONDERE BEROEPSBEKWAAMHEID);123;117;6;0;2;11;9;15;23;24;24;7;2;0;0;0;0;1;1;3;0;1;0;0;0
Prov West-Vlaanderen;ONCOLOGIE;63;60;3;0;1;5;15;12;10;7;4;6;0;0;0;0;1;0;0;0;2;0;0;0;0
Prov Oost-Vlaanderen;GEEN ERKENNING;22386;19633;2753;0;353;1357;2099;2233;2649;3225;2702;1860;1339;1816;0;57;187;327;322;363;467;514;280;168;68
Prov Oost-Vlaanderen;INTENSIEVE ZORG EN SPOEDGEVALLENZORG;1256;840;416;0;24;103;149;171;138;100;96;46;12;1;0;8;49;57;47;86;66;63;27;12;1
Prov Oost-Vlaanderen;GERIATRIE (BIJZONDERE BEROEPSTITEL);115;90;25;0;5;8;18;22;12;14;7;3;1;0;0;0;3;6;4;5;3;2;2;0;0
Prov Oost-Vlaanderen;GERIATRIE (BIJZONDERE BEROEPSBEKWAAMHEID);78;75;3;0;1;17;8;6;9;21;11;2;0;0;0;0;0;1;0;0;1;1;0;0;0
Prov Oost-Vlaanderen;ONCOLOGIE;77;64;13;0;1;6;11;8;13;8;13;4;0;0;0;0;2;0;3;0;2;3;3;0;0
Prov Antwerpen;GEEN ERKENNING;22629;19848;2781;0;545;1322;1950;2174;2613;3371;2853;1790;1181;2049;0;83;170;274;311;356;507;505;265;194;116
Prov Antwerpen;INTENSIEVE ZORG EN SPOEDGEVALLENZORG;1367;868;499;0;27;133;160;173;173;106;70;22;4;0;0;7;51;79;91;95;81;62;24;9;0
Prov Antwerpen;GERIATRIE (BIJZONDERE BEROEPSTITEL);134;108;26;0;1;13;11;17;23;17;18;6;2;0;0;0;4;3;4;6;4;3;2;0;0
Prov Antwerpen;GERIATRIE (BIJZONDERE BEROEPSBEKWAAMHEID);139;132;7;0;0;4;10;21;19;28;34;14;2;0;0;0;0;0;3;0;0;4;0;0;0
Prov Antwerpen;ONCOLOGIE;78;69;9;0;1;6;6;12;11;12;18;2;1;0;0;0;0;2;1;0;3;1;2;0;0
Prov Limburg;GEEN ERKENNING;13784;11996;1788;0;552;1030;1461;1416;1537;1740;1479;1091;788;902;0;92;161;219;200;249;256;218;150;125;118
Prov Limburg;INTENSIEVE ZORG EN SPOEDGEVALLENZORG;727;504;223;0;32;71;113;103;98;41;33;11;2;0;0;9;20;44;34;46;45;12;9;3;1
Prov Limburg;GERIATRIE (BIJZONDERE BEROEPSTITEL);53;41;12;0;1;8;8;4;5;9;5;1;0;0;0;0;2;2;3;0;1;3;1;0;0
Prov Limburg;GERIATRIE (BIJZONDERE BEROEPSBEKWAAMHEID);85;79;6;0;0;9;19;12;12;13;8;6;0;0;0;1;1;3;0;0;1;0;0;0;0
Prov Limburg;ONCOLOGIE;28;19;9;0;0;3;1;2;7;4;1;1;0;0;0;0;0;1;1;1;3;2;1;0;0
Prov Waals Brabant;GEEN ERKENNING;4242;3975;267;0;83;148;314;413;442;699;664;447;331;434;0;8;22;33;43;45;43;41;15;10;7
Prov Waals Brabant;INTENSIEVE ZORG EN SPOEDGEVALLENZORG;305;230;75;0;6;34;38;48;37;28;23;13;3;0;0;0;6;21;11;20;8;6;1;2;0
Prov Waals Brabant;GERIATRIE (BIJZONDERE BEROEPSTITEL);18;18;0;0;0;1;1;2;3;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Waals Brabant;GERIATRIE (BIJZONDERE BEROEPSBEKWAAMHEID);6;6;0;0;0;0;0;0;0;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Waals Brabant;ONCOLOGIE;17;16;1;0;1;2;6;4;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Prov Henegouwen;GEEN ERKENNING;16066;14461;1605;0;435;1033;1576;1733;1851;2235;2003;1444;1021;1130;0;73;154;271;260;196;236;235;97;51;32
Prov Henegouwen;INTENSIEVE ZORG EN SPOEDGEVALLENZORG;1057;757;300;0;35;105;123;151;153;105;55;20;10;0;0;9;44;64;53;44;42;39;5;0;0
Prov Henegouwen;GERIATRIE (BIJZONDERE BEROEPSTITEL);39;34;5;0;2;3;13;3;6;3;4;0;0;0;0;0;0;2;2;1;0;0;0;0;0
Prov Henegouwen;GERIATRIE (BIJZONDERE BEROEPSBEKWAAMHEID);34;33;1;0;0;3;3;6;8;7;5;0;1;0;0;0;0;0;0;0;0;1;0;0;0
Prov Henegouwen;ONCOLOGIE;55;45;10;0;0;9;10;7;2;7;8;2;0;0;0;2;3;1;1;0;0;2;1;0;0
Prov Luik;GEEN ERKENNING;13339;11890;1449;0;457;1062;1428;1379;1369;1520;1619;1149;851;1056;0;48;160;245;239;170;177;202;91;62;55
Prov Luik;INTENSIEVE ZORG EN SPOEDGEVALLENZORG;975;700;275;0;31;115;148;136;101;102;47;15;3;2;0;13;35;63;72;42;17;27;4;2;0
Prov Luik;GERIATRIE (BIJZONDERE BEROEPSTITEL);82;70;12;0;1;14;14;13;12;6;7;2;1;0;0;0;0;3;3;2;3;1;0;0;0
Prov Luik;GERIATRIE (BIJZONDERE BEROEPSBEKWAAMHEID);82;72;10;0;0;15;14;10;12;12;8;1;0;0;0;0;1;3;3;2;0;1;0;0;0
Prov Luik;ONCOLOGIE;93;83;10;0;10;19;21;11;9;4;8;1;0;0;0;1;4;0;1;3;0;1;0;0;0
Prov Namen;GEEN ERKENNING;6460;5884;576;0;170;449;579;635;671;878;839;618;437;608;0;32;64;92;113;69;84;65;32;14;11
Prov Namen;INTENSIEVE ZORG EN SPOEDGEVALLENZORG;513;378;135;0;21;51;82;67;73;41;26;13;4;0;0;6;18;28;34;20;13;9;4;2;1
Prov Namen;GERIATRIE (BIJZONDERE BEROEPSTITEL);17;13;4;0;0;1;4;2;2;0;2;2;0;0;0;0;0;1;2;0;0;1;0;0;0
Prov Namen;GERIATRIE (BIJZONDERE BEROEPSBEKWAAMHEID);24;22;2;0;1;1;6;3;5;3;1;2;0;0;0;0;0;1;0;0;0;1;0;0;0
Prov Namen;ONCOLOGIE;12;12;0;0;0;4;3;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Luxemburg;GEEN ERKENNING;3200;2912;288;0;100;243;345;324;355;462;404;289;191;199;0;10;28;48;64;20;51;36;17;10;4
Prov Luxemburg;INTENSIEVE ZORG EN SPOEDGEVALLENZORG;244;180;64;0;4;31;28;41;33;25;12;3;3;0;0;1;8;10;19;7;10;5;4;0;0
Prov Luxemburg;GERIATRIE (BIJZONDERE BEROEPSTITEL);11;11;0;0;2;3;0;2;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Luxemburg;GERIATRIE (BIJZONDERE BEROEPSBEKWAAMHEID);6;6;0;0;0;1;1;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Luxemburg;ONCOLOGIE;6;5;1;0;0;1;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0
Prov Brussels hoofdstedelijk gewest;GEEN ERKENNING;7327;6543;784;0;180;535;727;658;651;839;894;592;472;995;0;36;118;138;128;93;107;82;45;18;19
Prov Brussels hoofdstedelijk gewest;INTENSIEVE ZORG EN SPOEDGEVALLENZORG;387;288;99;0;15;64;55;43;44;31;24;8;4;0;0;2;30;24;11;12;10;9;0;0;1
Prov Brussels hoofdstedelijk gewest;GERIATRIE (BIJZONDERE BEROEPSTITEL);40;30;10;0;1;5;5;4;6;5;3;1;0;0;0;0;0;5;1;2;2;0;0;0;0
Prov Brussels hoofdstedelijk gewest;GERIATRIE (BIJZONDERE BEROEPSBEKWAAMHEID);18;15;3;0;0;0;0;1;3;4;3;2;2;0;0;0;1;0;1;1;0;0;0;0;0
Prov Brussels hoofdstedelijk gewest;ONCOLOGIE;68;63;5;0;4;17;10;4;7;4;13;3;1;0;0;0;2;1;0;1;0;1;0;0;0
