Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Man;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17
;Forensische psychiatrie;1.0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;Klinische infectiologie;2.0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0
West-Vlaanderen;Alle specialiteiten;15.0;8;7;0;5;3;0;0;0;0;5;2;0;0;0;0
;"Functionele en professionele revalidatie van
gehandicapten";5.0;2;3;0;2;0;0;0;0;0;1;2;0;0;0;0
;Intensieve zorgen;5.0;2;3;0;2;0;0;0;0;0;3;0;0;0;0;0
;Pediatrische neurologie;1.0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;Nefrologie;1.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;Urgentiegeneeskunde;1.0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;Neonatologie;2.0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0
Oost-Vlaanderen;Alle specialiteiten;37.0;21;16;0;14;4;1;1;1;0;11;1;3;1;0;0
;"Functionele en professionele revalidatie van
gehandicapten";10.0;5;5;0;1;3;0;1;0;0;4;0;1;0;0;0
;Mond-, kaak- en aangezichtschirurgie;2.0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0
;Intensieve zorgen;7.0;2;5;0;2;0;0;0;0;0;3;1;0;1;0;0
;Urgentiegeneeskunde;5.0;3;2;0;2;0;0;0;1;0;1;0;1;0;0;0
;Endocrino-diabetologie;5.0;3;2;0;2;0;1;0;0;0;1;0;1;0;0;0
;Neonatologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;Oncologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;Klinische hematologie;1.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;Klinische infectiologie;3.0;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0
;Medische microbiologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Antwerpen;Alle specialiteiten;35.0;22;13;1;20;1;0;0;0;0;12;0;0;1;0;0
;"Functionele en professionele revalidatie van
gehandicapten";4.0;3;1;0;2;1;0;0;0;0;0;0;0;1;0;0
;Mond-, kaak- en aangezichtschirurgie;1.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;Intensieve zorgen;14.0;6;8;1;5;0;0;0;0;0;8;0;0;0;0;0
;Pediatrische neurologie;4.0;3;1;0;3;0;0;0;0;0;1;0;0;0;0;0
;Urgentiegeneeskunde;3.0;1;2;0;1;0;0;0;0;0;2;0;0;0;0;0
;Endocrino-diabetologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;Neonatologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;Oncologie;4.0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0
;Pediatrische hematologie en oncologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;Klinische hematologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Limburg;Alle specialiteiten;11.0;5;6;0;4;0;1;0;0;0;5;0;0;0;0;1
;"Functionele en professionele revalidatie van
gehandicapten";2.0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1
;Mond-, kaak- en aangezichtschirurgie;1.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;Intensieve zorgen;6.0;3;3;0;3;0;0;0;0;0;3;0;0;0;0;0
;Urgentiegeneeskunde;2.0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0
Waals Brabant;Alle specialiteiten;10.0;5;5;0;3;2;0;0;0;0;1;1;0;1;2;0
;"Functionele en professionele revalidatie van
gehandicapten";5.0;3;2;0;1;2;0;0;0;0;0;0;0;1;1;0
;Pediatrische neurologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;Urgentiegeneeskunde;2.0;0;2;0;0;0;0;0;0;0;1;0;0;0;1;0
;Oncologie;1.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;Klinische hematologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Henegouwen;Alle specialiteiten;2.0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
;Intensieve zorgen;1.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;Klinische hematologie;1.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Luik;Alle specialiteiten;18.0;10;8;0;8;1;0;1;0;0;6;1;1;0;0;0
;"Functionele en professionele revalidatie van
gehandicapten";3.0;2;1;0;1;1;0;0;0;0;0;1;0;0;0;0
;Mond-, kaak- en aangezichtschirurgie;1.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;Intensieve zorgen;3.0;2;1;0;2;0;0;0;0;0;1;0;0;0;0;0
;Pediatrische neurologie;1.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;Nefrologie;2.0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0
;Urgentiegeneeskunde;3.0;1;2;0;0;0;0;1;0;0;1;0;1;0;0;0
;Neonatologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;Klinische hematologie;4.0;3;1;0;3;0;0;0;0;0;1;0;0;0;0;0
Namen;Alle specialiteiten;7.0;3;4;0;1;1;0;1;0;1;1;2;0;0;0;0
;"Functionele en professionele revalidatie van
gehandicapten";2.0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0
;Mond-, kaak- en aangezichtschirurgie;1.0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
;Intensieve zorgen;3.0;0;3;0;0;0;0;0;0;0;1;2;0;0;0;0
;Nefrologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Luxemburg;Alle specialiteiten;2.0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
;Mond-, kaak- en aangezichtschirurgie;1.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;Nefrologie;1.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
"Brussels Hoofdstedelijk
Gewest";Alle specialiteiten;32.0;11;21;0;9;1;1;0;0;0;16;2;2;1;0;0
;"Functionele en professionele revalidatie van
gehandicapten";5.0;3;2;0;2;0;1;0;0;0;0;1;0;1;0;0
;Mond-, kaak- en aangezichtschirurgie;2.0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
;Intensieve zorgen;13.0;5;8;0;4;1;0;0;0;0;6;1;1;0;0;0
;Pediatrische neurologie;1.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;Nefrologie;2.0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0
;Endocrino-diabetologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;Neonatologie;1.0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;Oncologie;1.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;Klinische hematologie;3.0;1;2;0;1;0;0;0;0;0;2;0;0;0;0;0
;Klinische infectiologie;3.0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0
