gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
Vlaams Gewest;Farmaceutisch-technisch assistent;8059;6870;1189;902;1078;1038;659;608;481;591;565;469;479;231;249;255;94;80;66;50;53;35;76
Waals Gewest;Farmaceutisch-technisch assistent;6207;5590;617;486;662;744;678;558;502;554;463;407;536;112;121;120;78;38;44;31;20;26;27
Brussels Hoofdstedelijk Gewest;Farmaceutisch-technisch assistent;1172;1012;160;160;162;212;131;103;61;56;53;30;44;26;28;32;16;12;16;14;5;5;6
Vlaams Brabant;Farmaceutisch-technisch assistent;1284;1046;238;122;157;157;121;109;67;94;82;75;62;56;43;50;12;14;14;10;13;14;12
West-Vlaanderen;Farmaceutisch-technisch assistent;1407;1216;191;149;151;162;89;103;101;118;119;101;123;33;26;42;17;17;15;11;6;5;19
Oost-Vlaanderen;Farmaceutisch-technisch assistent;1523;1290;233;159;235;202;108;104;86;113;104;86;93;38;63;43;13;20;11;10;13;9;13
Antwerpen;Farmaceutisch-technisch assistent;2516;2142;374;383;350;319;184;159;130;155;172;145;145;88;95;79;35;16;16;12;15;6;12
Limburg;Farmaceutisch-technisch assistent;1329;1176;153;89;185;198;157;133;97;111;88;62;56;16;22;41;17;13;10;7;6;1;20
Waals Brabant;Farmaceutisch-technisch assistent;314;275;39;13;21;18;31;20;27;32;36;30;47;2;7;4;5;1;4;4;1;4;7
Henegouwen;Farmaceutisch-technisch assistent;2373;2106;267;200;243;287;219;187;174;234;183;151;228;69;53;43;27;21;18;11;6;12;7
Luik;Farmaceutisch-technisch assistent;2110;1930;180;142;234;254;274;205;192;175;153;146;155;22;35;36;27;9;14;10;10;6;11
Namen;Farmaceutisch-technisch assistent;966;871;95;73;115;133;111;101;76;81;60;53;68;12;17;31;14;3;7;6;3;2;0
Luxemburg;Farmaceutisch-technisch assistent;444;408;36;58;49;52;43;45;33;32;31;27;38;7;9;6;5;4;1;0;0;2;2
Brussels Hoofdstedelijk Gewest;Farmaceutisch-technisch assistent;1172;1012;160;160;162;212;131;103;61;56;53;30;44;26;28;32;16;12;16;14;5;5;6
België;Audioloog;1720;1508;212;187;501;387;151;86;61;48;33;31;23;21;50;51;18;13;14;12;10;10;13
Vlaams Gewest;Audioloog;1452;1338;114;160;454;363;140;81;52;34;24;15;15;11;28;32;11;7;6;6;5;3;5
Waals Gewest;Audioloog;166;105;61;15;22;10;6;4;8;11;7;15;7;4;11;10;6;3;4;5;4;7;7
Brussels Hoofdstedelijk Gewest;Audioloog;102;65;37;12;25;14;5;1;1;3;2;1;1;6;11;9;1;3;4;1;1;0;1
Vlaams Brabant;Audioloog;210;192;18;18;83;33;24;15;8;4;5;1;1;1;6;3;1;1;2;1;1;1;1
West-Vlaanderen;Audioloog;342;308;34;45;99;98;30;17;7;3;4;4;1;2;10;11;1;2;3;1;2;0;2
Oost-Vlaanderen;Audioloog;419;379;40;51;127;111;32;22;13;11;7;2;3;3;9;13;7;3;1;2;1;1;0
Antwerpen;Audioloog;371;354;17;36;120;90;38;22;19;9;7;7;6;3;3;4;2;1;0;2;0;0;2
Limburg;Audioloog;110;105;5;10;25;31;16;5;5;7;1;1;4;2;0;1;0;0;0;0;1;1;0
Waals Brabant;Audioloog;40;22;18;1;4;2;3;1;3;2;4;1;1;2;2;2;3;0;0;2;0;5;2
Henegouwen;Audioloog;63;44;19;7;10;5;2;1;2;4;2;7;4;1;7;1;1;1;2;1;1;0;4
Luik;Audioloog;24;14;10;2;6;0;1;0;2;2;1;0;0;0;2;3;1;1;1;1;0;0;1
Namen;Audioloog;33;21;12;4;1;3;0;1;1;2;0;7;2;1;0;4;1;0;1;1;2;2;0
Luxemburg;Audioloog;6;4;2;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
Brussels Hoofdstedelijk Gewest;Audioloog;102;65;37;12;25;14;5;1;1;3;2;1;1;6;11;9;1;3;4;1;1;0;1
België;Logopedist;17364;16843;521;1286;2936;2770;2011;1752;1622;1024;1148;1104;1190;19;29;31;17;31;33;27;63;73;198
Vlaams Gewest;Logopedist;9900;9605;295;773;1678;1704;1227;1030;976;539;607;534;537;9;10;13;7;15;24;8;32;46;131
Waals Gewest;Logopedist;6209;6018;191;400;946;842;664;625;563;430;488;507;553;7;15;8;6;15;9;18;29;22;62
Brussels Hoofdstedelijk Gewest;Logopedist;1255;1220;35;113;312;224;120;97;83;55;53;63;100;3;4;10;4;1;0;1;2;5;5
Vlaams Brabant;Logopedist;1686;1650;36;116;298;272;234;177;187;80;82;98;106;1;1;4;1;1;2;2;2;11;11
West-Vlaanderen;Logopedist;2093;2009;84;175;328;362;251;223;219;112;140;105;94;0;4;0;1;2;6;1;14;15;41
Oost-Vlaanderen;Logopedist;2782;2701;81;219;509;461;341;304;251;151;152;146;167;3;3;6;3;6;9;1;12;8;30
Antwerpen;Logopedist;2366;2299;67;199;405;433;279;226;219;130;151;131;126;3;2;2;1;4;6;2;4;9;34
Limburg;Logopedist;973;946;27;64;138;176;122;100;100;66;82;54;44;2;0;1;1;2;1;2;0;3;15
Waals Brabant;Logopedist;906;883;23;62;122;118;110;73;97;60;56;81;104;0;4;0;2;2;1;5;3;0;6
Henegouwen;Logopedist;1734;1663;71;109;276;241;178;158;169;128;131;135;138;4;6;5;4;1;1;5;12;13;20
Luik;Logopedist;2119;2063;56;131;324;278;215;220;169;164;177;188;197;0;5;2;0;3;4;8;9;7;18
Namen;Logopedist;891;860;31;54;139;138;101;102;72;42;73;70;69;1;0;0;0;7;2;0;4;2;15
Luxemburg;Logopedist;559;549;10;44;85;67;60;72;56;36;51;33;45;2;0;1;0;2;1;0;1;0;3
Brussels Hoofdstedelijk Gewest;Logopedist;1255;1220;35;113;312;224;120;97;83;55;53;63;100;3;4;10;4;1;0;1;2;5;5
België;Orthoptist-optometrist;1114;760;354;52;155;112;109;61;69;82;62;38;20;2;33;33;41;47;44;49;51;37;17
Vlaams Gewest;Orthoptist-optometrist;992;670;322;44;136;100;99;55;59;74;53;35;15;2;28;30;36;44;38;47;47;35;15
Waals Gewest;Orthoptist-optometrist;78;58;20;7;11;7;7;2;6;5;7;2;4;0;2;0;2;2;6;2;2;2;2
Brussels Hoofdstedelijk Gewest;Orthoptist-optometrist;44;32;12;1;8;5;3;4;4;3;2;1;1;0;3;3;3;1;0;0;2;0;0
Vlaams Brabant;Orthoptist-optometrist;176;113;63;6;17;18;14;10;12;14;8;8;6;1;9;6;6;11;5;6;9;7;3
West-Vlaanderen;Orthoptist-optometrist;210;138;72;13;30;8;19;11;14;12;20;8;3;1;7;7;7;6;11;11;10;8;4
Oost-Vlaanderen;Orthoptist-optometrist;214;141;73;8;29;20;20;14;14;20;8;5;3;0;6;8;6;11;11;14;8;5;4
Antwerpen;Orthoptist-optometrist;254;171;83;10;41;32;27;12;11;20;9;8;1;0;4;8;14;10;8;12;14;9;4
Limburg;Orthoptist-optometrist;138;107;31;7;19;22;19;8;8;8;8;6;2;0;2;1;3;6;3;4;6;6;0
Waals Brabant;Orthoptist-optometrist;13;7;6;0;0;1;1;1;2;1;0;0;1;0;0;0;1;0;3;1;0;1;0
Henegouwen;Orthoptist-optometrist;21;19;2;0;3;3;2;0;2;1;6;0;2;0;0;0;0;0;2;0;0;0;0
Luik;Orthoptist-optometrist;29;22;7;6;4;2;3;1;1;2;1;1;1;0;2;0;1;1;1;0;0;1;1
Namen;Orthoptist-optometrist;7;5;2;1;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1
Luxemburg;Orthoptist-optometrist;8;5;3;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;2;0;0
Brussels Hoofdstedelijk Gewest;Orthoptist-optometrist;44;32;12;1;8;5;3;4;4;3;2;1;1;0;3;3;3;1;0;0;2;0;0
België;Podoloog;1137;759;378;122;214;147;83;77;55;20;22;10;9;53;138;62;37;40;15;15;9;5;4
Vlaams Gewest;Podoloog;822;576;246;106;173;119;62;49;45;6;8;3;5;46;109;36;21;13;11;6;1;0;3
Waals Gewest;Podoloog;197;111;86;6;19;20;19;17;7;5;13;3;2;0;17;16;13;21;4;7;4;4;0
Brussels Hoofdstedelijk Gewest;Podoloog;118;72;46;10;22;8;2;11;3;9;1;4;2;7;12;10;3;6;0;2;4;1;1
Vlaams Brabant;Podoloog;93;67;26;12;15;13;11;8;2;0;3;1;2;1;7;4;5;2;2;3;1;0;1
West-Vlaanderen;Podoloog;256;195;61;37;71;37;23;13;12;0;2;0;0;17;27;6;4;4;2;1;0;0;0
Oost-Vlaanderen;Podoloog;345;226;119;38;70;53;15;20;19;5;3;1;2;22;62;19;9;3;3;1;0;0;0
Antwerpen;Podoloog;87;61;26;13;14;14;10;4;3;1;0;1;1;3;10;5;1;3;3;1;0;0;0
Limburg;Podoloog;41;27;14;6;3;2;3;4;9;0;0;0;0;3;3;2;2;1;1;0;0;0;2
Waals Brabant;Podoloog;55;27;28;0;2;5;7;3;3;2;5;0;0;0;4;3;3;9;1;5;3;0;0
Henegouwen;Podoloog;63;34;29;4;8;7;6;3;3;0;0;2;1;0;6;7;4;8;0;1;0;3;0
Luik;Podoloog;29;19;10;1;2;3;1;3;0;2;5;1;1;0;2;1;2;1;2;0;1;1;0
Namen;Podoloog;34;22;12;0;5;5;4;5;0;1;2;0;0;0;3;4;2;2;1;0;0;0;0
Luxemburg;Podoloog;16;9;7;1;2;0;1;3;1;0;1;0;0;0;2;1;2;1;0;1;0;0;0
Brussels Hoofdstedelijk Gewest;Podoloog;118;72;46;10;22;8;2;11;3;9;1;4;2;7;12;10;3;6;0;2;4;1;1
België;Ergotherapeut;14478;12937;1541;1600;2789;2194;1782;1487;960;427;627;615;456;181;414;268;113;131;115;46;55;89;129
Vlaams Gewest;Ergotherapeut;10933;9761;1172;1322;2190;1669;1328;994;689;331;459;464;315;163;326;202;86;85;64;30;41;74;101
Waals Gewest;Ergotherapeut;2878;2580;298;198;439;435;396;434;231;79;135;127;106;12;66;54;21;39;42;13;12;14;25
Brussels Hoofdstedelijk Gewest;Ergotherapeut;667;596;71;80;160;90;58;59;40;17;33;24;35;6;22;12;6;7;9;3;2;1;3
Vlaams Brabant;Ergotherapeut;1249;1106;143;138;235;195;148;116;80;45;56;52;41;20;37;33;10;11;9;3;8;3;9
West-Vlaanderen;Ergotherapeut;2587;2293;294;304;467;392;307;263;169;63;123;122;83;30;65;51;24;22;15;9;14;26;38
Oost-Vlaanderen;Ergotherapeut;2944;2613;331;384;597;447;333;245;164;82;128;128;105;54;77;47;25;26;21;11;13;23;34
Antwerpen;Ergotherapeut;2482;2269;213;311;570;359;323;212;153;75;91;113;62;26;77;36;15;15;8;3;6;14;13
Limburg;Ergotherapeut;1671;1480;191;185;321;276;217;158;123;66;61;49;24;33;70;35;12;11;11;4;0;8;7
Waals Brabant;Ergotherapeut;390;353;37;25;51;59;48;61;33;11;18;29;18;1;7;5;3;8;4;1;1;5;2
Henegouwen;Ergotherapeut;1018;894;124;64;183;165;116;152;73;31;47;39;24;6;31;26;7;11;17;8;4;5;9
Luik;Ergotherapeut;830;743;87;58;104;129;130;131;69;22;38;29;33;1;16;15;9;12;13;2;5;3;11
Namen;Ergotherapeut;428;394;34;28;66;46;69;60;40;11;24;23;27;2;8;4;2;7;5;1;2;1;2
Luxemburg;Ergotherapeut;212;196;16;23;35;36;33;30;16;4;8;7;4;2;4;4;0;1;3;1;0;0;1
Brussels Hoofdstedelijk Gewest;Ergotherapeut;667;596;71;80;160;90;58;59;40;17;33;24;35;6;22;12;6;7;9;3;2;1;3
België;Diëtist;7650;7019;631;735;1529;1507;917;600;394;353;351;278;355;63;197;141;56;45;35;18;22;22;32
Vlaams Gewest;Diëtist;4892;4486;406;541;1014;968;533;342;225;205;223;192;243;46;131;101;33;27;15;9;10;11;23
Waals Gewest;Diëtist;2244;2062;182;161;398;417;307;223;149;132;108;76;91;15;51;31;18;14;19;9;8;9;8
Brussels Hoofdstedelijk Gewest;Diëtist;514;471;43;33;117;122;77;35;20;16;20;10;21;2;15;9;5;4;1;0;4;2;1
Vlaams Brabant;Diëtist;996;915;81;107;194;200;110;70;56;41;47;42;48;10;23;17;4;9;4;4;2;2;6
West-Vlaanderen;Diëtist;896;808;88;93;178;195;80;74;31;36;34;32;55;11;23;17;8;4;6;2;3;5;9
Oost-Vlaanderen;Diëtist;1089;987;102;137;249;174;115;72;48;52;53;37;50;8;39;31;6;6;2;2;4;3;1
Antwerpen;Diëtist;1386;1276;110;149;308;280;167;89;68;52;59;49;55;12;44;26;12;6;1;1;1;1;6
Limburg;Diëtist;525;500;25;55;85;119;61;37;22;24;30;32;35;5;2;10;3;2;2;0;0;0;1
Waals Brabant;Diëtist;355;333;22;18;66;62;48;41;22;23;21;13;19;1;3;7;5;0;1;1;2;1;1
Henegouwen;Diëtist;769;711;58;58;138;144;92;94;60;42;39;23;21;8;19;6;6;3;8;1;1;2;4
Luik;Diëtist;704;640;64;56;109;139;100;52;41;46;31;31;35;3;19;10;2;8;8;6;4;3;1
Namen;Diëtist;256;237;19;13;47;45;44;23;17;20;9;8;11;2;5;5;2;2;1;1;1;0;0
Luxemburg;Diëtist;160;141;19;16;38;27;23;13;9;1;8;1;5;1;5;3;3;1;1;0;0;3;2
Brussels Hoofdstedelijk Gewest;Diëtist;514;471;43;33;117;122;77;35;20;16;20;10;21;2;15;9;5;4;1;0;4;2;1
België;Audicien;2254;1856;398;187;500;428;237;201;109;56;63;34;41;21;50;49;32;30;34;20;22;42;98
Vlaams Gewest;Audicien;1840;1626;214;160;452;396;219;184;89;37;44;18;27;11;28;29;19;17;11;8;8;16;67
Waals Gewest;Audicien;277;148;129;15;23;16;11;12;18;15;14;12;12;4;11;11;9;9;15;9;13;19;29
Brussels Hoofdstedelijk Gewest;Audicien;137;82;55;12;25;16;7;5;2;4;5;4;2;6;11;9;4;4;8;3;1;7;2
Vlaams Brabant;Audicien;274;233;41;18;83;38;31;33;12;4;6;3;5;1;6;4;3;2;4;1;1;5;14
West-Vlaanderen;Audicien;423;372;51;45;99;103;47;41;11;4;13;6;3;2;10;7;3;3;4;1;3;2;16
Oost-Vlaanderen;Audicien;536;462;74;51;126;122;50;47;24;14;12;5;11;3;9;12;10;8;2;3;2;4;21
Antwerpen;Audicien;455;423;32;36;119;98;65;46;33;11;7;3;5;3;3;5;3;3;0;2;1;1;11
Limburg;Audicien;152;136;16;10;25;35;26;17;9;4;6;1;3;2;0;1;0;1;1;1;1;4;5
Waals Brabant;Audicien;63;33;30;1;5;2;3;3;5;2;7;4;1;2;2;2;4;2;1;3;0;9;5
Henegouwen;Audicien;82;45;37;7;10;6;3;3;6;4;2;3;1;1;7;1;3;1;5;2;4;4;9
Luik;Audicien;70;37;33;2;6;5;2;4;6;4;3;2;3;0;2;4;1;3;5;2;3;2;11
Namen;Audicien;45;24;21;4;1;3;1;1;0;3;2;3;6;1;0;4;1;1;3;2;3;4;2
Luxemburg;Audicien;17;9;8;1;1;0;2;1;1;2;0;0;1;0;0;0;0;2;1;0;3;0;2
Brussels Hoofdstedelijk Gewest;Audicien;137;82;55;12;25;16;7;5;2;4;5;4;2;6;11;9;4;4;8;3;1;7;2
België;Medisch laboratoriumtechnoloog;13075;9967;3108;714;1486;1276;1064;968;748;798;1066;916;931;192;611;513;361;268;220;177;214;268;284
Vlaams Gewest;Medisch laboratoriumtechnoloog;7322;5858;1464;498;930;710;530;537;439;502;664;537;511;135;337;238;124;106;80;64;85;135;160
Waals Gewest;Medisch laboratoriumtechnoloog;4822;3448;1374;169;415;477;463;367;269;253;353;332;350;45;219;231;202;124;120;95;110;119;109
Brussels Hoofdstedelijk Gewest;Medisch laboratoriumtechnoloog;931;661;270;47;141;89;71;64;40;43;49;47;70;12;55;44;35;38;20;18;19;14;15
Vlaams Brabant;Medisch laboratoriumtechnoloog;1623;1232;391;80;174;135;100;121;87;113;146;143;133;27;75;52;29;24;33;20;29;49;53
West-Vlaanderen;Medisch laboratoriumtechnoloog;1215;956;259;79;150;132;90;81;63;84;104;86;87;35;62;46;30;8;10;16;17;16;19
Oost-Vlaanderen;Medisch laboratoriumtechnoloog;1646;1364;282;134;208;149;130;121;111;120;154;105;132;26;67;36;24;26;15;11;13;23;41
Antwerpen;Medisch laboratoriumtechnoloog;1907;1545;362;128;261;188;127;146;120;131;183;148;113;30;75;61;30;39;17;15;19;37;39
Limburg;Medisch laboratoriumtechnoloog;931;761;170;77;137;106;83;68;58;54;77;55;46;17;58;43;11;9;5;2;7;10;8
Waals Brabant;Medisch laboratoriumtechnoloog;538;394;144;10;29;47;53;41;26;50;45;51;42;3;12;23;28;12;12;16;13;9;16
Henegouwen;Medisch laboratoriumtechnoloog;1856;1312;544;65;179;170;187;144;104;83;135;119;126;20;92;89;92;46;44;34;45;39;43
Luik;Medisch laboratoriumtechnoloog;1446;1041;405;52;143;155;138;107;76;63;107;87;113;16;79;75;52;40;34;20;19;41;29
Namen;Medisch laboratoriumtechnoloog;774;536;238;25;50;78;74;65;47;43;49;50;55;5;31;38;27;23;27;19;28;24;16
Luxemburg;Medisch laboratoriumtechnoloog;208;165;43;17;14;27;11;10;16;14;17;25;14;1;5;6;3;3;3;6;5;6;5
Brussels Hoofdstedelijk Gewest;Medisch laboratoriumtechnoloog;931;661;270;47;141;89;71;64;40;43;49;47;70;12;55;44;35;38;20;18;19;14;15
België;Technoloog medische beeldvorming;2964;1772;1192;148;321;334;203;139;79;107;167;145;129;50;185;225;150;103;62;61;101;111;144
Vlaams Gewest;Technoloog medische beeldvorming;1110;734;376;65;170;160;106;70;34;38;38;32;21;19;75;73;52;37;16;11;25;31;37
Waals Gewest;Technoloog medische beeldvorming;1486;843;643;68;117;122;74;56;34;59;119;102;92;24;86;111;70;53;37;43;67;66;86
Brussels Hoofdstedelijk Gewest;Technoloog medische beeldvorming;368;195;173;15;34;52;23;13;11;10;10;11;16;7;24;41;28;13;9;7;9;14;21
Vlaams Brabant;Technoloog medische beeldvorming;359;201;158;13;40;43;39;19;9;10;14;9;5;4;30;25;17;14;6;4;11;21;26
West-Vlaanderen;Technoloog medische beeldvorming;152;109;43;16;26;22;18;7;4;4;4;7;1;4;10;8;9;3;0;2;3;1;3
Oost-Vlaanderen;Technoloog medische beeldvorming;251;169;82;15;48;33;20;21;7;12;7;3;3;2;20;14;16;11;7;2;6;3;1
Antwerpen;Technoloog medische beeldvorming;225;165;60;18;38;30;21;11;9;9;11;9;9;4;9;17;8;3;2;2;4;6;5
Limburg;Technoloog medische beeldvorming;123;90;33;3;18;32;8;12;5;3;2;4;3;5;6;9;2;6;1;1;1;0;2
Waals Brabant;Technoloog medische beeldvorming;176;97;79;4;11;16;5;12;3;8;15;14;9;1;8;12;10;8;6;6;9;8;11
Henegouwen;Technoloog medische beeldvorming;515;246;269;23;40;37;22;21;7;16;30;25;25;14;46;57;28;18;8;15;19;24;40
Luik;Technoloog medische beeldvorming;466;321;145;33;44;45;24;11;15;26;46;42;35;8;22;24;14;10;9;10;13;17;18
Namen;Technoloog medische beeldvorming;262;148;114;8;17;17;19;10;7;9;25;18;18;0;7;13;16;14;12;7;21;14;10
Luxemburg;Technoloog medische beeldvorming;67;31;36;0;5;7;4;2;2;0;3;3;5;1;3;5;2;3;2;5;5;3;7
Brussels Hoofdstedelijk Gewest;Technoloog medische beeldvorming;368;195;173;15;34;52;23;13;11;10;10;11;16;7;24;41;28;13;9;7;9;14;21
België;Ambulancier niet dringend patiëntenvervoer;3332;1089;2243;77;142;181;140;138;136;93;81;66;35;119;308;306;274;234;237;250;229;144;142
Vlaams Gewest;Ambulancier niet dringend patiëntenvervoer;2210;686;1524;34;68;94;72;95;94;69;70;58;32;51;190;184;157;166;167;182;182;115;130
Waals Gewest;Ambulancier niet dringend patiëntenvervoer;991;382;609;39;70;84;62;41;42;22;11;8;3;57;100;103;95;55;63;63;38;27;8
Brussels Hoofdstedelijk Gewest;Ambulancier niet dringend patiëntenvervoer;131;21;110;4;4;3;6;2;0;2;0;0;0;11;18;19;22;13;7;5;9;2;4
Vlaams Brabant;Ambulancier niet dringend patiëntenvervoer;323;105;218;2;6;12;11;22;17;12;9;11;3;5;25;20;17;30;35;25;27;16;18
West-Vlaanderen;Ambulancier niet dringend patiëntenvervoer;494;139;355;3;19;17;15;18;18;10;18;15;6;6;41;49;34;33;38;50;50;25;29
Oost-Vlaanderen;Ambulancier niet dringend patiëntenvervoer;449;141;308;5;12;24;16;20;19;15;14;8;8;11;41;40;38;39;28;37;38;16;20
Antwerpen;Ambulancier niet dringend patiëntenvervoer;635;199;436;17;20;31;22;24;24;20;18;14;9;21;57;55;48;45;33;48;44;40;45
Limburg;Ambulancier niet dringend patiëntenvervoer;309;102;207;7;11;10;8;11;16;12;11;10;6;8;26;20;20;19;33;22;23;18;18
Waals Brabant;Ambulancier niet dringend patiëntenvervoer;114;41;73;5;8;10;5;6;5;1;0;1;0;8;14;13;8;6;5;7;5;5;2
Henegouwen;Ambulancier niet dringend patiëntenvervoer;363;125;238;5;16;32;28;14;14;10;5;1;0;16;34;37;50;28;28;21;14;8;2
Luik;Ambulancier niet dringend patiëntenvervoer;322;128;194;17;32;27;13;9;15;4;4;5;2;22;36;35;21;11;20;28;10;9;2
Namen;Ambulancier niet dringend patiëntenvervoer;131;58;73;9;11;10;7;10;1;6;2;1;1;8;12;10;12;9;7;5;8;2;0
Luxemburg;Ambulancier niet dringend patiëntenvervoer;61;30;31;3;3;5;9;2;7;1;0;0;0;3;4;8;4;1;3;2;1;3;2
Brussels Hoofdstedelijk Gewest;Ambulancier niet dringend patiëntenvervoer;131;21;110;4;4;3;6;2;0;2;0;0;0;11;18;19;22;13;7;5;9;2;4
België;Mondhygiënist;286;261;25;105;100;24;12;11;7;1;1;0;0;10;6;6;0;1;1;1;0;0;0
Vlaams Gewest;Mondhygiënist;230;215;15;85;90;19;5;8;7;0;1;0;0;5;4;5;0;0;1;0;0;0;0
Waals Gewest;Mondhygiënist;39;32;7;18;6;3;3;1;0;1;0;0;0;4;1;0;0;1;0;1;0;0;0
Brussels Hoofdstedelijk Gewest;Mondhygiënist;17;14;3;2;4;2;4;2;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
Vlaams Brabant;Mondhygiënist;42;38;4;11;17;4;2;1;3;0;0;0;0;2;0;1;0;0;1;0;0;0;0
West-Vlaanderen;Mondhygiënist;39;37;2;20;13;1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
Oost-Vlaanderen;Mondhygiënist;58;57;1;24;24;6;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Antwerpen;Mondhygiënist;61;55;6;15;26;6;0;4;3;0;1;0;0;1;3;2;0;0;0;0;0;0;0
Limburg;Mondhygiënist;30;28;2;15;10;2;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
Waals Brabant;Mondhygiënist;3;3;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Henegouwen;Mondhygiënist;6;5;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Luik;Mondhygiënist;23;17;6;9;5;1;2;0;0;0;0;0;0;4;1;0;0;1;0;0;0;0;0
Namen;Mondhygiënist;4;4;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Luxemburg;Mondhygiënist;3;3;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Mondhygiënist;17;14;3;2;4;2;4;2;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
