Gebied;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Man;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24
;"Brussels
Hoofdstedelijk Gewest";882.0;724;158;11;185;153;96;71;73;46;42;33;14;0;21;25;13;25;15;20;16;14;9
Klinisch orthopedagoog;België;170.0;147;23;12;37;29;17;23;12;6;5;6;0;2;1;2;3;6;1;2;4;2;0
;Vlaams Gewest;163.0;142;21;12;37;28;16;22;12;5;5;5;0;2;0;2;3;6;1;2;3;2;0
;Waals Gewest;5.0;3;2;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
;"Brussels
Hoofdstedelijk Gewest";2.0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Vlaams Brabant;43.0;36;7;2;7;7;3;7;4;3;2;1;0;1;0;1;1;1;0;0;2;1;0
;West-Vlaanderen;21.0;17;4;3;6;3;1;1;2;0;1;0;0;1;0;0;1;1;0;0;0;1;0
;Oost-Vlaanderen;36.0;30;6;5;6;5;4;4;2;1;0;3;0;0;0;1;1;3;0;0;1;0;0
;Antwerpen;38.0;36;2;2;11;7;5;7;2;1;1;0;0;0;0;0;0;1;0;1;0;0;0
;Limburg;25.0;23;2;0;7;6;3;3;2;0;1;1;0;0;0;0;0;0;1;1;0;0;0
;Waals Brabant;1.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;Henegouwen;4.0;3;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0
;"Brussels
Hoofdstedelijk Gewest";2.0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
