Territoire;Specialité;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Prov Flandre occidentale;ORTHODONTIE;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Flandre orientale;DENTISTERIE GENERALE;13;9;4;9;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0
Prov Flandre orientale;PARODONTOLOGIE;4;2;2;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Prov Flandre orientale;ORTHODONTIE;9;6;3;1;5;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
Prov Anvers;DENTISTERIE GENERALE;22;10;12;8;1;0;1;0;0;0;0;0;0;9;2;0;0;0;0;0;1;0;0
Prov Anvers;PARODONTOLOGIE;3;1;2;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
Prov Anvers;ORTHODONTIE;4;4;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Limbourg;DENTISTERIE GENERALE;7;3;4;3;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0
Prov Limbourg;PARODONTOLOGIE;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Prov Limbourg;ORTHODONTIE;3;3;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brabant wallon;DENTISTERIE GENERALE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brabant wallon;PARODONTOLOGIE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brabant wallon;ORTHODONTIE;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Hainaut;DENTISTERIE GENERALE;8;6;2;6;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
Prov Hainaut;PARODONTOLOGIE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Hainaut;ORTHODONTIE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Liège;DENTISTERIE GENERALE;11;7;4;5;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
Prov Liège;PARODONTOLOGIE;3;1;2;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Prov Liège;ORTHODONTIE;6;6;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Namur;DENTISTERIE GENERALE;4;3;1;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Prov Namur;PARODONTOLOGIE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Namur;ORTHODONTIE;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Prov Luxembourg;DENTISTERIE GENERALE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Luxembourg;PARODONTOLOGIE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Luxembourg;ORTHODONTIE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Région de Bruxelles-capitale;DENTISTERIE GENERALE;16;10;6;4;4;1;0;0;1;0;0;0;0;1;4;0;0;1;0;0;0;0;0
Prov Région de Bruxelles-capitale;PARODONTOLOGIE;4;3;1;0;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Prov Région de Bruxelles-capitale;ORTHODONTIE;12;9;3;4;4;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
