Territoire-Spécialité;Unnamed: 1;Total;Genre;Unnamed: 4;Femme;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Homme;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23
;Gastro-entérologie;144.0;90;54;1;49;38;1;0;1;0;0;0;2;31;21;0;0;0;0;0;0;0
;Cardiologie;161.0;65;96;3;29;33;0;0;0;0;0;0;1;59;34;2;0;0;0;0;0;0
;Médecine interne;883.0;503;380;77;387;38;1;0;0;0;0;0;54;277;45;3;0;1;0;0;0;0
;Rhumatologie;46.0;30;16;0;12;18;0;0;0;0;0;0;1;9;6;0;0;0;0;0;0;0
;Médecine aiguë;6.0;2;4;0;1;1;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
;Gynécologie-obstétrique;348.0;306;42;34;220;47;4;1;0;0;0;0;1;28;11;1;1;0;0;0;0;0
;Ophtalmologie;166.0;91;75;18;66;6;1;0;0;0;0;0;10;56;8;1;0;0;0;0;0;0
;Oto-rhino-laryngologie;147.0;95;52;10;76;8;1;0;0;0;0;0;5;40;6;1;0;0;0;0;0;0
;Stomatologie;76.0;30;46;4;20;6;0;0;0;0;0;0;3;37;5;1;0;0;0;0;0;0
;Dermato-vénéréologie;140.0;120;20;14;91;14;1;0;0;0;0;0;1;14;5;0;0;0;0;0;0;0
;Pédiatrie;498.0;424;74;52;310;59;3;0;0;0;0;0;5;54;14;1;0;0;0;0;0;0
;Médecine physique et réadaptation;135.0;68;67;3;54;9;0;1;0;1;0;0;5;46;16;0;0;0;0;0;0;0
;Biologie clinique;72.0;30;42;3;18;6;1;2;0;0;0;0;3;29;7;2;0;1;0;0;0;0
;Radiodiagnostic;296.0;108;188;11;76;15;3;2;1;0;0;0;18;130;30;6;4;0;0;0;0;0
;Radiothérapie-oncologie;60.0;30;30;3;19;8;0;0;0;0;0;0;3;16;9;2;0;0;0;0;0;0
;Médecine nucléaire;42.0;16;26;1;14;0;1;0;0;0;0;0;5;12;9;0;0;0;0;0;0;0
;Anatomie pathologique;72.0;49;23;1;32;13;1;2;0;0;0;0;1;17;4;1;0;0;0;0;0;0
;Oncologie médicale;61.0;39;22;2;24;12;1;0;0;0;0;0;0;10;12;0;0;0;0;0;0;0
;Génétique clinique;37.0;27;10;1;13;10;1;1;1;0;0;0;0;5;2;3;0;0;0;0;0;0
;Médecine du travail;131.0;81;50;0;13;29;15;4;10;6;3;1;0;12;10;8;9;4;5;1;1;0
;"Médecine d'assurance et expertise
médicale";10.0;4;6;0;1;0;2;1;0;0;0;0;0;0;1;1;1;0;0;2;0;1
Région flamande;Toutes les spécialités;3475.0;2003;1472;206;1389;344;32;18;7;5;2;0;135;998;291;25;13;3;5;2;0;0
;Gériatrie;53.0;38;15;0;24;14;0;0;0;0;0;0;0;10;4;1;0;0;0;0;0;0
;Médecine d'urgence;256.0;156;100;19;99;34;3;1;0;0;0;0;6;60;28;3;2;0;1;0;0;0
;Médecine légale;9.0;7;2;1;4;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;Anesthésie-réanimation;322.0;141;181;7;100;26;5;3;0;0;0;0;13;126;36;3;3;0;0;0;0;0
;Chirurgie;195.0;102;93;7;68;25;0;2;0;0;0;0;6;66;21;0;0;0;0;0;0;0
;Neurochirurgie;46.0;14;32;3;8;3;0;0;0;0;0;0;1;24;7;0;0;0;0;0;0;0
;"Chirurgie plastique, reconstructive et
esthétique";43.0;22;21;4;14;4;0;0;0;0;0;0;2;10;8;1;0;0;0;0;0;0
;Urologie;105.0;50;55;4;34;12;0;0;0;0;0;0;5;34;15;1;0;0;0;0;0;0
;Orthopédie;166.0;40;126;2;26;11;1;0;0;0;0;0;12;85;27;2;0;0;0;0;0;0
;Neurologie;107.0;70;37;9;45;11;4;1;0;0;0;0;7;28;2;0;0;0;0;0;0;0
;"Psychiatrie, particulièrement en
psychiatrie infanto-juvénile";79.0;64;15;6;48;9;0;1;0;0;0;0;2;10;3;0;0;0;0;0;0;0
;"Psychiatrie, particulièrement en
psychiatrie adulte";194.0;108;86;9;80;12;5;2;0;0;0;0;6;61;18;0;1;0;0;0;0;0
;Pneumologie;49.0;29;20;0;20;9;0;0;0;0;0;0;0;13;7;0;0;0;0;0;0;0
;Gastro-entérologie;73.0;48;25;0;29;18;0;0;1;0;0;0;0;15;10;0;0;0;0;0;0;0
;Cardiologie;64.0;25;39;0;14;11;0;0;0;0;0;0;0;22;16;1;0;0;0;0;0;0
;Médecine interne;498.0;294;204;47;226;20;1;0;0;0;0;0;33;148;21;1;0;1;0;0;0;0
;Rhumatologie;22.0;12;10;0;5;7;0;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0
;Médecine aiguë;5.0;2;3;0;1;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
;Gynécologie-obstétrique;177.0;156;21;19;111;24;1;1;0;0;0;0;0;15;5;0;1;0;0;0;0;0
;Ophtalmologie;95.0;60;35;11;45;4;0;0;0;0;0;0;6;28;1;0;0;0;0;0;0;0
;Oto-rhino-laryngologie;91.0;66;25;9;52;5;0;0;0;0;0;0;3;19;2;1;0;0;0;0;0;0
;Stomatologie;48.0;18;30;1;15;2;0;0;0;0;0;0;2;26;2;0;0;0;0;0;0;0
;Dermato-vénéréologie;78.0;68;10;9;52;7;0;0;0;0;0;0;1;7;2;0;0;0;0;0;0;0
;Pédiatrie;231.0;198;33;26;147;24;1;0;0;0;0;0;4;23;6;0;0;0;0;0;0;0
;Médecine physique et réadaptation;79.0;43;36;2;35;4;0;1;0;1;0;0;4;23;9;0;0;0;0;0;0;0
;Biologie clinique;42.0;18;24;2;8;5;1;2;0;0;0;0;3;17;3;1;0;0;0;0;0;0
;Radiodiagnostic;149.0;37;112;4;23;6;1;2;1;0;0;0;13;79;12;4;4;0;0;0;0;0
;Radiothérapie-oncologie;34.0;13;21;2;7;4;0;0;0;0;0;0;3;13;4;1;0;0;0;0;0;0
;Médecine nucléaire;18.0;7;11;1;6;0;0;0;0;0;0;0;3;5;3;0;0;0;0;0;0;0
;Anatomie pathologique;42.0;29;13;1;19;6;1;2;0;0;0;0;0;9;3;1;0;0;0;0;0;0
;Oncologie médicale;23.0;17;6;0;12;4;1;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0
;Génétique clinique;25.0;17;8;1;7;7;1;0;1;0;0;0;0;4;2;2;0;0;0;0;0;0
;Médecine du travail;55.0;33;22;0;5;13;5;0;4;4;2;0;0;6;5;2;2;2;4;1;0;0
;"Médecine d'assurance et expertise
médicale";2.0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Région wallonne;Toutes les spécialités;1759.0;1056;703;106;705;212;21;4;5;2;0;1;47;473;159;16;3;3;0;0;1;1
;Gériatrie;50.0;34;16;3;20;11;0;0;0;0;0;0;1;10;5;0;0;0;0;0;0;0
;Médecine d'urgence;199.0;113;86;7;73;29;1;0;2;1;0;0;2;44;33;4;0;2;0;0;1;0
;Médecine légale;3.0;1;2;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;Gestion des données de santé;1.0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;Anesthésie-réanimation;177.0;83;94;5;57;19;2;0;0;0;0;0;3;72;16;3;0;0;0;0;0;0
;Chirurgie;120.0;64;56;9;38;17;0;0;0;0;0;0;7;33;16;0;0;0;0;0;0;0
;Neurochirurgie;14.0;7;7;0;5;2;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0
;"Chirurgie plastique, reconstructive et
esthétique";15.0;11;4;1;7;3;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0
;Urologie;26.0;10;16;0;4;5;1;0;0;0;0;0;1;10;5;0;0;0;0;0;0;0
;Orthopédie;85.0;29;56;3;18;8;0;0;0;0;0;0;2;31;21;2;0;0;0;0;0;0
;Neurologie;40.0;22;18;2;17;3;0;0;0;0;0;0;2;12;4;0;0;0;0;0;0;0
;"Psychiatrie, particulièrement en
psychiatrie infanto-juvénile";39.0;35;4;0;28;5;1;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0
;"Psychiatrie, particulièrement en
psychiatrie adulte";54.0;40;14;3;31;5;1;0;0;0;0;0;1;10;3;0;0;0;0;0;0;0
;Pneumologie;36.0;24;12;1;11;12;0;0;0;0;0;0;1;8;3;0;0;0;0;0;0;0
;Gastro-entérologie;43.0;25;18;1;14;10;0;0;0;0;0;0;2;11;5;0;0;0;0;0;0;0
;Cardiologie;49.0;16;33;3;8;5;0;0;0;0;0;0;1;25;7;0;0;0;0;0;0;0
;Médecine interne;207.0;114;93;15;90;9;0;0;0;0;0;0;12;73;8;0;0;0;0;0;0;0
;Rhumatologie;12.0;9;3;0;7;2;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
;Gynécologie-obstétrique;96.0;86;10;10;64;10;2;0;0;0;0;0;1;8;0;1;0;0;0;0;0;0
;Ophtalmologie;30.0;19;11;6;12;0;1;0;0;0;0;0;1;9;1;0;0;0;0;0;0;0
;Oto-rhino-laryngologie;25.0;13;12;1;10;1;1;0;0;0;0;0;0;10;2;0;0;0;0;0;0;0
;Stomatologie;13.0;7;6;2;3;2;0;0;0;0;0;0;1;4;0;1;0;0;0;0;0;0
;Dermato-vénéréologie;26.0;23;3;3;16;3;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
;Pédiatrie;162.0;137;25;19;98;19;1;0;0;0;0;0;0;18;6;1;0;0;0;0;0;0
;Médecine physique et réadaptation;35.0;15;20;1;11;3;0;0;0;0;0;0;1;16;3;0;0;0;0;0;0;0
;Biologie clinique;13.0;4;9;1;3;0;0;0;0;0;0;0;0;7;1;0;0;1;0;0;0;0
;Radiodiagnostic;66.0;32;34;7;20;5;0;0;0;0;0;0;3;28;3;0;0;0;0;0;0;0
;Radiothérapie-oncologie;16.0;12;4;1;8;3;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0
;Médecine nucléaire;8.0;4;4;0;4;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0
;Anatomie pathologique;18.0;11;7;0;7;4;0;0;0;0;0;0;1;5;1;0;0;0;0;0;0;0
;Oncologie médicale;22.0;13;9;2;9;2;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0
;Génétique clinique;5.0;5;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Médecine du travail;50.0;35;15;0;7;13;9;2;2;1;0;1;0;4;5;3;3;0;0;0;0;0
;"Médecine d'assurance et expertise
médicale";4.0;2;2;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"Région de
Bruxelles Capitale";Toutes les spécialités;1455.0;818;637;41;533;215;17;6;4;1;1;0;27;375;198;24;6;4;1;1;1;0
;Gériatrie;34.0;29;5;0;14;13;1;1;0;0;0;0;0;1;3;1;0;0;0;0;0;0
;Médecine d'urgence;130.0;80;50;1;45;26;6;2;0;0;0;0;1;22;20;5;0;2;0;0;0;0
;Médecine légale;2.0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Anesthésie-réanimation;117.0;41;76;0;27;14;0;0;0;0;0;0;6;48;21;1;0;0;0;0;0;0
;Chirurgie;80.0;42;38;3;28;11;0;0;0;0;0;0;1;24;12;1;0;0;0;0;0;0
;Neurochirurgie;14.0;5;9;0;3;2;0;0;0;0;0;0;0;3;5;1;0;0;0;0;0;0
;"Chirurgie plastique, reconstructive et
esthétique";13.0;5;8;0;3;2;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0
;Urologie;34.0;17;17;1;12;4;0;0;0;0;0;0;0;10;7;0;0;0;0;0;0;0
;Orthopédie;63.0;15;48;1;5;8;1;0;0;0;0;0;1;30;15;2;0;0;0;0;0;0
;Neurologie;54.0;37;17;2;29;6;0;0;0;0;0;0;0;13;4;0;0;0;0;0;0;0
;"Psychiatrie, particulièrement en
psychiatrie infanto-juvénile";30.0;26;4;2;16;7;1;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0
;"Psychiatrie, particulièrement en
psychiatrie adulte";85.0;44;41;0;33;11;0;0;0;0;0;0;1;27;11;1;1;0;0;0;0;0
;Pneumologie;19.0;11;8;0;7;4;0;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0
;Gastro-entérologie;28.0;17;11;0;6;10;1;0;0;0;0;0;0;5;6;0;0;0;0;0;0;0
;Cardiologie;48.0;24;24;0;7;17;0;0;0;0;0;0;0;12;11;1;0;0;0;0;0;0
;Médecine interne;178.0;95;83;15;71;9;0;0;0;0;0;0;9;56;16;2;0;0;0;0;0;0
;Rhumatologie;12.0;9;3;0;0;9;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
;Médecine aiguë;1.0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;Gynécologie-obstétrique;75.0;64;11;5;45;13;1;0;0;0;0;0;0;5;6;0;0;0;0;0;0;0
;Ophtalmologie;41.0;12;29;1;9;2;0;0;0;0;0;0;3;19;6;1;0;0;0;0;0;0
;Oto-rhino-laryngologie;31.0;16;15;0;14;2;0;0;0;0;0;0;2;11;2;0;0;0;0;0;0;0
;Stomatologie;15.0;5;10;1;2;2;0;0;0;0;0;0;0;7;3;0;0;0;0;0;0;0
;Dermato-vénéréologie;36.0;29;7;2;23;4;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0
;Pédiatrie;105.0;89;16;7;65;16;1;0;0;0;0;0;1;13;2;0;0;0;0;0;0;0
;Médecine physique et réadaptation;21.0;10;11;0;8;2;0;0;0;0;0;0;0;7;4;0;0;0;0;0;0;0
;Biologie clinique;17.0;8;9;0;7;1;0;0;0;0;0;0;0;5;3;1;0;0;0;0;0;0
;Radiodiagnostic;81.0;39;42;0;33;4;2;0;0;0;0;0;2;23;15;2;0;0;0;0;0;0
;Radiothérapie-oncologie;10.0;5;5;0;4;1;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0
;Médecine nucléaire;16.0;5;11;0;4;0;1;0;0;0;0;0;0;6;5;0;0;0;0;0;0;0
;Anatomie pathologique;12.0;9;3;0;6;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
;Oncologie médicale;16.0;9;7;0;3;6;0;0;0;0;0;0;0;2;5;0;0;0;0;0;0;0
;Génétique clinique;7.0;5;2;0;2;2;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0
;Médecine du travail;26.0;13;13;0;1;3;1;2;4;1;1;0;0;2;0;3;4;2;1;0;1;0
;"Médecine d'assurance et expertise
médicale";4.0;1;3;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0
Brabant flamand;Toutes les spécialités;1000.0;586;414;38;405;117;10;9;6;0;1;0;21;266;111;9;3;0;4;0;0;0
;Gériatrie;22.0;13;9;0;7;6;0;0;0;0;0;0;0;6;2;1;0;0;0;0;0;0
;Médecine d'urgence;65.0;39;26;2;23;13;1;0;0;0;0;0;1;15;7;1;1;0;1;0;0;0
;Médecine légale;1.0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Anesthésie-réanimation;98.0;41;57;1;28;9;2;1;0;0;0;0;1;38;18;0;0;0;0;0;0;0
;Chirurgie;42.0;21;21;1;10;9;0;1;0;0;0;0;0;15;6;0;0;0;0;0;0;0
;Neurochirurgie;11.0;3;8;0;2;1;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0
;"Chirurgie plastique, reconstructive et
esthétique";11.0;6;5;0;5;1;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0
;Urologie;20.0;11;9;1;7;3;0;0;0;0;0;0;0;5;3;1;0;0;0;0;0;0
;Orthopédie;39.0;11;28;1;8;2;0;0;0;0;0;0;2;16;9;1;0;0;0;0;0;0
;Neurologie;29.0;17;12;2;9;6;0;0;0;0;0;0;2;9;1;0;0;0;0;0;0;0
;"Psychiatrie, particulièrement en
psychiatrie infanto-juvénile";30.0;23;7;0;15;7;0;1;0;0;0;0;1;5;1;0;0;0;0;0;0;0
;"Psychiatrie, particulièrement en
psychiatrie adulte";61.0;35;26;2;25;4;2;2;0;0;0;0;1;16;8;0;1;0;0;0;0;0
;Pneumologie;16.0;9;7;0;6;3;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0
;Gastro-entérologie;21.0;13;8;0;7;5;0;0;1;0;0;0;0;3;5;0;0;0;0;0;0;0
;Cardiologie;25.0;12;13;0;7;5;0;0;0;0;0;0;0;5;7;1;0;0;0;0;0;0
;Médecine interne;129.0;80;49;10;65;5;0;0;0;0;0;0;4;37;8;0;0;0;0;0;0;0
;Rhumatologie;7.0;3;4;0;1;2;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0
;Gynécologie-obstétrique;51.0;43;8;4;29;8;1;1;0;0;0;0;0;3;4;0;1;0;0;0;0;0
;Ophtalmologie;27.0;16;11;1;15;0;0;0;0;0;0;0;1;9;1;0;0;0;0;0;0;0
;Oto-rhino-laryngologie;26.0;19;7;3;16;0;0;0;0;0;0;0;1;4;1;1;0;0;0;0;0;0
;Stomatologie;17.0;10;7;0;8;2;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0
;Dermato-vénéréologie;28.0;24;4;0;23;1;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0
;Pédiatrie;78.0;67;11;7;46;13;1;0;0;0;0;0;0;9;2;0;0;0;0;0;0;0
;Médecine physique et réadaptation;22.0;13;9;1;11;1;0;0;0;0;0;0;1;5;3;0;0;0;0;0;0;0
;Biologie clinique;14.0;3;11;0;1;1;0;1;0;0;0;0;2;7;2;0;0;0;0;0;0;0
;Radiodiagnostic;44.0;12;32;0;7;3;0;1;1;0;0;0;2;22;7;1;0;0;0;0;0;0
;Radiothérapie-oncologie;13.0;4;9;1;2;1;0;0;0;0;0;0;1;5;2;1;0;0;0;0;0;0
;Médecine nucléaire;3.0;2;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;Anatomie pathologique;18.0;12;6;0;11;0;0;1;0;0;0;0;0;5;1;0;0;0;0;0;0;0
;Oncologie médicale;11.0;9;2;0;6;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;Génétique clinique;8.0;5;3;0;1;3;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0
;Médecine du travail;12.0;8;4;0;2;0;2;0;3;0;1;0;0;1;0;0;0;0;3;0;0;0
;"Médecine d'assurance et expertise
médicale";1.0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Flandre occidentale;Toutes les spécialités;416.0;221;195;39;152;25;4;0;0;1;0;0;28;139;23;1;2;1;1;0;0;0
;Gériatrie;3.0;2;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;Médecine d'urgence;28.0;19;9;5;11;3;0;0;0;0;0;0;0;7;1;0;1;0;0;0;0;0
;Anesthésie-réanimation;33.0;11;22;1;8;2;0;0;0;0;0;0;5;16;1;0;0;0;0;0;0;0
;Chirurgie;23.0;7;16;0;6;1;0;0;0;0;0;0;2;10;4;0;0;0;0;0;0;0
;Neurochirurgie;4.0;3;1;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;"Chirurgie plastique, reconstructive et
esthétique";7.0;2;5;0;2;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0;0;0
;Urologie;15.0;7;8;1;6;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0
;Orthopédie;27.0;9;18;0;6;3;0;0;0;0;0;0;2;10;6;0;0;0;0;0;0;0
;Neurologie;12.0;8;4;1;6;0;1;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0
;"Psychiatrie, particulièrement en
psychiatrie infanto-juvénile";8.0;7;1;1;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;"Psychiatrie, particulièrement en
psychiatrie adulte";29.0;14;15;2;11;0;1;0;0;0;0;0;1;12;2;0;0;0;0;0;0;0
;Pneumologie;5.0;4;1;0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;Gastro-entérologie;10.0;8;2;0;5;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;Cardiologie;6.0;1;5;0;1;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0
;Médecine interne;68.0;36;32;8;25;3;0;0;0;0;0;0;8;22;2;0;0;0;0;0;0;0
;Rhumatologie;3.0;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Gynécologie-obstétrique;12.0;10;2;1;7;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;Ophtalmologie;14.0;8;6;3;5;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0
;Oto-rhino-laryngologie;15.0;9;6;2;7;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0
;Stomatologie;4.0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
;Dermato-vénéréologie;9.0;9;0;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Pédiatrie;22.0;21;1;5;16;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;Médecine physique et réadaptation;13.0;6;7;1;5;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0
;Biologie clinique;6.0;3;3;0;1;1;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
;Radiodiagnostic;20.0;3;17;2;1;0;0;0;0;0;0;0;2;14;0;0;1;0;0;0;0;0
;Radiothérapie-oncologie;2.0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;Médecine nucléaire;5.0;3;2;1;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;Anatomie pathologique;3.0;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Génétique clinique;1.0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;Médecine du travail;9.0;4;5;0;0;2;1;0;0;1;0;0;0;1;1;1;0;1;1;0;0;0
Flandre orientale;Toutes les spécialités;929.0;544;385;50;390;90;9;5;0;0;0;0;33;264;73;8;5;0;0;2;0;0
;Gériatrie;12.0;10;2;0;8;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;Médecine d'urgence;67.0;41;26;4;27;9;0;1;0;0;0;0;2;14;9;1;0;0;0;0;0;0
;Médecine légale;2.0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Anesthésie-réanimation;84.0;40;44;3;30;6;1;0;0;0;0;0;3;31;7;1;2;0;0;0;0;0
;Chirurgie;47.0;28;19;3;20;4;0;1;0;0;0;0;0;16;3;0;0;0;0;0;0;0
;Neurochirurgie;13.0;3;10;1;1;1;0;0;0;0;0;0;0;7;3;0;0;0;0;0;0;0
;"Chirurgie plastique, reconstructive et
esthétique";14.0;8;6;2;3;3;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0
;Urologie;32.0;17;15;0;11;6;0;0;0;0;0;0;0;10;5;0;0;0;0;0;0;0
;Orthopédie;40.0;6;34;0;5;0;1;0;0;0;0;0;3;28;3;0;0;0;0;0;0;0
;Neurologie;35.0;24;11;2;19;1;2;0;0;0;0;0;0;10;1;0;0;0;0;0;0;0
;"Psychiatrie, particulièrement en
psychiatrie infanto-juvénile";19.0;16;3;1;13;2;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
;"Psychiatrie, particulièrement en
psychiatrie adulte";48.0;30;18;2;24;4;0;0;0;0;0;0;0;16;2;0;0;0;0;0;0;0
;Pneumologie;13.0;8;5;0;6;2;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0
;Gastro-entérologie;19.0;14;5;0;9;5;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0
;Cardiologie;14.0;5;9;0;3;2;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0
;Médecine interne;143.0;84;59;12;66;5;1;0;0;0;0;0;10;42;7;0;0;0;0;0;0;0
;Rhumatologie;9.0;6;3;0;2;4;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
;Médecine aiguë;2.0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;Gynécologie-obstétrique;45.0;43;2;4;33;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;Ophtalmologie;25.0;16;9;4;12;0;0;0;0;0;0;0;2;7;0;0;0;0;0;0;0;0
;Oto-rhino-laryngologie;21.0;17;4;1;13;3;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
;Stomatologie;11.0;4;7;1;3;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0
;Dermato-vénéréologie;21.0;19;2;2;15;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;Pédiatrie;59.0;46;13;6;35;5;0;0;0;0;0;0;3;7;3;0;0;0;0;0;0;0
;Médecine physique et réadaptation;25.0;11;14;0;10;1;0;0;0;0;0;0;1;9;4;0;0;0;0;0;0;0
