territoire;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Brabant flamand;Orthopédagogue clinicien;375;351;24;29;71;63;54;38;41;18;18;15;4;0;4;1;7;0;3;0;1;4;4
Flandre occidentale;Orthopédagogue clinicien;348;322;26;28;75;66;45;51;29;9;13;3;3;1;5;3;1;3;2;1;2;5;3
Flandre orientale;Orthopédagogue clinicien;535;489;46;50;127;105;84;46;42;14;10;8;3;1;9;7;5;4;8;1;4;5;2
Anvers;Orthopédagogue clinicien;416;390;26;23;102;83;63;53;31;10;13;10;2;0;4;2;2;4;3;3;5;2;1
Limbourg;Orthopédagogue clinicien;278;263;15;14;57;67;46;32;18;8;12;7;2;0;2;4;1;1;0;2;2;3;0
Brabant Wallon;Orthopédagogue clinicien;9;9;0;0;1;1;0;2;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0
Hainaut;Orthopédagogue clinicien;6;6;0;1;3;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Liège;Orthopédagogue clinicien;7;4;3;0;1;0;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0
Namur;Orthopédagogue clinicien;3;3;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Luxembourg;Orthopédagogue clinicien;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Orthopédagogue clinicien;23;22;1;2;5;7;1;5;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0
