Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Man;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24
;Orthodontie;80.0;54;26;0;1;11;5;4;8;6;7;5;7;0;1;4;1;3;1;1;7;3;5
Antwerpen;Alle specialiteiten;1466.0;734;732;13;68;90;70;40;64;62;116;112;99;1;29;47;33;37;32;33;105;177;238
;Algemeen tandarts;1348.0;652;696;13;63;75;60;37;54;52;101;106;91;1;28;42;30;34;30;32;97;172;230
;Parodontologie;34.0;20;14;0;1;6;2;3;2;1;4;0;1;0;1;2;2;1;2;0;3;1;2
;Orthodontie;84.0;62;22;0;4;9;8;0;8;9;11;6;7;0;0;3;1;2;0;1;5;4;6
Limburg;Alle specialiteiten;719.0;346;373;2;27;42;24;36;38;30;44;62;41;0;14;22;16;17;14;7;40;97;146
;Algemeen tandarts;666.0;313;353;2;27;37;21;33;36;28;38;54;37;0;13;17;15;15;14;6;40;89;144
;Parodontologie;12.0;7;5;0;0;1;0;1;1;1;2;1;0;0;1;1;0;1;0;1;0;1;0
;Orthodontie;41.0;26;15;0;0;4;3;2;1;1;4;7;4;0;0;4;1;1;0;0;0;7;2
Waals Brabant;Alle specialiteiten;610.0;343;267;0;22;33;26;24;36;35;31;58;78;0;6;17;17;13;21;15;37;38;103
;Algemeen tandarts;561.0;312;249;0;22;29;25;20;30;29;27;58;72;0;6;15;15;12;20;15;33;37;96
;Parodontologie;8.0;2;6;0;0;0;0;1;0;1;0;0;0;0;0;1;1;1;0;0;2;0;1
;Orthodontie;41.0;29;12;0;0;4;1;3;6;5;4;0;6;0;0;1;1;0;1;0;2;1;6
Henegouwen;Alle specialiteiten;713.0;339;374;4;22;34;28;20;35;36;41;62;57;0;16;22;16;17;17;21;53;69;143
;Algemeen tandarts;682.0;319;363;4;21;33;27;18;32;32;40;58;54;0;15;21;16;17;17;21;49;66;141
;Parodontologie;4.0;3;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;Orthodontie;27.0;17;10;0;1;0;1;2;2;3;1;4;3;0;1;1;0;0;0;0;3;3;2
Luik;Alle specialiteiten;1070.0;514;556;7;84;54;47;44;37;37;53;79;72;0;37;37;23;25;21;33;82;125;173
;Algemeen tandarts;987.0;459;528;7;77;50;37;36;35;30;48;75;64;0;36;32;20;22;17;33;77;123;168
;Parodontologie;21.0;11;10;0;1;1;4;3;0;1;1;0;0;0;1;3;1;2;2;0;1;0;0
;Orthodontie;62.0;44;18;0;6;3;6;5;2;6;4;4;8;0;0;2;2;1;2;0;4;2;5
Namen;Alle specialiteiten;353.0;179;174;3;16;16;13;8;17;19;25;19;43;0;9;4;4;9;10;9;29;32;68
;Algemeen tandarts;334.0;165;169;3;15;15;12;6;16;15;22;19;42;0;9;4;4;8;10;9;27;32;66
;Parodontologie;6.0;4;2;0;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0
;Orthodontie;13.0;10;3;0;0;0;1;1;1;4;2;0;1;0;0;0;0;0;0;0;1;0;2
Luxemburg;Alle specialiteiten;182.0;85;97;1;11;8;3;5;6;9;11;15;16;0;5;3;4;5;4;9;14;24;29
;Algemeen tandarts;173.0;80;93;1;11;8;2;5;6;9;9;14;15;0;5;3;3;5;3;8;13;24;29
;Orthodontie;9.0;5;4;0;0;0;1;0;0;0;2;1;1;0;0;0;1;0;1;1;1;0;0
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;1283.0;638;645;4;94;109;50;53;42;54;62;58;112;1;62;89;49;49;30;49;84;88;144
;Algemeen tandarts;1196.0;588;608;4;91;96;46;48;37;50;53;55;108;1;61;79;45;44;24;49;78;86;141
;Parodontologie;18.0;8;10;0;1;2;2;2;0;0;1;0;0;0;0;1;1;3;1;0;3;0;1
;Orthodontie;69.0;42;27;0;2;11;2;3;5;4;8;3;4;0;1;9;3;2;5;0;3;2;2
