territoire;special;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Prov Anvers;SANS AGREMENT;2632;1772;860;97;271;198;165;201;194;184;103;169;190;25;82;50;64;65;72;92;68;114;228
Prov Anvers;PHARMACIE HOSPITALIERE;185;153;32;6;33;24;12;19;15;16;12;10;6;0;5;2;3;2;4;2;1;5;8
Prov Limbourg;SANS AGREMENT;934;640;294;46;108;68;71;67;75;48;33;53;71;20;21;15;27;13;19;21;13;45;100
Prov Limbourg;PHARMACIE HOSPITALIERE;77;64;13;3;15;9;5;11;6;3;3;5;4;0;3;1;1;1;0;2;0;4;1
Prov Brabant wallon;SANS AGREMENT;941;672;269;10;70;57;74;87;103;49;63;71;88;1;20;19;27;34;28;34;18;21;67
Prov Brabant wallon;PHARMACIE HOSPITALIERE;62;56;6;0;11;11;10;4;5;3;4;6;2;0;1;2;0;0;0;1;1;1;0
Prov Hainaut;SANS AGREMENT;1600;1108;492;45;124;91;131;153;130;112;85;123;114;15;46;37;51;42;58;51;38;68;86
Prov Hainaut;PHARMACIE HOSPITALIERE;104;82;22;5;12;13;10;10;7;7;7;6;5;0;3;1;2;2;4;2;0;5;3
Prov Liège;SANS AGREMENT;1885;1305;580;47;157;129;123;150;150;110;79;109;251;14;51;34;43;44;69;45;42;45;193
Prov Liège;PHARMACIE HOSPITALIERE;120;94;26;4;25;8;10;14;11;4;2;10;6;0;13;0;0;2;5;0;1;2;3
Prov Namur;SANS AGREMENT;803;575;228;21;74;48;86;74;66;55;35;65;51;7;22;14;21;16;29;21;22;20;56
Prov Namur;PHARMACIE HOSPITALIERE;80;71;9;7;17;12;8;6;8;5;5;1;2;0;0;0;1;1;2;1;0;4;0
Prov Luxembourg;SANS AGREMENT;352;240;112;6;30;31;27;33;36;19;14;20;24;1;10;6;9;12;14;10;4;10;36
Prov Luxembourg;PHARMACIE HOSPITALIERE;18;14;4;2;2;3;0;1;2;0;0;1;3;0;1;0;0;1;1;0;0;0;1
Prov Région de Bruxelles-capitale;SANS AGREMENT;1604;1122;482;27;181;133;114;104;113;95;83;102;170;7;66;52;53;36;49;42;45;50;82
Prov Région de Bruxelles-capitale;PHARMACIE HOSPITALIERE;108;83;25;2;21;20;11;8;3;3;3;11;1;0;5;7;3;1;3;2;2;1;1
