Territoire-Spécialité;Unnamed: 1;Total;Genre;Unnamed: 4;Femme;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Homme;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14
;Néphrologie;4.0;2;2;2;0;0;0;0;2;0;0;0;0
;Médecine d'urgence;3.0;1;2;1;0;0;0;0;2;0;0;0;0
;Endocrino-diabétologie;3.0;3;0;2;1;0;0;0;0;0;0;0;0
;Néonatologie;2.0;1;1;1;0;0;0;0;1;0;0;0;0
;Oncologie;3.0;3;0;1;2;0;0;0;0;0;0;0;0
;Hématologie et oncologie pédiatrique;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Hématologie clinique;1.0;1;0;1;0;0;0;0;0;0;0;0;0
Brabant flamand;Toutes les spécialités;44.0;23;21;16;3;2;2;0;17;1;2;1;0
;Réadaptation fonctionnelle et professionnelle des handicapés;6.0;3;3;2;0;0;1;0;2;1;0;0;0
;Chirurgie orale et maxillo - faciale;1.0;0;1;0;0;0;0;0;1;0;0;0;0
;Soins intensifs;15.0;4;11;3;0;0;1;0;10;0;1;0;0
;Neurologie pédiatrique;3.0;3;0;3;0;0;0;0;0;0;0;0;0
;Néphrologie;2.0;1;1;1;0;0;0;0;1;0;0;0;0
;Médecine d'urgence;6.0;3;3;1;1;1;0;0;1;0;1;1;0
;Endocrino-diabétologie;4.0;3;1;1;1;1;0;0;1;0;0;0;0
;Néonatologie;2.0;2;0;1;1;0;0;0;0;0;0;0;0
;Oncologie;2.0;2;0;2;0;0;0;0;0;0;0;0;0
;Hématologie et oncologie pédiatrique;1.0;1;0;1;0;0;0;0;0;0;0;0;0
;Hématologie clinique;2.0;1;1;1;0;0;0;0;1;0;0;0;0
Flandre occidentale;Toutes les spécialités;16.0;9;7;7;2;0;0;0;6;0;0;0;1
;Réadaptation fonctionnelle et professionnelle des handicapés;5.0;2;3;1;1;0;0;0;2;0;0;0;1
;Chirurgie orale et maxillo - faciale;1.0;0;1;0;0;0;0;0;1;0;0;0;0
;Soins intensifs;5.0;4;1;3;1;0;0;0;1;0;0;0;0
;Neurologie pédiatrique;1.0;1;0;1;0;0;0;0;0;0;0;0;0
;Médecine d'urgence;2.0;1;1;1;0;0;0;0;1;0;0;0;0
;Oncologie;2.0;1;1;1;0;0;0;0;1;0;0;0;0
Flandre orientale;Toutes les spécialités;26.0;13;13;12;1;0;0;0;13;0;0;0;0
;Réadaptation fonctionnelle et professionnelle des handicapés;3.0;1;2;1;0;0;0;0;2;0;0;0;0
;Chirurgie orale et maxillo - faciale;1.0;0;1;0;0;0;0;0;1;0;0;0;0
;Soins intensifs;7.0;4;3;4;0;0;0;0;3;0;0;0;0
;Neurologie pédiatrique;1.0;1;0;1;0;0;0;0;0;0;0;0;0
;Néphrologie;3.0;3;0;3;0;0;0;0;0;0;0;0;0
;Médecine d'urgence;4.0;2;2;2;0;0;0;0;2;0;0;0;0
;Endocrino-diabétologie;4.0;1;3;1;0;0;0;0;3;0;0;0;0
;Oncologie;2.0;1;1;0;1;0;0;0;1;0;0;0;0
;Hématologie clinique;1.0;0;1;0;0;0;0;0;1;0;0;0;0
Anvers;Toutes les spécialités;27.0;17;10;14;1;2;0;0;9;0;1;0;0
;Réadaptation fonctionnelle et professionnelle des handicapés;4.0;1;3;1;0;0;0;0;3;0;0;0;0
;Chirurgie orale et maxillo - faciale;1.0;1;0;1;0;0;0;0;0;0;0;0;0
;Soins intensifs;6.0;4;2;4;0;0;0;0;2;0;0;0;0
;Neurologie pédiatrique;2.0;1;1;1;0;0;0;0;1;0;0;0;0
;Médecine d'urgence;6.0;4;2;2;0;2;0;0;1;0;1;0;0
;Néonatologie;1.0;1;0;1;0;0;0;0;0;0;0;0;0
;Oncologie;4.0;3;1;2;1;0;0;0;1;0;0;0;0
;Hématologie et oncologie pédiatrique;1.0;1;0;1;0;0;0;0;0;0;0;0;0
;Hématologie clinique;2.0;1;1;1;0;0;0;0;1;0;0;0;0
Limbourg;Toutes les spécialités;9.0;2;7;2;0;0;0;0;6;1;0;0;0
;Réadaptation fonctionnelle et professionnelle des handicapés;1.0;0;1;0;0;0;0;0;0;1;0;0;0
;Soins intensifs;5.0;2;3;2;0;0;0;0;3;0;0;0;0
;Néphrologie;1.0;0;1;0;0;0;0;0;1;0;0;0;0
;Médecine d'urgence;2.0;0;2;0;0;0;0;0;2;0;0;0;0
Brabant Wallon;Toutes les spécialités;4.0;1;3;0;0;0;1;0;1;0;0;2;0
;Soins intensifs;1.0;0;1;0;0;0;0;0;0;0;0;1;0
;Médecine d'urgence;2.0;1;1;0;0;0;1;0;0;0;0;1;0
;Oncologie;1.0;0;1;0;0;0;0;0;1;0;0;0;0
Hainaut;Toutes les spécialités;5.0;3;2;1;1;0;1;0;2;0;0;0;0
;Réadaptation fonctionnelle et professionnelle des handicapés;1.0;1;0;0;0;0;1;0;0;0;0;0;0
;Neurologie pédiatrique;1.0;1;0;1;0;0;0;0;0;0;0;0;0
;Néphrologie;1.0;0;1;0;0;0;0;0;1;0;0;0;0
;Médecine d'urgence;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Néonatologie;1.0;0;1;0;0;0;0;0;1;0;0;0;0
Liège;Toutes les spécialités;19.0;12;7;10;0;1;0;1;5;1;0;0;1
;Réadaptation fonctionnelle et professionnelle des handicapés;3.0;2;1;1;0;1;0;0;0;1;0;0;0
;Chirurgie orale et maxillo - faciale;1.0;1;0;1;0;0;0;0;0;0;0;0;0
;Soins intensifs;4.0;3;1;2;0;0;0;1;1;0;0;0;0
;Neurologie pédiatrique;2.0;1;1;1;0;0;0;0;1;0;0;0;0
;Néphrologie;3.0;1;2;1;0;0;0;0;2;0;0;0;0
;Médecine d'urgence;2.0;1;1;1;0;0;0;0;0;0;0;0;1
;Oncologie;3.0;2;1;2;0;0;0;0;1;0;0;0;0
;Hématologie et oncologie pédiatrique;1.0;1;0;1;0;0;0;0;0;0;0;0;0
Namur;Toutes les spécialités;6.0;5;1;5;0;0;0;0;1;0;0;0;0
;Réadaptation fonctionnelle et professionnelle des handicapés;1.0;1;0;1;0;0;0;0;0;0;0;0;0
;Neurologie pédiatrique;1.0;1;0;1;0;0;0;0;0;0;0;0;0
;Oncologie;2.0;1;1;1;0;0;0;0;1;0;0;0;0
;Hématologie et oncologie pédiatrique;1.0;1;0;1;0;0;0;0;0;0;0;0;0
;Hématologie clinique;1.0;1;0;1;0;0;0;0;0;0;0;0;0
Luxembourg;Toutes les spécialités;1.0;0;1;0;0;0;0;0;0;1;0;0;0
;Réadaptation fonctionnelle et professionnelle des handicapés;1.0;0;1;0;0;0;0;0;0;1;0;0;0
Région de Bruxelles Capitale;Toutes les spécialités;33.0;23;10;17;4;1;1;0;8;1;1;0;0
;Réadaptation fonctionnelle et professionnelle des handicapés;4.0;3;1;2;0;0;1;0;0;0;1;0;0
;Chirurgie orale et maxillo - faciale;3.0;2;1;2;0;0;0;0;1;0;0;0;0
;Soins intensifs;6.0;3;3;2;0;1;0;0;2;1;0;0;0
;Neurologie pédiatrique;3.0;3;0;3;0;0;0;0;0;0;0;0;0
;Néphrologie;4.0;2;2;2;0;0;0;0;2;0;0;0;0
;Médecine d'urgence;3.0;1;2;1;0;0;0;0;2;0;0;0;0
;Endocrino-diabétologie;3.0;3;0;2;1;0;0;0;0;0;0;0;0
;Néonatologie;2.0;1;1;1;0;0;0;0;1;0;0;0;0
;Oncologie;3.0;3;0;1;2;0;0;0;0;0;0;0;0
;Hématologie et oncologie pédiatrique;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Hématologie clinique;1.0;1;0;1;0;0;0;0;0;0;0;0;0
