gebied;specialiteit;totaal;totaal_vrouwen;totaal_mannen;vrouwen_min20;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_min20;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
Prov Oost-Vlaanderen;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;1261;863;398;0;33;130;132;165;150;97;76;57;23;0;0;7;44;58;66;51;64;53;35;19;1
Prov Oost-Vlaanderen;BIJZONDERE BEROEPSTITEL - GERIATRIE;395;319;76;0;3;22;38;58;55;58;58;21;6;0;0;0;0;7;16;11;19;14;7;1;1
Prov Oost-Vlaanderen;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;431;383;48;0;10;40;59;72;53;54;56;36;3;0;0;0;3;7;9;8;4;6;10;1;0
Prov Oost-Vlaanderen;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;384;375;9;0;9;25;64;73;70;51;44;31;8;0;0;0;0;1;1;1;1;3;2;0;0
Prov Oost-Vlaanderen;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;656;613;43;0;2;42;69;91;92;119;134;50;14;0;0;0;2;8;8;4;6;9;6;0;0
Prov Oost-Vlaanderen;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;75;69;6;0;0;3;5;11;10;19;14;5;1;1;0;0;0;1;0;2;2;1;0;0;0
Prov Antwerpen;GEEN ERKENNING;23418;20473;2945;0;800;1300;1691;2047;2217;2817;3183;2290;1540;2588;0;99;220;252;298;316;412;490;401;239;218
Prov Antwerpen;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;1329;870;459;0;55;150;160;160;126;94;73;42;9;1;0;14;43;81;74;66;70;54;45;11;1
Prov Antwerpen;BIJZONDERE BEROEPSTITEL - GERIATRIE;378;306;72;0;4;21;21;47;52;71;52;31;7;0;0;0;4;5;6;12;15;19;8;3;0
Prov Antwerpen;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;372;323;49;0;4;36;39;42;54;56;56;29;5;2;0;0;2;4;10;3;6;12;10;2;0
Prov Antwerpen;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;414;398;16;0;25;52;47;72;67;59;48;22;6;0;0;0;2;3;2;2;6;1;0;0;0
Prov Antwerpen;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;465;423;42;0;0;18;33;43;59;90;106;60;13;1;0;0;0;5;4;8;6;7;10;2;0
Prov Antwerpen;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;73;61;12;0;1;2;3;6;9;17;11;11;0;1;0;0;0;1;0;3;2;3;3;0;0
Prov Limburg;GEEN ERKENNING;14517;12590;1927;0;516;1085;1225;1509;1404;1638;1578;1325;1033;1277;0;95;175;205;220;199;270;232;192;144;195
Prov Limburg;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;691;476;215;0;28;91;87;100;79;41;34;15;1;0;0;6;25;26;42;35;43;23;12;3;0
Prov Limburg;BIJZONDERE BEROEPSTITEL - GERIATRIE;129;109;20;0;0;11;17;19;17;23;12;8;2;0;0;0;1;2;3;3;4;3;3;1;0
Prov Limburg;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;182;156;26;0;7;23;31;25;28;22;9;10;1;0;0;1;2;3;3;2;8;3;4;0;0
Prov Limburg;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;168;162;6;0;7;27;30;27;25;27;14;5;0;0;0;1;2;1;1;1;0;0;0;0;0
Prov Limburg;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;256;234;22;0;0;23;36;47;33;36;31;20;8;0;0;0;5;3;4;2;3;3;1;1;0
Prov Limburg;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;46;44;2;0;0;4;3;9;9;12;4;3;0;0;0;0;0;0;0;1;1;0;0;0;0
Prov Waals Brabant;GEEN ERKENNING;4352;4027;325;0;96;178;210;395;404;501;731;547;386;579;0;12;34;42;46;46;45;49;32;9;10
Prov Waals Brabant;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;353;266;87;0;19;42;50;47;30;34;19;18;6;1;0;6;17;11;13;17;13;5;4;0;1
Prov Waals Brabant;BIJZONDERE BEROEPSTITEL - GERIATRIE;39;37;2;0;1;5;2;6;5;4;8;6;0;0;0;0;0;1;0;1;0;0;0;0;0
Prov Waals Brabant;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;84;80;4;0;4;4;10;11;18;11;13;7;2;0;0;0;1;0;1;0;0;0;2;0;0
Prov Waals Brabant;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;196;191;5;0;10;31;32;42;23;24;22;6;1;0;0;0;2;1;0;2;0;0;0;0;0
Prov Waals Brabant;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;35;32;3;0;0;0;3;7;3;6;9;3;1;0;0;0;0;0;1;0;1;1;0;0;0
Prov Waals Brabant;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;20;20;0;0;0;1;2;1;5;5;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0
Prov Henegouwen;GEEN ERKENNING;16700;14907;1793;0;460;983;1295;1726;1746;1985;2094;1726;1274;1618;0;63;180;221;299;245;211;258;194;66;56
Prov Henegouwen;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;1136;817;319;0;49;135;127;119;138;129;71;38;9;2;0;18;47;64;58;47;32;33;20;0;0
Prov Henegouwen;BIJZONDERE BEROEPSTITEL - GERIATRIE;104;88;16;0;1;9;15;12;21;14;12;4;0;0;0;0;0;4;6;4;2;0;0;0;0
Prov Henegouwen;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;198;169;29;0;1;24;33;31;23;27;17;12;1;0;0;1;5;4;7;5;1;2;4;0;0
Prov Henegouwen;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;423;415;8;0;40;86;78;88;50;38;22;9;4;0;0;0;3;2;1;1;1;0;0;0;0
Prov Henegouwen;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;148;135;13;0;0;9;23;17;26;29;19;10;2;0;0;0;0;1;4;2;2;1;2;1;0
Prov Henegouwen;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;64;60;4;0;0;0;1;10;9;12;17;10;1;0;0;0;0;1;0;1;0;1;1;0;0
Prov Luik;GEEN ERKENNING;13817;12203;1614;0;453;952;1160;1445;1313;1430;1534;1392;1072;1452;0;60;194;203;259;218;159;199;163;68;91
Prov Luik;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;1035;740;295;0;40;129;140;154;107;75;62;29;3;1;0;10;50;62;59;49;32;16;15;2;0
Prov Luik;BIJZONDERE BEROEPSTITEL - GERIATRIE;182;160;22;0;4;22;32;28;20;23;19;10;2;0;0;1;1;1;7;3;4;5;0;0;0
Prov Luik;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;281;248;33;0;15;51;42;45;36;16;22;19;1;1;0;0;6;4;6;7;7;2;1;0;0
Prov Luik;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;436;416;20;0;36;94;90;67;51;31;26;18;3;0;0;1;4;6;4;3;0;2;0;0;0
Prov Luik;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;287;257;30;0;2;19;51;50;35;40;38;19;3;0;0;0;0;8;5;7;3;3;2;2;0
Prov Luik;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;51;48;3;0;0;4;5;9;8;10;3;6;3;0;0;0;0;1;1;0;0;1;0;0;0
Prov Namen;GEEN ERKENNING;6685;6049;636;0;162;423;546;583;629;729;879;710;568;820;0;23;84;76;116;93;69;85;43;30;17
Prov Namen;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;556;404;152;0;24;72;65;71;63;51;27;23;6;2;0;9;27;19;36;25;17;9;6;3;1
Prov Namen;BIJZONDERE BEROEPSTITEL - GERIATRIE;51;40;11;0;0;4;5;10;6;6;2;5;2;0;0;0;1;3;4;1;0;2;0;0;0
Prov Namen;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;106;94;12;0;0;9;13;16;19;15;17;5;0;0;0;0;0;1;1;5;3;0;0;2;0
Prov Namen;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;176;170;6;0;10;41;39;27;15;17;13;5;2;1;0;0;2;1;0;3;0;0;0;0;0
Prov Namen;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;83;75;8;0;0;8;9;17;9;16;6;6;4;0;0;0;1;3;2;1;0;0;1;0;0
Prov Namen;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;25;22;3;0;0;1;2;1;3;5;6;4;0;0;0;1;0;0;0;1;0;1;0;0;0
Prov Luxemburg;GEEN ERKENNING;3325;2995;330;0;86;203;298;345;329;404;451;321;269;289;0;18;19;40;71;45;28;54;28;17;10
Prov Luxemburg;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;267;201;66;0;21;30;30;31;30;29;21;6;3;0;0;4;14;5;14;9;6;6;6;2;0
Prov Luxemburg;BIJZONDERE BEROEPSTITEL - GERIATRIE;26;24;2;0;0;11;2;0;5;2;1;1;2;0;0;0;0;1;0;1;0;0;0;0;0
Prov Luxemburg;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;26;23;3;0;1;2;5;2;2;4;2;5;0;0;0;0;2;0;0;0;0;1;0;0;0
Prov Luxemburg;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;61;59;2;0;5;15;13;5;4;4;10;3;0;0;0;0;1;0;1;0;0;0;0;0;0
Prov Luxemburg;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;19;17;2;0;0;2;4;3;1;1;2;1;3;0;0;0;0;1;0;1;0;0;0;0;0
Prov Luxemburg;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;9;9;0;0;0;0;1;0;0;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brussels hoofdstedelijk gewest;GEEN ERKENNING;7904;6919;985;0;250;716;631;733;614;732;821;750;523;1149;0;42;174;185;147;117;97;104;64;30;25
Prov Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;422;298;124;0;18;83;61;40;33;25;17;13;6;2;0;8;27;28;24;13;6;10;6;0;2
Prov Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - GERIATRIE;90;73;17;0;3;10;13;11;7;12;12;2;3;0;0;0;0;2;4;3;3;3;1;1;0
Prov Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;175;156;19;0;11;21;30;18;18;18;19;17;3;1;0;0;1;7;3;2;1;3;1;1;0
Prov Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;289;274;15;0;23;70;60;32;27;23;21;16;2;0;0;2;4;2;5;1;1;0;0;0;0
Prov Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;87;74;13;0;0;1;11;7;18;13;13;8;2;1;0;0;1;4;2;2;3;0;1;0;0
Prov Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;31;25;6;0;0;1;6;2;8;2;5;0;1;0;0;0;1;0;1;0;2;2;0;0;0
