territoire;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Région wallonne;Kinésithérapie respiratoire;53;30;23;0;3;8;4;7;2;2;3;1;0;0;0;5;2;3;6;0;3;2;2
Région de Bruxelles Capitale;Kinésithérapie cardiovasculaire;16;7;9;0;1;1;1;0;2;1;0;1;0;0;1;2;1;2;1;1;1;0;0
Région de Bruxelles Capitale;Thérapie manuelle;45;17;28;0;1;7;5;1;1;0;1;1;0;0;3;14;2;3;0;3;3;0;0
Région de Bruxelles Capitale;Kinésithérapie neurologique;22;15;7;0;3;1;6;3;0;1;1;0;0;0;0;2;0;3;1;0;0;1;0
Région de Bruxelles Capitale;Kinésithérapie pédiatrique;39;32;7;0;1;10;8;5;1;1;2;4;0;0;0;3;0;1;1;0;2;0;0
Région de Bruxelles Capitale;Rééducation abdomino-pelvienne et kinésithérapie périnatale;22;19;3;0;1;3;1;2;2;5;1;4;0;0;0;0;0;0;2;0;0;0;1
Région de Bruxelles Capitale;Kinésithérapie respiratoire;23;14;9;0;2;3;4;2;2;0;0;1;0;0;0;3;2;2;0;0;1;0;1
Brabant flamand;Kinésithérapie cardiovasculaire;24;14;10;0;3;3;2;1;2;1;1;1;0;0;1;1;2;1;2;0;2;1;0
Brabant flamand;Thérapie manuelle;243;138;105;0;19;40;32;15;14;9;5;4;0;0;8;27;14;14;11;10;7;10;4
Brabant flamand;Kinésithérapie neurologique;76;53;23;0;11;10;8;8;9;6;1;0;0;0;0;2;4;5;5;4;3;0;0
Brabant flamand;Kinésithérapie pédiatrique;98;91;7;0;8;22;16;18;8;5;6;6;2;0;1;2;0;2;0;1;0;0;1
Brabant flamand;Rééducation abdomino-pelvienne et kinésithérapie périnatale;61;60;1;0;2;10;9;13;9;7;4;6;0;0;0;0;0;0;0;0;0;1;0
Brabant flamand;Kinésithérapie respiratoire;35;31;4;0;3;8;5;3;5;4;2;1;0;0;0;0;0;1;1;0;1;0;1
Flandre occidentale;Kinésithérapie cardiovasculaire;8;2;6;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;1;2;0
Flandre occidentale;Thérapie manuelle;296;156;140;0;37;55;27;18;8;7;2;1;1;0;13;22;25;24;16;13;10;7;10
Flandre occidentale;Kinésithérapie neurologique;50;38;12;0;5;6;3;4;3;7;6;4;0;0;1;0;1;6;0;3;1;0;0
Flandre occidentale;Kinésithérapie pédiatrique;100;93;7;0;10;14;15;14;14;12;7;3;4;0;0;0;1;1;2;1;0;1;1
Flandre occidentale;Rééducation abdomino-pelvienne et kinésithérapie périnatale;82;78;4;0;1;11;10;17;14;7;11;6;1;0;0;0;0;0;1;0;1;1;1
Flandre occidentale;Kinésithérapie respiratoire;31;23;8;0;1;1;6;4;3;2;3;2;1;0;1;0;1;1;1;1;1;1;1
Flandre orientale;Kinésithérapie cardiovasculaire;28;20;8;0;3;4;1;3;5;3;1;0;0;0;0;0;1;1;1;0;3;2;0
Flandre orientale;Thérapie manuelle;310;185;125;0;25;70;39;26;15;4;3;1;2;0;11;25;23;16;17;11;10;6;6
Flandre orientale;Kinésithérapie neurologique;47;36;11;0;2;10;12;5;3;3;0;1;0;0;0;1;1;2;4;0;2;0;1
Flandre orientale;Kinésithérapie pédiatrique;170;157;13;0;20;36;31;28;17;11;11;2;1;0;0;1;1;3;0;2;2;3;1
Flandre orientale;Rééducation abdomino-pelvienne et kinésithérapie périnatale;79;78;1;0;0;6;12;10;18;16;8;5;3;0;0;0;0;0;0;0;1;0;0
Flandre orientale;Kinésithérapie respiratoire;46;26;20;1;4;1;1;5;3;5;3;2;1;0;3;3;2;3;1;2;3;2;1
Anvers;Kinésithérapie cardiovasculaire;19;10;9;0;0;1;2;1;2;1;3;0;0;0;0;0;1;1;0;2;1;2;2
Anvers;Thérapie manuelle;325;176;149;0;31;55;31;15;17;11;11;3;2;0;17;28;22;13;20;7;23;16;3
Anvers;Kinésithérapie neurologique;52;42;10;0;6;8;11;6;2;4;2;3;0;0;0;3;0;0;3;2;0;1;1
Anvers;Kinésithérapie pédiatrique;122;116;6;0;11;29;26;19;11;4;11;3;2;0;0;1;1;0;0;3;0;1;0
Anvers;Rééducation abdomino-pelvienne et kinésithérapie périnatale;55;54;1;0;0;5;6;8;10;11;10;4;0;0;0;0;0;0;1;0;0;0;0
Anvers;Kinésithérapie respiratoire;36;28;8;0;5;9;2;2;5;0;3;0;2;0;0;2;1;2;1;0;1;1;0
Limbourg;Kinésithérapie cardiovasculaire;16;8;8;0;2;1;0;0;2;2;1;0;0;0;0;0;1;2;1;1;2;0;1
Limbourg;Thérapie manuelle;130;59;71;0;8;20;10;6;3;5;3;2;2;0;6;15;7;11;14;6;2;5;5
Limbourg;Kinésithérapie neurologique;30;27;3;1;5;7;4;2;1;4;1;1;1;0;1;0;2;0;0;0;0;0;0
Limbourg;Kinésithérapie pédiatrique;74;67;7;0;5;16;13;8;7;6;8;3;1;0;0;0;1;2;1;0;1;1;1
Limbourg;Rééducation abdomino-pelvienne et kinésithérapie périnatale;31;29;2;0;0;4;6;4;2;5;3;4;1;0;0;0;0;0;0;0;1;0;1
Limbourg;Kinésithérapie respiratoire;16;9;7;0;1;3;1;1;1;2;0;0;0;0;0;0;1;0;2;2;1;1;0
Brabant Wallon;Kinésithérapie cardiovasculaire;11;7;4;0;0;1;2;2;0;2;0;0;0;0;1;1;0;0;0;1;1;0;0
Brabant Wallon;Thérapie manuelle;49;21;28;0;5;8;0;1;0;2;3;1;1;0;5;10;1;5;2;1;0;1;3
Brabant Wallon;Kinésithérapie neurologique;31;26;5;0;1;6;2;5;4;3;3;2;0;0;0;0;1;2;0;1;0;0;1
Brabant Wallon;Kinésithérapie pédiatrique;44;40;4;0;1;9;8;1;3;6;10;1;1;0;0;0;1;2;0;0;1;0;0
Brabant Wallon;Rééducation abdomino-pelvienne et kinésithérapie périnatale;35;32;3;0;0;6;5;9;5;1;1;4;1;0;0;0;2;0;0;1;0;0;0
Brabant Wallon;Kinésithérapie respiratoire;15;9;6;0;0;3;2;2;1;1;0;0;0;0;0;1;2;1;2;0;0;0;0
Hainaut;Kinésithérapie cardiovasculaire;8;3;5;0;0;0;0;1;0;1;1;0;0;0;0;0;0;2;1;1;0;1;0
Hainaut;Thérapie manuelle;33;13;20;0;2;4;2;3;0;1;1;0;0;0;3;8;2;3;2;0;1;0;1
Hainaut;Kinésithérapie neurologique;19;12;7;0;0;2;1;4;1;2;2;0;0;0;0;1;2;0;1;1;0;1;1
Hainaut;Kinésithérapie pédiatrique;24;18;6;0;2;5;1;3;2;3;2;0;0;0;0;2;0;1;2;0;0;1;0
Hainaut;Rééducation abdomino-pelvienne et kinésithérapie périnatale;36;33;3;0;0;3;2;9;5;6;7;0;1;0;0;0;0;0;0;1;1;1;0
Hainaut;Kinésithérapie respiratoire;9;3;6;0;0;1;1;1;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1
Liège;Kinésithérapie cardiovasculaire;16;11;5;0;2;0;2;3;2;0;2;0;0;0;1;1;1;0;1;1;0;0;0
Liège;Thérapie manuelle;51;24;27;0;2;11;2;5;0;2;0;1;1;0;1;6;1;7;5;0;4;1;2
Liège;Kinésithérapie neurologique;47;34;13;0;2;8;2;7;3;5;4;3;0;0;1;1;0;4;0;4;1;1;1
Liège;Kinésithérapie pédiatrique;26;24;2;0;2;5;6;4;4;1;1;1;0;0;0;0;1;0;0;1;0;0;0
Liège;Rééducation abdomino-pelvienne et kinésithérapie périnatale;36;36;0;0;0;7;2;6;6;4;6;5;0;0;0;0;0;0;0;0;0;0;0
Liège;Kinésithérapie respiratoire;19;11;8;0;1;2;1;3;0;1;2;1;0;0;0;1;0;1;3;0;2;1;0
Namur;Kinésithérapie cardiovasculaire;12;10;2;0;1;0;0;3;1;2;3;0;0;0;0;0;1;0;0;0;1;0;0
Namur;Thérapie manuelle;15;4;11;0;0;1;1;2;0;0;0;0;0;0;2;3;3;0;1;1;0;1;0
Namur;Kinésithérapie neurologique;5;4;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
Namur;Kinésithérapie pédiatrique;17;15;2;0;1;4;0;6;2;0;1;0;1;0;0;1;0;0;1;0;0;0;0
Namur;Rééducation abdomino-pelvienne et kinésithérapie périnatale;10;9;1;0;0;1;5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
Namur;Kinésithérapie respiratoire;8;6;2;0;2;1;0;1;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0
Luxembourg;Kinésithérapie cardiovasculaire;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Luxembourg;Thérapie manuelle;11;4;7;0;0;3;0;1;0;0;0;0;0;0;1;2;1;0;1;1;1;0;0
Luxembourg;Kinésithérapie neurologique;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Luxembourg;Kinésithérapie pédiatrique;4;4;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Luxembourg;Rééducation abdomino-pelvienne et kinésithérapie périnatale;6;6;0;0;2;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Luxembourg;Kinésithérapie respiratoire;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Région de Bruxelles Capitale;Kinésithérapie cardiovasculaire;16;7;9;0;1;1;1;0;2;1;0;1;0;0;1;2;1;2;1;1;1;0;0
Région de Bruxelles Capitale;Thérapie manuelle;45;17;28;0;1;7;5;1;1;0;1;1;0;0;3;14;2;3;0;3;3;0;0
Région de Bruxelles Capitale;Kinésithérapie neurologique;22;15;7;0;3;1;6;3;0;1;1;0;0;0;0;2;0;3;1;0;0;1;0
Région de Bruxelles Capitale;Kinésithérapie pédiatrique;39;32;7;0;1;10;8;5;1;1;2;4;0;0;0;3;0;1;1;0;2;0;0
Région de Bruxelles Capitale;Rééducation abdomino-pelvienne et kinésithérapie périnatale;22;19;3;0;1;3;1;2;2;5;1;4;0;0;0;0;0;0;2;0;0;0;1
Région de Bruxelles Capitale;Kinésithérapie respiratoire;23;14;9;0;2;3;4;2;2;0;0;1;0;0;0;3;2;2;0;0;1;0;1
