Territoire-Spécialité;Unnamed: 1;Total;Genre;Unnamed: 4;Femme;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Homme;Unnamed: 12;Unnamed: 13;Unnamed: 14
;Neurologie pédiatrique;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Néphrologie;1.0;0;1;0;0;0;0;0;0;1;0;0;0
;Médecine d'urgence;5.0;3;2;0;1;0;1;0;1;2;0;0;0
;Endocrino-diabétologie;2.0;2;0;0;1;0;0;1;0;0;0;0;0
;Néonatologie;2.0;2;0;0;1;1;0;0;0;0;0;0;0
;Oncologie;4.0;2;2;0;2;0;0;0;0;2;0;0;0
;Hématologie et oncologie pédiatrique;2.0;2;0;0;1;1;0;0;0;0;0;0;0
;Hématologie clinique;2.0;0;2;0;0;0;0;0;0;2;0;0;0
Flandre occidentale;Toutes les spécialités;8.0;5;3;1;4;0;0;0;0;3;0;0;0
;Réadaptation fonctionnelle et professionnelle des handicapés;1.0;0;1;0;0;0;0;0;0;1;0;0;0
;Chirurgie orale et maxillo - faciale;1.0;0;1;0;0;0;0;0;0;1;0;0;0
;Soins intensifs;2.0;1;1;0;1;0;0;0;0;1;0;0;0
;Neurologie pédiatrique;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Néphrologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Médecine d'urgence;1.0;1;0;1;0;0;0;0;0;0;0;0;0
;Oncologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0
Flandre orientale;Toutes les spécialités;32.0;16;16;0;13;2;0;1;0;15;1;0;0
;Réadaptation fonctionnelle et professionnelle des handicapés;5.0;3;2;0;1;1;0;1;0;2;0;0;0
;Chirurgie orale et maxillo - faciale;4.0;1;3;0;1;0;0;0;0;3;0;0;0
;Soins intensifs;9.0;3;6;0;3;0;0;0;0;6;0;0;0
;Neurologie pédiatrique;2.0;2;0;0;2;0;0;0;0;0;0;0;0
;Médecine d'urgence;2.0;0;2;0;0;0;0;0;0;1;1;0;0
;Endocrino-diabétologie;3.0;2;1;0;2;0;0;0;0;1;0;0;0
;Néonatologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Oncologie;3.0;3;0;0;2;1;0;0;0;0;0;0;0
;Hématologie clinique;3.0;1;2;0;1;0;0;0;0;2;0;0;0
Anvers;Toutes les spécialités;39.0;19;20;0;17;1;1;0;0;17;2;1;0
;Réadaptation fonctionnelle et professionnelle des handicapés;6.0;1;5;0;1;0;0;0;0;4;1;0;0
;Chirurgie orale et maxillo - faciale;4.0;3;1;0;3;0;0;0;0;1;0;0;0
;Soins intensifs;13.0;7;6;0;7;0;0;0;0;6;0;0;0
;Neurologie pédiatrique;2.0;2;0;0;2;0;0;0;0;0;0;0;0
;Néphrologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Médecine d'urgence;7.0;2;5;0;0;1;1;0;0;3;1;1;0
;Endocrino-diabétologie;1.0;0;1;0;0;0;0;0;0;1;0;0;0
;Néonatologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0
;Oncologie;2.0;1;1;0;1;0;0;0;0;1;0;0;0
;Hématologie et oncologie pédiatrique;1.0;0;1;0;0;0;0;0;0;1;0;0;0
Limbourg;Toutes les spécialités;14.0;7;7;0;5;0;2;0;0;7;0;0;0
;Réadaptation fonctionnelle et professionnelle des handicapés;3.0;1;2;0;1;0;0;0;0;2;0;0;0
;Chirurgie orale et maxillo - faciale;2.0;1;1;0;1;0;0;0;0;1;0;0;0
;Soins intensifs;4.0;2;2;0;2;0;0;0;0;2;0;0;0
;Médecine d'urgence;4.0;2;2;0;1;0;1;0;0;2;0;0;0
;Oncologie;1.0;1;0;0;0;0;1;0;0;0;0;0;0
Brabant Wallon;Toutes les spécialités;9.0;3;6;0;2;0;1;0;0;5;0;0;1
;Chirurgie orale et maxillo - faciale;2.0;0;2;0;0;0;0;0;0;2;0;0;0
;Soins intensifs;1.0;0;1;0;0;0;0;0;0;1;0;0;0
;Neurologie pédiatrique;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Néphrologie;2.0;0;2;0;0;0;0;0;0;2;0;0;0
;Médecine d'urgence;1.0;0;1;0;0;0;0;0;0;0;0;0;1
;Hématologie et oncologie pédiatrique;1.0;1;0;0;0;0;1;0;0;0;0;0;0
;Hématologie clinique;1.0;1;0;0;1;0;0;0;0;0;0;0;0
Hainaut;Toutes les spécialités;3.0;0;3;0;0;0;0;0;0;2;0;1;0
;Néphrologie;1.0;0;1;0;0;0;0;0;0;1;0;0;0
;Médecine d'urgence;1.0;0;1;0;0;0;0;0;0;0;0;1;0
;Endocrino-diabétologie;1.0;0;1;0;0;0;0;0;0;1;0;0;0
Liège;Toutes les spécialités;17.0;8;9;0;5;1;2;0;0;6;1;2;0
;Réadaptation fonctionnelle et professionnelle des handicapés;2.0;1;1;0;0;0;1;0;0;0;0;1;0
;Soins intensifs;9.0;3;6;0;1;1;1;0;0;6;0;0;0
;Neurologie pédiatrique;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Néphrologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Médecine d'urgence;2.0;0;2;0;0;0;0;0;0;0;1;1;0
;Endocrino-diabétologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0
Namur;Toutes les spécialités;5.0;4;1;0;4;0;0;0;0;1;0;0;0
;Chirurgie orale et maxillo - faciale;1.0;0;1;0;0;0;0;0;0;1;0;0;0
;Neurologie pédiatrique;2.0;2;0;0;2;0;0;0;0;0;0;0;0
;Néphrologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Hématologie et oncologie pédiatrique;1.0;1;0;0;1;0;0;0;0;0;0;0;0
Luxembourg;Toutes les spécialités;2.0;1;1;0;1;0;0;0;0;0;1;0;0
;Réadaptation fonctionnelle et professionnelle des handicapés;1.0;0;1;0;0;0;0;0;0;0;1;0;0
;Soins intensifs;1.0;1;0;0;1;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Toutes les spécialités;22.0;16;6;0;12;1;2;1;0;3;2;1;0
;Réadaptation fonctionnelle et professionnelle des handicapés;5.0;4;1;0;2;0;1;1;0;0;0;1;0
;Chirurgie orale et maxillo - faciale;2.0;1;1;0;1;0;0;0;0;1;0;0;0
;Soins intensifs;7.0;4;3;0;3;0;1;0;0;1;2;0;0
;Neurologie pédiatrique;2.0;2;0;0;2;0;0;0;0;0;0;0;0
;Néphrologie;2.0;1;1;0;1;0;0;0;0;1;0;0;0
;Endocrino-diabétologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Néonatologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Oncologie;2.0;2;0;0;1;1;0;0;0;0;0;0;0
