gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
Antwerpen;Endocrino-diabetologie;51;33;18;7;5;7;2;4;4;2;2;1;2;1;2;1;2;1;8
Antwerpen;Neonatologie;29;19;10;4;3;2;2;3;3;2;0;1;1;1;2;0;3;1;1
Antwerpen;Oncologie;60;32;28;3;9;5;5;5;3;2;0;1;0;2;3;3;9;5;5
Antwerpen;Pediatrische hematologie en oncologie;3;1;2;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0
Antwerpen;Klinische hematologie;29;14;15;4;1;4;3;2;0;0;0;2;2;2;0;3;2;0;4
Antwerpen;Beheer van gezondheidsgegevens;10;2;8;0;0;0;0;0;1;0;1;0;0;1;0;0;1;2;4
Antwerpen;Forensische psychiatrie;8;3;5;0;0;2;1;0;0;0;0;0;0;0;2;1;1;0;1
Limburg;Alle specialiteiten;293;103;190;10;21;19;20;16;10;4;3;11;17;25;25;19;21;24;48
Limburg;Nucleaire in vitro geneeskunde;8;3;5;0;0;0;0;2;1;0;0;0;0;0;0;1;0;2;2
Limburg;Functionele en professionele revalidatie van gehandicapten;56;15;41;1;0;4;4;3;0;1;2;0;3;4;5;1;4;3;21
Limburg;Geriatrie;5;1;4;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;2
Limburg;Mond-, kaak- en aangezichtschirurgie;19;2;17;0;0;2;0;0;0;0;0;0;2;4;4;1;2;2;2
Limburg;Intensieve zorgen;87;35;52;6;8;4;6;7;3;1;0;9;7;8;4;5;6;7;6
Limburg;Pediatrische neurologie;5;5;0;0;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0
Limburg;Nefrologie;15;3;12;0;1;0;2;0;0;0;0;1;3;1;1;1;3;1;1
Limburg;Urgentiegeneeskunde;33;11;22;0;2;2;4;2;1;0;0;1;0;3;5;4;1;3;5
Limburg;Endocrino-diabetologie;17;8;9;1;1;2;2;1;0;1;0;0;0;2;1;1;0;1;4
Limburg;Neonatologie;2;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
Limburg;Oncologie;26;9;17;2;3;2;0;0;1;1;0;0;1;2;4;3;4;3;0
Limburg;Pediatrische hematologie en oncologie;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Limburg;Klinische hematologie;8;6;2;0;2;1;1;0;2;0;0;0;0;0;1;0;1;0;0
Limburg;Beheer van gezondheidsgegevens;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;3
Limburg;Forensische psychiatrie;5;2;3;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;2
Waals Brabant;Alle specialiteiten;287;98;189;5;7;12;11;14;17;14;18;2;7;11;18;18;26;28;79
Waals Brabant;Nucleaire in vitro geneeskunde;20;11;9;0;0;0;0;0;6;3;2;0;0;0;0;0;0;0;9
Waals Brabant;Functionele en professionele revalidatie van gehandicapten;70;22;48;0;0;2;2;4;1;3;10;0;0;1;3;3;2;5;34
Waals Brabant;Geriatrie;10;4;6;0;0;1;0;2;0;1;0;0;0;0;0;1;1;1;3
Waals Brabant;Mond-, kaak- en aangezichtschirurgie;7;1;6;1;0;0;0;0;0;0;0;0;0;1;1;2;1;0;1
Waals Brabant;Intensieve zorgen;53;9;44;1;2;0;2;0;2;1;1;1;5;4;4;6;10;8;6
Waals Brabant;Pediatrische neurologie;7;7;0;0;1;2;0;1;1;0;2;0;0;0;0;0;0;0;0
Waals Brabant;Nefrologie;34;16;18;3;2;0;3;2;4;1;1;0;1;1;2;1;4;0;9
Waals Brabant;Urgentiegeneeskunde;28;6;22;0;1;0;0;2;2;1;0;0;0;0;4;3;3;5;7
Waals Brabant;Endocrino-diabetologie;21;6;15;0;0;1;2;1;1;1;0;0;0;2;1;1;1;3;7
Waals Brabant;Neonatologie;10;7;3;0;0;3;2;0;0;2;0;0;1;0;1;0;0;1;0
Waals Brabant;Oncologie;11;2;9;0;1;1;0;0;0;0;0;0;0;2;1;1;1;4;0
Waals Brabant;Klinische hematologie;9;4;5;0;0;2;0;2;0;0;0;1;0;0;1;0;2;1;0
Waals Brabant;Beheer van gezondheidsgegevens;6;3;3;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;2
Waals Brabant;Forensische psychiatrie;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Henegouwen;Alle specialiteiten;318;100;218;4;12;16;23;10;8;6;21;1;7;9;15;22;43;43;78
Henegouwen;Nucleaire in vitro geneeskunde;19;4;15;0;0;0;0;0;3;1;0;0;0;0;0;0;2;5;8
Henegouwen;Functionele en professionele revalidatie van gehandicapten;52;15;37;0;0;1;4;0;2;2;6;0;0;0;1;4;6;3;23
Henegouwen;Geriatrie;14;4;10;0;0;1;0;0;0;1;2;0;0;0;0;1;0;1;8
Henegouwen;Mond-, kaak- en aangezichtschirurgie;9;4;5;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;1
Henegouwen;Intensieve zorgen;58;11;47;0;3;1;3;1;1;1;1;1;1;1;6;4;15;9;10
Henegouwen;Pediatrische neurologie;6;5;1;0;1;1;1;0;0;0;2;0;0;0;0;0;0;0;1
Henegouwen;Nefrologie;24;7;17;1;1;2;1;1;0;0;1;0;3;0;0;0;4;2;8
Henegouwen;Urgentiegeneeskunde;41;7;34;0;0;1;2;1;0;0;3;0;1;1;2;7;8;7;8
Henegouwen;Endocrino-diabetologie;33;19;14;2;4;4;3;4;0;1;1;0;1;2;1;1;1;4;4
Henegouwen;Neonatologie;9;9;0;0;0;1;3;3;0;0;2;0;0;0;0;0;0;0;0
Henegouwen;Oncologie;26;6;20;1;0;1;2;0;1;0;1;0;0;3;5;2;2;4;4
Henegouwen;Klinische hematologie;11;6;5;0;3;1;1;0;1;0;0;0;1;1;0;0;2;1;0
Henegouwen;Beheer van gezondheidsgegevens;14;3;11;0;0;0;1;0;0;0;2;0;0;0;0;1;1;6;3
Henegouwen;Forensische psychiatrie;2;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Luik;Alle specialiteiten;466;187;279;14;23;31;31;25;14;13;36;7;17;18;38;27;31;39;102
Luik;Nucleaire in vitro geneeskunde;19;11;8;0;0;0;2;1;2;1;5;0;1;0;0;0;3;1;3
Luik;Functionele en professionele revalidatie van gehandicapten;113;45;68;1;0;2;6;8;4;5;19;0;1;4;3;0;6;10;44
Luik;Geriatrie;9;4;5;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;5
Luik;Mond-, kaak- en aangezichtschirurgie;5;1;4;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;1
Luik;Intensieve zorgen;83;20;63;1;8;3;5;0;2;0;1;3;9;5;12;6;8;5;15
Luik;Pediatrische neurologie;11;7;4;0;2;3;2;0;0;0;0;0;0;0;0;0;0;1;3
Luik;Nefrologie;35;12;23;1;0;5;2;1;0;0;3;3;1;1;3;2;2;5;6
Luik;Urgentiegeneeskunde;60;18;42;0;0;3;2;5;5;2;1;0;2;1;9;10;6;7;7
Luik;Endocrino-diabetologie;48;28;20;5;1;6;5;6;0;1;4;0;1;1;2;3;1;5;7
Luik;Neonatologie;15;8;7;1;3;1;1;1;0;1;0;0;0;1;3;1;0;0;2
Luik;Oncologie;24;11;13;2;3;4;2;0;0;0;0;1;0;1;3;2;3;1;2
Luik;Pediatrische hematologie en oncologie;11;7;4;1;0;1;2;0;1;0;2;0;0;2;1;0;1;0;0
Luik;Klinische hematologie;18;9;9;2;5;1;1;0;0;0;0;0;1;1;2;2;0;1;2
Luik;Beheer van gezondheidsgegevens;12;5;7;0;0;0;0;1;0;3;1;0;0;0;0;0;0;3;4
Luik;Forensische psychiatrie;3;1;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1
Namen;Alle specialiteiten;195;72;123;4;11;12;16;7;8;7;7;4;9;10;15;10;21;12;42
Namen;Nucleaire in vitro geneeskunde;6;2;4;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;3
Namen;Functionele en professionele revalidatie van gehandicapten;30;13;17;0;1;1;4;0;3;2;2;0;0;0;0;2;4;1;10
Namen;Geriatrie;4;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2
Namen;Mond-, kaak- en aangezichtschirurgie;9;1;8;0;0;1;0;0;0;0;0;1;1;0;3;1;1;0;1
Namen;Intensieve zorgen;40;7;33;1;1;0;2;2;1;0;0;1;3;3;5;4;8;4;5
Namen;Pediatrische neurologie;6;4;2;0;0;0;2;0;0;0;2;0;0;1;0;0;0;0;1
Namen;Nefrologie;17;8;9;0;3;3;1;0;1;0;0;0;0;2;2;2;0;0;3
Namen;Urgentiegeneeskunde;31;11;20;0;2;2;3;1;0;3;0;1;2;2;2;0;4;3;6
Namen;Endocrino-diabetologie;17;10;7;0;3;1;1;4;0;1;0;0;1;0;1;1;1;1;2
Namen;Neonatologie;3;2;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
Namen;Oncologie;11;4;7;1;0;3;0;0;0;0;0;1;2;1;1;0;1;0;1
Namen;Klinische hematologie;11;7;4;2;1;0;2;0;1;0;1;0;0;0;1;0;0;1;2
Namen;Beheer van gezondheidsgegevens;10;2;8;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;6
Luxemburg;Alle specialiteiten;59;21;38;2;1;4;3;4;3;1;3;1;2;2;7;1;5;7;13
Luxemburg;Nucleaire in vitro geneeskunde;3;2;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1
Luxemburg;Functionele en professionele revalidatie van gehandicapten;5;1;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4
Luxemburg;Geriatrie;2;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
Luxemburg;Mond-, kaak- en aangezichtschirurgie;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
Luxemburg;Intensieve zorgen;7;1;6;0;0;0;0;1;0;0;0;1;1;0;0;1;1;2;0
Luxemburg;Pediatrische neurologie;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Luxemburg;Nefrologie;5;3;2;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1
Luxemburg;Urgentiegeneeskunde;11;2;9;0;0;1;0;1;0;0;0;0;0;0;1;0;0;4;4
Luxemburg;Endocrino-diabetologie;8;5;3;0;0;2;2;0;0;0;1;0;0;0;2;0;0;0;1
Luxemburg;Neonatologie;3;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
Luxemburg;Oncologie;4;1;3;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0
Luxemburg;Klinische hematologie;4;0;4;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0
Luxemburg;Beheer van gezondheidsgegevens;4;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;521;232;289;14;35;49;17;26;23;24;44;9;13;28;30;28;38;36;107
Brussels Hoofdstedelijk Gewest;Nucleaire in vitro geneeskunde;30;14;16;0;0;0;0;1;2;5;6;0;0;0;0;1;2;4;9
Brussels Hoofdstedelijk Gewest;Functionele en professionele revalidatie van gehandicapten;99;37;62;0;1;3;2;4;5;4;18;0;0;2;4;5;5;9;37
Brussels Hoofdstedelijk Gewest;Geriatrie;8;2;6;0;0;0;0;0;0;2;0;0;0;0;1;0;1;0;4
Brussels Hoofdstedelijk Gewest;Mond-, kaak- en aangezichtschirurgie;22;12;10;0;1;3;0;3;2;2;1;1;0;1;1;1;0;3;3
Brussels Hoofdstedelijk Gewest;Intensieve zorgen;96;33;63;4;8;10;1;5;0;2;3;3;9;10;6;5;15;6;9
Brussels Hoofdstedelijk Gewest;Pediatrische neurologie;11;9;2;0;2;2;0;0;1;1;3;0;1;0;0;0;0;0;1
Brussels Hoofdstedelijk Gewest;Nefrologie;54;24;30;4;4;7;4;0;2;1;2;3;2;3;5;1;5;2;9
Brussels Hoofdstedelijk Gewest;Urgentiegeneeskunde;38;13;25;0;0;1;1;3;4;2;2;0;0;2;5;5;1;3;9
Brussels Hoofdstedelijk Gewest;Endocrino-diabetologie;59;31;28;1;8;9;3;1;2;1;6;0;0;3;2;4;2;3;14
Brussels Hoofdstedelijk Gewest;Neonatologie;25;22;3;1;5;7;3;3;1;1;1;0;0;0;0;1;0;1;1
Brussels Hoofdstedelijk Gewest;Oncologie;23;8;15;0;2;3;3;0;0;0;0;0;0;4;1;0;4;3;3
Brussels Hoofdstedelijk Gewest;Pediatrische hematologie en oncologie;7;5;2;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;1
Brussels Hoofdstedelijk Gewest;Klinische hematologie;33;16;17;4;3;3;0;2;2;1;1;2;1;2;3;3;2;1;3
