Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Man;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23
;Pathologische anatomie;3.0;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Klinische genetica;1.0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;Arbeidsgeneeskunde;9.0;4;5;0;0;2;1;0;0;1;0;0;0;1;1;1;0;1;1;0;0;0
Oost-Vlaanderen;Alle specialiteiten;929.0;544;385;50;390;90;9;5;0;0;0;0;33;264;73;8;5;0;0;2;0;0
;Geriatrie;12.0;10;2;0;8;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;Urgentiegeneeskunde;67.0;41;26;4;27;9;0;1;0;0;0;0;2;14;9;1;0;0;0;0;0;0
;Gerechtelijke geneeskunde;2.0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Anesthesie-reanimatie;84.0;40;44;3;30;6;1;0;0;0;0;0;3;31;7;1;2;0;0;0;0;0
;Heelkunde;47.0;28;19;3;20;4;0;1;0;0;0;0;0;16;3;0;0;0;0;0;0;0
;Neurochirurgie;13.0;3;10;1;1;1;0;0;0;0;0;0;0;7;3;0;0;0;0;0;0;0
;"Plastische, reconstructieve en
esthetische heelkunde";14.0;8;6;2;3;3;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0
;Urologie;32.0;17;15;0;11;6;0;0;0;0;0;0;0;10;5;0;0;0;0;0;0;0
;Orthopedische heelkunde;40.0;6;34;0;5;0;1;0;0;0;0;0;3;28;3;0;0;0;0;0;0;0
;Neurologie;35.0;24;11;2;19;1;2;0;0;0;0;0;0;10;1;0;0;0;0;0;0;0
;"Psychiatrie, meer bepaald kinder- en
jeugdpsychiatrie";19.0;16;3;1;13;2;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
;"Psychiatrie, meer bepaald
volwassenpsychiatrie";48.0;30;18;2;24;4;0;0;0;0;0;0;0;16;2;0;0;0;0;0;0;0
;Pneumologie;13.0;8;5;0;6;2;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0
;Gastro-enterologie;19.0;14;5;0;9;5;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0
;Cardiologie;14.0;5;9;0;3;2;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0
;Inwendige geneeskunde;143.0;84;59;12;66;5;1;0;0;0;0;0;10;42;7;0;0;0;0;0;0;0
;Reumatologie;9.0;6;3;0;2;4;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
;Acute geneeskunde;2.0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;Gynaecologie-verloskunde;45.0;43;2;4;33;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;Oftalmologie;25.0;16;9;4;12;0;0;0;0;0;0;0;2;7;0;0;0;0;0;0;0;0
