Territoire;Specialite;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;ANESTHESIE-REANIMATION;375;189;186;3;153;21;9;2;1;0;0;0;0;1;114;45;15;8;3;0;0;0;0
Belgique;CHIRURGIE;241;97;144;1;68;25;3;0;0;0;0;0;0;0;104;38;1;0;1;0;0;0;0
Belgique;NEUROCHIRURGIE;44;7;37;0;6;1;0;0;0;0;0;0;0;1;18;13;5;0;0;0;0;0;0
Belgique;CHIRURGIE PLASTIQUE, RECONSTRUCTRICE ET ESTHETIQUE;44;17;27;0;11;4;2;0;0;0;0;0;0;0;14;13;0;0;0;0;0;0;0
Belgique;NEUROLOGIE;97;67;30;3;56;6;2;0;0;0;0;0;0;2;21;6;0;0;1;0;0;0;0
Belgique;GYNECOLOGIE-OBSTETRIQUE;213;176;37;0;136;31;7;1;0;1;0;0;0;1;24;9;2;1;0;0;0;0;0
Belgique;OPHTALMOLOGIE;92;67;25;2;57;8;0;0;0;0;0;0;0;1;19;1;3;1;0;0;0;0;0
Belgique;OTO-RHINO-LARYNGOLOGIE;75;47;28;0;41;6;0;0;0;0;0;0;0;0;23;5;0;0;0;0;0;0;0
Belgique;UROLOGIE;64;22;42;0;14;8;0;0;0;0;0;0;0;0;31;11;0;0;0;0;0;0;0
Belgique;CHIRURGIE ORTHOPEDIQUE;147;28;119;1;18;7;2;0;0;0;0;0;0;2;80;29;7;1;0;0;0;0;0
Belgique;STOMATOLOGIE;29;11;18;0;9;2;0;0;0;0;0;0;0;0;13;4;1;0;0;0;0;0;0
Belgique;DERMATO-VENEREOLOGIE;67;55;12;1;51;2;1;0;0;0;0;0;0;0;11;0;1;0;0;0;0;0;0
Belgique;PNEUMOLOGIE;47;30;17;0;10;18;2;0;0;0;0;0;0;0;8;8;1;0;0;0;0;0;0
Belgique;GASTRO-ENTEROLOGIE;64;38;26;0;25;12;1;0;0;0;0;0;0;0;8;17;0;1;0;0;0;0;0
Belgique;PEDIATRIE;282;235;47;1;179;50;3;1;0;1;0;0;0;1;34;11;1;0;0;0;0;0;0
Belgique;CARDIOLOGIE;103;41;62;0;27;12;2;0;0;0;0;0;0;1;33;26;2;0;0;0;0;0;0
Belgique;MEDECINE PHYSIQUE ET READAPTATION;62;36;26;0;31;4;1;0;0;0;0;0;0;0;19;5;1;0;1;0;0;0;0
Belgique;BIOLOGIE CLINIQUE;44;27;17;0;17;6;2;1;1;0;0;0;0;0;9;8;0;0;0;0;0;0;0
Belgique;RADIODIAGNOSTIC;205;94;111;0;71;19;2;2;0;0;0;0;0;1;74;27;6;2;1;0;0;0;0
Belgique;RADIOTHERAPIE-ONCOLOGIE;39;23;16;0;19;3;1;0;0;0;0;0;0;0;10;4;2;0;0;0;0;0;0
Belgique;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE INFANTO-JUVENILE;94;87;7;1;69;12;2;2;1;0;0;0;0;0;5;2;0;0;0;0;0;0;0
Belgique;MEDECINE NUCLEAIRE;31;21;10;1;17;3;0;0;0;0;0;0;0;1;6;3;0;0;0;0;0;0;0
Belgique;ANATOMIE PATHOLOGIQUE;40;31;9;0;18;9;1;2;1;0;0;0;0;0;4;5;0;0;0;0;0;0;0
Belgique;MEDECINE INTERNE;455;308;147;4;265;34;4;1;0;0;0;0;0;2;116;22;5;1;1;0;0;0;0
Belgique;RHUMATOLOGIE;12;9;3;0;2;7;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
Belgique;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE DE L'ADULTE;136;91;45;0;58;22;7;2;2;0;0;0;0;0;27;11;5;1;0;1;0;0;0
Belgique;MEDECINE LEGALE;5;1;4;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
Belgique;MEDECINE D'URGENCE;106;59;47;3;41;10;2;1;2;0;0;0;0;0;23;11;3;4;2;3;1;0;0
Belgique;MEDECINE AIGUE;52;22;30;0;15;5;1;1;0;0;0;0;0;0;13;5;6;3;1;1;1;0;0
Belgique;GERIATRIE;45;33;12;1;14;15;0;2;1;0;0;0;0;0;8;3;1;0;0;0;0;0;0
Belgique;MEDECINE D'ASSURANCE ET EXPERTISE MEDICALE;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Belgique;ONCOLOGIE MEDICALE;31;21;10;0;8;13;0;0;0;0;0;0;0;0;7;2;1;0;0;0;0;0;0
Région Flandre;MEDECINE DU TRAVAIL;14;10;4;0;1;3;4;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0
Région Flandre;ANESTHESIE-REANIMATION;188;97;91;3;85;6;3;0;0;0;0;0;0;1;61;17;6;5;1;0;0;0;0
Région Flandre;CHIRURGIE;146;61;85;1;42;17;1;0;0;0;0;0;0;0;60;25;0;0;0;0;0;0;0
Région Flandre;NEUROCHIRURGIE;25;3;22;0;3;0;0;0;0;0;0;0;0;1;11;8;2;0;0;0;0;0;0
Région Flandre;CHIRURGIE PLASTIQUE, RECONSTRUCTRICE ET ESTHETIQUE;24;10;14;0;8;1;1;0;0;0;0;0;0;0;5;9;0;0;0;0;0;0;0
Région Flandre;NEUROLOGIE;54;40;14;2;34;4;0;0;0;0;0;0;0;0;10;4;0;0;0;0;0;0;0
Région Flandre;GYNECOLOGIE-OBSTETRIQUE;105;85;20;0;63;15;5;1;0;1;0;0;0;1;12;4;2;1;0;0;0;0;0
Région Flandre;OPHTALMOLOGIE;49;37;12;0;32;5;0;0;0;0;0;0;0;0;11;0;1;0;0;0;0;0;0
Région Flandre;OTO-RHINO-LARYNGOLOGIE;41;25;16;0;19;6;0;0;0;0;0;0;0;0;13;3;0;0;0;0;0;0;0
Région Flandre;UROLOGIE;38;13;25;0;9;4;0;0;0;0;0;0;0;0;18;7;0;0;0;0;0;0;0
Région Flandre;CHIRURGIE ORTHOPEDIQUE;83;12;71;0;8;4;0;0;0;0;0;0;0;2;47;18;4;0;0;0;0;0;0
Région Flandre;STOMATOLOGIE;15;6;9;0;4;2;0;0;0;0;0;0;0;0;8;1;0;0;0;0;0;0;0
Région Flandre;DERMATO-VENEREOLOGIE;36;30;6;0;28;1;1;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0
Région Flandre;PNEUMOLOGIE;27;18;9;0;5;12;1;0;0;0;0;0;0;0;3;6;0;0;0;0;0;0;0
Région Flandre;GASTRO-ENTEROLOGIE;31;14;17;0;9;5;0;0;0;0;0;0;0;0;6;11;0;0;0;0;0;0;0
Région Flandre;PEDIATRIE;134;111;23;0;87;23;1;0;0;0;0;0;0;1;17;5;0;0;0;0;0;0;0
Région Flandre;CARDIOLOGIE;65;23;42;0;16;6;1;0;0;0;0;0;0;1;25;16;0;0;0;0;0;0;0
Région Flandre;MEDECINE PHYSIQUE ET READAPTATION;35;20;15;0;17;2;1;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0
Région Flandre;BIOLOGIE CLINIQUE;28;16;12;0;12;4;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0
Région Flandre;RADIODIAGNOSTIC;108;49;59;0;38;10;0;1;0;0;0;0;0;1;39;16;2;1;0;0;0;0;0
Région Flandre;RADIOTHERAPIE-ONCOLOGIE;24;12;12;0;10;2;0;0;0;0;0;0;0;0;7;3;2;0;0;0;0;0;0
Région Flandre;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE INFANTO-JUVENILE;60;56;4;1;46;7;1;1;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0
Région Flandre;MEDECINE NUCLEAIRE;15;11;4;0;8;3;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0
Région Flandre;ANATOMIE PATHOLOGIQUE;17;14;3;0;11;2;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
Région Flandre;MEDECINE INTERNE;276;188;88;1;167;16;3;1;0;0;0;0;0;1;74;8;3;1;1;0;0;0;0
Région Flandre;RHUMATOLOGIE;9;6;3;0;1;5;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
Région Flandre;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE DE L'ADULTE;74;47;27;0;32;13;1;1;0;0;0;0;0;0;18;6;3;0;0;0;0;0;0
Région Flandre;MEDECINE LEGALE;2;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Région Flandre;MEDECINE D'URGENCE;43;26;17;2;20;3;0;1;0;0;0;0;0;0;7;6;2;1;1;0;0;0;0
Région Flandre;MEDECINE AIGUE;26;11;15;0;7;3;1;0;0;0;0;0;0;0;9;2;2;1;0;1;0;0;0
Région Flandre;GERIATRIE;20;14;6;0;7;6;0;1;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0
Région Flandre;ONCOLOGIE MEDICALE;15;10;5;0;2;8;0;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0
Région Wallonie;MEDECINE DU TRAVAIL;26;16;10;0;0;5;6;3;1;1;0;0;0;0;1;2;2;0;2;2;1;0;0
Région Wallonie;ANESTHESIE-REANIMATION;94;53;41;0;43;5;3;1;1;0;0;0;0;0;28;6;5;1;1;0;0;0;0
Région Wallonie;CHIRURGIE;44;13;31;0;9;2;2;0;0;0;0;0;0;0;26;5;0;0;0;0;0;0;0
Région Wallonie;NEUROCHIRURGIE;13;2;11;0;1;1;0;0;0;0;0;0;0;0;6;3;2;0;0;0;0;0;0
Région Wallonie;CHIRURGIE PLASTIQUE, RECONSTRUCTRICE ET ESTHETIQUE;12;4;8;0;3;1;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0
Région Wallonie;NEUROLOGIE;22;16;6;1;13;1;1;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0
Région Wallonie;GYNECOLOGIE-OBSTETRIQUE;59;49;10;0;37;11;1;0;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0
Région Wallonie;OPHTALMOLOGIE;27;20;7;1;17;2;0;0;0;0;0;0;0;0;5;0;1;1;0;0;0;0;0
Région Wallonie;OTO-RHINO-LARYNGOLOGIE;21;15;6;0;15;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0
Région Wallonie;UROLOGIE;14;6;8;0;4;2;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0
Région Wallonie;CHIRURGIE ORTHOPEDIQUE;33;8;25;1;5;1;1;0;0;0;0;0;0;0;22;3;0;0;0;0;0;0;0
Région Wallonie;STOMATOLOGIE;5;2;3;0;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
Région Wallonie;DERMATO-VENEREOLOGIE;16;13;3;1;12;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
Région Wallonie;PNEUMOLOGIE;14;8;6;0;4;3;1;0;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0
Région Wallonie;GASTRO-ENTEROLOGIE;19;15;4;0;13;2;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0
Région Wallonie;PEDIATRIE;73;62;11;0;55;6;0;1;0;0;0;0;0;0;8;2;1;0;0;0;0;0;0
Région Wallonie;CARDIOLOGIE;19;9;10;0;8;1;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0
Région Wallonie;MEDECINE PHYSIQUE ET READAPTATION;20;13;7;0;12;1;0;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0
Région Wallonie;BIOLOGIE CLINIQUE;8;6;2;0;4;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Région Wallonie;RADIODIAGNOSTIC;54;26;28;0;20;5;0;1;0;0;0;0;0;0;20;6;2;0;0;0;0;0;0
Région Wallonie;RADIOTHERAPIE-ONCOLOGIE;9;6;3;0;5;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
Région Wallonie;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE INFANTO-JUVENILE;20;19;1;0;16;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Région Wallonie;MEDECINE NUCLEAIRE;9;6;3;1;5;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
Région Wallonie;ANATOMIE PATHOLOGIQUE;12;8;4;0;4;1;1;1;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0
Région Wallonie;MEDECINE INTERNE;84;62;22;2;52;8;0;0;0;0;0;0;0;1;20;1;0;0;0;0;0;0;0
Région Wallonie;RHUMATOLOGIE;2;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Région Wallonie;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE DE L'ADULTE;30;20;10;0;13;2;2;1;2;0;0;0;0;0;5;2;2;1;0;0;0;0;0
Région Wallonie;MEDECINE LEGALE;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Région Wallonie;MEDECINE D'URGENCE;40;20;20;1;16;2;1;0;0;0;0;0;0;0;12;1;1;2;1;2;1;0;0
Région Wallonie;MEDECINE AIGUE;11;3;8;0;1;1;0;1;0;0;0;0;0;0;2;1;3;1;0;0;1;0;0
Région Wallonie;GERIATRIE;18;15;3;1;6;7;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0
Région Wallonie;ONCOLOGIE MEDICALE;11;6;5;0;3;3;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;MEDECINE DU TRAVAIL;5;4;1;0;0;2;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;ANESTHESIE-REANIMATION;93;39;54;0;25;10;3;1;0;0;0;0;0;0;25;22;4;2;1;0;0;0;0
Région Région de Bruxelles-capitale;CHIRURGIE;51;23;28;0;17;6;0;0;0;0;0;0;0;0;18;8;1;0;1;0;0;0;0
Région Région de Bruxelles-capitale;NEUROCHIRURGIE;6;2;4;0;2;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0
Région Région de Bruxelles-capitale;CHIRURGIE PLASTIQUE, RECONSTRUCTRICE ET ESTHETIQUE;8;3;5;0;0;2;1;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;NEUROLOGIE;21;11;10;0;9;1;1;0;0;0;0;0;0;1;6;2;0;0;1;0;0;0;0
Région Région de Bruxelles-capitale;GYNECOLOGIE-OBSTETRIQUE;49;42;7;0;36;5;1;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;OPHTALMOLOGIE;16;10;6;1;8;1;0;0;0;0;0;0;0;1;3;1;1;0;0;0;0;0;0
Région Région de Bruxelles-capitale;OTO-RHINO-LARYNGOLOGIE;13;7;6;0;7;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;UROLOGIE;12;3;9;0;1;2;0;0;0;0;0;0;0;0;5;4;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;CHIRURGIE ORTHOPEDIQUE;31;8;23;0;5;2;1;0;0;0;0;0;0;0;11;8;3;1;0;0;0;0;0
Région Région de Bruxelles-capitale;STOMATOLOGIE;9;3;6;0;3;0;0;0;0;0;0;0;0;0;2;3;1;0;0;0;0;0;0
Région Région de Bruxelles-capitale;DERMATO-VENEREOLOGIE;15;12;3;0;11;1;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0
Région Région de Bruxelles-capitale;PNEUMOLOGIE;6;4;2;0;1;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;GASTRO-ENTEROLOGIE;14;9;5;0;3;5;1;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;PEDIATRIE;75;62;13;1;37;21;2;0;0;1;0;0;0;0;9;4;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;CARDIOLOGIE;19;9;10;0;3;5;1;0;0;0;0;0;0;0;3;5;2;0;0;0;0;0;0
Région Région de Bruxelles-capitale;MEDECINE PHYSIQUE ET READAPTATION;7;3;4;0;2;1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0
Région Région de Bruxelles-capitale;BIOLOGIE CLINIQUE;8;5;3;0;1;0;2;1;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;RADIODIAGNOSTIC;43;19;24;0;13;4;2;0;0;0;0;0;0;0;15;5;2;1;1;0;0;0;0
Région Région de Bruxelles-capitale;RADIOTHERAPIE-ONCOLOGIE;6;5;1;0;4;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE INFANTO-JUVENILE;14;12;2;0;7;3;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;MEDECINE NUCLEAIRE;7;4;3;0;4;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;ANATOMIE PATHOLOGIQUE;11;9;2;0;3;6;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;MEDECINE INTERNE;95;58;37;1;46;10;1;0;0;0;0;0;0;0;22;13;2;0;0;0;0;0;0
Région Région de Bruxelles-capitale;RHUMATOLOGIE;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE DE L'ADULTE;32;24;8;0;13;7;4;0;0;0;0;0;0;0;4;3;0;0;0;1;0;0;0
Région Région de Bruxelles-capitale;MEDECINE LEGALE;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;MEDECINE D'URGENCE;23;13;10;0;5;5;1;0;2;0;0;0;0;0;4;4;0;1;0;1;0;0;0
Région Région de Bruxelles-capitale;MEDECINE AIGUE;15;8;7;0;7;1;0;0;0;0;0;0;0;0;2;2;1;1;1;0;0;0;0
Région Région de Bruxelles-capitale;GERIATRIE;7;4;3;0;1;2;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
Région Région de Bruxelles-capitale;MEDECINE D'ASSURANCE ET EXPERTISE MEDICALE;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Région Région de Bruxelles-capitale;ONCOLOGIE MEDICALE;5;5;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brabant flamand;MEDECINE DU TRAVAIL;4;4;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brabant flamand;ANESTHESIE-REANIMATION;63;36;27;0;33;2;1;0;0;0;0;0;0;0;15;8;2;2;0;0;0;0;0
Prov Brabant flamand;CHIRURGIE;47;19;28;0;13;6;0;0;0;0;0;0;0;0;20;8;0;0;0;0;0;0;0
Prov Brabant flamand;NEUROCHIRURGIE;9;2;7;0;2;0;0;0;0;0;0;0;0;0;2;4;1;0;0;0;0;0;0
Prov Brabant flamand;CHIRURGIE PLASTIQUE, RECONSTRUCTRICE ET ESTHETIQUE;5;3;2;0;2;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Prov Brabant flamand;NEUROLOGIE;15;14;1;1;11;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Prov Brabant flamand;GYNECOLOGIE-OBSTETRIQUE;31;24;7;0;16;8;0;0;0;0;0;0;0;0;3;2;1;1;0;0;0;0;0
Prov Brabant flamand;OPHTALMOLOGIE;15;12;3;0;10;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
Prov Brabant flamand;OTO-RHINO-LARYNGOLOGIE;6;5;1;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Prov Brabant flamand;UROLOGIE;15;4;11;0;3;1;0;0;0;0;0;0;0;0;8;3;0;0;0;0;0;0;0
Prov Brabant flamand;CHIRURGIE ORTHOPEDIQUE;16;2;14;0;1;1;0;0;0;0;0;0;0;1;9;4;0;0;0;0;0;0;0
Prov Brabant flamand;STOMATOLOGIE;5;4;1;0;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Prov Brabant flamand;DERMATO-VENEREOLOGIE;13;13;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brabant flamand;PNEUMOLOGIE;9;5;4;0;1;4;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
Prov Brabant flamand;GASTRO-ENTEROLOGIE;10;6;4;0;4;2;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0
Prov Brabant flamand;PEDIATRIE;48;41;7;0;30;11;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0
Prov Brabant flamand;CARDIOLOGIE;19;8;11;0;7;1;0;0;0;0;0;0;0;0;9;2;0;0;0;0;0;0;0
Prov Brabant flamand;MEDECINE PHYSIQUE ET READAPTATION;6;2;4;0;1;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
Prov Brabant flamand;BIOLOGIE CLINIQUE;8;4;4;0;3;1;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
Prov Brabant flamand;RADIODIAGNOSTIC;33;16;17;0;14;2;0;0;0;0;0;0;0;0;8;7;1;1;0;0;0;0;0
Prov Brabant flamand;RADIOTHERAPIE-ONCOLOGIE;8;5;3;0;5;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
Prov Brabant flamand;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE INFANTO-JUVENILE;16;15;1;1;10;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Prov Brabant flamand;MEDECINE NUCLEAIRE;6;4;2;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Prov Brabant flamand;ANATOMIE PATHOLOGIQUE;5;4;1;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Prov Brabant flamand;MEDECINE INTERNE;81;61;20;0;54;5;1;1;0;0;0;0;0;0;18;2;0;0;0;0;0;0;0
Prov Brabant flamand;RHUMATOLOGIE;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brabant flamand;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE DE L'ADULTE;16;8;8;0;4;3;1;0;0;0;0;0;0;0;4;2;2;0;0;0;0;0;0
Prov Brabant flamand;MEDECINE LEGALE;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brabant flamand;MEDECINE D'URGENCE;12;9;3;0;8;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0
Prov Brabant flamand;MEDECINE AIGUE;10;6;4;0;3;2;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
Prov Brabant flamand;GERIATRIE;4;3;1;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Prov Brabant flamand;ONCOLOGIE MEDICALE;8;5;3;0;2;3;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
Prov Flandre occidentale;MEDECINE DU TRAVAIL;2;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Prov Flandre occidentale;ANESTHESIE-REANIMATION;22;11;11;1;9;0;1;0;0;0;0;0;0;0;7;3;1;0;0;0;0;0;0
Prov Flandre occidentale;CHIRURGIE;19;8;11;0;4;3;1;0;0;0;0;0;0;0;9;2;0;0;0;0;0;0;0
Prov Flandre occidentale;NEUROCHIRURGIE;3;0;3;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
Prov Flandre occidentale;CHIRURGIE PLASTIQUE, RECONSTRUCTRICE ET ESTHETIQUE;4;1;3;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0
Prov Flandre occidentale;NEUROLOGIE;8;4;4;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
Prov Flandre occidentale;GYNECOLOGIE-OBSTETRIQUE;16;12;4;0;10;1;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
Prov Flandre occidentale;OPHTALMOLOGIE;3;1;2;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Prov Flandre occidentale;OTO-RHINO-LARYNGOLOGIE;6;2;4;0;1;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
Prov Flandre occidentale;UROLOGIE;6;2;4;0;2;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0
