territoire;spécialité;total;genre_femme;genre_homme;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_55-59;homme_30-34;homme_35-39;homme_40-44;homme_45-49
Région de Bruxelles Capitale;Oncologie;2;2;0;0;1;1;0;0;0;0;0;0;0
Brabant flamand;Toutes les spécialités;46;26;20;0;19;2;2;1;2;19;0;0;1
Brabant flamand;Réadaptation fonctionnelle et professionnelle des handicapés;5;5;0;0;4;0;1;0;0;0;0;0;0
Brabant flamand;Chirurgie orale et maxillo - faciale;2;0;2;0;0;0;0;0;0;2;0;0;0
Brabant flamand;Soins intensifs;20;9;11;0;8;0;0;0;1;10;0;0;1
Brabant flamand;Neurologie pédiatrique;1;1;0;0;1;0;0;0;0;0;0;0;0
Brabant flamand;Néphrologie;1;0;1;0;0;0;0;0;0;1;0;0;0
Brabant flamand;Médecine d'urgence;5;3;2;0;1;0;1;0;1;2;0;0;0
Brabant flamand;Endocrino-diabétologie;2;2;0;0;1;0;0;1;0;0;0;0;0
Brabant flamand;Néonatologie;2;2;0;0;1;1;0;0;0;0;0;0;0
Brabant flamand;Oncologie;4;2;2;0;2;0;0;0;0;2;0;0;0
Brabant flamand;Hématologie et oncologie pédiatrique;2;2;0;0;1;1;0;0;0;0;0;0;0
Brabant flamand;Hématologie clinique;2;0;2;0;0;0;0;0;0;2;0;0;0
Flandre occidentale;Toutes les spécialités;8;5;3;1;4;0;0;0;0;3;0;0;0
Flandre occidentale;Réadaptation fonctionnelle et professionnelle des handicapés;1;0;1;0;0;0;0;0;0;1;0;0;0
Flandre occidentale;Chirurgie orale et maxillo - faciale;1;0;1;0;0;0;0;0;0;1;0;0;0
Flandre occidentale;Soins intensifs;2;1;1;0;1;0;0;0;0;1;0;0;0
Flandre occidentale;Neurologie pédiatrique;1;1;0;0;1;0;0;0;0;0;0;0;0
Flandre occidentale;Néphrologie;1;1;0;0;1;0;0;0;0;0;0;0;0
Flandre occidentale;Médecine d'urgence;1;1;0;1;0;0;0;0;0;0;0;0;0
Flandre occidentale;Oncologie;1;1;0;0;1;0;0;0;0;0;0;0;0
Flandre orientale;Toutes les spécialités;32;16;16;0;13;2;0;1;0;15;1;0;0
Flandre orientale;Réadaptation fonctionnelle et professionnelle des handicapés;5;3;2;0;1;1;0;1;0;2;0;0;0
Flandre orientale;Chirurgie orale et maxillo - faciale;4;1;3;0;1;0;0;0;0;3;0;0;0
Flandre orientale;Soins intensifs;9;3;6;0;3;0;0;0;0;6;0;0;0
Flandre orientale;Neurologie pédiatrique;2;2;0;0;2;0;0;0;0;0;0;0;0
Flandre orientale;Médecine d'urgence;2;0;2;0;0;0;0;0;0;1;1;0;0
Flandre orientale;Endocrino-diabétologie;3;2;1;0;2;0;0;0;0;1;0;0;0
Flandre orientale;Néonatologie;1;1;0;0;1;0;0;0;0;0;0;0;0
Flandre orientale;Oncologie;3;3;0;0;2;1;0;0;0;0;0;0;0
Flandre orientale;Hématologie clinique;3;1;2;0;1;0;0;0;0;2;0;0;0
Anvers;Toutes les spécialités;39;19;20;0;17;1;1;0;0;17;2;1;0
Anvers;Réadaptation fonctionnelle et professionnelle des handicapés;6;1;5;0;1;0;0;0;0;4;1;0;0
Anvers;Chirurgie orale et maxillo - faciale;4;3;1;0;3;0;0;0;0;1;0;0;0
Anvers;Soins intensifs;13;7;6;0;7;0;0;0;0;6;0;0;0
Anvers;Neurologie pédiatrique;2;2;0;0;2;0;0;0;0;0;0;0;0
Anvers;Néphrologie;1;1;0;0;1;0;0;0;0;0;0;0;0
Anvers;Médecine d'urgence;7;2;5;0;0;1;1;0;0;3;1;1;0
Anvers;Endocrino-diabétologie;1;0;1;0;0;0;0;0;0;1;0;0;0
Anvers;Néonatologie;2;2;0;0;2;0;0;0;0;0;0;0;0
Anvers;Oncologie;2;1;1;0;1;0;0;0;0;1;0;0;0
Anvers;Hématologie et oncologie pédiatrique;1;0;1;0;0;0;0;0;0;1;0;0;0
Limbourg;Toutes les spécialités;14;7;7;0;5;0;2;0;0;7;0;0;0
Limbourg;Réadaptation fonctionnelle et professionnelle des handicapés;3;1;2;0;1;0;0;0;0;2;0;0;0
Limbourg;Chirurgie orale et maxillo - faciale;2;1;1;0;1;0;0;0;0;1;0;0;0
Limbourg;Soins intensifs;4;2;2;0;2;0;0;0;0;2;0;0;0
Limbourg;Médecine d'urgence;4;2;2;0;1;0;1;0;0;2;0;0;0
Limbourg;Oncologie;1;1;0;0;0;0;1;0;0;0;0;0;0
Brabant Wallon;Toutes les spécialités;9;3;6;0;2;0;1;0;0;5;0;0;1
Brabant Wallon;Chirurgie orale et maxillo - faciale;2;0;2;0;0;0;0;0;0;2;0;0;0
Brabant Wallon;Soins intensifs;1;0;1;0;0;0;0;0;0;1;0;0;0
Brabant Wallon;Neurologie pédiatrique;1;1;0;0;1;0;0;0;0;0;0;0;0
Brabant Wallon;Néphrologie;2;0;2;0;0;0;0;0;0;2;0;0;0
Brabant Wallon;Médecine d'urgence;1;0;1;0;0;0;0;0;0;0;0;0;1
Brabant Wallon;Hématologie et oncologie pédiatrique;1;1;0;0;0;0;1;0;0;0;0;0;0
Brabant Wallon;Hématologie clinique;1;1;0;0;1;0;0;0;0;0;0;0;0
Hainaut;Toutes les spécialités;3;0;3;0;0;0;0;0;0;2;0;1;0
Hainaut;Néphrologie;1;0;1;0;0;0;0;0;0;1;0;0;0
Hainaut;Médecine d'urgence;1;0;1;0;0;0;0;0;0;0;0;1;0
Hainaut;Endocrino-diabétologie;1;0;1;0;0;0;0;0;0;1;0;0;0
Liège;Toutes les spécialités;17;8;9;0;5;1;2;0;0;6;1;2;0
Liège;Réadaptation fonctionnelle et professionnelle des handicapés;2;1;1;0;0;0;1;0;0;0;0;1;0
Liège;Soins intensifs;9;3;6;0;1;1;1;0;0;6;0;0;0
Liège;Neurologie pédiatrique;1;1;0;0;1;0;0;0;0;0;0;0;0
Liège;Néphrologie;1;1;0;0;1;0;0;0;0;0;0;0;0
Liège;Médecine d'urgence;2;0;2;0;0;0;0;0;0;0;1;1;0
Liège;Endocrino-diabétologie;2;2;0;0;2;0;0;0;0;0;0;0;0
Namur;Toutes les spécialités;5;4;1;0;4;0;0;0;0;1;0;0;0
Namur;Chirurgie orale et maxillo - faciale;1;0;1;0;0;0;0;0;0;1;0;0;0
Namur;Neurologie pédiatrique;2;2;0;0;2;0;0;0;0;0;0;0;0
Namur;Néphrologie;1;1;0;0;1;0;0;0;0;0;0;0;0
Namur;Hématologie et oncologie pédiatrique;1;1;0;0;1;0;0;0;0;0;0;0;0
Luxembourg;Toutes les spécialités;2;1;1;0;1;0;0;0;0;0;1;0;0
Luxembourg;Réadaptation fonctionnelle et professionnelle des handicapés;1;0;1;0;0;0;0;0;0;0;1;0;0
Luxembourg;Soins intensifs;1;1;0;0;1;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Toutes les spécialités;22;16;6;0;12;1;2;1;0;3;2;1;0
Région de Bruxelles Capitale;Réadaptation fonctionnelle et professionnelle des handicapés;5;4;1;0;2;0;1;1;0;0;0;1;0
Région de Bruxelles Capitale;Chirurgie orale et maxillo - faciale;2;1;1;0;1;0;0;0;0;1;0;0;0
Région de Bruxelles Capitale;Soins intensifs;7;4;3;0;3;0;1;0;0;1;2;0;0
Région de Bruxelles Capitale;Neurologie pédiatrique;2;2;0;0;2;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Néphrologie;2;1;1;0;1;0;0;0;0;1;0;0;0
Région de Bruxelles Capitale;Endocrino-diabétologie;1;1;0;0;1;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Néonatologie;1;1;0;0;1;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Oncologie;2;2;0;0;1;1;0;0;0;0;0;0;0
