Territoire-Spécialité;Unnamed: 1;Total;Genre;Unnamed: 4;Femme;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Homme;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24
;Dentisterie générale;997.0;459;538;1;45;51;43;32;56;37;41;69;84;0;14;24;9;19;14;14;31;118;295
;Parodontologie;26.0;19;7;0;3;4;1;2;3;3;1;1;1;0;0;2;2;0;1;0;1;1;0
;Orthodontie;44.0;29;15;0;4;6;1;3;1;1;2;7;4;0;0;1;0;1;1;4;2;3;3
Flandre orientale;Toutes les spécialités;1316.0;680;636;4;68;98;46;33;80;65;72;76;138;4;28;62;23;20;39;22;69;111;258
;Dentisterie générale;1195.0;602;593;4;66;82;36;28;67;57;62;70;130;4;26;50;19;16;37;19;64;105;253
;Parodontologie;39.0;22;17;0;0;6;4;1;4;5;2;0;0;0;2;7;3;1;1;2;1;0;0
;Orthodontie;82.0;56;26;0;2;10;6;4;9;3;8;6;8;0;0;5;1;3;1;1;4;6;5
Anvers;Toutes les spécialités;1483.0;747;736;3;68;97;76;39;57;66;113;105;123;3;22;54;34;35;35;30;84;168;271
;Dentisterie générale;1366.0;667;699;3;66;84;65;34;48;59;95;99;114;3;20;49;31;32;33;29;80;162;260
;Parodontologie;33.0;19;14;0;0;5;2;4;2;1;4;0;1;0;1;2;2;1;2;0;0;3;3
;Orthodontie;84.0;61;23;0;2;8;9;1;7;6;14;6;8;0;1;3;1;2;0;1;4;3;8
Limbourg;Toutes les spécialités;736.0;358;378;4;27;44;30;29;41;33;37;53;60;0;12;22;19;19;16;5;30;86;169
;Dentisterie générale;683.0;325;358;4;26;39;27;27;39;30;32;48;53;0;11;18;18;16;16;4;30;80;165
;Parodontologie;12.0;7;5;0;0;1;0;0;2;1;2;1;0;0;1;1;0;1;0;1;0;1;0
;Orthodontie;41.0;26;15;0;1;4;3;2;0;2;3;4;7;0;0;3;1;2;0;0;0;5;4
Brabant Wallon;Toutes les spécialités;629.0;364;265;0;27;41;25;22;38;37;32;50;92;0;7;18;12;19;18;17;30;39;105
;Dentisterie générale;577.0;331;246;0;27;37;23;20;33;29;27;50;85;0;7;16;10;17;17;17;27;37;98
;Parodontologie;9.0;2;7;0;0;0;0;1;0;1;0;0;0;0;0;1;0;2;0;0;2;1;1
;Orthodontie;43.0;31;12;0;0;4;2;1;5;7;5;0;7;0;0;1;2;0;1;0;1;1;6
Hainaut;Toutes les spécialités;731.0;348;383;3;24;34;34;21;37;36;34;62;63;3;18;23;16;21;16;17;55;62;152
;Dentisterie générale;699.0;327;372;3;22;33;34;17;34;32;33;59;60;3;17;22;16;21;16;17;52;58;150
;Parodontologie;4.0;3;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;Orthodontie;28.0;18;10;0;2;0;0;4;2;3;1;3;3;0;1;1;0;0;0;0;2;4;2
Liège;Toutes les spécialités;1095.0;527;568;4;84;57;55;40;40;36;45;83;83;3;32;47;18;31;21;34;60;136;186
;Dentisterie générale;1009.0;471;538;4;78;53;44;31;38;30;40;79;74;3;30;42;15;27;19;32;56;133;181
;Parodontologie;23.0;12;11;0;2;0;5;3;0;1;1;0;0;0;2;2;2;2;1;1;1;0;0
;Orthodontie;63.0;44;19;0;4;4;6;6;2;5;4;4;9;0;0;3;1;2;1;1;3;3;5
Namur;Toutes les spécialités;353.0;183;170;1;18;18;15;4;16;21;24;19;47;0;8;6;3;9;10;10;23;29;72
;Dentisterie générale;334.0;169;165;1;17;17;14;3;15;16;22;18;46;0;8;6;3;8;10;10;21;29;70
;Parodontologie;6.0;4;2;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0
;Orthodontie;13.0;10;3;0;0;0;1;1;0;5;1;1;1;0;0;0;0;0;0;0;1;0;2
Luxembourg;Toutes les spécialités;193.0;93;100;1;13;13;3;5;7;7;9;14;21;0;3;7;3;6;5;7;12;25;32
;Dentisterie générale;182.0;86;96;1;12;13;3;4;7;7;8;12;19;0;3;7;2;6;4;7;10;25;32
;Orthodontie;11.0;7;4;0;1;0;0;1;0;0;1;2;2;0;0;0;1;0;1;0;2;0;0
Région de Bruxelles Capitale;Toutes les spécialités;1330.0;654;676;2;93;123;53;50;44;48;64;61;116;2;59;112;63;48;31;46;70;94;151
;Dentisterie générale;1239.0;606;633;2;92;108;50;47;37;44;54;58;114;2;58;100;57;42;23;46;66;92;147
;Parodontologie;20.0;10;10;0;1;4;2;2;0;0;1;0;0;0;0;1;1;2;2;0;2;1;1
;Orthodontie;71.0;38;33;0;0;11;1;1;7;4;9;3;2;0;1;11;5;4;6;0;2;1;3
