territoire;spécialité;total;genre_femme;genre_homme;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Brabant Wallon;Médecine d'urgence;27;6;21;0;1;0;0;2;2;1;0;0;0;0;5;3;1;5;7
Brabant Wallon;Endocrino-diabétologie;21;6;15;0;0;1;2;1;1;1;0;0;0;2;1;1;2;3;6
Brabant Wallon;Néonatologie;10;7;3;0;0;3;2;0;0;2;0;0;1;0;1;0;0;1;0
Brabant Wallon;Oncologie;11;2;9;0;1;1;0;0;0;0;0;0;1;1;1;1;3;2;0
Brabant Wallon;Hématologie clinique;9;4;5;0;1;1;0;2;0;0;0;1;0;0;1;0;2;1;0
Brabant Wallon;Gestion de données de santé;6;3;3;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;2
Hainaut;Toutes les spécialités;317;97;220;6;13;15;21;8;8;6;20;4;5;10;16;28;42;45;70
Hainaut;Médecine nucléaire in vitro;19;4;15;0;0;0;0;0;3;1;0;0;0;0;0;0;3;5;7
Hainaut;Réadaptation fonctionnelle et professionnelle des handicapés;51;14;37;0;0;1;4;0;1;3;5;0;0;0;3;3;5;6;20
Hainaut;Gériatrie;16;4;12;0;0;1;0;0;1;0;2;0;0;0;0;1;1;1;9
Hainaut;Chirurgie orale et maxillo - faciale;9;4;5;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;1
Hainaut;Soins intensifs;57;11;46;0;3;2;2;1;1;1;1;2;0;1;6;8;12;8;9
Hainaut;Neurologie pédiatrique;6;5;1;0;1;1;1;0;0;0;2;0;0;0;0;0;0;1;0
Hainaut;Néphrologie;24;7;17;1;2;1;1;1;0;0;1;1;2;0;0;2;4;2;6
Hainaut;Médecine d'urgence;41;6;35;0;0;2;1;0;0;0;3;0;1;2;1;9;8;7;7
Hainaut;Endocrino-diabétologie;33;18;15;3;3;4;2;4;0;1;1;1;1;2;1;0;2;3;5
Hainaut;Néonatologie;9;9;0;0;1;0;4;2;0;0;2;0;0;0;0;0;0;0;0
Hainaut;Oncologie;27;6;21;1;1;0;2;0;1;0;1;0;0;4;5;1;3;4;4
Hainaut;Hématologie clinique;11;6;5;1;2;1;1;0;1;0;0;0;1;1;0;1;1;1;0
Hainaut;Gestion de données de santé;14;3;11;0;0;0;1;0;0;0;2;0;0;0;0;1;1;7;2
Liège;Toutes les spécialités;446;178;268;14;23;25;32;25;15;16;28;4;16;18;37;25;38;37;93
Liège;Médecine nucléaire in vitro;19;11;8;0;0;0;2;1;2;1;5;0;1;0;0;0;3;1;3
Liège;Réadaptation fonctionnelle et professionnelle des handicapés;112;43;69;0;0;1;6;9;4;6;17;0;2;3;3;2;7;9;43
Liège;Gériatrie;9;4;5;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;5
Liège;Chirurgie orale et maxillo - faciale;5;1;4;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;1
Liège;Soins intensifs;78;20;58;3;7;3;4;0;2;1;0;3;7;4;12;4;9;5;14
Liège;Neurologie pédiatrique;11;7;4;0;3;3;1;0;0;0;0;0;0;0;0;0;1;1;2
Liège;Néphrologie;31;11;20;1;1;3;3;0;0;1;2;0;1;2;2;2;3;6;4
Liège;Médecine d'urgence;60;18;42;0;1;2;3;7;2;2;1;0;2;2;9;9;7;7;6
Liège;Endocrino-diabétologie;45;26;19;4;2;5;5;5;1;1;3;1;0;1;3;2;2;4;6
Liège;Néonatologie;15;8;7;2;2;1;1;1;1;0;0;0;1;0;3;1;0;0;2
Liège;Oncologie;21;9;12;1;2;4;2;0;0;0;0;0;0;1;3;3;2;2;1
Liège;Hématologie et oncologie pédiatrique;10;6;4;0;0;1;2;0;1;2;0;0;0;2;1;0;1;0;0
Liège;Hématologie clinique;18;9;9;3;4;1;1;0;0;0;0;0;1;2;1;2;0;1;2
Liège;Gestion de données de santé;12;5;7;0;0;0;0;1;2;2;0;0;0;0;0;0;2;1;4
Namur;Toutes les spécialités;187;66;121;2;10;14;13;6;9;7;5;5;9;8;15;17;14;13;40
Namur;Médecine nucléaire in vitro;6;2;4;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;3
Namur;Réadaptation fonctionnelle et professionnelle des handicapés;28;11;17;0;0;3;1;0;3;2;2;0;0;0;0;4;2;2;9
Namur;Gériatrie;4;1;3;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2
Namur;Chirurgie orale et maxillo - faciale;9;1;8;0;0;1;0;0;0;0;0;2;0;0;3;2;0;0;1
Namur;Soins intensifs;39;7;32;1;1;0;2;2;1;0;0;2;4;2;4;7;5;3;5
Namur;Neurologie pédiatrique;6;4;2;0;0;1;1;0;0;1;1;0;0;1;0;0;0;1;0
Namur;Néphrologie;16;7;9;0;3;3;0;0;1;0;0;0;0;2;3;1;0;0;3
Namur;Médecine d'urgence;29;10;19;0;1;2;3;1;2;1;0;0;3;1;2;0;4;4;5
Namur;Endocrino-diabétologie;18;10;8;0;3;1;3;2;0;1;0;0;1;0;1;1;1;1;3
Namur;Néonatologie;3;2;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0
Namur;Oncologie;9;3;6;0;0;3;0;0;0;0;0;1;1;1;1;1;0;0;1
Namur;Hématologie clinique;10;6;4;1;1;0;2;1;0;1;0;0;0;0;1;0;0;1;2
Namur;Gestion de données de santé;10;2;8;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;6
Luxembourg;Toutes les spécialités;60;19;41;0;1;4;3;4;4;1;2;2;1;6;3;3;6;6;14
Luxembourg;Médecine nucléaire in vitro;3;2;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1
Luxembourg;Réadaptation fonctionnelle et professionnelle des handicapés;6;1;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5
Luxembourg;Gériatrie;3;1;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1
Luxembourg;Chirurgie orale et maxillo - faciale;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
Luxembourg;Soins intensifs;7;1;6;0;0;0;0;1;0;0;0;2;0;0;0;1;1;2;0
Luxembourg;Neurologie pédiatrique;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Luxembourg;Néphrologie;4;2;2;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1
Luxembourg;Médecine d'urgence;11;2;9;0;0;1;0;1;0;0;0;0;0;0;1;0;0;4;4
Luxembourg;Endocrino-diabétologie;8;5;3;0;0;2;2;0;0;0;1;0;0;1;1;0;0;0;1
Luxembourg;Néonatologie;2;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
Luxembourg;Oncologie;5;1;4;0;1;0;0;0;0;0;0;0;1;1;1;0;1;0;0
Luxembourg;Hématologie clinique;4;0;4;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0
Luxembourg;Gestion de données de santé;4;1;3;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0
Région de Bruxelles Capitale;Toutes les spécialités;503;228;275;18;35;40;19;25;23;27;41;6;15;27;22;30;39;33;103
Région de Bruxelles Capitale;Médecine nucléaire in vitro;31;15;16;0;0;0;0;1;2;7;5;0;0;0;0;1;3;3;9
Région de Bruxelles Capitale;Réadaptation fonctionnelle et professionnelle des handicapés;100;38;62;0;2;2;4;2;5;5;18;0;0;2;3;5;6;10;36
Région de Bruxelles Capitale;Gériatrie;8;2;6;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;4
Région de Bruxelles Capitale;Chirurgie orale et maxillo - faciale;22;12;10;0;1;3;1;3;1;3;0;0;0;2;1;1;1;2;3
Région de Bruxelles Capitale;Soins intensifs;87;29;58;5;6;7;1;5;0;2;3;3;9;8;3;6;15;6;8
Région de Bruxelles Capitale;Neurologie pédiatrique;10;9;1;0;3;1;0;0;1;1;3;0;0;0;0;0;0;0;1
Région de Bruxelles Capitale;Néphrologie;52;23;29;4;6;5;3;0;2;1;2;2;4;2;4;2;4;2;9
Région de Bruxelles Capitale;Médecine d'urgence;40;15;25;0;1;2;0;4;4;2;2;0;0;4;3;6;1;2;9
Région de Bruxelles Capitale;Endocrino-diabétologie;58;30;28;3;4;10;3;1;2;2;5;0;0;3;3;4;2;2;14
Région de Bruxelles Capitale;Néonatologie;27;24;3;2;8;5;3;3;2;0;1;0;0;0;1;0;0;1;1
Région de Bruxelles Capitale;Oncologie;21;6;15;0;2;1;3;0;0;0;0;0;1;3;1;2;2;3;3
Région de Bruxelles Capitale;Hématologie et oncologie pédiatrique;6;4;2;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;1
Région de Bruxelles Capitale;Hématologie clinique;29;15;14;4;2;3;1;2;1;1;1;1;1;1;3;2;3;0;3
Région de Bruxelles Capitale;Gestion de données de santé;12;6;6;0;0;0;0;3;1;1;1;0;0;0;0;1;1;2;2
