territoire;specialite;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Prov Namur;TOUTES SPECIALITES;309;139;170;0;6;10;18;14;22;18;24;17;10;0;4;10;8;9;28;30;34;17;30
Prov Luxembourg;TOUTES SPECIALITES;152;66;86;0;4;4;6;10;11;13;9;5;4;0;1;3;1;8;18;22;21;5;7
Prov Région de Bruxelles-capitale;TOUTES SPECIALITES;963;439;524;2;47;56;39;44;63;58;60;32;38;3;24;49;27;50;75;99;58;49;90
Belgique;DENTISTERIE GENERALE;7794;3462;4332;42;257;283;413;371;540;710;457;209;180;14;123;173;180;220;598;1025;763;503;733
Belgique;PARODONTOLOGIE;130;72;58;0;8;14;12;20;11;4;3;0;0;0;6;11;8;7;16;5;4;1;0
Belgique;ORTHODONTIE;389;262;127;0;11;28;30;40;52;47;35;14;5;0;4;11;13;5;24;27;26;13;4
Région Flandre;DENTISTERIE GENERALE;4531;2018;2513;27;140;155;271;218;338;429;252;110;78;6;66;78;106;97;326;641;469;293;431
Région Flandre;PARODONTOLOGIE;96;56;40;0;5;8;11;17;8;4;3;0;0;0;5;6;6;7;8;4;3;1;0
Région Flandre;ORTHODONTIE;232;152;80;0;5;15;14;22;35;31;21;7;2;0;1;9;8;4;13;20;16;6;3
Région Wallonie;DENTISTERIE GENERALE;2350;1038;1312;13;71;79;108;112;148;227;147;67;66;5;34;49;49;74;201;287;238;162;213
Région Wallonie;PARODONTOLOGIE;24;12;12;0;2;4;1;3;2;0;0;0;0;0;0;3;2;0;5;1;1;0;0
Région Wallonie;ORTHODONTIE;117;81;36;0;6;8;11;15;9;12;12;7;1;0;3;1;3;0;10;5;8;6;0
Région Région de Bruxelles-capitale;DENTISTERIE GENERALE;913;406;507;2;46;49;34;41;54;54;58;32;36;3;23;46;25;49;71;97;56;48;89
Région Région de Bruxelles-capitale;PARODONTOLOGIE;10;4;6;0;1;2;0;0;1;0;0;0;0;0;1;2;0;0;3;0;0;0;0
Région Région de Bruxelles-capitale;ORTHODONTIE;40;29;11;0;0;5;5;3;8;4;2;0;2;0;0;1;2;1;1;2;2;1;1
Prov Brabant flamand;DENTISTERIE GENERALE;994;516;478;3;31;33;78;64;92;111;61;23;20;3;17;13;27;17;81;119;83;49;69
Prov Brabant flamand;PARODONTOLOGIE;29;15;14;0;2;1;3;5;1;2;1;0;0;0;0;1;2;4;3;2;1;1;0
Prov Brabant flamand;ORTHODONTIE;67;45;22;0;0;5;4;7;8;11;4;5;1;0;0;2;4;1;3;5;5;2;0
Prov Flandre occidentale;DENTISTERIE GENERALE;853;347;506;9;34;33;46;37;42;67;44;21;14;0;12;17;14;13;44;133;100;71;102
Prov Flandre occidentale;PARODONTOLOGIE;14;10;4;0;1;2;2;4;0;1;0;0;0;0;1;1;0;1;1;0;0;0;0
Prov Flandre occidentale;ORTHODONTIE;36;21;15;0;1;4;1;2;3;5;5;0;0;0;0;2;3;1;1;3;2;1;2
Prov Flandre orientale;DENTISTERIE GENERALE;979;434;545;9;28;31;61;43;65;86;59;35;17;2;15;15;31;29;65;117;109;63;99
Prov Flandre orientale;PARODONTOLOGIE;21;12;9;0;1;1;3;6;1;0;0;0;0;0;2;2;2;1;1;0;1;0;0
Prov Flandre orientale;ORTHODONTIE;52;33;19;0;2;4;5;4;7;5;4;1;1;0;0;3;1;1;6;3;4;1;0
Prov Anvers;DENTISTERIE GENERALE;1121;479;642;2;32;32;49;49;102;113;57;20;23;1;11;19;23;32;98;175;110;64;109
Prov Anvers;PARODONTOLOGIE;22;13;9;0;1;3;2;1;4;0;2;0;0;0;2;0;2;0;3;1;1;0;0
Prov Anvers;ORTHODONTIE;55;37;18;0;2;0;4;8;12;5;5;1;0;0;1;2;0;1;3;4;4;2;1
Prov Limbourg;DENTISTERIE GENERALE;584;242;342;4;15;26;37;25;37;52;31;11;4;0;11;14;11;6;38;97;67;46;52
Prov Limbourg;PARODONTOLOGIE;10;6;4;0;0;1;1;1;2;1;0;0;0;0;0;2;0;1;0;1;0;0;0
Prov Limbourg;ORTHODONTIE;22;16;6;0;0;2;0;1;5;5;3;0;0;0;0;0;0;0;0;5;1;0;0
Prov Brabant wallon;DENTISTERIE GENERALE;448;240;208;2;13;17;22;27;28;58;38;16;19;1;5;3;13;12;30;40;41;25;38
Prov Brabant wallon;PARODONTOLOGIE;6;1;5;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;1;1;0;0
Prov Brabant wallon;ORTHODONTIE;34;25;9;0;1;3;6;5;3;1;3;2;1;0;0;0;1;0;2;1;2;3;0
Prov Hainaut;DENTISTERIE GENERALE;637;275;362;8;17;13;35;34;40;63;38;10;17;2;10;15;14;19;51;73;72;48;58
Prov Hainaut;PARODONTOLOGIE;3;2;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Prov Hainaut;ORTHODONTIE;23;16;7;0;1;0;2;4;1;5;2;1;0;0;1;0;0;0;2;2;1;1;0
Prov Liège;DENTISTERIE GENERALE;828;336;492;3;32;39;28;30;51;77;39;21;16;2;14;19;13;26;78;122;70;68;80
Prov Liège;PARODONTOLOGIE;10;6;4;0;2;2;0;1;1;0;0;0;0;0;0;1;2;0;1;0;0;0;0
Prov Liège;ORTHODONTIE;41;25;16;0;3;3;2;3;2;4;6;2;0;0;2;1;2;0;3;2;5;1;0
Prov Namur;DENTISTERIE GENERALE;292;126;166;0;6;6;17;11;20;17;23;16;10;0;4;9;8;9;26;30;34;16;30
Prov Namur;PARODONTOLOGIE;5;3;2;0;0;2;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0
Prov Namur;ORTHODONTIE;12;10;2;0;0;2;1;3;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0
Prov Luxembourg;DENTISTERIE GENERALE;145;61;84;0;3;4;6;10;9;12;9;4;4;0;1;3;1;8;16;22;21;5;7
Prov Luxembourg;ORTHODONTIE;7;5;2;0;1;0;0;0;2;1;0;1;0;0;0;0;0;0;2;0;0;0;0
Prov Région de Bruxelles-capitale;DENTISTERIE GENERALE;913;406;507;2;46;49;34;41;54;54;58;32;36;3;23;46;25;49;71;97;56;48;89
Prov Région de Bruxelles-capitale;PARODONTOLOGIE;10;4;6;0;1;2;0;0;1;0;0;0;0;0;1;2;0;0;3;0;0;0;0
Prov Région de Bruxelles-capitale;ORTHODONTIE;40;29;11;0;0;5;5;3;8;4;2;0;2;0;0;1;2;1;1;2;2;1;1
Prov Région de Bruxelles-capitale;ORTHODONTIE;41;28;13;0;0;3;6;2;11;3;2;0;1;0;0;1;3;1;0;3;3;1;1
