territoire;spécialité;total;total_femmes;total_hommes;femmes_moins20;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_moins20;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;TITRE PROFESSIONNEL PARTICULIER - SANTE MENTALE ET PSYCHIATRIE;2560;1725;835;0;27;145;199;248;332;280;218;203;66;7;0;5;44;80;108;153;128;112;139;62;4
Belgique;TITRE PROFESSIONNEL PARTICULIER - SOINS PERI-OPERATOIRES;1730;1403;327;0;42;169;191;259;202;211;193;113;22;1;0;4;38;43;58;54;37;44;41;8;0
Belgique;QUALIFICATION PROFESSIONNELLE PARTICULIERE - GERIATRIE;3426;3117;309;0;3;86;308;421;471;531;619;487;165;26;0;0;8;35;54;48;56;50;39;16;3
Belgique;QUALIFICATION PROFESSIONNELLE PARTICULIERE - DIABETOLOGIE;801;719;82;0;8;42;58;84;123;121;138;105;31;9;0;0;4;9;17;10;6;19;14;3;0
Belgique;QUALIFICATION PROFESSIONNELLE PARTICULIERE - SANTE MENTALE ET PSYCHIATRIE;2152;1696;456;0;0;86;176;214;206;256;326;294;132;6;0;0;18;41;51;66;64;87;79;45;5
Belgique;QUALIFICATION PROFESSIONNELLE PARTICULIERE - SOINS PALLIATIFS;865;771;94;0;0;28;40;84;88;123;162;180;63;3;0;0;5;8;10;8;18;19;22;4;0
Région Flandre;SANS AGREMENT;102044;89275;12769;0;4241;7032;6643;8361;8920;9410;11893;11377;8030;13368;0;626;1247;1013;1206;1262;1318;1688;1824;1167;1418
Région Flandre;TITRE PROFESSIONNEL PARTICULIER - SOINS INTENSIFS ET D'URGENCE;6352;4322;2030;0;262;697;664;696;614;555;360;309;126;39;0;70;209;259;298;246;280;276;220;129;43
Région Flandre;TITRE PROFESSIONNEL PARTICULIER - GERIATRIE;1605;1296;309;0;25;74;119;192;202;219;238;161;57;9;0;1;10;21;28;44;56;71;54;21;3
Région Flandre;TITRE PROFESSIONNEL PARTICULIER - ONCOLOGIE;1902;1671;231;0;47;142;195;262;255;287;236;171;64;12;0;4;8;19;30;38;26;50;35;18;3
Région Flandre;TITRE PROFESSIONNEL PARTICULIER - PEDIATRIE ET NEONATOLOGIE;2546;2455;91;0;128;380;333;368;339;334;289;199;82;3;0;4;12;13;10;5;10;21;12;4;0
Région Flandre;TITRE PROFESSIONNEL PARTICULIER - SANTE MENTALE ET PSYCHIATRIE;1661;1106;555;0;12;79;119;138;218;192;157;136;50;5;0;2;17;42;59;97;88;79;116;52;3
Région Flandre;TITRE PROFESSIONNEL PARTICULIER - SOINS PERI-OPERATOIRES;984;782;202;0;14;62;106;142;112;131;130;73;11;1;0;1;14;19;28;34;27;38;35;6;0
Région Flandre;QUALIFICATION PROFESSIONNELLE PARTICULIERE - GERIATRIE;2586;2375;211;0;2;57;208;302;342;403;504;399;140;18;0;0;5;23;29;33;36;39;31;13;2
Région Flandre;QUALIFICATION PROFESSIONNELLE PARTICULIERE - DIABETOLOGIE;481;428;53;0;7;29;37;43;69;72;92;63;12;4;0;0;0;7;8;5;6;15;11;1;0
Région Flandre;QUALIFICATION PROFESSIONNELLE PARTICULIERE - SANTE MENTALE ET PSYCHIATRIE;1444;1126;318;0;0;71;128;149;119;157;210;193;95;4;0;0;14;24;33;35;36;72;59;40;5
Région Flandre;QUALIFICATION PROFESSIONNELLE PARTICULIERE - SOINS PALLIATIFS;507;447;60;0;0;11;20;48;50;67;99;111;39;2;0;0;2;3;7;4;14;13;14;3;0
Région Wallonie;SANS AGREMENT;45505;40726;4779;0;1294;2905;3129;3995;4352;4307;5174;5263;3958;6349;0;171;564;525;659;745;482;507;586;282;258
Région Wallonie;TITRE PROFESSIONNEL PARTICULIER - SOINS INTENSIFS ET D'URGENCE;3888;2814;1074;0;179;494;407;453;422;336;269;172;64;18;0;47;187;164;191;170;125;91;73;21;5
Région Wallonie;TITRE PROFESSIONNEL PARTICULIER - GERIATRIE;452;396;56;0;17;44;52;68;60;54;38;45;16;2;0;0;4;5;12;12;12;8;3;0;0
Région Wallonie;TITRE PROFESSIONNEL PARTICULIER - ONCOLOGIE;797;709;88;0;39;91;97;113;111;89;72;72;23;2;0;2;9;14;8;21;12;8;10;3;1
Région Wallonie;TITRE PROFESSIONNEL PARTICULIER - PEDIATRIE ET NEONATOLOGIE;1624;1574;50;0;107;286;308;264;217;150;125;82;32;3;0;0;6;16;8;11;5;2;2;0;0
Région Wallonie;TITRE PROFESSIONNEL PARTICULIER - SANTE MENTALE ET PSYCHIATRIE;758;522;236;0;11;52;65;95;104;75;51;54;13;2;0;1;19;33;41;51;32;28;21;9;1
Région Wallonie;TITRE PROFESSIONNEL PARTICULIER - SOINS PERI-OPERATOIRES;638;538;100;0;25;95;77;103;77;73;50;31;7;0;0;3;19;15;26;18;9;5;4;1;0
Région Wallonie;QUALIFICATION PROFESSIONNELLE PARTICULIERE - GERIATRIE;716;639;77;0;0;27;91;104;109;107;101;70;24;6;0;0;3;7;21;11;15;9;8;2;1
Région Wallonie;QUALIFICATION PROFESSIONNELLE PARTICULIERE - DIABETOLOGIE;277;257;20;0;1;11;20;34;49;42;41;37;18;4;0;0;3;1;8;4;0;1;2;1;0
Région Wallonie;QUALIFICATION PROFESSIONNELLE PARTICULIERE - SANTE MENTALE ET PSYCHIATRIE;651;524;127;0;0;13;43;61;83;92;105;93;32;2;0;0;3;17;16;30;25;13;18;5;0
Région Wallonie;QUALIFICATION PROFESSIONNELLE PARTICULIERE - SOINS PALLIATIFS;322;293;29;0;0;17;19;33;36;51;56;59;22;0;0;0;2;5;3;3;3;6;6;1;0
Région Région de Bruxelles-capitale;SANS AGREMENT;8064;7010;1054;0;291;803;653;631;651;594;721;796;566;1304;0;43;187;195;160;118;108;90;80;41;32
Région Région de Bruxelles-capitale;TITRE PROFESSIONNEL PARTICULIER - SOINS INTENSIFS ET D'URGENCE;473;329;144;0;27;75;72;46;32;30;19;14;8;6;0;8;45;30;18;14;8;10;9;0;2
Région Région de Bruxelles-capitale;TITRE PROFESSIONNEL PARTICULIER - GERIATRIE;99;80;19;0;5;5;16;13;10;10;7;11;2;1;0;0;2;1;5;1;4;0;4;2;0
Région Région de Bruxelles-capitale;TITRE PROFESSIONNEL PARTICULIER - ONCOLOGIE;202;181;21;0;5;38;23;27;15;22;17;25;7;2;0;1;1;5;5;3;0;3;2;1;0
Région Région de Bruxelles-capitale;TITRE PROFESSIONNEL PARTICULIER - PEDIATRIE ET NEONATOLOGIE;355;339;16;0;32;82;54;52;34;22;33;20;8;2;0;0;4;5;3;2;1;1;0;0;0
Région Région de Bruxelles-capitale;TITRE PROFESSIONNEL PARTICULIER - SANTE MENTALE ET PSYCHIATRIE;141;97;44;0;4;14;15;15;10;13;10;13;3;0;0;2;8;5;8;5;8;5;2;1;0
Région Région de Bruxelles-capitale;TITRE PROFESSIONNEL PARTICULIER - SOINS PERI-OPERATOIRES;108;83;25;0;3;12;8;14;13;7;13;9;4;0;0;0;5;9;4;2;1;1;2;1;0
Région Région de Bruxelles-capitale;QUALIFICATION PROFESSIONNELLE PARTICULIERE - GERIATRIE;124;103;21;0;1;2;9;15;20;21;14;18;1;2;0;0;0;5;4;4;5;2;0;1;0
Région Région de Bruxelles-capitale;QUALIFICATION PROFESSIONNELLE PARTICULIERE - DIABETOLOGIE;43;34;9;0;0;2;1;7;5;7;5;5;1;1;0;0;1;1;1;1;0;3;1;1;0
Région Région de Bruxelles-capitale;QUALIFICATION PROFESSIONNELLE PARTICULIERE - SANTE MENTALE ET PSYCHIATRIE;57;46;11;0;0;2;5;4;4;7;11;8;5;0;0;0;1;0;2;1;3;2;2;0;0
Région Région de Bruxelles-capitale;QUALIFICATION PROFESSIONNELLE PARTICULIERE - SOINS PALLIATIFS;36;31;5;0;0;0;1;3;2;5;7;10;2;1;0;0;1;0;0;1;1;0;2;0;0
Prov Brabant flamand;SANS AGREMENT;16605;14361;2244;0;548;945;901;1227;1410;1543;2118;2126;1418;2125;0;89;207;177;184;205;221;308;349;240;264
Prov Brabant flamand;TITRE PROFESSIONNEL PARTICULIER - SOINS INTENSIFS ET D'URGENCE;1224;835;389;0;41;137;112;122;96;106;91;86;36;8;0;14;36;30;57;34;50;58;64;34;12
Prov Brabant flamand;TITRE PROFESSIONNEL PARTICULIER - GERIATRIE;278;223;55;0;4;19;11;31;34;30;46;37;10;1;0;0;1;3;2;10;7;16;12;4;0
Prov Brabant flamand;TITRE PROFESSIONNEL PARTICULIER - ONCOLOGIE;363;317;46;0;12;25;32;44;55;51;43;40;11;4;0;0;1;2;7;4;4;15;10;2;1
Prov Brabant flamand;TITRE PROFESSIONNEL PARTICULIER - PEDIATRIE ET NEONATOLOGIE;568;541;27;0;31;77;79;73;59;60;77;57;28;0;0;1;3;1;2;1;2;8;7;2;0
Prov Brabant flamand;TITRE PROFESSIONNEL PARTICULIER - SANTE MENTALE ET PSYCHIATRIE;272;184;88;0;0;11;13;21;33;29;27;34;14;2;0;1;1;5;5;12;12;15;20;17;0
Prov Brabant flamand;TITRE PROFESSIONNEL PARTICULIER - SOINS PERI-OPERATOIRES;171;148;23;0;2;13;24;27;23;26;22;8;3;0;0;0;2;4;2;3;4;3;5;0;0
Prov Brabant flamand;QUALIFICATION PROFESSIONNELLE PARTICULIERE - GERIATRIE;258;234;24;0;1;6;10;23;30;54;49;44;14;3;0;0;0;0;2;4;4;7;5;2;0
Prov Brabant flamand;QUALIFICATION PROFESSIONNELLE PARTICULIERE - DIABETOLOGIE;98;88;10;0;3;6;11;8;17;11;13;15;3;1;0;0;0;3;0;1;0;4;2;0;0
Prov Brabant flamand;QUALIFICATION PROFESSIONNELLE PARTICULIERE - SANTE MENTALE ET PSYCHIATRIE;145;109;36;0;0;7;7;9;13;17;23;22;10;1;0;0;1;3;1;1;2;11;7;10;0
Prov Brabant flamand;QUALIFICATION PROFESSIONNELLE PARTICULIERE - SOINS PALLIATIFS;69;62;7;0;0;0;2;5;7;13;14;17;4;0;0;0;0;0;0;0;2;3;2;0;0
Prov Flandre occidentale;SANS AGREMENT;21969;19430;2539;0;1063;1789;1621;1856;1874;1807;2351;2323;1854;2892;0;161;271;192;260;244;236;307;347;236;285
Prov Flandre occidentale;TITRE PROFESSIONNEL PARTICULIER - SOINS INTENSIFS ET D'URGENCE;1273;855;418;0;51;128;135;141;128;113;58;56;34;11;0;11;51;51;67;40;47;56;47;37;11
Prov Flandre occidentale;TITRE PROFESSIONNEL PARTICULIER - GERIATRIE;339;267;72;0;4;14;29;52;41;45;36;34;10;2;0;0;2;5;8;11;13;16;12;5;0
Prov Flandre occidentale;TITRE PROFESSIONNEL PARTICULIER - ONCOLOGIE;372;327;45;0;5;24;32;53;59;68;51;24;10;1;0;1;1;5;9;11;4;8;4;2;0
Prov Flandre occidentale;TITRE PROFESSIONNEL PARTICULIER - PEDIATRIE ET NEONATOLOGIE;497;483;14;0;25;81;70;56;60;69;64;44;14;0;0;0;2;3;1;1;2;4;1;0;0
Prov Flandre occidentale;TITRE PROFESSIONNEL PARTICULIER - SANTE MENTALE ET PSYCHIATRIE;407;255;152;0;0;25;29;27;49;51;36;27;11;0;0;0;4;9;17;26;29;14;37;16;0
Prov Flandre occidentale;TITRE PROFESSIONNEL PARTICULIER - SOINS PERI-OPERATOIRES;201;137;64;0;5;10;16;28;18;28;22;9;1;0;0;1;5;7;12;12;5;9;12;1;0
Prov Flandre occidentale;QUALIFICATION PROFESSIONNELLE PARTICULIERE - GERIATRIE;843;773;70;0;1;18;68;99;125;119;186;112;39;6;0;0;1;6;10;14;14;13;9;2;1
Prov Flandre occidentale;QUALIFICATION PROFESSIONNELLE PARTICULIERE - DIABETOLOGIE;101;86;15;0;1;6;8;8;15;11;19;15;3;0;0;0;0;3;3;0;1;5;3;0;0
Prov Flandre occidentale;QUALIFICATION PROFESSIONNELLE PARTICULIERE - SANTE MENTALE ET PSYCHIATRIE;576;480;96;0;0;23;56;73;51;61;79;88;48;1;0;0;5;8;14;11;17;21;13;6;1
Prov Flandre occidentale;QUALIFICATION PROFESSIONNELLE PARTICULIERE - SOINS PALLIATIFS;84;76;8;0;0;0;1;9;7;14;13;24;8;0;0;0;0;0;0;1;3;1;2;1;0
Prov Flandre orientale;SANS AGREMENT;23890;20912;2978;0;1006;1566;1498;1870;2169;2317;2756;2623;1835;3272;0;139;295;219;294;299;317;403;449;285;278
Prov Flandre orientale;TITRE PROFESSIONNEL PARTICULIER - SOINS INTENSIFS ET D'URGENCE;1494;1027;467;0;65;158;132;163;158;141;89;70;37;14;0;18;48;76;61;54;68;57;50;27;8
Prov Flandre orientale;TITRE PROFESSIONNEL PARTICULIER - GERIATRIE;418;339;79;0;5;14;30;52;60;57;68;39;11;3;0;0;2;2;14;9;18;15;12;6;1
Prov Flandre orientale;TITRE PROFESSIONNEL PARTICULIER - ONCOLOGIE;511;458;53;0;15;40;52;85;70;70;57;48;18;3;0;2;1;6;7;10;7;6;6;7;1
Prov Flandre orientale;TITRE PROFESSIONNEL PARTICULIER - PEDIATRIE ET NEONATOLOGIE;610;593;17;0;29;82;76;104;90;90;56;41;23;2;0;2;3;0;2;1;2;3;2;2;0
Prov Flandre orientale;TITRE PROFESSIONNEL PARTICULIER - SANTE MENTALE ET PSYCHIATRIE;406;270;136;0;5;17;40;42;57;42;27;30;8;2;0;1;4;13;21;28;20;18;24;7;0
Prov Flandre orientale;TITRE PROFESSIONNEL PARTICULIER - SOINS PERI-OPERATOIRES;249;199;50;0;4;7;26;37;32;38;30;22;3;0;0;0;1;5;8;10;11;7;5;3;0
Prov Flandre orientale;QUALIFICATION PROFESSIONNELLE PARTICULIERE - GERIATRIE;709;660;49;0;0;18;62;91;96;112;144;102;32;3;0;0;1;9;7;8;6;9;6;3;0
Prov Flandre orientale;QUALIFICATION PROFESSIONNELLE PARTICULIERE - DIABETOLOGIE;105;93;12;0;1;7;4;11;16;15;23;11;3;2;0;0;0;0;3;1;2;4;2;0;0
Prov Flandre orientale;QUALIFICATION PROFESSIONNELLE PARTICULIERE - SANTE MENTALE ET PSYCHIATRIE;297;213;84;0;0;11;28;31;22;33;48;28;11;1;0;0;3;5;5;9;8;22;19;12;1
Prov Flandre orientale;QUALIFICATION PROFESSIONNELLE PARTICULIERE - SOINS PALLIATIFS;140;123;17;0;0;3;5;13;15;18;25;30;14;0;0;0;1;0;1;3;4;4;4;0;0
Prov Anvers;SANS AGREMENT;24250;21259;2991;0;967;1613;1448;1941;2026;2297;3031;2834;1817;3285;0;122;270;222;264;304;327;414;480;267;321
Prov Anvers;TITRE PROFESSIONNEL PARTICULIER - SOINS INTENSIFS ET D'URGENCE;1554;1046;508;0;71;177;180;174;149;121;85;69;15;5;0;18;47;65;80;78;72;67;50;21;10
Prov Anvers;TITRE PROFESSIONNEL PARTICULIER - GERIATRIE;422;342;80;0;9;21;31;32;46;71;65;43;22;2;0;0;4;9;2;12;14;18;16;4;1
Prov Anvers;TITRE PROFESSIONNEL PARTICULIER - ONCOLOGIE;450;390;60;0;13;30;43;51;48;67;68;51;16;3;0;1;4;3;5;10;6;13;12;5;1
Prov Anvers;TITRE PROFESSIONNEL PARTICULIER - PEDIATRIE ET NEONATOLOGIE;630;603;27;0;29;103;72;91;103;78;67;43;16;1;0;1;2;8;4;1;3;6;2;0;0
Prov Anvers;TITRE PROFESSIONNEL PARTICULIER - SANTE MENTALE ET PSYCHIATRIE;370;266;104;0;6;14;23;36;48;44;47;34;14;0;0;0;5;9;9;17;13;18;22;8;3
Prov Anvers;TITRE PROFESSIONNEL PARTICULIER - SOINS PERI-OPERATOIRES;247;202;45;0;2;22;26;32;24;27;40;26;2;1;0;0;5;1;2;6;5;13;11;2;0
Prov Anvers;QUALIFICATION PROFESSIONNELLE PARTICULIERE - GERIATRIE;492;451;41;0;0;7;30;44;46;82;90;107;40;5;0;0;1;0;5;6;7;7;10;5;0
Prov Anvers;QUALIFICATION PROFESSIONNELLE PARTICULIERE - DIABETOLOGIE;115;102;13;0;1;6;10;11;9;20;24;18;2;1;0;0;0;1;1;3;2;1;4;1;0
Prov Anvers;QUALIFICATION PROFESSIONNELLE PARTICULIERE - SANTE MENTALE ET PSYCHIATRIE;225;178;47;0;0;13;15;17;16;32;37;31;16;1;0;0;5;4;4;8;4;12;6;4;0
Prov Anvers;QUALIFICATION PROFESSIONNELLE PARTICULIERE - SOINS PALLIATIFS;155;130;25;0;0;6;9;11;12;14;34;32;11;1;0;0;1;2;4;0;5;5;6;2;0
Prov Limbourg;SANS AGREMENT;15330;13313;2017;0;657;1119;1175;1467;1441;1446;1637;1471;1106;1794;0;115;204;203;204;210;217;256;199;139;270
Prov Limbourg;TITRE PROFESSIONNEL PARTICULIER - SOINS INTENSIFS ET D'URGENCE;807;559;248;0;34;97;105;96;83;74;37;28;4;1;0;9;27;37;33;40;43;38;9;10;2
Prov Limbourg;TITRE PROFESSIONNEL PARTICULIER - GERIATRIE;148;125;23;0;3;6;18;25;21;16;23;8;4;1;0;1;1;2;2;2;4;6;2;2;1
Prov Limbourg;TITRE PROFESSIONNEL PARTICULIER - ONCOLOGIE;206;179;27;0;2;23;36;29;23;31;17;8;9;1;0;0;1;3;2;3;5;8;3;2;0
Prov Limbourg;TITRE PROFESSIONNEL PARTICULIER - PEDIATRIE ET NEONATOLOGIE;241;235;6;0;14;37;36;44;27;37;25;14;1;0;0;0;2;1;1;1;1;0;0;0;0
Prov Limbourg;TITRE PROFESSIONNEL PARTICULIER - SANTE MENTALE ET PSYCHIATRIE;206;131;75;0;1;12;14;12;31;26;20;11;3;1;0;0;3;6;7;14;14;14;13;4;0
Prov Limbourg;TITRE PROFESSIONNEL PARTICULIER - SOINS PERI-OPERATOIRES;116;96;20;0;1;10;14;18;15;12;16;8;2;0;0;0;1;2;4;3;2;6;2;0;0
Prov Limbourg;QUALIFICATION PROFESSIONNELLE PARTICULIERE - GERIATRIE;284;257;27;0;0;8;38;45;45;36;35;34;15;1;0;0;2;8;5;1;5;3;1;1;1
Prov Limbourg;QUALIFICATION PROFESSIONNELLE PARTICULIERE - DIABETOLOGIE;62;59;3;0;1;4;4;5;12;15;13;4;1;0;0;0;0;0;1;0;1;1;0;0;0
Prov Limbourg;QUALIFICATION PROFESSIONNELLE PARTICULIERE - SANTE MENTALE ET PSYCHIATRIE;201;146;55;0;0;17;22;19;17;14;23;24;10;0;0;0;0;4;9;6;5;6;14;8;3
Prov Limbourg;QUALIFICATION PROFESSIONNELLE PARTICULIERE - SOINS PALLIATIFS;59;56;3;0;0;2;3;10;9;8;13;8;2;1;0;0;0;1;2;0;0;0;0;0;0
Prov Brabant wallon;SANS AGREMENT;4497;4135;362;0;132;227;201;299;381;431;576;654;453;781;0;13;41;39;52;50;51;40;43;17;16
Prov Brabant wallon;TITRE PROFESSIONNEL PARTICULIER - SOINS INTENSIFS ET D'URGENCE;422;314;108;0;18;55;43;49;49;38;26;18;13;5;0;0;21;21;16;14;17;13;4;1;1
Prov Brabant wallon;TITRE PROFESSIONNEL PARTICULIER - GERIATRIE;47;43;4;0;1;8;3;3;7;4;4;9;4;0;0;0;0;0;1;1;2;0;0;0;0
Prov Brabant wallon;TITRE PROFESSIONNEL PARTICULIER - ONCOLOGIE;100;96;4;0;5;9;11;14;13;16;13;9;6;0;0;0;0;1;1;0;0;0;1;1;0
Prov Brabant wallon;TITRE PROFESSIONNEL PARTICULIER - PEDIATRIE ET NEONATOLOGIE;235;231;4;0;8;30;46;40;35;26;26;19;1;0;0;0;0;1;1;1;1;0;0;0;0
Prov Brabant wallon;TITRE PROFESSIONNEL PARTICULIER - SANTE MENTALE ET PSYCHIATRIE;76;62;14;0;1;5;4;13;14;7;5;10;3;0;0;0;2;5;0;1;2;3;0;1;0
Prov Brabant wallon;TITRE PROFESSIONNEL PARTICULIER - SOINS PERI-OPERATOIRES;94;85;9;0;2;5;5;22;16;14;10;8;3;0;0;0;0;3;0;3;1;2;0;0;0
Prov Brabant wallon;QUALIFICATION PROFESSIONNELLE PARTICULIERE - GERIATRIE;56;50;6;0;0;0;2;9;7;12;8;10;1;1;0;0;0;0;1;1;2;1;1;0;0
Prov Brabant wallon;QUALIFICATION PROFESSIONNELLE PARTICULIERE - DIABETOLOGIE;27;27;0;0;0;1;1;2;7;5;7;1;2;1;0;0;0;0;0;0;0;0;0;0;0
Prov Brabant wallon;QUALIFICATION PROFESSIONNELLE PARTICULIERE - SANTE MENTALE ET PSYCHIATRIE;28;25;3;0;0;1;2;0;2;6;10;2;2;0;0;0;1;0;0;0;0;0;2;0;0
Prov Brabant wallon;QUALIFICATION PROFESSIONNELLE PARTICULIERE - SOINS PALLIATIFS;34;31;3;0;0;0;1;0;2;4;9;10;5;0;0;0;0;1;0;0;0;1;1;0;0
Prov Hainaut;SANS AGREMENT;17049;15193;1856;0;476;1079;1151;1535;1753;1661;2043;1902;1459;2134;0;65;225;190;263;275;201;197;242;112;86
Prov Hainaut;TITRE PROFESSIONNEL PARTICULIER - SOINS INTENSIFS ET D'URGENCE;1294;926;368;0;49;164;122;136;133;132;103;62;21;4;0;20;60;56;71;46;40;34;35;6;0
Prov Hainaut;TITRE PROFESSIONNEL PARTICULIER - GERIATRIE;118;100;18;0;2;8;13;19;15;22;9;11;1;0;0;0;3;2;4;3;4;2;0;0;0
Prov Hainaut;TITRE PROFESSIONNEL PARTICULIER - ONCOLOGIE;222;189;33;0;10;19;27;36;27;21;24;20;4;1;0;1;7;2;4;9;3;2;4;1;0
Prov Hainaut;TITRE PROFESSIONNEL PARTICULIER - PEDIATRIE ET NEONATOLOGIE;510;498;12;0;30;103;89;83;77;54;32;18;11;1;0;0;1;6;0;2;1;2;0;0;0
Prov Hainaut;TITRE PROFESSIONNEL PARTICULIER - SANTE MENTALE ET PSYCHIATRIE;305;203;102;0;6;19;33;30;45;32;18;18;2;0;0;1;8;16;14;27;10;13;12;1;0
Prov Hainaut;TITRE PROFESSIONNEL PARTICULIER - SOINS PERI-OPERATOIRES;128;96;32;0;3;19;14;21;12;12;11;3;1;0;0;0;4;3;10;7;3;2;3;0;0
Prov Hainaut;QUALIFICATION PROFESSIONNELLE PARTICULIERE - GERIATRIE;188;172;16;0;0;6;27;21;29;28;38;19;2;2;0;0;0;1;4;3;2;3;2;1;0
Prov Hainaut;QUALIFICATION PROFESSIONNELLE PARTICULIERE - DIABETOLOGIE;95;90;5;0;0;3;2;11;17;10;16;24;6;1;0;0;0;0;3;1;0;0;0;1;0
Prov Hainaut;QUALIFICATION PROFESSIONNELLE PARTICULIERE - SANTE MENTALE ET PSYCHIATRIE;252;207;45;0;0;5;13;25;32;38;43;41;9;1;0;0;1;4;6;13;10;4;4;3;0
Prov Hainaut;QUALIFICATION PROFESSIONNELLE PARTICULIERE - SOINS PALLIATIFS;91;81;10;0;0;2;6;17;11;14;14;13;4;0;0;0;0;2;2;1;0;3;2;0;0
Prov Liège;SANS AGREMENT;13784;12225;1559;0;368;974;1065;1278;1330;1257;1362;1494;1148;1949;0;46;170;183;210;244;150;156;185;104;111
Prov Liège;TITRE PROFESSIONNEL PARTICULIER - SOINS INTENSIFS ET D'URGENCE;1193;858;335;0;62;133;142;150;142;87;77;47;16;2;0;17;48;51;64;67;40;19;23;5;1
