gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_55-59;man_30-34;man_35-39;man_40-44;man_45-49
West-Vlaanderen;Pediatrische neurologie;1;1;0;0;1;0;0;0;0;0;0;0;0
West-Vlaanderen;Nefrologie;1;1;0;0;1;0;0;0;0;0;0;0;0
West-Vlaanderen;Urgentiegeneeskunde;1;1;0;1;0;0;0;0;0;0;0;0;0
West-Vlaanderen;Oncologie;1;1;0;0;1;0;0;0;0;0;0;0;0
Oost-Vlaanderen;Alle specialiteiten;32;16;16;0;13;2;0;1;0;15;1;0;0
Oost-Vlaanderen;Functionele en professionele revalidatie van gehandicapten;5;3;2;0;1;1;0;1;0;2;0;0;0
Oost-Vlaanderen;Mond-, kaak- en aangezichtschirurgie;4;1;3;0;1;0;0;0;0;3;0;0;0
Oost-Vlaanderen;Intensieve zorgen;9;3;6;0;3;0;0;0;0;6;0;0;0
Oost-Vlaanderen;Pediatrische neurologie;2;2;0;0;2;0;0;0;0;0;0;0;0
Oost-Vlaanderen;Urgentiegeneeskunde;2;0;2;0;0;0;0;0;0;1;1;0;0
Oost-Vlaanderen;Endocrino-diabetologie;3;2;1;0;2;0;0;0;0;1;0;0;0
Oost-Vlaanderen;Neonatologie;1;1;0;0;1;0;0;0;0;0;0;0;0
Oost-Vlaanderen;Oncologie;3;3;0;0;2;1;0;0;0;0;0;0;0
Oost-Vlaanderen;Klinische hematologie;3;1;2;0;1;0;0;0;0;2;0;0;0
Antwerpen;Alle specialiteiten;39;19;20;0;17;1;1;0;0;17;2;1;0
Antwerpen;Functionele en professionele revalidatie van gehandicapten;6;1;5;0;1;0;0;0;0;4;1;0;0
Antwerpen;Mond-, kaak- en aangezichtschirurgie;4;3;1;0;3;0;0;0;0;1;0;0;0
Antwerpen;Intensieve zorgen;13;7;6;0;7;0;0;0;0;6;0;0;0
Antwerpen;Pediatrische neurologie;2;2;0;0;2;0;0;0;0;0;0;0;0
Antwerpen;Nefrologie;1;1;0;0;1;0;0;0;0;0;0;0;0
Antwerpen;Urgentiegeneeskunde;7;2;5;0;0;1;1;0;0;3;1;1;0
Antwerpen;Endocrino-diabetologie;1;0;1;0;0;0;0;0;0;1;0;0;0
Antwerpen;Neonatologie;2;2;0;0;2;0;0;0;0;0;0;0;0
Antwerpen;Oncologie;2;1;1;0;1;0;0;0;0;1;0;0;0
Antwerpen;Pediatrische hematologie en oncologie;1;0;1;0;0;0;0;0;0;1;0;0;0
Limburg;Alle specialiteiten;14;7;7;0;5;0;2;0;0;7;0;0;0
Limburg;Functionele en professionele revalidatie van gehandicapten;3;1;2;0;1;0;0;0;0;2;0;0;0
Limburg;Mond-, kaak- en aangezichtschirurgie;2;1;1;0;1;0;0;0;0;1;0;0;0
Limburg;Intensieve zorgen;4;2;2;0;2;0;0;0;0;2;0;0;0
Limburg;Urgentiegeneeskunde;4;2;2;0;1;0;1;0;0;2;0;0;0
Limburg;Oncologie;1;1;0;0;0;0;1;0;0;0;0;0;0
Waals Brabant;Alle specialiteiten;9;3;6;0;2;0;1;0;0;5;0;0;1
Waals Brabant;Mond-, kaak- en aangezichtschirurgie;2;0;2;0;0;0;0;0;0;2;0;0;0
Waals Brabant;Intensieve zorgen;1;0;1;0;0;0;0;0;0;1;0;0;0
Waals Brabant;Pediatrische neurologie;1;1;0;0;1;0;0;0;0;0;0;0;0
Waals Brabant;Nefrologie;2;0;2;0;0;0;0;0;0;2;0;0;0
Waals Brabant;Urgentiegeneeskunde;1;0;1;0;0;0;0;0;0;0;0;0;1
Waals Brabant;Pediatrische hematologie en oncologie;1;1;0;0;0;0;1;0;0;0;0;0;0
Waals Brabant;Klinische hematologie;1;1;0;0;1;0;0;0;0;0;0;0;0
Henegouwen;Alle specialiteiten;3;0;3;0;0;0;0;0;0;2;0;1;0
Henegouwen;Nefrologie;1;0;1;0;0;0;0;0;0;1;0;0;0
Henegouwen;Urgentiegeneeskunde;1;0;1;0;0;0;0;0;0;0;0;1;0
Henegouwen;Endocrino-diabetologie;1;0;1;0;0;0;0;0;0;1;0;0;0
Luik;Alle specialiteiten;17;8;9;0;5;1;2;0;0;6;1;2;0
Luik;Functionele en professionele revalidatie van gehandicapten;2;1;1;0;0;0;1;0;0;0;0;1;0
Luik;Intensieve zorgen;9;3;6;0;1;1;1;0;0;6;0;0;0
Luik;Pediatrische neurologie;1;1;0;0;1;0;0;0;0;0;0;0;0
Luik;Nefrologie;1;1;0;0;1;0;0;0;0;0;0;0;0
Luik;Urgentiegeneeskunde;2;0;2;0;0;0;0;0;0;0;1;1;0
Luik;Endocrino-diabetologie;2;2;0;0;2;0;0;0;0;0;0;0;0
Namen;Alle specialiteiten;5;4;1;0;4;0;0;0;0;1;0;0;0
Namen;Mond-, kaak- en aangezichtschirurgie;1;0;1;0;0;0;0;0;0;1;0;0;0
Namen;Pediatrische neurologie;2;2;0;0;2;0;0;0;0;0;0;0;0
Namen;Nefrologie;1;1;0;0;1;0;0;0;0;0;0;0;0
Namen;Pediatrische hematologie en oncologie;1;1;0;0;1;0;0;0;0;0;0;0;0
Luxemburg;Alle specialiteiten;2;1;1;0;1;0;0;0;0;0;1;0;0
Luxemburg;Functionele en professionele revalidatie van gehandicapten;1;0;1;0;0;0;0;0;0;0;1;0;0
Luxemburg;Intensieve zorgen;1;1;0;0;1;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;22;16;6;0;12;1;2;1;0;3;2;1;0
Brussels Hoofdstedelijk Gewest;Functionele en professionele revalidatie van gehandicapten;5;4;1;0;2;0;1;1;0;0;0;1;0
Brussels Hoofdstedelijk Gewest;Mond-, kaak- en aangezichtschirurgie;2;1;1;0;1;0;0;0;0;1;0;0;0
Brussels Hoofdstedelijk Gewest;Intensieve zorgen;7;4;3;0;3;0;1;0;0;1;2;0;0
Brussels Hoofdstedelijk Gewest;Pediatrische neurologie;2;2;0;0;2;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Nefrologie;2;1;1;0;1;0;0;0;0;1;0;0;0
Brussels Hoofdstedelijk Gewest;Endocrino-diabetologie;1;1;0;0;1;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Neonatologie;1;1;0;0;1;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Oncologie;2;2;0;0;1;1;0;0;0;0;0;0;0
