gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64
Vlaams Gewest;Orthopedische heelkunde;153;44;109;6;26;12;0;0;0;0;0;9;76;21;3;0;0;0;0;0
Vlaams Gewest;Neurologie;101;70;31;7;46;16;1;0;0;0;0;5;23;3;0;0;0;0;0;0
Vlaams Gewest;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;82;71;11;6;50;15;0;0;0;0;0;2;9;0;0;0;0;0;0;0
Vlaams Gewest;Psychiatrie, meer bepaald volwassenpsychiatrie;161;96;65;13;60;20;2;0;1;0;0;5;51;8;0;0;1;0;0;0
Vlaams Gewest;Pneumologie;29;17;12;0;7;10;0;0;0;0;0;0;7;5;0;0;0;0;0;0
Vlaams Gewest;Gastro-enterologie;49;26;23;0;13;13;0;0;0;0;0;0;10;13;0;0;0;0;0;0
Vlaams Gewest;Cardiologie;52;19;33;0;11;8;0;0;0;0;0;0;15;18;0;0;0;0;0;0
Vlaams Gewest;Inwendige geneeskunde;473;271;202;47;209;11;2;2;0;0;0;25;153;21;2;1;0;0;0;0
Vlaams Gewest;Reumatologie;13;10;3;0;1;8;1;0;0;0;0;0;1;2;0;0;0;0;0;0
Vlaams Gewest;Acute geneeskunde;24;9;15;3;4;1;1;0;0;0;0;0;12;2;1;0;0;0;0;0
Vlaams Gewest;Gynaecologie-verloskunde;200;174;26;17;133;20;3;1;0;0;0;3;21;2;0;0;0;0;0;0
Vlaams Gewest;Oftalmologie;91;55;36;7;41;6;1;0;0;0;0;7;24;3;1;0;1;0;0;0
Vlaams Gewest;Otorhinolaryngologie;80;59;21;4;46;8;0;0;1;0;0;3;17;1;0;0;0;0;0;0
Vlaams Gewest;Stomatologie;43;15;28;4;11;0;0;0;0;0;0;3;18;7;0;0;0;0;0;0
Vlaams Gewest;Dermato-venereologie;61;53;8;6;45;2;0;0;0;0;0;1;6;1;0;0;0;0;0;0
Vlaams Gewest;Pediatrie;217;186;31;24;134;26;2;0;0;0;0;5;21;5;0;0;0;0;0;0
Vlaams Gewest;Fysische geneeskunde en revalidatie;68;31;37;5;24;1;0;1;0;0;0;2;31;4;0;0;0;0;0;0
Vlaams Gewest;Klinische biologie;42;21;21;2;13;6;0;0;0;0;0;2;15;3;1;0;0;0;0;0
Vlaams Gewest;Rontgendiagnose;136;35;101;2;27;4;0;1;1;0;0;5;84;10;2;0;0;0;0;0
Vlaams Gewest;Radiotherapie - oncologie;32;16;16;0;12;4;0;0;0;0;0;2;9;4;0;1;0;0;0;0
Vlaams Gewest;Nucleaire geneeskunde;19;8;11;0;7;1;0;0;0;0;0;0;7;3;0;1;0;0;0;0
Vlaams Gewest;Pathologische anatomie;39;24;15;1;19;4;0;0;0;0;0;1;13;1;0;0;0;0;0;0
Vlaams Gewest;Medische oncologie;31;20;11;0;10;10;0;0;0;0;0;0;3;7;1;0;0;0;0;0
Vlaams Gewest;Klinische genetica;11;7;4;1;5;0;1;0;0;0;0;2;1;1;0;0;0;0;0;0
Vlaams Gewest;Arbeidsgeneeskunde;27;23;4;0;5;7;2;2;5;2;0;0;1;2;1;0;0;0;0;0
Waals Gewest;Alle specialiteiten;1735;984;751;100;711;148;13;4;6;1;1;69;529;128;11;3;6;3;1;1
Waals Gewest;Geriatrie;52;39;13;5;23;10;0;0;1;0;0;1;7;5;0;0;0;0;0;0
Waals Gewest;Urgentiegeneeskunde;174;92;82;9;62;18;1;0;1;1;0;1;56;17;3;0;3;2;0;0
Waals Gewest;Gerechtelijke geneeskunde;4;1;3;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
Waals Gewest;Anesthesie-reanimatie;200;80;120;9;61;8;1;1;0;0;0;10;80;25;4;0;1;0;0;0
Waals Gewest;Heelkunde;116;62;54;5;44;13;0;0;0;0;0;5;40;8;1;0;0;0;0;0
Waals Gewest;Neurochirurgie;18;8;10;0;6;2;0;0;0;0;0;1;5;4;0;0;0;0;0;0
Waals Gewest;Plastische, reconstructieve en esthetische heelkunde;13;7;6;1;3;3;0;0;0;0;0;1;4;1;0;0;0;0;0;0
Waals Gewest;Urologie;29;15;14;1;7;6;1;0;0;0;0;0;10;4;0;0;0;0;0;0
Waals Gewest;Orthopedische heelkunde;80;28;52;1;19;8;0;0;0;0;0;1;41;9;0;0;1;0;0;0
Waals Gewest;Neurologie;44;25;19;3;20;2;0;0;0;0;0;3;10;6;0;0;0;0;0;0
Waals Gewest;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;34;27;7;5;20;2;0;0;0;0;0;0;4;3;0;0;0;0;0;0
Waals Gewest;Psychiatrie, meer bepaald volwassenpsychiatrie;56;33;23;3;22;5;2;1;0;0;0;0;22;1;0;0;0;0;0;0
Waals Gewest;Pneumologie;32;16;16;0;10;6;0;0;0;0;0;2;8;6;0;0;0;0;0;0
Waals Gewest;Gastro-enterologie;31;22;9;2;13;5;1;1;0;0;0;0;5;4;0;0;0;0;0;0
Waals Gewest;Cardiologie;49;21;28;0;12;9;0;0;0;0;0;2;17;9;0;0;0;0;0;0
Waals Gewest;Inwendige geneeskunde;213;113;100;13;90;10;0;0;0;0;0;23;72;4;1;0;0;0;0;0
Waals Gewest;Reumatologie;16;11;5;0;9;2;0;0;0;0;0;1;3;1;0;0;0;0;0;0
Waals Gewest;Acute geneeskunde;5;2;3;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
Waals Gewest;Gynaecologie-verloskunde;92;80;12;12;64;4;0;0;0;0;0;2;9;1;0;0;0;0;0;0
Waals Gewest;Oftalmologie;38;23;15;2;19;1;1;0;0;0;0;2;13;0;0;0;0;0;0;0
Waals Gewest;Otorhinolaryngologie;34;20;14;0;19;1;0;0;0;0;0;2;11;1;0;0;0;0;0;0
Waals Gewest;Stomatologie;15;6;9;1;5;0;0;0;0;0;0;1;7;1;0;0;0;0;0;0
Waals Gewest;Dermato-venereologie;27;20;7;5;15;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0
Waals Gewest;Pediatrie;140;114;26;12;90;11;1;0;0;0;0;4;22;0;0;0;0;0;0;0
Waals Gewest;Fysische geneeskunde en revalidatie;34;20;14;3;15;2;0;0;0;0;0;0;11;3;0;0;0;0;0;0
Waals Gewest;Klinische biologie;19;7;12;1;5;0;0;1;0;0;0;0;9;2;0;1;0;0;0;0
Waals Gewest;Rontgendiagnose;66;27;39;4;20;3;0;0;0;0;0;3;33;3;0;0;0;0;0;0
Waals Gewest;Radiotherapie - oncologie;12;8;4;0;8;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0
Waals Gewest;Nucleaire geneeskunde;16;8;8;1;3;4;0;0;0;0;0;1;4;3;0;0;0;0;0;0
Waals Gewest;Pathologische anatomie;18;11;7;1;9;1;0;0;0;0;0;1;4;0;1;1;0;0;0;0
Waals Gewest;Medische oncologie;26;17;9;1;8;8;0;0;0;0;0;1;6;2;0;0;0;0;0;0
Waals Gewest;Arbeidsgeneeskunde;32;21;11;0;7;4;5;0;4;0;1;0;1;4;1;1;1;1;1;1
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;1270;717;553;29;490;168;19;7;2;2;0;23;353;157;13;5;2;0;0;0
Brussels Hoofdstedelijk Gewest;Geriatrie;23;20;3;2;9;7;2;0;0;0;0;0;3;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Urgentiegeneeskunde;115;60;55;1;33;18;7;1;0;0;0;1;26;19;5;2;2;0;0;0
Brussels Hoofdstedelijk Gewest;Gerechtelijke geneeskunde;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Anesthesie-reanimatie;129;58;71;2;36;18;2;0;0;0;0;2;44;25;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Heelkunde;71;33;38;1;27;5;0;0;0;0;0;2;21;13;2;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Neurochirurgie;14;4;10;0;3;1;0;0;0;0;0;1;7;2;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Plastische, reconstructieve en esthetische heelkunde;10;6;4;0;4;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Urologie;23;8;15;0;6;2;0;0;0;0;0;0;8;7;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Orthopedische heelkunde;57;14;43;1;7;6;0;0;0;0;0;2;26;13;1;1;0;0;0;0
Brussels Hoofdstedelijk Gewest;Neurologie;35;23;12;4;15;4;0;0;0;0;0;2;9;1;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;33;28;5;0;15;11;1;1;0;0;0;1;2;2;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Psychiatrie, meer bepaald volwassenpsychiatrie;70;40;30;1;24;10;2;1;0;2;0;1;21;7;1;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Pneumologie;16;10;6;0;5;5;0;0;0;0;0;0;4;2;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Gastro-enterologie;18;10;8;0;4;6;0;0;0;0;0;0;5;3;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Cardiologie;28;12;16;0;3;9;0;0;0;0;0;0;4;11;1;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Inwendige geneeskunde;186;93;93;4;78;10;0;1;0;0;0;7;67;17;1;1;0;0;0;0
Brussels Hoofdstedelijk Gewest;Reumatologie;2;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Gynaecologie-verloskunde;61;56;5;1;43;12;0;0;0;0;0;1;4;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Oftalmologie;37;20;17;1;15;3;0;1;0;0;0;1;13;2;1;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Otorhinolaryngologie;25;11;14;0;7;4;0;0;0;0;0;0;9;5;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Stomatologie;18;6;12;0;6;0;0;0;0;0;0;0;8;4;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Dermato-venereologie;24;20;4;1;17;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Pediatrie;120;101;19;7;78;16;0;0;0;0;0;0;13;6;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Fysische geneeskunde en revalidatie;19;12;7;1;6;3;1;0;1;0;0;0;4;3;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Klinische biologie;12;4;8;0;3;0;1;0;0;0;0;0;5;3;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Rontgendiagnose;76;38;38;1;28;8;1;0;0;0;0;2;32;4;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Radiotherapie - oncologie;8;1;7;0;0;1;0;0;0;0;0;0;5;2;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Nucleaire geneeskunde;6;1;5;0;1;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Pathologische anatomie;12;10;2;1;9;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Medische oncologie;8;5;3;0;3;2;0;0;0;0;0;0;1;2;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Klinische genetica;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Arbeidsgeneeskunde;12;9;3;0;2;2;2;2;1;0;0;0;1;0;1;1;0;0;0;0
Vlaams Brabant;Alle specialiteiten;952;543;409;54;367;106;6;5;4;1;0;35;280;87;6;1;0;0;0;0
Vlaams Brabant;Geriatrie;13;11;2;1;6;4;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Vlaams Brabant;Urgentiegeneeskunde;49;26;23;3;18;5;0;0;0;0;0;1;13;9;0;0;0;0;0;0
Vlaams Brabant;Gerechtelijke geneeskunde;3;1;2;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Vlaams Brabant;Anesthesie-reanimatie;108;44;64;7;32;4;1;0;0;0;0;3;46;12;2;1;0;0;0;0
Vlaams Brabant;Heelkunde;51;26;25;2;17;7;0;0;0;0;0;4;19;2;0;0;0;0;0;0
Vlaams Brabant;Neurochirurgie;13;3;10;0;3;0;0;0;0;0;0;2;4;4;0;0;0;0;0;0
Vlaams Brabant;Plastische, reconstructieve en esthetische heelkunde;10;6;4;1;3;2;0;0;0;0;0;0;1;3;0;0;0;0;0;0
Vlaams Brabant;Urologie;18;12;6;3;8;1;0;0;0;0;0;2;4;0;0;0;0;0;0;0
Vlaams Brabant;Orthopedische heelkunde;40;8;32;0;5;3;0;0;0;0;0;3;21;6;2;0;0;0;0;0
Vlaams Brabant;Neurologie;29;19;10;2;10;7;0;0;0;0;0;4;5;1;0;0;0;0;0;0
Vlaams Brabant;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;28;22;6;3;14;5;0;0;0;0;0;1;5;0;0;0;0;0;0;0
Vlaams Brabant;Psychiatrie, meer bepaald volwassenpsychiatrie;56;34;22;4;20;8;2;0;0;0;0;2;18;2;0;0;0;0;0;0
Vlaams Brabant;Pneumologie;15;8;7;0;3;5;0;0;0;0;0;0;4;3;0;0;0;0;0;0
Vlaams Brabant;Gastro-enterologie;10;6;4;0;1;5;0;0;0;0;0;0;1;3;0;0;0;0;0;0
Vlaams Brabant;Cardiologie;16;8;8;0;5;3;0;0;0;0;0;0;3;5;0;0;0;0;0;0
Vlaams Brabant;Inwendige geneeskunde;131;71;60;6;59;4;0;2;0;0;0;4;44;11;1;0;0;0;0;0
Vlaams Brabant;Reumatologie;4;3;1;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Vlaams Brabant;Acute geneeskunde;7;3;4;0;2;0;1;0;0;0;0;0;3;1;0;0;0;0;0;0
Vlaams Brabant;Gynaecologie-verloskunde;54;43;11;5;28;9;0;1;0;0;0;0;10;1;0;0;0;0;0;0
Vlaams Brabant;Oftalmologie;33;18;15;2;14;2;0;0;0;0;0;3;9;2;1;0;0;0;0;0
Vlaams Brabant;Otorhinolaryngologie;21;17;4;3;12;1;0;0;1;0;0;1;3;0;0;0;0;0;0;0
Vlaams Brabant;Stomatologie;15;5;10;1;4;0;0;0;0;0;0;0;7;3;0;0;0;0;0;0
Vlaams Brabant;Dermato-venereologie;24;22;2;3;18;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Vlaams Brabant;Pediatrie;67;62;5;5;46;9;2;0;0;0;0;1;3;1;0;0;0;0;0;0
Vlaams Brabant;Fysische geneeskunde en revalidatie;22;12;10;2;9;1;0;0;0;0;0;0;7;3;0;0;0;0;0;0
Vlaams Brabant;Klinische biologie;9;6;3;0;3;3;0;0;0;0;0;0;2;1;0;0;0;0;0;0
Vlaams Brabant;Rontgendiagnose;46;12;34;1;9;2;0;0;0;0;0;3;27;4;0;0;0;0;0;0
Vlaams Brabant;Radiotherapie - oncologie;12;7;5;0;5;2;0;0;0;0;0;0;2;3;0;0;0;0;0;0
Vlaams Brabant;Nucleaire geneeskunde;8;4;4;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
Vlaams Brabant;Pathologische anatomie;11;4;7;0;3;1;0;0;0;0;0;1;6;0;0;0;0;0;0;0
Vlaams Brabant;Medische oncologie;17;10;7;0;3;7;0;0;0;0;0;0;2;5;0;0;0;0;0;0
Vlaams Brabant;Klinische genetica;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vlaams Brabant;Arbeidsgeneeskunde;11;9;2;0;0;3;0;2;3;1;0;0;1;1;0;0;0;0;0;0
West-Vlaanderen;Alle specialiteiten;366;202;164;35;151;14;1;0;1;0;0;24;125;14;1;0;0;0;0;0
West-Vlaanderen;Geriatrie;2;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
West-Vlaanderen;Urgentiegeneeskunde;21;14;7;1;12;1;0;0;0;0;0;1;5;0;1;0;0;0;0;0
West-Vlaanderen;Anesthesie-reanimatie;27;11;16;3;7;1;0;0;0;0;0;4;11;1;0;0;0;0;0;0
West-Vlaanderen;Heelkunde;25;8;17;4;4;0;0;0;0;0;0;3;12;2;0;0;0;0;0;0
West-Vlaanderen;Neurochirurgie;3;1;2;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
West-Vlaanderen;Plastische, reconstructieve en esthetische heelkunde;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
West-Vlaanderen;Urologie;19;9;10;1;6;2;0;0;0;0;0;2;6;2;0;0;0;0;0;0
West-Vlaanderen;Orthopedische heelkunde;25;6;19;2;3;1;0;0;0;0;0;1;16;2;0;0;0;0;0;0
West-Vlaanderen;Neurologie;6;5;1;2;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
West-Vlaanderen;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;8;8;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
West-Vlaanderen;Psychiatrie, meer bepaald volwassenpsychiatrie;20;10;10;1;7;1;0;0;1;0;0;1;9;0;0;0;0;0;0;0
West-Vlaanderen;Pneumologie;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
West-Vlaanderen;Gastro-enterologie;5;4;1;0;1;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0
West-Vlaanderen;Cardiologie;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
West-Vlaanderen;Inwendige geneeskunde;64;36;28;9;27;0;0;0;0;0;0;7;21;0;0;0;0;0;0;0
West-Vlaanderen;Reumatologie;2;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
West-Vlaanderen;Acute geneeskunde;4;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
West-Vlaanderen;Gynaecologie-verloskunde;30;25;5;2;22;1;0;0;0;0;0;1;4;0;0;0;0;0;0;0
West-Vlaanderen;Oftalmologie;9;6;3;2;4;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
West-Vlaanderen;Otorhinolaryngologie;12;8;4;0;8;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
West-Vlaanderen;Stomatologie;6;0;6;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0
West-Vlaanderen;Dermato-venereologie;4;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
West-Vlaanderen;Pediatrie;18;17;1;4;12;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
West-Vlaanderen;Fysische geneeskunde en revalidatie;12;8;4;2;6;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
West-Vlaanderen;Klinische biologie;4;1;3;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
West-Vlaanderen;Rontgendiagnose;23;7;16;0;7;0;0;0;0;0;0;0;15;1;0;0;0;0;0;0
West-Vlaanderen;Radiotherapie - oncologie;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
West-Vlaanderen;Pathologische anatomie;7;5;2;0;5;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
West-Vlaanderen;Medische oncologie;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
West-Vlaanderen;Klinische genetica;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
West-Vlaanderen;Arbeidsgeneeskunde;2;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Oost-Vlaanderen;Alle specialiteiten;817;469;348;54;320;80;10;2;3;0;0;38;230;67;11;2;0;0;0;0
Oost-Vlaanderen;Geriatrie;15;12;3;0;7;5;0;0;0;0;0;0;1;2;0;0;0;0;0;0
Oost-Vlaanderen;Urgentiegeneeskunde;65;36;29;3;21;10;1;1;0;0;0;2;15;9;3;0;0;0;0;0
Oost-Vlaanderen;Gerechtelijke geneeskunde;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oost-Vlaanderen;Anesthesie-reanimatie;80;38;42;4;29;3;2;0;0;0;0;6;26;8;2;0;0;0;0;0
Oost-Vlaanderen;Heelkunde;43;22;21;1;11;8;1;0;1;0;0;3;14;4;0;0;0;0;0;0
Oost-Vlaanderen;Neurochirurgie;12;4;8;1;2;1;0;0;0;0;0;2;4;2;0;0;0;0;0;0
Oost-Vlaanderen;Plastische, reconstructieve en esthetische heelkunde;13;4;9;0;4;0;0;0;0;0;0;1;4;3;1;0;0;0;0;0
Oost-Vlaanderen;Urologie;25;8;17;0;7;1;0;0;0;0;0;1;12;4;0;0;0;0;0;0
Oost-Vlaanderen;Orthopedische heelkunde;37;9;28;0;7;2;0;0;0;0;0;4;17;7;0;0;0;0;0;0
Oost-Vlaanderen;Neurologie;33;23;10;3;18;2;0;0;0;0;0;1;9;0;0;0;0;0;0;0
Oost-Vlaanderen;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;20;17;3;0;12;5;0;0;0;0;0;0;3;0;0;0;0;0;0;0
Oost-Vlaanderen;Psychiatrie, meer bepaald volwassenpsychiatrie;37;25;12;5;16;4;0;0;0;0;0;2;7;3;0;0;0;0;0;0
Oost-Vlaanderen;Pneumologie;4;0;4;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0
Oost-Vlaanderen;Gastro-enterologie;9;4;5;0;3;1;0;0;0;0;0;0;2;3;0;0;0;0;0;0
Oost-Vlaanderen;Cardiologie;12;3;9;0;1;2;0;0;0;0;0;0;5;4;0;0;0;0;0;0
Oost-Vlaanderen;Inwendige geneeskunde;130;77;53;17;53;5;2;0;0;0;0;6;43;4;0;0;0;0;0;0
Oost-Vlaanderen;Reumatologie;4;4;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Oost-Vlaanderen;Acute geneeskunde;5;3;2;1;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Oost-Vlaanderen;Gynaecologie-verloskunde;51;47;4;7;32;6;2;0;0;0;0;1;3;0;0;0;0;0;0;0
Oost-Vlaanderen;Oftalmologie;18;12;6;1;10;1;0;0;0;0;0;1;5;0;0;0;0;0;0;0
Oost-Vlaanderen;Otorhinolaryngologie;17;15;2;1;10;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0
