gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
Namen;Farmaceutisch-technisch assistent;855;768;87;80;121;121;94;84;79;62;51;44;32;15;29;19;5;6;6;4;3;0;0
Luxemburg;Farmaceutisch-technisch assistent;359;329;30;39;42;46;39;37;29;31;22;26;18;7;4;8;4;3;0;0;1;1;2
Brussels Hoofdstedelijk Gewest;Farmaceutisch-technisch assistent;1027;892;135;126;212;167;111;70;52;54;43;26;31;26;38;14;12;12;14;6;5;5;3
België;Audioloog;1238;1083;155;183;428;181;80;72;40;36;38;19;6;16;47;16;17;11;14;5;15;6;8
Vlaams Gewest;Audioloog;1049;967;82;169;400;169;75;61;30;26;21;14;2;7;30;12;9;5;6;3;4;4;2
Waals Gewest;Audioloog;131;80;51;10;14;3;3;10;8;9;15;5;3;6;9;4;4;3;6;2;10;2;5
Brussels Hoofdstedelijk Gewest;Audioloog;58;36;22;4;14;9;2;1;2;1;2;0;1;3;8;0;4;3;2;0;1;0;1
Vlaams Brabant;Audioloog;156;143;13;28;56;24;13;10;3;6;2;1;0;0;4;1;1;2;1;2;1;0;1
West-Vlaanderen;Audioloog;245;221;24;41;103;38;20;8;4;3;4;0;0;3;10;2;3;2;1;1;0;1;1
Oost-Vlaanderen;Audioloog;286;257;29;44;115;39;18;17;10;7;3;4;0;3;11;7;4;1;2;0;0;1;0
Antwerpen;Audioloog;276;263;13;46;96;50;19;21;7;8;10;6;0;1;4;2;1;0;2;0;1;2;0
Limburg;Audioloog;86;83;3;10;30;18;5;5;6;2;2;3;2;0;1;0;0;0;0;0;2;0;0
Waals Brabant;Audioloog;35;19;16;3;3;1;1;3;1;5;1;0;1;0;4;3;0;0;2;0;5;1;1
Henegouwen;Audioloog;44;31;13;3;6;2;0;3;3;3;6;3;2;2;1;0;2;1;2;0;1;1;3
Luik;Audioloog;20;12;8;4;2;0;1;2;1;1;1;0;0;2;2;0;1;1;1;0;0;0;1
Namen;Audioloog;28;16;12;0;3;0;1;1;2;0;7;2;0;2;2;1;0;1;1;1;4;0;0
Luxemburg;Audioloog;4;2;2;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0
Brussels Hoofdstedelijk Gewest;Audioloog;58;36;22;4;14;9;2;1;2;1;2;0;1;3;8;0;4;3;2;0;1;0;1
België;Logopedist;14955;14461;494;1337;2792;2188;1646;1753;1024;1148;1149;821;603;9;24;25;21;38;22;56;72;102;125
Vlaams Gewest;Logopedist;8563;8274;289;848;1694;1346;959;1059;547;615;557;409;240;3;13;8;12;24;9;26;42;68;84
Waals Gewest;Logopedist;5370;5192;178;407;829;669;595;606;418;482;519;366;301;6;7;9;8;13;12;30;24;32;37
Brussels Hoofdstedelijk Gewest;Logopedist;1022;995;27;82;269;173;92;88;59;51;73;46;62;0;4;8;1;1;1;0;6;2;4
Vlaams Brabant;Logopedist;1418;1382;36;124;266;235;156;206;81;84;98;78;54;1;5;1;1;1;3;1;9;8;6
West-Vlaanderen;Logopedist;1841;1756;85;190;345;289;206;237;125;133;113;77;41;1;1;1;1;6;2;10;17;16;30
Oost-Vlaanderen;Logopedist;2412;2336;76;263;475;375;284;293;150;151;149;123;73;1;5;3;5;10;0;9;11;18;14
Antwerpen;Logopedist;2031;1966;65;205;437;320;218;216;128;154;138;93;57;0;1;2;3;6;2;6;3;19;23
Limburg;Logopedist;861;834;27;66;171;127;95;107;63;93;59;38;15;0;1;1;2;1;2;0;2;7;11
Waals Brabant;Logopedist;777;755;22;47;105;104;83;97;73;56;71;57;62;1;1;2;1;2;4;3;2;3;3
Henegouwen;Logopedist;1481;1417;64;111;244;174;154;174;123;128;143;94;72;1;4;3;3;1;2;12;13;13;12
Luik;Logopedist;1873;1814;59;128;291;232;210;188;146;185;189;143;102;3;2;3;2;4;6;10;7;9;13
Namen;Logopedist;769;743;26;76;112;107;89;87;40;65;76;50;41;1;0;0;1;4;0;4;2;6;8
Luxemburg;Logopedist;470;463;7;45;77;52;59;60;36;48;40;22;24;0;0;1;1;2;0;1;0;1;1
Brussels Hoofdstedelijk Gewest;Logopedist;1022;995;27;82;269;173;92;88;59;51;73;46;62;0;4;8;1;1;1;0;6;2;4
België;Orthoptist;133;122;11;2;4;22;10;16;18;22;13;4;11;2;1;1;0;5;1;0;1;0;0
Vlaams Gewest;Orthoptist;98;93;5;0;2;16;8;15;13;17;11;4;7;0;0;0;0;4;1;0;0;0;0
Waals Gewest;Orthoptist;19;17;2;0;0;4;2;1;4;1;2;0;3;1;0;0;0;0;0;0;1;0;0
Brussels Hoofdstedelijk Gewest;Orthoptist;16;12;4;2;2;2;0;0;1;4;0;0;1;1;1;1;0;1;0;0;0;0;0
Vlaams Brabant;Orthoptist;14;14;0;0;0;2;0;4;1;1;2;2;2;0;0;0;0;0;0;0;0;0;0
West-Vlaanderen;Orthoptist;24;22;2;0;0;2;0;4;4;6;4;0;2;0;0;0;0;2;0;0;0;0;0
Oost-Vlaanderen;Orthoptist;34;33;1;0;1;8;6;5;4;6;1;1;1;0;0;0;0;0;1;0;0;0;0
Antwerpen;Orthoptist;20;19;1;0;1;4;1;2;3;3;4;1;0;0;0;0;0;1;0;0;0;0;0
Limburg;Orthoptist;6;5;1;0;0;0;1;0;1;1;0;0;2;0;0;0;0;1;0;0;0;0;0
Waals Brabant;Orthoptist;2;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Henegouwen;Orthoptist;5;5;0;0;0;1;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Luik;Orthoptist;7;7;0;0;0;2;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0
Namen;Orthoptist;2;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Luxemburg;Orthoptist;3;1;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0
Brussels Hoofdstedelijk Gewest;Orthoptist;16;12;4;2;2;2;0;0;1;4;0;0;1;1;1;1;0;1;0;0;0;0;0
België;Podoloog;786;549;237;93;161;90;74;61;25;21;14;6;4;44;58;41;39;20;15;10;5;5;0
Vlaams Gewest;Podoloog;532;400;132;77;132;65;49;47;12;6;5;5;2;39;39;20;13;11;6;1;0;3;0
Waals Gewest;Podoloog;163;92;71;7;17;21;13;11;5;12;4;1;1;4;10;12;22;8;6;6;3;0;0
Brussels Hoofdstedelijk Gewest;Podoloog;91;57;34;9;12;4;12;3;8;3;5;0;1;1;9;9;4;1;3;3;2;2;0
Vlaams Brabant;Podoloog;68;46;22;7;10;12;7;2;1;2;2;2;1;4;6;3;4;1;3;0;0;1;0
West-Vlaanderen;Podoloog;155;130;25;31;42;26;13;15;1;1;1;0;0;8;6;4;4;2;0;1;0;0;0
Oost-Vlaanderen;Podoloog;222;164;58;33;62;16;19;20;7;3;1;3;0;23;18;10;3;3;1;0;0;0;0
Antwerpen;Podoloog;55;39;16;4;16;7;6;3;1;0;1;0;1;3;5;1;2;3;2;0;0;0;0
Limburg;Podoloog;32;21;11;2;2;4;4;7;2;0;0;0;0;1;4;2;0;2;0;0;0;2;0
Waals Brabant;Podoloog;48;24;24;2;6;5;2;2;1;6;0;0;0;0;3;2;8;3;4;4;0;0;0
Henegouwen;Podoloog;54;30;24;4;3;10;3;6;1;0;2;0;1;2;4;3;9;1;2;0;3;0;0
Luik;Podoloog;24;16;8;0;4;1;1;1;2;4;2;1;0;0;1;3;1;2;0;1;0;0;0
Namen;Podoloog;24;15;9;0;4;4;4;1;1;1;0;0;0;1;2;1;3;2;0;0;0;0;0
Luxemburg;Podoloog;13;7;6;1;0;1;3;1;0;1;0;0;0;1;0;3;1;0;0;1;0;0;0
Brussels Hoofdstedelijk Gewest;Podoloog;91;57;34;9;12;4;12;3;8;3;5;0;1;1;9;9;4;1;3;3;2;2;0
België;Ergotherapeut;11458;10311;1147;1452;2240;1783;1512;1059;474;531;676;466;118;150;283;129;122;122;54;47;91;90;59
Vlaams Gewest;Ergotherapeut;8544;7693;851;1214;1708;1338;1019;744;366;391;500;349;64;130;216;94;84;72;29;38;70;76;42
Waals Gewest;Ergotherapeut;2341;2112;229;183;384;373;420;275;84;116;148;84;45;12;47;27;30;41;20;8;18;13;13
Brussels Hoofdstedelijk Gewest;Ergotherapeut;573;506;67;55;148;72;73;40;24;24;28;33;9;8;20;8;8;9;5;1;3;1;4
Vlaams Brabant;Ergotherapeut;951;851;100;114;198;134;118;81;52;38;61;48;7;12;31;15;8;11;2;5;5;9;2
West-Vlaanderen;Ergotherapeut;2094;1848;246;276;408;307;262;182;75;103;131;85;19;35;59;25;22;19;6;14;22;26;18
Oost-Vlaanderen;Ergotherapeut;2264;2034;230;325;459;336;265;183;83;115;137;110;21;22;47;26;29;22;10;13;23;22;16
Antwerpen;Ergotherapeut;1927;1783;144;317;381;333;208;177;79;84;116;76;12;29;41;12;14;7;6;5;13;14;3
Limburg;Ergotherapeut;1308;1177;131;182;262;228;166;121;77;51;55;30;5;32;38;16;11;13;5;1;7;5;3
Waals Brabant;Ergotherapeut;319;293;26;26;52;47;49;37;9;16;30;18;9;1;3;3;2;7;2;1;2;3;2
Henegouwen;Ergotherapeut;821;730;91;73;154;112;152;88;30;36;57;19;9;6;20;12;9;14;11;2;9;3;5
Luik;Ergotherapeut;701;621;80;45;111;122;127;86;24;37;31;23;15;3;17;10;15;12;3;4;5;6;5
Namen;Ergotherapeut;344;318;26;24;32;62;62;48;17;20;21;22;10;2;4;2;4;5;4;1;2;1;1
Luxemburg;Ergotherapeut;156;150;6;15;35;30;30;16;4;7;9;2;2;0;3;0;0;3;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Ergotherapeut;573;506;67;55;148;72;73;40;24;24;28;33;9;8;20;8;8;9;5;1;3;1;4
België;Dietist;5873;5463;410;644;1454;950;607;415;324;360;298;226;185;44;127;68;38;36;17;20;19;23;18
Vlaams Gewest;Dietist;3587;3341;246;424;931;541;343;222;177;220;206;156;121;23;93;38;26;14;8;10;6;15;13
Waals Gewest;Dietist;1852;1728;124;194;397;315;215;166;130;121;79;59;52;14;26;20;10;18;9;8;9;6;4
Brussels Hoofdstedelijk Gewest;Dietist;434;394;40;26;126;94;49;27;17;19;13;11;12;7;8;10;2;4;0;2;4;2;1
Vlaams Brabant;Dietist;718;674;44;77;189;110;68;50;37;44;44;30;25;1;16;3;9;3;1;3;1;6;1
West-Vlaanderen;Dietist;676;616;60;85;184;91;67;36;23;39;31;36;24;6;16;10;4;4;3;3;3;4;7
Oost-Vlaanderen;Dietist;779;720;59;91;184;124;74;48;46;51;43;31;28;7;28;7;5;3;2;3;1;2;1
Antwerpen;Dietist;1020;954;66;134;283;143;104;64;50;57;56;37;26;9;25;15;5;2;2;1;1;3;3
Limburg;Dietist;394;377;17;37;91;73;30;24;21;29;32;22;18;0;8;3;3;2;0;0;0;0;1
Waals Brabant;Dietist;293;282;11;35;56;42;40;25;25;22;14;12;11;0;4;3;0;1;1;1;0;1;0
Henegouwen;Dietist;636;599;37;66;149;93;82;69;47;41;25;16;11;4;7;6;2;7;2;2;2;2;3
Luik;Dietist;569;521;48;48;118;105;58;43;38;40;27;28;16;7;8;4;7;7;6;3;5;1;0
Namen;Dietist;225;211;14;25;45;50;22;19;16;14;9;3;8;1;4;3;1;2;0;2;1;0;0
Luxemburg;Dietist;129;115;14;20;29;25;13;10;4;4;4;0;6;2;3;4;0;1;0;0;1;2;1
Brussels Hoofdstedelijk Gewest;Dietist;434;394;40;26;126;94;49;27;17;19;13;11;12;7;8;10;2;4;0;2;4;2;1
België;Audicien;1794;1436;358;182;446;276;196;129;58;59;39;27;24;16;44;29;30;35;24;17;40;33;90
Vlaams Gewest;Audicien;1452;1260;192;168;413;257;181;106;42;39;23;16;15;7;27;17;16;14;9;9;14;22;57
Waals Gewest;Audicien;248;124;124;10;17;9;11;20;12;17;13;7;8;6;9;8;8;13;11;8;22;7;32
Brussels Hoofdstedelijk Gewest;Audicien;94;52;42;4;16;10;4;3;4;3;3;4;1;3;8;4;6;8;4;0;4;4;1
Vlaams Brabant;Audicien;224;187;37;28;63;32;30;15;4;5;5;1;4;0;5;1;2;4;1;3;4;4;13
West-Vlaanderen;Audicien;334;289;45;41;106;56;43;14;6;11;7;2;3;3;7;3;4;3;2;1;3;4;15
Oost-Vlaanderen;Audicien;408;343;65;45;111;67;49;28;14;10;7;9;3;3;10;9;7;5;3;3;3;8;14
Antwerpen;Audicien;359;329;30;44;99;75;46;36;13;7;3;1;5;1;4;4;3;0;2;1;0;5;10
Limburg;Audicien;127;112;15;10;34;27;13;13;5;6;1;3;0;0;1;0;0;2;1;1;4;1;5
Waals Brabant;Audicien;59;29;30;3;3;1;2;6;1;6;5;1;1;0;4;4;1;2;3;0;9;2;5
Henegouwen;Audicien;65;32;33;3;7;3;2;6;4;3;2;1;1;2;1;2;2;4;2;1;7;2;10
Luik;Audicien;68;36;32;4;4;2;6;6;3;4;3;0;4;2;2;1;3;3;4;2;1;2;12
Namen;Audicien;43;21;22;0;3;2;1;0;2;4;3;5;1;2;2;1;1;3;2;2;5;1;3
Luxemburg;Audicien;13;6;7;0;0;1;0;2;2;0;0;0;1;0;0;0;1;1;0;3;0;0;2
Brussels Hoofdstedelijk Gewest;Audicien;94;52;42;4;16;10;4;3;4;3;3;4;1;3;8;4;6;8;4;0;4;4;1
België;Medisch laboratoriumtechnoloog;11529;8837;2692;660;1350;1118;1063;780;755;1025;915;916;255;229;548;404;286;225;178;205;260;267;90
Vlaams Gewest;Medisch laboratoriumtechnoloog;6385;5170;1215;461;771;566;588;463;476;644;569;509;123;142;260;152;124;76;68;76;120;150;47
Waals Gewest;Medisch laboratoriumtechnoloog;4322;3088;1234;168;472;458;397;271;236;335;300;352;99;72;250;207;124;123;86;108;127;103;34
Brussels Hoofdstedelijk Gewest;Medisch laboratoriumtechnoloog;822;579;243;31;107;94;78;46;43;46;46;55;33;15;38;45;38;26;24;21;13;14;9
Vlaams Brabant;Medisch laboratoriumtechnoloog;1455;1114;341;70;149;100;128;104;106;144;144;135;34;23;67;32;33;23;24;20;49;53;17
West-Vlaanderen;Medisch laboratoriumtechnoloog;1083;876;207;99;143;109;85;68;77;101;95;82;17;34;48;33;12;7;16;20;14;17;6
Oost-Vlaanderen;Medisch laboratoriumtechnoloog;1398;1161;237;100;145;144;126;110;121;152;105;122;36;27;44;32;28;18;9;12;25;28;14
Antwerpen;Medisch laboratoriumtechnoloog;1668;1367;301;131;209;135;160;123;119;181;159;125;25;36;52;35;43;24;16;18;25;43;9
Limburg;Medisch laboratoriumtechnoloog;781;652;129;61;125;78;89;58;53;66;66;45;11;22;49;20;8;4;3;6;7;9;1
Waals Brabant;Medisch laboratoriumtechnoloog;496;362;134;10;46;50;44;26;46;42;38;50;10;3;24;23;14;12;12;15;13;12;6
Henegouwen;Medisch laboratoriumtechnoloog;1662;1178;484;75;176;179;155;105;83;126;118;130;31;37;100;90;44;44;32;44;39;41;13
Luik;Medisch laboratoriumtechnoloog;1288;939;349;56;165;137;125;77;57;98;80;103;41;23;75;57;43;36;16;21;39;26;13
Namen;Medisch laboratoriumtechnoloog;686;465;221;18;67;73;62;49;35;51;42;54;14;8;40;31;22;29;21;19;30;19;2
Luxemburg;Medisch laboratoriumtechnoloog;190;144;46;9;18;19;11;14;15;18;22;15;3;1;11;6;1;2;5;9;6;5;0
Brussels Hoofdstedelijk Gewest;Medisch laboratoriumtechnoloog;822;579;243;31;107;94;78;46;43;46;46;55;33;15;38;45;38;26;24;21;13;14;9
België;Technoloog medische beeldvorming;2687;1606;1081;136;355;281;177;70;95;160;166;117;49;63;214;173;112;83;52;99;113;114;58
Vlaams Gewest;Technoloog medische beeldvorming;1059;710;349;80;197;158;96;32;39;39;39;18;12;31;74;62;45;24;13;29;30;28;13
Waals Gewest;Technoloog medische beeldvorming;1296;726;570;47;106;88;64;34;45;111;114;86;31;26;106;78;50;47;33;58;66;71;35
Brussels Hoofdstedelijk Gewest;Technoloog medische beeldvorming;332;170;162;9;52;35;17;4;11;10;13;13;6;6;34;33;17;12;6;12;17;15;10
Vlaams Brabant;Technoloog medische beeldvorming;327;186;141;16;40;50;28;7;13;13;14;2;3;9;22;20;10;12;3;15;21;21;8
West-Vlaanderen;Technoloog medische beeldvorming;132;94;38;15;29;18;10;3;6;3;6;4;0;5;6;12;4;2;1;4;1;3;0
Oost-Vlaanderen;Technoloog medische beeldvorming;273;183;90;21;55;41;30;7;10;10;3;4;2;12;23;16;17;9;4;4;3;2;0
Antwerpen;Technoloog medische beeldvorming;207;157;50;22;37;35;14;10;7;10;10;6;6;3;11;11;6;1;3;5;5;1;4
Limburg;Technoloog medische beeldvorming;120;90;30;6;36;14;14;5;3;3;6;2;1;2;12;3;8;0;2;1;0;1;1
Waals Brabant;Technoloog medische beeldvorming;154;93;61;4;7;11;14;4;8;12;16;12;5;3;7;7;8;7;5;7;4;8;5
Henegouwen;Technoloog medische beeldvorming;455;212;243;15;39;25;24;8;13;31;24;25;8;17;57;35;20;12;10;20;25;33;14
Luik;Technoloog medische beeldvorming;388;263;125;21;33;30;12;13;16;45;50;33;10;3;24;23;8;10;8;12;14;15;8
Namen;Technoloog medische beeldvorming;245;134;111;7;22;17;12;7;8;20;22;14;5;3;14;12;12;15;5;16;18;10;6
Luxemburg;Technoloog medische beeldvorming;54;24;30;0;5;5;2;2;0;3;2;2;3;0;4;1;2;3;5;3;5;5;2
Brussels Hoofdstedelijk Gewest;Technoloog medische beeldvorming;332;170;162;9;52;35;17;4;11;10;13;13;6;6;34;33;17;12;6;12;17;15;10
