gebied;specialiteit;totaal;totaal_vrouwen;totaal_mannen;vrouwen_min20;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_min20;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
Gewest Vlaanderen;BIJZONDERE BEROEPSTITEL - PERI-OPERATIEVE ZORGEN;1326;1056;270;0;12;69;147;182;172;183;170;96;23;2;0;0;13;23;41;45;29;61;47;11;0
Gewest Vlaanderen;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;2625;2407;218;0;4;49;177;284;358;378;483;465;183;26;0;0;6;19;30;36;31;43;29;22;2
Gewest Vlaanderen;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;524;467;57;0;7;34;37;57;70;71;96;70;21;4;0;1;2;5;9;2;8;13;14;3;0
Gewest Vlaanderen;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;1475;1146;329;0;0;57;126;146;126;145;202;211;123;10;0;0;7;29;34;34;37;67;57;54;10
Gewest Vlaanderen;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;545;482;63;0;2;13;22;43;58;67;100;115;56;6;0;1;1;6;8;3;11;13;14;6;0
Gewest Wallonië;GEEN ERKENNING;46539;41601;4938;0;1423;3049;3191;3878;4345;4276;4967;5319;4185;6968;0;183;548;577;643;753;523;488;577;353;293
Gewest Wallonië;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;4082;2953;1129;0;171;525;429;448;437;354;296;180;91;22;0;43;207;170;186;176;140;97;70;34;6
Gewest Wallonië;BIJZONDERE BEROEPSTITEL - GERIATRIE;467;409;58;0;13;46;57;66;60;53;45;46;20;3;0;0;4;4;12;15;12;5;6;0;0
Gewest Wallonië;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;837;748;89;0;42;100;100;110;109;98;77;76;33;3;0;1;6;17;9;17;13;12;7;6;1
Gewest Wallonië;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;1696;1644;52;0;86;324;305;269;231;159;132;92;37;9;0;0;5;17;9;10;7;1;3;0;0
Gewest Wallonië;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;802;560;242;0;11;56;59;95;113;86;58;55;24;3;0;1;16;32;39;51;38;27;25;12;1
Gewest Wallonië;BIJZONDERE BEROEPSTITEL - PERI-OPERATIEVE ZORGEN;690;584;106;0;31;99;89;98;88;74;59;36;9;1;0;2;20;15;23;24;10;6;5;1;0
Gewest Wallonië;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;744;662;82;0;0;22;85;103;121;106;107;77;32;9;0;0;3;9;17;15;15;11;7;3;2
Gewest Wallonië;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;298;277;21;0;2;11;19;40;44;44;51;42;18;6;0;0;2;2;9;1;3;1;2;1;0
Gewest Wallonië;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;669;542;127;0;0;15;35;63;86;85;113;96;45;4;0;0;2;14;16;25;30;14;20;6;0
Gewest Wallonië;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;366;334;32;0;0;20;24;36;39;61;58;66;28;2;0;0;3;5;1;5;4;6;6;2;0
Gewest Brussels hoofdstedelijk gewest;GEEN ERKENNING;8150;7040;1110;0;301;792;687;589;655;584;702;766;592;1372;0;56;175;197;180;134;110;92;83;49;34
Gewest Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;516;356;160;0;24;105;67;47;30;28;24;15;10;6;0;11;52;25;20;22;9;7;9;3;2
Gewest Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - GERIATRIE;98;79;19;0;3;7;12;15;7;9;11;11;2;2;0;0;1;2;5;1;4;0;4;2;0
Gewest Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;196;174;22;0;2;37;23;22;18;20;17;22;11;2;0;1;0;5;6;2;1;3;2;1;1
Gewest Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;376;362;14;0;35;81;59;61;30;31;28;23;13;1;0;0;2;5;1;4;1;1;0;0;0
Gewest Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;153;110;43;0;5;16;16;17;13;10;16;12;5;0;0;1;8;6;6;6;7;5;3;1;0
Gewest Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSTITEL - PERI-OPERATIEVE ZORGEN;127;96;31;0;3;12;13;13;14;12;13;10;6;0;0;1;2;6;14;2;2;1;2;1;0
Gewest Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;142;118;24;0;1;4;11;18;10;30;16;21;5;2;0;0;0;4;7;5;5;2;0;1;0
Gewest Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;48;39;9;0;0;1;3;9;6;8;5;5;1;1;0;0;1;2;1;1;0;3;0;1;0
Gewest Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;64;52;12;0;1;1;5;5;6;9;7;12;5;1;0;0;1;0;1;3;2;3;2;0;0
Gewest Brussels hoofdstedelijk gewest;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;41;34;7;0;0;0;2;3;3;3;6;13;3;1;0;0;1;0;0;1;1;2;1;1;0
Prov Vlaams Brabant;GEEN ERKENNING;16880;14649;2231;0;566;1024;949;1180;1378;1516;2002;2155;1551;2328;0;77;202;170;182;207;211;259;368;266;289
Prov Vlaams Brabant;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;1270;861;409;0;35;133;121;123;100;112;92;86;46;13;0;12;42;32;56;44;41;52;73;42;15
Prov Vlaams Brabant;BIJZONDERE BEROEPSTITEL - GERIATRIE;280;225;55;0;3;14;12;24;39;31;45;40;13;4;0;1;1;2;3;7;9;10;18;4;0
Prov Vlaams Brabant;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;384;337;47;0;17;34;26;47;50;57;45;43;15;3;0;1;1;1;6;6;4;11;9;7;1
Prov Vlaams Brabant;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;579;551;28;0;29;78;74;68;71;56;80;60;33;2;0;2;2;2;2;0;3;7;8;2;0
Prov Vlaams Brabant;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;278;187;91;0;2;10;14;19;33;27;26;33;18;5;0;1;1;4;4;14;11;14;22;19;1
Prov Vlaams Brabant;BIJZONDERE BEROEPSTITEL - PERI-OPERATIEVE ZORGEN;236;198;38;0;2;11;32;32;41;32;31;11;6;0;0;0;5;4;5;4;4;7;7;2;0
Prov Vlaams Brabant;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;263;236;27;0;0;6;8;24;27;45;54;50;19;3;0;0;1;0;1;5;5;7;5;3;0
Prov Vlaams Brabant;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;106;94;12;0;1;7;13;7;20;13;14;11;7;1;0;1;1;2;0;1;0;2;5;0;0
Prov Vlaams Brabant;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;149;111;38;0;0;5;8;9;13;10;24;25;15;2;0;0;1;3;1;1;2;6;9;15;0
Prov Vlaams Brabant;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;73;67;6;0;0;0;2;4;9;13;16;17;6;0;0;0;0;0;0;0;0;4;1;1;0
Prov West-Vlaanderen;GEEN ERKENNING;22550;19954;2596;0;1046;1910;1696;1860;1912;1792;2193;2390;1963;3192;0;154;290;197;255;259;235;280;329;269;328
Prov West-Vlaanderen;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;1331;893;438;0;47;140;131;145;137;115;72;49;40;17;0;17;57;50;60;47;44;50;57;38;18
Prov West-Vlaanderen;BIJZONDERE BEROEPSTITEL - GERIATRIE;345;272;73;0;3;12;31;44;50;42;40;32;15;3;0;0;3;4;7;9;14;15;13;7;1
Prov West-Vlaanderen;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;388;343;45;0;9;22;31;51;62;69;59;25;13;2;0;1;2;3;6;12;7;6;5;3;0
Prov West-Vlaanderen;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;521;507;14;0;28;87;71;64;59;60;67;52;19;0;0;0;1;4;1;0;3;3;2;0;0
Prov West-Vlaanderen;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;410;257;153;0;0;21;28;32;43;51;36;29;16;1;0;0;2;10;13;24;32;16;30;25;1
Prov West-Vlaanderen;BIJZONDERE BEROEPSTITEL - PERI-OPERATIEVE ZORGEN;267;193;74;0;3;13;31;38;27;37;28;13;3;0;0;0;3;8;16;14;5;12;14;2;0
Prov West-Vlaanderen;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;862;791;71;0;3;14;60;98;128;118;169;142;52;7;0;0;2;4;10;14;11;17;7;5;1
Prov West-Vlaanderen;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;111;96;15;0;0;7;10;14;11;14;17;18;5;0;0;0;0;2;4;0;1;3;5;0;0
Prov West-Vlaanderen;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;583;483;100;0;0;20;47;73;59;60;73;85;61;5;0;0;2;10;16;12;16;20;14;9;1
Prov West-Vlaanderen;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;89;81;8;0;0;0;1;7;11;12;14;20;15;1;0;0;0;0;0;0;4;1;1;2;0
Prov Oost-Vlaanderen;GEEN ERKENNING;24472;21413;3059;0;979;1768;1596;1825;2142;2232;2636;2680;2011;3544;0;143;308;251;282;317;307;377;446;323;305
Prov Oost-Vlaanderen;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;1563;1080;483;0;65;171;146;156;163;152;89;75;43;20;0;15;56;67;69;58;63;61;46;36;12
Prov Oost-Vlaanderen;BIJZONDERE BEROEPSTITEL - GERIATRIE;429;347;82;0;7;14;24;47;62;60;63;49;16;5;0;0;2;1;12;13;16;15;15;7;1
Prov Oost-Vlaanderen;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;542;486;56;0;16;44;59;76;75;71;63;50;28;4;0;2;2;3;10;10;7;6;6;9;1
Prov Oost-Vlaanderen;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;646;626;20;0;40;85;77;100;85;98;61;44;34;2;0;0;7;1;2;1;1;3;2;3;0
Prov Oost-Vlaanderen;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;416;277;139;0;5;16;29;50;52;51;31;31;10;2;0;0;2;10;24;24;28;20;17;14;0
Prov Oost-Vlaanderen;BIJZONDERE BEROEPSTITEL - PERI-OPERATIEVE ZORGEN;366;296;70;0;2;17;33;53;47;59;51;27;6;1;0;0;0;6;12;15;12;11;11;3;0
Prov Oost-Vlaanderen;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;713;662;51;0;0;17;51;85;99;102;132;127;41;8;0;0;2;6;9;9;5;10;7;3;0
Prov Oost-Vlaanderen;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;117;104;13;0;3;7;5;13;17;15;25;13;4;2;0;0;0;0;3;1;3;4;1;1;0
Prov Oost-Vlaanderen;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;309;221;88;0;0;7;30;32;22;30;45;39;15;1;0;0;1;7;6;10;6;22;20;14;2
Prov Oost-Vlaanderen;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;150;130;20;0;0;4;6;12;15;17;25;30;19;2;0;1;1;1;1;3;3;5;5;0;0
Prov Antwerpen;GEEN ERKENNING;24791;21742;3049;0;1016;1773;1449;1874;2035;2237;2900;2946;1974;3538;0;128;276;246;258;288;317;386;467;319;364
Prov Antwerpen;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;1631;1105;526;0;68;203;185;177;153;121;93;69;30;6;0;18;47;62;84;83;68;65;53;36;10
Prov Antwerpen;BIJZONDERE BEROEPSTITEL - GERIATRIE;430;349;81;0;4;25;32;26;51;62;72;46;26;5;0;0;4;7;5;10;11;19;17;6;2
Prov Antwerpen;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;467;408;59;0;19;33;41;49;53;58;69;58;24;4;0;0;3;4;4;10;6;11;13;7;1
Prov Antwerpen;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;665;638;27;0;35;114;75;86;102;81;71;53;20;1;0;0;2;6;7;1;3;6;2;0;0
Prov Antwerpen;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;378;273;105;0;5;16;21;35;48;43;46;39;19;1;0;0;2;8;8;15;17;18;18;15;4
Prov Antwerpen;BIJZONDERE BEROEPSTITEL - PERI-OPERATIEVE ZORGEN;322;260;62;0;4;21;33;36;41;40;42;36;6;1;0;0;2;4;5;7;5;23;12;4;0
Prov Antwerpen;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;500;459;41;0;1;2;28;42;49;78;91;114;47;7;0;0;0;1;5;5;7;6;7;10;0
Prov Antwerpen;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;123;109;14;0;3;8;4;16;10;16;24;24;3;1;0;0;1;1;1;0;3;3;3;2;0
Prov Antwerpen;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;229;181;48;0;0;11;17;14;16;29;38;33;21;2;0;0;3;5;2;9;7;10;6;6;0
Prov Antwerpen;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;172;146;26;0;2;7;10;12;12;16;34;37;14;2;0;0;0;4;5;0;4;3;7;3;0
Prov Limburg;GEEN ERKENNING;15778;13706;2072;0;638;1216;1187;1440;1530;1423;1627;1474;1194;1977;0;103;237;202;200;217;208;257;197;159;292
Prov Limburg;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;848;592;256;0;36;102;114;91;93;78;37;29;11;1;0;7;32;35;30;41;38;45;16;10;2
Prov Limburg;BIJZONDERE BEROEPSTITEL - GERIATRIE;154;131;23;0;2;8;18;16;27;17;27;9;6;1;0;0;1;2;3;2;4;4;3;3;1
Prov Limburg;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;213;185;28;0;5;18;37;26;31;24;25;7;11;1;0;0;0;4;3;3;4;9;1;4;0
Prov Limburg;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;257;251;6;0;14;37;46;41;34;30;32;16;1;0;0;0;2;1;1;1;1;0;0;0;0
Prov Limburg;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;207;132;75;0;1;10;13;14;23;32;21;12;5;1;0;0;3;6;5;13;12;18;9;9;0
Prov Limburg;BIJZONDERE BEROEPSTITEL - PERI-OPERATIEVE ZORGEN;135;109;26;0;1;7;18;23;16;15;18;9;2;0;0;0;3;1;3;5;3;8;3;0;0
Prov Limburg;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;287;259;28;0;0;10;30;35;55;35;37;32;24;1;0;0;1;8;5;3;3;3;3;1;1
Prov Limburg;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;67;64;3;0;0;5;5;7;12;13;16;4;2;0;0;0;0;0;1;0;1;1;0;0;0
Prov Limburg;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;205;150;55;0;0;14;24;18;16;16;22;29;11;0;0;0;0;4;9;2;6;9;8;10;7
Prov Limburg;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;61;58;3;0;0;2;3;8;11;9;11;11;2;1;0;0;0;1;2;0;0;0;0;0;0
Prov Waals Brabant;GEEN ERKENNING;4586;4216;370;0;144;231;216;266;387;422;531;677;499;843;0;16;34;44;54;46;51;40;42;26;17
Prov Waals Brabant;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;463;345;118;0;21;63;44;56;57;32;35;17;14;6;0;3;23;21;18;16;17;11;6;2;1
Prov Waals Brabant;BIJZONDERE BEROEPSTITEL - GERIATRIE;47;44;3;0;2;6;5;2;6;5;3;9;6;0;0;0;0;0;1;1;1;0;0;0;0
Prov Waals Brabant;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;111;107;4;0;4;15;12;13;15;15;14;11;7;1;0;0;0;1;1;0;0;0;1;1;0
Prov Waals Brabant;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;251;247;4;0;11;34;42;39;41;23;34;19;3;1;0;0;0;1;1;0;2;0;0;0;0
Prov Waals Brabant;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;81;65;16;0;3;5;2;10;15;9;5;11;5;0;0;0;2;5;2;1;2;2;1;1;0
Prov Waals Brabant;BIJZONDERE BEROEPSTITEL - PERI-OPERATIEVE ZORGEN;102;90;12;0;5;7;5;18;20;11;11;9;3;1;0;1;0;3;0;4;1;3;0;0;0
Prov Waals Brabant;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;57;52;5;0;0;0;3;5;11;11;7;12;2;1;0;0;0;0;1;1;1;1;1;0;0
Prov Waals Brabant;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;29;29;0;0;0;1;1;3;5;4;8;4;2;1;0;0;0;0;0;0;0;0;0;0;0
Prov Waals Brabant;BIJZONDERE BEROEPSBEKWAAMHEID - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;27;24;3;0;0;1;2;0;2;6;10;1;2;0;0;0;1;0;0;0;0;0;1;1;0
Prov Waals Brabant;BIJZONDERE BEROEPSBEKWAAMHEID - PALLIATIEVE ZORG;37;34;3;0;0;0;2;1;1;6;7;10;7;0;0;0;0;1;0;0;0;1;1;0;0
Prov Henegouwen;GEEN ERKENNING;17436;15517;1919;0;479;1163;1182;1483;1721;1677;1969;1947;1538;2358;0;70;211;212;261;277;212;203;229;148;96
Prov Henegouwen;BIJZONDERE BEROEPSTITEL - INTENSIEVE ZORG EN SPOEDGEVALLENZORG;1343;964;379;0;46;169;131;132;132;137;116;64;33;4;0;13;67;54;70;51;42;38;33;11;0
Prov Henegouwen;BIJZONDERE BEROEPSTITEL - GERIATRIE;126;107;19;0;3;10;14;19;16;20;13;10;2;0;0;0;3;2;3;4;5;2;0;0;0
Prov Henegouwen;BIJZONDERE BEROEPSTITEL - ONCOLOGIE;227;194;33;0;9;20;24;34;28;23;27;22;6;1;0;0;5;4;5;8;4;2;2;3;0
Prov Henegouwen;BIJZONDERE BEROEPSTITEL - PEDIATRIE EN NEONATOLOGIE;533;520;13;0;23;112;98;78;81;60;34;20;9;5;0;0;1;7;0;2;1;1;1;0;0
Prov Henegouwen;BIJZONDERE BEROEPSTITEL - GEESTELIJKE GEZONDHEIDSZORG EN PSYCHIATRIE;318;215;103;0;2;22;30;33;48;32;24;17;7;0;0;1;8;16;12;23;13;14;13;3;0
Prov Henegouwen;BIJZONDERE BEROEPSTITEL - PERI-OPERATIEVE ZORGEN;135;102;33;0;3;17;15;23;14;13;11;5;1;0;0;0;4;2;10;7;4;3;3;0;0
Prov Henegouwen;BIJZONDERE BEROEPSBEKWAAMHEID - GERIATRIE;206;186;20;0;0;7;27;23;29;34;39;21;4;2;0;0;1;1;2;5;4;4;2;0;1
Prov Henegouwen;BIJZONDERE BEROEPSBEKWAAMHEID - DIABETOLOGIE;104;99;5;0;2;4;4;11;15;12;20;22;7;2;0;0;0;0;3;0;1;0;0;1;0
