Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Man;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;33.0;23;10;17;4;1;1;0;8;1;1;0;0
;Functionele en professionele revalidatie van gehandicapten;4.0;3;1;2;0;0;1;0;0;0;1;0;0
;Mond-, kaak- en aangezichtschirurgie;3.0;2;1;2;0;0;0;0;1;0;0;0;0
;Intensieve zorgen;6.0;3;3;2;0;1;0;0;2;1;0;0;0
;Pediatrische neurologie;3.0;3;0;3;0;0;0;0;0;0;0;0;0
;Nefrologie;4.0;2;2;2;0;0;0;0;2;0;0;0;0
;Urgentiegeneeskunde;3.0;1;2;1;0;0;0;0;2;0;0;0;0
;Endocrino-diabetologie;3.0;3;0;2;1;0;0;0;0;0;0;0;0
;Neonatologie;2.0;1;1;1;0;0;0;0;1;0;0;0;0
;Oncologie;3.0;3;0;1;2;0;0;0;0;0;0;0;0
;Pediatrische hematologie en oncologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Klinische hematologie;1.0;1;0;1;0;0;0;0;0;0;0;0;0
Vlaams Brabant;Alle specialiteiten;44.0;23;21;16;3;2;2;0;17;1;2;1;0
;Functionele en professionele revalidatie van gehandicapten;6.0;3;3;2;0;0;1;0;2;1;0;0;0
;Mond-, kaak- en aangezichtschirurgie;1.0;0;1;0;0;0;0;0;1;0;0;0;0
;Intensieve zorgen;15.0;4;11;3;0;0;1;0;10;0;1;0;0
;Pediatrische neurologie;3.0;3;0;3;0;0;0;0;0;0;0;0;0
;Nefrologie;2.0;1;1;1;0;0;0;0;1;0;0;0;0
;Urgentiegeneeskunde;6.0;3;3;1;1;1;0;0;1;0;1;1;0
;Endocrino-diabetologie;4.0;3;1;1;1;1;0;0;1;0;0;0;0
;Neonatologie;2.0;2;0;1;1;0;0;0;0;0;0;0;0
;Oncologie;2.0;2;0;2;0;0;0;0;0;0;0;0;0
;Pediatrische hematologie en oncologie;1.0;1;0;1;0;0;0;0;0;0;0;0;0
;Klinische hematologie;2.0;1;1;1;0;0;0;0;1;0;0;0;0
West-Vlaanderen;Alle specialiteiten;16.0;9;7;7;2;0;0;0;6;0;0;0;1
;Functionele en professionele revalidatie van gehandicapten;5.0;2;3;1;1;0;0;0;2;0;0;0;1
;Mond-, kaak- en aangezichtschirurgie;1.0;0;1;0;0;0;0;0;1;0;0;0;0
;Intensieve zorgen;5.0;4;1;3;1;0;0;0;1;0;0;0;0
;Pediatrische neurologie;1.0;1;0;1;0;0;0;0;0;0;0;0;0
;Urgentiegeneeskunde;2.0;1;1;1;0;0;0;0;1;0;0;0;0
;Oncologie;2.0;1;1;1;0;0;0;0;1;0;0;0;0
Oost-Vlaanderen;Alle specialiteiten;26.0;13;13;12;1;0;0;0;13;0;0;0;0
;Functionele en professionele revalidatie van gehandicapten;3.0;1;2;1;0;0;0;0;2;0;0;0;0
;Mond-, kaak- en aangezichtschirurgie;1.0;0;1;0;0;0;0;0;1;0;0;0;0
;Intensieve zorgen;7.0;4;3;4;0;0;0;0;3;0;0;0;0
;Pediatrische neurologie;1.0;1;0;1;0;0;0;0;0;0;0;0;0
;Nefrologie;3.0;3;0;3;0;0;0;0;0;0;0;0;0
;Urgentiegeneeskunde;4.0;2;2;2;0;0;0;0;2;0;0;0;0
;Endocrino-diabetologie;4.0;1;3;1;0;0;0;0;3;0;0;0;0
;Oncologie;2.0;1;1;0;1;0;0;0;1;0;0;0;0
;Klinische hematologie;1.0;0;1;0;0;0;0;0;1;0;0;0;0
Antwerpen;Alle specialiteiten;27.0;17;10;14;1;2;0;0;9;0;1;0;0
;Functionele en professionele revalidatie van gehandicapten;4.0;1;3;1;0;0;0;0;3;0;0;0;0
;Mond-, kaak- en aangezichtschirurgie;1.0;1;0;1;0;0;0;0;0;0;0;0;0
;Intensieve zorgen;6.0;4;2;4;0;0;0;0;2;0;0;0;0
;Pediatrische neurologie;2.0;1;1;1;0;0;0;0;1;0;0;0;0
;Urgentiegeneeskunde;6.0;4;2;2;0;2;0;0;1;0;1;0;0
;Neonatologie;1.0;1;0;1;0;0;0;0;0;0;0;0;0
;Oncologie;4.0;3;1;2;1;0;0;0;1;0;0;0;0
;Pediatrische hematologie en oncologie;1.0;1;0;1;0;0;0;0;0;0;0;0;0
;Klinische hematologie;2.0;1;1;1;0;0;0;0;1;0;0;0;0
Limburg;Alle specialiteiten;9.0;2;7;2;0;0;0;0;6;1;0;0;0
;Functionele en professionele revalidatie van gehandicapten;1.0;0;1;0;0;0;0;0;0;1;0;0;0
;Intensieve zorgen;5.0;2;3;2;0;0;0;0;3;0;0;0;0
;Nefrologie;1.0;0;1;0;0;0;0;0;1;0;0;0;0
;Urgentiegeneeskunde;2.0;0;2;0;0;0;0;0;2;0;0;0;0
Waals Brabant;Alle specialiteiten;4.0;1;3;0;0;0;1;0;1;0;0;2;0
;Intensieve zorgen;1.0;0;1;0;0;0;0;0;0;0;0;1;0
;Urgentiegeneeskunde;2.0;1;1;0;0;0;1;0;0;0;0;1;0
;Oncologie;1.0;0;1;0;0;0;0;0;1;0;0;0;0
Henegouwen;Alle specialiteiten;5.0;3;2;1;1;0;1;0;2;0;0;0;0
;Functionele en professionele revalidatie van gehandicapten;1.0;1;0;0;0;0;1;0;0;0;0;0;0
;Pediatrische neurologie;1.0;1;0;1;0;0;0;0;0;0;0;0;0
;Nefrologie;1.0;0;1;0;0;0;0;0;1;0;0;0;0
;Urgentiegeneeskunde;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Neonatologie;1.0;0;1;0;0;0;0;0;1;0;0;0;0
Luik;Alle specialiteiten;19.0;12;7;10;0;1;0;1;5;1;0;0;1
;Functionele en professionele revalidatie van gehandicapten;3.0;2;1;1;0;1;0;0;0;1;0;0;0
;Mond-, kaak- en aangezichtschirurgie;1.0;1;0;1;0;0;0;0;0;0;0;0;0
;Intensieve zorgen;4.0;3;1;2;0;0;0;1;1;0;0;0;0
;Pediatrische neurologie;2.0;1;1;1;0;0;0;0;1;0;0;0;0
;Nefrologie;3.0;1;2;1;0;0;0;0;2;0;0;0;0
;Urgentiegeneeskunde;2.0;1;1;1;0;0;0;0;0;0;0;0;1
;Oncologie;3.0;2;1;2;0;0;0;0;1;0;0;0;0
;Pediatrische hematologie en oncologie;1.0;1;0;1;0;0;0;0;0;0;0;0;0
Namen;Alle specialiteiten;6.0;5;1;5;0;0;0;0;1;0;0;0;0
;Functionele en professionele revalidatie van gehandicapten;1.0;1;0;1;0;0;0;0;0;0;0;0;0
;Pediatrische neurologie;1.0;1;0;1;0;0;0;0;0;0;0;0;0
;Oncologie;2.0;1;1;1;0;0;0;0;1;0;0;0;0
;Pediatrische hematologie en oncologie;1.0;1;0;1;0;0;0;0;0;0;0;0;0
;Klinische hematologie;1.0;1;0;1;0;0;0;0;0;0;0;0;0
Luxemburg;Alle specialiteiten;1.0;0;1;0;0;0;0;0;0;1;0;0;0
;Functionele en professionele revalidatie van gehandicapten;1.0;0;1;0;0;0;0;0;0;1;0;0;0
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;33.0;23;10;17;4;1;1;0;8;1;1;0;0
;Functionele en professionele revalidatie van gehandicapten;4.0;3;1;2;0;0;1;0;0;0;1;0;0
;Mond-, kaak- en aangezichtschirurgie;3.0;2;1;2;0;0;0;0;1;0;0;0;0
;Intensieve zorgen;6.0;3;3;2;0;1;0;0;2;1;0;0;0
;Pediatrische neurologie;3.0;3;0;3;0;0;0;0;0;0;0;0;0
;Nefrologie;4.0;2;2;2;0;0;0;0;2;0;0;0;0
;Urgentiegeneeskunde;3.0;1;2;1;0;0;0;0;2;0;0;0;0
;Endocrino-diabetologie;3.0;3;0;2;1;0;0;0;0;0;0;0;0
;Neonatologie;2.0;1;1;1;0;0;0;0;1;0;0;0;0
;Oncologie;3.0;3;0;1;2;0;0;0;0;0;0;0;0
;Pediatrische hematologie en oncologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0
;Klinische hematologie;1.0;1;0;1;0;0;0;0;0;0;0;0;0
