Territoire-Spécialité;Unnamed: 1;Total;Genre;Unnamed: 4;Femme;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Homme;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17
;Soins intensifs;5.0;1;4;1;0;0;0;0;0;0;4;0;0;0;0;0
;Médecine d'urgence;2.0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0
Brabant Wallon;Toutes les spécialités;8.0;3;5;0;2;0;1;0;0;0;1;1;0;1;2;0
;"Réadaptation fonctionnelle et professionnelle des
handicapés";4.0;1;3;0;1;0;0;0;0;0;0;1;0;1;1;0
;Soins intensifs;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;Médecine d'urgence;1.0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;Oncologie;2.0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0
Hainaut;Toutes les spécialités;4.0;2;2;0;2;0;0;0;0;0;1;1;0;0;0;0
;Néphrologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;Médecine d'urgence;1.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;Hématologie clinique;1.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Liège;Toutes les spécialités;24.0;11;13;0;8;2;1;0;0;0;11;1;0;1;0;0
;"Réadaptation fonctionnelle et professionnelle des
handicapés";3.0;2;1;0;1;1;0;0;0;0;0;0;0;1;0;0
;Chirurgie orale et maxillo-faciale;1.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;Soins intensifs;13.0;6;7;0;4;1;1;0;0;0;6;1;0;0;0;0
;Néphrologie;1.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;Médecine d'urgence;1.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;Oncologie;3.0;2;1;0;2;0;0;0;0;0;1;0;0;0;0;0
;Hématologie et oncologie pédiatrique;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;Hématologie clinique;1.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Namur;Toutes les spécialités;8.0;2;6;0;1;0;0;1;0;0;3;1;1;0;0;1
;"Réadaptation fonctionnelle et professionnelle des
handicapés";3.0;2;1;0;1;0;0;1;0;0;0;0;0;0;0;1
;Chirurgie orale et maxillo-faciale;2.0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
;Soins intensifs;3.0;0;3;0;0;0;0;0;0;0;1;1;1;0;0;0
Luxembourg;Toutes les spécialités;4.0;2;2;0;2;0;0;0;0;0;1;1;0;0;0;0
;"Réadaptation fonctionnelle et professionnelle des
handicapés";1.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;Chirurgie orale et maxillo-faciale;1.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;Néonatologie;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;Hématologie clinique;1.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Région de Bruxelles
Capitale";Toutes les spécialités;44.0;19;25;0;15;2;1;1;0;1;23;1;0;0;0;0
;"Réadaptation fonctionnelle et professionnelle des
handicapés";3.0;2;1;0;1;0;1;0;0;0;0;1;0;0;0;0
;Chirurgie orale et maxillo-faciale;2.0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
;Soins intensifs;13.0;3;10;0;3;0;0;0;0;1;9;0;0;0;0;0
;Neurologie pédiatrique;3.0;2;1;0;2;0;0;0;0;0;1;0;0;0;0;0
;Néphrologie;4.0;3;1;0;2;1;0;0;0;0;1;0;0;0;0;0
;Endocrino-diabétologie;6.0;0;6;0;0;0;0;0;0;0;6;0;0;0;0;0
;Néonatologie;4.0;3;1;0;1;1;0;1;0;0;1;0;0;0;0;0
;Oncologie;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;Hématologie et oncologie pédiatrique;2.0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;Hématologie clinique;4.0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0
;Infectiologie clinique;1.0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
