Gebied-Specialiteit;Unnamed: 1;Totaal;Geslacht;Unnamed: 4;Vrouw;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Man;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20
;Intensieve zorgen;241.0;48;193;3;14;4;12;4;6;2;3;7;19;13;27;21;42;28;36
;Pediatrische neurologie;31.0;24;7;0;4;6;5;1;1;0;7;0;0;1;0;0;0;1;5
;Nefrologie;115.0;46;69;6;6;10;7;5;6;1;5;3;5;5;7;5;10;7;27
;Urgentiegeneeskunde;171.0;44;127;0;3;7;7;10;7;6;4;1;5;4;18;20;21;26;32
;Endocrino-diabetologie;127.0;68;59;7;8;14;13;15;1;4;6;0;3;5;7;6;4;13;21
;Neonatologie;40.0;28;12;2;3;6;8;4;0;3;2;0;1;2;4;1;1;1;2
;Oncologie;76.0;24;52;4;5;9;4;0;1;0;1;2;3;7;12;5;7;9;7
;Pediatrische hematologie en oncologie;11.0;7;4;1;0;1;2;0;1;0;2;0;0;2;1;0;1;0;0
;Klinische hematologie;53.0;26;27;4;9;4;4;2;2;0;1;1;2;3;6;2;5;4;4
;Beheer van gezondheidsgegevens;46.0;14;32;0;0;0;1;1;2;4;6;0;0;0;0;1;5;11;15
;Forensische psychiatrie;6.0;1;5;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;2
"Brussels Hoofdstedelijk
Gewest";Alle specialiteiten;521.0;232;289;14;35;49;17;26;23;24;44;9;13;28;30;28;38;36;107
;Nucleaire in vitro geneeskunde;30.0;14;16;0;0;0;0;1;2;5;6;0;0;0;0;1;2;4;9
;"Functionele en professionele revalidatie van
gehandicapten";99.0;37;62;0;1;3;2;4;5;4;18;0;0;2;4;5;5;9;37
;Geriatrie;8.0;2;6;0;0;0;0;0;0;2;0;0;0;0;1;0;1;0;4
;Mond-, kaak- en aangezichtschirurgie;22.0;12;10;0;1;3;0;3;2;2;1;1;0;1;1;1;0;3;3
;Intensieve zorgen;96.0;33;63;4;8;10;1;5;0;2;3;3;9;10;6;5;15;6;9
;Pediatrische neurologie;11.0;9;2;0;2;2;0;0;1;1;3;0;1;0;0;0;0;0;1
;Nefrologie;54.0;24;30;4;4;7;4;0;2;1;2;3;2;3;5;1;5;2;9
;Urgentiegeneeskunde;38.0;13;25;0;0;1;1;3;4;2;2;0;0;2;5;5;1;3;9
;Endocrino-diabetologie;59.0;31;28;1;8;9;3;1;2;1;6;0;0;3;2;4;2;3;14
;Neonatologie;25.0;22;3;1;5;7;3;3;1;1;1;0;0;0;0;1;0;1;1
;Oncologie;23.0;8;15;0;2;3;3;0;0;0;0;0;0;4;1;0;4;3;3
;Pediatrische hematologie en oncologie;7.0;5;2;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;1
;Klinische hematologie;33.0;16;17;4;3;3;0;2;2;1;1;2;1;2;3;3;2;1;3
;Beheer van gezondheidsgegevens;12.0;6;6;0;0;0;0;3;1;1;1;0;0;0;0;1;1;1;3
;Forensische psychiatrie;4.0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1
Vlaams Brabant;Alle specialiteiten;714.0;329;385;27;53;68;67;35;29;26;24;23;25;34;41;48;46;41;127
;Nucleaire in vitro geneeskunde;34.0;12;22;0;0;0;1;2;1;4;4;1;0;0;1;0;3;5;12
;"Functionele en professionele revalidatie van
gehandicapten";170.0;68;102;3;6;13;12;10;10;4;10;4;3;6;4;8;5;9;63
;Geriatrie;20.0;13;7;0;1;2;4;3;0;2;1;0;0;1;1;0;0;3;2
;Mond-, kaak- en aangezichtschirurgie;30.0;12;18;2;3;3;2;0;0;2;0;2;1;6;2;0;4;0;3
;Intensieve zorgen;153.0;55;98;5;13;11;15;5;2;2;2;11;12;11;12;14;17;8;13
;Pediatrische neurologie;21.0;14;7;3;0;5;3;0;1;1;1;0;0;0;0;3;1;1;2
;Nefrologie;45.0;23;22;5;8;3;4;2;0;1;0;1;2;5;3;2;2;1;6
;Urgentiegeneeskunde;63.0;24;39;1;2;8;6;2;1;1;3;0;2;3;8;7;6;3;10
;Endocrino-diabetologie;54.0;36;18;3;6;7;7;4;3;4;2;2;1;0;5;3;0;1;6
;Neonatologie;26.0;17;9;1;4;2;2;4;3;1;0;1;1;0;0;4;0;2;1
;Oncologie;43.0;21;22;2;6;5;6;1;1;0;0;1;2;2;3;3;3;4;4
;Pediatrische hematologie en oncologie;12.0;10;2;0;1;4;2;0;3;0;0;0;0;0;0;1;1;0;0
;Klinische hematologie;27.0;15;12;2;2;4;3;1;1;2;0;0;1;0;2;3;1;1;4
;Beheer van gezondheidsgegevens;11.0;6;5;0;0;0;0;1;2;2;1;0;0;0;0;0;2;3;0
;Forensische psychiatrie;5.0;3;2;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;1
West-Vlaanderen;Alle specialiteiten;527.0;171;356;22;30;32;24;26;17;5;15;16;16;29;38;43;43;38;133
;Nucleaire in vitro geneeskunde;11.0;3;8;0;0;0;1;0;1;0;1;0;0;0;0;1;0;3;4
;"Functionele en professionele revalidatie van
gehandicapten";135.0;47;88;1;3;6;4;12;9;1;11;0;4;2;6;3;10;6;57
;Geriatrie;31.0;11;20;0;4;0;4;1;1;0;1;0;0;0;1;0;1;2;16
;Mond-, kaak- en aangezichtschirurgie;34.0;5;29;3;1;0;1;0;0;0;0;3;1;6;5;6;3;2;3
;Intensieve zorgen;110.0;39;71;8;9;9;5;5;2;1;0;6;6;9;10;9;11;8;12
;Pediatrische neurologie;6.0;3;3;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;2
;Nefrologie;40.0;12;28;0;2;4;3;1;2;0;0;2;1;2;5;3;1;1;13
;Urgentiegeneeskunde;59.0;18;41;4;1;3;3;4;1;1;1;2;2;4;7;9;4;7;6
;Endocrino-diabetologie;22.0;11;11;2;2;3;1;1;1;1;0;0;0;0;1;2;2;0;6
;Neonatologie;12.0;7;5;1;4;0;1;1;0;0;0;0;0;1;0;2;1;1;0
;Oncologie;48.0;11;37;1;2;7;0;1;0;0;0;2;1;3;3;4;8;6;10
;Pediatrische hematologie en oncologie;2.0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
;Klinische hematologie;11.0;3;8;1;1;0;0;0;0;1;0;1;0;2;0;2;1;1;1
;Beheer van gezondheidsgegevens;4.0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2
;Forensische psychiatrie;2.0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Oost-Vlaanderen;Alle specialiteiten;643.0;272;371;28;47;57;54;33;26;9;18;19;31;35;48;48;51;44;95
;Nucleaire in vitro geneeskunde;34.0;10;24;0;0;2;0;1;6;0;1;0;0;0;2;3;6;4;9
;"Functionele en professionele revalidatie van
gehandicapten";130.0;59;71;1;7;12;11;11;6;1;10;4;3;6;4;9;10;6;29
;Geriatrie;15.0;4;11;0;0;1;1;0;1;0;1;0;0;0;0;1;1;0;9
;Mond-, kaak- en aangezichtschirurgie;38.0;10;28;0;2;3;3;1;0;1;0;1;5;3;3;3;1;7;5
;Intensieve zorgen;139.0;55;84;8;15;7;15;5;4;0;1;6;12;9;12;15;7;13;10
;Pediatrische neurologie;13.0;7;6;0;0;1;1;2;2;0;1;0;1;0;2;0;0;0;3
;Nefrologie;56.0;25;31;6;5;4;4;1;2;2;1;2;5;6;1;4;5;0;8
;Urgentiegeneeskunde;52.0;11;41;2;1;3;3;2;0;0;0;1;1;6;13;4;7;4;5
;Endocrino-diabetologie;46.0;26;20;5;7;5;2;4;1;2;0;3;1;2;1;1;4;2;6
;Neonatologie;11.0;9;2;0;1;3;1;2;1;0;1;0;0;0;1;0;0;0;1
;Oncologie;59.0;28;31;2;5;11;8;0;0;1;1;2;2;3;6;6;7;3;2
;Pediatrische hematologie en oncologie;8.0;7;1;0;1;1;0;3;1;1;0;0;0;0;0;0;0;0;1
;Klinische hematologie;19.0;15;4;4;3;2;4;0;1;1;0;0;1;0;0;0;1;1;1
;Beheer van gezondheidsgegevens;14.0;1;13;0;0;0;0;0;0;0;1;0;0;0;1;2;2;3;5
;Forensische psychiatrie;9.0;5;4;0;0;2;1;1;1;0;0;0;0;0;2;0;0;1;1
Antwerpen;Alle specialiteiten;713.0;311;402;36;46;53;61;49;27;23;16;21;35;32;47;49;54;53;111
;Nucleaire in vitro geneeskunde;21.0;10;11;0;0;0;2;3;2;3;0;0;0;0;0;0;3;5;3
;"Functionele en professionele revalidatie van
gehandicapten";136.0;63;73;4;5;7;13;13;6;6;9;3;5;3;7;6;6;4;39
;Geriatrie;25.0;5;20;0;0;0;2;1;1;1;0;0;0;0;2;0;2;4;12
;Mond-, kaak- en aangezichtschirurgie;39.0;5;34;1;1;1;1;1;0;0;0;1;6;6;3;4;3;4;7
;Intensieve zorgen;164.0;66;98;7;10;10;19;10;5;4;1;7;14;11;17;13;10;13;13
;Pediatrische neurologie;16.0;14;2;1;2;2;3;3;1;1;1;0;0;0;0;0;0;1;1
;Nefrologie;51.0;26;25;4;5;8;4;2;0;2;1;3;3;1;2;2;5;2;7
;Urgentiegeneeskunde;71.0;18;53;1;5;4;4;2;1;0;1;2;2;4;7;14;7;11;6
;Endocrino-diabetologie;51.0;33;18;7;5;7;2;4;4;2;2;1;2;1;2;1;2;1;8
;Neonatologie;29.0;19;10;4;3;2;2;3;3;2;0;1;1;1;2;0;3;1;1
;Oncologie;60.0;32;28;3;9;5;5;5;3;2;0;1;0;2;3;3;9;5;5
;Pediatrische hematologie en oncologie;3.0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0
;Klinische hematologie;29.0;14;15;4;1;4;3;2;0;0;0;2;2;2;0;3;2;0;4
;Beheer van gezondheidsgegevens;10.0;2;8;0;0;0;0;0;1;0;1;0;0;1;0;0;1;2;4
;Forensische psychiatrie;8.0;3;5;0;0;2;1;0;0;0;0;0;0;0;2;1;1;0;1
Limburg;Alle specialiteiten;293.0;103;190;10;21;19;20;16;10;4;3;11;17;25;25;19;21;24;48
;Nucleaire in vitro geneeskunde;8.0;3;5;0;0;0;0;2;1;0;0;0;0;0;0;1;0;2;2
;"Functionele en professionele revalidatie van
gehandicapten";56.0;15;41;1;0;4;4;3;0;1;2;0;3;4;5;1;4;3;21
;Geriatrie;5.0;1;4;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;2
;Mond-, kaak- en aangezichtschirurgie;19.0;2;17;0;0;2;0;0;0;0;0;0;2;4;4;1;2;2;2
;Intensieve zorgen;87.0;35;52;6;8;4;6;7;3;1;0;9;7;8;4;5;6;7;6
;Pediatrische neurologie;5.0;5;0;0;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0
;Nefrologie;15.0;3;12;0;1;0;2;0;0;0;0;1;3;1;1;1;3;1;1
;Urgentiegeneeskunde;33.0;11;22;0;2;2;4;2;1;0;0;1;0;3;5;4;1;3;5
;Endocrino-diabetologie;17.0;8;9;1;1;2;2;1;0;1;0;0;0;2;1;1;0;1;4
;Neonatologie;2.0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
;Oncologie;26.0;9;17;2;3;2;0;0;1;1;0;0;1;2;4;3;4;3;0
;Pediatrische hematologie en oncologie;1.0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;Klinische hematologie;8.0;6;2;0;2;1;1;0;2;0;0;0;0;0;1;0;1;0;0
;Beheer van gezondheidsgegevens;6.0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;3
;Forensische psychiatrie;5.0;2;3;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;2
Waals Brabant;Alle specialiteiten;287.0;98;189;5;7;12;11;14;17;14;18;2;7;11;18;18;26;28;79
;Nucleaire in vitro geneeskunde;20.0;11;9;0;0;0;0;0;6;3;2;0;0;0;0;0;0;0;9
;"Functionele en professionele revalidatie van
gehandicapten";70.0;22;48;0;0;2;2;4;1;3;10;0;0;1;3;3;2;5;34
;Geriatrie;10.0;4;6;0;0;1;0;2;0;1;0;0;0;0;0;1;1;1;3
;Mond-, kaak- en aangezichtschirurgie;7.0;1;6;1;0;0;0;0;0;0;0;0;0;1;1;2;1;0;1
;Intensieve zorgen;53.0;9;44;1;2;0;2;0;2;1;1;1;5;4;4;6;10;8;6
;Pediatrische neurologie;7.0;7;0;0;1;2;0;1;1;0;2;0;0;0;0;0;0;0;0
;Nefrologie;34.0;16;18;3;2;0;3;2;4;1;1;0;1;1;2;1;4;0;9
;Urgentiegeneeskunde;28.0;6;22;0;1;0;0;2;2;1;0;0;0;0;4;3;3;5;7
;Endocrino-diabetologie;21.0;6;15;0;0;1;2;1;1;1;0;0;0;2;1;1;1;3;7
;Neonatologie;10.0;7;3;0;0;3;2;0;0;2;0;0;1;0;1;0;0;1;0
;Oncologie;11.0;2;9;0;1;1;0;0;0;0;0;0;0;2;1;1;1;4;0
;Klinische hematologie;9.0;4;5;0;0;2;0;2;0;0;0;1;0;0;1;0;2;1;0
;Beheer van gezondheidsgegevens;6.0;3;3;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;2
;Forensische psychiatrie;1.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Henegouwen;Alle specialiteiten;318.0;100;218;4;12;16;23;10;8;6;21;1;7;9;15;22;43;43;78
;Nucleaire in vitro geneeskunde;19.0;4;15;0;0;0;0;0;3;1;0;0;0;0;0;0;2;5;8
;"Functionele en professionele revalidatie van
gehandicapten";52.0;15;37;0;0;1;4;0;2;2;6;0;0;0;1;4;6;3;23
;Geriatrie;14.0;4;10;0;0;1;0;0;0;1;2;0;0;0;0;1;0;1;8
;Mond-, kaak- en aangezichtschirurgie;9.0;4;5;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;1
;Intensieve zorgen;58.0;11;47;0;3;1;3;1;1;1;1;1;1;1;6;4;15;9;10
;Pediatrische neurologie;6.0;5;1;0;1;1;1;0;0;0;2;0;0;0;0;0;0;0;1
;Nefrologie;24.0;7;17;1;1;2;1;1;0;0;1;0;3;0;0;0;4;2;8
;Urgentiegeneeskunde;41.0;7;34;0;0;1;2;1;0;0;3;0;1;1;2;7;8;7;8
;Endocrino-diabetologie;33.0;19;14;2;4;4;3;4;0;1;1;0;1;2;1;1;1;4;4
;Neonatologie;9.0;9;0;0;0;1;3;3;0;0;2;0;0;0;0;0;0;0;0
;Oncologie;26.0;6;20;1;0;1;2;0;1;0;1;0;0;3;5;2;2;4;4
;Klinische hematologie;11.0;6;5;0;3;1;1;0;1;0;0;0;1;1;0;0;2;1;0
;Beheer van gezondheidsgegevens;14.0;3;11;0;0;0;1;0;0;0;2;0;0;0;0;1;1;6;3
;Forensische psychiatrie;2.0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Luik;Alle specialiteiten;466.0;187;279;14;23;31;31;25;14;13;36;7;17;18;38;27;31;39;102
;Nucleaire in vitro geneeskunde;19.0;11;8;0;0;0;2;1;2;1;5;0;1;0;0;0;3;1;3
;"Functionele en professionele revalidatie van
gehandicapten";113.0;45;68;1;0;2;6;8;4;5;19;0;1;4;3;0;6;10;44
;Geriatrie;9.0;4;5;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;5
;Mond-, kaak- en aangezichtschirurgie;5.0;1;4;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;1
;Intensieve zorgen;83.0;20;63;1;8;3;5;0;2;0;1;3;9;5;12;6;8;5;15
;Pediatrische neurologie;11.0;7;4;0;2;3;2;0;0;0;0;0;0;0;0;0;0;1;3
;Nefrologie;35.0;12;23;1;0;5;2;1;0;0;3;3;1;1;3;2;2;5;6
;Urgentiegeneeskunde;60.0;18;42;0;0;3;2;5;5;2;1;0;2;1;9;10;6;7;7
;Endocrino-diabetologie;48.0;28;20;5;1;6;5;6;0;1;4;0;1;1;2;3;1;5;7
;Neonatologie;15.0;8;7;1;3;1;1;1;0;1;0;0;0;1;3;1;0;0;2
;Oncologie;24.0;11;13;2;3;4;2;0;0;0;0;1;0;1;3;2;3;1;2
;Pediatrische hematologie en oncologie;11.0;7;4;1;0;1;2;0;1;0;2;0;0;2;1;0;1;0;0
;Klinische hematologie;18.0;9;9;2;5;1;1;0;0;0;0;0;1;1;2;2;0;1;2
;Beheer van gezondheidsgegevens;12.0;5;7;0;0;0;0;1;0;3;1;0;0;0;0;0;0;3;4
;Forensische psychiatrie;3.0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1
Namen;Alle specialiteiten;195.0;72;123;4;11;12;16;7;8;7;7;4;9;10;15;10;21;12;42
;Nucleaire in vitro geneeskunde;6.0;2;4;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;3
;"Functionele en professionele revalidatie van
gehandicapten";30.0;13;17;0;1;1;4;0;3;2;2;0;0;0;0;2;4;1;10
;Geriatrie;4.0;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2
;Mond-, kaak- en aangezichtschirurgie;9.0;1;8;0;0;1;0;0;0;0;0;1;1;0;3;1;1;0;1
;Intensieve zorgen;40.0;7;33;1;1;0;2;2;1;0;0;1;3;3;5;4;8;4;5
;Pediatrische neurologie;6.0;4;2;0;0;0;2;0;0;0;2;0;0;1;0;0;0;0;1
;Nefrologie;17.0;8;9;0;3;3;1;0;1;0;0;0;0;2;2;2;0;0;3
;Urgentiegeneeskunde;31.0;11;20;0;2;2;3;1;0;3;0;1;2;2;2;0;4;3;6
;Endocrino-diabetologie;17.0;10;7;0;3;1;1;4;0;1;0;0;1;0;1;1;1;1;2
;Neonatologie;3.0;2;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
;Oncologie;11.0;4;7;1;0;3;0;0;0;0;0;1;2;1;1;0;1;0;1
;Klinische hematologie;11.0;7;4;2;1;0;2;0;1;0;1;0;0;0;1;0;0;1;2
;Beheer van gezondheidsgegevens;10.0;2;8;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;6
Luxemburg;Alle specialiteiten;59.0;21;38;2;1;4;3;4;3;1;3;1;2;2;7;1;5;7;13
;Nucleaire in vitro geneeskunde;3.0;2;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1
;"Functionele en professionele revalidatie van
gehandicapten";5.0;1;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4
;Geriatrie;2.0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
;Mond-, kaak- en aangezichtschirurgie;2.0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
;Intensieve zorgen;7.0;1;6;0;0;0;0;1;0;0;0;1;1;0;0;1;1;2;0
;Pediatrische neurologie;1.0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;Nefrologie;5.0;3;2;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1
;Urgentiegeneeskunde;11.0;2;9;0;0;1;0;1;0;0;0;0;0;0;1;0;0;4;4
;Endocrino-diabetologie;8.0;5;3;0;0;2;2;0;0;0;1;0;0;0;2;0;0;0;1
;Neonatologie;3.0;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
;Oncologie;4.0;1;3;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0
;Klinische hematologie;4.0;0;4;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0
;Beheer van gezondheidsgegevens;4.0;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0
"Brussels Hoofdstedelijk
Gewest";Alle specialiteiten;521.0;232;289;14;35;49;17;26;23;24;44;9;13;28;30;28;38;36;107
;Nucleaire in vitro geneeskunde;30.0;14;16;0;0;0;0;1;2;5;6;0;0;0;0;1;2;4;9
;"Functionele en professionele revalidatie van
gehandicapten";99.0;37;62;0;1;3;2;4;5;4;18;0;0;2;4;5;5;9;37
;Geriatrie;8.0;2;6;0;0;0;0;0;0;2;0;0;0;0;1;0;1;0;4
;Mond-, kaak- en aangezichtschirurgie;22.0;12;10;0;1;3;0;3;2;2;1;1;0;1;1;1;0;3;3
;Intensieve zorgen;96.0;33;63;4;8;10;1;5;0;2;3;3;9;10;6;5;15;6;9
;Pediatrische neurologie;11.0;9;2;0;2;2;0;0;1;1;3;0;1;0;0;0;0;0;1
;Nefrologie;54.0;24;30;4;4;7;4;0;2;1;2;3;2;3;5;1;5;2;9
;Urgentiegeneeskunde;38.0;13;25;0;0;1;1;3;4;2;2;0;0;2;5;5;1;3;9
;Endocrino-diabetologie;59.0;31;28;1;8;9;3;1;2;1;6;0;0;3;2;4;2;3;14
;Neonatologie;25.0;22;3;1;5;7;3;3;1;1;1;0;0;0;0;1;0;1;1
;Oncologie;23.0;8;15;0;2;3;3;0;0;0;0;0;0;4;1;0;4;3;3
;Pediatrische hematologie en oncologie;7.0;5;2;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;1
;Klinische hematologie;33.0;16;17;4;3;3;0;2;2;1;1;2;1;2;3;3;2;1;3
;Beheer van gezondheidsgegevens;12.0;6;6;0;0;0;0;3;1;1;1;0;0;0;0;1;1;1;3
;Forensische psychiatrie;4.0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1
